SA4_CODE_2021,AG_15_19_Nbr_ch_ev_brn_No,AG_15_19_Nbr_ch_ev_brn_1,AG_15_19_Nbr_ch_ev_brn_2,AG_15_19_Nbr_ch_ev_brn_3,AG_15_19_Nbr_ch_ev_brn_4,AG_15_19_Nbr_ch_ev_brn_5,AG_15_19_Nbr_ch_ev_brn_6m,AG_15_19_Nbr_ch_ev_brn_Ns,AG_15_19_Tot,AG_20_24_Nbr_ch_ev_brn_No,AG_20_24_Nbr_ch_ev_brn_1,AG_20_24_Nbr_ch_ev_brn_2,AG_20_24_Nbr_ch_ev_brn_3,AG_20_24_Nbr_ch_ev_brn_4,AG_20_24_Nbr_ch_ev_brn_5,AG_20_24_Nbr_ch_ev_brn_6m,AG_20_24_Nbr_ch_ev_brn_Ns,AG_20_24_Tot,AG_25_29_Nbr_ch_ev_brn_No,AG_25_29_Nbr_ch_ev_brn_1,AG_25_29_Nbr_ch_ev_brn_2,AG_25_29_Nbr_ch_ev_brn_3,AG_25_29_Nbr_ch_ev_brn_4,AG_25_29_Nbr_ch_ev_brn_5,AG_25_29_Nbr_ch_ev_brn_6m,AG_25_29_Nbr_ch_ev_brn_Ns,AG_25_29_Tot,AG_30_34_Nbr_ch_ev_brn_No,AG_30_34_Nbr_ch_ev_brn_1,AG_30_34_Nbr_ch_ev_brn_2,AG_30_34_Nbr_ch_ev_brn_3,AG_30_34_Nbr_ch_ev_brn_4,AG_30_34_Nbr_ch_ev_brn_5,AG_30_34_Nbr_ch_ev_brn_6m,AG_30_34_Nbr_ch_ev_brn_Ns,AG_30_34_Tot,AG_35_39_Nbr_ch_ev_brn_No,AG_35_39_Nbr_ch_ev_brn_1,AG_35_39_Nbr_ch_ev_brn_2,AG_35_39_Nbr_ch_ev_brn_3,AG_35_39_Nbr_ch_ev_brn_4,AG_35_39_Nbr_ch_ev_brn_5,AG_35_39_Nbr_ch_ev_brn_6m,AG_35_39_Nbr_ch_ev_brn_Ns,AG_35_39_Tot,AG_40_44_Nbr_ch_ev_brn_No,AG_40_44_Nbr_ch_ev_brn_1,AG_40_44_Nbr_ch_ev_brn_2,AG_40_44_Nbr_ch_ev_brn_3,AG_40_44_Nbr_ch_ev_brn_4,AG_40_44_Nbr_ch_ev_brn_5,AG_40_44_Nbr_ch_ev_brn_6m,AG_40_44_Nbr_ch_ev_brn_Ns,AG_40_44_Tot,AG_45_49_Nbr_ch_ev_brn_No,AG_45_49_Nbr_ch_ev_brn_1,AG_45_49_Nbr_ch_ev_brn_2,AG_45_49_Nbr_ch_ev_brn_3,AG_45_49_Nbr_ch_ev_brn_4,AG_45_49_Nbr_ch_ev_brn_5,AG_45_49_Nbr_ch_ev_brn_6m,AG_45_49_Nbr_ch_ev_brn_Ns,AG_45_49_Tot,AG_50_54_Nbr_ch_ev_brn_No,AG_50_54_Nbr_ch_ev_brn_1,AG_50_54_Nbr_ch_ev_brn_2,AG_50_54_Nbr_ch_ev_brn_3,AG_50_54_Nbr_ch_ev_brn_4,AG_50_54_Nbr_ch_ev_brn_5,AG_50_54_Nbr_ch_ev_brn_6m,AG_50_54_Nbr_ch_ev_brn_Ns,AG_50_54_Tot,AG_55_59_Nbr_ch_ev_brn_No,AG_55_59_Nbr_ch_ev_brn_1,AG_55_59_Nbr_ch_ev_brn_2,AG_55_59_Nbr_ch_ev_brn_3,AG_55_59_Nbr_ch_ev_brn_4,AG_55_59_Nbr_ch_ev_brn_5,AG_55_59_Nbr_ch_ev_brn_6m,AG_55_59_Nbr_ch_ev_brn_Ns,AG_55_59_Tot,AG_60_64_Nbr_ch_ev_brn_No,AG_60_64_Nbr_ch_ev_brn_1,AG_60_64_Nbr_ch_ev_brn_2,AG_60_64_Nbr_ch_ev_brn_3,AG_60_64_Nbr_ch_ev_brn_4,AG_60_64_Nbr_ch_ev_brn_5,AG_60_64_Nbr_ch_ev_brn_6m,AG_60_64_Nbr_ch_ev_brn_Ns,AG_60_64_Tot,AG_65_69_Nbr_ch_ev_brn_No,AG_65_69_Nbr_ch_ev_brn_1,AG_65_69_Nbr_ch_ev_brn_2,AG_65_69_Nbr_ch_ev_brn_3,AG_65_69_Nbr_ch_ev_brn_4,AG_65_69_Nbr_ch_ev_brn_5,AG_65_69_Nbr_ch_ev_brn_6m,AG_65_69_Nbr_ch_ev_brn_Ns,AG_65_69_Tot,AG_70_74_Nbr_ch_ev_brn_No,AG_70_74_Nbr_ch_ev_brn_1,AG_70_74_Nbr_ch_ev_brn_2,AG_70_74_Nbr_ch_ev_brn_3,AG_70_74_Nbr_ch_ev_brn_4,AG_70_74_Nbr_ch_ev_brn_5,AG_70_74_Nbr_ch_ev_brn_6m,AG_70_74_Nbr_ch_ev_brn_Ns,AG_70_74_Tot,AG_75_79_Nbr_ch_ev_brn_No,AG_75_79_Nbr_ch_ev_brn_1,AG_75_79_Nbr_ch_ev_brn_2,AG_75_79_Nbr_ch_ev_brn_3,AG_75_79_Nbr_ch_ev_brn_4,AG_75_79_Nbr_ch_ev_brn_5,AG_75_79_Nbr_ch_ev_brn_6m,AG_75_79_Nbr_ch_ev_brn_Ns,AG_75_79_Tot,AG_80_84_Nbr_ch_ev_brn_No,AG_80_84_Nbr_ch_ev_brn_1,AG_80_84_Nbr_ch_ev_brn_2,AG_80_84_Nbr_ch_ev_brn_3,AG_80_84_Nbr_ch_ev_brn_4,AG_80_84_Nbr_ch_ev_brn_5,AG_80_84_Nbr_ch_ev_brn_6m,AG_80_84_Nbr_ch_ev_brn_Ns,AG_80_84_Tot,AG_85_over_Nbr_ch_ev_brn_No,AG_85_over_Nbr_ch_ev_brn_1,AG_85_over_Nbr_ch_ev_brn_2,AG_85_over_Nbr_ch_ev_brn_3,AG_85_over_Nbr_ch_ev_brn_4,AG_85_over_Nbr_ch_ev_brn_5,AG_85_over_Nbr_ch_ev_brn_6m,AG_85_over_Nbr_ch_ev_brn_Ns,AG_85_over_Tot,Tot_Num_child_evr_brn_No,Tot_Num_child_evr_brn_1,Tot_Num_child_evr_brn_2,Tot_Num_child_evr_brn_3,Tot_Num_child_evr_brn_4,Tot_Num_child_evr_brn_5,Tot_Num_child_evr_brn_6m,Tot_Num_child_evr_brn_Ns,Tot_Tot
111,10015,60,7,0,0,0,5,837,10921,11010,582,186,35,8,0,3,991,12815,9004,1720,1052,309,77,17,10,758,12945,5348,2799,3012,991,266,77,44,598,13142,2678,2174,4757,1888,506,138,110,546,12792,1716,1682,4724,2261,702,185,148,459,11888,1606,1728,5007,2540,737,200,146,485,12442,1601,1616,4900,2475,743,221,134,400,12101,1529,1543,4699,2699,832,204,124,453,12091,1417,1355,4721,2851,980,261,112,422,12116,1097,1093,4338,2787,908,225,90,487,11024,895,854,4004,2605,990,249,121,571,10295,620,630,2844,2070,835,230,129,623,7979,418,334,1620,1465,744,280,203,656,5722,424,518,1631,1515,912,422,326,1125,6874,49375,18690,47499,26505,9250,2718,1705,9414,165148
112,5876,44,5,0,0,0,4,792,6718,4501,355,140,39,5,0,6,642,5685,3894,895,613,222,52,8,7,668,6344,2879,1350,1609,646,185,55,27,672,7419,1753,1231,2472,1221,381,108,61,671,7903,1344,1138,2817,1383,433,149,82,650,7984,1389,1255,2979,1533,600,163,110,685,8712,1443,1155,2935,1671,641,161,92,622,8724,1502,1199,3089,1925,726,183,124,675,9424,1512,1129,3357,2240,899,263,115,659,10179,1265,1016,3328,2288,857,216,125,690,9800,906,809,2859,1989,859,235,101,598,8355,518,451,1912,1501,714,197,137,557,5990,328,258,1063,1079,636,287,174,542,4364,362,331,984,1060,749,324,338,971,5112,29477,12604,30153,18797,7741,2341,1498,10102,112718
113,4611,43,9,0,7,0,4,542,5209,3936,452,213,60,3,0,5,463,5134,2830,919,692,295,75,22,4,424,5258,1475,1076,1336,709,233,59,38,358,5272,770,700,1662,1045,390,125,92,342,5115,553,458,1448,1025,461,154,110,321,4537,493,459,1528,1190,488,168,135,364,4827,542,430,1566,1286,592,154,120,319,5002,533,430,1564,1278,573,205,129,334,5047,519,423,1543,1386,685,214,127,383,5277,383,301,1328,1178,594,196,112,329,4422,269,228,1216,1062,542,183,126,331,3953,195,162,751,755,463,182,138,305,2952,141,99,489,532,411,189,167,277,2296,143,136,453,527,463,250,273,390,2630,17402,6318,15786,12326,5975,2092,1575,5475,66949
114,3650,28,6,0,0,0,0,421,4112,2661,291,120,23,0,0,0,297,3393,2081,641,514,170,39,10,8,271,3722,1333,894,1112,470,131,32,16,248,4234,780,676,1458,727,265,78,31,255,4280,580,544,1483,876,323,96,74,237,4210,646,555,1627,1023,411,121,66,265,4721,779,619,1817,1112,400,141,71,281,5229,870,651,1997,1239,486,119,87,300,5736,880,694,2202,1549,618,161,72,307,6482,879,650,2284,1575,576,140,57,310,6477,779,609,2315,1469,598,145,59,349,6327,500,362,1475,1203,504,126,88,357,4614,272,217,816,805,422,149,88,309,3085,224,205,762,705,421,174,145,440,3084,16922,7631,20001,12943,5191,1502,862,4650,69706
115,8285,14,0,0,0,0,0,433,8738,6878,154,39,7,0,0,0,338,7422,4494,639,351,94,19,0,0,267,5874,2755,1814,1883,555,119,21,6,238,7389,1477,2185,4440,1360,303,58,29,286,10132,993,1658,4959,1891,458,97,40,250,10343,879,1354,4626,2132,610,127,62,233,10019,891,1269,4212,2010,554,134,72,214,9343,755,1217,3596,1778,513,108,71,215,8255,666,1204,3158,1622,557,118,62,181,7566,498,1129,2630,1535,513,129,70,164,6669,434,737,2394,1454,475,100,54,202,5855,300,343,1563,1100,440,111,73,220,4155,162,191,871,717,327,141,76,204,2696,211,233,807,664,384,148,148,434,3031,29685,14128,35529,16912,5282,1301,763,3887,107481
116,10568,81,18,0,0,0,0,1101,11773,10367,740,307,76,18,0,6,1147,12659,8506,2276,1355,462,152,40,17,1170,13971,5070,4697,4191,1300,430,121,80,1079,16963,2739,4235,7387,2219,761,276,181,1049,18843,1689,2578,6146,2439,889,292,290,773,15098,1409,1785,4813,2360,887,330,288,671,12539,1192,1630,4148,2182,923,361,276,566,11277,1040,1319,3808,2120,872,313,259,462,10197,832,1200,3171,2036,907,315,239,488,9190,587,894,2708,1835,825,318,214,427,7803,412,592,2183,1583,779,275,225,476,6529,235,331,1174,1005,548,213,210,341,4052,133,198,645,577,379,214,206,315,2676,144,259,543,478,327,233,330,512,2825,44929,22814,42596,20671,8691,3310,2811,10580,156398
117,4569,3,0,0,0,0,0,524,5099,13947,136,27,5,0,0,5,1750,15858,20890,792,239,39,9,6,0,2304,24285,16927,2711,1066,184,37,8,8,1865,22804,8899,3100,2402,475,88,12,14,1197,16194,4969,2112,2517,680,136,35,26,871,11349,3665,1687,2444,728,178,39,30,622,9396,2855,1534,2316,743,171,46,36,554,8262,2207,1424,2020,776,228,65,44,521,7284,1822,1227,1774,764,244,88,54,466,6439,1273,1113,1637,749,249,84,66,406,5576,838,729,1440,728,252,73,64,372,4495,487,434,1073,530,246,77,55,321,3224,269,268,748,432,215,70,73,306,2373,222,262,629,385,197,105,111,416,2319,83833,17526,20330,7207,2256,703,577,12507,144946
118,5399,11,4,0,0,0,0,436,5845,7329,62,12,4,5,0,0,615,8033,11315,389,98,32,6,0,3,991,12838,9535,1859,852,168,36,6,3,812,13268,4654,2203,2584,666,108,23,13,591,10849,2469,1613,3414,1114,187,24,21,465,9310,2011,1485,3284,1357,269,46,31,403,8881,1831,1368,3032,1338,311,45,24,373,8321,1603,1187,2536,1142,267,46,36,304,7122,1355,1155,2259,1024,265,44,26,273,6408,1079,887,2028,919,248,61,47,285,5561,968,787,2050,1005,307,74,29,358,5579,612,506,1547,870,303,79,47,372,4336,421,332,969,721,284,76,63,401,3268,412,389,943,680,322,109,113,966,3937,51013,14230,25607,11041,2929,630,453,7659,113564
119,14585,29,12,0,0,0,3,1480,16110,17337,741,243,40,7,0,0,1844,20215,16020,2924,1625,521,149,23,12,2007,23282,10235,5215,4161,1685,574,153,64,1777,23870,5470,4442,6596,2845,1038,374,164,1525,22457,3608,3132,6561,3236,1226,443,234,1169,19612,3190,3106,6574,3291,1302,466,255,1117,19299,2877,3165,6614,3208,1265,474,296,1029,18932,2582,3166,6367,2980,1229,463,316,974,18076,2298,3259,5465,2929,1202,494,394,865,16903,1708,2598,4496,2621,1116,439,367,827,14180,1213,1538,4266,2415,1032,356,321,804,11941,773,892,3178,1927,788,334,296,791,8970,472,608,2501,1529,713,285,361,816,7286,555,755,2195,1563,861,432,612,1769,8748,82919,35580,60852,30784,12507,4756,3695,18785,249871
120,6182,4,0,0,0,0,0,429,6616,9634,103,17,3,0,0,0,908,10677,11716,810,244,39,7,0,0,1114,13943,8968,2935,1396,269,59,3,4,887,14525,4668,3033,3324,789,134,37,14,617,12630,2906,2159,3771,1091,211,48,16,494,10700,2636,2065,3866,1309,268,61,20,435,10657,2347,1919,3605,1298,337,56,33,372,9966,2093,1881,3330,1278,320,81,40,337,9355,1767,1677,2743,1137,340,83,51,322,8117,1425,1433,2355,1098,367,100,62,337,7166,1009,914,2215,1184,385,96,58,360,6224,633,483,1549,921,348,115,69,345,4467,322,312,1156,754,337,136,105,321,3438,394,366,1099,805,427,215,214,797,4314,56703,20101,30674,11986,3542,1032,703,8051,132794
121,10961,10,3,0,0,0,0,582,11556,10193,70,13,0,0,0,0,536,10812,10726,682,185,37,0,0,4,599,12240,9021,3278,1789,320,31,5,9,672,15129,5394,4497,5721,1226,181,17,16,642,17696,3614,3563,7076,2078,325,49,23,472,17204,3049,3018,6677,2537,500,69,25,454,16329,2751,2637,6010,2710,581,93,42,416,15232,2304,2398,5154,2339,569,106,37,362,13263,1982,2270,4382,2084,532,97,47,349,11736,1630,2119,3795,1897,583,129,38,372,10566,1409,1434,3859,2073,604,119,71,358,9929,964,786,2933,1734,594,146,66,370,7593,639,422,1733,1407,601,184,79,412,5483,705,537,1679,1524,871,310,242,860,6727,65356,27720,51019,21962,5969,1315,699,7458,181501
122,7344,0,0,0,0,0,0,387,7735,6075,72,21,0,0,0,3,367,6537,5603,466,181,37,5,0,0,408,6700,4447,1734,1208,216,40,6,0,378,8025,2506,1839,3160,1004,130,17,3,329,8986,1602,1442,4212,1548,258,38,10,302,9413,1475,1430,4699,2035,415,55,19,309,10439,1512,1399,4246,1979,463,71,36,282,9976,1359,1228,3637,1783,410,68,23,225,8727,1125,1028,2968,1535,438,97,36,238,7458,908,795,2563,1390,452,96,38,218,6447,679,670,2517,1364,429,107,34,233,6029,459,497,2094,1293,466,103,45,282,5232,256,293,1295,927,386,134,52,282,3624,310,366,1200,1072,528,229,147,639,4488,35645,13259,33993,16172,4408,1007,451,4883,109828
