SUA_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
1010,264,1812,12302,40480,36038,8935,1964,4605,106392,64,651,4615,3898,189,29,17,765,10218,19,472,1689,3469,377,37,13,448,6522,79,1122,6297,7366,567,67,29,1215,16739,84,982,3095,1975,212,31,14,645,7028,23,117,966,401,22,0,0,100,1638,38,271,1717,432,21,4,3,195,2682,0,73,369,157,6,0,0,37,641,12,73,200,82,39,20,5,24,444,154,1506,6350,3047,293,48,25,1000,12429,76,297,439,145,24,11,0,212,1202,33,73,69,54,27,5,8,43,314,602,4811,25453,51090,36952,9066,2029,7069,137075
1011,77,391,1906,9157,7502,1572,371,969,21944,3,129,1139,666,60,8,3,171,2177,5,82,467,791,125,18,8,108,1596,6,210,1605,1460,184,23,10,278,3772,23,312,1365,482,32,6,0,237,2458,3,63,264,57,5,0,0,31,428,0,54,133,73,10,0,0,21,289,5,0,75,36,0,0,0,0,117,3,29,26,8,3,7,0,3,80,41,468,1862,658,46,6,3,291,3374,123,289,182,85,25,5,6,161,865,21,41,42,34,13,0,0,19,175,270,1391,5592,11394,7762,1614,393,1714,30134
1012,21,92,748,5001,5205,748,135,871,12822,3,81,890,265,57,10,0,163,1461,0,7,38,20,0,0,0,14,78,3,83,924,287,56,9,0,179,1537,21,286,683,78,11,0,4,164,1241,0,8,11,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,3,4,0,0,4,21,21,296,701,78,20,0,4,166,1282,13,30,29,9,8,0,0,24,103,9,19,3,4,4,0,0,32,76,67,518,2406,5376,5289,756,137,1271,15825
1013,7,85,616,2963,1854,307,49,235,6110,3,54,515,813,30,0,0,77,1488,0,37,91,88,16,0,0,18,245,3,96,607,898,42,0,0,89,1739,15,202,509,136,4,0,4,81,954,5,43,301,52,0,0,3,27,428,0,29,283,70,5,0,0,29,413,0,4,36,48,0,0,0,12,100,0,0,7,0,0,0,0,0,4,15,276,1135,308,9,3,9,147,1903,33,83,105,23,7,3,0,27,275,0,12,12,11,0,0,0,11,50,63,550,2477,4206,1911,313,52,502,10082
1014,8,119,869,3805,2655,426,103,384,8360,10,133,353,317,46,0,0,77,930,0,3,109,45,12,0,0,11,186,10,134,459,366,54,5,0,88,1112,0,75,183,17,6,0,0,28,309,0,29,34,0,0,0,0,12,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,0,20,0,106,226,21,4,0,0,38,396,13,36,17,9,3,0,0,14,100,0,3,8,9,0,0,0,11,30,30,401,1576,4199,2717,432,104,542,9995
1015,12,59,824,3252,1667,351,67,371,6604,5,108,117,72,7,0,0,35,349,0,28,103,96,20,0,0,29,276,10,138,226,169,22,3,0,64,627,3,111,343,114,11,0,4,64,662,0,0,12,0,0,0,0,0,17,0,5,4,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,3,121,368,114,11,0,4,70,700,18,52,19,42,21,4,0,25,175,3,9,9,4,0,0,0,8,28,46,371,1439,3577,1725,358,68,537,8137
1016,3,41,431,2731,2180,272,42,352,6058,0,43,139,156,6,0,0,28,380,0,30,21,8,0,0,0,14,76,0,70,156,169,6,0,0,44,451,4,129,519,178,8,4,0,109,953,0,4,23,3,4,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,10,4,133,544,183,14,3,0,106,998,10,43,22,13,5,0,3,47,147,3,0,4,3,4,0,0,8,25,23,300,1166,3093,2209,278,42,561,7680
1017,14,75,680,2485,1207,233,64,379,5135,0,0,36,17,3,0,0,5,61,0,3,41,0,0,0,0,10,55,0,5,80,18,3,0,0,12,116,9,89,166,19,0,0,0,59,346,0,3,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,94,181,19,0,0,0,66,365,10,22,10,10,3,0,0,56,105,0,3,5,0,0,0,0,6,19,38,201,949,2528,1213,239,64,516,5745
1018,25,95,907,4654,2601,508,108,422,9323,14,147,724,250,22,0,0,89,1239,7,60,230,171,15,9,3,57,555,14,207,954,424,38,10,3,143,1788,18,129,357,118,25,0,4,66,719,0,6,62,3,0,0,0,11,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,9,18,142,422,123,31,0,4,75,816,45,113,50,7,0,5,0,43,256,0,4,15,6,0,0,0,10,40,106,554,2342,5219,2673,524,111,693,12224
1019,6,61,842,2154,1063,176,60,264,4619,12,54,261,163,3,0,0,58,549,0,25,34,29,0,0,0,11,94,12,73,293,185,3,0,0,70,638,0,40,62,17,0,0,0,11,131,3,4,4,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,4,44,67,22,3,0,0,14,152,4,3,6,8,0,5,0,7,32,0,8,0,3,5,0,0,0,13,31,187,1202,2366,1073,179,63,353,5458
1020,11,83,418,1532,2337,430,124,197,5122,0,0,41,20,3,5,0,12,77,0,0,3,19,0,0,0,6,34,0,0,44,41,8,4,0,10,107,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,13,0,3,17,0,0,0,0,0,22,23,48,13,4,0,0,0,22,108,0,5,0,0,0,0,0,0,6,39,133,488,1579,2342,431,123,228,5371
1021,38,223,1177,3188,3559,724,202,341,9452,0,30,355,256,8,0,0,37,697,0,5,53,93,25,0,0,10,177,0,31,403,350,37,0,3,47,877,0,41,75,25,11,0,0,10,153,0,0,7,0,0,0,0,0,13,0,0,17,7,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,5,16,0,5,0,0,0,33,0,45,114,29,15,3,0,6,218,0,41,73,7,0,0,0,29,149,9,11,13,0,8,0,0,0,40,41,355,1781,3579,3612,730,209,426,10734
1022,4,35,310,1747,1623,276,49,189,4239,4,65,256,203,9,0,0,58,597,0,0,9,3,6,0,0,3,21,4,65,269,200,15,0,0,59,616,0,16,18,0,0,0,0,4,44,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,0,0,0,0,4,53,0,16,20,0,0,0,0,88,131,0,9,0,4,0,0,0,0,16,8,146,624,1959,1645,276,55,345,5051
1023,3,36,254,1708,1652,272,42,232,4199,0,81,164,111,17,4,0,57,434,0,28,82,54,0,0,0,23,185,3,107,240,162,22,4,0,83,621,0,0,13,10,0,0,0,5,22,0,0,9,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,0,0,0,0,33,5,19,0,0,0,0,0,4,35,7,10,5,7,0,0,0,0,22,23,174,521,1887,1678,273,40,323,4915
1024,11,95,878,3081,3042,682,133,306,8230,0,65,627,500,38,4,0,79,1304,0,28,163,999,253,18,7,68,1532,0,94,788,1496,283,21,10,146,2838,0,69,118,52,13,3,3,34,292,0,26,132,71,4,0,0,10,242,0,14,263,152,13,0,0,11,459,0,0,0,0,0,0,0,0,0,0,4,4,11,3,0,0,0,25,9,111,513,291,33,4,3,53,1023,8,40,67,35,4,0,0,32,191,6,24,17,25,4,0,0,9,85,29,358,2264,4934,3369,717,147,544,12359
1025,234,1683,17937,70130,51870,9572,1799,5138,158373,29,1407,7434,3998,387,39,19,865,14172,49,1012,3578,4353,590,97,34,604,10320,77,2422,11013,8350,972,141,52,1467,24492,172,2413,2933,665,81,14,14,695,7002,43,581,1615,320,6,4,3,334,2913,64,621,1310,616,29,0,8,166,2809,24,500,792,340,24,0,0,57,1737,12,130,238,128,49,25,6,57,638,318,4242,6884,2077,193,45,34,1313,15099,106,387,386,118,36,11,0,222,1262,25,89,66,64,30,9,9,55,347,757,8825,36294,80732,53106,9781,1891,8195,199577
1026,23,168,952,5132,4729,893,206,706,12806,0,138,717,277,31,0,5,114,1279,0,72,123,59,3,0,0,35,294,0,213,839,336,34,4,5,147,1570,5,105,143,59,5,0,0,49,366,0,0,10,9,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,7,4,4,0,0,39,5,112,168,77,8,7,0,49,432,6,29,41,3,0,4,0,56,138,4,19,0,7,3,0,0,30,64,37,540,2010,5559,4773,900,214,998,15023
1027,21,129,968,6039,5202,900,145,649,14052,8,199,809,320,30,0,5,137,1505,0,84,68,43,3,0,0,31,234,8,280,875,367,30,0,5,162,1733,3,135,287,63,16,0,4,66,575,0,3,27,3,0,0,0,29,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,4,0,0,0,18,3,145,317,73,17,0,0,96,655,3,28,12,6,11,0,0,6,76,7,10,10,18,7,0,0,12,51,48,592,2181,6497,5271,909,153,922,16569
1028,24,139,1178,6126,5059,1035,171,489,14222,5,155,1363,972,83,5,5,192,2780,3,41,275,557,78,15,0,51,1027,10,199,1641,1531,155,16,5,246,3809,4,345,680,249,14,0,0,101,1401,0,33,470,94,6,0,0,30,628,14,144,560,259,7,0,0,50,1032,0,13,78,58,0,0,0,3,155,0,0,0,7,13,0,0,0,20,20,538,1788,663,31,4,4,187,3245,30,58,41,17,8,0,0,16,166,4,18,18,17,4,0,0,20,88,88,953,4670,8347,5263,1057,177,963,21528
1029,8,45,320,2065,2171,368,96,216,5285,0,18,137,218,22,3,0,36,430,0,18,129,55,8,0,0,30,243,0,42,263,268,35,3,0,65,681,0,46,137,50,5,0,0,29,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,46,137,50,5,0,0,29,263,12,56,12,6,6,0,0,30,121,0,3,0,5,0,0,0,0,12,21,193,742,2390,2210,365,94,338,6356
1030,18,89,847,3453,2428,379,86,333,7633,4,17,373,221,16,4,4,44,677,0,0,52,31,0,0,0,6,94,5,16,419,258,19,5,4,44,768,4,24,79,72,10,0,0,27,219,0,0,0,0,0,0,0,0,6,0,0,3,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,9,9,6,0,0,7,31,4,25,97,92,18,0,0,28,265,4,30,14,4,0,4,0,9,64,0,3,10,0,5,0,0,6,27,33,166,1389,3802,2466,386,85,428,8756
1031,1558,8742,58054,324864,356931,116651,26878,35949,929619,693,5165,24650,30781,6146,971,225,3924,72558,600,8065,31098,74483,28286,4068,752,7757,155107,1293,13232,55749,105264,34438,5033,974,11680,227665,2428,19306,48248,14163,1604,345,199,6967,93262,2674,23376,104067,20917,962,119,125,9469,161703,4016,41142,109597,27074,1006,147,82,12051,195119,3429,35082,63318,15352,611,47,52,7982,125875,141,1169,3297,1599,958,468,187,671,8495,12694,120072,328530,79110,5145,1122,647,37143,584456,358,1839,2972,1484,312,96,51,1046,8163,265,870,1171,586,389,161,67,698,4211,16167,144752,446476,511305,397209,123063,28624,86517,1754112
1032,21,118,1094,6504,5120,794,179,924,14759,13,260,1087,336,21,3,0,215,1937,3,73,209,56,8,0,0,46,398,20,332,1294,393,29,3,0,265,2333,9,84,184,32,5,0,0,49,371,0,0,21,0,0,0,0,10,29,0,0,17,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,6,5,4,0,0,0,14,9,88,225,43,8,0,0,57,434,9,48,25,9,0,0,0,80,169,0,25,23,25,4,0,3,18,104,66,618,2666,6969,5160,801,184,1342,17805
1033,13,103,908,4640,2386,408,114,604,9173,9,143,565,106,9,0,0,73,904,0,0,44,19,4,0,0,9,73,9,146,609,123,13,0,0,76,978,14,168,432,44,5,0,0,94,756,7,14,18,0,0,0,0,6,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,12,20,182,453,43,9,0,0,97,812,4,26,12,5,0,0,0,41,94,3,10,4,4,0,0,0,0,25,43,466,1983,4817,2406,415,114,823,11073
1034,7,75,607,2782,2194,399,64,301,6426,3,29,115,116,12,0,0,22,297,0,27,106,123,17,0,0,19,300,3,62,223,246,27,0,0,43,599,5,30,55,37,4,0,0,11,149,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,20,5,34,64,47,4,0,3,15,172,9,30,119,55,3,0,0,54,269,0,3,14,6,4,0,0,5,34,23,195,1031,3131,2236,402,69,420,7501
1035,21,103,1392,8001,6907,1266,208,795,18693,10,100,644,154,11,3,0,121,1050,0,8,121,91,5,0,0,11,238,6,108,764,251,16,4,0,132,1288,7,277,1503,189,20,6,3,190,2192,0,40,53,16,0,0,0,8,120,0,15,22,11,0,0,0,3,53,0,0,0,0,0,0,0,0,0,0,5,4,6,4,0,0,0,25,6,336,1582,229,19,5,3,202,2388,12,27,23,19,8,0,10,15,109,0,9,10,14,0,4,3,35,75,54,575,3783,8508,6947,1274,224,1177,22550
1036,100,762,5907,36896,29052,6670,1365,2826,83570,42,534,2859,2279,219,31,5,374,6335,13,594,2617,4739,579,49,17,511,9129,59,1126,5468,7019,799,76,22,890,15461,69,1373,3947,1222,151,34,16,533,7348,18,391,2264,541,26,3,0,305,3547,27,569,2560,1028,35,0,3,261,4484,12,243,1114,657,37,0,0,95,2168,7,81,141,86,66,20,8,21,432,135,2654,10021,3542,310,65,36,1222,17982,41,260,453,120,33,18,4,140,1066,15,38,62,55,9,10,7,44,234,346,4838,21913,47633,30201,6832,1434,5115,118315
