SUA_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
1000,420149,417095,837245,43,11,60,101,70,169,620,881,1508,871,1050,1915,305,246,556,183,126,306,550,443,994,1854,2246,4107,239,187,424,238,250,484,1804,1491,3298,257,406,660,140,81,220,101,80,181,839,720,1561,1181,739,1912,163,363,527,178,220,400,284,201,481,615,615,1229,370,340,711,1332,1352,2681,5592,5682,11273,213,131,342,1129,2752,3883,214,267,481,180,260,440,1660,1662,3317,290,260,554,146,296,442,277,1014,1292,15933,16117,32050,1437,1740,3178,309,367,676,7205,7202,14407,46018,43594,89616,881,626,1509,513899,511196,1025095
1001,38666,41537,80196,9,0,14,49,47,92,52,47,97,82,131,216,67,85,154,24,19,38,46,33,79,255,272,524,35,32,65,23,23,56,844,646,1490,15,49,62,23,24,48,7,10,12,52,44,97,83,66,149,6,20,22,30,35,66,22,10,31,55,63,115,235,226,463,169,158,326,481,477,956,57,36,90,258,447,705,25,39,58,18,27,51,130,131,263,82,71,153,13,29,39,27,109,137,1137,1103,2244,96,103,204,122,135,257,1169,1270,2434,2585,2553,5137,37,44,79,47081,50141,97225
1002,8314,9078,17396,0,3,3,57,42,98,30,36,62,54,84,133,0,4,5,9,0,10,16,10,29,35,39,76,3,7,7,8,13,20,129,132,260,4,19,24,19,19,41,268,310,581,17,8,23,6,12,18,6,25,26,9,13,18,3,4,3,21,20,38,124,138,259,15,25,48,122,112,232,23,14,33,60,104,158,4,5,14,5,9,11,49,49,98,42,54,95,5,12,17,8,16,26,294,298,596,63,72,135,26,40,67,318,331,646,1139,1343,2484,23,18,40,11339,12512,23854
1003,18275,19398,37674,0,0,0,4,4,6,69,82,149,19,44,59,4,4,11,5,7,12,15,18,37,81,97,182,5,6,8,12,24,34,97,87,183,14,33,54,14,9,24,0,0,5,47,31,78,63,42,105,27,57,89,11,11,27,3,0,3,31,36,61,17,15,28,59,87,149,372,400,775,3,3,5,32,132,165,10,18,19,14,14,28,130,128,262,15,14,30,5,3,7,29,100,128,955,1040,1993,105,131,241,13,25,45,420,494,919,1247,1359,2606,31,36,68,22260,23993,46251
1004,6639,7016,13653,0,0,0,0,0,0,10,23,37,28,23,53,44,41,81,0,4,8,3,7,14,49,70,120,23,13,36,3,0,9,51,44,93,6,12,16,0,0,0,0,0,4,14,33,48,37,33,71,0,12,12,9,3,13,6,0,9,10,13,27,22,14,37,34,38,72,140,132,268,0,0,5,16,73,87,14,11,27,8,4,9,39,38,73,3,0,5,0,0,6,7,25,34,495,510,1004,38,32,66,9,14,20,177,218,397,703,685,1382,12,9,21,8644,9168,17810
1005,15838,15952,31792,11,9,20,31,26,56,29,23,47,42,63,103,13,14,27,11,9,21,30,21,50,38,39,80,16,11,17,3,6,14,192,152,349,16,18,29,24,9,36,14,3,20,37,34,71,25,22,39,6,21,20,14,18,35,32,14,42,18,28,53,91,84,177,33,46,81,218,174,392,38,27,67,103,141,246,9,10,16,10,13,20,55,60,120,50,43,97,5,4,4,25,56,74,427,425,853,38,48,88,38,45,84,242,224,465,985,888,1874,20,19,45,18822,18791,37614
1006,15202,16779,31981,3,0,3,18,9,23,50,61,106,61,103,161,15,21,34,15,5,21,23,35,56,98,117,220,25,24,51,40,44,83,214,173,381,15,26,44,13,18,33,11,4,17,72,50,121,91,70,162,4,25,31,18,16,35,17,14,29,24,30,60,212,187,401,66,78,142,304,333,641,20,8,27,93,139,233,28,40,72,29,20,48,113,144,258,21,24,43,17,33,50,33,77,112,1341,1353,2693,99,119,215,15,30,44,475,530,1011,932,1034,1970,33,39,69,19866,21829,41693
1007,7452,7786,15234,3,0,3,0,4,4,6,3,14,10,11,23,0,0,7,3,0,3,3,8,9,14,23,37,7,6,12,0,4,0,35,38,67,4,3,5,5,0,3,0,0,0,7,5,11,5,18,22,4,0,4,0,0,3,0,0,0,8,6,17,4,3,8,3,10,19,46,36,84,4,0,4,65,133,205,0,0,5,0,0,0,5,13,21,4,4,8,0,0,0,5,10,11,102,92,192,7,18,27,3,3,8,69,73,141,750,799,1551,7,10,15,8647,9132,17779
1008,3474,3725,7198,0,0,0,0,0,0,32,45,81,5,16,21,3,0,3,4,4,5,3,4,7,62,92,155,3,0,5,3,7,7,23,12,28,8,4,15,5,0,5,0,0,0,31,13,49,82,57,140,31,56,87,5,3,8,0,0,4,0,9,16,6,5,10,18,48,65,153,139,293,0,0,0,5,34,40,6,10,13,4,4,11,40,40,76,4,5,8,6,6,11,9,30,37,374,339,708,69,101,169,5,10,12,479,539,1014,474,469,945,61,48,112,5500,5869,11368
1009,7598,8026,15627,0,0,0,0,0,0,12,23,33,9,17,24,0,5,3,0,0,0,5,8,9,35,55,86,0,11,5,0,5,3,22,15,35,7,3,7,5,0,9,0,0,0,18,17,33,14,6,23,0,6,8,0,9,9,0,0,0,7,5,16,0,0,0,37,47,83,102,103,206,0,0,0,8,36,41,7,13,18,0,0,3,23,25,45,7,0,7,0,0,0,3,19,25,471,491,963,33,38,68,0,8,8,99,124,230,422,403,828,12,8,22,8950,9518,18472
1010,131447,138875,270321,12,11,20,70,61,134,310,352,662,716,1198,1917,159,144,307,230,200,433,199,245,443,539,677,1213,183,158,340,185,191,374,1243,1119,2364,226,307,531,118,112,231,28,25,53,561,585,1143,557,382,935,106,254,356,346,460,809,136,101,245,224,292,519,289,251,541,432,494,929,2908,2906,5820,112,82,202,743,1739,2482,189,244,427,101,138,237,1002,1077,2082,156,145,302,36,76,112,204,650,851,9170,9249,18420,592,631,1227,162,269,428,3923,4368,8286,7848,8752,16599,176,174,346,165650,176976,342625
1011,28355,30385,58738,31,30,66,3,0,5,82,112,192,79,131,208,13,14,23,28,13,41,42,51,90,162,186,354,14,9,23,28,43,65,674,677,1349,25,65,88,12,8,17,179,206,385,69,73,140,76,58,136,43,76,113,30,30,64,11,11,21,199,190,389,53,41,98,103,114,215,467,559,1026,17,18,33,100,301,398,23,34,59,18,17,34,194,208,402,25,18,46,25,70,102,51,131,181,1423,1473,2897,118,144,259,41,41,84,1082,1236,2318,2132,2242,4377,143,129,274,36176,39155,75326
1012,15795,17298,33093,0,0,0,78,65,146,8,10,19,81,84,168,0,0,3,9,6,13,42,29,66,20,32,48,9,11,18,14,15,29,406,353,755,12,10,21,11,9,19,3,0,6,29,13,43,14,19,30,3,9,13,20,25,46,12,20,24,15,23,35,355,343,699,34,25,58,150,144,292,99,65,162,139,207,339,3,10,17,7,6,14,44,68,108,99,85,182,9,26,39,15,30,43,243,234,483,16,31,52,16,29,44,226,227,453,1660,1671,3337,27,25,54,19728,21266,40994
1013,8255,9262,17524,0,0,0,9,3,6,7,24,29,16,23,40,18,10,21,17,7,28,3,8,11,38,47,88,3,4,9,6,5,11,39,33,74,14,15,27,0,10,10,0,4,8,13,20,41,34,12,49,0,4,0,4,11,14,5,6,12,6,14,24,36,40,75,37,32,68,115,139,250,4,0,4,30,84,111,9,10,19,0,11,11,39,27,67,3,5,6,0,3,3,8,30,37,428,432,861,17,29,44,6,17,18,150,173,323,620,719,1336,10,17,24,10011,11266,21276
1014,10328,10478,20809,8,0,9,20,13,32,9,12,17,69,59,129,7,11,14,8,4,14,27,21,55,26,26,50,18,16,30,4,7,11,120,113,231,14,19,33,14,4,13,7,0,10,22,9,35,18,15,35,5,5,7,31,21,48,22,6,22,11,23,34,76,71,150,19,20,36,130,118,251,23,14,34,65,116,183,11,12,22,5,4,10,25,17,37,12,9,20,7,9,11,10,36,47,298,277,576,22,27,46,17,8,30,238,208,450,751,686,1435,18,15,34,12510,12507,25022
1015,8146,8684,16838,0,0,0,9,0,8,6,7,15,15,18,30,0,0,4,0,0,4,7,3,15,12,26,38,4,0,8,10,7,16,49,42,86,7,10,14,6,3,8,0,0,0,4,3,17,0,4,4,0,8,10,3,4,4,0,0,4,4,10,14,8,3,12,20,23,39,73,66,141,4,0,5,7,66,77,3,3,6,6,8,9,6,15,19,11,11,24,4,5,9,4,11,17,157,176,331,14,16,27,7,10,15,80,84,162,643,678,1322,45,8,50,9359,10023,19386
1016,6821,7074,13896,29,15,48,10,15,27,0,7,6,32,48,79,0,0,0,0,3,5,89,77,168,19,15,30,0,0,0,0,6,11,981,829,1812,6,11,19,6,3,12,5,0,0,18,12,23,313,382,696,0,3,3,7,8,16,7,5,10,135,117,249,13,10,22,12,5,15,177,184,357,105,57,167,175,184,367,0,0,4,0,0,0,56,56,113,19,17,38,49,76,119,4,24,28,102,102,212,10,14,31,5,7,12,391,396,788,741,665,1402,85,34,119,10440,10462,20896
1017,6656,6583,13239,0,0,0,4,0,0,4,15,18,22,19,43,0,0,0,0,4,0,7,5,18,26,27,52,5,0,5,3,0,3,30,23,54,5,4,8,4,0,5,11,0,11,9,3,9,8,0,8,0,0,0,0,4,4,11,0,11,4,5,10,10,4,11,11,10,19,70,48,118,0,0,0,20,87,109,3,0,3,0,0,0,9,7,12,0,4,5,3,5,7,11,15,25,144,145,291,15,9,20,15,3,17,70,64,134,702,710,1409,4,3,10,7881,7817,15698
1018,11633,12456,24085,0,0,0,6,7,14,30,34,66,21,30,53,6,4,12,17,11,32,13,10,20,59,58,115,8,0,8,9,6,20,96,62,160,6,13,20,8,7,15,0,0,3,11,10,21,47,42,100,11,31,39,19,17,31,6,0,4,18,22,44,27,24,51,18,28,51,142,174,321,11,13,29,31,140,170,3,6,18,5,10,14,48,47,96,16,16,31,0,10,16,14,38,45,354,343,698,54,46,100,25,35,60,202,232,434,1069,1132,2198,34,15,53,14087,15142,29225
1019,5125,5028,10160,0,0,0,3,0,5,3,4,7,23,23,51,6,8,8,4,0,4,7,6,12,16,16,35,10,6,16,10,9,16,41,33,69,7,3,14,8,0,8,0,0,0,6,12,15,18,17,39,0,0,4,0,4,3,10,3,13,10,11,20,11,10,23,13,17,36,56,84,139,6,4,13,31,56,87,11,13,18,5,4,9,10,16,21,11,3,11,0,0,0,6,28,35,177,189,370,12,13,21,13,11,26,102,86,183,475,402,876,0,0,0,6251,6122,12376
1020,6483,6349,12831,0,0,0,0,0,0,8,8,21,11,13,20,0,4,5,0,3,3,5,8,14,23,21,40,3,4,9,0,0,4,9,13,23,4,4,12,3,0,7,0,0,3,11,5,20,9,4,10,0,5,5,7,4,6,4,0,6,12,20,32,4,0,3,27,17,39,76,64,142,0,3,8,12,39,48,5,7,7,7,0,7,37,30,70,0,4,6,4,0,0,6,21,32,286,285,570,17,22,36,0,6,11,97,74,172,302,257,562,14,3,14,7468,7328,14796
1021,11159,11674,22837,4,0,4,13,9,22,16,13,36,12,30,47,14,3,16,3,10,18,24,25,45,45,48,89,3,7,9,3,11,20,44,42,81,6,16,20,10,9,18,0,8,4,22,29,53,21,22,41,3,13,15,10,19,28,13,6,18,9,20,28,7,9,14,35,52,86,293,330,618,7,3,6,29,100,132,8,18,27,8,5,8,81,89,171,7,7,15,0,4,3,24,33,58,506,563,1073,42,51,93,8,7,12,327,326,653,450,530,978,4,10,15,13275,14139,27415
1022,5403,5530,10935,0,0,0,4,7,19,13,10,22,15,9,23,5,0,6,3,0,3,6,3,9,7,23,29,3,3,11,0,0,5,22,22,49,4,8,7,0,0,0,0,0,0,6,16,23,8,0,10,5,8,6,0,11,9,8,3,4,3,7,7,24,23,47,8,12,18,62,57,122,4,0,4,24,42,69,5,3,4,0,4,6,21,12,36,3,4,5,0,0,0,10,23,34,145,164,304,10,17,31,10,5,15,65,79,145,377,359,737,0,4,4,6294,6481,12764
1023,5424,5058,10479,0,0,0,4,8,8,4,3,6,22,20,48,4,3,3,0,0,0,6,8,16,4,3,11,0,0,3,3,4,8,49,42,94,3,4,11,0,0,0,5,0,5,7,4,13,3,4,7,0,5,5,6,0,3,5,0,9,10,9,19,14,4,17,9,5,17,112,83,195,3,7,8,40,81,123,4,0,9,0,5,8,21,17,41,12,5,13,0,5,5,12,28,43,88,84,166,10,4,20,23,0,21,90,81,164,448,369,818,7,4,8,6458,5962,12421
1024,10659,11495,22150,0,0,0,0,3,4,31,42,77,20,42,58,37,36,70,17,9,24,13,10,28,75,94,170,31,20,47,13,8,22,47,41,89,5,15,21,0,0,0,3,0,3,42,38,79,59,40,101,3,17,23,7,9,8,4,3,12,25,26,51,60,35,95,43,58,98,220,249,472,6,0,3,40,98,131,20,18,37,7,14,25,94,92,184,9,0,7,0,4,4,23,57,78,944,978,1922,52,72,126,10,19,25,281,354,632,635,656,1296,11,9,22,13540,14661,28200
1025,209161,217556,426714,164,163,325,243,199,439,378,459,838,1055,1243,2299,180,176,353,131,108,241,203,197,403,824,970,1797,234,267,500,240,299,540,1947,1696,3651,229,312,543,190,172,361,99,69,171,449,378,834,550,503,1060,93,202,292,356,404,756,75,53,133,486,577,1058,460,368,826,441,427,863,2690,2489,5177,536,253,789,794,1962,2760,203,316,518,131,165,303,948,966,1916,256,237,497,72,147,219,258,739,993,6857,6707,13562,703,840,1545,387,557,945,4697,5066,9764,10136,10162,20298,231,256,488,247098,257659,504762
1026,15549,15444,30999,0,0,0,14,10,28,27,35,64,75,86,162,16,19,40,18,7,29,28,19,50,53,77,133,18,9,29,6,11,18,232,195,426,9,32,41,29,12,40,11,3,15,38,19,53,49,28,79,8,19,26,27,20,43,14,6,18,17,20,39,62,52,116,52,57,106,220,195,417,27,16,47,87,211,306,13,17,27,5,10,14,41,60,98,25,37,60,0,9,9,31,81,112,808,820,1628,56,57,115,24,24,45,328,333,659,1335,1333,2669,27,15,39,19394,19405,38803
1027,17195,18241,35435,5,3,9,16,14,28,22,39,63,81,96,183,11,10,26,7,3,7,21,26,43,47,64,109,13,15,29,13,18,33,272,242,514,16,26,39,8,8,19,10,12,22,27,9,41,38,40,77,3,19,20,33,35,67,3,6,10,28,29,50,113,118,232,39,45,80,219,202,424,45,36,82,129,167,298,6,22,26,10,20,28,92,97,184,43,23,62,7,13,18,33,53,90,420,402,830,44,46,90,27,28,55,361,355,713,1128,1230,2354,33,24,60,20612,21845,42452
1028,19409,21688,41100,0,0,6,7,3,10,49,67,112,65,82,146,23,17,37,29,20,49,27,27,55,104,117,223,9,9,21,21,28,49,164,150,318,11,32,44,14,13,24,7,3,11,65,58,130,53,37,84,15,25,40,18,33,51,8,10,13,29,36,69,63,59,129,75,105,181,370,426,792,20,10,35,97,222,323,16,25,39,17,18,34,124,146,270,26,30,50,6,11,12,20,68,90,1304,1325,2630,93,92,184,17,46,64,466,497,960,1265,1299,2562,43,38,85,24160,26854,51016
1029,7582,7123,14704,0,0,0,7,5,10,4,4,4,28,16,45,0,0,0,0,0,0,30,13,40,16,12,22,0,0,0,0,4,3,44,39,79,5,3,4,0,0,0,0,0,0,13,16,31,12,3,13,0,0,0,5,4,5,3,0,0,12,7,20,5,4,9,21,16,31,181,172,352,5,4,4,75,108,185,6,0,4,0,4,9,44,57,106,4,9,9,3,6,9,16,33,49,172,151,322,5,9,15,15,17,34,75,78,151,613,356,964,7,5,17,9011,8266,17273
1030,7618,8196,15810,0,0,0,6,0,6,22,17,35,16,25,41,33,34,62,12,6,16,10,5,22,61,71,128,38,38,79,9,7,10,12,18,32,8,8,18,0,0,0,4,5,6,32,24,59,51,39,86,0,5,12,5,9,11,4,4,8,6,10,16,8,5,14,33,27,59,129,149,278,5,0,3,29,74,102,20,19,37,7,9,17,26,27,48,3,4,10,0,0,0,0,19,26,602,588,1188,36,51,80,7,12,21,247,242,491,557,594,1148,10,12,22,9651,10321,19973
1031,1319828,1317210,2637034,7802,6115,13919,14911,12791,27704,4460,5215,9677,104204,131880,236081,5908,6574,12484,9897,9294,19188,15510,18169,33681,7689,8588,16282,12321,14249,26575,21421,24275,45701,98951,86251,185202,15446,19371,34819,13519,12266,25782,26332,26166,52498,11256,9702,20954,19340,18212,37557,4005,8552,12554,22633,27183,49818,31546,29685,61229,16613,17774,34388,32452,26018,58471,3909,3683,7590,40243,38373,78613,17751,13048,30797,36563,52078,88641,4791,6346,11134,5980,6880,12864,18377,18726,37101,14382,14027,28413,5631,7300,12928,8362,17001,25359,84901,74393,159294,11836,12557,24390,40963,52274,93238,159526,170144,329673,111427,107105,218538,6287,6776,13060,2386968,2436252,4823218
1032,17651,18782,36436,3,0,3,20,14,31,19,19,36,119,132,255,0,6,3,16,21,38,79,32,110,21,24,47,8,3,10,14,16,26,249,215,459,23,34,56,12,13,22,4,7,9,19,19,39,20,12,31,8,13,15,11,17,25,8,11,13,40,33,72,100,107,204,27,23,44,148,158,303,51,25,76,242,271,514,7,3,11,13,9,19,40,53,96,23,23,42,89,73,165,22,48,74,298,301,602,37,37,78,168,169,338,244,213,454,1726,1824,3546,47,21,59,21614,22765,44379
1033,10671,11630,22306,0,0,0,6,6,12,5,12,18,28,42,66,0,3,4,10,7,19,5,9,16,38,36,68,8,0,12,5,4,8,75,76,157,4,5,7,0,0,0,5,5,9,20,8,31,18,5,20,3,11,9,5,5,18,4,10,12,8,15,20,16,19,31,40,37,79,98,101,201,12,13,23,49,127,170,6,5,7,3,10,11,20,16,36,7,9,13,0,0,0,9,34,44,328,334,663,31,29,59,10,19,32,148,142,291,1089,1109,2200,6,5,15,12789,13910,26700
1034,6705,7157,13865,0,0,0,0,0,0,15,17,29,10,17,30,13,14,26,6,4,6,5,6,3,30,44,76,10,5,13,3,7,8,21,19,45,6,3,12,4,4,8,0,0,0,14,12,26,50,27,74,0,13,13,8,7,19,3,0,4,6,11,13,0,0,0,29,32,61,112,130,237,3,0,6,20,50,75,3,10,16,0,3,9,25,33,61,3,0,4,0,3,4,4,33,36,450,449,899,28,35,64,4,18,19,139,177,318,527,497,1023,6,8,16,8282,8848,17131
1035,22993,24954,47947,28,19,44,48,41,83,30,31,54,172,170,341,8,12,15,62,57,119,97,46,143,47,57,103,17,13,29,17,23,45,453,393,846,13,22,32,33,32,62,381,427,810,33,44,77,36,27,65,10,7,18,16,25,43,7,8,16,76,70,147,85,76,161,43,34,79,218,199,414,59,47,107,181,219,403,5,8,14,13,16,28,86,92,176,80,62,144,6,21,29,17,63,81,426,426,854,48,61,108,41,33,72,593,553,1137,1485,1515,2997,92,32,125,28053,29926,57977
1036,114580,117346,231926,27,34,59,131,90,227,274,366,637,964,1090,2054,465,499,966,168,142,313,158,167,325,731,871,1602,378,427,808,125,127,251,1552,1069,2627,128,226,356,194,184,376,222,250,474,362,340,703,1317,1444,2763,67,160,231,170,208,378,392,381,770,205,241,452,197,177,373,461,507,971,1623,1626,3245,355,182,529,531,1289,1822,192,285,480,98,118,216,539,549,1092,164,174,329,45,77,121,258,689,948,7139,7677,14811,483,578,1058,479,640,1120,7778,8330,16112,6171,6302,12474,135,148,284,149257,155042,304302
2000,287905,286438,574338,49,14,63,60,42,101,409,501,913,552,676,1230,315,230,544,163,84,246,162,182,347,1453,1635,3084,433,296,733,139,145,287,1448,1178,2622,181,306,482,71,30,98,54,40,95,673,559,1223,1544,1132,2677,66,244,315,59,86,148,84,53,134,921,794,1716,207,164,369,1713,1585,3297,4032,4174,8202,116,67,183,1050,2149,3203,228,223,454,120,162,279,815,865,1684,331,284,620,195,304,501,373,850,1227,12764,13257,26016,772,971,1747,383,439,824,5158,4914,10065,28572,27199,55777,386,330,716,353956,352592,706549
2001,9619,10058,19674,3,0,0,13,10,25,11,13,29,11,33,45,15,21,41,4,3,8,4,16,24,47,58,106,23,16,39,9,6,9,362,349,708,5,11,15,3,4,7,4,0,4,27,29,56,62,26,84,4,5,15,7,3,13,4,4,8,10,12,31,3,0,5,55,50,100,181,163,350,21,11,30,36,87,122,11,16,28,22,16,31,37,45,80,37,26,65,0,0,0,4,17,21,444,514,956,31,42,70,20,31,54,339,356,692,474,484,954,10,10,20,11960,12567,24519
2002,6069,6623,12698,0,0,0,0,0,0,9,12,23,12,23,31,0,7,3,12,4,12,5,9,12,30,46,71,5,0,5,6,0,13,54,40,94,3,3,10,3,4,6,3,4,0,12,9,17,27,32,63,0,4,6,0,11,13,4,0,8,25,24,47,5,7,15,36,29,68,64,85,146,7,9,15,34,113,146,4,8,9,4,10,11,25,24,49,13,9,20,0,12,12,15,27,43,232,264,499,12,17,27,28,26,55,109,86,199,558,631,1191,4,0,8,7442,8212,15656
2003,44698,48474,93176,13,5,21,48,44,98,67,77,143,310,385,691,59,61,121,31,16,49,32,37,72,136,170,308,39,32,68,41,34,73,1001,826,1833,32,53,90,31,37,70,29,21,54,87,85,172,102,73,171,24,64,85,33,39,69,9,4,15,114,136,250,110,104,211,211,267,476,464,489,947,110,75,183,234,395,632,27,39,60,37,45,79,135,128,269,137,109,247,15,36,54,45,112,163,1429,1497,2933,153,155,309,58,106,163,705,849,1545,2676,2808,5482,58,47,102,53541,57918,111465
2004,41745,45267,87012,45,39,84,35,30,67,40,54,96,139,217,355,18,29,48,43,33,79,22,33,55,92,100,189,29,28,60,26,25,57,655,553,1209,20,59,84,29,24,54,11,11,21,67,51,120,64,61,121,12,20,30,31,43,75,10,3,19,141,146,286,64,54,123,102,96,202,365,360,729,65,48,117,228,415,647,14,12,27,24,30,51,126,130,255,145,121,269,28,37,64,344,401,743,972,1022,1994,67,93,165,43,87,130,841,946,1790,2541,2612,5153,46,40,88,49302,53363,102663
2005,4358,4661,9019,0,0,3,0,0,0,16,11,33,15,4,19,5,9,11,5,0,4,0,3,0,25,31,59,4,6,15,3,5,7,31,17,53,8,5,13,6,0,6,3,0,3,18,5,24,10,10,21,3,8,15,0,4,4,7,0,7,20,18,32,0,0,0,24,18,41,87,91,174,0,0,0,10,18,25,3,3,11,0,3,3,19,25,40,16,4,19,3,0,5,5,4,6,281,243,520,31,25,57,51,3,50,127,93,215,353,408,757,10,5,19,5564,5746,11309
2006,5163,5463,10629,16,6,25,5,3,8,0,0,3,78,79,158,4,3,4,6,0,11,5,5,10,9,9,22,5,0,5,0,10,12,36,29,61,3,0,3,0,3,5,0,0,0,9,0,10,22,19,37,0,3,3,9,9,16,0,0,0,9,14,18,14,10,14,19,17,32,54,61,116,0,0,8,34,40,76,0,0,0,3,0,4,5,4,4,18,10,29,68,65,135,6,10,14,101,103,207,12,12,18,3,6,12,116,65,180,335,337,674,7,9,13,6175,6410,12583
2007,9208,9845,19053,0,0,0,5,0,9,6,9,12,11,20,34,5,3,5,14,7,16,4,3,5,18,25,45,12,7,10,4,6,13,73,61,138,0,8,3,4,6,8,0,0,7,19,19,40,30,16,55,6,6,9,4,4,10,0,0,0,13,22,38,15,12,33,23,33,59,102,114,217,6,8,13,48,107,157,0,5,4,0,3,10,17,21,40,37,36,72,3,8,11,6,8,15,261,292,548,7,21,27,9,24,37,84,102,185,762,747,1505,15,6,19,10833,11626,22464
2008,108766,115798,224565,362,255,620,90,77,168,210,306,516,773,944,1723,622,670,1295,118,96,215,85,107,190,616,758,1374,221,212,437,118,152,270,3056,2044,5103,119,207,328,278,243,523,156,128,280,399,356,758,822,774,1591,57,145,201,90,122,213,77,56,128,327,391,718,184,171,359,652,713,1369,1583,1524,3105,532,278,802,734,1295,2026,152,267,417,154,180,336,528,571,1103,460,377,838,36,72,104,291,553,844,5633,5916,11547,434,518,956,316,376,691,3974,4350,8326,6233,6308,12544,133,161,295,139404,147474,286876
2009,9005,9163,18164,0,0,0,5,5,5,24,25,42,13,29,45,18,16,38,8,6,9,6,7,9,58,64,117,6,7,21,13,3,14,46,42,89,4,9,11,4,3,3,0,4,4,33,36,72,56,43,99,0,12,11,0,3,3,3,4,4,15,16,24,3,3,6,24,26,51,159,151,312,4,4,8,7,21,29,10,13,27,7,15,20,41,39,81,12,16,30,5,4,7,8,17,25,507,564,1073,41,44,85,7,10,15,210,225,432,424,404,825,10,4,14,10801,11043,21846
2010,7114,7586,14698,0,0,4,8,8,12,5,9,13,12,19,29,0,0,5,0,0,0,0,7,10,9,14,20,3,3,5,3,0,4,90,93,179,0,6,4,0,0,0,4,0,4,15,8,19,25,27,54,0,3,3,3,0,9,0,3,3,3,7,13,16,15,30,16,25,35,43,44,79,10,0,15,45,84,131,11,3,9,3,6,3,12,22,37,8,7,16,0,3,10,25,28,47,107,107,219,11,15,30,5,10,15,104,112,219,466,461,927,4,8,7,8187,8738,16923
2011,1411694,1435554,2847255,13228,10282,23507,5072,4599,9671,3661,4561,8216,72390,93379,165768,6066,6649,12722,6525,6686,13214,5167,6211,11382,8664,9755,18421,20777,23948,44727,11513,12836,24348,130701,110845,241554,8145,11075,19225,11076,9817,20896,12616,12389,25003,7507,6882,14388,28014,29426,57432,2504,5916,8421,6424,8276,14701,9391,8906,18299,26792,30335,57129,10156,8326,18483,5458,5444,10902,40716,40531,81247,17100,11939,29034,23697,34870,58568,5414,7452,12863,7680,9261,16938,13021,13550,26566,33486,31401,64890,3758,5576,9334,5396,11787,17180,79611,75926,155540,9485,10293,19783,39511,50873,90387,151792,164831,316625,104762,101738,206499,5321,5804,11129,2364288,2437939,4802232
2012,20365,21520,41887,150,105,259,13,12,28,10,18,30,93,125,215,31,46,75,14,10,25,38,22,59,46,67,120,58,60,122,23,35,62,315,258,574,26,28,51,18,12,26,31,24,52,14,23,39,255,264,514,5,20,18,23,32,56,0,0,0,601,422,1018,41,34,74,44,42,82,198,243,444,35,23,54,133,226,358,4,0,12,9,7,17,55,53,109,47,36,82,34,88,123,56,116,176,428,428,853,22,37,58,154,171,325,641,631,1272,2344,2255,4597,86,60,150,26453,27551,54002
2013,8598,8892,17495,0,0,0,0,0,0,9,15,22,18,34,53,11,18,36,4,5,6,13,5,19,105,68,169,7,11,21,7,3,6,24,14,42,0,7,7,0,0,0,0,0,0,12,19,28,27,36,56,0,3,4,0,3,7,0,4,3,14,15,25,3,0,3,102,96,200,94,88,178,4,0,4,33,146,175,6,11,19,0,0,6,16,18,31,9,8,15,3,9,13,4,23,24,368,424,790,23,17,38,13,9,25,281,227,509,814,799,1613,34,15,47,10661,11044,21702
