SUA_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
1012,12822,34504,1461,2526,78,147,1537,2667,1241,1994,21,26,0,5,0,0,21,50,1282,2076,63,120,8,7,0,0,33,72,103,200,76,112,15825,39561,1018,..,16842,39561
1013,6110,14177,1488,2490,245,446,1739,2934,954,1421,428,647,413,691,100,183,4,15,1903,2956,119,206,97,127,5,13,51,101,275,449,50,86,10082,20602,2278,..,12357,20602
1014,8360,20614,930,1525,186,328,1112,1854,309,449,67,93,0,0,0,0,20,32,396,578,28,38,30,30,0,0,47,74,100,146,30,41,9995,23235,877,..,10872,23235
1015,6604,16306,349,512,276,507,627,1022,662,974,17,20,17,28,0,0,5,5,700,1029,43,52,43,51,11,10,80,186,175,308,28,49,8137,18724,584,..,8711,18724
1016,6058,16765,380,750,76,101,451,849,953,2064,27,73,0,0,0,0,10,29,998,2159,49,80,37,47,8,4,50,125,147,254,25,79,7680,20105,592,..,8272,20105
1017,5135,13415,61,121,55,99,116,219,346,507,9,15,0,0,0,3,5,13,365,540,55,69,35,63,0,10,10,22,105,161,19,43,5745,14369,423,..,6170,14369
1018,9323,23377,1239,1875,555,984,1788,2860,719,1181,84,130,0,0,0,6,9,16,816,1327,60,74,170,206,3,5,19,33,256,326,40,57,12224,27948,802,..,13026,27948
1019,4619,10505,549,812,94,148,638,959,131,176,14,14,0,0,0,0,8,16,152,211,0,0,5,12,3,3,20,42,32,59,13,29,5458,11759,631,..,6083,11759
1020,5122,14242,77,148,34,73,107,221,9,16,0,0,0,0,0,0,13,20,22,41,40,53,61,110,0,4,0,0,108,169,6,12,5371,14687,346,..,5719,14687
1021,9452,24603,697,1067,177,425,877,1492,153,270,13,14,23,43,0,0,33,68,218,402,17,29,130,194,3,4,0,4,149,234,40,65,10734,26798,1034,..,11771,26798
1022,4239,11024,597,979,21,42,616,1021,44,59,10,12,0,0,0,0,0,0,53,72,35,44,77,138,0,0,14,26,131,205,16,34,5051,12354,655,..,5708,12354
1023,4199,10850,434,670,185,268,621,939,22,32,13,27,0,0,0,0,0,0,33,63,28,38,4,4,0,0,3,5,35,53,22,32,4915,11937,609,..,5525,11937
1024,8230,20084,1304,2200,1532,3263,2838,5458,292,461,242,381,459,787,0,0,25,60,1023,1694,68,109,108,187,7,4,18,29,191,335,85,138,12359,27702,4065,..,16431,27702
1025,158373,420875,14172,24195,10320,20634,24492,44830,7002,10518,2913,4708,2809,4682,1737,2843,638,1297,15099,24050,463,634,320,464,66,86,415,781,1262,1969,347,612,199577,492340,13219,..,212798,492340
1026,12806,33229,1279,2151,294,495,1570,2640,366,574,23,35,0,0,0,0,39,71,432,678,8,7,83,114,43,49,11,18,138,188,64,76,15023,36817,963,..,15983,36817
1027,14052,36638,1505,2366,234,398,1733,2764,575,851,62,103,0,0,0,0,18,33,655,986,30,40,3,5,0,0,42,77,76,124,51,120,16569,40625,1443,..,18008,40625
1028,14222,36584,2780,4715,1027,2074,3809,6784,1401,2179,628,1030,1032,1643,155,273,20,58,3245,5186,72,136,63,91,6,9,24,46,166,282,88,152,21528,48988,2039,..,23562,48988
1029,5285,14478,430,800,243,419,681,1214,259,384,0,0,0,0,0,0,4,0,263,385,56,76,50,72,3,8,11,16,121,166,12,25,6356,16271,434,..,6784,16271
1030,7633,17876,677,1130,94,146,768,1279,219,353,6,9,9,23,0,0,31,53,265,429,26,34,40,70,0,0,3,8,64,103,27,55,8756,19746,3154,..,11916,19746
1031,929619,2919849,72558,169657,155107,418186,227665,587845,93262,184066,161703,325845,195119,406270,125875,261476,8495,21866,584456,1199518,465,703,550,789,193,272,6959,15024,8163,16785,4211,8725,1754112,4732726,148098,..,1902216,4732726
1032,14759,38028,1937,3038,398,682,2333,3716,371,620,29,46,18,40,0,0,14,36,434,734,64,89,97,140,0,0,8,20,169,244,104,175,17805,42896,1442,..,19242,42896
1033,9173,22844,904,1297,73,119,978,1423,756,1105,44,45,0,0,0,0,12,17,812,1173,47,61,26,47,0,3,17,37,94,141,25,37,11073,25616,701,..,11774,25616
1034,6426,15148,297,466,300,540,599,1003,149,227,3,8,0,0,0,0,20,33,172,275,45,72,188,263,16,20,19,26,269,377,34,62,7501,16869,2068,..,9572,16869
1035,18693,48945,1050,1619,238,404,1288,2029,2192,3376,120,161,53,61,0,9,25,45,2388,3651,11,24,20,33,12,17,68,163,109,231,75,106,22550,54955,1705,..,24251,54955
1036,83570,233258,6335,11527,9129,19580,15461,31104,7348,12782,3547,6035,4484,8015,2168,4118,432,994,17982,31951,390,551,268,400,12,10,401,823,1066,1784,234,469,118315,298571,7690,..,126004,298571
2000,275218,656802,10133,14932,1207,2458,11336,17392,2117,3128,170,385,94,225,43,103,101,200,2521,4043,1878,2913,1571,2531,302,425,626,1270,4368,7146,814,1600,294263,686978,68724,..,362983,686978
2001,8248,22685,673,1071,132,257,806,1328,49,57,0,0,21,26,0,0,11,30,82,104,20,29,34,51,4,18,6,9,60,98,10,23,9209,24247,562,..,9778,24247
2002,5702,13754,747,1078,30,65,778,1144,90,133,0,0,0,0,0,0,0,0,92,139,10,15,15,22,11,11,11,21,42,75,13,29,6632,15142,619,..,7250,15142
2003,38771,96305,5131,8530,594,1102,5725,9636,1115,1607,87,132,4,4,0,0,16,31,1225,1765,32,49,26,30,27,28,50,114,130,219,90,167,45939,108101,3496,..,49430,108101
2004,37624,92790,3076,4772,481,904,3552,5679,446,699,19,48,0,0,0,0,13,15,482,761,50,78,38,57,24,28,35,79,143,244,90,189,41895,99663,3028,..,44922,99663
2005,4698,10027,235,322,15,22,250,347,4,3,0,0,0,0,0,0,3,4,11,11,12,12,0,0,0,0,17,46,33,60,8,11,4993,10453,478,..,5470,10453
2006,4674,11309,587,784,13,20,594,805,3,0,0,0,0,0,0,0,4,8,4,15,14,15,29,30,15,23,11,28,64,97,8,14,5355,12239,463,..,5820,12239
2007,7901,19486,1110,1692,34,58,1143,1753,32,44,0,0,0,0,0,0,0,5,27,53,41,76,156,243,0,0,7,16,206,337,33,62,9315,21691,987,..,10298,21691
2008,98490,252523,9579,15320,2473,4975,12054,20288,2084,3230,226,342,354,536,151,257,29,46,2843,4417,117,167,490,704,33,43,158,373,799,1285,172,321,114363,278826,12753,..,127113,278826
2009,7207,20678,466,797,29,58,497,856,16,30,19,32,0,0,0,0,9,19,42,81,14,18,16,25,0,0,0,0,30,42,4,14,7772,21670,539,..,8310,21670
2010,6487,15400,387,511,6,11,388,526,404,546,0,0,0,0,0,0,0,0,404,546,28,41,20,34,0,0,8,19,54,92,10,8,7340,16573,640,..,7978,16573
2011,1215872,3518059,166933,343812,132559,326629,299493,670438,92042,165895,56274,92265,66870,109565,81245,140113,1154,2519,297584,510348,570,770,1757,2203,711,745,3974,7798,7006,11515,2177,4274,1822129,4714641,194681,..,2016812,4714641
2012,18062,46812,1724,2785,81,145,1807,2930,1276,1928,32,34,0,0,0,0,7,12,1305,1975,255,418,180,338,18,41,24,52,475,844,92,155,21742,52721,1989,..,23731,52721
2013,8222,19511,996,1312,36,43,1035,1358,272,342,0,0,0,0,0,0,4,9,276,352,56,68,14,22,0,0,0,0,69,88,10,9,9597,21323,933,..,10531,21323
2014,4313,9898,398,567,43,65,446,633,56,80,3,10,0,0,0,0,0,12,61,96,37,53,12,17,0,3,13,15,57,89,7,9,4877,10731,587,..,5470,10731
2015,5478,13236,383,565,109,146,494,711,402,544,28,51,0,0,0,0,0,3,426,597,25,29,25,37,7,3,5,8,58,78,13,26,6477,14647,663,..,7139,14647
2016,17926,47383,2226,3662,113,221,2335,3883,56,71,21,19,0,0,0,0,5,11,81,103,268,354,146,196,36,44,231,338,676,937,42,94,21058,52400,1487,..,22547,52400
2017,3792,9487,399,631,6,14,409,639,371,590,7,10,0,0,0,0,3,0,376,596,36,66,15,29,12,13,10,19,69,135,10,29,4655,10883,417,..,5067,10883
2018,15608,37892,844,1183,111,217,956,1394,1562,2206,0,0,0,0,0,0,4,6,1563,2204,18,25,91,134,19,28,8,18,131,212,37,57,18299,41765,1611,..,19912,41765
2019,7248,17265,1168,1632,74,124,1251,1753,0,0,0,0,0,0,0,0,3,5,3,5,13,26,7,10,9,11,14,29,46,73,9,18,8563,19118,617,..,9175,19118
2020,14823,38745,766,1181,52,80,821,1263,617,919,0,0,0,0,0,0,6,16,623,937,18,28,315,431,5,3,12,15,344,481,20,43,16624,41469,1164,..,17790,41469
2021,12273,30528,1321,2016,366,679,1685,2694,623,885,52,71,0,0,0,0,3,7,677,963,55,84,112,199,9,9,32,75,202,359,20,53,14856,34599,1245,..,16101,34599
3000,264051,662037,9376,16835,3079,5981,12459,22811,5499,9467,248,442,61,104,14,27,203,414,6017,10458,12365,23551,2086,3559,2034,3826,667,1404,17151,32338,4682,8918,304352,736559,49931,..,354290,736559
3001,3110,8197,161,309,424,832,583,1144,715,1301,321,611,79,138,0,0,3,8,1120,2055,305,602,233,489,29,48,11,17,572,1160,345,725,5723,13285,815,..,6540,13285
3002,660826,1901270,33914,58925,75523,165931,109436,224858,37929,62929,36628,63768,33043,59209,33066,58024,1971,3941,142636,247868,1758,2549,2232,3084,543,663,341,725,4873,7020,1844,3409,919618,2384426,61283,..,980896,2384426
3003,24494,62071,2220,3408,512,885,2727,4291,2199,3404,28,52,173,293,0,0,3,4,2404,3748,904,1590,123,218,58,70,27,56,1109,1932,140,275,30873,72320,2506,..,33376,72320
3004,41568,113447,3308,5720,3250,5829,6557,11548,5652,9889,3705,6639,1055,1956,516,937,35,73,10970,19500,648,1227,337,591,55,79,108,216,1139,2116,508,876,60742,147484,5942,..,66690,147484
3005,4026,11555,352,613,238,432,593,1052,451,710,10,19,0,0,0,0,0,0,462,733,113,200,44,73,16,27,4,16,174,312,106,189,5358,13842,943,..,6300,13842
3006,14564,38373,559,988,769,1342,1330,2330,1198,1896,202,286,258,398,106,159,4,6,1771,2744,225,392,156,226,65,95,3,3,452,721,56,99,18184,44266,2425,..,20608,44266
3007,151041,439770,21483,42181,35595,81184,57073,123363,11366,20014,17507,31102,11711,21300,19455,35297,415,896,60444,108601,1677,2846,1150,1722,346,380,179,385,3350,5334,998,1857,272913,678922,29762,..,302683,678922
3008,7996,19859,596,954,230,348,827,1303,238,333,0,0,0,0,0,0,9,12,241,349,6,6,0,0,59,84,16,43,84,137,40,58,9199,21704,723,..,9916,21704
3009,19893,48443,1823,2887,1349,2249,3171,5137,279,447,172,277,356,614,10,17,20,36,833,1391,685,1294,201,310,27,31,38,64,947,1702,327,644,25169,57318,2282,..,27454,57318
3010,3663,9263,196,300,8,20,211,318,376,585,0,0,0,0,0,0,0,0,376,585,31,51,0,0,5,17,0,10,39,78,14,40,4303,10280,407,..,4710,10280
3011,25942,68861,2758,4585,1403,2450,4160,7028,1260,2070,42,70,137,250,326,593,18,54,1787,3037,412,747,387,543,28,40,16,35,842,1366,207,355,32937,80646,3118,..,36057,80646
3012,9856,23814,653,863,143,230,794,1091,421,606,5,3,5,11,0,0,5,11,433,637,136,197,44,60,25,38,11,11,213,315,48,99,11342,25956,940,..,12282,25956
3013,5064,14673,992,1756,149,246,1136,1999,284,491,24,34,0,0,0,0,0,3,308,532,417,836,113,177,195,209,21,48,741,1265,86,145,7341,18610,1378,..,8714,18610
3014,26215,68102,1574,2650,630,1012,2198,3661,1330,2165,24,45,26,36,116,202,36,69,1534,2516,192,349,86,120,46,52,10,20,337,538,141,256,30428,75074,3101,..,33528,75074
3015,109058,295531,10259,17196,10138,20398,20395,37594,7205,12391,3806,6815,6451,11901,2234,3989,449,853,20139,35948,1505,2763,399,639,281,386,67,137,2242,3926,739,1432,152583,374437,17197,..,169780,374437
3016,44193,116451,6770,11322,1835,3355,8605,14675,2325,3980,66,84,50,69,102,155,23,31,2560,4321,140,224,89,139,90,124,19,35,343,524,107,215,55815,136185,4394,..,60212,136185
3017,54232,145870,4954,7902,3378,5758,8335,13658,1974,3084,1571,2533,1186,2093,743,1241,28,57,5497,9005,503,942,187,318,56,64,32,67,775,1392,321,549,69161,170480,6685,..,75844,170480
3018,5553,13611,642,950,49,98,695,1049,131,179,0,0,0,0,0,0,0,9,132,184,27,52,6,7,12,18,6,28,50,113,28,58,6460,15007,649,..,7114,15007
3019,6500,16715,439,640,138,230,582,872,457,743,90,160,141,250,12,21,4,7,703,1179,370,714,70,120,14,18,4,9,454,857,88,180,8327,19808,1167,..,9491,19808
4000,104620,245809,4525,7183,193,387,4715,7573,912,1246,51,68,0,0,7,14,31,81,1005,1397,1894,3564,696,1228,208,423,283,650,3082,5863,1048,1872,114465,262517,32655,..,147118,262517
4001,405301,1068693,66916,123421,24702,53068,91619,176494,31393,52460,4665,7514,5970,9905,4043,6751,378,900,46445,77527,908,1474,488,674,159,176,488,1029,2039,3351,1423,2722,546833,1328787,39553,..,586385,1328787
4002,9676,23839,1653,2906,43,74,1696,2983,976,1384,0,0,20,32,0,0,0,0,996,1413,14,25,4,4,15,18,7,27,45,71,84,121,12500,28429,1264,..,13763,28429
4003,6552,15556,873,1494,18,33,892,1528,35,57,0,0,0,0,0,0,0,5,35,62,40,68,28,36,14,14,3,9,82,131,36,65,7601,17342,811,..,8412,17342
4004,4232,10168,642,1385,37,89,678,1477,445,646,0,0,0,0,0,0,5,8,447,653,152,265,81,109,73,75,8,25,318,469,65,113,5738,12877,870,..,6601,12877
4005,5530,13352,620,1060,111,246,730,1302,370,482,7,11,0,0,0,0,12,32,386,536,34,80,40,92,21,23,11,19,109,217,27,51,6782,15454,804,..,7591,15454
4006,5068,11611,902,1533,15,28,915,1561,119,151,0,0,0,0,0,0,0,0,122,153,50,81,0,0,8,8,4,12,62,103,27,37,6188,13464,749,..,6944,13464
4007,11789,24758,921,1307,182,356,1105,1659,208,270,31,49,18,31,0,0,0,0,262,359,53,86,68,102,0,3,8,17,128,210,62,118,13349,27110,5699,..,19047,27110
4008,5208,12448,3841,7482,9,15,3848,7492,400,517,52,65,0,0,0,0,18,47,473,626,68,119,23,32,0,0,3,7,96,155,75,134,9697,20847,1411,..,11112,20847
5000,94755,231813,4172,7204,531,968,4700,8173,1006,1603,50,79,0,0,3,5,41,91,1104,1783,9339,18497,842,1532,953,1649,316,715,11445,22400,2426,4331,114434,268504,28071,..,142509,268504
5001,12650,30524,1022,1498,121,184,1146,1676,51,67,0,0,0,0,0,0,20,49,74,109,112,175,148,212,40,41,3,6,312,435,39,79,14220,32824,1927,..,16140,32824
5002,4095,12098,607,1274,272,509,877,1783,138,298,0,0,0,0,0,0,3,5,147,306,1343,2841,3,14,46,89,34,77,1430,3020,137,226,6679,17442,722,..,7399,17442
5003,25191,64923,2988,4654,487,886,3480,5543,507,771,123,194,24,35,36,60,8,19,697,1078,200,269,174,239,102,101,18,28,483,636,60,105,29920,72287,2894,..,32807,72287
5004,14021,34854,1262,2087,247,497,1507,2590,42,64,0,0,20,33,0,0,31,64,85,158,130,241,224,347,72,102,15,51,438,735,50,93,16103,38426,5103,..,21202,38426
5005,4193,10197,431,700,46,84,473,786,111,149,0,3,0,0,0,0,4,3,115,154,112,189,38,63,21,38,3,9,179,301,43,93,5009,11530,911,..,5918,11530
5006,12942,32776,1410,2277,337,660,1747,2936,250,399,15,22,4,7,0,0,13,18,285,447,269,474,54,92,72,85,20,26,404,684,77,126,15458,36967,1978,..,17434,36967
5007,8765,23448,1588,2905,248,541,1837,3447,140,217,0,0,0,0,0,0,3,6,141,219,109,159,481,728,70,74,24,35,686,1000,30,55,11453,28161,1686,..,13141,28161
5008,4647,13915,721,1468,168,281,889,1754,148,230,42,59,57,102,192,280,0,0,441,677,220,452,89,145,13,17,3,19,318,631,69,109,6372,17078,1240,..,7610,17078
5009,617849,1680640,83418,156047,32600,65644,116020,221690,20304,32693,15501,24564,17585,28536,10139,17352,855,1763,64386,104902,1267,1879,1228,1783,1593,1743,451,924,4538,6328,1091,1941,803884,2015508,72131,..,876011,2015508
5010,3854,10973,809,1745,313,727,1121,2473,412,610,137,204,148,225,0,0,0,0,695,1045,172,331,186,283,99,115,32,78,482,805,78,131,6239,15439,1462,..,7701,15439
6000,65571,152768,1561,2286,153,320,1715,2609,818,1275,0,0,0,0,0,0,26,43,840,1320,540,883,230,408,92,169,144,290,1002,1752,258,479,69398,158933,18016,..,87414,158933
6001,10739,24874,881,1254,181,290,1068,1543,78,110,46,55,50,80,0,0,0,7,181,242,52,65,6,8,26,24,26,58,105,162,15,23,12106,26839,994,..,13095,26839
6002,11825,28009,1289,1888,159,248,1457,2132,32,54,0,0,0,0,0,0,9,17,33,70,60,89,86,158,31,33,13,33,195,309,25,49,13533,30572,984,..,14512,30572
6003,75480,191777,3353,5607,2627,5280,5978,10888,6293,11238,1122,1865,634,1113,31,47,163,334,8240,14603,120,197,146,228,98,97,196,463,560,995,233,437,90498,218705,6014,..,96509,218705
6004,30515,75556,2521,4183,991,2121,3513,6309,2795,4397,118,194,36,50,11,26,127,246,3089,4903,35,54,23,58,55,66,114,191,226,364,91,155,37431,87285,2719,..,40151,87285
6005,5661,13308,624,876,29,54,651,930,23,23,0,0,0,0,0,0,11,22,31,43,60,96,34,55,4,4,19,35,117,184,9,17,6468,14487,452,..,6926,14487
7000,17591,63911,1684,4349,231,480,1918,4828,561,1117,29,55,17,42,0,0,14,45,626,1262,3543,7346,365,678,696,1408,49,97,4649,9532,1341,2485,26122,82019,4847,..,30965,82019
7001,6048,17543,1794,3707,913,1946,2701,5657,383,620,31,48,0,0,0,0,11,24,434,697,782,1541,84,126,57,94,20,31,941,1783,316,589,10445,26278,1179,..,11621,26278
7002,27871,83479,2971,5839,2396,5312,5367,11150,4428,8915,2143,4491,3581,7546,2959,5917,34,58,13136,26929,1437,3177,322,674,288,441,19,50,2068,4347,369,641,48812,126546,4378,..,53190,126546
8000,331,998,9,26,3,3,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,357,1044,36,..,392,1044
8001,117975,335581,15977,31220,17350,39495,33321,70712,7142,12641,8797,16016,14640,25560,6780,11927,543,1087,37899,67232,66,113,239,381,59,60,38,83,406,640,291,580,189889,474745,13017,..,202908,474745
9000,1456,3499,102,249,17,36,125,291,102,161,54,155,9,20,0,0,13,23,176,362,0,0,4,6,6,3,3,7,9,19,41,51,1805,4225,331,..,2130,4225
