SUA_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
3006,36,1577,791,270,2113,0.7,1688,2.5
3007,40,1950,770,450,1976,0.8,1631,2.5
3008,43,1300,584,295,1395,0.7,1126,2.4
3009,52,1408,553,340,1312,0.7,1086,2.3
3010,38,1213,671,263,1548,0.7,1256,2.4
3011,37,1733,866,350,2224,0.8,1821,2.5
3012,47,1120,528,255,1307,0.8,1031,2.3
3013,33,1526,1118,277,2652,0.9,2175,2.6
3014,36,1417,773,290,1958,0.8,1537,2.5
3015,44,1928,752,450,1917,0.8,1584,2.5
3016,37,1517,761,310,1910,0.7,1498,2.5
3017,35,1517,855,310,2095,0.8,1708,2.5
3018,43,1215,619,265,1423,0.7,1118,2.3
3019,43,1733,755,350,2065,0.7,1604,2.5
4000,47,1200,682,220,1606,0.7,1264,2.3
4001,39,1560,757,320,1985,0.8,1540,2.5
4002,41,1170,718,220,1735,0.7,1282,2.3
4003,42,1100,592,240,1374,0.7,1073,2.3
4004,38,1138,696,200,1651,0.7,1280,2.3
4005,41,1300,736,240,1750,0.7,1302,2.3
4006,43,951,571,185,1448,0.7,1044,2.2
4007,60,1250,550,285,1238,0.7,981,2
4008,41,1083,658,180,1679,0.7,1210,2.2
5000,43,1506,870,215,1833,0.8,1452,2.4
5001,44,1517,706,300,1741,0.7,1333,2.3
5002,40,2167,1080,350,2623,0.9,2063,2.7
5003,39,1625,767,320,2009,0.7,1605,2.5
5004,44,1755,747,370,1866,0.7,1464,2.5
5005,42,1595,787,270,2017,0.7,1486,2.4
5006,40,1560,764,260,2020,0.7,1539,2.4
5007,35,1600,1212,300,2825,0.8,2294,2.6
5008,34,1950,1597,325,3497,0.9,3111,2.8
5009,37,1907,844,350,2259,0.8,1858,2.6
5010,35,1500,1599,250,3278,0.9,2723,2.7
6000,47,1257,631,250,1510,0.8,1211,2.3
6001,42,1127,629,240,1531,0.8,1147,2.2
6002,43,1213,629,250,1491,0.8,1167,2.3
6003,38,1517,783,350,1940,0.8,1557,2.4
6004,39,1300,711,285,1748,0.8,1351,2.4
6005,48,1233,617,250,1496,0.7,1146,2.3
7000,35,1950,538,110,1223,1.2,1607,3.3
7001,36,1800,1089,370,2484,0.9,2060,2.6
7002,35,2045,1097,390,2472,0.9,2164,2.6
8000,39,2312,1210,350,3077,0.9,2821,3
8001,35,2058,1191,450,2851,0.8,2347,2.5
9000,44,1300,906,200,1890,0.9,1508,2.4
