CED_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
CED111,0,0,0,0,0,3,9,17,0,0,10,0,0,0,5,43,0,0,4,0,3,3,25,42,12,22,26,27,13,0,0,186,4,3,14,41,39,62,118,57,16,19,22,22,25,4,3,450,0,12,7,15,79,153,455,381,97,118,127,165,49,11,39,1701,0,73,224,53,21,144,99,4,0,0,0,0,0,0,18,648,12,23,24,9,8,9,12,5,0,11,4,8,3,3,8,148,0,4,8,25,47,40,26,19,4,6,3,3,0,3,10,189,103,257,79,37,48,47,66,27,8,9,12,10,5,0,27,734,8,164,244,50,18,9,3,21,0,0,3,0,0,0,41,569,0,4,5,18,26,29,36,21,3,12,6,12,7,0,10,180,8,6,29,61,38,82,230,333,131,156,264,358,228,11,42,1986,0,10,4,9,17,44,59,35,10,20,12,22,4,0,3,260,0,0,0,4,30,23,59,103
CED112,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,9,18,19,3,3,5,4,0,0,0,61,5,4,19,35,25,44,48,38,3,13,4,0,0,0,6,238,6,22,25,17,83,102,210,138,27,27,10,28,3,4,19,712,4,17,74,21,5,9,0,4,0,0,0,0,0,0,0,132,9,33,45,14,11,15,7,0,0,6,0,0,0,7,5,159,6,6,10,18,58,44,34,22,4,4,7,8,0,0,4,222,68,110,67,48,33,22,51,25,5,6,0,0,0,0,20,462,5,41,69,25,8,0,0,4,0,0,0,0,0,0,4,150,8,4,11,13,26,28,21,10,5,5,9,3,0,4,3,136,11,7,35,32,32,69,307,384,64,62,66,60,20,7,16,1169,0,10,3,12,30,31,46,41,10,9,14,15,10,0,6,246,0,0,3,7,15,12,15,28
CED113,0,0,0,0,5,0,10,3,0,0,0,0,0,0,0,25,0,0,0,0,0,7,52,49,14,26,16,31,0,0,5,200,0,4,30,65,49,57,76,47,4,3,7,8,6,0,9,366,8,11,14,3,25,55,140,69,26,33,16,32,5,0,25,459,7,29,138,54,13,19,6,7,0,5,0,0,0,0,7,286,3,10,7,6,0,11,18,10,0,10,5,8,3,0,6,96,0,0,3,16,26,44,59,25,3,3,19,9,13,4,14,232,117,240,159,81,107,63,70,37,4,5,5,8,3,0,24,919,8,33,92,19,6,7,3,0,0,0,0,0,0,0,8,173,7,3,16,21,21,14,21,7,3,0,0,0,9,0,10,132,9,14,23,24,18,64,497,385,131,148,165,132,50,13,30,1696,3,8,9,3,16,19,26,32,8,7,4,8,4,0,4,166,0,0,0,0,9,3,19,18
CED114,0,0,0,0,0,0,9,40,0,0,8,19,0,0,0,75,0,0,0,0,0,5,33,48,3,5,0,0,6,3,0,105,0,0,10,17,6,22,29,15,0,8,5,8,0,0,0,125,0,0,0,5,21,45,82,63,23,31,41,53,11,0,15,403,0,9,40,12,0,4,0,0,0,0,0,0,0,0,0,68,0,7,7,8,0,5,7,11,0,4,0,3,0,5,0,55,0,0,7,12,45,44,61,65,10,23,25,41,4,0,26,366,79,184,79,34,31,12,25,20,5,8,4,8,7,0,15,508,5,27,27,5,3,0,5,0,0,0,0,0,0,0,0,78,0,0,3,6,17,6,18,13,5,5,4,0,4,0,0,75,4,5,17,25,39,176,877,670,304,323,374,433,158,21,62,3475,0,5,3,3,5,4,22,21,12,6,12,28,9,0,0,123,0,0,0,0,3,9,6,3
CED115,0,0,0,0,3,37,123,74,14,16,13,17,6,27,13,323,0,0,0,3,11,44,176,124,27,45,30,27,8,4,12,520,0,3,0,9,5,9,9,10,0,5,0,0,0,0,0,63,8,15,69,135,866,658,716,360,70,127,77,66,20,5,247,3438,12,86,650,237,72,480,258,18,3,0,0,6,3,0,80,1903,3,25,61,37,67,60,105,95,18,16,22,16,10,0,19,552,0,4,5,75,383,405,353,197,44,23,60,85,17,0,49,1703,90,96,41,35,17,29,20,3,10,0,3,0,0,0,29,388,5,51,200,75,24,31,28,26,3,0,0,0,3,3,32,477,0,3,8,42,141,77,37,28,5,5,5,0,8,0,22,385,4,0,18,47,93,207,726,479,104,164,192,220,61,16,49,2385,0,0,3,60,93,122,124,64,10,9,9,7,7,0,13,530,0,0,24,105,179,117,169,280
CED116,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,10,10,3,5,5,6,0,0,0,42,0,5,43,48,37,32,65,37,9,7,8,10,4,5,6,321,8,19,6,13,42,42,102,72,16,20,15,36,8,3,20,423,4,54,150,47,6,22,0,0,0,0,0,0,0,0,8,294,11,29,24,4,0,8,12,4,0,0,0,0,0,0,6,104,4,11,10,22,23,17,16,14,3,0,3,0,0,0,7,128,122,297,139,71,73,41,54,24,8,4,3,10,10,4,37,888,4,59,117,28,0,0,3,4,0,0,0,0,0,0,10,230,4,9,9,16,15,8,8,10,3,0,5,5,3,0,0,94,14,14,27,30,13,21,102,138,51,52,85,114,36,0,16,707,7,18,7,12,8,17,21,24,7,0,3,9,9,0,0,138,4,0,3,0,8,11,14,4
CED117,0,0,0,0,5,9,10,4,0,0,3,0,0,0,0,21,0,0,0,0,12,21,85,40,9,18,14,11,0,0,5,223,0,10,35,66,64,76,127,102,19,26,17,24,14,3,9,591,12,22,23,78,535,729,985,541,141,152,129,116,37,9,81,3583,0,25,89,23,16,25,10,5,0,5,5,0,0,0,13,216,5,20,66,23,26,12,19,11,0,0,6,3,0,0,16,202,6,4,19,61,140,66,37,15,3,0,9,3,0,0,10,378,39,52,55,66,77,80,150,90,28,17,18,21,3,5,17,720,6,326,1039,168,34,20,20,29,5,7,7,7,0,0,96,1763,0,8,21,93,215,182,101,61,19,21,20,10,11,0,22,798,7,3,54,61,120,191,326,315,103,78,97,103,30,24,21,1531,0,4,11,58,85,142,169,75,17,16,31,23,15,5,10,663,0,0,0,12,44,38,62,62
CED118,0,0,0,7,109,416,392,148,31,8,12,19,5,0,28,1174,0,0,3,13,57,314,525,232,35,48,50,36,16,13,8,1345,0,3,9,18,22,30,51,35,9,4,12,13,3,0,6,204,0,19,22,65,461,702,1662,791,155,148,138,167,41,18,81,4459,0,29,185,70,19,94,24,5,0,0,0,0,0,0,7,431,3,18,89,84,113,124,177,130,26,56,27,16,8,3,16,888,3,4,7,89,660,685,603,183,36,35,39,78,24,4,36,2484,85,69,46,34,38,30,48,29,0,0,6,13,4,0,8,415,8,50,189,54,23,6,5,18,0,0,0,0,0,0,9,361,0,3,12,62,211,239,140,63,24,14,19,14,3,0,13,811,4,5,63,138,510,2558,11399,6951,2100,2183,2410,2465,789,158,422,32168,0,5,0,53,143,312,361,93,15,18,18,20,8,0,16,1067,0,0,0,31,147,258,414,468
CED119,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,8,22,107,118,35,9,4,10,6,0,0,7,325,0,3,13,32,33,39,71,38,13,7,3,9,10,0,0,272,7,24,15,27,305,394,746,328,56,55,44,64,10,7,36,2119,0,20,127,17,11,34,7,3,0,0,0,0,0,0,10,237,16,38,101,68,136,182,228,136,26,27,7,17,6,0,12,993,0,6,5,51,208,226,137,42,7,10,10,10,7,3,11,736,72,111,60,38,44,57,76,49,8,0,7,0,5,0,16,542,9,115,323,83,22,26,23,25,0,0,0,3,0,0,26,661,0,4,16,67,155,118,67,13,3,11,5,6,3,0,5,484,5,8,49,82,141,461,683,281,78,62,58,54,18,4,14,2012,3,4,5,34,81,155,149,46,9,8,7,8,8,0,7,533,0,0,3,5,20,9,34,41
CED120,0,0,0,0,14,16,20,13,0,0,0,0,0,0,3,66,0,0,0,0,0,15,65,23,3,7,7,18,0,0,4,138,0,0,12,30,23,31,44,23,7,4,0,6,3,0,4,201,4,8,14,9,43,84,179,122,10,16,13,57,15,11,17,599,6,31,125,44,18,42,12,0,0,0,0,0,0,0,4,284,10,18,29,10,25,23,16,20,0,0,0,0,0,0,4,164,0,5,9,19,98,84,122,43,0,7,3,13,3,5,13,407,95,155,82,55,63,37,45,22,0,0,0,0,5,0,25,581,5,39,107,21,10,8,6,19,0,0,0,0,0,0,10,216,0,5,4,16,28,17,9,10,10,0,4,5,4,0,0,104,5,5,33,23,51,62,300,230,37,33,39,59,13,3,15,908,0,12,8,15,25,17,32,19,7,9,0,7,4,0,0,155,0,0,0,9,16,23,23,24
CED121,0,0,0,0,0,0,0,7,0,0,0,6,0,0,4,22,0,0,0,0,0,5,28,33,3,7,3,8,0,0,5,90,0,0,19,34,17,21,38,26,0,4,8,7,0,0,6,186,3,9,9,4,48,31,134,80,20,15,21,21,5,0,21,426,0,10,31,16,3,5,3,0,0,0,0,0,0,0,6,69,8,5,23,3,3,0,8,4,3,6,0,0,0,0,6,66,3,8,10,25,37,19,28,3,6,5,3,9,3,20,15,190,127,167,61,28,26,21,39,17,0,5,4,0,6,0,27,516,3,19,26,3,3,0,0,0,0,0,0,0,0,0,4,63,0,0,7,19,16,16,7,17,8,6,4,3,6,0,5,114,15,9,27,23,9,30,230,233,38,55,44,42,14,6,20,797,4,8,5,5,8,15,31,16,0,3,3,4,3,0,0,101,5,0,0,0,13,8,14,15
CED122,0,0,0,0,5,13,10,8,0,0,0,0,0,0,10,50,0,0,0,16,92,311,337,162,46,60,57,51,33,7,25,1194,0,0,13,50,43,73,153,101,16,19,38,27,27,9,10,572,16,63,56,141,761,884,1731,1547,543,605,536,772,226,38,171,8098,0,46,165,39,16,37,11,6,0,0,0,0,0,0,9,343,65,140,239,99,61,42,38,21,7,8,4,3,3,0,25,763,0,3,15,78,181,101,94,29,3,11,7,7,15,0,23,563,43,52,67,42,44,71,217,114,31,43,36,49,22,4,26,862,71,582,980,199,61,23,27,55,5,0,11,4,0,0,111,2134,7,18,63,199,409,410,226,154,63,78,67,68,58,20,39,1868,10,5,87,111,156,204,478,349,152,180,267,374,157,19,63,2604,3,3,25,170,532,969,1084,751,241,310,343,370,160,13,143,5108,0,0,5,20,63,78,85,140
