CED_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
CED111,717,3894,261,0,4878,759,5121,358,16,6255,1095,9312,574,18,11001,1306,8016,466,8,9796,1592,7915,436,11,9961,1399,7884,351,10,9645,1317,5713,320,10,7366,627,3572,307,0,4507,94,1368,228,0,1691,8908,52799,3312,77,65098,788,3671,282,7,4750,1025,4759,310,7,6102,1307,8856,530,17,10710,1740,8014,450,18,10218,1717,8302,365,6,10400,1499,8188,329,10,10028,1450,6299,349,19,8115,647,4291,433,3,5365,90,2205,570,3,2863,10264,54589,3611,90,68553,1509,7563,547,6,9625,1784,9883,670,19,12354,2398,18172,1101,38,21716,3051,16030,914,23,20018,3312,16220,804,22,20358,2897,16076,679,19,19670,2768,12011,664,28,15476,1272,7862,742,3,9875,181,3569,799,3,4557,19172,107393,6924,161,133651
CED112,487,4407,311,3,5212,357,4001,253,3,4614,626,7925,540,3,9094,991,7944,563,12,9510,1068,8202,533,11,9808,1012,7908,403,7,9339,1062,6773,422,10,8272,605,3901,417,7,4925,92,1339,312,4,1743,6309,52404,3750,57,62516,555,3986,298,4,4848,424,3864,245,0,4529,842,8474,579,9,9902,1403,8256,521,5,10179,1432,8680,480,9,10607,1271,8721,423,21,10435,1409,7431,483,13,9331,662,4708,619,6,5988,108,2230,695,0,3038,8100,56337,4348,67,68860,1048,8393,606,5,10060,776,7865,500,4,9142,1468,16392,1116,18,18990,2392,16201,1084,13,19695,2502,16883,1012,17,20412,2288,16627,832,33,19776,2475,14204,898,28,17603,1265,8610,1037,5,10919,206,3569,1006,0,4788,14408,108741,8098,126,131375
CED113,733,3674,395,6,4804,478,3542,365,12,4397,1079,7936,944,65,10021,1602,7457,838,24,9926,2257,8203,860,11,11338,2595,8745,909,11,12259,2488,6930,706,17,10141,1045,3449,399,0,4896,137,1086,180,3,1413,12408,51023,5598,155,69185,811,3264,339,5,4412,502,3227,282,20,4030,1321,8040,698,50,10107,2267,7360,636,15,10283,2629,8295,657,9,11589,2752,8502,717,26,11996,2729,6345,596,14,9689,1110,3448,424,7,4985,160,1614,280,0,2053,14282,50090,4624,149,69144,1539,6932,732,9,9221,981,6768,642,30,8422,2397,15975,1638,122,20132,3877,14820,1475,37,20205,4885,16498,1514,27,22923,5342,17242,1627,38,24258,5217,13278,1307,29,19828,2157,6896,827,7,9881,295,2702,459,5,3462,26690,101110,10227,300,138328
CED114,748,3965,540,3,5247,483,3666,425,29,4592,1063,8248,976,102,10390,1598,7105,873,55,9631,1898,7562,944,17,10424,2076,8477,888,14,11457,2007,7343,811,11,10177,1017,4013,511,3,5534,186,1375,278,0,1838,11069,51753,6245,234,69298,859,3711,462,3,5032,508,3520,372,10,4413,1266,8215,830,57,10368,2104,7138,786,19,10058,2269,7676,728,10,10691,2336,8598,821,17,11775,2389,6867,696,8,9954,1323,4293,680,0,6302,230,2205,385,0,2823,13289,52227,5770,122,71411,1602,7677,1001,4,10279,989,7188,794,37,9011,2335,16467,1807,152,20758,3701,14243,1661,76,19687,4165,15237,1678,31,21116,4414,17071,1717,35,23236,4396,14213,1508,15,20129,2342,8302,1184,7,11837,419,3579,668,0,4663,24358,103982,12007,357,140704
CED115,320,4954,432,0,5713,375,5386,466,0,6226,633,10660,1066,38,12398,526,9104,924,27,10581,540,9356,823,17,10736,499,9790,759,12,11055,400,6845,554,21,7816,162,3157,415,7,3737,19,1070,299,3,1396,3472,60314,5735,129,69656,415,4721,385,4,5528,580,5206,431,6,6220,717,10543,1096,20,12372,749,9847,885,13,11497,680,10020,742,19,11463,672,9850,685,48,11252,485,7284,570,26,8364,146,3519,500,5,4169,16,1626,518,6,2161,4460,62611,5809,142,73023,737,9679,816,8,11241,954,10589,898,11,12446,1349,21200,2161,53,24768,1281,18947,1807,42,22080,1216,19371,1568,36,22196,1170,19636,1444,61,22312,883,14124,1124,43,16175,306,6671,913,11,7900,34,2702,819,9,3562,7931,122928,11543,270,142675
CED116,442,3569,395,5,4409,323,3016,359,10,3704,679,6398,831,12,7914,1105,6330,756,8,8199,1423,7077,760,13,9274,1967,9205,735,21,11925,2773,9367,698,11,12851,1295,5462,478,5,7246,190,1728,232,0,2148,10201,52141,5241,80,67666,534,3145,345,6,4031,362,2732,231,5,3331,857,6525,523,9,7926,1584,6408,561,13,8564,1742,7555,563,6,9863,2641,9879,620,5,13142,3264,9412,634,14,13321,1446,5531,574,9,7564,249,2554,431,0,3230,12686,53744,4480,66,70975,980,6711,737,8,8439,687,5748,592,15,7040,1539,12921,1354,24,15835,2694,12737,1318,23,16767,3164,14632,1325,23,19144,4608,19077,1354,25,25073,6036,18780,1335,20,26172,2742,10991,1055,18,14811,431,4286,661,0,5381,22889,105887,9720,152,138643
CED117,535,2498,101,5,3139,568,3450,260,8,4281,1490,11558,727,39,13810,1479,10432,586,18,12514,1700,8305,484,25,10513,1143,6287,435,17,7878,826,4195,289,22,5336,297,2287,218,6,2809,44,856,133,0,1031,8083,49863,3233,139,61312,554,2171,123,0,2853,868,3498,267,12,4640,2073,11999,753,22,14848,2176,10166,511,17,12871,2360,8213,386,15,10979,1464,6352,266,33,8115,1110,4747,253,32,6138,354,2742,229,0,3331,37,1316,233,0,1586,11001,51200,3016,138,65361,1089,4664,225,5,5990,1431,6943,528,21,8926,3562,23551,1479,65,28659,3652,20594,1097,36,25384,4058,16526,869,42,21488,2607,12640,700,50,15991,1941,8944,540,54,11479,658,5030,445,6,6135,84,2167,363,0,2619,19086,101064,6242,277,126666
CED118,642,5254,278,0,6177,625,5537,602,3,6760,1068,12063,1471,13,14621,1797,15967,1241,15,19020,1532,10430,706,11,12676,883,7641,433,40,8996,621,5308,271,71,6270,229,2489,209,17,2946,29,675,97,0,802,7419,65360,5299,180,78262,780,4646,253,0,5688,796,4887,322,14,6014,1368,12801,893,14,15073,2025,15723,867,12,18632,1482,10176,501,24,12194,912,7987,363,122,9382,715,5878,298,93,6985,228,2785,207,16,3237,33,1067,155,0,1259,8342,65961,3855,300,78458,1426,9903,531,0,11861,1421,10419,920,21,12777,2440,24866,2363,30,29695,3818,31689,2106,28,37647,3018,20609,1210,38,24867,1791,15629,797,163,18372,1331,11182,571,166,13253,460,5273,415,36,6185,59,1746,248,3,2059,15765,131317,9160,480,156722
CED119,545,4364,155,0,5063,499,3977,178,3,4653,752,7199,299,5,8251,1329,8461,325,6,10129,1585,8211,240,7,10046,1186,7219,202,6,8619,1000,5359,168,17,6545,498,2897,230,6,3637,65,911,214,3,1191,7463,48596,2015,58,58133,751,3735,119,0,4596,592,3372,86,9,4062,863,7450,264,10,8584,1781,8785,291,17,10869,1780,8798,228,5,10819,1252,7662,180,17,9110,1079,5706,200,23,7004,506,3341,301,7,4153,86,1312,530,0,1928,8689,50157,2207,79,61134,1288,8100,268,0,9663,1093,7355,267,8,8724,1611,14648,561,18,16837,3118,17243,621,21,21002,3366,17007,470,13,20857,2442,14877,383,26,17728,2085,11072,362,32,13548,1004,6235,537,10,7790,149,2222,746,3,3123,16154,98753,4222,135,119270
CED120,554,4790,328,3,5673,429,4278,299,9,5019,820,9119,718,20,10672,1229,8817,627,16,10686,1408,8987,616,14,11028,1375,8220,529,8,10131,1382,6432,432,15,8258,655,3260,341,4,4263,86,938,148,0,1174,7933,54847,4038,90,66909,683,4299,290,0,5271,496,3997,200,9,4697,1025,9477,526,14,11043,1682,9007,553,5,11247,1705,9177,488,8,11372,1592,8522,459,19,10589,1628,6589,420,10,8651,650,3535,390,3,4582,97,1505,319,0,1923,9557,56104,3648,70,69379,1234,9090,620,5,10946,926,8273,504,14,9716,1842,18597,1238,35,21715,2908,17819,1181,16,21934,3115,18163,1108,20,22406,2966,16741,983,24,20722,3010,13026,848,25,16911,1307,6796,733,10,8843,185,2438,463,3,3094,17488,110955,7682,161,136287
CED121,506,4616,379,0,5502,384,4415,474,6,5271,772,9320,1171,15,11276,1283,8294,1022,13,10616,1206,8636,802,3,10648,1259,8672,610,10,10550,1414,7194,467,8,9086,782,3947,370,5,5100,127,1336,186,0,1648,7738,56427,5485,54,69704,519,4181,292,6,5002,436,3993,244,9,4680,1080,9468,511,8,11067,1817,8189,489,12,10508,1561,8816,436,6,10819,1577,8831,372,14,10785,1757,7390,425,10,9583,764,4533,451,3,5756,133,2259,321,0,2707,9638,57664,3548,70,70907,1028,8794,675,7,10504,821,8411,720,14,9959,1850,18784,1684,25,22339,3095,16488,1517,23,21125,2771,17450,1238,15,21471,2835,17499,987,20,21337,3178,14588,892,14,18668,1546,8478,820,8,10855,257,3593,504,0,4362,17377,114089,9030,124,140612
CED122,699,3512,275,17,4513,912,5692,538,66,7213,1402,15093,1512,110,18113,1342,11332,1043,69,13785,1501,8803,780,61,11142,1127,7274,593,63,9055,708,5241,433,50,6427,343,3246,346,19,3950,60,1230,197,0,1487,8088,61427,5732,455,75692,793,3176,219,15,4203,1191,5304,480,73,7043,1776,15599,1200,119,18691,1825,11290,781,35,13939,1961,9037,518,47,11566,1197,7618,413,72,9296,844,6038,390,48,7322,408,4048,396,21,4871,83,1776,412,0,2270,10079,63877,4817,425,79194,1489,6695,493,32,8713,2099,10997,1023,133,14257,3179,30684,2716,231,36804,3168,22624,1824,110,27721,3460,17832,1303,107,22710,2323,14895,1004,128,18352,1548,11274,827,97,13748,752,7297,742,33,8822,145,3001,610,4,3761,18160,125303,10541,876,154885
