CED_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
CED314,666,2482,39,3189,14230,951,24,18388,122,2300,14,2432,12724,838,17,16020,38,427,6,470,8811,725,12,10017,12,28,0,32,3555,408,0,3998,25098,8708,1288,35094,85783,7399,177,128446
CED315,685,2585,32,3298,14424,1225,39,18992,112,1965,10,2089,11524,985,43,14636,25,405,0,432,6273,606,16,7320,3,20,0,30,2003,328,8,2362,25452,8947,1311,35703,86394,10725,380,133200
CED316,653,2181,31,2864,18945,1252,42,23095,156,1687,14,1851,23055,1480,39,26423,34,333,0,371,14191,1338,29,15932,0,14,0,18,4183,611,5,4813,20046,6915,988,27943,97603,8769,382,134699
CED317,868,2663,52,3581,20565,2833,74,27054,191,1969,11,2171,19794,2610,55,24624,40,398,4,445,9520,1324,12,11307,0,24,0,31,2679,568,6,3281,24669,8841,1263,34776,98945,19423,1181,154318
CED318,1137,2200,59,3394,19162,2780,106,25452,223,1961,12,2198,15531,2414,79,20224,48,410,0,452,7311,1184,45,8993,3,24,0,23,2133,391,10,2561,26391,8747,1271,36408,98567,18639,1312,154925
CED319,830,1837,30,2694,13714,609,57,17073,144,2231,17,2386,10064,566,37,13052,32,486,0,517,7261,580,18,8381,4,19,0,23,3568,669,12,4271,28188,7130,741,36059,90409,6408,291,133169
CED320,677,2903,36,3617,17212,876,29,21737,166,2167,16,2353,17710,928,33,21020,32,337,6,374,10533,749,14,11671,5,26,0,32,2976,411,9,3437,29550,9509,1256,40312,98663,9499,535,149012
CED321,654,2338,29,3023,17733,2209,24,22988,155,1584,7,1744,17620,1919,12,21294,32,297,5,334,9487,1193,5,11026,5,28,0,30,2914,542,0,3491,21277,7221,1006,29504,86221,13790,308,129828
CED322,929,2258,31,3225,15148,888,45,19307,163,2577,18,2764,13590,950,63,17363,45,500,3,541,8686,964,26,10222,8,27,0,27,3335,968,8,4338,28089,7956,761,36801,90127,8451,363,135746
CED323,1041,1992,24,3052,17879,1891,156,22983,241,2294,15,2552,16293,1698,115,20651,46,500,4,549,10798,1396,43,12787,7,27,0,39,3659,840,10,4543,24924,7566,690,33174,112930,14618,850,161570
CED324,1099,1744,41,2881,13330,601,91,16897,299,2329,21,2649,9797,462,88,12998,46,524,0,572,6378,369,20,7339,6,28,0,35,2874,236,4,3147,28906,7272,706,36881,93912,6102,474,137370
CED325,1013,2274,52,3339,14524,889,86,18839,212,2129,20,2358,9863,545,71,12839,35,406,0,452,5639,330,21,6441,0,11,0,13,2005,141,4,2170,33542,8658,1047,43242,90377,10240,327,144187
CED326,837,2615,33,3490,15938,697,86,20212,181,2680,8,2871,14406,680,61,18014,33,489,7,527,9617,708,26,10882,7,19,0,24,3747,573,4,4350,32776,9538,1137,43451,96527,6857,284,147118
CED327,970,2429,55,3451,14415,871,94,18839,270,2068,21,2362,11253,663,68,14343,42,339,3,385,5710,419,15,6529,3,9,0,17,1764,251,0,2023,32809,9084,1124,43017,90624,9334,317,143295
CED328,1053,1542,25,2621,12744,335,71,15773,173,2820,12,3008,9496,337,82,12924,39,740,0,778,6666,337,13,7794,4,38,0,41,2810,297,8,3157,30398,7184,655,38241,89601,3956,435,132230
CED329,841,2166,36,3045,20024,1461,54,24583,172,2098,10,2286,21019,1426,72,24802,45,363,0,411,11629,1048,35,13121,8,16,0,22,3416,516,6,3965,20159,7250,903,28315,92316,9893,340,130868
CED330,926,2859,35,3824,17714,1131,29,22700,166,2248,16,2435,14189,894,35,17548,28,373,0,411,7322,650,13,8392,7,29,0,41,1945,386,3,2372,31814,9253,1221,42289,90572,9153,254,142259
CED397,0,0,0,4,14,16,0,34,0,0,0,0,8,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,14,118,220,24,380
CED401,1102,2221,52,3372,17113,1044,90,21623,212,3097,14,3320,12904,836,94,17158,41,695,5,738,8053,574,18,9380,9,56,0,65,4583,413,10,5069,28899,9170,890,38962,122478,9346,716,171500
CED402,698,3394,27,4114,18977,1522,38,24657,162,2750,13,2925,17747,1458,24,22155,43,451,4,490,10634,1023,14,12152,4,26,0,27,4108,515,8,4658,24306,9973,1057,35331,95056,10672,864,141922
CED403,1091,2725,49,3864,16917,575,44,21402,213,4675,27,4918,14063,594,59,19630,51,1008,0,1063,10345,544,22,11978,4,53,0,59,5773,390,7,6227,27597,11217,1040,39850,102433,4713,280,147280
CED404,749,3632,43,4430,20720,2274,28,27452,171,2475,16,2663,19083,1834,23,23602,28,395,0,429,11001,1243,8,12688,0,29,0,24,3719,542,0,4290,23862,10702,1376,35942,98988,14421,184,149533
CED405,975,3011,31,4020,17963,691,55,22735,189,3725,11,3922,13524,560,56,18063,40,775,3,820,9667,553,15,11056,0,39,0,40,5108,319,9,5485,25545,10343,904,36789,102185,5330,271,144580
CED406,673,3497,43,4212,15842,593,24,20672,169,3837,23,4028,13767,536,38,18366,23,645,3,675,8186,484,18,9368,0,23,0,24,3216,344,0,3590,27072,11627,1375,40064,89248,4808,143,134265
CED407,776,3094,26,3897,15619,498,57,20079,175,3346,9,3531,13008,507,57,17103,38,592,3,632,9244,552,17,10439,3,30,0,31,3398,378,8,3812,28445,10246,976,39662,95814,5499,226,141197
CED408,1021,3427,36,4480,18653,948,20,24100,193,4337,15,4548,18391,932,29,23893,36,782,0,827,11453,719,15,13009,3,33,0,34,3818,413,9,4275,27204,11665,1380,40256,94331,6172,148,140908
CED409,795,3041,62,3899,16723,933,34,21586,150,2001,15,2160,12033,821,50,15066,29,312,0,344,7397,664,9,8424,3,23,0,22,2926,487,0,3436,30187,9913,1378,41478,96823,8439,237,146976
CED410,1263,2553,27,3842,17210,466,87,21605,259,4314,27,4598,13856,467,68,18994,62,1197,8,1267,11447,519,32,13266,11,61,0,72,5909,422,9,6418,30750,10761,848,42366,108028,4829,349,155578
CED497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,22,8,7,40
CED501,725,3250,42,4023,13919,718,52,18717,145,2065,13,2225,10236,604,51,13116,28,374,3,405,6371,562,18,7352,3,23,0,27,2039,403,8,2474,31973,10191,1668,43823,83827,8372,249,136274
CED502,822,2569,45,3437,13150,760,92,17435,201,2238,19,2460,10574,603,115,13758,39,388,4,427,5964,496,32,6918,4,28,0,28,1951,406,4,2401,32809,9402,1334,43541,87059,7685,379,138659
CED503,687,3224,33,3947,14662,747,31,19380,127,2513,10,2655,14829,770,36,18291,45,427,5,475,9626,755,9,10862,3,31,0,33,3072,521,4,3632,24235,9854,1318,35404,80739,6459,167,122770
CED504,1010,2831,50,3899,16137,737,89,20858,243,3288,17,3550,12763,643,59,17019,32,671,3,708,8103,528,13,9354,6,44,0,47,2839,289,4,3175,27615,10303,1012,38931,98457,7043,289,144725
CED505,1410,2056,39,3503,14748,572,86,18912,242,4263,12,4511,10670,691,77,15957,71,1328,6,1407,8417,761,33,10616,5,62,0,68,4347,655,14,5087,29297,10494,1147,40934,93308,6157,518,140914
CED506,961,3456,54,4477,26075,6066,103,36723,165,2483,26,2670,21804,3344,78,27896,29,380,3,419,8591,1418,16,10444,6,26,0,39,1966,406,6,2415,34504,12008,2370,48880,125936,38748,1284,214855
CED507,735,2933,40,3705,15309,1106,34,20154,146,2622,12,2787,13686,999,23,17490,39,397,7,444,7918,647,14,9021,8,26,4,33,2809,444,0,3286,25551,9034,1453,36033,79397,7945,298,123674
CED508,1007,2677,48,3729,14335,697,76,18836,177,3054,15,3245,10463,638,60,14410,43,625,8,676,6272,620,14,7578,8,32,0,40,2592,510,4,3143,28705,9863,1327,39887,86597,6353,420,133266
CED509,922,2886,57,3867,14216,807,60,18955,184,2791,16,2988,10632,595,49,14265,29,572,6,614,6762,511,19,7899,5,26,0,33,2337,375,3,2747,30846,10304,1367,42522,83828,8040,252,134645
CED510,925,3779,50,4754,16184,457,39,21434,220,4884,14,5123,12245,402,31,17801,31,825,9,864,6739,431,19,8057,4,32,0,31,2753,274,3,3058,28999,12237,1275,42517,82919,3757,204,129394
CED511,911,2836,45,3789,19934,3148,48,26919,142,2029,6,2180,16175,2012,38,20403,48,338,0,388,8770,1128,9,10295,0,20,0,20,2986,530,4,3551,26428,9085,1467,36976,95104,20625,383,153080
CED512,841,2911,42,3806,12659,529,54,17050,149,2244,19,2408,8653,350,43,11464,19,373,0,398,5398,341,18,6150,0,28,0,27,1814,230,6,2081,33978,9722,1509,45214,82143,4983,285,132628
CED513,963,1978,35,2972,15525,1116,127,19741,160,2587,10,2756,11089,837,69,14745,44,694,4,741,6895,650,30,8317,6,55,0,60,3806,399,4,4271,26282,8596,966,35846,109404,10078,1114,156439
CED514,976,2492,36,3505,14947,1004,107,19568,208,2926,16,3151,11394,779,82,15410,38,580,4,616,6959,757,30,8359,6,29,0,31,3217,775,4,4031,28731,9594,1017,39345,107050,10075,560,157039
CED515,1247,3186,38,4472,16460,627,116,21671,326,4815,24,5168,12865,561,112,18700,57,1033,9,1095,8591,643,33,10366,17,59,0,74,4140,593,20,4830,31912,12136,1079,45133,95865,6443,512,147954
CED597,9,15,0,30,290,221,29,560,0,15,0,15,103,56,0,178,0,3,0,3,19,12,0,32,0,0,0,0,0,0,4,3,310,58,9,371,1489,1380,164,3410
CED601,541,1777,17,2330,11272,653,14,14271,90,1685,6,1779,10006,678,13,12480,27,291,3,320,6358,555,7,7244,6,11,0,14,2359,372,7,2749,15866,6055,761,22682,63029,5290,180,91185
CED602,472,2148,33,2659,12110,755,22,15538,89,1479,7,1581,11454,803,13,13854,19,252,0,274,6993,693,6,7965,3,8,0,15,2455,292,7,2769,15315,6435,851,22600,61837,5480,147,90057
CED603,623,1609,20,2252,10232,558,42,13082,114,2117,7,2239,8219,548,21,11031,18,481,5,510,5353,459,14,6334,0,28,0,28,2406,274,0,2713,16095,6652,823,23566,67129,4950,374,96021
CED604,605,2147,27,2776,10936,513,17,14241,116,2597,10,2719,9520,536,17,12792,21,541,0,566,6085,461,4,7117,0,17,0,17,2306,264,3,2601,17956,7579,914,26449,59819,4318,101,90686
CED605,528,2163,25,2714,13436,928,12,17089,112,1664,12,1791,12083,893,10,14783,17,271,0,288,6361,588,6,7243,0,8,0,11,1848,215,3,2075,16296,6471,826,23590,63327,5904,194,93016
CED697,0,6,0,3,42,30,0,77,0,0,0,0,33,0,0,33,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,35,10,0,47,211,110,13,374
CED701,559,2060,160,2776,12477,2840,102,18204,172,1323,49,1540,9342,2015,54,12944,17,205,15,242,2535,509,16,3299,9,27,0,36,421,73,0,534,19344,11714,2996,34051,64234,18577,1967,118829
CED702,621,1402,21,2049,9742,1515,119,13420,146,1404,8,1560,6923,1036,59,9580,16,266,0,288,2792,387,19,3482,5,14,0,17,603,109,6,738,18145,5753,863,24759,60506,10392,1150,96814
CED797,4,0,0,4,69,34,0,106,0,0,0,0,27,11,0,40,0,0,0,0,5,3,0,10,0,0,0,0,0,0,0,0,29,9,0,37,285,151,17,494
CED801,904,2713,47,3663,13551,450,57,17714,150,3215,17,3380,9968,433,34,13816,33,753,12,799,6245,423,12,7479,3,34,0,34,2222,284,4,2548,26358,9785,1128,37270,80226,4757,254,122510
CED802,994,1333,32,2367,11511,744,54,14675,136,2667,14,2822,8136,639,44,11638,37,754,0,793,5695,456,11,6961,0,42,0,49,2870,374,0,3293,20604,7046,879,28528,89954,7788,464,126736
CED803,761,1763,31,2553,10080,326,74,13037,142,2395,15,2557,7041,269,79,9947,25,539,3,558,4074,196,20,4851,5,28,0,32,1284,98,3,1408,30979,7667,1071,39723,79260,4519,317,123816
CED897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
