SOSR_CODE_2021,M_15_19_Marr_a_reg_marr,M_15_19_Marr_a_de_facto_marr,M_15_19_yr_N_married,M_15_19_yr_Tot,M_20_24_Marr_a_reg_marr,M_20_24_Marr_a_de_facto_marr,M_20_24_yr_N_married,M_20_24_yr_Tot,M_25_34_Marr_a_reg_marr,M_25_34_Marr_a_de_facto_marr,M_25_34_yr_N_married,M_25_34_yr_Tot,M_35_44_Marr_a_reg_marr,M_35_44_Marr_a_de_facto_marr,M_35_44_yr_N_married,M_35_44_yr_Tot,M_45_54_Marr_a_reg_marr,M_45_54_Marr_a_de_facto_marr,M_45_54_yr_N_married,M_45_54_yr_Tot,M_55_64_Marr_a_reg_marr,M_55_64_Marr_a_de_facto_marr,M_55_64_yr_N_married,M_55_64_yr_Tot,M_65_74_Marr_a_reg_marr,M_65_74_Marr_a_de_facto_marr,M_65_74_yr_N_married,M_65_74_yr_Tot,M_75_84_Marr_a_reg_marr,M_75_84_Marr_a_de_facto_marr,M_75_84_yr_N_married,M_75_84_yr_Tot,M_85_over_Marr_a_reg_marr,M_85ov_Marr_a_de_facto_marr,M_85_yr_over_N_married,M_85_yr_over_Tot,M_Tot_Marr_a_reg_marr,M_Tot_Marr_a_de_facto_marr,M_Tot_N_married,M_Tot_Tot,F_15_19_Marr_a_reg_marr,F_15_19_Marr_a_de_facto_marr,F_15_19_yr_N_married,F_15_19_yr_Tot,F_20_24_Marr_a_reg_marr,F_20_24_Marr_a_de_facto_marr,F_20_24_yr_N_married,F_20_24_yr_Tot,F_25_34_Marr_a_reg_marr,F_25_34_Marr_a_de_facto_marr,F_25_34_yr_N_married,F_25_34_yr_Tot,F_35_44_Marr_a_reg_marr,F_35_44_Marr_a_de_facto_marr,F_35_44_yr_N_married,F_35_44_yr_Tot,F_45_54_Marr_a_reg_marr,F_45_54_Marr_a_de_facto_marr,F_45_54_yr_N_married,F_45_54_yr_Tot,F_55_64_Marr_a_reg_marr,F_55_64_Marr_a_de_facto_marr,F_55_64_yr_N_married,F_55_64_yr_Tot,F_65_74_Marr_a_reg_marr,F_65_74_Marr_a_de_facto_marr,F_65_74_yr_N_married,F_65_74_yr_Tot,F_75_84_Marr_a_reg_marr,F_75_84_Marr_a_de_facto_marr,F_75_84_yr_N_married,F_75_84_yr_Tot,F_85_over_Marr_a_reg_marr,F_85ov_Marr_a_de_facto_marr,F_85_yr_over_N_married,F_85_yr_over_Tot,F_Tot_Marr_a_reg_marr,F_Tot_Marr_a_de_facto_marr,F_Tot_N_married,F_Tot_Tot,P_15_19_Marr_a_reg_marr,P_15_19_Marr_a_de_facto_marr,P_15_19_yr_N_married,P_15_19_yr_Tot,P_20_24_Marr_a_reg_marr,P_20_24_Marr_a_de_facto_marr,P_20_24_yr_N_married,P_20_24_yr_Tot,P_25_34_Marr_a_reg_marr,P_25_34_Marr_a_de_facto_marr,P_25_34_yr_N_married,P_25_34_yr_Tot,P_35_44_Marr_a_reg_marr,P_35_44_Marr_a_de_facto_marr,P_35_44_yr_N_married,P_35_44_yr_Tot,P_45_54_Marr_a_reg_marr,P_45_54_Marr_a_de_facto_marr,P_45_54_yr_N_married,P_45_54_yr_Tot,P_55_64_Marr_a_reg_marr,P_55_64_Marr_a_de_facto_marr,P_55_64_yr_N_married,P_55_64_yr_Tot,P_65_74_Marr_a_reg_marr,P_65_74_Marr_a_de_facto_marr,P_65_74_yr_N_married,P_65_74_yr_Tot,P_75_84_Marr_a_reg_marr,P_75_84_Marr_a_de_facto_marr,P_75_84_yr_N_married,P_75_84_yr_Tot,P_85_over_Marr_a_reg_marr,P_85ov_Marr_a_de_facto_marr,P_85_yr_over_N_married,P_85_yr_over_Tot,P_Tot_Marr_a_reg_marr,P_Tot_Marr_a_de_facto_marr,P_Tot_N_married,P_Tot_Tot
SOSR615,0,15,1574,1590,52,304,1070,1429,1025,1047,1278,3343,1577,600,770,2951,1694,477,1079,3251,2206,478,1112,3798,2568,243,1100,3908,1518,86,549,2150,330,10,240,581,10965,3265,8766,22998,0,34,1356,1392,93,427,918,1442,1340,1091,1203,3638,1717,597,1031,3342,1872,509,1315,3693,2323,407,1496,4227,2435,208,1654,4299,1157,56,1409,2620,151,4,622,785,11102,3335,10995,25427,0,42,2931,2981,145,734,1989,2867,2364,2140,2480,6982,3297,1193,1802,6294,3564,990,2390,6940,4523,890,2610,8017,5001,452,2749,8206,2674,142,1952,4770,482,16,864,1363,22063,6594,19764,48420
SOSR621,0,5,476,478,8,67,351,420,268,282,430,982,519,239,295,1052,669,195,367,1232,856,195,443,1500,959,125,360,1447,523,34,228,785,84,3,73,157,3880,1154,3016,8050,0,6,417,430,15,92,260,364,354,338,353,1039,592,231,283,1107,741,202,335,1283,953,199,455,1610,858,77,485,1421,355,24,354,739,31,0,153,187,3914,1163,3091,8174,0,10,894,907,23,155,609,791,620,625,779,2025,1116,469,577,2156,1407,400,700,2509,1810,400,902,3109,1820,202,844,2866,880,61,583,1523,116,3,218,342,7794,2319,6115,16225
SOSR622,0,0,191,191,7,28,126,153,96,120,136,347,183,85,112,388,266,94,172,536,414,85,224,722,452,55,241,745,224,10,106,339,29,0,27,59,1670,468,1338,3478,0,5,184,188,8,37,85,135,122,117,123,362,207,104,104,414,314,91,150,557,465,73,215,751,401,53,215,669,147,5,142,296,20,0,48,67,1690,478,1268,3437,0,5,371,380,14,61,210,288,218,236,259,710,392,192,214,798,577,188,328,1091,879,156,438,1472,848,106,456,1411,370,15,246,629,50,0,81,128,3355,953,2602,6913
SOSR631,3,15,2848,2870,40,264,1763,2070,1224,1232,1929,4379,2912,1169,1237,5326,3969,1261,1634,6869,5194,1153,2158,8496,4726,623,1808,7156,2003,136,800,2940,291,15,230,530,20362,5872,14406,40637,5,35,2472,2507,90,384,1325,1794,1674,1429,1347,4453,3471,1244,1078,5794,4502,1249,1392,7141,5417,1037,1759,8219,4060,412,1470,5943,1301,68,915,2276,118,3,372,490,20629,5860,12129,38618,10,46,5326,5377,122,646,3086,3860,2896,2663,3281,8841,6386,2421,2313,11120,8477,2514,3025,14009,10607,2191,3916,16716,8782,1036,3276,13097,3298,202,1714,5219,407,17,599,1023,40989,11732,26532,79256
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,3,44,2820,2865,92,581,2620,3293,2802,2277,4258,9336,4513,1367,2061,7946,3553,958,1950,6467,2825,628,1725,5181,1923,267,1286,3479,820,72,459,1347,124,3,118,242,16666,6197,17292,40154,8,79,2704,2795,260,808,2057,3117,4000,2592,3972,10561,4911,1498,2469,8876,3582,928,2241,6751,2600,537,2066,5201,1534,195,1653,3374,464,34,866,1356,39,0,259,302,17389,6657,18289,42336,13,121,5525,5657,346,1389,4674,6414,6797,4867,8228,19890,9425,2863,4530,16818,7137,1884,4189,13212,5427,1166,3789,10379,3454,459,2942,6848,1288,98,1321,2704,163,3,381,548,34052,12858,35576,82483
SOSR712,0,8,632,643,16,99,395,513,524,476,848,1848,843,327,473,1644,634,212,423,1260,619,162,391,1164,347,62,246,659,118,6,75,203,18,4,11,39,3125,1355,3489,7971,8,19,580,604,46,131,359,537,729,556,891,2181,868,328,567,1761,608,224,583,1422,576,137,518,1231,263,40,356,662,80,10,160,254,8,0,63,68,3197,1441,4077,8716,7,26,1210,1242,68,233,751,1046,1259,1029,1739,4029,1710,653,1039,3401,1243,436,1006,2683,1196,290,900,2393,617,105,607,1324,207,17,235,457,22,7,75,99,6327,2792,7564,16685
SOSR714,0,3,135,137,8,27,144,181,109,113,218,437,156,85,94,338,99,59,78,235,119,39,82,234,66,24,62,155,19,3,27,54,0,0,5,8,577,354,855,1780,0,5,104,111,19,37,118,170,159,136,205,505,158,67,133,365,107,67,142,318,96,32,120,253,46,12,61,116,17,0,26,43,0,0,10,12,598,363,920,1880,0,8,247,253,24,63,260,345,272,249,423,942,312,149,229,694,207,126,221,559,214,76,203,487,108,38,126,266,38,3,53,94,0,0,18,19,1181,720,1772,3668
SOSR715,29,8,715,751,124,55,442,617,456,227,562,1251,553,181,398,1136,420,140,298,865,280,59,258,593,129,22,113,268,26,3,32,59,5,0,8,10,2023,688,2834,5547,31,14,622,672,161,69,393,623,529,249,674,1442,565,177,461,1195,412,133,379,927,229,51,309,600,77,6,134,222,13,0,50,62,0,0,9,11,2027,694,3029,5758,61,20,1343,1420,286,119,835,1238,982,474,1235,2695,1124,360,856,2332,835,272,680,1786,510,108,573,1190,210,30,250,488,37,4,87,125,7,0,15,25,4055,1387,5861,11303
SOSR721,20,13,444,478,93,53,305,456,351,149,434,933,364,134,249,742,318,90,231,641,234,54,156,442,103,19,77,206,19,0,31,49,3,0,8,3,1501,516,1941,3951,34,21,411,469,95,72,320,492,408,159,477,1037,381,141,297,811,323,76,281,678,176,44,276,495,76,9,141,225,9,0,44,50,0,0,16,16,1507,523,2250,4278,54,32,854,944,189,129,626,944,759,308,910,1972,742,272,547,1555,648,168,510,1320,408,101,438,943,184,25,217,426,24,3,73,101,3,0,20,21,3006,1035,4190,8236
SOSR722,17,3,423,444,122,34,282,439,346,105,372,824,342,80,238,659,255,80,218,556,206,43,163,413,109,13,115,243,39,3,42,82,8,0,8,12,1446,368,1863,3678,35,14,367,409,141,48,260,446,382,109,412,910,366,81,268,711,266,84,308,655,184,31,279,494,80,11,193,289,15,0,64,79,0,0,12,12,1468,379,2165,4006,54,15,780,853,264,81,539,881,732,212,789,1732,707,162,511,1375,525,161,527,1213,389,74,445,915,195,27,308,533,53,9,105,160,8,0,19,23,2916,743,4028,7687
SOSR731,22,10,931,961,78,101,632,810,484,454,734,1665,883,363,467,1714,1050,390,582,2034,933,276,648,1858,659,113,444,1219,221,26,160,405,24,0,33,52,4352,1740,4630,10723,24,20,806,849,117,140,468,730,651,548,592,1794,1075,396,469,1938,1124,392,523,2036,892,247,544,1677,522,79,386,995,115,21,162,297,12,3,44,59,4541,1844,3992,10379,40,30,1739,1816,198,243,1100,1537,1138,998,1325,3458,1960,767,930,3657,2179,781,1104,4067,1829,521,1192,3535,1186,196,831,2217,333,42,323,697,31,4,73,113,8892,3586,8625,21099
SOSR779,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
SOSR802,10,82,11346,11438,276,1804,11978,14058,10193,8641,16364,35198,20088,4473,7395,31958,16636,2997,6336,25975,13176,1852,5085,20113,10843,888,3344,15077,5835,248,1763,7849,1392,31,829,2254,78446,21028,64435,163911,5,150,10515,10674,668,2624,11081,14372,13805,8909,13378,36102,20963,4217,7933,33120,16127,2803,7922,26859,12619,1593,7646,21855,9871,670,6852,17394,4289,172,4944,9403,659,19,2434,3113,79009,21152,72716,172875,12,238,21859,22111,947,4425,23063,28423,23997,17556,29742,71297,41057,8693,15330,65076,32763,5800,14260,52828,25793,3442,12731,41965,20709,1560,10197,32469,10123,421,6709,17250,2047,57,3261,5359,157452,42184,137151,336785
SOSR822,0,0,25,27,0,5,7,9,7,5,13,30,25,12,7,44,41,8,7,47,23,0,4,26,26,0,0,24,10,0,3,13,0,0,0,0,131,24,68,227,0,0,17,19,0,0,12,15,9,6,0,20,34,9,3,44,32,5,11,47,23,0,10,38,24,0,5,29,8,0,9,13,0,0,3,3,131,27,72,227,0,0,45,45,0,7,23,29,20,12,20,48,55,20,11,95,71,13,10,98,49,6,11,65,47,0,8,49,16,0,8,26,0,0,3,6,265,51,139,455
SOSR831,0,0,5,5,0,0,8,10,10,13,13,31,9,6,7,21,19,6,8,24,20,0,8,25,17,3,8,26,4,0,0,3,0,0,0,0,75,31,56,159,0,0,12,12,0,4,10,15,13,10,18,38,12,5,3,24,15,4,8,24,22,0,9,31,8,5,5,15,7,0,0,3,0,0,0,5,70,27,71,166,0,0,25,25,0,3,17,23,22,23,29,71,24,14,14,43,30,5,14,50,39,0,16,56,25,6,13,39,7,0,3,8,3,0,0,4,145,51,123,328
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR915,0,0,15,15,0,0,14,19,30,15,27,72,41,4,19,59,49,13,18,72,40,9,24,77,47,3,29,78,3,0,6,10,3,0,0,4,204,46,154,407,0,0,27,27,0,3,8,11,26,14,18,56,64,6,16,85,52,12,17,76,39,4,9,57,22,0,18,40,3,0,3,10,0,0,0,0,215,43,116,368,0,0,43,45,0,7,22,29,58,26,46,129,103,10,34,145,94,22,34,155,78,16,38,134,68,8,44,115,10,0,12,22,3,0,0,4,423,89,271,773
SOSR921,0,0,39,39,0,7,18,24,11,15,21,43,29,15,24,80,46,24,20,88,62,24,58,136,65,15,17,95,27,4,12,47,8,0,3,15,248,98,215,561,0,0,33,33,5,11,21,28,13,22,20,54,38,27,28,94,37,21,41,97,79,23,62,162,52,10,57,118,19,0,37,62,4,0,17,18,243,111,304,656,0,0,69,67,5,14,37,54,22,40,42,100,70,38,52,166,76,45,62,188,136,46,113,300,119,22,77,215,52,4,49,103,13,0,21,33,490,210,522,1217
SOSR922,0,0,8,8,3,0,11,14,16,0,4,21,33,5,6,41,17,3,11,28,40,9,7,50,26,0,0,27,16,0,3,16,0,0,6,6,146,14,44,203,0,0,4,4,3,0,12,17,19,4,3,27,29,3,5,39,20,5,3,27,40,8,5,48,19,0,0,23,10,0,3,9,0,0,0,0,147,12,46,210,0,0,13,13,8,0,28,36,36,10,5,48,63,4,13,81,36,4,11,52,80,8,12,101,43,0,0,43,24,0,6,33,0,0,10,10,294,31,90,415
SOSR931,0,4,11,12,0,0,10,10,5,0,16,17,15,0,8,29,21,8,15,43,19,3,10,37,23,0,17,42,16,0,6,25,0,0,4,5,92,28,96,216,0,0,16,16,0,5,13,10,8,10,7,26,13,7,7,22,22,7,18,44,14,8,18,39,20,5,13,37,12,0,16,32,0,0,7,3,92,30,109,230,0,4,23,25,0,3,19,22,12,11,21,47,27,12,16,52,43,15,30,88,32,15,27,73,40,5,31,76,24,0,25,56,0,0,4,9,191,56,198,445
SOSR979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
