SOSR_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
SOSR179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR201,23460,4030,2251,35,11,29796,7147,1232,655,7,3,9044,6144,1060,653,9,4,7866,10373,1851,1186,15,5,13433,14135,2610,2055,23,6,18833,45213,8917,8615,99,30,62871,63101,12200,11506,105,58,86967,108459,17765,13644,143,66,140080,56750,9934,5618,63,38,72401,52086,10212,4504,67,43,66910,47943,9546,3205,51,34,60783,32004,5202,2816,43,25,40084,466811,84571,56706,666,324,609074
SOSR203,1996,114,18,0,0,2131,1089,76,17,0,0,1182,946,73,9,0,0,1030,1986,173,36,4,5,2201,2857,267,57,0,3,3180,9576,669,138,10,18,10408,10221,492,76,7,15,10815,9451,332,70,6,14,9867,3134,106,12,0,5,3263,2239,71,17,0,0,2328,1370,48,14,0,3,1425,2436,120,23,4,6,2585,47301,2547,477,40,58,50420
SOSR211,586,30,0,0,0,613,277,17,0,0,0,298,265,20,3,0,0,286,477,45,0,0,0,524,835,75,12,0,0,916,2969,194,19,0,0,3185,4105,101,9,0,3,4216,3680,48,5,0,7,3736,769,6,0,0,3,778,547,11,0,0,0,560,345,6,0,0,0,352,939,34,0,0,0,981,15796,589,47,0,14,16446
SOSR212,1418,63,22,0,4,1511,730,45,16,0,0,794,645,37,11,0,0,693,1435,94,36,3,4,1573,2335,114,46,0,3,2501,7002,257,110,0,9,7375,6815,179,82,0,0,7072,6703,128,40,5,5,6884,2585,50,3,3,0,2645,1883,34,3,0,0,1916,1159,21,5,5,3,1186,2095,66,35,4,0,2194,34798,1085,410,31,28,36346
SOSR213,1351,70,9,0,4,1435,867,41,10,0,0,919,844,35,9,0,0,884,1869,68,17,4,0,1957,2604,115,35,5,0,2759,6888,220,37,8,3,7163,6745,170,17,4,3,6946,5978,87,5,5,0,6078,1897,13,0,0,0,1911,1237,14,5,0,4,1255,718,8,4,3,4,736,1909,59,9,0,0,1990,32902,902,169,27,27,34035
SOSR214,755,28,4,4,0,798,516,24,4,0,3,536,494,21,3,0,0,518,1119,44,0,6,0,1171,1594,52,10,0,3,1658,3680,115,16,8,0,3823,3167,111,3,9,3,3293,3105,65,7,4,5,3189,1073,23,0,0,0,1098,738,10,0,0,0,748,377,3,0,0,0,389,998,39,7,4,0,1044,17604,540,60,33,24,18266
SOSR215,1401,46,12,8,5,1466,962,24,12,5,0,1004,955,17,4,7,0,985,1963,63,0,7,0,2040,2586,57,12,7,3,2662,6016,109,26,5,5,6159,5566,60,25,16,8,5677,5575,56,15,5,11,5658,2126,16,5,5,3,2160,1428,16,3,3,7,1462,878,9,0,0,5,898,1950,30,5,7,6,1994,31411,517,123,73,43,32169
SOSR221,419,11,0,5,0,438,385,4,0,0,0,398,386,3,0,5,0,388,654,4,3,3,0,663,782,5,0,3,0,795,1764,16,3,3,0,1789,1550,12,6,3,0,1576,1280,7,4,6,3,1299,487,3,3,0,0,492,384,4,3,0,0,390,232,0,4,0,0,234,515,4,3,0,0,526,8840,86,38,38,4,9003
SOSR222,257,0,8,0,0,265,261,0,0,0,0,263,250,0,0,0,0,250,391,8,3,3,0,403,504,0,7,3,0,515,1038,6,4,5,0,1056,786,10,6,0,0,802,620,3,6,0,0,634,219,0,3,0,0,227,166,0,3,0,0,170,109,0,0,0,0,112,301,0,0,0,0,304,4911,34,46,21,9,5017
SOSR231,3493,13,3,13,18,3531,1498,0,0,6,0,1510,1481,0,0,12,0,1492,2594,7,4,11,7,2615,3391,12,3,22,8,3429,8657,24,3,18,10,8712,8398,16,6,14,9,8443,9422,34,3,23,10,9500,4511,10,3,12,9,4540,4179,7,0,6,6,4203,3831,13,0,4,7,3858,3931,8,0,12,7,3957,55377,145,29,154,87,55794
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR301,10488,694,856,8,10,12049,3675,340,256,0,0,4275,3090,372,318,3,0,3789,5598,774,637,8,5,7028,8517,1267,1079,4,8,10881,30309,4421,4220,11,30,38988,44560,4613,4887,21,41,54122,62572,3681,4308,18,32,70617,31082,1252,1549,5,16,33905,25226,797,1190,6,23,27242,17359,454,978,3,16,18811,14054,932,945,11,13,15949,256537,19607,21231,96,185,297650
SOSR302,3456,701,618,9,11,4786,1257,393,226,3,0,1886,967,310,197,0,0,1476,1740,554,412,8,9,2727,2446,882,723,8,9,4074,7270,3270,2151,22,23,12737,11856,3959,2354,10,34,18218,23055,3195,2096,16,31,28393,12234,989,698,8,9,13939,9309,693,626,0,17,10644,6099,444,436,0,16,6990,5719,982,744,4,13,7466,85416,16373,11276,98,174,113331
SOSR303,1957,123,126,0,10,2214,741,90,84,3,0,913,759,121,111,0,4,996,1729,255,238,4,0,2233,2852,317,327,5,4,3497,10177,675,543,15,6,11423,11552,341,304,9,13,12226,9775,177,214,4,10,10182,3194,41,74,0,0,3314,2292,34,49,3,3,2380,1391,29,44,0,4,1476,2618,110,124,3,9,2865,49033,2315,2236,61,62,53705
SOSR311,1173,59,27,9,7,1269,581,48,20,0,0,650,574,54,20,0,0,647,1248,70,44,7,0,1369,2045,112,63,3,5,2226,6693,230,99,20,3,7042,6345,147,54,6,8,6563,5141,60,46,8,5,5260,1734,24,18,4,0,1776,1078,8,15,0,3,1103,627,12,9,4,4,660,1660,47,17,0,4,1726,28897,870,427,63,42,30296
SOSR312,510,32,21,4,0,558,250,18,9,0,0,285,261,18,9,0,0,290,572,37,28,0,0,632,884,52,33,4,3,970,2157,113,47,0,3,2319,2299,99,35,3,0,2435,2185,51,16,0,4,2259,670,14,4,0,0,688,452,5,9,0,0,462,224,7,0,0,0,235,624,28,14,0,0,671,11092,464,216,16,12,11801
SOSR313,623,26,22,26,4,696,346,29,14,0,0,388,368,19,18,0,0,407,772,30,33,3,4,842,1339,47,38,9,9,1436,3848,113,80,16,4,4055,4001,92,55,17,7,4173,3538,54,38,12,9,3649,1063,20,9,4,0,1093,690,8,6,3,6,718,394,7,3,0,4,412,1077,22,21,0,3,1124,18060,461,332,85,53,18996
SOSR314,695,18,7,0,0,724,350,22,7,4,0,382,404,21,11,5,0,438,887,20,5,7,0,918,1258,22,16,5,0,1302,3550,73,28,12,0,3658,4014,37,17,0,0,4067,4360,23,8,11,5,4407,1458,6,0,5,0,1477,827,9,3,4,0,840,459,0,7,0,4,472,1173,7,15,0,6,1202,19428,263,117,59,23,19888
SOSR315,1230,34,14,16,3,1303,793,20,11,6,6,838,759,26,14,4,3,806,1512,30,29,8,0,1584,2009,46,34,12,5,2108,5308,96,55,28,8,5491,5443,69,44,9,8,5571,5745,48,11,13,11,5832,1977,21,9,10,5,2025,1151,11,7,0,7,1179,587,4,8,6,7,615,1692,22,20,7,10,1756,28210,425,251,135,70,29093
SOSR321,541,0,5,10,4,562,366,0,0,8,0,370,356,3,0,3,0,365,704,4,6,14,0,724,882,7,0,8,0,903,2258,18,5,17,3,2300,2204,9,9,10,0,2241,2072,14,4,5,5,2105,754,0,6,0,0,766,477,0,4,0,4,490,273,0,0,9,0,289,769,14,4,5,3,791,11652,73,44,99,32,11896
SOSR322,247,0,0,13,0,257,200,0,0,0,0,203,175,5,0,0,0,182,351,3,0,10,4,367,402,5,0,7,0,417,849,12,3,7,6,883,690,0,3,16,0,711,576,0,0,10,5,594,186,0,0,4,0,196,146,0,0,9,5,153,94,0,0,8,5,108,254,0,0,5,3,271,4182,32,16,88,26,4334
SOSR331,3398,37,14,57,51,3549,1272,6,0,23,8,1309,1236,8,0,22,6,1268,2209,12,8,39,8,2278,2996,17,3,37,16,3074,8313,38,12,71,20,8450,8608,55,10,58,22,8751,10469,65,23,63,26,10644,4942,25,6,27,18,5021,4167,21,8,14,10,4225,3287,15,7,24,25,3364,3954,24,7,51,24,4060,54852,332,104,491,221,55998
SOSR379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR401,7172,1016,311,13,15,8534,3207,521,167,8,0,3896,3048,509,184,4,4,3746,5856,986,413,7,6,7274,8587,1464,765,3,6,10835,27644,4037,1799,23,59,33557,30654,4021,1209,10,52,35953,28720,3606,741,15,52,33127,11137,1309,216,4,24,12687,9202,943,160,6,13,10329,6569,600,139,8,16,7335,7361,942,299,6,12,8617,149151,19954,6406,104,263,175875
SOSR412,507,81,8,0,0,596,337,118,13,0,0,465,325,103,12,0,0,435,743,228,23,0,4,996,1259,230,14,0,0,1506,3301,265,21,0,9,3589,2868,70,9,0,5,2950,2202,42,0,0,9,2256,627,11,6,3,0,641,355,4,0,0,0,363,218,3,0,0,0,217,552,52,11,0,6,620,13300,1205,115,5,18,14645
SOSR413,522,21,4,5,3,547,409,36,0,0,0,446,441,43,0,0,0,487,840,52,9,0,0,904,1201,46,4,0,4,1254,2426,42,10,8,0,2492,1773,29,0,0,5,1803,1370,12,0,6,5,1390,524,6,0,0,0,534,445,0,0,0,5,452,378,4,0,0,0,387,554,23,3,0,0,581,10884,323,44,18,22,11287
SOSR414,195,7,3,0,0,204,139,4,0,0,0,149,135,3,0,0,0,142,293,7,0,0,0,304,412,8,0,0,0,427,1114,15,0,3,3,1134,1063,6,0,0,4,1080,592,3,0,0,0,600,128,4,0,0,0,132,83,0,0,0,0,83,39,0,0,0,0,40,160,3,0,0,0,165,4361,75,6,7,19,4470
SOSR415,643,21,0,5,0,671,568,35,0,0,0,603,624,44,0,4,0,671,1290,45,7,5,0,1350,1628,31,5,5,0,1669,3433,69,0,15,8,3526,2867,31,0,0,4,2907,2280,8,5,10,10,2314,707,3,0,3,5,716,397,0,0,4,0,401,258,3,0,0,0,267,703,22,0,5,5,737,15401,323,26,46,35,15829
SOSR421,217,3,0,3,0,231,231,3,0,0,0,239,218,3,0,6,5,225,423,6,3,3,0,438,475,12,0,0,0,485,972,4,5,3,0,985,725,0,0,3,0,735,538,0,0,0,0,543,156,0,0,0,0,155,121,6,0,0,0,124,69,0,0,0,0,68,210,3,0,0,0,215,4356,43,10,25,8,4442
SOSR422,157,5,0,0,0,166,204,3,0,0,0,208,180,3,0,0,0,182,305,3,0,7,0,318,335,5,0,0,0,339,534,3,0,0,0,544,321,3,0,4,0,328,186,0,0,5,0,192,60,0,0,0,0,64,52,0,0,0,0,52,29,0,0,0,0,27,121,0,0,0,0,127,2493,24,0,20,10,2546
SOSR431,1332,9,0,14,0,1359,671,4,0,3,0,684,634,5,0,0,4,649,1162,6,0,10,3,1180,1418,4,0,9,3,1442,3280,23,3,8,13,3325,2746,12,0,14,0,2776,2796,12,0,10,4,2825,1263,4,0,7,3,1275,1059,4,0,6,3,1077,793,0,0,3,0,799,1007,7,0,8,9,1029,18167,91,8,93,58,18423
SOSR479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR501,11518,1352,482,9,5,13366,3817,456,173,4,0,4449,3413,451,216,0,0,4086,6066,934,404,12,3,7417,8869,1353,663,15,3,10904,32558,4929,2230,11,19,39746,48708,5862,2295,19,27,56913,69203,5875,1949,17,51,77094,31821,2341,785,7,20,34969,25293,1980,708,5,8,27990,20009,1281,498,10,11,21806,15488,1428,530,6,14,17461,276766,28235,10926,109,159,316201
SOSR511,411,28,3,0,0,445,168,15,0,0,0,193,171,11,3,0,0,179,316,16,6,3,0,346,534,37,3,5,0,577,1986,108,9,0,0,2109,2666,61,3,3,3,2742,2470,44,8,0,4,2531,837,21,0,0,0,856,528,17,4,0,0,545,319,8,4,0,0,330,557,29,3,0,5,596,10958,403,54,10,15,11442
SOSR512,563,29,4,0,0,597,328,13,0,0,0,341,247,26,0,0,0,276,617,40,6,0,3,666,886,58,6,4,0,956,2884,162,17,8,0,3067,3291,102,11,6,3,3411,3277,96,4,4,3,3379,1067,18,0,0,0,1084,770,21,0,0,0,795,423,16,0,0,0,442,808,30,4,4,0,851,15163,619,45,31,13,15867
SOSR513,208,9,7,4,0,227,66,13,0,0,0,78,65,12,0,0,3,79,174,25,0,10,0,208,249,32,7,8,0,299,857,76,6,5,0,945,1141,53,0,4,0,1202,1593,66,4,16,0,1678,686,24,0,4,0,711,566,9,0,5,0,585,351,14,0,3,0,367,387,14,0,7,0,411,6329,340,39,73,12,6790
SOSR514,168,0,0,0,3,168,96,3,4,0,0,101,109,5,0,0,0,112,205,9,3,0,0,219,279,14,0,0,0,291,671,22,3,0,0,696,755,28,0,0,3,788,735,36,0,0,0,772,269,12,0,0,0,277,188,11,0,0,0,198,102,6,0,0,0,112,198,16,0,0,0,209,3769,161,13,0,11,3950
SOSR515,429,16,0,9,0,452,257,7,0,4,3,266,270,6,0,4,0,280,539,14,0,3,0,558,715,14,4,4,0,738,1929,24,4,8,5,1972,1791,20,6,11,0,1828,1858,13,4,14,0,1882,684,3,0,8,0,698,439,3,0,7,0,452,259,4,0,3,0,274,507,8,0,9,3,527,9674,124,17,84,17,9928
SOSR521,197,0,0,3,0,203,148,0,0,0,0,148,156,0,0,0,0,162,293,3,0,6,0,300,366,7,0,7,0,380,774,4,4,9,0,788,669,6,0,3,0,679,595,3,3,6,0,608,257,3,0,4,0,262,158,0,0,0,0,160,106,0,0,3,4,110,229,0,0,4,0,233,3947,30,9,44,9,4037
SOSR522,111,0,0,3,3,126,114,0,0,3,0,120,121,0,0,5,0,122,165,0,0,0,0,165,127,0,0,0,0,130,328,3,0,6,0,334,228,0,0,10,0,237,226,0,0,3,0,227,70,0,0,4,0,80,63,0,0,4,0,64,45,0,0,0,0,45,126,0,0,4,0,129,1731,8,8,43,3,1788
SOSR531,1264,6,0,27,13,1314,375,0,0,12,0,392,322,5,0,11,3,341,525,8,0,18,10,552,629,3,0,26,3,665,1996,16,5,47,13,2071,2132,14,4,44,14,2203,3317,22,5,38,21,3401,1928,10,0,23,9,1974,2011,17,0,19,10,2057,1461,7,3,26,26,1522,1173,5,0,28,5,1213,17137,106,24,310,122,17706
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR603,1195,55,46,5,3,1294,588,28,25,0,0,644,525,21,36,0,0,580,1012,48,60,0,0,1122,1485,61,91,0,0,1637,4497,194,246,4,0,4941,4758,145,153,3,0,5065,4348,108,85,4,5,4547,1643,49,22,5,0,1717,1210,30,22,3,0,1273,879,24,17,4,0,919,990,32,44,0,4,1070,23126,794,846,25,15,24810
SOSR611,448,25,15,0,0,490,255,17,10,0,0,286,262,14,10,0,0,286,578,48,41,0,0,667,980,49,39,0,0,1076,2542,89,79,0,0,2718,1900,69,28,0,0,1998,1228,57,13,0,5,1305,341,9,10,0,0,358,265,4,0,0,0,278,171,13,0,0,0,185,432,24,10,0,0,467,9410,422,260,6,6,10104
SOSR612,237,9,0,0,0,251,221,7,0,0,0,227,203,6,0,0,0,205,457,15,0,0,0,480,746,14,0,0,0,759,1717,27,0,0,3,1744,888,12,0,4,0,903,476,5,0,0,0,482,143,0,0,0,0,143,84,0,0,0,0,86,67,0,0,0,0,61,243,0,0,0,0,248,5483,93,6,9,3,5592
SOSR613,80,7,0,0,0,82,50,0,0,0,0,52,48,0,0,0,0,56,126,5,0,0,0,130,182,3,0,0,0,187,444,12,0,5,0,454,274,0,0,0,0,278,168,0,0,0,0,169,30,0,0,0,0,30,32,0,0,0,0,32,10,0,0,0,0,9,64,0,0,0,0,68,1503,38,0,6,0,1550
SOSR614,120,0,0,0,0,123,94,5,0,0,0,94,92,0,0,0,0,99,178,6,0,0,0,180,279,4,0,0,0,283,683,9,0,0,0,689,487,0,3,0,0,487,275,0,0,0,0,282,62,0,0,0,0,62,36,0,0,0,0,36,32,0,0,0,0,32,102,0,0,0,0,102,2428,21,3,5,0,2457
SOSR615,405,9,8,0,0,426,313,4,3,0,0,325,323,8,6,0,0,337,625,9,9,0,0,646,846,16,6,0,0,867,2251,38,16,5,4,2310,1795,21,7,6,0,1829,1070,11,3,3,8,1089,243,3,4,0,0,248,172,0,0,0,0,169,83,5,0,0,0,90,420,5,5,0,0,429,8542,131,62,18,10,8763
SOSR621,141,6,0,0,0,148,129,3,0,0,0,126,125,0,0,0,0,126,236,0,0,0,0,237,313,0,0,0,0,315,644,4,0,0,0,658,543,3,0,4,0,553,364,3,0,3,0,377,123,0,0,0,0,125,102,0,0,0,0,105,49,0,0,0,0,51,172,0,0,0,0,172,2937,31,4,13,7,2995
SOSR622,71,0,0,0,0,69,64,0,0,0,0,67,67,0,0,0,0,67,117,0,0,0,0,119,140,0,0,0,0,139,313,0,0,0,3,315,182,0,0,0,0,182,106,0,0,0,0,106,41,0,0,0,0,41,32,0,0,0,0,32,18,0,0,0,0,16,65,0,0,0,0,66,1210,5,0,4,0,1221
SOSR631,883,0,0,4,3,896,553,0,0,6,0,561,531,0,0,7,0,539,963,3,0,4,3,974,1209,10,0,5,4,1224,3129,8,10,10,0,3156,2657,4,0,0,0,2671,2411,3,0,8,0,2431,829,0,0,0,0,835,623,5,0,0,0,634,397,0,0,4,0,398,773,0,0,5,3,780,14967,47,12,47,24,15094
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR703,340,25,77,3,0,454,104,10,29,4,0,146,84,15,34,3,0,138,219,42,77,0,0,337,269,52,132,3,0,452,988,196,383,13,0,1582,1537,223,438,11,0,2205,2968,217,402,4,3,3591,1725,93,164,6,0,1986,1321,51,116,0,0,1503,824,35,70,0,0,935,571,48,89,6,0,720,10960,1009,2014,55,10,14049
SOSR712,65,16,0,0,0,92,36,10,0,4,0,42,24,6,4,0,0,32,38,24,5,0,0,75,91,48,9,0,0,153,253,152,7,3,0,421,525,154,7,3,0,691,713,90,4,3,4,812,308,23,0,3,0,334,194,19,0,0,0,215,105,3,0,4,4,115,115,22,4,0,0,141,2479,574,47,26,10,3132
SOSR714,8,0,0,3,0,11,4,3,0,0,0,10,4,0,0,0,0,4,15,3,0,0,0,21,23,0,0,0,0,28,91,6,0,0,0,100,125,3,0,0,0,127,73,0,0,0,0,73,17,0,0,0,0,17,7,0,0,0,0,3,7,0,0,0,0,4,22,4,0,0,0,29,400,18,0,4,3,431
SOSR715,14,0,0,3,0,18,7,0,0,0,0,7,10,0,0,0,0,10,10,0,0,0,0,10,10,0,0,0,0,10,35,0,0,0,0,35,19,0,0,0,0,22,16,0,0,0,0,16,3,0,0,0,0,10,5,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,7,135,0,0,6,0,145
