UCL_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
UCL115059,42,343,268,62,41,748,120,864
UCL115060,20,247,342,93,46,752,41,794
UCL115061,27,186,124,55,37,424,20,434
UCL115062,3,97,185,81,79,448,12,459
UCL115063,5,107,194,64,49,417,6,425
UCL115064,68,537,716,211,125,1650,57,1706
UCL115065,82,384,315,105,34,927,116,1039
UCL115066,3,153,332,185,147,817,29,852
UCL115067,75,536,359,90,43,1102,59,1161
UCL115068,19,224,216,79,26,562,23,590
UCL115069,77,373,293,104,61,911,53,971
UCL115070,33,305,445,202,133,1121,38,1157
UCL115071,49,316,284,101,66,801,63,862
UCL115072,6,131,345,113,73,665,11,675
UCL115073,49,305,274,92,36,758,78,840
UCL115074,44,304,247,85,46,729,145,873
UCL115075,10,261,173,41,26,524,14,533
UCL115076,52,314,263,73,52,759,66,818
UCL115077,53,706,585,145,52,1542,63,1603
UCL115078,30,323,222,46,25,650,61,714
UCL115079,61,372,321,96,56,910,113,1024
UCL115080,18,191,332,142,102,794,19,813
UCL115081,36,169,164,44,20,430,70,496
UCL115082,34,227,197,52,28,535,51,580
UCL115083,37,383,454,145,66,1080,64,1145
UCL115084,53,479,313,75,24,953,60,1008
UCL115085,6,111,200,64,56,437,22,462
UCL115086,30,377,369,159,125,1060,54,1112
UCL115087,6,121,179,82,44,439,38,472
UCL115088,11,200,270,84,25,596,20,616
UCL115089,101,587,543,206,97,1538,109,1644
UCL115090,53,286,153,46,30,571,62,628
UCL115091,19,250,206,58,42,572,57,631
UCL115092,21,270,276,80,42,690,40,731
UCL115093,8,115,182,77,59,440,3,446
UCL115094,82,571,356,94,43,1146,89,1242
UCL115095,32,183,154,50,17,438,67,501
UCL115096,34,629,683,180,101,1638,54,1688
UCL115097,31,461,439,127,63,1120,55,1173
UCL115098,41,249,163,42,20,522,150,670
UCL115099,96,522,385,102,54,1168,89,1255
UCL115100,70,504,385,82,40,1087,78,1165
UCL115101,32,370,430,135,46,1011,55,1063
UCL115102,60,358,272,88,39,816,73,885
UCL115103,20,174,133,47,17,390,40,431
UCL115104,30,202,230,77,38,568,34,603
UCL115105,41,231,242,73,33,625,50,682
UCL115106,95,442,380,131,72,1113,116,1231
UCL115107,67,548,507,153,76,1353,127,1478
UCL115108,0,99,306,146,107,663,11,672
UCL115109,118,746,518,129,56,1558,88,1649
UCL115110,123,609,498,153,86,1471,141,1609
UCL115111,86,516,453,142,83,1274,166,1439
UCL115112,5,218,398,112,51,784,30,815
UCL115113,53,275,248,90,49,710,38,749
UCL115114,57,403,363,108,63,996,117,1115
UCL115115,51,668,730,277,104,1838,166,2010
UCL115116,78,843,722,168,71,1874,121,1988
UCL115117,32,406,216,44,26,730,40,768
UCL115118,20,294,250,78,30,669,22,693
UCL115119,70,424,528,219,164,1397,51,1446
UCL115120,10,151,451,205,202,1028,18,1044
UCL115121,51,278,245,117,56,751,57,809
UCL115122,82,403,354,101,54,1002,136,1132
UCL115123,8,144,239,84,51,526,32,559
UCL115124,24,498,731,236,113,1595,81,1674
UCL115125,74,692,509,123,64,1467,96,1567
UCL115126,14,162,154,63,32,428,10,441
UCL115127,9,217,230,62,24,540,37,580
UCL115128,11,270,392,93,40,812,53,866
UCL115129,12,143,273,84,61,576,14,587
UCL115130,105,774,561,146,68,1654,129,1778
UCL115131,57,583,664,204,135,1649,72,1720
UCL115132,21,299,306,70,29,729,34,757
UCL115133,52,681,538,114,37,1415,36,1454
UCL115134,134,694,566,201,110,1703,85,1786
UCL115135,114,591,402,120,52,1285,100,1385
UCL115136,7,149,303,128,115,696,15,718
UCL115137,65,476,570,229,171,1510,65,1573
UCL115138,5,227,355,89,40,716,26,744
UCL115139,33,355,388,134,66,966,145,1110
UCL115140,18,217,203,53,27,526,33,560
UCL115141,27,235,233,76,37,608,44,655
UCL115142,28,502,445,100,44,1114,73,1185
UCL115143,64,394,361,108,60,984,47,1027
UCL115144,69,592,431,105,62,1265,107,1376
UCL115145,17,308,247,45,23,646,48,693
UCL115146,40,473,469,150,78,1207,39,1248
UCL115147,11,130,244,39,13,434,13,445
UCL115148,39,243,226,57,34,593,44,643
UCL115149,27,131,101,32,20,303,244,551
UCL115150,23,122,140,53,63,394,13,409
UCL115151,26,250,305,132,73,780,32,808
UCL115152,27,216,144,52,15,461,34,501
UCL115153,52,246,183,53,24,551,60,615
UCL115154,42,215,212,80,28,571,82,657
UCL115155,169,772,519,149,79,1686,262,1950
UCL115156,34,206,176,49,24,492,124,623
UCL115157,50,254,164,59,29,554,55,616
UCL115158,63,465,419,127,62,1136,119,1258
UCL115159,0,107,243,133,102,594,23,619
UCL115160,9,119,445,169,120,860,26,883
UCL115161,120,740,651,195,101,1799,131,1930
UCL115162,16,367,507,148,80,1116,24,1145
UCL115163,23,147,207,111,120,607,25,632
UCL115164,15,207,202,65,51,539,31,568
UCL115165,10,129,148,72,38,404,24,424
UCL121001,9,145,112,52,28,348,25,376
UCL121002,8,103,69,24,11,219,51,267
UCL121003,3,106,138,36,27,309,17,326
UCL121004,5,73,139,59,29,307,9,318
UCL121005,0,28,48,32,58,167,4,176
UCL121006,9,112,88,42,20,271,31,303
UCL121007,28,171,134,53,22,403,28,433
UCL121008,26,69,31,11,3,139,71,210
UCL121009,12,145,127,39,25,353,68,422
UCL121010,5,141,119,30,7,304,26,334
UCL121011,39,156,117,26,10,346,45,396
UCL121012,4,29,112,52,75,273,4,279
UCL121013,50,117,60,15,10,249,70,319
UCL121014,8,94,69,32,15,211,34,249
UCL121015,18,110,107,41,23,293,11,301
UCL121016,3,41,92,30,17,190,22,209
UCL121017,0,58,146,40,25,270,5,269
UCL121018,8,88,134,62,30,319,13,335
UCL121019,0,23,99,53,38,220,3,226
UCL121020,0,64,85,39,20,209,10,218
UCL121021,11,106,87,29,10,245,30,277
UCL121022,12,116,104,29,22,289,35,323
UCL121023,12,142,98,28,5,286,20,313
UCL121024,4,66,87,28,15,196,8,206
UCL121025,9,57,87,29,21,203,0,204
UCL121026,19,239,166,52,24,496,38,532
UCL121027,4,64,85,47,16,207,13,225
UCL121028,7,157,144,56,18,377,18,397
UCL121029,0,66,93,41,17,219,9,237
UCL121030,15,139,127,46,27,351,47,398
UCL121031,0,127,164,65,24,388,21,409
UCL121032,31,131,101,35,21,308,35,348
UCL121033,5,55,86,18,6,168,23,190
UCL121034,6,94,146,58,45,349,26,375
UCL121035,3,87,151,62,59,363,16,380
UCL121036,5,83,212,75,60,441,15,458
UCL121037,6,109,148,36,28,326,15,349
UCL121038,0,79,98,29,20,222,37,260
UCL121039,3,53,97,41,32,221,36,263
UCL121040,0,16,71,42,34,166,3,166
UCL121041,8,98,85,44,4,241,13,261
UCL121042,6,99,105,22,14,248,18,262
UCL121043,5,53,96,38,30,223,0,225
UCL121044,3,52,72,31,17,174,30,202
UCL121045,3,69,99,30,9,214,12,229
UCL121046,3,34,73,38,21,163,3,169
UCL121047,4,68,102,36,19,227,13,241
UCL121048,0,37,82,37,25,180,13,188
UCL121049,4,65,67,30,26,195,37,230
UCL121050,21,251,77,11,6,369,34,400
UCL121051,28,154,135,61,17,391,28,422
UCL121052,28,183,134,23,24,392,28,417
UCL121053,24,131,107,27,10,309,34,341
UCL121054,0,14,75,55,80,220,7,223
UCL121055,3,76,127,37,17,262,16,274
UCL121056,3,115,139,43,33,330,10,343
UCL121057,0,24,83,53,58,215,4,221
UCL121058,4,92,248,146,119,608,11,622
UCL121059,8,68,110,32,25,245,12,259
UCL121060,0,31,151,75,68,319,9,331
UCL121061,0,38,77,33,29,173,10,178
UCL121062,0,57,168,62,37,332,5,335
UCL121063,8,169,120,24,10,327,13,340
UCL121064,4,116,116,34,19,290,20,312
UCL121065,11,126,172,50,26,373,21,399
UCL121066,7,34,78,36,23,176,8,189
UCL121067,32,142,133,32,23,359,25,384
UCL121068,14,313,386,120,52,881,45,923
UCL121069,0,11,102,56,58,225,0,225
UCL121070,5,70,87,21,23,206,9,214
UCL121071,9,50,88,29,23,203,18,218
UCL121072,4,95,107,47,28,277,43,320
UCL121073,18,127,102,36,13,304,27,333
UCL121074,15,115,91,20,12,262,6,266
UCL121075,21,129,59,18,21,243,14,250
UCL121076,8,78,148,60,34,333,24,357
UCL121077,9,91,107,40,19,270,21,291
UCL121078,5,52,100,47,28,233,3,229
UCL121079,8,38,90,24,26,192,0,191
UCL121080,12,131,187,55,23,402,13,414
UCL121081,0,22,79,41,33,173,5,182
UCL121082,3,163,170,59,35,437,59,492
UCL121083,27,203,143,27,26,433,10,445
UCL121084,0,32,97,56,58,250,7,255
UCL121085,0,120,204,41,22,393,12,398
UCL121086,29,157,112,45,22,368,25,399
UCL121087,6,81,101,38,22,246,9,249
UCL121088,3,68,99,35,21,220,15,239
UCL121089,3,80,189,39,25,338,11,351
UCL121090,4,34,82,52,86,259,6,266
UCL121091,0,51,102,50,33,244,14,256
UCL121092,8,85,166,69,58,385,36,417
UCL121093,5,115,145,77,46,392,14,401
UCL121094,39,134,95,31,20,305,51,354
UCL121095,4,31,120,42,31,230,12,241
UCL121096,4,140,131,39,22,332,9,347
UCL121097,0,75,128,42,23,272,10,281
UCL121098,6,60,153,56,52,322,0,326
UCL121099,15,121,96,34,19,278,13,295
UCL121100,9,112,184,56,31,394,10,406
UCL121101,3,85,124,87,71,367,26,395
UCL121102,12,203,188,52,19,467,26,487
UCL121103,18,128,150,47,24,371,26,394
UCL121104,12,90,107,41,22,276,22,294
UCL121105,18,168,101,30,4,318,19,337
UCL121106,0,146,208,45,18,422,22,442
UCL121107,14,107,143,47,32,350,26,371
UCL121108,6,104,135,44,19,305,20,332
UCL121109,0,42,66,31,30,167,9,179
UCL121110,14,177,154,39,18,402,20,419
UCL121111,33,130,96,35,16,305,41,347
UCL121112,13,71,117,53,22,275,20,294
UCL121113,7,75,65,31,22,200,17,221
UCL121114,0,102,153,36,18,310,29,336
UCL121115,8,156,127,21,6,317,24,338
UCL121116,4,40,109,75,70,299,3,301
UCL121117,8,82,105,37,14,247,19,268
UCL121118,7,48,61,27,25,167,7,169
UCL121119,4,75,128,59,43,306,10,315
UCL121120,45,75,17,4,3,150,58,208
UCL121121,0,50,67,39,26,184,18,199
UCL121122,7,42,105,39,22,209,15,222
UCL121123,5,75,96,41,16,230,36,270
UCL121124,5,145,93,30,7,284,14,302
UCL121125,9,136,156,50,27,381,32,407
UCL121126,0,55,90,41,20,203,9,214
UCL121127,4,50,69,48,45,214,15,225
UCL121128,3,75,136,61,56,327,11,341
UCL122001,0,12,34,11,17,81,0,79
UCL122002,15,40,42,12,5,116,19,138
UCL122003,7,39,47,25,30,143,4,144
UCL122004,0,31,50,3,3,88,0,88
UCL122005,12,69,53,20,7,165,6,174
UCL122006,8,44,39,12,11,118,10,126
UCL122007,14,86,63,32,10,203,19,225
UCL122008,3,32,34,18,13,96,13,108
UCL122009,0,45,49,16,12,122,13,131
UCL122010,3,28,37,21,22,121,7,123
UCL122011,0,19,50,27,20,118,7,126
UCL122012,11,55,42,11,10,120,7,133
UCL122013,6,47,20,8,0,90,6,95
UCL122014,4,45,49,19,15,132,9,138
UCL122015,0,34,54,17,0,106,14,121
UCL122016,0,27,34,17,7,89,14,99
UCL122017,0,52,43,12,11,123,12,136
UCL122018,16,83,53,14,11,177,26,201
UCL122019,4,45,36,14,8,114,20,133
UCL122020,13,88,38,11,0,150,8,156
UCL122021,0,15,34,11,13,71,0,75
UCL122022,3,52,63,32,19,170,3,172
UCL122023,0,26,58,29,25,138,0,144
UCL122024,0,22,41,22,14,101,11,108
UCL122025,3,24,32,18,14,95,4,98
UCL122026,0,23,38,17,10,83,7,88
UCL122027,10,69,39,7,12,130,14,138
UCL122028,0,50,55,30,17,142,16,155
UCL122029,0,37,44,17,4,106,6,116
UCL122030,0,54,67,15,9,151,24,173
UCL122031,0,19,63,31,14,125,3,131
UCL122032,0,81,69,18,9,184,8,197
UCL122033,4,22,30,18,4,83,3,85
UCL122034,0,7,36,16,14,73,0,73
UCL122035,11,74,62,17,11,173,15,193
UCL122036,31,62,27,10,4,132,43,176
UCL122037,0,22,40,9,15,92,5,91
UCL122038,0,48,41,18,6,121,9,128
UCL122039,5,50,63,23,14,150,10,164
UCL122040,0,30,44,7,6,90,11,98
UCL122041,3,34,59,30,12,138,8,145
UCL122042,0,14,36,9,23,92,3,91
UCL122043,6,41,48,25,14,134,3,139
UCL122044,0,13,19,7,5,45,0,46
UCL122045,3,39,41,19,5,111,9,120
UCL122046,8,90,108,20,9,237,15,248
UCL122047,37,74,27,0,0,142,5,147
UCL122048,26,55,43,11,13,147,57,204
UCL122049,11,67,42,17,5,140,13,157
UCL122050,3,50,34,13,0,96,7,107
UCL122051,6,55,35,12,0,104,16,125
UCL122052,0,48,50,16,4,118,15,132
UCL122053,11,66,46,17,0,140,16,153
UCL122054,0,46,63,17,8,137,52,192
UCL122055,3,71,87,16,7,187,4,192
UCL122056,0,21,55,17,19,113,0,115
UCL122057,0,22,38,23,15,96,0,95
UCL122058,3,83,79,32,11,211,11,225
UCL122059,0,64,79,19,15,178,10,187
UCL122060,4,38,61,25,12,136,20,164
UCL122061,14,17,7,3,0,41,33,74
UCL122062,8,35,40,22,9,108,20,132
UCL122063,5,36,48,21,8,125,10,132
UCL122064,19,59,31,8,4,126,31,159
UCL122065,3,104,63,20,5,197,12,208
UCL122066,0,27,69,17,20,133,0,136
UCL122067,0,81,75,18,7,185,10,196
UCL122068,10,32,16,5,5,71,11,87
UCL122069,7,57,59,22,3,146,9,160
UCL122070,4,44,68,24,21,159,5,161
UCL122071,4,52,56,13,7,144,3,145
UCL122072,10,62,38,3,5,127,8,136
UCL122073,6,78,36,19,3,144,9,157
UCL122074,4,51,48,16,10,129,14,141
UCL122075,0,28,40,10,16,91,5,93
UCL122076,0,22,30,20,10,76,3,84
UCL122077,3,55,51,18,4,130,10,143
UCL122078,11,64,37,13,5,132,8,139
UCL122079,0,32,61,12,4,108,3,112
UCL122080,0,29,54,36,22,140,7,148
UCL122081,5,24,39,19,10,97,11,112
UCL122082,5,39,26,12,6,82,67,146
UCL122083,0,9,48,15,23,98,0,103
UCL122084,6,18,25,12,6,64,10,70
UCL122085,6,52,38,13,9,110,19,128
UCL122086,29,72,44,11,5,159,30,190
UCL122087,0,34,36,8,5,84,0,90
UCL122088,5,27,25,14,11,77,9,91
UCL122089,6,49,60,32,23,165,17,176
UCL122090,4,46,85,33,9,175,18,190
UCL122091,14,60,32,17,7,129,22,149
UCL122092,0,24,48,24,25,119,8,130
UCL122093,16,89,38,10,4,157,22,182
UCL122094,8,66,57,12,12,152,15,167
UCL122095,0,25,40,12,7,87,7,95
UCL122096,0,37,45,14,9,108,10,121
UCL122097,8,45,27,8,16,94,10,102
UCL122098,17,103,46,10,3,182,78,258
UCL122099,5,43,31,19,3,105,14,114
UCL122100,8,68,80,31,12,202,22,224
UCL122101,0,43,58,23,12,134,10,146
UCL122102,7,56,41,14,8,125,22,148
UCL122103,3,42,23,17,7,88,5,94
UCL122104,0,4,45,29,42,127,3,129
UCL122105,3,32,54,15,11,111,0,112
UCL122106,3,32,38,8,5,96,42,137
UCL122107,0,44,60,21,10,136,11,142
UCL122108,7,53,42,9,4,110,16,123
UCL122109,0,0,0,0,0,6,3,4
UCL122110,0,35,64,24,12,139,0,141
UCL122111,0,12,44,31,26,110,5,112
UCL122112,0,45,56,16,18,128,9,139
UCL122113,0,9,46,13,6,74,6,80
UCL122114,9,86,53,13,5,157,12,168
UCL122115,0,24,52,22,11,109,8,114
UCL122116,0,40,60,12,12,121,9,133
UCL122117,5,22,58,27,27,140,0,145
UCL122118,0,31,37,24,8,103,7,113
UCL122119,0,72,69,12,14,172,12,186
UCL122120,0,47,76,21,13,160,7,167
UCL122121,0,26,52,14,11,98,13,115
UCL122122,3,37,88,21,13,157,6,161
UCL122123,4,32,32,10,9,90,7,96
UCL122124,3,14,46,13,13,86,0,92
UCL122125,3,56,29,7,4,102,12,115
UCL122126,0,12,70,29,26,133,0,135
UCL122127,3,47,39,20,8,124,8,129
UCL122128,4,31,30,13,8,81,9,91
UCL122129,3,28,47,27,9,113,5,118
UCL122130,4,24,27,11,6,72,8,77
UCL122131,17,147,47,12,10,231,37,271
UCL122132,15,66,53,20,11,165,16,182
UCL122133,15,72,36,8,8,128,42,171
UCL122134,0,32,60,31,12,138,12,143
UCL122135,6,25,31,16,3,78,20,97
UCL122136,24,10,3,5,0,42,0,40
UCL122137,7,56,33,16,7,118,24,141
UCL122138,11,70,49,11,7,153,18,169
UCL122139,0,33,44,16,10,111,4,113
UCL122140,10,32,20,9,8,72,12,88
UCL122141,4,29,60,23,11,137,10,147
UCL122142,0,37,21,15,4,85,7,95
UCL122143,6,27,29,10,3,71,15,88
UCL122144,15,69,64,21,4,174,8,184
UCL122145,12,39,42,11,8,110,15,122
UCL122146,6,41,31,8,12,106,10,113
UCL122147,5,54,17,8,3,94,11,103
UCL122148,0,32,41,16,5,92,20,109
UCL122149,10,46,37,27,10,132,15,146
UCL122150,0,49,79,31,11,175,6,183
UCL122151,4,58,49,11,4,126,18,148
UCL122152,4,61,57,13,10,143,14,156
UCL122153,0,45,60,29,17,156,11,163
UCL122154,3,40,84,30,13,162,6,171
UCL122155,8,56,77,32,21,189,30,218
UCL122156,3,58,61,30,13,171,4,171
UCL122157,0,13,37,30,42,117,7,125
UCL122158,4,46,28,10,6,88,0,88
UCL131001,2959,41455,75429,39942,34572,194364,18011,212373
UCL179997,0,0,0,0,0,0,0,0
UCL201001,149950,631095,607348,177265,93066,1658722,81118,1739836
UCL203001,2694,16467,15540,4657,2302,41664,2051,43713
UCL203002,2232,14504,14819,4891,2621,39070,2011,41074
UCL203003,4704,26470,26947,7432,3834,69386,3511,72894
UCL211001,765,5237,5791,1775,872,14438,918,15357
UCL211002,1107,8443,9895,3196,1658,24302,1934,26227
UCL212001,328,2601,3126,1160,692,7905,348,8244
UCL212002,372,2084,2035,657,331,5480,341,5815
UCL212003,1033,5407,5049,1566,717,13766,1174,14935
UCL212004,189,2636,3881,1079,455,8235,398,8632
UCL212005,1089,6675,6758,2341,1190,18059,1476,19525
UCL212006,546,4208,5725,2066,1231,13781,561,14339
UCL212007,137,2324,3952,1069,549,8022,290,8314
UCL212008,649,4086,4194,1309,652,10895,598,11493
UCL212009,774,5107,5038,1469,718,13107,714,13827
UCL213001,387,2244,1980,625,321,5553,370,5924
UCL213002,297,1958,1468,431,249,4399,234,4638
UCL213003,393,1880,1751,588,310,4926,280,5202
UCL213004,183,1917,2252,743,410,5510,270,5781
UCL213005,157,2294,2690,834,447,6428,171,6595
UCL213006,78,931,1712,584,398,3698,78,3778
UCL213007,482,2528,2493,845,364,6724,378,7100
UCL213008,149,1723,2504,844,445,5665,166,5835
UCL213009,115,1471,2013,659,353,4610,129,4738
UCL213010,752,2749,2026,741,365,6630,593,7224
UCL213011,602,2497,1776,492,243,5607,643,6255
UCL213012,271,1655,1622,535,240,4311,263,4576
UCL213013,428,2343,2122,563,273,5733,293,6031
UCL213014,332,1536,1634,505,221,4236,308,4548
UCL213015,82,1209,2118,822,498,4739,220,4965
UCL213016,558,3145,2951,815,429,7904,596,8498
UCL213017,360,2547,2901,918,518,7241,322,7568
UCL213018,173,1350,1342,381,202,3460,187,3646
UCL214001,239,1198,992,313,189,2936,184,3124
UCL214002,20,393,901,345,290,1948,58,2008
UCL214003,304,1698,1454,463,216,4139,339,4474
UCL214004,178,919,739,257,119,2218,153,2373
UCL214005,17,118,157,64,36,396,30,422
UCL214006,163,1333,1045,250,107,2903,194,3097
UCL214007,35,613,847,225,129,1847,88,1933
UCL214008,286,1597,1441,481,262,4073,186,4252
UCL214009,119,1161,1272,492,305,3349,165,3514
UCL214010,71,1047,1127,236,87,2573,104,2678
UCL214011,105,1143,1187,479,297,3211,202,3414
UCL214012,173,950,895,309,158,2489,133,2620
UCL214013,141,823,770,206,107,2050,94,2134
UCL214014,170,1174,949,291,111,2696,306,3002
UCL214015,134,913,847,290,123,2311,113,2421
UCL214016,275,1575,1100,333,167,3446,233,3681
