UCL_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
UCL114006,23,27,48,3,14,20,9,37,48,12,77,87,30,199,230,32,155,193,136,59,191,111,85,192,121,79,202,140,49,192,105,33,142,102,24,124,190,31,217,120,5,121,75,0,77,36,0,36,71,14,84,86,4,92,39,54,94,1450,945,2397
UCL114007,27,32,54,8,19,34,6,59,73,20,121,139,58,315,375,59,169,229,222,116,344,189,115,303,183,128,311,228,53,285,146,50,192,122,25,146,250,40,293,151,5,160,80,6,85,47,0,47,101,16,112,141,11,151,46,87,135,2088,1380,3469
UCL114008,14,26,39,6,16,20,9,34,43,4,99,104,38,204,242,35,137,173,157,83,240,102,118,222,156,88,246,139,81,217,99,53,150,93,35,122,210,41,249,130,8,140,91,10,103,47,0,53,111,14,120,125,5,134,34,73,104,1607,1121,2720
UCL114009,7,12,19,4,0,4,0,11,11,3,22,26,9,40,52,9,41,44,48,28,73,52,40,91,77,46,121,61,46,112,67,53,120,100,44,140,280,65,346,252,22,280,201,19,216,117,4,124,182,22,206,102,31,133,5,20,29,1579,574,2151
UCL114010,17,35,51,6,20,28,10,33,43,13,75,88,43,224,275,46,103,148,171,89,265,126,97,220,152,85,236,137,79,221,92,40,131,102,39,145,208,53,257,135,7,136,111,8,121,55,7,51,128,22,152,142,11,150,34,73,113,1721,1104,2825
UCL114011,15,33,48,6,23,27,18,40,55,13,86,99,55,244,298,39,122,167,197,58,260,121,77,196,98,66,163,126,41,169,92,21,120,86,26,106,131,34,162,69,3,76,35,3,43,18,0,21,30,9,36,93,3,96,25,57,82,1263,963,2227
UCL114012,3,0,3,0,0,0,0,4,6,0,0,0,5,6,10,4,6,16,20,0,19,7,8,13,19,8,23,26,17,39,36,29,66,52,26,77,176,44,224,224,3,230,248,15,260,216,0,223,612,17,625,69,0,69,9,9,19,1740,190,1932
UCL114013,14,25,44,12,9,21,9,40,50,8,67,77,39,222,261,44,129,172,161,89,248,137,85,216,142,91,228,158,72,234,116,64,182,138,55,193,235,113,348,198,11,211,150,24,172,91,4,98,198,40,238,123,10,135,46,74,124,2018,1228,3248
UCL114014,7,17,24,4,9,11,4,10,13,7,20,23,15,52,68,12,38,51,54,31,82,59,30,87,63,21,84,82,20,103,71,17,88,104,21,128,213,25,242,240,0,242,196,9,209,163,0,163,367,12,382,94,0,98,21,9,27,1785,339,2128
UCL114015,37,44,83,13,17,30,13,50,66,17,127,147,78,319,397,71,184,258,237,119,358,207,151,358,187,122,310,263,71,334,158,54,214,171,41,214,306,47,350,159,13,174,108,8,114,80,6,80,81,24,103,134,16,145,40,94,136,2359,1519,3874
UCL114016,24,28,55,9,6,18,7,42,48,20,61,81,41,181,224,54,93,140,129,70,200,114,109,223,117,77,193,173,68,242,101,50,154,123,44,168,250,41,288,168,10,181,133,10,141,74,0,71,129,17,147,108,4,114,27,42,66,1799,974,2775
UCL114017,15,23,40,6,3,11,4,22,20,13,20,29,23,51,76,34,56,91,72,42,114,76,59,141,102,67,168,143,50,193,102,43,145,116,31,145,275,73,354,230,24,255,187,16,205,117,8,123,381,49,428,123,18,147,19,13,31,2041,678,2719
UCL114018,23,37,60,21,17,39,18,42,55,10,75,84,33,258,293,56,193,244,196,132,329,169,119,287,208,151,357,225,71,296,139,72,212,147,48,195,282,86,361,199,20,218,140,23,162,74,3,76,165,46,208,146,7,150,27,81,106,2273,1480,3749
UCL114019,16,30,43,3,17,17,5,40,45,9,44,59,40,132,170,42,81,122,96,75,170,80,107,187,112,86,197,124,73,194,79,67,146,95,54,146,205,89,292,159,11,174,111,31,142,45,4,55,129,45,171,125,16,142,57,87,151,1544,1087,2634
UCL114020,20,34,54,9,19,34,11,29,39,8,73,83,43,217,263,34,135,171,145,104,251,154,102,250,151,93,245,183,58,236,116,63,183,166,25,190,309,52,358,230,12,240,190,17,208,97,7,101,300,29,327,155,11,161,28,53,78,2355,1117,3478
UCL114021,33,30,64,14,16,30,12,51,61,17,103,122,64,302,367,68,239,300,218,100,313,188,117,305,229,101,324,284,57,341,175,44,217,156,39,192,349,42,393,181,6,185,124,11,134,79,0,79,100,9,108,175,13,192,43,73,109,2494,1343,3844
UCL114022,25,46,67,5,18,24,5,56,63,10,121,130,47,353,396,53,253,304,255,95,344,149,113,266,161,105,261,173,51,223,103,42,148,103,22,125,165,22,189,86,6,91,58,11,64,35,0,35,47,16,65,98,10,108,42,160,202,1609,1500,3111
UCL114023,18,24,40,4,10,15,9,32,32,12,55,64,37,121,154,29,89,120,98,55,161,83,89,167,97,82,179,78,44,122,72,46,114,81,32,114,171,68,240,129,9,148,120,17,134,65,4,73,125,32,158,90,6,97,41,76,113,1365,888,2254
UCL114024,23,30,52,5,15,21,13,51,62,18,102,120,67,293,362,62,145,204,184,94,277,156,141,291,181,113,293,208,91,302,141,74,213,165,58,223,301,100,402,263,4,263,171,16,193,107,5,106,205,24,231,154,15,168,33,79,112,2457,1447,3904
UCL114025,28,19,45,8,8,18,4,14,22,9,47,55,28,109,136,50,77,130,136,53,187,111,48,157,157,59,215,162,46,207,137,28,164,109,23,136,267,42,304,198,8,200,148,8,158,89,3,96,166,14,184,131,7,139,17,22,34,1961,627,2583
UCL114026,13,24,32,9,4,10,8,11,19,6,22,34,35,125,153,33,54,84,98,54,155,65,52,113,94,46,139,104,41,147,94,38,132,90,30,118,195,33,222,152,8,158,131,4,139,93,0,94,193,8,202,84,8,96,11,17,34,1504,578,2076
UCL114027,15,30,45,8,8,23,7,24,32,12,53,64,26,166,191,36,157,194,152,81,233,142,73,212,159,59,222,156,42,198,87,34,122,87,30,120,182,44,219,110,6,116,93,5,99,58,0,58,137,23,160,103,6,112,21,49,69,1590,891,2478
UCL114028,16,29,42,9,9,15,5,27,34,5,46,53,27,130,155,32,87,113,98,40,135,68,46,116,89,75,168,118,54,171,66,33,99,78,30,107,167,62,225,128,6,133,114,8,123,67,0,73,139,10,158,92,12,101,14,40,59,1341,730,2073
UCL114029,10,12,23,7,4,7,7,10,16,3,7,15,13,45,53,15,22,39,45,9,58,44,33,71,61,30,86,73,24,98,73,25,94,81,17,97,183,17,208,178,0,178,169,3,171,99,3,101,270,7,274,83,0,86,15,7,21,1430,261,1696
UCL114030,25,22,42,16,18,31,3,34,37,17,57,71,54,181,237,45,131,176,224,83,302,182,79,260,169,82,248,164,69,234,85,37,118,76,24,99,152,41,190,101,18,118,73,17,84,34,10,42,78,20,95,73,7,80,19,70,91,1574,1004,2577
UCL114031,23,39,59,14,8,20,8,20,24,16,41,55,41,140,187,41,80,120,175,43,218,114,65,176,114,52,169,171,39,214,119,20,144,125,15,143,259,30,286,172,6,172,118,0,123,75,0,77,138,9,146,111,3,119,15,25,39,1851,639,2492
UCL114032,14,14,31,0,8,9,4,10,17,3,39,42,24,86,109,21,45,70,95,22,117,80,38,125,78,53,127,100,40,136,66,26,92,117,23,137,198,32,226,146,3,146,110,5,118,58,0,60,113,11,123,72,5,73,17,14,35,1316,469,1783
UCL114033,13,31,40,5,10,16,13,27,42,11,66,71,53,195,251,46,97,146,144,68,211,125,77,200,130,75,210,161,54,215,113,46,153,106,29,130,196,43,247,154,5,165,95,7,107,55,4,60,116,17,132,135,6,142,31,63,92,1699,914,2614
UCL114034,28,31,54,15,12,23,14,31,40,11,79,92,45,247,287,62,110,178,228,75,299,182,77,264,197,90,285,237,63,297,155,32,189,137,28,168,266,20,285,183,3,189,101,6,105,46,3,53,61,5,65,104,14,119,40,42,78,2112,954,3065
UCL114035,21,19,44,3,11,17,7,17,27,4,53,58,22,170,191,32,170,200,136,75,209,122,82,203,125,86,210,139,38,174,97,38,133,84,29,113,154,36,189,114,8,132,82,9,91,40,3,46,117,19,137,87,13,106,21,41,59,1421,924,2341
UCL114036,15,34,46,15,19,30,9,52,54,12,51,65,48,193,246,28,180,208,206,110,317,179,109,291,191,105,295,184,63,246,112,42,159,126,54,178,180,57,237,114,20,128,79,19,104,42,12,53,112,34,145,122,11,139,27,88,115,1805,1259,3057
UCL114037,13,22,32,4,7,13,3,21,26,4,47,50,21,122,141,19,70,97,72,56,128,85,72,155,95,58,150,128,43,172,106,42,149,97,39,135,183,54,236,168,8,177,143,13,150,92,0,92,173,25,196,97,0,102,16,42,57,1525,727,2248
UCL114038,29,37,64,6,12,24,19,49,66,17,104,113,52,289,341,55,146,206,196,104,299,159,122,283,166,107,275,192,57,246,119,41,164,132,25,161,235,45,278,133,10,140,86,9,100,49,0,49,87,23,106,129,9,140,42,69,109,1915,1244,3159
UCL115001,9,8,16,0,4,4,3,14,18,4,16,24,6,36,43,17,32,48,50,17,62,30,26,56,27,22,50,35,18,52,23,8,33,31,8,40,70,22,89,42,3,44,45,7,46,20,0,20,40,7,51,50,0,50,12,9,15,510,255,771
UCL115002,11,18,27,3,0,5,5,10,13,13,23,37,28,54,79,25,59,83,67,31,100,58,25,82,72,37,114,100,36,142,78,26,108,67,15,81,164,17,184,128,0,128,97,0,102,55,0,55,112,14,127,82,7,90,11,11,21,1171,402,1573
UCL115003,3,10,15,0,0,0,0,0,0,0,8,8,0,18,16,11,6,18,16,9,21,21,14,26,32,11,43,40,11,48,47,4,53,25,11,31,111,17,128,103,0,103,91,3,95,61,0,61,137,6,142,41,0,40,12,5,12,751,124,872
UCL115004,4,3,8,0,5,5,4,11,13,0,16,15,13,48,63,19,69,82,54,28,78,40,19,58,38,32,72,41,14,59,28,6,39,29,5,34,60,12,78,46,8,50,24,5,27,14,6,19,40,3,43,26,8,38,10,30,40,495,325,818
UCL115005,0,7,9,0,0,4,3,9,14,5,15,20,8,39,43,10,17,30,21,9,30,15,17,30,19,16,33,18,14,29,21,5,25,29,3,32,31,10,40,16,0,16,12,0,12,11,4,18,10,0,16,22,0,27,8,16,20,247,173,423
UCL115006,0,10,10,0,0,3,5,5,4,4,9,10,8,19,26,8,16,29,15,8,24,25,18,40,30,17,44,37,12,47,31,8,42,35,10,44,77,15,89,51,6,58,49,9,59,40,4,41,114,11,127,42,8,52,8,3,6,573,185,762
UCL115007,9,7,16,0,4,7,0,7,7,0,27,29,4,62,70,6,43,46,61,19,85,46,23,68,55,26,77,69,17,88,55,17,62,51,9,58,111,15,127,87,0,91,99,0,99,45,0,45,108,5,109,69,5,71,15,18,34,886,306,1193
UCL115008,6,10,18,6,3,8,0,17,17,0,29,26,7,49,60,12,39,52,35,20,57,21,22,47,27,13,41,29,9,41,12,6,22,12,3,11,28,8,35,19,7,25,7,0,12,5,0,5,14,5,19,23,0,26,9,21,27,285,260,545
UCL115009,6,7,10,0,3,7,0,12,15,3,12,17,8,43,47,10,29,37,47,20,59,31,24,52,43,17,62,54,10,62,31,17,47,28,4,38,60,11,71,45,0,45,35,0,35,12,0,15,37,0,37,34,0,36,18,20,33,495,223,719
UCL115010,6,8,19,3,0,3,0,9,12,5,31,36,8,86,91,10,22,32,56,21,74,29,32,58,24,10,35,27,16,44,6,6,17,11,6,19,15,3,22,7,0,12,12,0,10,3,0,3,3,0,0,14,0,11,11,19,24,247,265,513
