LGA_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
LGA10800,18,102,18,0,140,17,118,13,0,148,39,269,51,0,363,81,212,46,0,341,83,240,44,0,365,94,323,56,0,472,91,235,35,0,365,62,109,23,0,189,6,54,11,0,67,492,1660,297,6,2450,46,90,11,0,149,16,101,12,0,132,55,214,15,0,289,121,167,41,0,335,97,221,25,0,339,93,250,28,0,368,91,198,36,0,321,65,115,25,0,206,14,76,22,0,111,594,1437,216,0,2243,63,195,30,0,293,29,223,26,0,278,94,488,65,3,654,200,384,88,0,674,179,460,68,0,711,187,568,82,0,835,185,441,70,0,685,129,225,51,0,395,19,127,31,0,178,1082,3103,513,7,4699
LGA10850,28,192,25,0,239,10,142,11,0,165,52,313,22,0,382,60,280,25,0,363,101,325,39,0,474,84,416,40,0,534,91,330,41,0,456,44,173,25,0,245,0,56,0,0,62,470,2222,222,0,2921,34,170,15,0,223,17,115,15,0,139,58,347,17,0,420,95,293,23,0,410,109,371,29,0,508,114,397,39,0,545,109,266,26,0,404,53,152,24,0,232,10,74,8,0,92,601,2183,197,0,2983,61,364,36,0,466,29,256,27,0,304,103,654,39,0,797,151,575,48,0,771,207,701,67,3,979,199,814,72,0,1084,199,597,67,0,858,101,328,48,0,482,13,131,12,0,160,1069,4408,419,0,5899
LGA10900,368,2008,85,0,2463,274,1497,54,0,1828,450,2902,137,8,3497,742,3645,167,6,4556,990,4101,161,10,5264,1000,4072,154,4,5228,1218,3616,151,6,4992,520,1714,99,0,2338,60,552,37,0,653,5627,24106,1048,32,30815,360,1752,87,0,2199,268,1276,46,0,1593,557,2945,127,8,3628,1083,3761,153,7,5004,1251,4280,172,3,5708,1250,4533,148,4,5942,1430,3909,147,10,5493,595,2148,143,6,2894,92,864,143,0,1099,6876,25471,1168,40,33552,724,3760,173,0,4660,540,2774,95,4,3417,1007,5849,259,14,7126,1823,7406,316,14,9560,2233,8384,339,18,10970,2249,8607,306,4,11169,2651,7516,300,13,10485,1114,3865,243,9,5232,150,1418,179,0,1747,12506,49575,2217,78,64367
LGA10950,13,64,9,0,78,0,72,6,0,80,21,138,10,0,171,17,96,12,0,123,44,127,19,0,185,44,129,23,0,187,27,90,12,0,129,19,59,13,0,89,5,25,0,0,29,172,798,115,0,1091,8,53,6,0,61,11,49,7,0,64,30,136,9,0,179,28,69,11,0,107,47,114,17,0,184,38,96,17,0,149,29,74,9,0,118,33,63,17,0,112,4,29,13,0,40,220,683,96,0,1001,21,113,8,0,140,12,126,15,0,148,50,277,21,0,350,40,166,19,0,231,91,240,39,0,369,74,219,39,0,339,53,164,30,0,246,50,118,30,0,197,3,50,15,0,72,396,1475,210,5,2090
LGA11150,8,33,16,0,63,6,58,13,0,82,13,103,26,6,149,15,91,21,0,134,31,103,31,0,164,33,137,29,0,198,31,89,28,0,145,10,41,13,0,60,0,12,0,0,10,153,666,180,4,999,14,34,16,0,65,6,63,7,0,79,18,136,34,0,187,32,81,35,0,148,30,87,25,0,144,35,113,29,0,174,27,75,17,0,121,8,41,12,0,58,0,20,4,0,24,158,647,182,0,997,20,66,33,0,123,13,124,25,0,155,38,239,58,7,336,51,175,59,0,279,58,189,57,0,310,70,249,60,0,378,62,164,41,0,262,12,81,23,0,119,4,28,4,0,38,317,1309,359,11,1996
LGA11200,9,33,6,0,47,0,32,11,0,44,6,64,17,0,91,6,47,14,0,72,8,52,12,0,77,17,86,14,0,121,5,58,16,0,86,0,24,3,0,32,0,3,0,0,5,66,397,107,0,571,0,26,7,0,35,5,29,15,0,52,15,84,23,0,118,4,48,11,0,70,20,58,18,0,98,13,69,20,0,107,8,55,12,0,74,0,22,3,0,28,0,13,4,0,14,77,405,104,0,592,8,64,10,0,84,5,61,26,0,96,21,143,37,0,207,14,99,22,0,140,33,113,31,0,178,36,152,34,0,226,17,110,29,4,159,8,44,4,0,58,0,10,3,0,16,140,813,206,4,1160
LGA11250,52,400,63,0,515,29,397,60,0,489,107,857,106,3,1062,111,701,107,0,921,131,806,84,0,1020,183,1012,77,0,1276,229,824,77,3,1132,82,403,52,0,539,12,158,39,0,204,936,5560,662,7,7160,42,359,45,0,446,45,348,44,0,440,105,930,100,0,1135,145,744,95,0,983,148,788,76,0,1009,219,1062,79,4,1359,252,821,75,0,1156,104,520,90,0,723,19,280,76,0,377,1096,5854,674,10,7629,93,764,109,0,967,81,749,100,3,930,212,1783,204,6,2199,256,1438,199,0,1898,278,1590,161,0,2029,406,2068,154,4,2633,482,1644,157,3,2282,189,930,149,0,1268,27,437,117,0,583,2030,11408,1338,15,14788
LGA11300,123,703,29,3,862,186,2226,212,6,2631,291,3869,347,30,4533,220,2147,156,13,2540,232,1727,101,9,2070,210,1680,87,15,1991,166,1170,71,19,1421,54,719,80,3,856,19,352,85,0,456,1508,14587,1172,99,17361,141,788,36,0,969,279,1931,166,10,2382,359,3650,280,20,4305,271,2083,139,10,2500,293,1982,116,16,2411,254,1755,96,19,2122,218,1321,78,5,1627,82,880,123,0,1087,19,530,153,0,705,1913,14929,1192,76,18108,265,1490,68,8,1830,469,4155,377,15,5014,642,7516,627,48,8839,493,4232,296,20,5045,525,3710,218,23,4482,467,3432,186,29,4119,382,2495,152,21,3050,139,1599,201,4,1944,37,882,239,0,1165,3421,29517,2359,169,35471
LGA11350,79,687,109,0,873,61,529,80,14,690,264,1741,293,31,2330,383,1765,276,0,2432,490,1666,248,7,2412,474,1795,251,4,2526,532,1555,211,7,2309,181,577,78,4,845,20,175,23,0,209,2484,10478,1575,81,14620,111,642,88,3,844,103,647,122,12,886,402,1982,298,28,2707,586,1856,281,4,2733,675,1873,276,5,2837,684,1815,259,11,2763,689,1358,177,3,2222,226,552,72,4,858,39,295,44,0,375,3514,11019,1603,77,16215,184,1329,197,3,1712,169,1172,201,32,1573,665,3725,591,58,5032,972,3623,560,9,5163,1164,3541,523,16,5247,1162,3608,507,16,5288,1222,2912,390,15,4528,407,1133,154,13,1700,53,469,60,0,583,5997,21500,3177,157,30832
LGA11400,64,339,44,0,443,41,248,24,0,318,66,426,35,0,521,187,503,51,6,745,210,618,70,0,893,203,690,73,0,965,207,610,59,0,883,103,325,45,0,477,17,95,21,0,133,1094,3850,426,0,5371,66,318,38,0,422,43,224,25,0,289,105,460,41,0,612,248,490,55,0,799,213,642,72,0,928,260,697,55,0,1011,221,526,44,0,788,120,311,53,0,482,23,151,30,0,208,1300,3822,415,7,5540,128,652,83,0,865,84,468,50,0,607,170,884,78,4,1132,439,994,113,4,1542,424,1260,143,0,1819,460,1383,133,0,1979,426,1139,106,0,1672,227,634,101,0,959,38,251,48,0,343,2393,7669,843,5,10913
LGA11450,330,3326,131,0,3787,237,3066,115,0,3422,534,8203,355,7,9098,764,8160,346,10,9286,707,6173,219,8,7109,425,4293,143,8,4872,406,2859,123,16,3399,182,1296,113,10,1596,30,351,45,0,428,3606,37726,1596,60,42987,443,3126,142,0,3708,312,3049,143,0,3500,729,9168,373,9,10279,1028,8174,344,8,9550,770,6157,206,18,7152,548,4705,169,29,5447,494,3148,132,17,3780,175,1558,127,5,1860,24,636,131,0,796,4513,39717,1772,86,46083,768,6450,274,5,7494,548,6119,260,7,6922,1261,17369,734,22,19377,1788,16337,689,15,18834,1478,12327,428,24,14255,964,8997,315,44,10317,897,6000,252,35,7180,358,2851,240,8,3455,56,987,178,3,1221,8115,77447,3362,149,89069
LGA11500,366,4823,421,4,5614,415,4974,380,10,5774,755,10440,819,23,12031,1042,11221,869,18,13149,827,8557,610,12,10005,803,8045,451,18,9319,667,5996,326,43,7037,261,2570,294,6,3142,22,532,123,9,679,5165,57153,4296,141,66755,422,4524,388,0,5334,563,4566,359,12,5498,991,11662,924,15,13594,1206,11377,841,6,13433,949,8718,575,16,10249,921,8684,451,58,10109,767,6528,439,46,7786,268,2848,407,8,3542,41,882,336,8,1269,6119,59791,4729,167,70814,785,9346,809,6,10944,974,9540,739,22,11277,1749,22099,1744,34,25627,2251,22598,1713,22,26588,1775,17275,1185,28,20254,1721,16723,902,82,19427,1434,12535,771,90,14825,534,5418,705,21,6679,63,1413,457,13,1948,11284,116945,9023,308,137568
LGA11520,312,1644,72,4,2030,254,2310,167,8,2736,583,6180,405,14,7185,682,5704,305,21,6705,738,4533,221,8,5499,629,3901,183,19,4738,533,2969,241,5,3758,262,1770,183,9,2220,44,689,128,6,864,4039,29714,1900,84,35731,345,1640,68,4,2063,324,2090,133,6,2555,712,6532,407,19,7666,890,5722,306,12,6937,1062,4986,205,10,6269,747,4552,186,36,5523,650,3512,202,23,4390,275,2143,235,7,2664,55,1057,321,0,1433,5064,32245,2065,118,39487,657,3279,140,9,4089,579,4403,300,7,5295,1294,12714,816,33,14852,1575,11428,611,36,13645,1800,9520,422,20,11766,1375,8459,367,54,10256,1184,6485,442,31,8142,539,3915,421,8,4880,95,1752,452,6,2301,9098,61953,3966,200,75225
LGA11570,856,10083,843,18,11797,990,10927,1138,27,13074,1819,23632,2659,67,28182,1927,21321,2222,56,25528,1764,18923,1561,41,22289,1444,17942,1275,41,20707,1008,12414,887,42,14358,480,6963,718,17,8177,101,2808,477,6,3390,10385,125010,11776,318,147495,1000,9067,748,17,10836,1274,9796,841,20,11939,2221,22562,2200,51,27036,2435,20965,1924,37,25349,2051,19772,1445,45,23307,1611,18323,1173,93,21200,1182,13118,931,59,15299,504,7825,830,22,9177,117,3778,945,7,4843,12391,125206,11043,348,148986,1860,19150,1589,33,22630,2263,20720,1975,50,25010,4047,46191,4864,119,55215,4362,42280,4144,89,50876,3813,38698,3005,86,45603,3050,36267,2444,138,41902,2196,25532,1819,103,29650,978,14793,1547,36,17352,213,6588,1423,10,8232,22782,250212,22822,666,296477
LGA11600,5,69,10,0,84,5,76,10,3,102,32,228,44,9,311,37,128,19,0,186,27,153,37,0,220,53,155,26,0,230,26,104,23,0,153,14,45,8,0,68,0,15,0,0,22,204,977,177,13,1372,20,44,7,0,69,12,59,6,0,71,30,158,19,3,210,36,111,19,0,178,43,105,18,0,169,38,124,22,0,185,41,57,10,0,114,16,37,10,0,60,0,30,4,0,37,230,728,123,5,1092,21,120,16,0,153,17,132,21,3,173,63,386,61,11,526,80,240,39,0,364,70,258,58,0,384,87,273,45,0,415,63,164,38,0,265,23,82,20,0,132,0,50,5,0,57,432,1705,307,18,2460
