LGA_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
LGA33960,947,3149,58,4158,17302,1055,76,22588,149,2321,14,2485,12173,825,66,15554,28,372,4,403,6908,641,13,7964,6,21,0,24,2155,425,0,2608,41575,11456,1775,54808,107890,11624,311,174631
LGA33980,107,302,5,404,2402,1760,3,4568,13,96,0,109,1215,449,9,1782,0,10,0,14,421,107,5,546,0,4,0,4,82,19,0,102,4726,932,196,5855,11592,10637,105,28177
LGA34420,5,13,0,22,37,24,0,85,0,7,0,15,34,8,0,53,0,0,0,0,0,7,0,12,0,0,0,0,0,0,0,0,154,97,13,256,346,165,0,770
LGA34530,189,788,8,983,4532,442,0,5968,32,636,0,674,4392,433,12,5504,8,120,0,125,2343,254,4,2739,0,3,0,7,652,103,0,769,5749,2361,274,8387,21119,3200,46,32753
LGA34570,0,9,0,15,31,8,0,54,0,10,0,10,22,6,0,30,0,0,0,0,10,4,0,11,0,0,0,0,6,0,0,6,99,72,3,174,244,60,0,476
LGA34580,174,648,6,831,4194,301,0,5334,42,415,0,452,3519,245,5,4216,7,73,0,77,1946,194,0,2224,3,7,0,10,545,105,0,661,6265,1968,272,8504,21735,2536,82,32854
LGA34590,1512,4705,86,6306,27352,1803,82,35541,298,3674,36,4013,22171,1449,76,27702,54,631,3,696,11986,1029,27,13737,3,31,0,33,3520,514,7,4079,59278,17395,2487,79161,167338,18523,415,265442
LGA34710,11,54,0,65,522,95,0,682,4,39,0,47,562,68,0,671,0,4,0,4,218,21,0,244,0,0,0,0,87,3,0,92,507,182,23,712,2413,440,15,3574
LGA34770,466,2306,20,2795,11716,1198,31,15743,60,1505,3,1573,9111,937,30,11645,24,239,3,265,4982,627,8,5884,0,14,0,14,1693,297,7,2011,19043,6742,866,26652,60705,8321,157,95830
LGA34800,9,17,0,20,166,93,0,284,0,4,0,4,158,49,0,211,0,0,0,0,42,7,0,53,0,0,0,0,8,0,0,8,227,54,3,281,738,661,4,1683
LGA34830,8,3,0,12,27,14,0,54,3,4,0,4,22,3,0,31,0,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,55,31,42,135,143,64,8,348
LGA34860,76,199,0,268,1378,220,6,1874,5,118,0,128,1184,176,0,1481,0,16,0,22,586,105,0,711,0,6,0,8,157,66,0,230,2091,629,94,2810,6907,1452,19,11192
LGA34880,85,302,4,391,2626,393,14,3430,28,245,6,276,2497,306,9,3092,9,58,0,68,1451,186,0,1705,0,4,0,4,414,62,0,479,2804,1007,135,3942,12597,3262,197,20000
LGA35010,2067,7337,96,9498,42932,1841,114,54387,414,6488,38,6941,39346,1823,94,48212,74,1122,21,1210,23720,1603,47,26583,15,59,0,70,7351,1055,11,8485,82211,24866,3134,110203,247519,18963,861,377544
LGA35250,12,9,3,20,81,6,0,100,4,3,0,7,21,3,0,37,0,6,0,3,23,6,0,30,0,0,0,0,0,0,0,0,186,52,15,253,446,65,0,766
LGA35300,84,250,8,351,1704,446,15,2519,12,130,0,143,1084,316,5,1546,0,25,0,31,445,114,0,590,0,0,0,0,82,29,6,114,3164,961,179,4311,9600,2731,59,16705
LGA35600,22,78,0,96,578,107,0,785,4,39,0,46,511,51,0,608,0,0,0,5,203,31,0,240,0,0,0,0,103,17,0,117,526,176,20,726,2455,455,8,3639
LGA35670,4,7,0,16,40,24,0,80,0,4,0,4,18,8,0,32,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,79,69,16,165,250,194,0,609
LGA35740,438,718,7,1161,7644,456,38,9300,75,992,4,1076,8033,476,50,9632,24,196,0,220,4862,423,28,5535,0,4,0,4,1382,293,6,1685,8137,2613,241,10995,35598,3235,257,50092
LGA35760,46,145,0,193,1274,150,0,1619,6,110,0,121,1332,156,0,1610,0,22,0,21,799,101,0,925,0,0,0,0,249,36,0,283,1186,456,55,1699,6054,1052,282,9080
LGA35780,13,30,4,50,243,53,0,348,5,20,0,25,161,39,0,225,5,4,0,9,19,7,3,32,0,0,0,0,5,0,0,5,429,257,30,713,1197,304,4,2212
LGA35790,11,37,0,49,145,13,0,208,5,12,0,17,67,3,0,89,0,0,0,0,16,5,0,15,0,0,0,0,0,0,0,0,307,143,20,470,840,125,4,1442
LGA35800,10,21,0,31,283,39,0,353,4,16,0,21,300,47,0,368,0,5,0,5,128,16,0,152,0,0,0,0,41,4,0,40,213,83,17,310,1195,144,7,1665
LGA36070,0,15,0,15,32,14,0,61,0,6,0,6,19,8,0,33,0,0,0,0,3,4,0,9,0,0,0,0,0,0,0,0,41,134,4,177,298,122,0,600
LGA36150,3,9,0,12,152,14,0,186,0,13,0,13,125,5,0,143,0,0,0,0,49,4,0,51,0,3,0,3,7,4,0,11,110,37,5,156,529,46,0,728
LGA36250,843,3029,31,3899,16817,631,23,21367,170,2894,13,3074,14852,674,36,18635,32,513,3,546,9091,702,13,10351,0,25,0,19,2998,800,6,3824,26421,9337,976,36731,87065,5460,160,129415
LGA36300,3,18,0,21,111,27,0,155,0,8,0,9,87,37,0,137,0,0,0,0,25,13,0,41,0,0,0,0,7,4,0,7,100,45,12,148,425,159,5,734
LGA36370,287,1451,20,1762,7404,626,9,9800,66,1019,3,1087,6072,574,18,7746,14,170,0,181,3839,422,4,4442,4,16,0,18,1482,295,5,1791,12465,4759,706,17927,41799,5189,101,65013
LGA36510,246,704,10,964,5124,414,4,6511,49,616,3,670,4753,341,9,5770,8,115,0,127,2644,262,0,3024,0,11,0,12,796,157,0,965,6304,2158,233,8691,24144,2832,59,35723
LGA36580,115,405,8,530,2984,223,5,3741,24,303,0,325,2887,211,3,3427,0,57,0,61,1428,156,3,1645,0,4,0,6,291,54,0,350,3597,1248,151,4998,13857,1541,33,20424
LGA36630,135,442,7,588,3862,427,8,4884,52,312,0,368,4316,466,3,5153,7,58,0,62,2382,265,0,2714,0,5,0,5,713,98,0,813,3967,1436,193,5595,19049,2665,33,27349
LGA36660,183,587,11,779,4192,390,4,5364,40,451,0,497,4523,392,3,5414,9,100,4,109,2630,278,0,3023,0,6,0,6,879,111,0,996,4674,1856,197,6723,20743,2475,41,29985
LGA36720,1902,5082,48,7041,35726,2047,87,44895,320,5233,25,5581,34236,2046,110,41976,75,949,4,1031,22267,1859,70,25223,8,51,0,54,7908,1250,8,9225,55490,16748,1799,74037,193350,16295,761,284446
LGA36820,151,462,11,620,3477,368,4,4470,37,381,3,426,3727,417,12,4576,5,84,0,94,1921,253,3,2263,0,4,0,0,570,154,0,723,3300,1378,157,4839,15796,2499,377,23507
LGA36910,718,2685,42,3446,15752,1129,23,20348,137,2432,14,2579,14320,983,17,17901,42,458,6,507,9831,874,12,11221,12,28,0,35,3817,516,0,4366,26581,9298,1367,37239,92840,8460,191,138733
LGA36950,16,33,3,55,340,35,0,429,4,17,0,20,187,16,0,220,0,3,0,3,52,11,4,64,0,0,0,0,10,0,0,12,528,180,44,754,1810,234,6,2796
LGA36960,36,56,8,101,220,32,0,352,8,26,0,32,142,21,0,202,3,3,0,8,57,4,0,66,0,0,0,0,18,0,0,18,539,365,90,994,1503,171,0,2669
LGA37010,842,3140,43,4026,17395,1467,40,22931,140,2383,13,2530,14169,1197,47,17945,21,485,0,509,7581,726,22,8832,3,24,0,31,2355,395,8,2784,29680,10602,1538,41820,102012,13160,396,157384
LGA37300,9,38,0,50,363,78,0,492,3,17,0,14,125,13,0,155,0,0,0,0,31,5,0,43,0,0,0,0,4,0,0,5,775,157,22,956,1973,549,0,3474
LGA37310,125,455,3,587,3406,506,3,4503,23,306,0,329,2888,326,0,3543,0,62,0,61,1576,198,0,1828,0,4,0,9,522,95,0,620,5358,1537,263,7152,17644,3675,132,28610
LGA37340,173,494,3,672,4876,959,23,6531,47,411,3,462,4499,737,28,5722,7,71,0,73,1963,279,10,2331,0,3,0,3,476,67,0,542,5440,1622,224,7288,23587,5242,411,36531
LGA37400,8,20,0,33,267,57,0,365,3,25,0,24,270,108,0,410,0,3,0,3,90,27,0,120,0,0,0,0,19,4,0,23,166,66,10,237,983,330,3,1555
LGA37550,0,15,0,15,47,7,0,70,0,8,0,6,33,0,0,36,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,155,81,5,243,356,52,0,653
LGA37570,0,4,0,0,27,0,0,36,0,0,0,0,11,0,0,13,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,62,25,0,85,107,8,0,199
LGA37600,17,55,10,86,116,11,0,211,0,20,0,23,68,7,0,94,0,4,3,4,28,4,0,31,0,0,0,5,0,0,0,3,410,338,129,882,794,69,0,1744
LGA39799,0,0,0,4,14,16,0,34,0,0,0,0,8,6,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,14,118,220,24,380
LGA40070,80,254,0,343,2110,441,44,2929,27,383,0,412,1860,338,21,2633,4,107,3,113,1076,186,3,1379,0,3,0,4,437,149,0,597,1950,1148,68,3163,20223,3843,401,27628
LGA40120,346,812,7,1170,4442,199,3,5812,55,1170,3,1226,3450,153,5,4833,12,217,0,231,1977,112,0,2317,0,11,0,11,680,64,0,759,7010,2933,317,10252,21045,1266,30,32589
LGA40150,54,228,0,283,1090,84,0,1461,13,118,0,129,726,54,3,913,0,15,0,16,350,35,0,403,0,8,0,8,74,9,0,91,1558,620,77,2260,5011,531,12,7816
LGA40220,127,611,11,749,3380,186,0,4321,18,698,6,726,4221,218,3,5165,5,102,0,108,2735,172,0,3017,0,5,0,3,846,80,0,936,3541,1914,197,5648,17241,1198,22,24104
LGA40250,9,77,0,85,110,27,0,218,0,26,0,27,42,9,0,80,0,9,0,9,9,3,0,27,0,4,0,4,9,7,0,19,278,591,152,1022,628,213,4,1867
LGA40310,110,537,3,652,2743,121,0,3513,20,545,5,572,2524,134,0,3228,7,88,4,95,1548,101,0,1750,0,0,0,4,611,64,0,673,3967,1576,150,5692,13797,839,19,20342
LGA40430,19,49,0,68,360,35,0,459,5,38,0,46,448,32,0,525,0,4,0,4,270,38,0,309,0,0,0,0,98,13,0,111,305,132,15,450,1597,185,0,2235
LGA40520,45,165,3,217,1219,98,0,1538,14,183,0,196,1176,112,0,1480,4,19,0,21,668,57,5,744,0,0,0,0,313,37,0,353,1381,592,51,2026,6256,589,118,8986
LGA40700,444,585,3,1031,4510,76,24,5639,76,1417,6,1493,3823,82,19,5427,22,426,0,445,3017,99,10,3570,0,20,0,23,1485,60,3,1571,7903,2980,203,11088,26007,772,110,37978
LGA40910,313,840,10,1152,4941,139,21,6257,66,1142,8,1218,3742,121,19,5103,18,281,4,303,3519,189,13,4024,5,22,0,27,1716,160,3,1899,8997,3074,256,12335,31652,1429,89,45504
LGA41010,13,75,0,91,372,44,0,504,6,52,0,60,391,34,0,487,0,11,0,11,169,12,0,193,0,0,0,0,45,4,0,47,495,264,34,787,1908,302,6,3002
LGA41060,667,1947,18,2637,12166,466,39,15314,131,2539,7,2675,9242,380,45,12344,26,548,3,582,6730,371,8,7687,0,28,0,21,3486,217,3,3731,17726,6927,620,25275,73046,3848,207,102379
LGA41140,31,179,4,214,1139,100,0,1456,5,184,0,196,1091,77,0,1365,0,25,0,30,671,59,0,757,0,0,0,0,227,31,0,261,1246,553,75,1872,5285,517,4,7686
LGA41190,10,49,0,55,209,22,0,287,4,23,0,31,189,15,0,234,0,4,0,4,108,17,0,122,0,0,0,0,43,14,0,57,279,112,10,406,887,130,0,1423
LGA41330,9,16,0,26,286,75,8,392,0,13,0,13,283,104,0,398,0,0,0,3,165,78,0,247,0,0,0,0,20,16,0,28,161,54,0,216,1235,454,8,1911
LGA41560,52,304,3,365,1863,160,0,2388,8,257,0,265,2248,162,0,2678,4,36,0,41,1396,154,0,1586,0,7,0,7,425,80,0,516,1660,867,92,2619,9150,953,5,12731
LGA41750,6,23,0,27,178,24,0,234,0,15,0,16,156,23,0,192,0,0,0,4,63,5,0,72,0,0,0,0,15,0,0,20,157,58,5,226,624,101,0,944
LGA41830,9,41,0,51,257,35,3,337,0,33,0,38,325,36,0,399,0,3,0,3,136,26,0,172,0,0,0,0,43,8,0,49,179,115,11,302,1133,170,6,1612
LGA41960,4,25,0,33,163,9,0,214,4,19,0,25,195,20,0,235,0,4,0,4,92,7,0,101,0,0,0,0,29,3,0,29,155,72,7,231,763,106,0,1091
LGA42030,98,497,7,607,2625,100,4,3330,13,411,0,428,2085,98,9,2620,7,60,0,65,1644,117,0,1826,0,0,0,0,711,119,0,830,3785,1529,171,5482,14004,890,21,20398
LGA42110,22,84,0,110,610,56,0,776,8,53,0,63,547,49,0,660,0,3,0,3,285,36,4,328,0,0,0,0,93,9,0,107,526,204,21,754,2371,297,3,3424
LGA42250,31,221,3,257,889,167,0,1308,9,138,0,147,764,124,0,1029,0,15,0,15,328,76,0,422,0,0,0,0,86,47,0,134,1251,520,40,1816,3992,1193,5,7008
LGA42600,238,787,11,1042,4171,150,6,5375,37,1309,8,1357,3712,191,11,5272,15,264,0,277,2634,145,7,3060,3,9,0,11,1431,79,0,1524,5159,2904,209,8274,22837,1039,62,32211
LGA42750,32,85,0,111,698,91,0,899,6,107,0,114,636,66,3,819,0,23,0,23,326,43,0,394,0,5,0,5,84,30,0,120,652,307,50,1005,2833,408,3,4248
LGA43080,0,19,0,24,128,15,5,164,0,6,0,9,127,13,0,143,0,3,0,3,61,10,0,75,0,0,0,0,39,0,0,41,126,46,7,175,561,70,0,812
LGA43220,4,20,0,22,125,0,0,152,0,15,0,15,98,3,0,113,0,0,0,0,63,14,0,80,0,0,0,0,32,7,0,37,165,49,6,233,526,62,0,815
LGA43360,10,26,0,36,287,17,0,344,0,29,0,31,354,21,0,403,0,4,0,4,193,18,0,216,0,0,0,0,80,6,0,86,292,94,9,396,1409,126,0,1930
LGA43650,87,361,9,461,1698,87,0,2236,14,224,0,240,1213,62,0,1512,3,30,0,33,621,37,3,694,0,0,0,0,199,16,0,223,2657,990,117,3763,8127,510,9,12408
LGA43710,28,147,0,174,648,71,0,895,4,113,0,118,600,67,0,785,0,27,0,27,263,29,0,320,0,0,0,0,76,0,0,79,988,406,47,1439,2804,447,5,4695
LGA43790,42,216,3,259,1264,105,4,1634,5,207,0,220,1356,133,3,1708,0,36,0,40,841,89,0,967,0,0,0,0,344,46,0,392,1583,679,78,2336,6545,748,128,9755
LGA44000,0,3,0,3,15,7,0,22,0,0,0,0,3,4,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,3,0,21,34,30,0,85
LGA44060,471,1567,23,2066,8742,270,28,11116,119,2057,13,2199,7238,234,43,9708,26,370,0,401,4591,218,18,5217,0,22,0,22,2519,162,0,2702,15260,5623,535,21409,54396,2445,152,78399
LGA44210,42,191,0,229,1371,142,0,1739,13,142,0,160,1460,179,0,1795,3,33,0,34,695,81,0,817,0,0,0,0,188,21,0,211,950,520,37,1514,5634,891,5,8043
LGA44340,518,1038,10,1568,6450,199,12,8228,80,1977,6,2061,4929,182,13,7180,16,471,0,490,3988,214,11,4697,6,23,0,29,2089,154,0,2266,11878,4582,484,16944,37099,1514,92,55648
LGA44550,180,650,9,838,3602,169,3,4620,36,754,3,799,3011,163,6,3970,10,148,0,155,1752,94,3,2009,0,7,0,7,680,47,0,739,6979,2349,331,9652,19965,1227,30,30877
LGA44620,96,507,6,608,2594,134,8,3347,33,380,0,418,2357,144,3,2923,5,70,0,75,1568,148,0,1797,0,5,0,5,677,115,0,796,4051,1574,230,5853,14634,1298,26,21803
LGA44830,16,70,0,93,499,60,0,647,6,69,0,70,448,78,0,597,0,12,0,12,231,48,0,289,0,0,0,0,70,9,0,87,334,197,13,541,1826,329,0,2697
LGA45040,90,405,0,505,2250,180,4,2940,18,285,0,306,2047,150,5,2505,5,70,0,73,1433,124,4,1636,0,3,0,3,558,57,0,620,2870,1224,130,4230,11918,1594,21,17766
LGA45090,38,169,0,207,861,79,0,1151,10,118,0,126,741,75,0,947,0,17,0,16,484,64,0,564,0,0,0,0,180,28,0,210,1349,468,55,1865,4569,524,24,6984
LGA45120,24,111,0,131,559,28,0,721,6,72,0,82,562,29,0,671,0,12,0,13,343,39,0,390,0,0,0,0,124,13,0,135,625,259,24,908,2557,218,5,3689
LGA45290,272,414,9,690,3665,110,18,4482,54,794,9,858,2849,122,13,3833,11,252,6,261,2212,110,7,2585,0,13,0,16,1230,98,0,1353,5601,1999,157,7757,22958,1136,76,31933
LGA45340,723,3597,34,4360,16710,704,21,21802,179,4029,19,4222,14796,666,30,19721,27,716,7,749,9140,593,13,10498,0,24,0,29,3398,428,6,3861,28303,12178,1493,41976,93685,5690,143,141485
LGA45400,0,20,0,21,121,11,0,153,0,11,0,11,131,19,0,161,0,4,0,4,60,8,0,68,0,0,0,0,40,10,0,52,108,50,0,167,525,71,4,762
LGA45540,3,25,0,32,261,34,0,322,0,19,0,16,275,32,0,326,0,5,0,5,146,20,0,167,0,0,0,0,35,10,0,45,117,71,10,196,1074,206,0,1484
LGA45680,382,1496,29,1909,8386,528,11,10830,65,903,6,972,5713,452,12,7154,17,141,0,156,3413,368,7,3942,0,13,0,12,1324,253,0,1598,16192,5072,808,22078,49092,4905,70,76140
LGA45890,670,1759,29,2456,12080,617,51,15209,158,1860,18,2030,8968,470,61,11536,17,355,0,378,5417,330,19,6139,4,18,0,27,2766,183,0,2970,20825,6254,598,27675,75863,5608,220,109363
LGA46090,57,283,0,344,1425,199,4,1967,20,158,0,179,1185,154,6,1522,0,32,0,34,715,85,3,838,0,3,0,3,233,24,0,263,1736,808,97,2642,7402,1683,36,11768
LGA46300,57,260,3,321,1441,115,0,1884,15,213,0,229,1290,94,0,1605,5,30,0,32,854,76,0,959,0,5,0,5,376,50,0,429,2101,817,106,3028,7852,789,11,11676
LGA46450,77,355,3,428,1850,130,0,2413,18,213,0,230,1732,120,0,2085,0,42,0,46,1214,88,0,1348,0,0,0,0,472,41,0,513,2213,1013,109,3333,9964,963,0,14262
LGA46510,142,348,8,500,2145,72,4,2712,25,435,0,457,1392,53,3,1907,3,75,0,85,744,33,0,864,0,7,0,8,433,31,0,472,3873,1197,122,5191,12372,605,38,18204
LGA46670,34,168,0,204,1110,106,3,1430,6,137,3,147,1083,78,0,1311,5,23,0,27,584,61,0,674,0,6,0,8,243,24,0,274,1327,488,48,1857,5872,627,466,8825
LGA46860,10,38,0,40,233,20,0,298,0,52,0,52,229,10,4,294,0,5,0,5,141,7,0,159,0,0,0,0,23,0,0,26,222,115,15,347,968,74,4,1393
LGA46970,17,60,0,83,495,174,0,748,0,9,0,17,74,25,0,113,0,0,0,0,12,4,0,20,0,0,0,0,5,0,0,3,1234,204,53,1494,2910,1338,11,5757
LGA47140,693,2277,43,3012,12698,549,61,16321,180,1908,10,2099,10010,520,54,12687,34,329,0,359,6226,458,15,7064,3,23,0,27,2229,314,6,2574,23548,7565,794,31904,79039,5334,285,116561
LGA47290,10,28,0,45,233,26,0,302,3,33,0,35,195,16,0,247,0,6,0,6,129,9,0,138,0,0,0,0,58,9,0,69,288,104,9,396,1120,146,3,1669
LGA47490,10,42,0,55,295,26,0,376,0,52,0,56,325,36,0,424,0,0,0,0,119,17,0,139,0,0,0,0,47,13,0,58,310,137,20,466,1201,170,0,1834
LGA47630,27,117,5,149,688,68,4,912,7,83,0,89,582,51,6,725,5,9,0,11,373,21,3,412,0,0,0,0,157,9,5,176,1037,354,49,1442,3691,484,35,5648
LGA47700,444,2049,17,2504,9541,231,23,12309,91,2469,7,2565,8144,269,32,11007,24,453,0,477,5978,282,9,6744,0,18,0,18,2249,198,0,2471,16742,6803,630,24176,55993,2245,106,82520
LGA47800,19,145,0,172,673,68,0,911,0,65,0,66,597,65,0,732,4,11,0,12,417,48,0,483,0,0,0,0,119,21,0,138,665,319,31,1020,3026,478,0,4517
LGA47910,11,85,0,100,325,27,0,453,3,47,0,57,383,41,0,480,0,7,0,7,251,21,0,278,0,0,0,0,105,9,0,120,356,198,34,588,1610,154,0,2356
LGA47980,309,473,13,785,3706,73,9,4577,44,1024,4,1074,3099,106,10,4285,11,267,0,278,2188,109,3,2578,0,16,0,20,1446,105,0,1576,6156,2290,252,8693,22702,770,62,32226
LGA48050,70,306,10,377,1829,78,0,2295,19,426,0,447,2828,115,5,3402,5,69,0,75,2129,110,4,2319,0,0,0,5,825,70,5,907,1698,1016,130,2845,10484,583,22,13931
LGA48130,31,139,7,178,747,69,0,989,14,102,0,118,710,56,0,878,0,15,0,14,410,31,0,455,0,0,0,0,170,14,0,189,995,448,61,1503,3611,336,5,5457
LGA48260,52,124,0,182,790,32,4,1011,9,235,0,244,701,37,3,981,4,63,0,70,549,27,4,641,0,5,0,5,310,21,0,336,1176,529,41,1738,4876,250,21,6893
LGA48340,45,247,0,292,1441,108,0,1839,8,191,0,194,1383,104,0,1693,0,23,0,29,755,68,0,846,4,0,0,0,281,20,0,305,1555,732,58,2354,6638,666,8,9666
LGA48410,357,773,20,1157,5364,185,14,6723,58,1022,4,1082,3828,155,16,5086,22,228,0,247,3169,176,3,3599,0,20,0,18,2160,121,3,2311,9218,3046,271,12537,37914,1767,103,52323
LGA48540,77,410,5,490,2374,194,0,3064,10,198,0,211,1777,124,7,2122,5,41,0,42,1236,118,0,1407,0,4,0,4,392,50,0,447,3024,1174,186,4385,12012,1279,11,17687
LGA48640,5,30,0,28,134,24,0,188,0,27,0,26,102,11,0,139,0,3,0,3,51,5,0,64,0,0,0,0,37,11,0,43,196,89,3,287,547,98,3,938
LGA48750,33,143,0,177,834,51,0,1069,12,178,0,190,978,55,6,1228,4,31,0,31,486,44,0,562,0,0,0,0,159,16,0,174,683,427,36,1152,3590,278,3,5029
LGA48830,47,276,5,328,1681,131,0,2138,11,207,0,220,2029,162,5,2419,6,36,0,34,1144,128,3,1314,0,0,0,0,354,61,0,419,1229,685,62,1979,7317,799,11,10102
LGA49399,24,105,0,126,857,280,5,1274,0,69,0,71,562,156,0,793,0,11,0,12,132,47,0,191,0,0,0,0,21,7,0,29,696,306,36,1037,3347,1409,21,5814
LGA49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,22,8,7,40
LGA50080,200,630,16,851,4160,280,11,5293,31,517,6,547,3788,252,8,4596,8,87,0,96,2489,195,3,2786,0,9,0,9,1017,121,4,1142,5556,2122,335,8011,21041,2190,52,31301
LGA50210,386,1423,23,1828,6797,395,48,9069,93,1188,13,1295,5313,266,60,6932,21,191,0,213,2837,225,21,3295,3,15,0,17,852,161,0,1023,17964,5040,795,23801,42842,3584,176,70401
LGA50250,48,108,0,163,1479,658,18,2311,11,62,3,71,745,213,8,1041,0,4,5,9,179,46,0,241,0,0,0,0,14,3,0,18,2206,425,157,2780,6971,3924,102,13780
LGA50280,103,252,3,359,1715,173,5,2255,24,279,4,307,1417,124,4,1846,5,35,0,42,649,48,0,741,0,0,0,0,253,31,0,284,2959,834,197,3988,7976,1084,100,13143
LGA50350,97,263,5,359,1471,84,6,1927,6,265,3,275,1183,61,12,1532,5,63,0,68,694,57,0,820,0,6,0,9,326,20,0,353,2528,933,123,3583,8537,620,26,12766
LGA50420,364,919,11,1292,6009,259,27,7586,102,1209,4,1313,4889,218,21,6451,15,286,0,298,3276,215,12,3803,0,18,0,22,1439,176,0,1634,10779,3670,351,14799,39598,2446,111,56959
LGA50490,225,521,8,756,3407,259,37,4455,52,494,3,553,2484,176,18,3232,14,100,0,115,1535,144,8,1804,0,3,0,5,743,125,0,868,6136,1950,189,8272,24277,2517,159,35218
LGA50560,3,22,0,29,219,31,0,282,0,28,0,29,269,36,0,334,0,0,0,0,138,26,0,164,0,0,0,0,47,5,0,50,167,79,17,257,968,177,4,1416
LGA50630,17,27,0,44,259,24,0,324,6,19,0,15,166,8,0,199,0,4,0,4,63,11,0,83,0,0,0,0,14,3,0,20,394,76,20,493,1017,119,5,1632
LGA50770,3,27,0,33,230,30,0,291,0,31,0,33,189,21,0,237,0,4,0,4,128,25,0,163,0,0,0,0,26,4,0,32,267,90,20,374,892,151,0,1423
LGA50840,36,76,4,113,717,59,0,889,5,83,0,88,734,55,0,880,4,9,0,14,362,29,0,403,0,0,0,0,97,9,0,105,748,257,29,1033,2951,330,9,4318
LGA50910,3,11,0,17,98,15,0,126,0,18,0,20,97,5,0,121,0,3,0,3,78,3,0,86,0,0,0,0,41,3,0,41,126,47,4,179,497,66,0,748
LGA50980,88,283,0,376,2783,564,6,3727,15,280,0,298,2937,396,16,3644,7,56,0,59,880,174,0,1116,0,0,0,0,97,32,0,138,3107,1164,216,4482,13074,3207,178,20940
LGA51080,3,19,0,24,138,21,0,177,0,8,0,8,83,7,0,98,0,5,0,5,39,10,0,55,0,0,0,0,14,0,0,14,156,41,9,204,489,96,0,790
LGA51120,4,15,0,15,94,24,0,137,0,12,0,14,97,23,0,136,0,0,0,0,50,14,0,64,0,0,0,0,15,9,0,23,139,43,6,187,458,143,0,788
LGA51190,144,680,12,831,3227,249,10,4318,33,573,3,606,2814,218,4,3640,18,95,0,106,1814,138,0,2065,0,9,0,13,788,160,0,957,4650,2089,270,7008,17671,2305,47,27037
LGA51260,195,724,7,924,4018,334,10,5282,35,842,6,882,4135,313,5,5336,3,128,0,132,2487,221,4,2847,0,6,0,8,924,105,0,1036,6539,2366,338,9246,21038,2040,63,32384
LGA51310,315,385,10,702,2731,69,9,3518,26,747,0,777,1664,87,13,2540,15,195,0,208,1320,89,11,1626,3,14,0,18,856,84,4,959,5422,1760,237,7424,14691,632,66,22801
LGA51330,530,1363,25,1911,7565,315,78,9868,140,1827,8,1975,5711,204,69,7963,23,369,0,386,3613,216,25,4240,4,21,0,27,1405,131,12,1579,16068,5135,470,21677,51747,3251,323,76995
LGA51400,86,340,0,424,1647,82,4,2156,13,212,3,232,1233,77,0,1538,7,31,0,36,586,39,0,659,0,0,0,0,115,15,0,132,3283,971,191,4438,8385,596,9,13431
LGA51470,0,12,0,15,78,9,0,97,0,3,0,3,82,8,0,93,0,0,0,0,31,17,0,47,0,0,0,0,4,0,0,4,61,23,0,87,336,82,5,510
LGA51540,22,112,3,133,1072,143,4,1347,10,115,0,128,1297,145,0,1571,4,15,0,23,507,63,0,593,0,0,0,3,80,17,0,98,858,362,68,1293,4695,977,109,7078
LGA51610,12,41,0,50,177,23,0,250,0,10,0,18,156,16,0,189,0,3,0,3,58,3,0,66,0,0,0,0,7,0,0,9,224,75,13,315,756,150,0,1213
LGA51680,30,139,0,167,694,67,0,931,5,87,0,100,478,49,0,625,0,12,0,16,254,30,0,298,0,0,0,0,60,14,0,74,859,351,47,1260,2984,346,8,4605
