LGA_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
LGA10800,7,4,40,34,3,41,6,33,4,165,16,16,53,41,11,19,20,42,0,219,63,104,109,42,33,30,75,51,4,500,107,73,94,39,49,17,58,41,4,486,157,58,57,38,60,27,75,63,10,537,162,39,64,41,56,22,87,57,17,538,97,13,10,10,31,7,26,12,4,208,29,0,0,0,0,0,3,6,8,50,9,0,0,0,0,0,0,0,0,9,642,305,426,239,243,163,346,308,57,2723
LGA10850,3,3,40,46,9,55,3,65,8,228,11,9,54,36,17,21,22,38,6,222,84,110,121,89,59,37,52,67,8,627,97,119,91,67,59,38,53,73,10,607,124,131,90,73,120,33,90,92,17,767,130,95,85,59,86,36,74,104,9,682,105,22,11,20,25,11,26,25,7,262,40,8,0,0,4,0,3,5,0,55,8,0,0,0,0,0,0,0,0,9,603,502,498,381,384,229,331,462,70,3459
LGA10900,24,39,324,404,90,523,82,407,30,1920,106,338,500,510,237,345,103,319,26,2497,598,1663,951,703,618,346,204,379,67,5532,1272,2742,936,793,944,317,275,359,121,7767,1601,2916,924,929,1183,411,327,426,104,8820,1129,2390,705,717,1048,348,330,412,82,7156,304,918,200,198,327,124,108,117,31,2335,36,96,17,9,45,24,14,13,12,275,3,5,0,3,0,3,0,0,0,21,5083,11109,4553,4271,4500,2439,1442,2440,485,36320
LGA10950,9,0,16,4,4,13,7,14,0,66,7,7,25,13,6,5,25,19,0,107,29,59,51,35,26,10,45,25,3,277,34,33,15,16,10,3,28,28,3,175,73,41,24,41,27,4,43,29,3,291,81,19,23,21,12,5,31,28,6,236,35,9,3,4,8,3,8,15,3,88,17,0,0,0,0,0,4,0,11,27,3,0,0,0,0,0,0,0,0,3,274,173,165,136,98,52,188,160,32,1274
LGA11150,0,0,8,17,5,5,0,5,0,40,4,11,19,18,15,3,10,11,0,92,22,57,17,53,23,6,16,25,6,218,46,31,27,27,17,3,10,22,3,182,56,35,21,24,22,3,12,19,11,207,70,41,22,14,30,13,31,19,5,241,39,7,4,4,7,0,9,9,4,89,7,0,0,0,0,0,0,5,6,21,0,0,0,0,0,0,0,0,0,0,243,183,117,157,110,36,90,111,34,1089
LGA11200,0,0,0,0,0,0,0,0,0,10,7,10,9,10,0,0,0,8,0,38,9,21,9,26,15,0,3,14,0,106,12,20,5,12,6,0,11,4,0,76,16,17,7,20,4,0,6,12,0,90,35,14,6,11,4,4,9,12,6,96,24,5,0,0,3,0,4,3,3,44,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,111,85,41,72,42,12,33,67,19,468
LGA11250,8,5,66,62,8,191,15,109,13,472,19,79,131,131,53,70,52,72,6,612,92,373,268,291,163,106,166,110,29,1592,149,243,214,208,138,79,156,97,32,1311,186,242,202,227,158,82,132,115,30,1369,180,239,187,205,199,95,164,183,36,1478,59,71,55,47,43,25,47,40,9,399,6,10,0,0,5,4,0,3,5,38,5,0,0,0,0,0,0,0,0,5,692,1257,1122,1169,769,653,731,728,157,7275
LGA11300,12,67,43,79,53,171,14,72,5,511,105,556,279,543,269,433,86,520,85,2877,565,2132,571,607,687,446,187,560,181,5942,604,1202,338,211,498,215,127,212,83,3489,560,910,279,214,454,174,121,211,76,3010,382,600,197,162,361,172,143,170,39,2227,84,159,62,44,112,22,38,52,15,585,9,27,9,0,21,0,5,9,0,81,0,0,0,0,0,0,0,0,4,6,2320,5651,1773,1859,2455,1629,727,1822,494,18730
LGA11350,10,23,77,152,23,288,20,201,21,813,69,87,185,240,71,136,49,140,17,999,481,855,690,548,214,253,92,327,75,3535,775,1112,490,408,301,221,62,220,93,3676,741,1187,416,372,353,229,87,219,83,3692,559,829,299,303,305,188,126,251,61,2916,246,341,113,78,98,80,27,86,25,1105,47,25,9,5,12,5,5,9,10,131,7,3,0,0,0,0,0,0,0,12,2933,4460,2286,2104,1376,1403,468,1461,383,16884
LGA11400,7,8,84,79,15,75,10,110,11,395,29,33,111,78,38,45,25,85,0,456,125,149,182,98,87,57,64,95,7,876,277,287,185,115,139,47,85,116,20,1273,331,328,157,125,197,76,113,139,19,1482,321,206,138,108,209,75,121,152,28,1353,208,56,55,25,45,19,34,46,21,510,88,8,0,0,13,0,6,8,7,131,16,0,0,0,0,0,0,0,3,22,1407,1088,915,637,734,388,463,754,117,6500
LGA11450,52,78,659,504,164,1089,128,685,63,3429,263,650,1035,890,710,726,326,510,103,5210,1872,3882,2534,1681,2216,993,1169,920,290,15562,2518,3722,1957,1424,2504,961,1204,749,280,15321,2106,2215,1328,1173,1972,788,1045,753,169,11543,1019,1086,742,628,1245,516,774,578,108,6707,232,261,151,106,295,112,183,138,25,1505,25,15,7,9,13,6,12,7,14,113,0,0,0,0,0,0,0,0,0,3,8082,11920,8422,6402,9122,5194,4852,4347,1051,59385
LGA11500,55,74,436,376,148,1089,223,741,89,3243,297,880,1045,1004,814,1033,649,827,189,6743,1562,4185,2184,2010,2381,1231,1636,1515,453,17155,2206,4306,2017,2113,2839,1150,1805,1442,418,18293,1491,2294,1528,1592,2179,859,1880,1465,292,13574,1062,1489,1228,1224,1909,692,1680,1281,203,10768,236,439,279,252,521,164,365,284,54,2584,21,42,14,9,32,13,26,21,12,184,0,4,0,0,0,0,0,0,4,10,6920,13713,8731,8580,10826,6235,8265,7564,1716,72551
LGA11520,9,102,118,248,129,448,33,212,28,1333,184,920,393,591,532,529,98,324,67,3638,1641,5097,1031,871,1451,736,244,436,222,11722,2824,4255,802,490,1395,594,169,245,208,10993,2482,3035,686,481,1434,547,217,292,137,9305,1446,1948,502,383,1202,439,207,337,95,6574,378,702,142,96,421,126,91,128,51,2141,48,79,27,9,43,23,16,21,18,280,9,6,4,0,3,0,0,0,8,23,9022,16141,3707,3176,6603,3452,1081,1993,834,46010
LGA11570,69,273,670,642,382,1893,190,910,107,5139,620,2688,1559,1987,2029,2273,739,1215,360,13457,3290,10348,3573,3208,4527,2466,2056,2191,910,32575,4665,8063,3337,2820,4698,2010,1933,1973,803,30302,3924,5370,3080,2737,4638,1738,2344,2447,619,26892,2254,3271,2466,1916,3325,1238,2387,2492,398,19730,518,846,529,380,787,301,486,607,129,4588,50,89,53,25,64,26,31,52,24,410,5,0,3,0,4,0,0,0,0,16,15387,30949,15268,13702,20458,11938,10171,11881,3348,133101
LGA11600,7,4,14,11,3,0,11,31,5,75,15,3,15,18,3,11,18,30,0,119,77,34,47,28,32,18,50,104,6,391,83,24,24,23,25,11,22,62,5,277,110,29,22,14,24,4,36,39,4,288,94,17,35,15,23,9,38,51,4,280,55,6,10,8,5,0,18,10,0,108,17,0,0,0,5,0,0,7,0,21,3,0,0,0,0,0,0,0,0,0,466,108,164,117,123,38,195,336,23,1572
LGA11650,175,178,1378,1497,291,3258,518,2352,153,9800,585,1411,2655,2764,1160,1958,707,1714,232,13194,2795,6907,5245,3895,3363,2061,1443,2387,486,28593,5041,8174,4652,3528,4276,1942,1598,2197,543,31952,5349,7300,4098,3972,4987,2174,2061,2724,566,33226,3589,5170,3115,3193,4431,1846,2019,2553,345,26259,931,1582,702,631,1128,532,487,576,133,6709,160,194,61,34,123,73,48,53,66,811,14,9,4,0,3,8,0,0,30,69,18643,30927,21918,19511,19751,13862,8889,14560,2553,150616
LGA11700,3,4,0,6,0,0,0,4,0,19,8,8,0,9,4,0,0,22,0,44,28,20,7,13,12,0,10,21,3,110,22,17,7,14,0,0,12,9,0,81,35,17,10,16,10,4,5,24,0,118,46,20,8,23,7,5,10,23,0,142,28,8,5,4,6,0,7,6,0,69,9,0,0,0,3,3,4,4,0,25,0,0,0,0,0,0,0,0,0,0,176,97,36,84,43,10,43,118,5,607
LGA11720,20,25,317,293,50,539,95,423,41,1796,108,186,595,545,205,344,206,402,48,2641,503,819,1478,952,698,463,711,761,119,6491,630,827,1032,700,670,356,814,574,95,5699,676,661,798,689,694,360,816,669,96,5453,450,537,565,473,488,267,582,494,74,3922,179,168,93,101,110,69,117,113,32,976,30,22,6,10,6,7,7,9,3,112,3,0,4,0,0,4,0,0,4,14,2594,3243,4891,3752,2905,2411,3347,3452,501,27097
LGA11730,27,15,213,184,44,433,49,318,20,1303,53,96,323,329,112,235,71,241,32,1480,258,623,595,587,307,259,216,412,65,3318,449,735,487,593,427,240,208,400,68,3604,655,746,535,671,586,298,313,521,83,4416,607,738,467,618,576,305,392,586,80,4374,296,221,107,103,171,74,113,158,42,1289,88,19,16,3,14,6,12,11,14,180,7,0,0,0,0,0,3,3,6,22,2451,3184,2738,3094,2234,1850,1382,2651,407,19995
LGA11750,0,0,25,10,3,22,12,25,5,99,0,12,32,18,11,16,34,31,0,158,39,81,106,32,49,11,101,47,0,459,65,54,87,36,35,23,70,24,10,411,78,43,68,20,36,11,71,34,8,370,79,43,71,20,35,18,78,44,7,399,30,12,7,8,17,4,20,16,4,118,15,0,0,0,0,0,0,4,0,23,3,0,0,0,0,0,0,0,0,7,315,250,394,145,181,109,385,228,36,2034
LGA11800,41,29,323,432,79,844,79,527,36,2385,129,221,513,555,239,390,99,401,53,2597,615,1429,1098,951,668,459,272,894,119,6510,1036,1755,910,953,871,450,282,727,137,7118,1176,1675,840,987,1080,513,339,772,129,7508,820,1224,686,857,942,522,388,670,71,6177,287,434,176,167,269,153,123,173,26,1802,46,36,6,14,20,14,12,10,14,171,4,0,0,0,4,5,0,0,9,20,4159,6794,4557,4902,4177,3339,1591,4176,588,34286
LGA12000,3,0,39,20,5,36,3,24,0,132,16,7,25,32,12,14,5,21,0,137,47,59,64,48,42,20,20,41,4,345,73,77,48,57,35,9,17,19,3,352,106,56,33,48,49,29,40,38,7,404,114,47,35,51,48,22,48,34,3,389,58,20,13,9,14,4,26,13,0,150,27,4,0,0,6,0,0,3,0,43,3,0,0,0,0,0,0,0,4,7,454,264,252,264,208,133,153,197,32,1953
LGA12150,4,0,13,19,0,11,7,11,0,60,6,10,15,21,9,4,7,20,3,92,44,63,31,39,26,11,25,45,6,290,65,41,32,32,21,7,22,30,8,251,77,39,23,35,30,8,18,43,10,281,90,33,33,37,36,11,12,41,9,301,59,11,6,10,12,10,13,17,0,128,14,0,0,0,0,0,0,0,0,29,6,0,0,0,0,0,0,0,0,6,355,198,143,188,142,62,96,207,43,1423
LGA12160,12,5,38,54,9,59,4,76,6,254,23,28,87,64,18,38,18,67,4,344,76,106,128,98,66,53,52,168,3,753,131,145,99,105,89,66,62,127,19,837,173,146,113,119,119,60,80,123,16,949,198,136,90,87,117,77,105,147,25,978,115,47,27,23,29,17,35,28,11,330,56,7,6,0,0,3,0,0,5,84,3,0,0,0,0,0,0,0,0,10,781,618,582,546,449,372,357,739,95,4534
LGA12350,9,4,50,49,8,109,11,85,10,337,32,37,81,85,27,52,19,92,3,434,126,159,154,123,74,90,54,115,15,913,158,133,115,119,114,60,61,98,19,889,226,158,146,128,127,72,87,138,9,1094,205,124,113,101,141,67,83,132,13,978,135,65,35,34,45,19,24,50,9,410,68,9,5,5,6,9,6,0,8,108,5,0,0,0,0,0,0,0,3,7,965,686,700,645,548,476,342,723,91,5171
LGA12380,44,175,286,272,225,974,155,497,77,2706,365,1642,1117,1476,1183,1469,810,1521,341,9925,2040,7205,2681,2838,2936,1796,1986,2468,906,24857,2927,6371,2303,1746,3159,1151,1544,1460,615,21270,1846,2839,1738,1367,2281,758,1332,1468,409,14039,1026,1652,1348,971,1735,545,1254,1531,253,10326,236,418,282,211,436,118,294,366,58,2432,18,26,14,24,25,9,19,16,9,164,4,5,0,0,6,0,0,0,7,20,8495,20330,9761,8915,11995,6823,7393,9337,2675,85733
LGA12390,13,19,278,298,58,561,57,345,31,1664,117,279,466,441,204,249,82,265,50,2145,542,1367,1014,1042,627,483,320,689,117,6206,651,1166,681,772,639,314,302,451,96,5069,762,930,539,628,725,295,325,383,83,4676,671,726,447,514,695,307,367,403,61,4188,285,235,149,117,202,110,129,120,22,1363,107,19,9,15,23,14,11,24,17,230,18,0,0,0,0,0,3,0,0,27,3166,4740,3580,3829,3171,2330,1592,2684,480,25573
LGA12700,4,0,60,42,6,68,12,54,0,254,16,17,86,50,19,33,13,55,3,300,67,108,160,77,79,42,47,67,11,662,135,168,170,81,106,41,89,66,14,867,160,153,168,96,144,58,107,91,26,1006,195,157,111,101,124,53,96,100,21,952,89,50,30,26,26,9,27,33,10,305,40,7,0,0,7,0,6,7,0,72,9,0,3,0,0,0,0,0,0,11,710,669,791,480,516,309,398,477,83,4429
LGA12730,13,3,41,51,10,78,5,51,5,244,23,23,56,55,15,27,15,37,8,263,96,113,114,84,52,54,22,81,15,633,134,129,75,65,75,29,41,64,17,632,164,134,81,91,120,35,58,86,20,788,156,117,85,104,116,61,73,89,17,816,104,39,32,26,35,23,36,22,11,321,28,0,0,4,4,0,0,8,5,58,3,0,0,0,0,0,0,0,4,9,717,555,483,482,426,307,250,446,101,3765
LGA12750,18,10,170,177,32,336,11,196,31,985,41,70,242,172,83,143,33,143,24,961,229,432,550,337,260,200,118,227,60,2421,387,552,439,360,325,184,136,278,58,2723,535,601,520,457,468,263,193,343,54,3436,532,673,448,525,467,324,206,391,68,3634,205,262,122,105,182,104,88,116,31,1213,27,36,9,5,15,12,8,13,13,131,7,0,0,0,0,0,0,0,3,10,1986,2645,2494,2140,1830,1562,801,1712,338,15504
LGA12850,50,117,266,327,169,963,223,499,74,2680,291,1448,812,969,1109,1122,794,703,236,7483,1272,4190,1654,1379,2232,993,1404,1186,446,14763,1353,2143,1432,1145,1987,746,1537,1409,415,12165,1279,1548,1727,1281,1806,831,2120,2146,343,13086,947,967,1450,939,1442,677,2068,2007,252,10761,242,314,335,184,346,141,405,442,53,2456,23,24,14,4,23,16,21,18,11,162,0,0,0,0,7,0,0,0,3,10,5454,10749,7686,6226,9123,5499,8573,8422,1833,63568
LGA12870,10,0,64,78,7,101,9,101,6,378,33,27,112,72,34,31,18,75,4,414,97,127,171,99,67,57,65,139,23,850,172,135,125,103,112,45,74,128,17,915,196,136,180,134,122,91,119,184,23,1180,213,136,125,104,146,87,139,204,23,1179,99,43,35,27,48,29,53,56,13,403,25,4,4,0,9,0,6,13,4,66,4,0,0,0,0,0,0,0,3,11,861,615,811,617,550,439,479,911,109,5388
LGA12900,15,8,48,43,13,84,7,75,5,300,29,45,69,51,21,51,24,56,3,346,100,169,126,108,52,57,54,88,20,778,156,151,104,72,73,43,67,89,8,762,170,125,96,110,96,54,73,76,13,814,175,107,81,71,101,56,84,102,11,788,130,32,20,9,38,18,24,36,11,312,36,3,4,0,6,5,4,4,4,60,11,0,0,0,0,0,0,0,3,15,818,640,544,459,402,367,334,531,85,4186
LGA12930,26,182,261,374,206,826,74,373,42,2365,343,1612,871,1252,869,1212,266,909,158,7494,1731,5733,1832,2053,2040,1380,634,1515,413,17336,2663,5081,1459,1109,2338,1019,639,727,312,15350,2487,3714,1335,1093,2469,929,757,796,257,13835,1588,2497,1218,902,1946,709,811,883,172,10734,336,680,265,206,529,172,199,251,59,2694,37,91,26,23,61,30,7,21,16,311,4,8,4,0,0,3,0,0,4,22,9212,19612,7271,7023,10457,6273,3389,5476,1434,70141
LGA12950,4,3,16,20,0,22,4,14,4,87,8,6,15,18,6,11,4,15,6,82,54,66,48,37,17,25,24,40,8,306,73,52,46,44,21,16,13,33,8,304,106,62,31,41,29,27,29,40,6,372,126,54,32,40,38,18,33,38,9,395,93,7,7,12,21,10,9,17,4,189,31,0,0,0,4,0,0,0,0,42,7,0,0,0,0,0,0,0,0,8,492,247,194,218,143,128,115,199,46,1784
LGA13010,5,4,31,39,7,88,7,59,5,236,24,13,35,35,20,31,5,55,7,229,68,69,97,80,55,40,16,96,6,523,87,102,85,60,80,30,35,61,13,554,146,96,66,97,99,55,48,78,3,690,175,101,71,83,86,39,66,101,17,730,123,47,29,31,23,22,20,33,7,332,51,3,5,0,4,4,0,6,6,75,5,0,0,0,0,0,0,0,0,14,677,441,413,419,374,306,203,484,71,3382
LGA13310,16,16,165,112,49,318,22,206,12,921,61,119,275,217,99,170,70,193,27,1233,285,548,576,477,312,232,225,333,67,3055,415,465,421,441,350,168,219,307,59,2844,391,413,356,465,419,172,301,298,61,2876,387,419,279,373,343,166,310,319,55,2645,172,154,67,73,93,54,86,74,17,792,37,15,6,4,3,4,6,14,3,96,5,3,0,0,0,0,0,0,3,12,1771,2159,2145,2162,1665,1292,1236,1745,303,14476
LGA13340,13,0,67,47,5,77,5,82,10,321,20,21,87,58,23,20,15,62,3,319,91,135,153,97,78,46,31,83,9,733,199,195,141,89,136,50,64,73,13,956,235,162,121,110,129,60,93,109,22,1038,275,145,118,80,127,55,112,121,16,1065,168,41,28,19,45,24,30,29,13,396,69,6,0,0,0,0,0,7,13,102,7,0,0,0,0,0,0,0,6,15,1087,721,716,499,551,335,358,580,103,4944
