LGA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
LGA10800,2452,2245,4694,1205,569,1767,217,562,780,94,78,172,49,33,80,1558,1244,2805,607,802,1405,3.1,2.6,2.9,63.6,55.4,59.7,61.6,54,58,19,28,53,15,43,61,122,255,381,118,192,309,696,328,1026,22,56,80,21,53,75,744,440,1177,2346,2188,4528,267,272,537,1704,1535,3245,769,784,1550
LGA10850,2918,2978,5897,1358,803,2161,342,746,1085,105,102,209,93,65,159,1899,1716,3616,802,1071,1871,4.7,4,4.4,65,57.6,61.3,62,55.3,58.6,61,93,154,36,85,125,244,416,661,165,294,463,855,479,1334,41,71,110,50,76,131,942,633,1575,2927,2978,5902,456,460,912,2029,2029,4062,1147,1242,2392
LGA10900,30784,33510,64290,11582,7649,19237,4780,8027,12809,1911,2371,4283,860,602,1464,19133,18653,37787,10692,13810,24499,4.5,3.2,3.9,62.2,55.7,58.8,59.4,53.9,56.5,2570,3285,5854,847,1592,2440,5399,7491,12884,3096,4340,7437,7247,3654,10895,282,471,750,626,961,1589,8155,5085,13238,32039,34242,66280,4140,4325,8466,22996,24687,47684,11538,12226,23760
LGA10950,1088,1001,2084,599,294,889,78,216,292,37,49,88,23,22,45,739,578,1319,245,334,578,3.1,3.6,3.3,67.9,57.7,63,65.8,55.6,60.9,22,27,43,10,15,30,74,121,196,44,69,114,280,133,414,4,14,15,19,22,45,304,168,473,1027,956,1975,151,151,303,732,679,1409,389,366,753
LGA11150,996,990,1987,451,327,774,74,151,224,44,43,91,17,13,32,596,531,1127,235,295,530,2.9,2.6,2.8,59.5,53.6,56.5,57.8,52.2,55,21,26,43,10,16,27,64,136,196,53,82,137,183,96,279,13,9,23,9,18,28,212,126,332,876,833,1710,142,158,302,644,619,1265,303,310,614
LGA11200,569,586,1157,180,147,326,38,66,108,21,20,41,25,14,37,261,244,507,202,245,447,8.5,5.7,7.1,45.8,41.9,43.8,41.9,39.6,40.7,6,16,17,3,3,13,25,54,84,16,38,59,85,43,125,4,17,17,8,0,7,90,60,151,500,502,1004,87,72,159,386,372,758,160,173,330
LGA11250,7153,7621,14775,2623,1860,4489,757,1460,2209,276,301,577,267,148,421,3924,3774,7695,2661,3211,5877,6.8,4,5.4,54.8,49.5,52.1,51.1,47.5,49.2,117,169,289,68,177,236,360,757,1115,356,571,927,1961,1055,3018,75,128,203,86,175,255,2120,1357,3480,6761,7094,13851,979,1073,2054,5075,5191,10272,2273,2596,4872
LGA11300,17265,18039,35303,5406,4316,9718,2851,3638,6499,1276,1238,2518,858,584,1440,10386,9779,20163,5808,7148,12955,8.2,5.9,7.1,60.2,54.2,57.1,55.2,51,53.1,1973,2141,4109,238,436,671,4103,4547,8644,1760,1963,3721,1541,918,2456,84,152,230,206,287,490,1827,1357,3186,14025,14928,28953,4419,4353,8778,8493,9302,17799,9273,9301,18575
LGA11350,14540,16139,30674,4244,2750,6994,3305,5219,8528,612,746,1362,474,460,927,8631,9179,17813,4411,5437,9846,5.4,5,5.2,59.4,56.9,58.1,56.2,54,55,790,1135,1926,278,559,842,2689,3913,6606,1275,2127,3403,2988,1446,4435,98,191,284,245,391,643,3332,2025,5355,12613,13489,26104,2972,3584,6557,7994,8265,16258,6837,8091,14926
LGA11400,5371,5537,10911,2576,1396,3974,636,1507,2140,173,216,385,97,81,174,3487,3192,6678,1507,1960,3469,2.8,2.5,2.6,65,57.6,61.2,63.1,56.2,59.6,148,210,351,60,126,185,512,881,1390,340,597,942,1492,738,2227,56,117,167,78,136,213,1619,991,2605,5559,5680,11234,652,642,1295,4020,4015,8033,1897,1989,3887
LGA11450,42927,45995,88920,21094,13743,34836,6153,10754,16909,3428,4206,7629,1068,1085,2154,31741,29795,61534,9769,14621,24392,3.4,3.7,3.5,73.9,64.8,69.2,71.5,62.4,66.8,1965,2562,4530,477,1117,1592,5130,7959,13095,3995,5747,9747,11971,6156,18124,303,723,1028,791,1186,1980,13066,8066,21130,46739,48496,95238,8713,9197,17910,24229,25011,49237,26519,28240,54756
LGA11500,66607,70646,137257,23921,16746,40671,7976,12519,20499,6420,4966,11387,2605,2364,4969,40922,36600,77521,21725,29640,51367,6.4,6.5,6.4,61.4,51.8,56.5,57.5,48.5,52.9,3934,3860,7802,649,1146,1795,8164,10780,18941,5237,7027,12261,13618,8277,21899,584,1208,1789,1051,1707,2754,15257,11189,26444,69869,72522,142390,10425,10619,21036,44464,45897,90364,30419,32009,62426
LGA11520,35647,39372,75021,15841,12552,28389,5114,7778,12887,2148,2587,4736,1061,893,1952,24160,23807,47969,9705,13568,23271,4.4,3.7,4.1,67.8,60.5,63.9,64.8,58.2,61.3,4586,4963,9552,737,1322,2062,9362,11064,20427,3365,4470,7835,4664,2162,6828,206,341,544,616,990,1602,5485,3494,8978,33026,35851,68880,7423,7792,15211,20952,23279,44232,17398,18510,35905
LGA11570,147176,148635,295808,38581,28865,67446,17147,22451,39594,15077,10986,26061,6124,4212,10333,76922,66510,143434,59567,71591,131155,8,6.3,7.2,52.3,44.7,48.5,48.1,41.9,45,9213,8522,17744,1468,2491,3960,22523,25595,48118,11745,14886,26627,20668,10540,31214,994,1740,2733,2207,3345,5554,23864,15632,39498,148172,149075,297251,22294,21096,43387,99672,102513,202192,60288,57982,118273
LGA11600,1354,1084,2443,796,326,1118,100,260,363,45,49,91,25,22,45,964,654,1617,228,309,531,2.5,3.4,2.8,71.1,60.2,66.2,69.3,58.2,64.4,9,12,25,0,20,22,98,145,237,69,104,168,279,147,425,16,30,39,27,23,48,318,197,517,1159,1008,2172,256,182,444,789,649,1444,541,452,993
LGA11650,135006,148282,283287,48672,30502,79172,19102,33750,52860,8046,10532,18577,4217,3280,7499,80042,78064,158108,47787,61831,109618,5.3,4.2,4.7,59.3,52.6,55.8,56.2,50.4,53.2,4790,5411,10205,1600,3420,5024,14391,21526,35913,10645,16984,27631,37835,21457,59291,1401,2592,3997,2624,4429,7055,41859,28478,70341,134840,143529,278365,21874,23312,45186,89544,94854,184401,58669,63941,122611
LGA11700,876,794,1674,257,171,426,50,76,128,28,26,52,23,15,41,362,287,650,317,328,646,7.2,4.9,6.2,41.1,36.2,38.8,38.2,34.5,36.4,15,17,33,6,14,20,43,71,112,35,51,86,136,68,201,13,17,28,6,17,18,150,98,246,675,618,1296,117,125,242,524,464,984,227,232,460
LGA11720,25289,25302,50597,9973,5451,15427,2844,6353,9195,1037,1451,2482,888,699,1586,14732,13950,28687,9372,10171,19541,6,5,5.5,58.3,55.1,56.7,54.8,52.4,53.6,328,459,787,131,399,530,1292,2411,3704,1294,2420,3711,8053,4881,12940,288,635,924,349,665,1019,8697,6189,14881,24252,25020,49277,4215,4611,8829,15290,15521,30810,11318,12376,23699
LGA11730,22929,23275,46211,6528,4134,10668,2762,5055,7818,736,774,1512,755,560,1313,10782,10525,21305,10597,11155,21751,7,5.3,6.2,47,45.2,46.1,43.7,42.8,43.3,425,461,887,241,498,733,1465,2492,3956,1313,2258,3569,6286,3655,9939,282,520,800,438,709,1146,7005,4882,11886,20943,21588,42527,3339,3572,6911,14440,14430,28869,8635,9548,18179
LGA11750,1947,1642,3584,950,476,1428,130,311,443,101,64,165,34,33,63,1216,885,2098,372,491,866,2.6,3.6,3,62.5,53.9,58.6,60.9,51.9,56.8,24,29,52,14,22,28,111,164,280,66,110,183,557,228,787,6,32,38,23,34,51,591,289,877,1575,1409,2985,318,298,620,1064,943,2009,726,660,1381
LGA11800,31267,34305,65569,10871,7291,18169,4905,8943,13847,1021,1240,2264,1086,872,1956,17886,18356,36238,11321,13723,25042,6.1,4.8,5.4,57.2,53.5,55.3,53.7,51,52.3,930,1190,2120,449,934,1386,3339,5127,8469,2317,3949,6268,8457,4936,13397,356,607,967,581,939,1525,9396,6495,15883,29972,32085,62054,5555,6132,11685,19152,20353,39503,14558,16118,30674
LGA12000,1688,1768,3457,793,458,1251,163,428,596,43,63,108,39,32,75,1041,978,2018,547,692,1234,3.9,3.1,3.5,61.7,55.3,58.4,59.3,53.6,56.4,33,43,76,16,48,64,90,235,323,90,149,239,465,250,713,18,30,47,24,37,65,511,318,824,1708,1761,3465,264,279,544,1198,1236,2440,652,705,1363
LGA12150,1491,1551,3044,549,372,923,138,264,403,50,56,99,54,43,96,789,732,1521,491,598,1090,7,5.9,6.4,53,47.2,50,49.3,44.5,46.8,12,33,45,9,23,26,71,173,242,61,104,164,268,190,459,7,38,41,23,16,37,298,246,543,1404,1361,2768,223,250,472,1025,961,1983,458,540,995
LGA12160,4642,4801,9445,1710,971,2680,490,1023,1516,170,169,340,110,85,190,2475,2251,4731,1750,2196,3947,4.4,3.8,4.1,53.4,46.8,50.1,51.1,45.1,48,65,82,152,45,84,120,274,504,774,279,460,740,1161,657,1816,58,92,154,78,139,213,1303,883,2185,4436,4547,8983,630,651,1277,3167,3212,6375,1659,1757,3415
LGA12350,5238,5370,10606,2013,1055,3066,537,1224,1762,157,183,342,140,135,274,2845,2598,5448,1934,2370,4303,4.9,5.3,5.1,54.4,48.4,51.4,51.7,45.8,48.7,71,99,170,34,108,144,310,525,833,256,531,783,1384,772,2157,65,114,178,80,126,206,1529,1019,2543,4966,5032,10001,711,776,1492,3516,3474,6985,1888,2066,3956
LGA12380,97092,90828,187925,26784,18829,45617,12029,13975,25997,8401,5712,14112,4657,3148,7800,51866,41665,93536,36889,42187,79080,9,7.6,8.3,53.4,45.9,49.8,48.6,42.4,45.6,8052,6828,14874,939,1451,2388,15900,16931,32831,7891,8988,16878,10946,5914,16855,553,984,1538,1243,1714,2958,12740,8610,21351,92453,88722,181172,18263,15737,33997,56634,56983,113618,46780,41074,87852
LGA12390,21020,22259,43279,9817,6708,16530,2363,5130,7490,693,863,1554,533,431,960,13404,13133,26537,5735,7222,12955,4,3.3,3.6,63.8,59,61.3,61.2,57.1,59.1,717,849,1559,227,536,757,1860,3359,5213,1207,2078,3286,5462,3225,8680,197,433,628,304,555,861,5958,4214,10175,19834,21060,40901,3818,4057,7877,12564,13054,25615,9533,10478,20009
LGA12700,3858,3941,7794,1627,856,2486,510,1071,1578,175,190,359,84,70,160,2390,2191,4580,1307,1575,2883,3.5,3.3,3.4,62,55.7,58.8,59.9,53.8,56.8,116,126,240,38,90,121,333,544,875,263,476,737,1284,636,1917,30,73,101,58,126,187,1371,835,2205,4022,4015,8035,502,539,1042,2829,2786,5614,1468,1558,3028
LGA12730,3339,3570,6908,1434,875,2305,342,888,1235,111,119,229,74,61,142,1967,1938,3904,1040,1304,2352,3.9,3.2,3.5,58.9,54.3,56.5,56.6,52.6,54.5,53,68,117,21,85,106,212,426,639,199,332,532,862,506,1365,27,51,79,48,60,108,936,615,1553,3165,3300,6460,477,513,990,2272,2321,4593,1181,1301,2481
LGA12750,17234,18242,35470,4702,3068,7765,2421,4038,6460,616,666,1283,390,266,656,8133,8032,16161,7796,8890,16686,4.8,3.3,4.1,47.2,44,45.6,44.9,42.6,43.7,606,705,1309,270,545,819,1633,2386,4016,1245,2050,3301,4894,2451,7344,176,332,510,338,559,898,5410,3346,8750,15685,16348,32028,2657,2860,5519,10305,10712,21013,7250,7738,14992
LGA12850,83245,87055,170303,18868,13667,32534,7932,10481,18416,7224,5387,12618,3524,2552,6075,37544,32098,69645,40151,49315,89464,9.4,8,8.7,45.1,36.9,40.9,40.9,33.9,37.3,1588,1795,3375,369,746,1113,8383,9838,18220,5311,6987,12301,10803,6267,17070,611,1113,1731,1073,1613,2689,12493,8998,21490,86106,88686,174791,9419,9620,19042,61524,63615,125135,29242,30086,59330
LGA12870,5218,5376,10591,2076,1118,3184,542,1288,1830,165,209,378,98,90,185,2881,2699,5576,1932,2287,4226,3.4,3.3,3.4,55.2,50.2,52.7,53.3,48.6,50.9,56,83,138,43,104,147,256,518,777,260,481,740,1574,828,2396,39,90,130,71,100,172,1677,1022,2704,4899,4997,9894,789,808,1596,3379,3444,6822,2037,2128,4164
LGA12900,3734,3797,7532,1687,957,2644,403,884,1287,117,139,263,81,75,161,2292,2054,4349,1116,1437,2555,3.7,3.7,3.7,61.4,54.1,57.7,59.1,52.1,55.6,50,92,142,19,72,92,228,482,702,176,336,503,976,518,1494,41,76,117,60,115,181,1080,712,1794,3658,3745,7400,548,589,1141,2580,2621,5203,1403,1476,2870
LGA12930,62326,65447,127771,21260,16345,37610,9008,12886,21897,5764,4873,10635,2225,1631,3859,38264,35741,73999,20960,26176,47134,5.8,4.6,5.2,61.4,54.6,57.9,57.8,52.1,54.9,6075,5904,11982,900,1527,2426,13733,15340,29076,5966,7479,13445,8510,4187,12696,394,703,1093,1036,1651,2683,9937,6542,16476,59643,62014,121661,11246,10776,22020,40231,42797,83027,27233,26928,54159
LGA12950,1729,1801,3529,707,383,1089,139,414,557,59,77,139,49,37,89,951,919,1875,546,659,1205,5,4.3,4.7,55.1,51.1,53.1,52.3,48.9,50.6,13,26,38,10,20,29,75,245,322,55,143,196,417,256,678,13,26,41,27,40,70,467,319,787,1643,1654,3304,172,221,393,1247,1237,2488,458,541,1001
LGA13010,3725,3811,7532,1156,763,1923,440,778,1221,112,125,242,124,102,226,1842,1768,3604,1513,1654,3169,6.8,5.7,6.2,49.4,46.4,47.9,46,43.8,44.9,49,66,116,32,78,109,233,398,633,179,345,528,884,550,1434,48,92,140,63,86,142,996,723,1717,3288,3366,6653,515,606,1120,2332,2360,4690,1297,1457,2759
LGA13310,13406,13252,26656,5517,3387,8906,1533,3001,4539,475,560,1033,363,286,650,7887,7243,15124,4660,5186,9850,4.6,4,4.3,58.8,54.6,56.7,56.1,52.4,54.3,352,432,784,154,320,476,1025,1587,2617,941,1470,2413,3680,2081,5760,123,230,351,229,382,610,4029,2687,6715,12372,12493,24864,2304,2360,4663,8208,8101,16309,5680,6010,11686
LGA13340,4403,4366,8762,1929,1034,2959,486,1175,1655,155,173,329,96,63,160,2656,2441,5099,1368,1563,2929,3.6,2.5,3.1,60.4,56,58.2,58.2,54.5,56.4,73,105,185,33,103,135,299,600,905,250,463,712,1209,670,1885,50,70,114,52,102,152,1307,846,2151,4403,4238,8640,613,668,1279,3094,2939,6032,1657,1712,3372
LGA13450,11057,10983,22039,5821,3228,9044,1218,2867,4090,318,404,726,243,185,428,7603,6688,14285,2443,3387,5829,3.2,2.8,3,68.8,60.9,64.8,66.6,59.2,62.9,250,291,543,69,191,257,911,1363,2270,583,891,1475,2628,1356,3984,68,198,269,136,269,405,2837,1824,4656,10774,10745,21516,1578,1585,3155,7080,7105,14181,4553,4508,9056
LGA13550,5043,5111,10152,2512,1391,3904,477,1218,1692,180,212,389,132,132,266,3299,2953,6251,1257,1733,2990,4,4.5,4.2,65.4,57.8,61.6,62.8,55.2,59,80,102,176,27,96,128,324,593,916,216,465,677,1415,816,2232,60,94,155,74,139,216,1552,1052,2601,4925,4909,9836,888,950,1839,3224,3158,6380,2218,2362,4574
LGA13660,2013,2065,4080,805,424,1229,169,435,602,57,60,114,49,37,86,1072,964,2035,750,918,1668,4.6,4.1,4.3,53.4,46.7,50,50.9,44.8,47.8,19,32,51,8,30,40,107,229,337,81,193,272,458,263,723,29,32,62,38,40,80,519,343,867,1930,1947,3884,252,278,526,1409,1445,2851,682,697,1380
LGA13800,26647,27563,54212,11502,7087,18592,3801,6679,10485,1978,2205,4182,614,495,1111,17902,16476,34376,7461,9824,17288,3.4,3,3.2,67.2,59.8,63.4,64.9,58,61.4,779,1159,1938,260,657,920,2064,3726,5789,2047,3385,5426,8852,4074,12923,209,562,764,434,792,1221,9494,5423,14914,27406,27720,55123,4001,4148,8155,18803,19019,37821,10787,11180,21969
LGA13850,1206,1212,2417,518,277,800,125,291,409,41,50,86,34,18,57,715,639,1354,341,440,775,4.8,3.1,4,59.1,52.5,55.8,56.3,50.9,53.6,5,17,22,3,24,27,64,96,160,64,101,163,265,168,441,10,20,35,10,15,22,294,206,496,1078,1084,2167,164,174,341,785,783,1565,397,412,803
LGA13910,7568,7990,15565,3101,1740,4840,817,1862,2677,255,321,577,204,171,371,4375,4093,8464,2554,3294,5847,4.6,4.2,4.4,57.8,51.2,54.4,55.1,49,52,137,165,306,41,128,169,477,924,1400,404,758,1166,1917,1117,3040,83,150,233,122,209,326,2126,1476,3598,7480,7754,15232,1085,1144,2221,5173,5300,10472,2900,3155,6054
LGA14000,58854,63234,122086,26816,18316,45127,8343,14417,22760,2983,3688,6667,1734,1468,3203,39871,37880,77754,17266,23245,40512,4.3,3.9,4.1,67.8,59.9,63.7,64.8,57.6,61.1,8752,8005,16754,1476,2393,3874,15504,18029,33533,5444,7248,12694,7902,3919,11816,369,626,994,1006,1751,2763,9280,6295,15574,62172,64926,127097,9136,9325,18459,42696,44664,87360,25254,26360,51613
LGA14100,5207,5793,11002,2213,1439,3647,749,1181,1927,284,322,602,110,108,213,3347,3048,6394,1600,2340,3941,3.2,3.5,3.4,64.2,52.6,58.1,62.2,50.8,56.2,751,720,1477,125,225,352,1574,1626,3194,410,661,1072,479,241,726,23,51,80,77,137,217,582,435,1021,5304,5575,10886,718,787,1501,3766,4027,7794,2040,2089,4134
LGA14170,74434,79377,153814,34648,30059,64708,10839,15932,26769,4309,5013,9325,2482,2090,4575,52275,53101,105372,18511,22867,41382,4.7,3.9,4.3,70.2,66.9,68.5,66.9,64.3,65.5,9647,12074,21715,2044,3450,5490,21517,25324,46841,6449,7640,14087,8039,4114,12152,452,660,1107,1045,1426,2469,9534,6199,15731,66277,69713,135991,16840,17944,34783,40734,43778,84518,38520,40298,78815
LGA14220,7092,7377,14466,2635,1634,4274,742,1603,2348,226,252,478,260,204,471,3873,3697,7567,2502,3035,5542,6.8,5.5,6.2,54.6,50.1,52.3,50.9,47.3,49.1,65,109,174,44,123,172,403,738,1144,351,621,974,1815,1160,2972,77,162,242,88,198,283,1980,1519,3500,6566,6768,13334,1248,1308,2549,4543,4649,9188,2806,3021,5833
LGA14300,3177,2223,5408,1088,530,1621,202,527,729,75,93,170,74,45,119,1438,1198,2633,1594,894,2488,5.1,3.6,4.4,45.3,53.8,48.8,43,51.8,46.6,20,40,65,19,48,67,127,258,388,125,196,319,635,380,1016,31,41,79,36,63,100,700,484,1185,2248,2201,4448,370,336,703,1530,1516,3048,942,880,1820
