RA_CODE_2021,DC0_4FSEOMSEO,DC0_4FSEOMUolsEVww,DC0_4FSEOMUolNwna,DC0_4FSEOMUol_pEns,DC0_4FSEOMUolsET,DC0_4FSEOM_LpEns,DC0_4FSEOMT,DC0_4FUolsEVwwMSEO,DC0_4FUolsEVwwMUolsEVww,DC0_4FUolsEVwwMUolNwna,DC0_4FUolsEVwwMUol_pEns,DC0_4FUolsEVwwMUolsET,DC0_4FUolsEVwwM_LpEns,DC0_4FUolsEVwwMT,DC0_4FUolNwnaMSEO,DC0_4FUolNwnaMUolsEVww,DC0_4FUolNwnaMUolNwna,DC0_4FUolNwnaMUol_pEns,DC0_4FUolNwnaMUolsET,DC0_4FUolNwnaM_LpEns,DC0_4FUolNwnaMT,DC0_4FUol_pEnsMSEO,DC0_4FUol_pEnsMUolsEVww,DC0_4FUol_pEnsMUolNwna,DC0_4FUol_pEnsMUol_pEns,DC0_4FUol_pEnsMUolsET,DC0_4FUol_pEnsM_LpEns,DC0_4FUol_pEnsMT,DC0_4FUolsETMSEO,DC0_4FUolsETMUolsEVww,DC0_4FUolsETMUolNwna,DC0_4FUolsETMUol_pEns,DC0_4FUolsETMUolsET,DC0_4FUolsETM_LpEns,DC0_4FUolsETMT,DC0_4F_LpEnsMSEO,DC0_4F_LpEnsMUolsEVww,DC0_4F_LpEnsMUolNwna,DC0_4F_LpEnsMUol_pEns,DC0_4F_LpEnsMUolsET,DC0_4F_LpEnsM_LpEns,DC0_4F_LpEnsMT,DC0_4FTMSEO,DC0_4FTMUolsEVww,DC0_4FTMUolNwna,DC0_4FTMUol_pEns,DC0_4FTMUolsET,DC0_4FTM_LpEns,DC0_4FTMT,DC5_9FSEOMSEO,DC5_9FSEOMUolsEVww,DC5_9FSEOMUolNwna,DC5_9FSEOMUol_pEns,DC5_9FSEOMUolsET,DC5_9FSEOM_LpEns,DC5_9FSEOMT,DC5_9FUolsEVwwMSEO,DC5_9FUolsEVwwMUolsEVww,DC5_9FUolsEVwwMUolNwna,DC5_9FUolsEVwwMUol_pEns,DC5_9FUolsEVwwMUolsET,DC5_9FUolsEVwwM_LpEns,DC5_9FUolsEVwwMT,DC5_9FUolNwnaMSEO,DC5_9FUolNwnaMUolsEVww,DC5_9FUolNwnaMUolNwna,DC5_9FUolNwnaMUol_pEns,DC5_9FUolNwnaMUolsET,DC5_9FUolNwnaM_LpEns,DC5_9FUolNwnaMT,DC5_9FUol_pEnsMSEO,DC5_9FUol_pEnsMUolsEVww,DC5_9FUol_pEnsMUolNwna,DC5_9FUol_pEnsMUol_pEns,DC5_9FUol_pEnsMUolsET,DC5_9FUol_pEnsM_LpEns,DC5_9FUol_pEnsMT,DC5_9FUolsETMSEO,DC5_9FUolsETMUolsEVww,DC5_9FUolsETMUolNwna,DC5_9FUolsETMUol_pEns,DC5_9FUolsETMUolsET,DC5_9FUolsETM_LpEns,DC5_9FUolsETMT,DC5_9F_LpEnsMSEO,DC5_9F_LpEnsMUolsEVww,DC5_9F_LpEnsMUolNwna,DC5_9F_LpEnsMUol_pEns,DC5_9F_LpEnsMUolsET,DC5_9F_LpEnsM_LpEns,DC5_9F_LpEnsMT,DC5_9FTMSEO,DC5_9FTMUolsEVww,DC5_9FTMUolNwna,DC5_9FTMUol_pEns,DC5_9FTMUolsET,DC5_9FTM_LpEns,DC5_9FTMT,DC10_12FSEOMSEO,DC10_12FSEOMUolsEVww,DC10_12FSEOMUolNwna,DC10_12FSEOMUol_pEns,DC10_12FSEOMUolsET,DC10_12FSEOM_LpEns,DC10_12FSEOMT,DC10_12FUolsEVwwMSEO,DC10_12FUolsEVwwMUolsEVww,DC10_12FUolsEVwwMUolNwna,DC10_12FUolsEVwwMUol_pEns,DC10_12FUolsEVwwMUolsET,DC10_12FUolsEVwwM_LpEns,DC10_12FUolsEVwwMT,DC10_12FUolNwnaMSEO,DC10_12FUolNwnaMUolsEVww,DC10_12FUolNwnaMUolNwna,DC10_12FUolNwnaMUol_pEns,DC10_12FUolNwnaMUolsET,DC10_12FUolNwnaM_LpEns,DC10_12FUolNwnaMT,DC10_12FUol_pEnsMSEO,DC10_12FUol_pEnsMUolsEVww,DC10_12FUol_pEnsMUolNwna,DC10_12FUol_pEnsMUol_pEns,DC10_12FUol_pEnsMUolsET,DC10_12FUol_pEnsM_LpEns,DC10_12FUol_pEnsMT,DC10_12FUolsETMSEO,DC10_12FUolsETMUolsEVww,DC10_12FUolsETMUolNwna,DC10_12FUolsETMUol_pEns,DC10_12FUolsETMUolsET,DC10_12FUolsETM_LpEns,DC10_12FUolsETMT,DC10_12F_LpEnsMSEO,DC10_12F_LpEnsMUolsEVww,DC10_12F_LpEnsMUolNwna,DC10_12F_LpEnsMUol_pEns,DC10_12F_LpEnsMUolsET,DC10_12F_LpEnsM_LpEns,DC10_12F_LpEnsMT,DC10_12FTMSEO,DC10_12FTMUolsEVww,DC10_12FTMUolNwna,DC10_12FTMUol_pEns,DC10_12FTMUolsET,DC10_12FTM_LpEns,DC10_12FTMT,DC13_14FSEOMSEO,DC13_14FSEOMUolsEVww,DC13_14FSEOMUolNwna,DC13_14FSEOMUol_pEns,DC13_14FSEOMUolsET,DC13_14FSEOM_LpEns,DC13_14FSEOMT,DC13_14FUolsEVwwMSEO,DC13_14FUolsEVwwMUolsEVww,DC13_14FUolsEVwwMUolNwna,DC13_14FUolsEVwwMUol_pEns,DC13_14FUolsEVwwMUolsET,DC13_14FUolsEVwwM_LpEns,DC13_14FUolsEVwwMT,DC13_14FUolNwnaMSEO,DC13_14FUolNwnaMUolsEVww,DC13_14FUolNwnaMUolNwna,DC13_14FUolNwnaMUol_pEns,DC13_14FUolNwnaMUolsET,DC13_14FUolNwnaM_LpEns,DC13_14FUolNwnaMT,DC13_14FUol_pEnsMSEO,DC13_14FUol_pEnsMUolsEVww,DC13_14FUol_pEnsMUolNwna,DC13_14FUol_pEnsMUol_pEns,DC13_14FUol_pEnsMUolsET,DC13_14FUol_pEnsM_LpEns,DC13_14FUol_pEnsMT,DC13_14FUolsETMSEO,DC13_14FUolsETMUolsEVww,DC13_14FUolsETMUolNwna,DC13_14FUolsETMUol_pEns,DC13_14FUolsETMUolsET,DC13_14FUolsETM_LpEns,DC13_14FUolsETMT,DC13_14F_LpEnsMSEO,DC13_14F_LpEnsMUolsEVww,DC13_14F_LpEnsMUolNwna,DC13_14F_LpEnsMUol_pEns,DC13_14F_LpEnsMUolsET,DC13_14F_LpEnsM_LpEns,DC13_14F_LpEnsMT,DC13_14FTMSEO,DC13_14FTMUolsEVww,DC13_14FTMUolNwna,DC13_14FTMUol_pEns,DC13_14FTMUolsET,DC13_14FTM_LpEns,DC13_14FTMT,DC15_17FSEOMSEO,DC15_17FSEOMUolsEVww,DC15_17FSEOMUolNwna,DC15_17FSEOMUol_pEns
RA31,31400,497,10,0,504,42,31942,961,2581,75,0,2658,6,3619,31,195,226,0,414,0,451,10,10,0,6,12,0,17,995,2783,299,6,3091,3,4092,45,15,8,0,26,41,110,32442,3292,314,6,3616,82,36145,34845,427,11,0,442,44,35328,1025,2661,104,3,2763,7,3794,32,193,344,0,539,4,579,0,5,0,0,10,0,11,1061,2852,446,7,3311,7,4379,50,15,3,0,16,45,109,35954,3296,466,5,3765,94,39814,22839,266,6,0,275,22,23134,575,1401,52,0,1457,3,2035,16,130,221,0,347,0,365,3,5,0,3,9,0,10,597,1533,268,11,1812,3,2409,29,8,0,0,8,39,74,23463,1806,280,6,2094,61,25616,15404,157,4,0,163,24,15590,337,796,31,0,828,4,1170,7,72,128,0,197,0,202,4,0,0,5,5,0,6,349,860,160,6,1029,4,1384,13,3,0,0,3,24,43,15768,1026,170,6,1194,51,17012,17964,182,9,0
RA32,21288,536,9,0,541,36,21862,1145,2417,83,5,2504,8,3655,27,220,166,0,384,0,413,3,8,0,13,13,0,18,1175,2641,253,14,2907,8,4089,21,10,0,0,10,42,80,22481,3187,257,17,3467,82,26025,23242,488,12,0,500,28,23775,1021,2467,103,6,2571,0,3599,30,264,237,0,500,0,530,6,4,0,6,11,0,19,1051,2736,335,13,3082,0,4140,36,6,0,0,11,30,73,24328,3241,348,11,3593,68,27986,14663,249,3,0,252,15,14932,540,1273,50,0,1327,5,1875,11,129,122,3,255,0,269,4,0,0,10,12,0,12,563,1404,179,13,1591,4,2154,16,5,0,0,6,18,40,15239,1656,183,11,1850,39,17126,9578,161,5,5,164,12,9752,361,780,28,3,808,0,1169,16,79,92,0,175,0,190,0,0,0,3,3,0,6,378,862,121,5,991,5,1366,20,0,0,0,0,14,30,9974,1023,125,6,1157,27,11155,11145,157,5,0
RA33,2700,66,0,0,66,4,2767,100,285,6,0,292,0,384,0,19,0,0,20,0,22,0,0,0,0,0,0,0,94,307,6,0,313,0,410,0,0,0,0,0,11,9,2801,373,6,0,376,11,3186,2779,62,0,0,62,4,2852,69,242,0,0,245,0,314,0,6,0,0,11,0,11,0,3,0,0,3,0,3,69,256,5,0,259,0,330,3,0,0,0,0,9,13,2859,319,5,0,326,13,3192,1475,30,0,0,30,0,1504,46,141,0,0,140,0,188,0,4,4,0,5,0,7,0,0,0,0,0,0,0,47,144,4,0,148,0,194,0,0,0,0,0,3,5,1520,178,4,0,183,3,1706,843,12,0,0,12,0,855,20,80,0,0,79,0,102,0,4,5,0,6,0,6,0,0,0,0,0,0,0,20,82,5,0,91,0,109,4,0,0,0,0,4,10,865,92,5,0,99,0,965,867,6,0,0
RA34,1627,48,0,0,48,4,1681,49,565,23,4,582,0,636,4,11,17,0,26,0,31,0,3,0,0,9,0,11,65,581,33,5,620,0,680,0,0,0,0,0,14,14,1686,629,33,5,671,17,2376,1606,38,0,0,42,6,1649,57,627,28,0,655,0,711,0,16,14,0,29,0,29,0,0,0,4,11,0,9,60,644,41,4,698,0,749,6,0,0,0,0,12,19,1665,683,44,9,739,17,2415,847,14,0,0,14,4,873,28,336,21,0,358,0,387,3,12,4,0,15,0,17,0,4,0,12,15,0,15,33,350,19,12,384,0,415,0,0,0,0,0,10,12,882,371,19,12,399,16,1302,418,11,0,0,11,0,432,18,155,12,0,162,0,186,0,3,7,0,10,0,10,0,0,0,5,7,0,7,18,160,11,5,183,0,201,0,0,0,0,0,9,9,437,176,11,5,196,10,645,340,9,0,0
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,36264,1478,19,0,1493,24,37780,2525,14541,685,15,15240,10,17775,59,1495,795,7,2301,4,2367,5,14,3,3,25,0,31,2588,16055,1482,29,17569,15,20175,25,36,14,0,50,36,106,38874,17570,1510,29,19108,81,58064,37174,1222,15,4,1239,10,38427,2230,14531,694,10,15230,4,17461,46,1525,1070,9,2595,5,2646,0,22,0,10,30,0,36,2279,16070,1763,20,17858,10,20144,16,21,3,0,22,68,106,39470,17314,1783,25,19121,89,58682,22650,648,17,4,667,9,23332,1129,6700,358,11,7070,4,8201,23,897,739,0,1637,4,1661,5,15,0,12,24,0,31,1157,7608,1097,22,8726,8,9887,16,8,8,0,16,28,61,23823,8271,1120,22,9411,45,33280,15206,391,8,0,396,9,15608,685,3828,226,0,4056,4,4748,16,559,556,0,1117,0,1137,5,4,0,3,12,3,15,705,4390,784,10,5187,0,5893,21,7,0,0,7,6,36,15926,4785,794,10,5593,20,21541,19518,504,11,0
RA41,5671,75,5,3,82,0,5751,170,239,6,0,245,0,421,3,23,22,0,46,0,47,0,0,0,0,0,0,0,174,261,37,0,294,0,468,5,0,0,0,0,26,35,5848,337,37,3,374,29,6248,6406,91,5,0,95,0,6501,154,215,5,0,219,0,372,3,19,20,0,40,0,37,0,0,0,0,0,0,0,158,231,21,0,256,0,413,8,0,0,0,0,16,27,6572,325,23,0,353,19,6944,4137,36,0,0,36,3,4175,81,118,4,0,124,0,207,0,10,12,0,19,0,20,0,0,0,0,0,0,0,81,127,18,0,145,0,226,3,0,0,0,0,8,11,4220,163,18,0,186,15,4414,2851,19,0,0,23,3,2873,51,85,0,0,89,0,133,5,11,8,0,16,0,20,0,0,0,0,0,0,0,52,95,6,0,102,0,153,5,0,0,0,0,9,7,2904,117,7,0,129,11,3043,3444,22,0,0
RA42,6266,65,4,0,72,12,6352,152,464,24,4,492,0,646,0,48,44,0,93,0,97,3,3,0,0,3,0,9,156,522,68,4,589,0,746,3,0,0,0,0,12,17,6433,586,74,4,665,19,7117,6754,75,5,0,85,11,6848,140,432,37,0,465,0,615,0,44,56,0,100,0,99,0,0,0,0,0,0,0,143,480,85,0,565,0,713,8,0,0,0,0,15,28,6907,561,91,0,651,25,7587,4264,41,0,0,41,3,4314,74,208,16,0,226,0,300,0,22,51,0,70,0,70,0,0,0,0,0,0,0,74,228,63,0,289,0,363,7,0,0,0,0,11,20,4347,271,63,0,336,20,4698,2808,26,0,0,26,7,2841,57,112,6,0,118,0,176,0,19,27,0,46,0,53,0,0,0,0,0,0,3,58,132,31,0,163,0,226,0,0,0,0,0,8,9,2869,160,31,0,192,12,3082,3182,30,0,0
RA43,1704,9,0,0,17,3,1723,48,80,0,0,80,0,132,0,3,0,0,3,0,3,0,0,0,0,0,0,0,48,83,0,0,83,0,138,0,0,0,0,0,5,3,1755,100,0,0,101,6,1857,1758,28,0,0,29,0,1789,42,72,0,0,76,0,119,0,4,0,0,4,0,4,0,0,0,0,0,0,0,42,77,0,0,77,0,120,6,0,0,0,0,5,12,1805,104,0,0,106,10,1920,1065,19,0,0,20,0,1087,17,28,0,0,28,0,51,0,5,0,0,5,0,5,0,0,0,0,0,0,0,20,34,0,0,34,0,54,3,0,0,0,0,5,7,1090,52,0,0,56,5,1147,616,4,0,0,4,0,624,6,17,0,0,17,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,0,0,23,0,26,0,0,0,0,0,0,0,626,26,0,0,26,0,650,676,8,0,0
RA44,339,14,0,0,14,0,351,16,167,3,3,171,0,194,0,0,3,0,3,0,7,0,0,0,11,11,0,11,17,167,9,9,187,0,208,0,0,0,0,0,0,0,355,181,9,9,198,3,558,402,7,0,0,11,0,414,15,148,0,0,155,0,169,0,0,3,0,5,0,4,0,0,0,10,11,0,11,15,156,3,10,163,0,180,0,0,0,0,0,3,3,419,163,3,5,170,5,595,240,3,0,0,9,0,249,8,59,0,0,60,0,71,0,0,0,0,0,0,0,0,0,0,9,9,0,9,8,59,0,9,67,0,78,0,0,0,0,0,5,5,245,62,0,9,74,5,324,144,0,0,0,0,0,148,0,46,3,0,53,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,46,0,0,50,0,57,0,0,0,0,0,0,0,144,47,0,0,53,0,201,121,0,0,0
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,61673,2775,36,10,2815,58,64546,5867,24853,750,23,25630,32,31532,130,2077,1002,12,3088,0,3224,7,29,3,11,46,0,55,6009,26962,1760,42,28766,36,34807,69,72,0,0,75,86,234,67752,29810,1794,57,31659,187,99588,60995,2104,22,7,2131,35,63172,5046,24739,771,19,25526,25,30598,151,2233,1295,13,3542,0,3698,9,32,7,9,46,0,59,5212,27005,2079,33,29118,23,34349,49,60,6,0,66,92,211,66254,29174,2108,44,31321,159,97734,37623,1049,16,4,1064,37,38729,2519,12083,411,17,12513,13,15042,64,1163,792,3,1954,3,2028,8,12,3,9,19,0,30,2593,13251,1206,32,14490,19,17101,25,25,3,0,26,49,97,40240,14328,1219,37,15585,104,55928,25319,601,4,7,611,18,25943,1463,6947,263,9,7218,6,8692,29,713,558,6,1275,4,1303,3,12,0,3,16,0,20,1496,7669,820,22,8511,10,10020,23,14,0,0,20,32,75,26834,8290,828,28,9139,60,36032,31310,751,6,3
RA51,7255,170,5,0,170,17,7444,344,685,17,0,702,0,1045,14,37,19,0,55,0,70,0,7,0,0,7,0,7,362,725,32,0,761,0,1124,10,0,3,0,0,10,26,7625,897,34,0,939,27,8587,8396,146,0,0,148,10,8551,329,679,18,0,695,0,1028,16,48,13,0,63,0,72,0,0,0,5,5,0,5,342,726,33,5,756,0,1101,15,0,0,0,0,12,32,8753,871,32,0,905,22,9679,5263,81,0,0,81,10,5350,182,421,3,0,429,0,609,3,20,5,0,21,0,30,0,0,0,0,5,0,5,186,443,10,0,458,0,641,11,0,0,0,0,9,24,5464,515,18,0,534,22,6017,3595,44,0,0,45,7,3647,104,230,0,0,232,0,343,0,6,0,0,10,0,10,0,0,0,0,0,0,0,106,242,3,0,245,0,353,5,0,0,0,0,7,8,3708,283,10,0,288,16,4004,4179,41,0,0
RA52,6084,135,0,0,130,5,6223,256,671,7,0,677,4,939,0,42,40,0,76,0,77,4,0,0,0,0,0,4,259,708,44,0,753,4,1018,17,0,0,0,0,24,40,6362,838,47,0,884,37,7277,6371,93,0,0,93,11,6478,260,689,11,0,701,0,955,5,45,37,0,82,0,86,0,0,0,0,0,0,0,263,732,48,0,778,0,1040,10,0,0,0,6,22,30,6645,828,48,0,876,30,7556,3791,63,0,0,63,0,3861,119,353,11,0,361,0,483,6,27,25,0,47,0,53,0,0,0,0,0,0,0,120,373,35,0,414,0,533,0,0,0,0,0,13,17,3917,440,35,0,476,14,4406,2435,30,0,0,32,6,2474,80,237,4,0,241,0,329,6,18,31,0,50,0,52,0,0,0,0,0,0,0,88,256,33,4,291,0,376,4,0,0,0,3,10,11,2526,290,35,0,329,11,2863,2554,32,0,0
RA53,3780,87,0,5,93,8,3874,247,432,0,0,439,3,692,13,10,0,0,10,0,21,0,0,0,0,0,0,0,257,442,5,3,455,3,712,3,0,0,0,0,14,14,4038,532,5,4,547,22,4605,3817,78,0,3,83,4,3905,224,419,14,0,428,0,657,5,9,5,0,8,0,16,0,0,0,0,0,0,0,233,429,14,0,439,0,671,3,0,0,0,0,15,20,4051,506,9,0,524,23,4594,2043,50,0,0,50,0,2099,90,208,3,0,211,0,304,3,10,3,0,12,0,12,0,0,0,0,0,0,0,92,220,3,0,223,0,318,0,0,0,0,0,5,10,2144,268,3,0,274,5,2420,1106,28,0,0,29,0,1136,47,106,3,0,114,0,162,0,0,0,0,8,0,5,6,0,0,0,0,0,6,44,114,6,0,118,0,166,0,0,0,0,0,5,6,1154,139,6,0,146,5,1306,965,13,0,0
RA54,1666,81,0,0,85,3,1751,125,540,7,5,552,0,682,0,13,15,0,29,0,31,0,0,0,15,12,0,14,129,552,27,17,596,0,724,3,0,0,0,0,14,11,1790,636,31,17,678,18,2487,1576,59,4,0,63,0,1642,90,525,7,4,538,3,629,0,17,14,0,33,0,32,3,0,0,8,9,0,12,90,538,24,13,579,3,670,7,0,0,0,0,14,21,1673,609,24,13,647,20,2335,797,23,0,0,20,0,815,49,296,6,4,303,0,349,0,7,10,0,18,0,18,3,0,0,4,3,0,8,48,305,15,4,322,0,371,6,0,0,0,0,7,8,848,327,19,4,349,7,1198,390,11,0,0,11,0,403,19,176,6,0,178,0,202,0,4,4,0,11,0,15,0,0,0,0,3,0,3,21,179,11,0,195,0,215,0,0,0,0,0,0,7,414,197,11,0,210,0,625,300,14,0,0
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,10631,218,0,0,219,6,10856,396,2065,77,6,2145,0,2545,4,185,118,0,303,0,310,0,4,0,0,3,0,6,400,2251,191,6,2453,0,2854,5,9,0,0,9,10,16,11042,2475,192,6,2679,10,13728,11383,195,0,0,195,7,11586,379,1427,75,0,1497,4,1877,0,135,132,3,267,0,271,0,4,0,0,4,0,4,384,1564,208,3,1767,4,2152,6,0,0,0,0,10,20,11768,1761,205,0,1965,18,13763,7183,127,6,0,131,7,7321,222,564,31,0,591,0,817,4,67,94,0,164,0,168,0,0,0,0,0,0,0,230,634,124,0,758,0,986,9,0,0,0,0,13,21,7420,758,130,0,887,21,8331,4711,69,0,0,69,0,4782,115,272,20,0,287,0,401,3,44,62,0,102,0,109,0,0,0,0,0,0,0,116,311,83,0,398,0,511,5,0,3,0,3,4,9,4832,382,83,0,474,6,5306,5764,89,0,0
RA62,6300,73,4,0,73,18,6388,164,286,4,0,291,0,457,4,18,3,0,21,0,25,0,0,0,0,0,0,0,169,300,14,0,313,0,485,14,0,0,0,0,12,26,6483,375,12,0,390,32,6903,6706,58,0,0,58,11,6775,159,194,4,0,199,0,357,7,7,5,0,13,0,19,0,0,0,0,0,0,0,165,205,11,0,215,0,378,10,0,0,0,0,23,35,6881,265,11,0,274,36,7188,4312,26,0,0,26,13,4349,92,98,4,0,103,0,193,5,5,3,0,3,0,10,0,0,0,0,0,0,0,93,100,3,0,110,0,203,7,0,0,0,0,11,22,4413,129,3,0,134,31,4577,3000,14,0,0,14,9,3024,36,59,0,0,64,0,97,0,0,0,0,0,0,3,0,0,0,0,0,0,0,35,66,0,0,66,0,101,0,0,0,0,0,12,14,3039,73,0,0,75,22,3132,3360,15,0,0
RA63,221,4,0,0,4,0,222,6,18,0,0,18,0,24,0,5,0,0,5,0,5,0,0,0,0,0,0,0,6,21,0,0,21,0,28,0,0,0,0,0,0,0,227,24,0,0,24,0,251,230,0,0,0,0,0,230,10,17,0,0,17,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,0,17,0,23,0,0,0,0,0,0,0,236,15,0,0,15,0,258,116,0,0,0,0,0,116,0,4,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,10,0,0,0,0,0,0,0,120,5,0,0,5,0,128,67,0,0,0,0,0,67,0,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,7,0,0,0,0,0,0,0,69,5,0,0,5,0,74,65,0,0,0
RA64,76,3,0,0,3,0,78,6,3,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,14,0,0,0,0,0,0,0,82,3,0,0,3,0,89,90,3,0,0,3,0,93,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,96,5,0,0,5,0,98,50,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,6,0,0,6,0,59,23,0,0,0,0,0,32,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,25,0,0,0,0,0,30,15,4,0,0
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,4111,206,5,0,207,4,4325,515,1930,59,4,1996,4,2515,22,79,36,0,118,0,141,0,0,0,0,0,0,0,536,2007,97,9,2120,4,2658,8,4,0,0,3,3,18,4655,2218,104,9,2329,11,7000,3851,176,4,3,185,3,4036,419,1672,60,7,1736,0,2151,16,95,60,0,160,0,177,0,0,0,0,5,0,6,438,1768,119,11,1893,0,2333,4,0,5,0,3,14,22,4290,1946,120,14,2082,17,6391,2226,93,0,0,94,0,2327,204,783,36,3,826,0,1026,10,59,40,0,100,0,110,0,0,0,0,0,0,4,210,849,77,7,928,0,1144,4,0,0,0,0,4,6,2445,941,77,7,1025,6,3478,1446,56,0,0,60,0,1506,123,465,28,0,489,0,611,6,41,28,0,72,0,74,0,0,0,0,0,0,0,127,502,56,0,559,0,688,5,0,0,0,0,0,3,1579,559,52,0,616,0,2199,1559,55,0,0
RA73,1215,81,0,0,78,0,1293,105,785,21,0,806,0,908,0,20,20,0,39,0,45,0,4,0,8,6,0,6,102,807,40,6,850,0,956,0,0,0,0,0,16,16,1316,885,40,10,932,12,2265,1139,51,0,0,51,0,1197,95,769,9,0,779,0,879,0,18,30,0,45,0,45,0,7,0,6,10,0,10,96,788,40,6,831,3,930,0,0,0,0,0,11,11,1237,840,38,10,888,15,2136,692,31,0,0,32,0,726,57,401,13,0,407,0,464,5,6,16,0,30,0,31,0,8,0,0,8,0,10,60,412,24,0,440,0,500,0,0,0,0,0,4,3,755,446,30,0,478,6,1235,373,9,0,0,9,0,383,19,198,3,0,205,0,222,0,6,9,0,15,0,15,0,0,0,0,0,0,0,20,207,11,0,218,0,242,0,0,0,0,0,0,0,392,221,11,0,228,0,624,401,11,0,0
