RA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_ns,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arr_ns,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_ns,Canada_Tot,Ch_ex_SARs_Taiw_Before_1951,Ch_ex_SARs_Taiw_1951_1960,Ch_ex_SARs_Taiw_1961_1970,Ch_ex_SARs_Taiw_1971_1980,Ch_ex_SARs_Taiw_1981_1990,Ch_ex_SARs_Taiw_1991_2000,Ch_ex_SARs_Taiw_2001_2010,Ch_ex_SARs_Taiw_2011_2015,Ch_ex_SARs_Taiw_2016,Ch_ex_SARs_Taiw_2017,Ch_ex_SARs_Taiw_2018,Ch_ex_SARs_Taiw_2019,Ch_ex_SARs_Taiw_2020,Ch_ex_SARs_Taiw_2021,Ch_ex_SARs_Taiw_Yr_arr_ns,Ch_ex_SARs_Taiw_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_ns,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_ns,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_ns,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arr_ns,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_ns,Greece_Tot,Ho_Ko_SAR_China_Before_1951,Ho_Ko_SAR_China_1951_1960,Ho_Ko_SAR_China_1961_1970,Ho_Ko_SAR_China_1971_1980,Ho_Ko_SAR_China_1981_1990,Ho_Ko_SAR_China_1991_2000,Ho_Ko_SAR_China_2001_2010,Ho_Ko_SAR_China_2011_2015,Ho_Ko_SAR_China_2016,Ho_Ko_SAR_China_2017,Ho_Ko_SAR_China_2018,Ho_Ko_SAR_China_2019,Ho_Ko_SAR_China_2020,Ho_Ko_SAR_China_2021,Ho_Ko_SAR_China_arrival_ns,Ho_Ko_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arr_ns,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,0,0,0,13,98,330,1130,1689,243,234,162,214,138,118,101,4462,0,0,5,28,52,245,1082,588,126,138,173,139,61,28,28,2714,23,79,419,866,1038,1130,2279,1612,299,355,438,437,273,121,133,9499,101,331,334,371,2424,3757,16232,10568,3083,3377,3382,4593,1612,244,961,51379,27,275,1026,364,192,703,211,68,16,10,7,5,7,4,82,3005,81,251,292,143,182,177,506,315,74,82,76,116,67,28,76,2456,25,80,267,671,2682,2634,3110,1274,213,222,240,262,130,68,254,12137,1470,2237,1393,1049,1849,1212,2247,910,204,196,212,299,152,75,359,13856,124,768,962,312,162,115,105,156,14,25,23,16,6,12,170,2952,36,89,220,618,1951,2490,2006,1507,441,380,475,630,498,195,247,11777,160,149,673,761,1248,2417,21196,13807,3240,3505,4681,5501,1936,436,1016,60732,80,263,218,323,622,1101,1722,903,232,264,276,332,216,33,139,6715,4,20,32,99,485,472,1832,2784
RA31,0,0,0,0,0,8,38,87,22,25,12,3,3,0,5,208,0,0,0,0,7,30,175,102,17,37,32,24,15,4,3,442,10,34,148,220,194,218,339,249,39,65,48,66,32,27,31,1712,17,46,27,23,90,125,657,419,113,174,200,317,87,12,65,2355,7,51,130,44,23,32,11,10,0,4,3,0,0,0,14,325,12,14,37,11,10,7,50,41,7,14,17,52,14,6,8,304,9,20,48,76,181,185,305,158,23,29,29,45,30,3,47,1189,361,829,579,384,544,247,392,152,27,37,19,43,24,8,115,3757,9,30,61,21,15,0,5,15,0,0,5,0,0,0,10,173,11,9,38,36,57,60,86,78,21,22,26,34,23,0,14,511,25,30,110,63,64,118,1600,1274,362,402,455,589,255,88,122,5558,13,72,55,36,53,84,156,106,34,16,46,73,43,11,39,822,0,0,12,18,38,25,59,109
RA32,0,0,0,3,0,8,11,29,0,3,0,3,0,10,9,72,0,0,0,5,6,8,45,39,3,4,9,11,8,0,0,144,0,20,105,195,173,191,345,211,45,29,66,64,37,12,34,1542,18,27,20,25,111,115,505,364,86,138,168,237,61,17,38,1925,9,50,145,30,12,21,5,3,3,0,0,0,5,0,17,310,11,19,34,19,7,17,45,31,7,8,6,17,0,0,9,224,6,19,46,75,131,126,207,130,13,25,31,35,14,6,25,891,234,514,390,262,472,272,565,247,30,42,67,98,39,0,84,3308,14,73,101,34,14,11,13,19,3,4,0,5,0,0,15,288,10,10,27,46,81,59,97,103,24,8,29,28,22,7,9,549,16,26,88,86,108,159,1650,1226,308,254,342,510,228,54,138,5198,7,63,52,42,47,106,213,156,46,50,74,106,50,9,20,1050,0,0,0,7,28,15,36,42
RA33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,16,15,18,28,21,3,9,5,9,8,0,9,142,0,0,0,0,7,4,20,19,8,5,10,41,6,0,0,115,0,3,11,6,0,0,0,0,0,0,0,0,0,0,0,17,0,6,0,0,0,0,0,0,0,0,0,4,0,0,5,14,0,0,3,4,24,22,53,27,5,6,8,14,13,0,10,184,25,48,35,14,23,19,16,13,4,5,9,13,7,0,5,231,0,4,4,5,4,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,5,7,3,0,0,0,3,0,0,0,24,0,0,5,0,9,3,76,64,16,17,15,21,5,14,6,255,0,3,0,0,0,10,16,21,6,0,5,8,5,0,5,82,0,0,0,0,0,0,0,4
RA34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,6,4,9,12,10,0,8,0,3,4,0,4,68,0,6,3,0,5,7,18,12,3,4,9,8,3,0,0,70,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,5,0,3,14,13,12,5,0,10,4,8,0,0,7,85,12,31,8,7,12,13,13,14,6,3,0,10,3,0,3,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,14,0,0,3,0,0,0,35,38,5,12,13,8,10,4,0,133,6,0,0,3,0,5,7,5,0,0,5,18,4,0,4,56,0,0,0,0,0,0,0,0
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,0,0,0,0,32,359,2465,2867,406,396,379,553,150,163,111,7883,0,0,4,3,13,58,672,688,101,152,196,135,96,12,22,2157,3,21,143,244,315,277,490,278,57,76,75,101,62,29,26,2200,23,127,129,244,844,1170,7539,5873,1728,1913,1701,2349,685,81,371,24785,33,342,798,279,135,577,209,28,7,9,3,4,3,0,57,2490,38,213,126,48,98,96,328,235,52,84,64,110,55,6,33,1586,7,19,42,82,241,199,293,94,20,30,34,26,19,3,19,1131,1232,2238,1008,508,580,363,616,285,22,56,49,81,52,7,214,7326,90,2535,3198,665,226,113,116,220,28,19,3,26,10,3,245,7498,11,15,67,162,522,539,695,589,232,249,247,320,306,66,84,4108,78,82,394,363,388,837,13222,8510,2642,2960,4649,5661,2288,231,538,42832,18,73,48,91,150,250,463,382,108,94,131,131,76,10,41,2054,0,3,13,31,394,515,1071,1775
RA41,0,0,0,0,0,0,3,5,0,3,0,0,0,0,0,15,0,0,0,0,0,0,10,12,0,7,3,0,3,0,0,32,0,4,12,40,32,35,47,20,0,7,10,8,0,0,3,219,3,12,8,0,6,9,108,101,30,20,28,27,3,3,6,362,0,16,27,6,10,3,0,4,0,0,0,0,0,0,0,68,0,7,5,0,0,0,0,3,0,0,0,3,0,0,0,22,0,3,4,3,7,4,7,10,0,0,3,3,0,0,0,54,140,316,176,89,115,54,77,36,5,0,4,12,6,0,28,1053,3,52,38,17,5,0,0,0,0,0,0,0,0,0,10,131,0,4,0,6,10,8,4,7,0,3,0,0,7,0,7,51,12,5,31,20,13,17,98,73,14,29,27,39,12,0,15,397,0,10,7,3,8,5,10,16,4,8,5,7,0,0,0,91,0,0,0,0,4,0,7,3
RA42,0,0,0,0,0,14,68,134,14,23,0,19,9,0,12,281,0,0,0,0,0,0,12,20,0,3,14,0,0,0,0,46,0,5,11,11,14,8,39,4,3,5,0,5,6,0,9,123,0,5,5,8,11,9,95,81,41,63,50,55,9,5,12,435,0,41,79,12,0,3,0,0,0,0,0,0,0,0,12,153,0,5,9,0,0,0,11,0,0,8,5,11,3,4,0,60,0,0,4,3,15,10,18,14,0,0,0,15,0,0,5,90,112,317,128,55,47,15,37,18,0,0,0,0,4,0,29,763,7,119,198,29,20,7,4,7,0,0,0,0,0,0,33,430,0,0,0,9,3,5,3,12,3,6,0,3,4,0,7,62,3,6,19,47,49,84,389,240,64,99,146,161,68,12,24,1413,5,6,3,9,5,14,20,16,14,0,13,22,20,0,6,158,0,0,0,0,0,4,13,12
RA43,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,5,3,8,6,12,4,0,5,0,0,0,0,0,44,0,0,0,0,0,7,15,9,4,5,0,12,0,0,3,55,0,26,15,23,9,0,0,0,0,0,0,0,0,0,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,3,6,3,0,0,0,0,0,0,0,20,19,64,25,12,19,3,8,7,7,0,0,4,0,0,6,183,5,3,7,0,0,0,4,0,0,0,0,0,0,0,0,19,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,13,0,0,8,4,3,3,42,28,4,12,26,25,3,0,3,157,0,0,0,0,0,0,10,7,4,3,0,14,5,0,0,55,0,0,0,0,0,0,0,6
RA44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,5,4,0,0,0,5,0,0,0,23,0,9,22,3,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,3,0,0,0,0,0,0,0,17,5,14,6,6,8,5,7,9,0,0,0,4,0,0,3,66,0,11,27,13,3,0,0,5,0,0,0,0,0,0,3,56,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,19,30,4,7,16,12,3,0,6,95,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0
