RA_CODE_2021,Ag_Frs_Fsh_Mgr,Ag_Frs_Fsh_Pfn,Ag_Frs_Fsh_Tch_trwk,Ag_Frs_Fsh_Co_Pswk,Ag_Frs_Fsh_Cl_Adwk,Ag_Frs_Fsh_Sal,Ag_Frs_Fsh_MchOp,Ag_Frs_Fsh_Lab,Ag_Frs_Fsh_Inad_ns,Ag_Frs_Fsh_To,Min_Mgr,Min_Pfn,Min_Tch_trwk,Min_Co_Pswk,Min_Cl_Adwk,Min_Sal,Min_MchOp,Min_Lab,Min_Inad_ns,Min_To,Manf_Mgr,Manf_Pfn,Manf_Tch_trwk,Manf_Co_Pswk,Manf_Cl_Adwk,Manf_Sal,Manf_MchOp,Manf_Lab,Manf_Inad_ns,Manf_To,ElecGWWSvc_Mgr,ElecGWWSvc_Pfn,ElecGWWSvc_Tch_trwk,ElecGWWSvc_Co_Pswk,ElecGWWSvc_Cl_Adwk,ElecGWWSvc_Sal,ElecGWWSvc_MchOp,ElecGWWSvc_Lab,ElecGWWSvc_Inad_ns,ElecGWWSvc_To,Con_Mgr,Con_Pfn,Con_Tch_trwk,Con_Co_Pswk,Con_Cl_Adwk,Con_Sal,Con_MchOp,Con_Lab,Con_Inad_ns,Con_To,WhlTr_Mgr,WhlTr_Pfn,WhlTr_Tch_trwk,WhlTr_Co_Pswk,WhlTr_Cl_Adwk,WhlTr_Sal,WhlTr_MchOp,WhlTr_Lab,WhlTr_Inad_ns,WhlTr_To,ReTr_Mgr,ReTr_Pfn,ReTr_Tch_trwk,ReTr_Co_Pswk,ReTr_Cl_Adwk,ReTr_Sal,ReTr_MchOp,ReTr_Lab,ReTr_Inad_ns,ReTr_To,Acc_Fdsvc_Mgr,Acc_Fdsvc_Pfn,Acc_Fdsvc_Tch_trwk,Acc_Fdsvc_Co_Pswk,Acc_Fdsvc_Cl_Adwk,Acc_Fdsvc_Sal,Acc_Fdsvc_MchOp,Acc_Fdsvc_Lab,Acc_Fdsvc_Inad_ns,Acc_Fdsvc_To,TrPo_wh_Mgr,TrPo_wh_Pfn,TrPo_wh_Tch_trwk,TrPo_wh_Co_Pswk,TrPo_wh_Cl_Adwk,TrPo_wh_Sal,TrPo_wh_MchOp,TrPo_wh_Lab,TrPo_wh_Inad_ns,TrPo_wh_To,InMe_Telco_Mgr,InMe_Telco_Pfn,InMe_Telco_Tch_trwk,InMe_Telco_Co_Pswk,InMe_Telco_Cl_Adwk,InMe_Telco_Sal,InMe_Telco_MchOp,InMe_Telco_Lab,InMe_Telco_Inad_ns,InMe_Telco_To,FinIn_Mgr,FinIn_Pfn,FinIn_Tch_trwk,FinIn_Co_Pswk,FinIn_Cl_Adwk,FinIn_Sal,FinIn_MchOp,FinIn_Lab,FinIn_Inad_ns,FinIn_To,REst_Mgr,REst_Pfn,REst_Tch_trwk,REst_Co_Pswk,REst_Cl_Adwk,REst_Sal,REst_MchOp,REst_Lab,REst_Inad_ns,REst_To,PSc_Tech_Mgr,PSc_Tech_Pfn,PSc_Tech_Tch_trwk,PSc_Tech_Co_Pswk,PSc_Tech_Cl_Adwk,PSc_Tech_Sal,PSc_Tech_MchOp,PSc_Tech_Lab,PSc_Tech_Inad_ns,PSc_Tech_To,AdmSu_Mgr,AdmSu_Pfn,AdmSu_Tch_trwk,AdmSu_Co_Pswk,AdmSu_Cl_Adwk,AdmSu_Sal,AdmSu_MchOp,AdmSu_Lab,AdmSu_Inad_ns,AdmSu_To,PubAd_Sf_Mgr,PubAd_Sf_Pfn,PubAd_Sf_Tch_trwk,PubAd_Sf_Co_Pswk,PubAd_Sf_Cl_Adwk,PubAd_Sf_Sal,PubAd_Sf_MchOp,PubAd_Sf_Lab,PubAd_Sf_Inad_ns,PubAd_Sf_To,EdTr_Mgr,EdTr_Pfn,EdTr_Tch_trwk,EdTr_Co_Pswk,EdTr_Cl_Adwk,EdTr_Sal,EdTr_MchOp,EdTr_Lab,EdTr_Inad_ns,EdTr_To,Hlth_SAss_Mgr,Hlth_SAss_Pfn,Hlth_SAss_Tch_trwk,Hlth_SAss_Co_Pswk,Hlth_SAss_Cl_Adwk,Hlth_SAss_Sal,Hlth_SAss_MchOp,Hlth_SAss_Lab,Hlth_SAss_Inad_ns,Hlth_SAss_To,ArtRec_Mgr,ArtRec_Pfn,ArtRec_Tch_trwk,ArtRec_Co_Pswk,ArtRec_Cl_Adwk,ArtRec_Sal,ArtRec_MchOp,ArtRec_Lab,ArtRec_Inad_ns,ArtRec_To,OthS_Mgr,OthS_Pfn,OthS_Tch_trwk,OthS_Co_Pswk,OthS_Cl_Adwk,OthS_Sal,OthS_MchOp,OthS_Lab,OthS_Inad_ns,OthS_To,Inad_ns_Mgr,Inad_ns_Pfn,Inad_ns_Tch_trwk,Inad_ns_Co_Pswk,Inad_ns_Cl_Adwk,Inad_ns_Sal,Inad_ns_MchOp,Inad_ns_Lab,Inad_ns_Inad_ns,Inad_ns_To
RA25,0,0,0,0,0,0,0,0,0,0,9,0,19,0,0,0,10,0,0,40,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,19,13,21,0,0,18,22,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,15
RA30,2874,669,808,56,789,294,488,3567,120,9658,3103,4822,2696,107,1452,100,2656,433,240,15603,16083,8032,22948,1159,9536,4880,12170,17604,1138,93529,2913,4206,3119,58,2601,395,2477,966,287,17021,20492,7812,71173,238,16201,2304,9490,21275,2013,150988,8961,5675,3189,251,6796,6245,6502,2310,459,40395,24483,8484,8210,1398,8929,78563,8813,13693,963,153536,18672,1909,14558,32299,4220,17083,3214,24838,761,117568,8216,6924,3789,2177,15322,2701,33560,4704,1029,78425,3276,7407,3010,220,2653,1803,287,399,292,19342,7791,18826,732,202,21021,2533,99,176,1023,52396,4969,3475,1078,287,5543,14359,765,1352,472,32296,18309,75405,12252,430,21754,2007,584,1173,1183,133101,6157,7423,4286,4421,8977,1307,1620,22572,702,57465,13077,25302,6000,19915,24623,508,1658,3682,1839,96602,11864,80998,3740,28989,13375,521,360,4649,865,145365,14500,103304,8435,81503,35639,1575,1441,7669,1707,255769,5051,6323,2882,8221,2643,1487,496,2010,492,29605,6182,6087,24946,11847,6439,1235,928,4912,530,63106,9941,9648,9158,3471,9173,4587,7044,7486,13873,74378
RA31,9226,681,1064,48,1130,228,1576,6750,241,20937,909,827,4338,62,678,71,4900,616,255,12654,3616,1730,8756,315,2674,1269,4274,7035,397,30070,644,720,2186,22,947,125,1105,622,130,6510,4126,982,18098,78,4276,447,4876,6387,469,39745,1557,771,1643,38,1431,1992,1532,875,87,9935,5787,1048,2922,366,2043,22792,1514,4168,228,40859,4411,156,2999,7118,997,4150,772,7001,192,27783,1750,1138,1628,284,3680,497,9087,1119,233,19420,328,638,461,18,333,339,46,50,33,2245,743,1809,86,35,3306,271,23,46,102,6410,650,309,342,59,1127,2633,252,286,96,5745,1571,7827,2923,81,4416,205,141,348,157,17662,803,1094,1315,837,1264,158,661,6178,110,12412,2426,4362,2257,5479,5253,148,1072,2043,378,23415,2470,20082,1329,8861,3513,92,164,2005,218,38740,3132,22625,2092,27014,8919,363,384,3044,461,68038,611,788,621,1073,374,189,52,504,57,4271,1215,1142,8895,2501,1889,320,311,1687,140,18107,1786,1222,3102,1069,1975,1049,1823,2678,4205,18908
RA32,10318,559,815,121,1093,197,1838,6474,214,21622,1131,1410,5420,92,815,53,7349,680,336,17283,1858,900,5019,154,1388,750,2277,2469,204,15023,426,482,1633,10,568,83,776,399,98,4468,2970,713,12304,32,2800,236,3349,3863,330,26592,1080,420,970,14,956,1551,1068,426,78,6562,4124,804,1895,261,1369,16200,912,3064,139,28770,4340,231,3124,6603,1250,3066,547,6468,185,25817,1528,1275,1129,664,2516,643,6595,944,201,15498,259,494,425,15,308,203,21,50,21,1789,494,1129,38,18,1813,95,11,37,64,3699,573,222,331,72,795,1864,185,326,61,4444,1161,5913,1961,89,2923,146,96,342,106,12736,783,871,928,792,911,168,1033,4902,117,10510,2934,3998,2429,6747,5282,136,1222,1650,441,24839,1896,14357,848,6290,2490,61,78,1443,137,27604,2213,17164,1290,16758,5907,242,239,1821,356,45991,583,674,380,1045,331,199,50,346,54,3665,864,1100,6096,1816,1456,229,194,1113,88,12955,1321,917,2124,848,1345,718,1182,1733,3196,13390
RA33,3612,90,140,3,236,34,338,1453,64,5973,440,852,2114,29,333,12,2538,318,105,6744,149,68,412,13,102,41,191,171,13,1161,53,34,205,0,38,7,104,61,15,526,276,87,972,7,253,7,524,424,36,2594,107,46,112,0,108,131,72,30,3,615,348,55,148,24,93,1122,71,215,10,2091,581,50,508,757,166,193,58,754,21,3089,152,72,85,22,266,57,612,80,12,1366,13,33,22,0,13,16,0,6,0,104,40,54,3,0,113,6,0,3,9,233,61,18,39,12,54,115,38,48,10,401,61,348,148,0,200,10,13,40,11,837,64,71,122,59,95,6,169,430,8,1031,203,320,150,488,424,15,156,215,35,2006,196,1231,78,661,233,5,9,167,14,2589,171,1295,114,1074,471,21,16,174,28,3379,46,68,22,42,23,6,12,26,3,249,67,60,558,118,147,20,21,92,6,1095,124,74,217,64,130,64,167,197,461,1495
RA34,2431,124,215,21,148,19,151,1581,39,4724,138,264,740,23,99,7,1005,116,32,2421,95,52,293,15,52,33,90,161,3,794,15,10,135,0,30,3,44,48,0,289,211,56,736,4,140,9,492,323,18,1993,65,12,32,0,36,72,38,68,12,335,299,45,128,20,68,761,36,144,17,1515,402,22,277,411,94,66,21,424,20,1737,103,141,68,26,193,32,357,115,14,1050,12,40,30,5,8,7,0,0,0,103,21,37,0,0,86,7,0,6,5,159,46,11,14,3,37,53,38,12,7,220,56,251,87,5,154,3,13,22,7,599,51,79,63,99,58,15,93,226,8,696,398,415,355,579,639,35,337,462,60,3274,195,1061,74,622,187,0,5,148,11,2303,205,1089,101,887,365,14,22,196,25,2909,61,109,24,39,29,5,0,32,4,297,39,82,310,60,85,10,7,61,12,662,74,43,118,62,67,40,71,116,453,1046
RA35,0,22,0,0,0,0,0,20,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,16,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
RA40,2556,373,529,21,452,165,394,2142,120,6757,737,1269,1055,25,418,20,1063,224,80,4893,7323,4833,9808,656,4214,2455,4944,8483,556,43264,1436,1831,1582,21,1413,321,1116,502,184,8406,6721,2338,25891,447,4978,796,3282,7751,853,53051,3139,1839,1494,75,2348,2517,2597,1192,209,15408,9346,2965,3349,606,3182,33602,3069,6620,381,63121,7029,452,5818,12089,1112,5496,799,9794,289,42879,2531,1393,1237,800,5373,889,12800,1315,350,26695,1077,2759,1356,33,1272,806,60,136,119,7612,2661,6421,277,118,10009,762,29,58,355,20696,1269,870,317,135,1593,3439,204,363,147,8336,5809,26557,4532,150,7375,496,196,393,463,45972,2065,2743,2236,2481,3615,359,642,10340,317,24779,6376,12330,2969,10179,11472,229,521,1157,703,45938,4831,33855,1719,11195,5655,123,124,559,390,58450,5693,42939,3724,37435,14949,597,765,4040,830,110978,1753,2105,873,3102,829,404,60,462,163,9749,2283,2479,10535,4623,2639,519,354,2058,235,25720,2523,2348,2508,1133,2332,1198,2030,2523,4314,20907
RA41,3722,146,356,16,369,108,285,1858,73,6931,89,86,251,0,51,5,367,62,19,927,1369,716,1602,139,734,428,680,2054,98,7822,135,78,285,0,132,17,215,92,30,988,881,139,3303,25,685,82,792,1238,110,7254,339,136,227,9,229,411,209,148,17,1729,1098,183,511,92,350,3959,253,764,50,7250,937,26,634,1362,130,436,57,1227,31,4827,355,108,152,52,586,89,1428,163,30,2957,52,184,105,0,73,47,10,21,7,500,139,344,13,8,534,52,0,8,24,1120,108,59,33,11,174,366,23,51,10,839,380,1369,544,20,721,33,12,43,25,3137,200,200,472,207,255,29,116,1520,25,3028,544,834,335,1042,846,19,116,170,57,3974,413,3228,249,1467,578,6,37,101,30,6099,566,3181,345,4390,1404,72,42,494,73,10559,176,210,195,216,75,38,6,140,17,1073,239,196,1635,358,278,43,32,217,23,3023,353,191,370,119,254,142,213,388,666,2699
RA42,6862,281,649,20,594,101,867,3230,125,12724,143,113,533,7,67,4,684,62,42,1656,1008,541,2073,83,549,297,1685,1966,155,8354,123,57,361,3,103,33,212,169,31,1075,697,138,3094,34,577,72,966,1029,68,6678,313,172,203,4,281,553,235,163,25,1945,1282,180,624,75,361,4685,214,966,26,8411,1037,18,635,1386,186,651,82,1580,41,5622,323,106,196,18,658,122,1762,197,45,3413,49,148,71,3,49,54,4,12,0,393,122,228,19,3,495,48,24,28,12,971,80,37,24,13,153,312,12,35,9,685,148,830,389,6,553,38,14,63,15,2048,142,245,289,226,210,21,130,1577,30,2872,425,693,282,1285,946,42,196,316,62,4251,466,3561,191,1821,656,11,55,123,32,6914,516,3657,361,5222,1410,76,53,755,93,12135,93,119,86,141,46,20,4,69,3,586,211,214,1628,448,322,68,40,275,22,3226,294,160,415,174,200,133,328,538,872,3108
RA43,2238,146,240,6,184,35,190,836,31,3905,153,261,727,14,110,0,832,166,42,2309,100,41,240,23,49,59,67,139,9,727,26,8,91,0,24,10,44,43,11,264,243,70,982,8,168,15,290,298,28,2101,89,50,82,0,79,148,44,48,3,552,277,43,125,23,81,1003,43,203,8,1808,299,4,203,381,75,112,7,349,22,1441,113,65,41,31,112,51,354,83,19,867,11,29,20,0,20,9,0,0,0,87,35,61,0,0,146,15,0,0,3,259,17,14,13,0,32,81,8,14,0,179,66,292,91,0,178,6,3,17,10,670,47,62,114,64,43,9,18,325,3,689,110,148,40,270,185,12,40,68,16,887,112,840,51,380,146,3,33,21,9,1589,88,767,54,984,267,7,7,135,18,2330,15,29,29,34,21,8,0,17,0,149,38,52,379,97,58,17,5,73,5,726,68,46,94,34,60,26,46,103,212,682
RA44,661,31,59,0,45,12,34,287,9,1137,49,104,346,14,29,5,444,89,15,1097,18,9,43,7,9,7,15,21,0,123,12,6,32,0,5,5,23,20,3,102,69,10,189,22,37,3,142,84,8,557,13,11,5,0,12,30,5,10,0,89,104,10,50,5,29,228,13,44,0,472,127,8,68,89,36,32,0,151,4,509,41,16,25,3,44,5,127,39,4,302,0,9,4,0,3,0,0,0,0,20,5,8,0,0,29,0,0,6,0,48,4,0,0,5,3,17,0,0,0,25,19,71,15,3,42,0,6,4,0,158,18,13,26,18,14,0,9,89,6,194,71,66,36,129,86,0,12,35,5,446,46,377,20,166,57,0,15,16,0,708,38,303,20,291,78,0,3,67,9,817,21,85,3,3,0,4,0,13,0,125,19,25,100,39,29,4,7,18,3,242,33,30,36,14,20,13,21,29,99,296
RA45,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,8,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,2237,487,585,20,601,216,490,2080,99,6816,8235,15978,13604,423,5261,208,11031,2862,913,58515,8606,5321,16019,804,5699,2697,7421,7279,628,54471,1809,2684,2002,57,2001,223,1458,820,236,11289,11246,6261,40923,371,9887,1352,6143,12127,1042,89349,5242,3496,3368,88,4108,3535,4255,1710,310,26105,13772,4425,4991,958,4965,49526,4497,9166,447,92744,9791,861,9296,19555,1829,8796,1680,14485,360,66645,4525,3637,2181,1641,9600,1349,20909,2180,506,46524,1360,3156,1565,79,1122,1037,118,314,86,8839,3623,9369,322,197,10498,896,55,99,504,25576,2251,1503,791,143,3076,6214,382,655,202,15215,10618,45130,9549,313,12184,804,816,844,647,80901,3081,4044,3281,2440,3809,500,1171,13423,330,32079,7683,14959,4298,14983,14675,233,815,2599,1126,61370,7069,50468,3103,19800,7443,237,147,3117,403,91792,7774,58381,5722,46354,20642,782,1122,5065,923,146764,2911,3451,1550,6170,1698,895,126,1248,194,18233,3594,3641,16487,7936,4052,608,592,3249,268,40423,5909,6712,7376,2423,6010,2584,4752,5080,7771,48618
RA51,2463,130,328,15,258,55,309,1492,61,5108,516,693,2531,61,359,19,2627,428,125,7349,1087,603,2401,174,596,380,1329,1678,100,8342,169,148,637,4,222,15,305,208,52,1760,1022,315,5163,26,1103,110,1347,1778,106,10993,375,170,298,9,321,408,271,148,21,2019,1402,261,622,92,485,5292,324,1150,44,9670,1222,52,944,1899,341,851,147,1963,40,7459,368,171,247,85,731,113,1880,177,41,3812,72,148,99,7,52,98,4,22,4,514,157,389,5,4,592,48,0,11,19,1232,129,83,69,10,331,587,56,59,9,1334,317,1722,657,15,873,51,44,75,35,3780,272,249,438,215,255,26,151,1547,29,3185,633,1027,618,1460,1276,27,176,475,81,5762,584,4259,351,2227,603,14,19,459,34,8542,566,4542,498,4784,1755,83,91,501,76,12879,164,248,210,299,117,46,9,138,22,1258,319,275,1993,577,436,57,78,333,33,4102,446,310,756,206,445,209,447,573,908,4301
RA52,5639,249,587,17,435,104,538,2282,72,9922,557,889,2290,52,413,21,2861,381,90,7548,481,197,1099,40,332,168,519,899,47,3784,101,67,305,0,123,14,177,106,28,924,651,131,3130,29,671,59,824,943,50,6483,364,214,432,5,295,481,356,134,24,2303,1115,190,517,62,411,3933,247,983,26,7483,940,25,637,1304,223,554,103,1456,28,5281,412,176,298,63,666,108,2005,238,38,3998,52,117,79,10,46,59,5,15,3,385,117,249,8,7,451,42,3,10,16,901,113,44,81,7,197,386,36,67,8,943,207,1210,537,15,638,28,45,90,29,2793,114,160,275,115,165,25,71,1058,10,1992,539,778,380,1401,931,25,268,467,66,4853,566,3694,307,1789,522,14,22,463,32,7407,495,3746,396,3683,1428,58,57,492,63,10412,104,158,78,195,55,31,3,81,11,719,233,169,1731,425,378,70,47,275,17,3339,350,197,592,177,349,191,328,427,780,3393
RA53,3495,105,226,21,254,49,308,872,39,5366,521,727,2714,51,443,9,1926,429,176,6993,202,90,544,16,100,68,149,107,24,1307,83,46,204,4,102,10,154,86,21,717,429,140,1790,10,399,14,581,637,61,4067,200,96,234,0,145,225,215,51,27,1199,537,101,201,26,137,1503,92,371,16,2980,589,28,413,565,223,246,29,796,25,2919,375,419,342,79,503,87,1197,256,46,3306,33,65,53,0,24,18,4,3,0,210,69,95,0,0,184,11,0,0,6,366,101,27,75,9,121,239,26,47,7,647,145,553,223,10,226,7,17,34,17,1235,126,114,244,88,126,11,70,634,11,1419,429,449,216,779,601,14,185,189,55,2910,358,1959,143,918,279,10,4,193,17,3885,290,1867,148,1323,708,31,21,135,31,4550,86,101,48,102,47,12,9,32,10,447,140,104,789,195,210,36,38,124,13,1654,215,213,410,94,232,82,184,240,432,2098
RA54,1226,129,140,12,127,21,149,696,18,2515,1147,2237,5801,201,633,17,6859,1113,192,18197,150,89,303,18,71,26,171,99,6,935,64,34,139,3,43,0,90,63,8,443,379,260,1793,11,288,9,987,761,40,4534,87,59,195,0,53,79,91,34,6,605,367,78,163,32,83,841,45,180,14,1806,518,42,582,488,240,110,91,808,34,2916,169,205,114,65,233,62,654,97,21,1624,21,46,45,3,16,6,0,7,3,161,46,79,0,5,87,3,4,4,4,235,62,21,88,12,69,108,34,86,7,487,165,660,346,24,187,18,56,57,10,1523,138,154,264,162,129,37,229,538,27,1670,338,398,177,737,470,15,79,199,37,2451,329,1396,117,753,208,4,10,115,25,2949,230,1348,97,909,426,21,16,126,22,3204,73,202,20,58,38,5,9,30,4,455,96,98,524,134,113,10,24,102,13,1110,105,125,197,83,97,30,147,159,418,1372
RA55,11,21,15,0,0,0,0,61,0,106,35,82,275,3,20,0,58,57,9,533,3,3,24,0,0,0,0,0,0,44,7,14,9,0,0,0,11,11,0,50,12,21,106,0,0,0,28,46,5,218,0,5,11,0,0,0,0,3,0,27,3,0,3,0,0,4,0,3,0,10,0,0,22,0,0,0,0,29,0,62,9,61,25,19,6,0,36,46,3,204,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,7,0,32,15,0,5,0,0,8,0,55,0,7,26,6,0,0,0,18,0,64,0,0,3,7,0,0,0,3,0,25,0,5,0,0,0,0,0,0,0,12,4,7,0,3,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,8,4,0,4,0,0,0,0,0,0,11,8,44,83,11,4,0,27,64,7,242
RA61,1103,354,324,19,201,61,230,1275,59,3622,56,82,99,0,26,4,180,39,12,488,1323,650,2496,240,575,591,1217,1850,122,9058,509,933,544,3,612,78,363,152,82,3274,2211,374,7258,23,1059,122,947,1770,162,13920,623,288,261,17,458,745,815,232,36,3464,2398,632,897,149,801,9126,631,1513,84,16227,2034,155,2072,3730,471,1436,248,2695,100,12935,546,314,205,170,1231,249,2987,252,72,6032,301,780,341,16,295,200,16,39,22,2014,527,1096,41,13,1893,112,3,13,82,3790,282,198,64,10,347,891,28,109,36,1958,996,5494,1162,34,1714,86,22,93,80,9685,467,512,592,378,476,71,100,2087,61,4740,2020,3818,699,2468,4127,67,151,426,292,14069,1276,9491,644,3129,1601,47,39,531,93,16847,1408,10857,855,10439,3545,150,179,1258,229,28928,579,819,324,939,307,141,22,246,58,3423,637,656,2500,1068,610,108,89,629,70,6364,431,380,504,298,375,238,338,519,1156,4230
RA62,3772,285,574,26,387,77,706,2837,122,8793,112,125,425,10,65,3,732,83,18,1571,864,364,1774,140,464,282,1142,1779,110,6920,125,129,298,0,178,14,234,73,33,1098,1212,128,3572,0,572,77,859,992,92,7504,385,203,348,13,262,483,322,174,31,2223,1165,214,516,77,360,4478,291,750,41,7886,1062,31,827,1492,181,668,96,1374,32,5758,344,159,199,109,720,131,1928,337,44,3972,65,188,130,4,69,54,10,10,3,535,127,271,6,0,501,27,4,13,19,969,87,61,40,10,160,372,15,41,7,809,247,1381,505,20,848,37,13,44,21,3115,170,252,404,232,201,31,86,1053,35,2462,465,813,313,891,1156,30,172,333,94,4265,348,3493,281,1664,584,18,20,436,27,6870,535,3763,367,5414,1401,53,78,662,93,12365,175,305,153,231,77,32,6,104,10,1107,203,210,1630,414,272,46,53,290,21,3139,223,125,383,128,196,118,301,382,826,2679
RA63,198,29,24,4,13,3,19,166,0,450,39,59,132,6,16,0,216,26,9,502,38,7,23,0,0,9,4,51,0,135,12,5,31,0,0,0,14,0,0,60,38,4,94,0,13,0,46,38,4,242,4,0,0,0,7,9,11,0,0,32,46,0,18,4,9,130,6,31,0,246,136,8,119,152,47,16,0,173,6,656,19,8,12,15,28,13,40,12,0,141,3,4,3,0,3,0,0,0,0,18,8,11,0,0,18,0,0,0,0,36,8,3,0,0,6,19,0,0,0,35,8,68,20,0,16,0,0,5,0,114,18,4,21,19,3,8,4,84,0,162,10,23,13,28,21,0,16,36,4,144,17,116,6,59,16,0,3,17,0,239,9,121,6,111,28,0,3,24,0,308,3,34,7,16,3,0,0,8,0,70,6,5,44,13,10,0,5,7,6,96,17,6,4,7,7,0,7,17,45,112
RA64,200,0,7,0,6,0,7,76,5,309,0,0,0,0,0,0,0,0,0,5,15,0,16,0,6,3,6,50,0,102,0,0,19,0,0,0,4,0,0,30,28,0,41,0,5,0,13,17,0,116,4,0,0,0,0,6,0,4,0,22,8,6,10,0,4,47,6,7,0,86,13,0,20,24,0,3,0,10,0,72,9,0,3,0,16,10,20,4,0,65,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,10,0,0,0,0,3,0,3,0,15,0,21,4,0,11,0,0,0,0,32,0,5,7,0,7,0,0,13,0,28,16,6,7,13,23,0,8,15,4,85,6,43,6,18,11,0,0,10,0,87,3,50,0,43,15,0,0,21,0,133,5,0,0,0,0,0,0,3,0,12,4,0,18,3,4,0,0,4,0,32,10,3,8,0,7,0,0,4,10,42
RA65,3,5,4,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,5,50,21,20,0,0,7,49,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,50,0,7,0,4,0,0,77,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
RA72,434,82,94,6,106,19,35,213,8,1001,119,213,577,9,112,13,466,104,34,1642,297,131,818,15,230,161,209,201,15,2085,242,259,312,5,231,13,144,57,23,1294,977,266,3058,52,776,62,542,972,97,6793,259,103,167,0,207,244,265,76,14,1334,902,201,340,58,328,3086,202,504,25,5640,951,69,901,1435,302,704,118,1287,50,5826,380,423,270,204,547,138,1377,156,41,3532,88,256,130,4,79,55,9,6,6,631,136,318,9,14,446,50,0,4,10,975,185,63,58,13,193,419,23,61,14,1032,555,2381,585,37,767,27,17,44,33,4448,256,256,240,205,255,28,73,1045,27,2376,2346,3248,1111,3619,3299,51,246,162,236,14317,611,3468,161,1372,655,18,5,153,45,6488,696,4580,282,3362,1291,45,67,289,63,10680,297,355,131,310,437,62,4,64,43,1705,318,318,1227,468,365,45,41,213,30,3012,299,343,595,243,388,165,220,361,690,3304
