POA_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
POA2019,1360,4194,304,751,746,2194,1048,2943,259,431,627,1521,1828,3906,38,77,10,17,2764,5949,0,0,0,0,0,0,38,103,38,103,13,23,5220,13212,468,..,5690,13212
POA2020,1754,5291,323,872,19,63,341,931,359,742,401,956,2082,4867,3529,8462,14,26,6387,15047,0,0,0,0,0,9,34,71,35,81,34,59,8553,21413,1035,..,9592,21413
POA2021,484,1272,253,517,3281,7874,3538,8389,346,583,720,1216,1201,1703,496,683,0,0,2762,4188,0,0,0,0,0,0,60,103,60,103,4,3,6850,13957,1107,..,7954,13957
POA2022,662,1999,537,1391,985,2703,1522,4094,418,755,747,1377,486,904,1775,3321,15,42,3440,6394,0,0,0,0,0,0,298,555,300,551,16,20,5941,13068,773,..,6714,13068
POA2023,1401,4508,58,142,122,318,171,459,296,661,1210,2464,950,1838,133,225,13,36,2610,5219,0,0,0,0,0,0,16,27,16,27,6,22,4213,10234,467,..,4676,10234
POA2024,1112,3517,425,1175,499,1448,925,2625,621,1263,1144,2090,384,680,126,243,10,28,2290,4296,0,0,0,0,0,0,54,116,54,116,11,16,4393,10569,428,..,4817,10569
POA2025,552,1534,276,645,686,1672,965,2312,335,629,663,1213,369,611,200,351,10,17,1576,2817,0,0,0,0,0,0,11,25,11,25,9,10,3114,6709,535,..,3644,6709
POA2026,1342,4326,1144,3135,1017,3269,2160,6405,2428,5007,5431,10200,2409,4370,541,999,11,16,10812,20586,0,0,0,0,5,3,93,195,94,199,27,40,14436,31555,2105,..,16543,31555
POA2027,353,977,30,60,402,917,438,977,176,383,707,1314,1141,2033,964,1650,19,37,3002,5420,0,0,0,0,0,0,0,0,0,0,30,47,3823,7427,885,..,4708,7427
POA2028,303,828,13,40,179,464,195,504,179,362,669,1246,809,1483,45,77,0,0,1699,3173,0,0,0,0,0,0,21,27,21,27,3,9,2220,4535,399,..,2622,4535
POA2029,852,2619,122,379,249,633,371,1011,572,1160,1982,4009,268,482,42,55,30,68,2893,5770,0,0,0,0,0,0,71,137,71,137,8,16,4194,9546,513,..,4708,9546
POA2030,2662,8555,105,266,380,1083,480,1352,611,1277,698,1459,439,842,62,114,9,16,1822,3717,0,0,0,0,0,0,99,218,99,218,21,38,5083,13888,517,..,5602,13888
POA2031,2126,6558,1210,3284,1224,3374,2439,6659,1662,3406,4899,9503,2326,4475,398,634,32,76,9313,18096,0,0,0,0,4,3,265,529,266,532,19,34,14157,31881,1684,..,15845,31881
POA2032,1942,5655,567,1355,519,1235,1083,2591,558,1146,1355,2633,483,975,358,878,16,28,2770,5661,0,0,0,0,0,0,38,91,38,91,12,16,5850,14016,597,..,6444,14016
POA2033,934,2899,144,394,167,503,314,895,371,741,1291,2385,1229,2470,412,851,8,15,3307,6467,0,0,0,0,0,0,6,17,8,17,14,22,4582,10297,931,..,5515,10297
POA2034,1504,4864,354,946,612,1828,964,2774,1420,2841,4083,7747,599,1162,56,88,35,87,6189,11923,0,0,0,0,0,0,44,95,50,99,13,23,8717,19680,1098,..,9809,19680
POA2035,4635,14101,1168,3052,1568,4388,2737,7443,1307,2626,2298,4216,1664,3095,1084,2273,24,45,6375,12252,0,0,0,0,0,0,113,203,113,203,20,50,13882,34040,1127,..,15011,34040
POA2036,4431,13710,368,822,1797,5123,2167,5942,605,975,1895,3772,2646,5715,833,1876,45,102,6022,12446,0,0,0,0,0,0,16,29,16,29,24,54,12668,32175,1129,..,13793,32175
POA2037,347,925,746,1599,2692,6100,3445,7701,451,723,1218,1959,1179,1914,1161,2206,0,9,4017,6817,0,0,0,0,4,0,98,181,103,188,33,56,7949,15690,1188,..,9135,15690
POA2038,895,2397,1096,2691,750,1848,1839,4540,470,868,294,435,400,575,0,0,27,53,1191,1927,0,0,3,7,0,0,47,102,51,109,7,10,3987,8989,458,..,4439,8989
POA2039,907,2431,566,1358,873,2151,1443,3509,250,435,201,346,763,1361,62,109,12,29,1301,2280,0,0,0,9,0,0,58,113,59,118,3,5,3707,8347,421,..,4128,8347
POA2040,3708,10149,1488,3678,1258,3250,2740,6927,1073,2015,761,1280,675,1152,188,369,14,30,2707,4844,0,0,0,0,0,0,49,97,49,97,15,35,9225,22052,922,..,10143,22052
POA2041,1494,3999,924,2141,2008,4953,2932,7093,494,884,1045,1699,693,1188,120,207,8,21,2362,3996,0,0,14,17,0,0,13,36,26,50,12,20,6826,15154,878,..,7704,15154
POA2042,644,1720,2120,4737,2197,5447,4311,10182,662,1100,1183,1855,1222,1837,208,306,25,51,3299,5142,0,0,0,0,4,4,265,532,268,530,24,40,8558,17615,1010,..,9565,17615
POA2043,147,369,540,1138,1067,2519,1607,3654,210,342,145,256,1605,2937,968,1797,0,0,2924,5342,0,0,0,0,0,0,19,32,19,32,12,15,4711,9416,494,..,5204,9416
POA2044,1365,3787,774,1826,387,1033,1156,2866,98,173,220,401,356,712,0,0,35,71,719,1359,0,0,0,0,0,0,38,71,38,71,8,15,3289,8088,307,..,3596,8088
POA2045,1805,5247,244,586,40,114,289,699,60,125,79,119,23,36,0,0,6,10,167,285,0,0,0,0,0,0,18,41,18,41,5,5,2280,6276,109,..,2388,6276
POA2046,4952,14422,440,1134,911,2178,1352,3309,1629,3169,1242,2345,1599,3221,27,45,20,50,4524,8827,0,0,0,0,0,0,145,285,144,286,10,19,10984,26871,888,..,11871,26871
POA2047,1529,4464,387,970,163,383,547,1361,1030,2036,894,1671,768,1461,245,482,7,22,2943,5669,0,0,0,0,0,0,76,126,76,126,13,22,5103,11634,599,..,5708,11634
POA2048,598,1691,909,2287,372,1022,1282,3306,575,892,395,668,257,437,0,0,40,81,1266,2085,0,0,0,0,0,0,78,161,78,161,8,25,3228,7260,357,..,3595,7260
POA2049,1274,3486,603,1504,540,1476,1147,2987,1162,1990,514,833,921,1677,106,204,47,77,2750,4784,0,0,0,0,0,0,137,271,137,271,23,42,5339,11565,632,..,5969,11565
POA2050,128,351,472,1047,463,1177,938,2222,151,274,566,979,1399,2294,1077,1727,0,3,3197,5279,0,0,0,0,0,0,21,56,21,56,10,14,4294,7916,622,..,4910,7916
POA2060,703,1846,261,591,990,2228,1246,2815,428,760,883,1567,1315,2243,2979,5146,3,6,5605,9719,0,0,0,0,0,0,8,17,11,17,26,53,7595,14448,1341,..,8940,14448
POA2061,115,276,20,30,121,300,140,338,208,343,451,757,446,756,2066,3440,0,0,3167,5302,0,0,0,0,0,0,4,5,4,5,18,23,3443,5938,856,..,4299,5938
POA2062,769,2227,138,334,337,782,478,1117,659,1306,768,1371,363,671,68,123,0,0,1868,3483,0,0,4,6,0,0,8,19,17,24,7,4,3131,6855,375,..,3503,6855
POA2063,1619,5061,58,144,81,213,139,351,188,342,114,243,121,236,0,0,3,10,424,826,0,0,0,0,0,0,9,14,6,11,0,3,2196,6256,137,..,2337,6256
POA2064,828,2573,28,84,304,846,333,931,418,861,1115,2502,647,1383,423,1031,0,0,2606,5782,0,0,0,0,0,0,3,13,3,13,0,4,3771,9301,325,..,4097,9301
POA2065,2658,7591,630,1521,1139,2665,1766,4188,1164,2355,2508,4569,2922,5349,3620,6847,30,84,10239,19207,0,0,0,0,0,0,36,86,40,83,31,41,14740,31112,1614,..,16354,31112
POA2066,5264,16461,157,404,650,1569,809,1968,682,1265,2775,5396,2987,6012,805,1715,29,85,7279,14469,0,0,0,0,0,0,13,33,11,34,22,47,13387,32987,1086,..,14471,32987
POA2067,3186,9789,238,586,226,665,465,1252,325,744,1300,2979,1673,3908,3386,7617,31,85,6724,15340,0,0,0,0,0,3,7,5,4,9,14,22,10398,26417,1281,..,11677,26417
POA2068,4146,12662,348,901,231,644,581,1547,283,585,508,1005,454,935,25,67,15,40,1290,2626,0,0,0,0,0,0,52,117,52,117,9,17,6076,16974,440,..,6518,16974
POA2069,3728,11745,47,114,123,280,170,389,142,278,275,539,629,1395,0,0,13,34,1059,2247,0,0,0,0,0,0,3,14,3,14,5,6,4966,14392,342,..,5299,14392
POA2070,3066,10034,17,36,124,317,140,354,275,466,271,506,1197,2753,151,307,11,15,1904,4048,0,0,0,0,0,0,5,12,5,12,7,20,5126,14464,475,..,5601,14464
POA2071,2944,9521,6,24,99,185,115,207,177,335,301,657,1121,2554,0,0,12,19,1606,3567,3,0,0,0,0,0,0,4,0,8,4,11,4671,13314,451,..,5119,13314
POA2072,1473,4585,11,18,106,296,116,319,185,386,225,486,962,2172,217,493,3,10,1592,3544,0,0,0,0,0,0,104,235,104,235,5,9,3286,8687,335,..,3625,8687
POA2073,4536,14435,34,75,107,238,138,313,140,289,71,137,533,1182,265,606,22,53,1024,2269,0,0,0,4,0,0,3,11,3,16,0,0,5708,17032,367,..,6080,17032
POA2074,5848,18015,37,86,329,806,367,892,420,688,437,730,895,1934,148,323,19,37,1919,3720,0,0,7,9,0,0,6,9,10,17,7,13,8152,22662,592,..,8740,22662
POA2075,5179,16633,57,98,455,1001,506,1100,289,464,42,128,1348,3014,0,0,18,46,1702,3646,0,0,0,0,0,0,0,0,0,0,10,23,7399,21403,414,..,7814,21403
POA2076,6424,20073,89,216,566,1313,659,1527,269,458,191,353,736,1552,75,152,27,65,1299,2582,0,0,0,0,0,0,4,0,4,0,10,20,8390,24205,508,..,8902,24205
POA2077,6407,19478,124,240,644,1747,772,1985,720,1384,3021,6123,2894,6935,2606,6269,57,141,9302,20853,0,0,0,0,0,0,28,58,34,60,18,31,16522,42402,1130,..,17654,42402
POA2079,2262,6762,31,67,77,217,102,283,0,0,0,0,335,723,0,0,8,26,348,748,0,0,0,0,0,0,5,10,5,10,0,0,2716,7803,101,..,2820,7803
POA2080,559,1664,18,43,9,24,27,67,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,592,1734,28,..,619,1734
POA2081,1695,5112,9,24,78,190,81,213,0,0,0,0,0,0,0,0,10,21,10,21,0,0,0,0,0,0,0,0,0,0,3,3,1795,5343,59,..,1851,5343
POA2082,1759,5121,15,44,72,162,84,206,10,35,0,0,0,0,0,0,9,27,19,59,0,0,0,0,0,0,0,0,0,0,0,3,1866,5391,118,..,1980,5391
POA2083,681,1546,0,4,4,11,9,13,17,33,7,19,0,0,0,0,5,11,32,63,0,0,5,13,0,0,6,6,12,21,8,12,736,1651,210,..,943,1651
POA2084,1075,3322,4,15,35,91,39,104,20,40,0,0,41,76,0,0,10,14,66,131,10,11,36,50,0,0,0,5,52,60,5,12,1231,3635,69,..,1297,3635
POA2085,3191,9934,51,73,239,537,292,612,287,408,29,37,4,10,0,0,13,27,339,478,0,0,0,0,0,0,0,0,0,0,3,4,3820,11031,195,..,4011,11031
POA2086,4120,13258,41,99,148,382,186,479,110,198,9,18,0,0,0,0,33,85,153,296,0,0,0,0,0,0,0,4,0,4,7,7,4467,14055,134,..,4593,14055
POA2087,3723,11818,131,194,310,544,445,732,58,112,130,243,0,0,0,0,34,83,222,437,0,0,0,0,0,0,0,3,0,3,9,11,4400,12999,193,..,4596,12999
POA2088,4114,12460,773,1984,652,1539,1428,3524,1395,2821,2954,5110,1198,2025,619,974,68,126,6236,11052,0,0,10,19,0,0,104,204,114,226,33,47,11921,27313,1472,..,13399,27313
POA2089,499,1383,225,573,336,814,564,1387,1023,2013,1747,3173,1263,2211,430,719,0,7,4462,8120,0,0,0,0,0,0,15,26,15,26,19,36,5563,10948,886,..,6445,10948
POA2090,1057,3056,164,445,495,1251,654,1696,833,1711,1635,2983,1461,2482,693,1259,23,49,4636,8480,0,0,0,0,0,0,10,17,10,17,8,9,6370,13263,830,..,7196,13263
POA2092,2011,6433,17,59,171,452,194,512,36,67,48,88,37,69,0,0,7,17,120,244,0,0,0,0,0,0,0,6,0,6,3,4,2331,7198,126,..,2456,7198
POA2093,4571,14590,173,379,786,1951,959,2333,705,1521,1807,3600,341,593,75,129,50,119,2977,5956,0,0,6,9,0,0,66,137,76,142,11,15,8590,23040,500,..,9092,23040
POA2094,643,2027,187,486,369,840,550,1329,370,794,567,1143,196,384,136,283,0,0,1276,2603,0,0,0,0,0,0,7,25,7,25,5,8,2487,5985,219,..,2705,5985
POA2095,805,2455,433,1016,406,1050,837,2064,1225,2621,1631,3293,1702,3196,1040,1910,6,6,5604,11033,0,0,0,0,0,0,28,59,32,63,9,10,7282,15631,1362,..,8649,15631
POA2096,2364,7544,65,121,214,538,274,657,443,880,2056,3963,691,1270,101,186,27,63,3326,6365,0,0,0,0,0,0,14,29,14,29,11,21,5988,14610,511,..,6503,14610
POA2097,3582,11517,24,53,173,447,193,500,133,295,749,1533,819,1563,27,49,33,81,1761,3522,0,0,0,0,0,0,30,72,26,76,5,27,5572,15642,321,..,5895,15642
POA2099,6683,21560,143,312,965,1998,1106,2313,943,1794,4383,9161,2923,5877,585,1197,121,319,8963,18349,0,0,0,0,4,5,38,106,44,109,29,64,16831,42397,1150,..,17987,42397
POA2100,5407,17348,112,221,405,1029,523,1245,857,1575,310,639,164,332,0,0,90,223,1425,2765,0,0,0,0,0,0,24,49,22,48,22,40,7399,21452,331,..,7726,21452
POA2101,4015,12463,432,631,377,649,811,1280,572,1131,1054,2087,1037,1965,0,0,50,106,2713,5298,28,59,7,12,0,8,17,36,51,121,26,59,7612,19218,475,..,8089,19218
POA2102,1459,4699,65,163,634,1762,697,1928,140,285,235,510,254,557,0,0,11,18,639,1373,0,0,0,0,0,0,0,0,0,0,14,14,2806,8016,132,..,2938,8016
POA2103,2180,6639,108,321,548,1223,664,1542,443,865,531,908,250,457,0,0,16,36,1237,2269,0,0,0,0,0,0,43,95,43,95,13,21,4139,10566,271,..,4410,10566
POA2104,906,2597,30,63,350,558,375,621,229,293,79,101,0,0,0,0,8,18,315,418,0,0,7,9,0,0,0,0,7,9,3,13,1608,3659,164,..,1774,3659
POA2105,745,1887,0,11,13,29,11,41,9,16,10,16,0,0,0,0,0,5,17,35,0,0,4,7,0,0,0,0,4,7,11,9,791,1983,149,..,942,1983
POA2106,2352,6935,68,131,213,449,283,583,165,287,424,790,388,763,8,17,19,61,1004,1907,0,0,12,13,0,0,57,126,67,138,3,7,3713,9570,287,..,3996,9570
POA2107,4751,13686,132,189,50,128,176,311,266,551,206,372,50,108,0,3,29,60,544,1099,0,0,3,3,0,0,0,8,4,11,13,27,5495,15135,519,..,6019,15135
POA2108,730,1717,0,0,8,6,8,6,61,123,8,11,0,0,0,0,0,3,71,145,0,0,0,0,0,0,0,4,0,4,0,0,807,1876,533,..,1339,1876
POA2110,2321,7160,68,166,308,693,376,852,334,524,159,256,124,199,0,0,0,0,618,980,0,0,6,8,0,0,3,9,6,14,9,9,3333,9021,325,..,3652,9021
POA2111,2857,8713,264,575,553,1395,815,1970,307,465,1286,2085,899,1598,163,270,11,20,2662,4439,0,0,0,0,0,0,13,24,13,24,5,17,6350,15154,554,..,6899,15154
POA2112,6215,19002,747,1793,774,2115,1523,3910,378,639,2119,3834,2732,6140,1843,3775,42,94,7110,14487,0,0,0,0,0,0,6,11,6,11,18,34,14867,37450,1359,..,16231,37450
POA2113,3764,11247,364,813,766,1931,1131,2742,255,413,745,1440,1024,2056,4097,8152,21,44,6142,12104,8,15,0,0,0,0,4,11,16,25,60,95,11110,26211,1427,..,12532,26211
POA2114,3947,12067,561,1379,300,884,862,2265,268,593,1160,2067,3048,6227,721,1470,41,90,5238,10450,0,0,0,0,0,0,61,98,61,98,8,14,10117,24896,921,..,11046,24896
POA2115,2691,8122,280,669,671,1914,944,2584,104,153,111,181,571,1289,0,0,21,53,812,1680,0,0,0,0,0,0,14,27,12,27,13,30,4478,12440,315,..,4790,12440
POA2116,1406,4060,88,141,779,2217,863,2357,62,70,273,614,35,83,0,0,12,31,379,795,0,0,0,0,0,0,5,5,5,5,4,11,2653,7240,180,..,2836,7240
POA2117,4157,12755,378,754,2220,6093,2598,6845,236,404,451,858,331,642,49,74,35,92,1100,2074,0,0,0,0,0,0,18,26,19,27,14,29,7890,21730,695,..,8587,21730
POA2118,5336,16867,127,371,1018,3173,1150,3541,203,323,213,459,1693,4591,637,1818,34,92,2776,7284,0,0,0,0,0,0,0,0,0,0,9,11,9270,27706,819,..,10084,27706
POA2119,3465,10753,65,138,143,344,209,481,125,201,31,81,293,669,0,0,18,44,471,1001,0,0,0,0,0,0,4,10,4,10,13,17,4158,12263,191,..,4356,12263
POA2120,5731,17361,238,419,591,1572,825,1995,62,118,134,272,348,719,73,154,38,64,656,1328,0,0,0,0,0,0,6,15,6,15,8,15,7235,20713,344,..,7575,20713
POA2121,5858,18413,272,736,828,2386,1104,3125,138,230,1333,3216,2621,6509,992,2360,61,145,5150,12463,0,0,0,0,0,0,0,3,0,3,28,63,12142,34068,960,..,13102,34068
POA2122,5064,15699,951,2409,2551,6208,3500,8614,317,514,1787,3774,716,1546,147,353,56,126,3020,6316,0,0,0,0,0,3,46,116,48,123,25,47,11664,30805,903,..,12570,30805
POA2125,4827,15347,31,68,318,810,352,878,124,170,0,0,15,39,0,0,18,41,155,246,0,0,0,0,0,0,0,0,0,0,0,3,5333,16477,185,..,5523,16477
POA2126,4881,15864,147,332,899,2403,1048,2740,59,75,0,0,0,0,0,0,24,75,80,147,0,4,0,0,0,0,4,5,4,11,0,4,6016,18759,198,..,6210,18759
POA2127,760,2565,0,0,342,1096,342,1096,5,16,243,569,3775,7815,5318,10959,0,0,9345,19365,0,0,0,0,0,0,0,0,0,0,65,144,10516,23168,1608,..,12131,23168
POA2128,251,824,5,12,170,510,177,525,26,68,54,140,321,717,0,0,0,0,402,929,0,0,0,0,0,0,0,0,0,0,0,6,832,2281,96,..,931,2281
POA2130,619,1737,273,696,260,602,535,1297,1030,1908,657,1135,227,439,126,245,4,3,2032,3728,0,0,0,0,0,0,3,4,3,4,10,17,3203,6775,378,..,3581,6775
POA2131,2083,6394,399,935,314,857,709,1789,1658,3205,3279,6664,1509,3119,252,559,16,38,6724,13583,0,0,0,0,0,0,44,109,44,109,19,55,9583,21932,1104,..,10686,21932
POA2132,2074,6355,327,840,321,964,653,1807,351,695,198,406,350,652,112,228,16,35,1032,2017,0,0,0,0,0,0,32,69,32,69,8,8,3800,10251,226,..,4028,10251
POA2133,1941,5860,321,838,815,2331,1139,3176,593,1007,293,537,99,171,0,0,12,30,994,1745,0,0,0,0,0,0,19,42,22,43,7,3,4095,10827,294,..,4391,10827
POA2134,1458,4598,255,586,393,1186,643,1772,351,804,976,2415,1476,3437,2005,4626,21,58,4833,11341,0,0,0,0,4,0,75,121,77,127,67,125,7077,17958,776,..,7851,17958
POA2135,4002,13039,101,244,312,929,413,1171,485,992,1334,3331,1578,3930,1105,2913,9,23,4510,11188,0,0,0,0,0,0,43,107,43,107,33,62,8995,25570,939,..,9934,25570
POA2136,1369,4165,147,379,436,1216,578,1589,152,327,374,807,312,694,40,81,9,26,885,1929,0,0,0,0,0,0,12,22,12,22,10,13,2858,7715,174,..,3033,7715
POA2137,4579,14149,236,572,767,1957,1003,2529,581,1276,1097,2487,2591,5297,502,1005,50,117,4824,10183,0,0,0,0,0,0,158,362,158,362,19,37,10583,27262,908,..,11489,27262
POA2138,1901,5662,29,91,439,1216,469,1310,189,307,205,477,1803,4076,3488,7514,15,43,5698,12418,0,0,0,0,0,0,25,70,25,70,16,27,8109,19481,825,..,8939,19481
POA2140,716,2210,38,95,241,697,280,794,650,1539,1401,3547,3635,9119,1287,3173,0,0,6970,17374,0,0,0,0,0,0,42,146,42,146,56,99,8061,20622,1052,..,9111,20622
POA2141,4872,16174,266,612,1388,4460,1662,5070,681,1506,563,1474,2025,4912,1021,2400,136,358,4424,10653,0,0,0,0,0,4,49,146,52,144,30,47,11036,32088,1085,..,12117,32088
POA2142,3657,12735,258,510,813,2609,1073,3116,1076,2302,1472,3538,1762,4589,584,1183,71,237,4974,11856,15,36,0,0,0,0,24,63,36,101,51,98,9796,27908,1336,..,11130,27908
POA2143,2099,7049,70,204,141,498,215,702,290,549,180,498,240,657,0,0,58,193,773,1900,0,0,0,0,0,0,21,44,21,44,5,14,3114,9708,222,..,3335,9708
POA2144,5002,18625,163,419,1029,3219,1191,3632,1497,3937,1172,3468,1060,3273,1555,5117,199,637,5477,16435,0,0,0,0,3,5,35,140,40,146,53,143,11765,38987,1152,..,12921,38987
POA2145,15130,46887,2063,5190,3631,10954,5694,16151,1641,4073,2538,6140,4315,11095,559,1533,146,385,9196,23233,0,0,0,0,0,3,3,19,7,21,77,180,30101,86465,2653,..,32754,86465
POA2146,4171,12500,431,1040,910,2848,1346,3890,171,348,115,330,788,2133,0,0,45,115,1122,2926,0,0,0,0,0,0,9,9,9,9,14,36,6653,19353,391,..,7044,19353
POA2147,11655,33556,159,307,762,1756,927,2062,294,363,6,11,278,623,0,0,130,309,710,1307,0,0,5,6,3,9,22,53,35,66,18,38,13347,37028,715,..,14061,37028
POA2148,16414,48905,894,2071,2791,8160,3686,10225,389,591,16,40,2322,5572,242,620,184,468,3151,7294,0,0,0,0,0,0,3,10,4,10,36,94,23296,66526,1538,..,24829,66526
POA2150,1118,3371,138,331,629,1637,768,1969,1362,3175,3185,7381,2202,5103,5641,13195,14,35,12396,28885,0,0,0,0,4,7,152,416,155,425,49,84,14495,34727,2012,..,16505,34727
POA2151,3571,10801,186,404,909,2445,1095,2844,633,1114,1362,2640,990,2228,378,906,27,67,3386,6948,0,0,0,0,0,0,11,11,11,11,10,23,8072,20629,658,..,8733,20629
POA2152,2182,6426,289,547,576,1406,871,1956,406,559,453,940,534,1140,0,0,20,53,1413,2691,0,0,0,0,0,0,0,3,0,3,3,11,4475,11088,420,..,4899,11088
POA2153,15783,49568,446,862,1955,5425,2398,6289,479,800,546,1217,1089,2369,577,1255,85,211,2782,5853,0,0,0,0,0,0,0,0,0,0,37,93,21002,61806,1210,..,22215,61806
POA2154,9928,31784,235,388,1228,3303,1463,3690,480,882,593,1331,617,1337,386,855,31,79,2109,4482,0,0,0,0,0,0,0,5,0,5,7,20,13513,39980,835,..,14345,39980
POA2155,18787,65031,204,442,1393,4226,1593,4671,59,142,222,502,2194,4507,119,252,37,99,2633,5506,0,0,0,0,0,0,0,0,0,0,50,138,23075,75344,1044,..,24114,75344
POA2156,3625,11969,376,577,208,438,580,1011,39,55,0,0,0,0,0,0,33,61,70,120,0,0,0,0,0,0,0,0,0,0,7,8,4278,13111,189,..,4468,13111
POA2157,1213,3993,0,4,3,8,9,14,0,3,0,0,0,0,0,0,8,17,7,20,0,0,0,0,0,0,0,10,0,10,3,13,1232,4045,94,..,1328,4045
POA2158,2364,7677,52,90,174,499,230,595,109,130,14,20,66,93,0,0,18,51,201,304,14,21,54,86,0,0,12,26,82,137,6,16,2886,8733,171,..,3061,8733
POA2159,1523,4733,48,67,22,43,71,109,95,138,0,0,0,0,0,0,9,25,104,163,0,0,0,0,0,0,4,16,4,16,8,27,1717,5050,82,..,1802,5050
POA2160,6394,21902,469,1101,1412,4812,1884,5916,645,1186,1996,4552,1725,4086,380,892,98,292,4839,11005,0,0,0,0,3,11,66,179,64,184,56,146,13244,39150,1188,..,14426,39150
