POA_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
POA3062,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,3,7,9,14,33,28,3,0,0,106,5,5,0,0,6,6,0,0,0,26,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,15,16,11,20,38,32,4,0,0,141,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,9,23,16,13,20,38,31,4,0,0,152,6,6,0,0,10,12,17,15,5,69,0,0,0,3,0,4,0,3,0,14,26,21,16,25,51,49,25,12,5,232,0,10,12,15,15,9,9,0,0,70,5,10,6,13,20,10,5,0,0,71,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,12,20,20,26,41,22,8,0,0,156,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,11
POA3064,247,1305,5682,6092,3153,1982,269,4,0,18732,702,1146,1644,1475,894,535,156,17,0,6569,67,96,201,154,104,88,18,0,0,739,32,94,288,231,114,57,11,0,0,825,1053,2646,7811,7949,4270,2664,452,21,0,26869,83,240,401,277,206,109,5,0,0,1322,292,145,95,87,65,79,11,0,0,776,375,386,494,363,267,190,19,0,0,2095,1427,3030,8310,8318,4539,2856,467,21,0,28967,2056,829,1131,1258,1148,1588,1781,757,183,10725,210,246,641,518,312,203,105,44,24,2302,3695,4108,10081,10090,5996,4643,2347,823,206,41988,69,825,3222,2881,1833,966,100,5,0,9897,872,1323,2487,2482,1398,831,135,5,0,9525,82,157,517,302,120,83,15,3,0,1287,30,76,181,106,57,29,3,0,0,488,1050,2379,6408,5779,3409,1903,254,9,0,21203,54,153,269,196,133,54,3,0,0,855,299,158,275,226,121,56,12,0,0,1143,353,310,543,423,249,109,12,0,0,1996
POA3065,3,75,889,590,345,229,41,3,0,2173,26,110,217,143,81,93,44,8,0,723,3,15,51,26,10,10,5,0,0,128,0,8,22,5,4,4,0,0,0,43,39,208,1171,767,442,333,93,19,0,3065,3,12,26,25,18,16,0,0,0,101,9,18,12,5,8,5,0,0,0,56,9,22,33,32,26,18,5,0,0,156,46,237,1214,800,465,357,94,19,0,3223,72,46,97,73,90,180,227,110,41,936,16,36,109,96,70,88,74,45,18,546,133,319,1419,971,619,625,392,172,60,4708,0,90,928,403,261,143,16,0,0,1839,48,169,310,194,129,111,41,7,0,1007,7,23,56,46,14,12,4,0,0,164,0,7,14,8,4,3,0,0,0,40,62,285,1307,655,406,272,58,7,0,3052,0,3,21,15,8,10,3,0,0,66,10,18,15,8,13,6,0,0,0,69,9,21,38,21,25,15,3,0,0,135
POA3066,6,92,1122,619,266,124,34,0,0,2258,15,80,234,127,77,58,25,3,0,624,9,14,45,22,12,8,5,0,0,111,0,3,17,8,4,0,0,0,0,39,29,181,1423,777,358,192,59,4,0,3028,4,15,25,27,22,17,3,0,0,112,8,13,18,6,8,6,0,0,0,65,13,29,44,32,27,19,5,0,0,173,42,208,1465,810,390,217,64,11,0,3198,55,46,99,63,89,109,115,66,20,670,12,38,86,65,40,24,13,12,3,280,104,292,1649,937,523,344,189,80,25,4153,3,88,997,404,182,89,13,0,0,1782,24,121,296,152,102,58,23,0,0,782,4,23,65,36,17,5,3,0,0,158,3,0,9,4,0,0,0,0,0,17,35,230,1371,597,308,155,40,0,0,2739,5,7,27,7,12,9,0,0,0,64,11,12,12,12,8,5,6,0,0,67,8,17,41,16,19,15,5,0,0,130
POA3067,5,107,1134,648,284,150,36,3,0,2371,24,105,249,130,60,50,43,4,0,669,7,10,37,23,7,12,4,4,0,106,0,0,17,14,0,0,0,0,0,30,36,225,1430,819,354,214,75,9,0,3170,5,3,30,20,13,7,0,0,0,84,4,15,7,10,9,8,5,0,0,57,5,16,41,33,21,19,8,0,0,141,46,243,1478,847,373,231,79,9,0,3314,35,46,78,53,68,82,145,93,18,615,4,14,91,59,35,23,19,8,4,259,81,304,1647,964,474,339,244,112,27,4184,3,106,968,451,209,106,15,0,0,1870,33,137,314,162,79,78,38,4,0,858,8,23,73,51,9,10,7,0,0,179,0,3,16,6,0,0,0,0,0,32,42,272,1371,665,305,199,61,4,0,2931,0,6,20,5,8,5,0,0,0,43,11,12,18,9,8,8,5,0,0,71,11,19,42,17,14,13,5,0,0,117
POA3068,7,138,1336,1086,755,458,103,14,0,3888,63,171,372,219,163,146,105,29,0,1270,24,19,63,34,13,21,10,0,0,187,3,4,22,9,7,0,0,0,0,51,104,329,1793,1346,936,631,212,41,0,5392,0,21,47,25,30,23,3,0,0,155,16,17,22,12,3,10,0,0,0,77,16,33,72,33,32,32,3,0,0,228,121,362,1864,1379,969,666,213,44,0,5623,167,80,113,84,127,226,449,345,129,1724,3,28,68,48,41,35,26,20,14,287,288,477,2052,1513,1133,930,692,407,142,7630,6,151,1439,748,592,345,63,0,0,3338,135,306,557,459,354,271,134,24,0,2245,17,44,108,84,25,23,7,0,0,301,4,10,13,6,11,4,0,0,0,38,158,510,2114,1296,982,640,201,24,0,5922,3,10,31,14,14,11,0,0,0,82,30,22,25,13,19,5,4,4,0,117,34,34,60,25,32,9,5,4,0,197
POA3070,10,150,1457,1331,1194,600,106,7,0,4864,140,254,475,256,255,233,128,8,0,1753,27,32,80,47,34,30,14,0,0,264,0,3,11,16,14,5,4,0,0,51,180,446,2020,1653,1495,865,247,19,3,6931,8,12,37,29,41,26,3,0,0,156,62,28,38,17,12,20,0,0,0,168,61,48,79,42,52,40,3,0,0,328,247,497,2100,1700,1549,905,248,22,3,7260,345,86,127,124,180,288,462,446,199,2259,10,25,75,63,51,39,25,17,13,324,600,608,2307,1885,1779,1234,742,484,215,9846,3,164,1565,919,939,446,64,0,0,4101,196,316,707,646,649,420,132,9,0,3079,48,46,150,109,28,49,9,6,0,446,3,6,22,19,9,9,0,0,0,61,251,526,2442,1699,1631,921,204,13,0,7687,0,4,31,22,32,14,0,0,0,105,40,22,29,26,12,17,5,0,0,166,43,32,63,49,43,35,3,0,0,265
POA3071,18,126,1058,1102,859,400,57,3,0,3626,111,179,365,253,196,149,58,11,0,1315,18,38,66,33,32,25,11,0,0,226,0,8,22,22,9,4,3,0,0,68,150,353,1505,1408,1095,576,128,18,0,5233,7,13,45,36,34,32,0,0,0,167,20,33,17,14,6,14,7,0,0,119,28,47,61,48,44,45,7,0,0,283,182,403,1567,1453,1139,622,131,18,0,5519,224,75,125,97,111,228,394,315,151,1702,11,24,53,45,38,30,21,18,43,289,412,500,1744,1598,1286,877,545,355,188,7511,3,116,1067,748,583,297,35,0,0,2853,135,233,562,585,509,289,78,6,0,2392,28,39,111,88,25,34,10,0,0,334,4,4,14,7,9,5,0,0,0,47,163,391,1752,1428,1126,625,130,5,3,5625,0,14,27,21,11,12,0,0,0,90,44,21,32,27,17,11,0,0,0,148,41,34,55,45,33,23,0,3,0,237
POA3072,35,278,1792,1862,1381,685,121,5,0,6157,178,344,684,442,344,259,90,10,0,2360,29,46,103,81,55,58,16,0,0,385,7,16,64,29,18,12,3,0,0,145,245,685,2641,2417,1802,1016,227,17,0,9053,9,39,104,77,86,43,3,0,0,362,54,44,50,36,11,14,3,0,0,217,69,86,153,108,96,62,6,0,0,584,312,769,2798,2522,1897,1080,238,19,0,9639,383,186,285,268,331,439,785,576,249,3509,30,42,143,147,108,70,62,40,28,678,723,1003,3227,2944,2330,1585,1087,641,283,13823,13,182,1573,1212,998,501,63,0,0,4551,233,478,955,953,737,458,96,12,0,3923,31,60,157,146,68,39,15,0,0,529,0,15,53,27,10,16,3,0,0,119,280,737,2749,2347,1806,1012,176,17,0,9125,7,28,63,41,44,17,0,0,0,202,66,43,59,57,34,20,7,0,0,287,74,71,114,100,77,39,10,0,0,492
POA3073,55,488,2574,2456,1787,1062,181,10,0,8610,198,491,979,577,428,358,154,24,0,3218,19,53,125,91,84,69,25,5,0,471,9,40,109,63,50,22,11,3,0,310,287,1068,3786,3185,2343,1516,369,44,5,12608,16,82,146,104,117,67,11,0,0,536,80,70,65,25,40,42,13,0,0,333,100,152,206,132,154,106,24,0,0,864,379,1221,3996,3318,2500,1627,393,44,5,13476,629,317,505,398,528,763,1282,1150,563,6138,52,109,293,204,176,158,131,124,100,1346,1059,1658,4788,3922,3205,2541,1803,1320,669,20965,19,358,1969,1457,1126,626,84,0,0,5646,313,582,1160,1265,975,610,160,5,0,5084,55,99,263,166,74,74,34,4,0,760,9,22,61,45,27,21,6,3,0,188,392,1063,3449,2932,2202,1332,286,19,0,11674,12,37,89,68,52,40,3,0,0,291,70,40,77,70,51,42,6,0,0,360,83,80,164,138,96,82,8,0,0,656
POA3074,28,198,864,703,552,424,100,6,0,2869,88,236,329,220,149,147,66,12,0,1242,7,20,28,16,18,20,11,3,0,123,10,18,53,30,19,8,4,4,0,143,129,461,1275,978,732,598,184,15,0,4385,16,42,58,48,44,32,0,0,0,241,29,37,18,18,12,13,0,0,0,133,39,77,75,66,58,47,4,0,0,372,170,545,1353,1047,796,641,187,15,0,4756,308,128,231,255,271,400,789,680,235,3292,23,40,104,74,67,42,47,27,11,436,500,714,1690,1372,1127,1085,1021,726,246,8482,11,143,474,359,317,196,41,0,0,1538,123,217,409,332,252,226,67,4,0,1629,9,23,70,35,22,25,5,0,0,190,10,17,32,13,14,8,3,0,0,95,148,401,974,739,606,461,109,8,0,3446,5,18,36,40,24,15,0,0,0,141,39,33,37,30,17,11,6,0,0,161,42,48,79,65,42,25,4,0,0,303
POA3075,42,243,917,979,654,417,77,0,0,3340,102,245,321,257,210,154,49,10,0,1345,8,27,44,30,28,25,8,0,0,171,5,20,42,39,15,18,11,0,0,152,156,530,1318,1308,905,618,149,14,0,4999,14,35,72,57,55,26,6,0,0,254,49,36,26,5,22,10,3,0,0,147,63,72,96,62,76,39,3,0,0,405,214,598,1416,1370,984,650,154,17,0,5402,374,164,195,224,352,448,788,628,249,3419,41,40,131,91,95,52,39,34,18,541,631,804,1743,1684,1426,1151,981,679,264,9368,7,169,552,493,365,197,28,0,0,1823,135,266,445,452,323,199,44,8,0,1873,26,33,78,63,18,25,7,0,0,241,7,14,22,26,20,11,7,0,0,104,175,483,1095,1042,729,424,89,7,0,4042,6,12,51,22,31,17,3,0,0,149,41,27,34,36,23,16,0,0,0,182,44,42,84,58,56,34,3,0,0,329
POA3076,65,393,1467,1745,1170,793,158,3,0,5789,183,323,427,364,259,243,81,8,0,1888,21,30,59,57,40,37,10,0,0,259,7,18,66,50,29,17,6,0,0,199,273,766,2023,2219,1497,1090,261,17,0,8136,22,59,121,77,66,40,3,0,0,391,73,48,16,21,14,17,0,0,0,195,94,106,141,96,81,57,11,0,0,585,365,876,2162,2315,1574,1146,270,17,0,8725,539,226,300,278,323,448,832,442,105,3488,45,89,185,185,133,114,92,125,88,1059,948,1192,2646,2778,2029,1712,1189,579,190,13271,7,237,928,852,696,403,59,3,0,3190,273,379,646,758,595,448,102,3,0,3206,34,34,124,122,46,38,11,0,0,414,7,20,35,15,18,5,3,0,0,119,315,675,1732,1754,1363,902,176,8,0,6928,3,28,59,46,28,17,0,0,0,184,67,35,54,63,33,26,0,0,0,271,72,61,111,106,64,39,0,0,0,460
POA3078,9,85,603,632,560,366,65,0,0,2333,74,138,180,105,103,105,83,14,0,801,10,35,35,17,14,16,11,3,0,137,0,3,9,10,5,3,5,0,0,30,91,270,827,760,683,487,163,17,0,3299,5,13,12,20,18,11,0,0,0,80,28,8,17,4,9,0,4,0,0,73,34,21,29,20,25,18,5,0,0,154,120,289,854,787,712,505,168,17,0,3453,147,67,78,78,96,169,286,171,70,1176,3,22,61,47,34,28,13,15,0,216,274,378,992,911,838,703,461,206,74,4844,0,80,613,439,396,261,40,0,0,1836,102,199,278,312,289,237,87,9,0,1513,20,22,57,54,21,30,8,0,0,207,0,0,3,9,10,3,0,0,0,30,131,303,952,810,718,533,125,13,0,3587,0,4,19,10,10,12,0,0,0,53,21,16,13,9,11,8,0,0,0,79,22,21,27,21,26,17,0,0,0,133
POA3079,18,164,742,837,822,621,150,14,0,3376,123,222,169,103,130,154,133,47,0,1085,33,17,29,18,9,26,7,0,0,152,0,8,5,9,0,3,0,0,0,42,172,411,942,974,968,810,296,65,5,4646,3,17,24,23,18,13,4,0,0,110,24,21,6,8,9,13,3,0,0,82,24,41,32,34,24,25,8,0,0,188,200,451,979,1008,994,834,301,68,6,4837,269,69,66,64,102,226,469,353,147,1771,11,13,30,48,41,17,30,29,33,259,485,531,1077,1121,1132,1080,799,451,193,6865,4,142,622,508,552,374,61,0,0,2262,217,276,275,382,433,354,127,11,0,2078,30,37,76,52,22,31,17,4,0,272,0,10,10,6,8,4,3,0,0,35,249,459,978,947,1011,767,217,14,0,4640,0,8,22,13,9,7,0,0,0,57,31,14,13,10,15,9,6,0,0,95,29,23,28,25,22,19,6,0,0,159
POA3081,6,130,799,639,377,299,60,0,0,2301,50,140,260,144,121,122,39,3,0,873,8,19,42,32,15,27,11,0,0,146,3,17,28,13,14,9,3,0,0,83,69,300,1115,820,521,460,114,8,0,3408,10,19,53,41,23,14,0,0,0,156,23,24,22,19,16,9,0,0,0,115,30,47,76,55,40,22,3,0,0,270,96,343,1193,878,554,488,114,7,0,3676,199,110,145,123,150,249,374,199,70,1619,23,42,98,73,56,47,27,11,6,374,315,493,1434,1080,762,778,519,220,74,5678,7,85,645,377,286,177,30,0,0,1611,60,209,338,317,226,219,46,9,0,1417,9,27,99,32,20,18,6,0,0,221,0,13,15,11,8,3,0,0,0,54,76,331,1097,734,541,424,86,5,4,3297,5,15,23,15,14,7,0,0,0,77,34,21,19,15,18,7,0,0,0,114,37,38,37,31,30,16,3,0,0,198
POA3082,70,385,1264,1178,1106,1132,211,9,0,5354,187,281,310,227,249,281,127,19,0,1681,29,33,49,48,36,73,15,3,0,284,4,13,67,32,25,21,10,3,0,169,292,722,1689,1485,1411,1506,355,30,0,7496,16,55,92,58,49,51,5,0,0,323,71,32,31,16,6,22,8,4,0,188,87,89,126,69,54,67,11,4,0,511,386,804,1815,1561,1468,1578,368,33,0,8003,436,183,218,192,203,484,1020,503,151,3396,24,39,87,79,61,63,39,27,4,430,849,1024,2122,1835,1727,2128,1425,562,158,11832,18,266,861,592,723,560,80,0,0,3104,258,395,480,566,623,658,124,8,0,3103,32,57,102,60,62,78,15,0,0,406,7,13,29,22,18,7,3,3,0,98,316,731,1470,1237,1422,1302,218,11,0,6714,4,26,50,25,34,20,5,0,0,158,71,26,28,31,38,20,0,0,0,220,71,50,78,54,71,45,3,0,0,382
POA3083,72,412,1407,1228,1257,797,175,13,0,5357,239,492,572,285,257,248,133,15,5,2258,36,71,60,40,40,55,15,4,0,319,0,18,64,44,30,12,3,5,0,174,346,997,2103,1599,1582,1105,329,36,3,8104,16,59,105,79,57,48,0,0,0,369,82,79,59,25,16,18,8,0,0,291,98,139,171,104,70,63,11,0,0,653,442,1131,2272,1706,1660,1170,338,38,3,8757,514,381,376,204,274,432,895,802,302,4174,59,147,192,86,73,71,57,47,30,762,1013,1664,2843,1995,2002,1665,1284,890,339,13691,18,267,977,660,734,460,66,0,0,3182,298,577,640,643,690,512,149,11,0,3521,56,84,122,91,54,59,13,7,0,488,0,21,36,15,11,12,4,6,0,108,369,947,1776,1415,1492,1035,235,23,0,7293,14,26,54,31,33,20,0,0,0,172,94,79,56,35,28,28,4,0,0,325,107,103,107,66,64,50,3,0,0,503
POA3084,25,212,968,1368,1323,834,217,18,7,4965,208,251,218,200,232,236,161,27,0,1540,42,49,51,35,40,43,21,5,3,288,0,10,18,22,12,9,6,0,0,76,275,515,1265,1625,1604,1120,403,57,7,6868,7,10,33,32,49,33,4,0,0,173,68,23,10,8,11,8,16,0,0,144,75,37,51,41,61,42,15,0,0,318,354,554,1312,1661,1658,1159,419,52,7,7186,441,109,98,121,145,314,754,732,370,3083,16,15,46,49,39,64,59,53,48,389,815,670,1450,1827,1847,1539,1229,848,424,10655,12,166,815,869,812,493,86,6,0,3246,254,363,398,690,686,523,141,24,0,3079,34,46,91,101,52,52,32,3,0,420,0,7,13,16,15,3,0,0,0,58,298,577,1317,1677,1564,1072,260,32,0,6799,5,15,28,34,13,17,0,0,0,114,46,20,15,23,23,11,5,0,0,152,52,35,41,55,41,27,5,0,0,261
POA3085,72,232,671,782,699,376,87,3,0,2922,106,145,90,101,98,118,75,12,0,744,17,17,17,21,23,15,4,3,0,117,3,5,8,6,5,3,0,0,0,40,197,401,784,908,833,502,169,20,0,3821,0,10,26,20,13,3,3,0,0,81,38,18,10,6,9,0,8,0,0,80,39,28,37,24,26,6,10,0,0,159,233,424,821,934,856,513,186,20,0,3985,226,63,65,33,75,164,383,303,139,1444,18,39,41,34,18,14,9,13,5,191,475,528,929,1003,947,690,575,331,151,5617,15,109,409,368,455,232,31,6,0,1616,138,141,245,412,352,245,69,7,0,1612,23,25,72,60,22,24,10,0,0,236,0,4,4,11,5,3,0,0,0,36,180,286,725,865,834,506,105,7,0,3510,3,3,17,9,11,3,0,0,0,48,37,9,5,9,16,13,4,0,0,96,38,18,25,18,26,19,4,0,0,145
POA3087,21,93,436,524,392,227,50,0,0,1744,52,78,88,65,86,71,43,12,0,498,10,14,14,18,9,20,6,0,0,96,0,0,7,7,11,6,0,0,0,26,84,179,542,610,500,324,103,7,0,2358,10,12,10,20,7,5,0,0,0,62,20,16,0,3,0,0,4,0,0,42,26,19,17,17,13,12,7,0,0,110,107,202,560,630,514,339,110,7,0,2468,137,26,49,46,58,131,273,243,70,1032,11,4,15,19,9,22,10,8,0,97,256,232,626,691,578,480,386,262,70,3599,4,55,307,247,243,144,29,0,0,1022,77,90,181,273,227,158,38,5,0,1043,13,15,53,56,8,22,10,0,0,186,0,4,7,0,5,0,0,0,0,13,93,157,549,572,483,326,77,3,0,2266,4,3,8,6,4,8,0,0,0,31,14,13,11,8,12,11,0,0,0,66,19,17,15,15,9,18,0,0,0,96
POA3088,70,291,967,1521,1357,847,184,16,0,5247,195,220,166,184,183,229,170,24,0,1373,27,28,36,32,29,51,27,8,0,242,4,3,9,14,16,10,6,0,0,54,292,544,1178,1754,1581,1138,386,43,0,6919,4,13,34,35,34,23,4,0,0,157,64,22,13,8,11,10,4,0,0,136,72,38,46,43,47,32,9,0,0,291,360,583,1226,1795,1627,1172,404,46,0,7210,403,77,116,97,139,301,913,690,201,2946,11,18,34,43,37,27,28,27,23,257,781,682,1376,1934,1798,1503,1348,768,228,10417,15,177,702,742,753,488,81,4,0,2959,293,263,429,812,709,588,193,13,0,3303,43,40,127,120,40,62,31,3,0,466,0,5,11,6,4,8,10,0,0,51,355,485,1271,1679,1505,1145,309,19,0,6778,3,5,23,22,21,13,0,0,0,82,51,13,20,34,31,21,8,0,0,182,54,22,44,58,53,33,7,0,0,261
POA3089,77,208,510,611,712,513,82,3,0,2714,128,135,73,59,81,107,70,13,0,669,22,17,17,19,16,28,6,7,0,137,0,15,8,14,9,6,0,0,0,47,230,373,609,699,828,656,157,19,0,3572,6,17,15,13,21,10,4,0,0,81,35,11,3,0,0,5,0,0,0,56,39,33,24,10,21,15,3,0,0,141,269,408,631,707,842,675,159,19,0,3710,222,42,45,46,44,129,321,193,46,1086,7,11,12,15,18,10,17,3,4,89,499,457,680,773,902,813,495,217,51,4887,12,100,313,272,393,267,26,0,0,1397,195,191,203,369,404,316,69,12,0,1756,30,28,79,46,30,31,8,0,0,247,4,0,4,3,15,0,0,0,0,32,244,317,601,695,838,625,107,14,0,3436,5,12,7,0,5,9,0,0,0,34,30,14,4,6,15,4,3,0,0,81,38,24,12,6,15,14,3,0,0,112
