POA_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
POA2019,42,277,17,0,337,26,325,23,0,374,87,914,82,0,1080,108,951,73,0,1132,109,785,36,0,934,74,584,31,0,686,34,368,27,0,433,10,192,27,0,233,0,48,13,0,61,492,4450,324,6,5274,63,276,17,0,353,46,295,23,0,367,95,989,92,3,1181,142,958,60,0,1163,149,786,36,0,974,76,573,23,8,684,38,425,24,4,486,9,220,34,4,267,4,65,29,0,99,619,4583,338,17,5562,109,546,24,0,685,69,622,46,0,737,182,1909,173,3,2266,250,1915,131,0,2297,259,1569,77,3,1906,151,1159,57,4,1368,70,789,53,4,919,19,414,58,9,498,6,112,41,0,160,1111,9035,664,23,10835
POA2020,30,314,34,3,389,123,1243,122,12,1501,227,3389,351,43,4007,117,1565,152,44,1869,104,791,92,35,1023,56,616,67,29,766,32,389,36,14,479,14,197,17,0,233,0,71,4,0,77,708,8579,884,190,10351,45,307,26,4,383,155,1150,133,14,1459,245,3113,313,57,3730,142,1312,119,7,1586,112,788,66,21,989,83,610,62,27,785,31,415,31,10,485,25,254,27,8,311,0,97,10,0,107,843,8048,787,148,9832,75,623,61,9,771,284,2396,261,25,2957,468,6500,665,106,7738,253,2872,271,52,3459,221,1585,158,52,2015,133,1225,131,58,1549,69,803,68,22,963,38,451,43,13,545,9,170,14,0,185,1547,16625,1673,334,20176
POA2021,41,206,14,0,264,54,286,25,0,363,216,1174,72,3,1465,164,944,56,0,1161,172,751,32,0,963,157,592,24,0,777,120,406,30,0,553,59,252,17,0,332,9,72,17,0,102,997,4686,295,10,5979,56,181,12,0,247,97,370,22,9,494,234,1397,66,3,1700,196,904,46,3,1151,243,743,44,4,1030,167,541,24,3,730,144,418,21,0,583,87,313,29,0,433,13,91,48,0,147,1236,4956,296,20,6518,103,394,24,0,514,149,657,51,9,860,448,2569,138,9,3164,359,1843,99,3,2309,419,1489,79,6,1996,324,1136,44,3,1503,265,824,46,0,1136,145,566,45,4,764,22,164,66,0,250,2228,9643,593,36,12492
POA2022,60,163,12,0,241,42,261,30,3,335,121,1280,123,11,1537,142,893,74,6,1113,131,637,40,9,817,101,454,35,3,587,75,367,28,0,476,48,223,16,0,288,3,98,10,0,116,715,4378,367,37,5497,59,159,11,4,237,71,298,37,10,410,162,1337,135,17,1652,163,872,66,6,1106,158,613,32,7,816,124,470,27,7,627,76,444,30,9,557,51,303,40,0,397,7,151,21,0,183,865,4655,401,59,5974,121,326,27,4,471,107,566,58,7,745,273,2618,261,29,3185,306,1758,136,10,2220,291,1248,69,19,1627,219,917,63,10,1211,147,817,63,14,1037,96,527,57,4,686,15,249,26,0,296,1586,9027,768,103,11476
POA2023,100,235,24,0,356,43,190,17,0,248,78,552,55,0,687,109,517,33,5,660,147,457,21,7,627,129,432,13,5,584,112,374,10,0,503,51,205,9,0,267,7,62,8,0,74,770,3033,189,20,4011,74,189,22,0,279,61,210,11,0,279,131,682,46,6,863,152,595,28,3,778,208,524,25,4,759,157,475,23,6,655,147,377,23,3,548,38,230,19,0,289,10,84,3,0,102,972,3366,187,22,4547,172,423,45,0,640,100,399,23,0,526,202,1237,103,6,1549,265,1109,63,3,1437,345,982,42,7,1383,287,903,38,5,1236,257,760,37,3,1051,97,436,23,0,554,17,143,12,0,174,1743,6394,377,37,8555
POA2024,45,241,6,0,290,36,161,7,0,205,94,684,64,0,839,116,673,37,0,831,182,558,27,0,764,114,447,33,0,599,72,266,24,0,361,21,192,36,0,242,3,65,64,0,138,680,3286,304,14,4274,71,209,18,0,300,42,178,5,0,228,133,815,73,0,1020,166,696,34,0,900,189,600,29,3,826,127,414,25,0,570,84,319,35,0,435,29,192,67,0,286,3,127,133,0,265,846,3542,425,8,4824,113,447,30,0,586,77,342,18,0,432,225,1491,132,4,1859,289,1368,76,8,1732,374,1154,62,4,1592,242,862,61,0,1165,156,585,57,7,800,44,381,103,0,533,11,194,201,0,406,1524,6826,726,20,9097
POA2025,41,96,11,0,147,17,125,5,0,146,58,403,18,4,482,58,355,16,3,428,72,304,24,0,404,64,259,7,3,335,73,259,11,0,342,39,186,15,0,244,10,74,22,0,100,426,2051,130,13,2617,36,89,3,0,132,36,142,8,0,190,82,547,22,0,647,81,406,26,3,513,128,307,15,0,455,107,279,13,3,402,92,309,21,0,426,59,250,48,0,355,12,106,58,0,184,644,2440,211,7,3302,82,187,11,0,281,55,263,13,0,333,138,942,36,0,1126,138,758,36,3,943,204,613,39,0,859,168,542,19,4,735,164,565,36,4,764,99,435,60,3,598,21,179,79,0,280,1070,4489,340,22,5917
POA2026,134,386,43,0,562,89,512,47,7,658,454,3600,331,31,4420,427,2329,208,22,2986,377,1504,106,14,1991,247,930,68,9,1254,147,645,43,12,850,50,370,35,0,452,16,129,23,0,165,1936,10409,905,89,13343,145,386,21,3,555,153,608,53,5,828,625,4113,329,23,5088,504,2173,164,5,2852,431,1318,94,10,1858,221,913,67,4,1205,154,693,48,0,900,81,448,60,0,590,15,203,50,5,266,2328,10864,892,58,14145,278,776,64,5,1121,242,1122,104,15,1491,1075,7710,661,58,9508,937,4500,376,23,5835,806,2822,200,19,3852,473,1842,138,17,2463,304,1338,95,10,1745,130,822,91,4,1047,29,336,69,5,431,4265,21271,1793,150,27487
POA2027,16,91,11,0,116,23,101,19,0,143,74,417,33,0,524,72,389,38,5,507,70,304,26,5,407,90,320,30,0,440,94,318,26,0,439,55,298,14,0,373,26,92,13,0,127,539,2324,201,16,3081,29,84,11,0,118,29,138,17,0,187,102,531,47,0,689,87,401,38,6,531,115,317,34,4,465,106,352,28,8,493,121,405,22,0,544,85,297,33,3,425,18,150,37,0,204,692,2675,265,20,3653,47,171,19,0,233,57,242,37,4,327,180,944,82,0,1212,163,786,76,6,1033,189,622,61,6,878,202,674,49,10,934,215,721,43,0,981,141,600,49,3,798,44,243,50,0,331,1233,5002,467,38,6736
POA2028,12,53,4,0,68,23,75,5,0,98,50,357,19,3,423,46,264,9,0,327,37,179,10,0,226,28,169,6,0,212,48,164,4,0,212,27,120,8,0,158,4,40,0,3,47,274,1416,67,11,1762,22,39,0,0,62,27,122,11,0,161,67,445,26,0,538,52,272,18,3,344,63,189,3,4,259,45,210,10,0,268,54,243,11,0,313,41,156,11,0,203,3,80,15,0,95,378,1753,108,10,2249,37,94,3,0,132,51,195,15,5,262,111,804,46,4,964,98,537,30,3,665,100,373,13,5,485,74,383,18,3,477,93,401,15,4,521,77,277,14,0,364,10,113,14,3,142,652,3166,180,17,4012
POA2029,60,166,12,0,239,38,174,12,5,233,86,510,22,3,621,73,557,40,5,671,107,480,23,5,607,85,374,28,3,491,84,310,19,0,418,38,241,26,0,298,19,96,39,0,141,589,2902,220,22,3725,50,166,6,0,225,62,212,6,0,287,125,603,35,0,759,109,623,37,3,766,135,533,21,0,699,126,406,24,4,558,102,384,30,0,510,46,306,53,4,405,9,120,75,0,206,766,3346,291,10,4415,112,333,22,0,461,101,390,24,4,517,211,1107,58,5,1380,179,1178,77,9,1438,244,1012,47,3,1308,212,777,50,7,1047,197,691,46,0,930,79,541,86,4,707,25,212,110,0,356,1354,6252,517,31,8146
POA2030,148,385,37,0,568,87,307,5,0,404,66,484,46,0,598,115,603,40,3,760,209,820,40,6,1073,181,666,27,3,878,128,531,15,0,681,55,264,19,3,343,19,135,14,0,170,1010,4206,251,19,5486,149,356,19,0,525,121,268,14,0,413,95,529,36,6,671,194,697,44,3,934,315,812,55,4,1187,209,675,23,5,910,145,522,22,7,693,70,350,33,0,449,17,178,55,0,245,1313,4385,299,29,6028,301,738,53,0,1093,208,578,21,0,817,163,1012,86,11,1270,307,1299,86,6,1698,527,1639,95,9,2263,393,1338,48,6,1792,271,1053,40,7,1370,121,618,51,4,801,35,309,65,0,412,2324,8591,550,49,11509
POA2031,155,578,66,8,800,151,720,64,8,942,313,2727,186,19,3240,319,2154,141,8,2616,399,1609,97,5,2111,267,1154,70,12,1495,164,878,82,3,1120,80,536,89,4,707,14,204,112,0,336,1858,10551,908,57,13369,177,495,52,0,727,214,700,47,11,971,438,3331,188,12,3964,480,2294,132,13,2921,515,1658,79,9,2259,268,1385,65,12,1720,218,992,76,15,1295,109,633,109,0,853,19,332,246,4,604,2427,11818,1003,75,15326,331,1078,120,6,1533,370,1415,111,20,1916,745,6057,374,30,7214,798,4444,274,17,5537,915,3267,178,15,4368,529,2534,138,19,3222,381,1868,154,17,2415,184,1171,203,3,1563,35,540,358,4,934,4293,22367,1908,129,28698
POA2032,52,294,20,0,363,132,676,61,17,883,151,1293,132,7,1590,109,792,44,5,950,116,706,27,0,854,92,556,29,5,685,59,432,21,10,513,24,279,19,4,321,5,137,17,0,163,740,5167,380,52,6331,66,280,9,0,358,175,568,54,6,807,166,1010,84,9,1262,123,790,44,0,954,145,667,29,0,843,93,610,27,0,736,68,513,27,4,615,37,391,29,0,460,12,177,40,0,227,885,5009,348,25,6260,122,574,32,0,723,306,1245,118,24,1695,324,2301,221,14,2855,226,1583,85,9,1906,254,1376,60,6,1698,183,1171,56,9,1418,127,944,48,10,1128,58,669,50,4,786,14,316,60,0,389,1623,10178,721,71,12591
POA2033,89,234,29,6,355,183,634,82,26,919,122,999,82,10,1216,94,705,41,0,845,85,493,29,5,607,67,408,11,3,496,49,281,10,5,348,34,210,8,0,257,12,103,3,0,116,730,4063,298,59,5157,93,220,31,5,343,184,548,72,27,831,157,1007,78,9,1246,126,663,33,0,818,90,494,26,0,608,79,406,23,8,514,41,317,13,0,375,36,223,8,0,274,12,150,9,0,164,820,4014,293,46,5173,179,455,61,12,705,365,1183,155,51,1754,285,2001,164,15,2465,220,1359,74,0,1660,175,985,50,10,1218,150,812,40,8,1014,89,601,28,5,720,64,437,20,0,521,20,248,12,0,281,1551,8080,596,101,10331
POA2034,92,309,20,0,425,73,313,26,0,417,166,1692,148,12,2018,190,1294,88,3,1582,215,916,67,3,1201,200,769,29,6,1009,104,530,31,7,663,50,300,18,0,365,12,111,6,0,131,1109,6234,425,37,7803,110,308,17,0,429,115,442,28,3,592,282,2115,143,19,2567,270,1317,102,0,1691,333,1010,71,8,1419,188,778,36,7,1010,134,584,52,4,778,67,334,41,0,442,12,147,20,0,175,1513,7036,516,41,9103,206,619,38,0,859,190,755,54,4,1007,452,3808,291,33,4581,463,2612,189,5,3268,547,1926,134,9,2619,393,1548,62,13,2017,240,1117,81,10,1446,118,633,54,0,800,21,255,29,0,304,2620,13273,942,75,16911
