POA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA2037,94,3177,3270,2214,613,2830,784,188,970,540,107,649,133,22,155,58,15,74,3826,4125,7949
POA2038,65,1239,1298,1089,226,1317,535,95,629,531,35,566,135,11,146,31,5,31,2378,1606,3987
POA2039,49,1071,1120,1199,163,1355,535,44,583,472,30,504,118,5,117,22,0,22,2396,1312,3707
POA2040,147,2458,2610,2546,493,3036,1362,167,1527,1524,75,1605,346,15,363,86,6,91,6008,3220,9225
POA2041,117,2109,2224,2125,319,2440,873,70,940,877,37,910,246,14,257,42,6,44,4276,2552,6826
POA2042,100,3043,3141,2394,746,3140,834,382,1216,624,188,805,147,45,191,45,13,59,4143,4412,8558
POA2043,60,1535,1593,1675,391,2070,490,116,607,326,35,365,52,12,62,8,5,15,2613,2102,4711
POA2044,44,740,782,998,236,1230,493,93,585,425,56,484,118,24,138,59,3,68,2134,1155,3289
POA2045,19,444,460,609,63,674,395,16,406,483,8,489,179,3,188,51,0,57,1735,537,2280
POA2046,153,2845,2998,3211,431,3643,1698,94,1791,1738,58,1789,560,21,576,176,3,180,7534,3446,10984
POA2047,81,1430,1508,1641,245,1884,746,64,812,603,26,630,198,17,210,52,0,52,3322,1781,5103
POA2048,38,982,1019,925,232,1166,376,98,473,377,53,422,114,9,123,29,5,31,1857,1376,3228
POA2049,66,1768,1833,1463,416,1876,645,149,795,570,60,630,140,18,158,38,10,42,2924,2417,5339
POA2050,58,1796,1854,1253,398,1647,364,109,474,209,41,247,47,13,59,7,0,7,1941,2354,4294
POA2060,103,3036,3140,2418,494,2912,775,110,883,468,39,501,107,8,120,30,3,35,3897,3695,7595
POA2061,53,1561,1617,1110,257,1366,235,43,275,126,14,141,29,4,31,5,0,5,1554,1886,3443
POA2062,64,1005,1072,952,107,1058,438,31,467,388,16,406,114,4,113,15,0,15,1969,1160,3131
POA2063,26,380,408,622,60,676,331,12,340,456,12,468,228,7,238,64,4,66,1725,474,2196
POA2064,35,950,979,983,233,1212,674,48,722,611,19,631,158,14,166,54,3,60,2517,1254,3771
POA2065,204,4889,5092,4648,879,5522,1873,229,2104,1472,73,1549,360,15,367,91,10,98,8651,6090,14740
POA2066,183,3463,3645,3801,541,4346,2071,128,2198,2133,56,2190,772,24,791,212,7,216,9173,4215,13387
POA2067,94,2407,2497,2934,501,3437,1746,184,1925,1679,112,1796,476,25,502,224,15,244,7149,3254,10398
POA2068,75,1076,1155,1652,181,1827,1022,41,1065,1335,39,1376,508,10,518,142,0,139,4737,1344,6076
POA2069,58,776,836,1342,124,1469,831,38,872,1105,23,1134,468,12,484,163,8,164,3970,987,4966
POA2070,53,955,1011,1345,114,1459,899,29,927,1085,28,1114,430,11,443,168,5,171,3985,1136,5126
POA2071,60,788,851,1269,119,1390,833,29,855,981,20,994,408,12,424,151,5,154,3700,969,4671
POA2072,40,631,668,979,92,1074,648,25,674,585,25,606,190,8,202,66,3,69,2509,774,3286
POA2073,55,735,788,1550,132,1677,1075,33,1110,1342,22,1363,560,12,566,199,4,201,4772,936,5708
POA2074,88,1477,1557,2347,161,2509,1418,37,1456,1692,20,1711,671,5,681,231,8,233,6442,1709,8152
POA2075,82,1136,1215,2131,120,2253,1291,31,1327,1634,27,1659,666,9,674,264,3,270,6068,1328,7399
POA2076,80,1383,1468,2277,169,2444,1455,47,1496,1924,27,1950,722,19,742,291,0,294,6744,1647,8390
POA2077,189,3874,4066,4420,578,4995,3189,165,3353,2725,102,2830,851,36,888,379,9,386,11754,4772,16522
POA2079,20,413,437,758,60,814,538,19,549,606,4,612,198,4,202,94,0,93,2217,498,2716
POA2080,9,85,95,172,7,181,101,5,107,130,3,133,49,0,49,26,0,26,491,97,592
POA2081,13,249,266,500,25,524,311,4,315,447,0,446,156,5,162,76,0,76,1508,284,1795
POA2082,20,271,291,532,35,568,329,8,336,453,4,456,155,0,153,53,0,53,1541,322,1866
POA2083,8,202,208,248,49,298,110,9,120,69,0,70,26,0,29,7,0,7,470,274,736
POA2084,15,179,193,366,40,405,175,6,181,260,3,267,120,8,126,61,0,58,989,238,1231
POA2085,37,646,686,1033,55,1093,645,9,658,893,5,902,356,7,365,121,0,126,3091,722,3820
POA2086,47,530,575,1062,78,1139,759,20,780,1270,27,1298,468,6,482,193,7,197,3792,669,4467
POA2087,42,784,827,1047,85,1127,680,25,701,1110,18,1128,450,8,460,151,5,156,3480,921,4400
POA2088,152,3698,3850,3671,437,4103,1522,85,1612,1527,52,1578,595,18,613,164,3,167,7620,4299,11921
POA2089,64,2162,2225,1698,346,2043,615,85,704,442,29,470,97,3,101,28,0,28,2939,2626,5563
POA2090,93,2298,2392,1922,320,2236,755,93,844,653,33,681,155,9,165,48,4,46,3622,2749,6370
POA2092,34,268,301,589,46,637,380,19,398,627,15,645,269,3,274,73,5,81,1964,362,2331
POA2093,113,1779,1893,2333,319,2652,1337,71,1405,1750,42,1795,656,18,676,167,4,164,6354,2239,8590
POA2094,37,584,620,780,148,929,364,59,420,366,14,377,105,3,113,27,0,21,1682,805,2487
POA2095,120,2236,2354,2348,538,2884,836,178,1016,708,52,759,201,24,226,42,8,47,4252,3037,7282
POA2096,91,1447,1542,1867,345,2209,818,84,899,892,33,922,304,11,314,100,3,106,4076,1913,5988
POA2097,57,1035,1095,1528,185,1713,884,47,931,1124,37,1161,461,11,478,189,3,192,4247,1326,5572
POA2099,204,4332,4537,4638,784,5426,2523,186,2711,2610,120,2725,914,51,968,448,24,467,11336,5495,16831
POA2100,62,1379,1438,1815,193,2011,1183,74,1253,1613,43,1651,707,17,731,292,10,304,5677,1711,7399
POA2101,116,2030,2143,2113,261,2374,1080,72,1155,1169,38,1211,473,28,503,222,10,234,5166,2448,7612
POA2102,37,476,514,754,59,812,465,15,483,634,16,649,249,8,262,76,0,84,2223,584,2806
POA2103,55,984,1037,1309,121,1433,540,40,580,635,29,661,296,12,309,110,4,114,2945,1187,4139
POA2104,18,547,570,507,52,563,164,0,167,177,9,181,88,0,82,50,0,49,997,619,1608
POA2105,15,151,161,285,42,322,106,7,113,136,12,142,33,0,35,15,0,15,581,210,791
POA2106,44,804,847,1174,144,1314,527,42,573,598,21,620,257,15,277,79,4,84,2687,1021,3713
POA2107,71,955,1033,1744,166,1906,800,52,854,981,40,1025,504,9,514,162,9,169,4267,1228,5495
POA2108,12,189,199,307,71,375,77,13,82,75,23,95,36,5,41,9,5,16,511,298,807
POA2110,47,748,797,908,104,1014,458,27,482,591,18,615,306,9,315,110,7,110,2421,911,3333
POA2111,86,1922,2004,1769,211,1979,889,41,930,919,30,950,345,7,355,128,4,132,4139,2212,6350
POA2112,161,3735,3893,4046,697,4744,2445,153,2595,2358,85,2435,820,36,856,325,22,345,10142,4724,14867
POA2113,118,2981,3100,3304,663,3968,1705,208,1913,1397,74,1469,434,26,459,191,7,199,7145,3965,11110
POA2114,86,2693,2778,2936,434,3376,1566,110,1679,1468,63,1533,493,14,506,252,9,256,6790,3328,10117
POA2115,60,963,1022,1047,167,1211,796,60,859,804,27,831,335,22,354,191,9,202,3235,1245,4478
POA2116,31,604,631,616,116,735,443,42,487,469,16,487,204,14,218,91,3,95,1853,803,2653
POA2117,65,1762,1836,1909,290,2200,1380,72,1447,1348,52,1403,621,32,656,337,15,351,5658,2226,7890
POA2118,66,1305,1371,2321,254,2569,1903,77,1979,2027,63,2097,792,19,811,435,4,440,7546,1718,9270
POA2119,48,604,655,1163,67,1229,694,29,721,997,17,1009,360,9,366,175,3,176,3432,724,4158
POA2120,73,1181,1253,1984,168,2148,1322,42,1362,1598,34,1629,580,17,598,236,12,244,5783,1448,7235
POA2121,95,2032,2134,3302,484,3783,2316,146,2457,2405,73,2471,817,27,847,425,20,446,9362,2782,12142
POA2122,116,2692,2805,3059,535,3594,1983,204,2190,1771,126,1899,660,48,707,431,39,470,8015,3649,11664
POA2125,43,590,632,1489,78,1569,1024,23,1049,1261,14,1281,513,13,522,283,5,285,4611,724,5333
POA2126,41,667,704,1551,70,1624,1194,16,1213,1597,23,1622,572,4,573,278,4,284,5227,787,6016
POA2127,111,3002,3116,3474,700,4170,1598,141,1734,1071,53,1116,275,17,287,97,0,97,6614,3907,10516
POA2128,7,197,204,209,39,246,139,9,151,121,12,135,51,4,56,40,0,45,571,263,832
POA2130,42,1099,1144,956,189,1143,420,53,468,328,19,342,76,4,77,27,0,26,1844,1361,3203
POA2131,89,3034,3127,2546,657,3206,1365,208,1575,967,102,1072,344,47,391,188,28,214,5502,4076,9583
POA2132,42,858,902,976,141,1110,650,50,691,624,31,654,260,13,279,148,9,156,2702,1095,3800
POA2133,41,1072,1109,979,124,1105,694,42,736,674,20,696,269,9,282,167,4,174,2821,1274,4095
POA2134,42,1681,1728,1734,701,2437,1075,313,1392,760,175,933,297,56,350,209,36,246,4116,2965,7077
POA2135,59,1753,1812,2072,548,2622,1405,345,1750,1353,272,1621,595,132,724,403,66,471,5886,3115,8995
POA2136,22,615,645,705,126,832,553,42,596,460,19,478,192,4,201,107,4,110,2045,812,2858
POA2137,102,2288,2385,3342,385,3725,1690,122,1814,1627,70,1699,661,19,683,263,15,272,7693,2890,10583
POA2138,78,1894,1975,2566,550,3108,1313,158,1467,1012,73,1084,326,21,349,114,3,120,5412,2699,8109
POA2140,58,1717,1783,2040,618,2656,1449,310,1754,1116,183,1301,353,52,404,135,28,159,5150,2910,8061
POA2141,68,1953,2021,2683,621,3304,1981,305,2290,1654,184,1842,746,111,856,681,47,729,7817,3218,11036
POA2142,65,2378,2442,1948,567,2516,1499,310,1807,1294,222,1517,633,125,759,670,83,750,6111,3682,9796
POA2143,13,625,640,650,108,757,503,49,557,521,35,555,273,18,289,288,22,316,2247,865,3114
POA2144,64,1937,2000,2009,606,2612,1772,472,2243,1751,432,2189,1102,249,1354,1198,172,1368,7904,3863,11765
POA2145,211,5656,5867,6759,1138,7895,5753,567,6324,5933,401,6339,2104,192,2299,1284,99,1381,22051,8054,30101
POA2146,50,1167,1216,1530,239,1769,1296,107,1399,1335,78,1412,483,45,532,294,26,319,4996,1661,6653
POA2147,91,2784,2878,3464,472,3936,2245,179,2422,2342,141,2481,942,68,1011,587,27,613,9672,3672,13347
POA2148,205,4702,4904,5384,1008,6392,4120,428,4549,3979,287,4269,1724,144,1861,1237,77,1314,16650,6644,23296
POA2150,118,3726,3843,3502,1188,4691,2812,550,3362,1643,275,1918,377,75,451,202,36,229,8651,5841,14495
POA2151,63,2098,2165,2075,381,2453,1236,115,1354,1281,67,1351,477,17,501,240,12,252,5377,2691,8072
POA2152,55,1209,1266,1264,163,1430,676,48,726,643,26,667,271,3,280,109,4,107,3025,1455,4475
POA2153,198,3172,3368,5542,448,5983,3898,140,4042,4733,122,4857,1871,54,1926,800,25,823,17045,3958,21002
POA2154,116,2099,2222,3592,256,3848,2438,85,2524,2963,70,3037,1217,37,1253,630,15,642,10955,2559,13513
POA2155,202,2340,2542,4850,475,5320,4394,153,4548,6502,132,6638,2693,53,2743,1257,21,1284,19895,3173,23075
POA2156,38,621,665,1294,55,1347,631,13,645,802,14,814,499,11,505,288,7,296,3555,728,4278
POA2157,10,151,157,333,27,362,163,9,180,254,3,259,154,10,163,115,0,115,1028,205,1232
POA2158,36,488,522,763,74,831,422,17,441,589,20,608,259,9,270,207,0,210,2274,615,2886
POA2159,16,308,328,481,54,542,226,13,246,321,16,333,145,3,153,118,5,123,1312,404,1717
POA2160,72,3066,3138,2543,713,3258,1956,353,2310,1843,249,2091,1165,140,1301,1059,90,1150,8634,4607,13244
POA2161,61,2381,2448,1966,449,2413,1361,194,1555,1456,192,1655,1064,138,1200,1262,105,1369,7180,3459,10642
POA2162,30,1323,1353,1158,225,1383,915,108,1021,930,95,1027,663,70,739,710,50,758,4416,1867,6282
POA2163,18,1044,1055,649,158,806,463,57,518,393,42,432,277,36,314,317,24,345,2117,1358,3470
POA2164,27,1326,1353,1514,168,1686,1058,70,1128,1112,50,1159,754,30,784,640,18,657,5114,1662,6775
POA2165,64,2698,2765,2950,487,3436,2267,185,2454,2243,155,2396,1460,87,1545,1448,88,1536,10429,3706,14129
POA2166,86,2996,3079,3241,705,3943,2827,299,3122,2760,211,2964,1618,124,1741,1697,81,1776,12223,4410,16635
POA2167,30,529,557,771,85,852,675,27,708,753,30,783,265,12,271,155,7,159,2648,688,3340
POA2168,80,2512,2592,2585,423,3013,2260,167,2424,2347,149,2494,1520,101,1622,1539,85,1621,10334,3424,13763
POA2170,303,8286,8588,8390,1484,9876,6293,526,6817,6477,411,6889,3313,216,3531,2674,138,2808,27448,11059,38506
POA2171,61,830,887,1776,160,1934,1899,61,1960,2866,88,2959,1692,58,1750,1108,39,1142,9400,1234,10629
POA2172,15,61,70,247,16,264,171,0,170,224,0,226,106,0,105,46,0,46,804,83,888
POA2173,42,509,554,1023,74,1097,914,26,938,1147,28,1183,462,7,472,188,7,195,3777,656,4435
POA2174,28,374,402,598,86,682,634,49,677,950,45,996,430,15,451,292,18,315,2929,594,3526
POA2175,0,83,82,150,21,168,74,4,78,85,8,90,58,3,60,68,0,75,428,119,550
POA2176,64,1873,1941,3537,261,3796,2687,107,2793,2850,111,2960,1793,77,1874,1466,49,1516,12399,2471,14876
POA2177,29,657,684,1045,108,1158,915,44,958,1046,47,1097,621,24,648,511,18,532,4165,907,5070
POA2178,4,157,161,292,49,339,168,19,183,172,11,180,157,8,165,155,3,160,949,247,1195
POA2179,32,681,717,1209,120,1329,923,55,979,1068,47,1120,534,25,562,360,6,366,4134,943,5074
POA2190,35,1456,1490,1434,215,1650,1161,109,1270,1268,101,1370,1027,90,1118,1054,66,1118,5971,2038,8012
POA2191,18,492,514,568,64,631,349,20,372,397,18,417,195,14,203,138,3,132,1664,610,2274
POA2192,32,1333,1367,1259,293,1547,832,116,945,642,59,698,315,25,344,240,23,260,3312,1844,5151
POA2193,92,1583,1675,1979,408,2389,1153,111,1263,1006,52,1065,379,24,403,159,13,167,4768,2190,6959
POA2194,67,2264,2330,2345,640,2982,1729,322,2054,1201,193,1404,473,81,554,375,48,421,6194,3549,9746
POA2195,40,1751,1792,1463,494,1962,1319,297,1614,1427,232,1661,818,98,920,647,63,715,5726,2939,8664
POA2196,56,2071,2131,2134,400,2537,1632,192,1822,1735,114,1853,1081,96,1175,1037,68,1103,7678,2940,10616
POA2197,14,519,537,584,102,685,407,33,442,510,46,554,355,29,388,342,23,367,2221,757,2979
POA2198,16,418,437,680,73,757,460,37,492,530,45,574,353,30,382,266,17,287,2306,620,2927
POA2199,26,1199,1226,1191,195,1394,939,100,1034,978,74,1050,658,47,705,630,41,669,4435,1652,6085
POA2200,105,3107,3212,3167,678,3850,2577,299,2880,2462,240,2706,1455,136,1591,1264,89,1353,11035,4553,15586
POA2203,83,2128,2207,1730,433,2169,795,93,889,684,45,728,171,14,187,75,0,80,3544,2717,6260
POA2204,151,3252,3401,3063,835,3893,1448,303,1748,1183,146,1327,351,46,397,244,21,264,6443,4597,11043
POA2205,97,2348,2439,2988,998,3986,1416,360,1776,907,153,1063,436,59,499,352,29,381,6203,3947,10144
POA2206,63,1329,1391,1836,208,2044,1127,67,1195,1331,51,1376,531,22,557,295,10,306,5184,1687,6870
POA2207,81,1994,2072,2478,284,2761,1671,98,1770,1678,71,1752,773,46,819,501,16,524,7181,2522,9698
POA2208,33,819,845,1167,132,1294,738,37,772,832,24,857,398,17,414,223,8,236,3386,1037,4424
POA2209,58,1286,1344,1395,201,1599,903,71,970,1008,41,1051,422,24,444,276,4,287,4068,1634,5702
POA2210,121,3012,3135,3121,416,3534,1943,135,2076,1927,97,2025,885,47,931,503,23,524,8499,3732,12232
POA2211,48,1344,1388,1627,188,1812,1041,56,1094,1097,50,1152,464,21,494,288,13,302,4570,1670,6241
POA2212,35,1175,1210,1399,161,1558,982,66,1047,1021,56,1080,531,21,554,336,8,342,4302,1482,5784
POA2213,72,1585,1658,2051,219,2268,1330,63,1394,1593,33,1631,718,20,738,369,18,386,6137,1939,8071
POA2214,10,203,217,393,32,430,220,10,226,285,4,288,139,0,137,63,0,61,1108,249,1361
POA2216,95,2940,3033,2859,714,3570,1710,283,1992,1363,142,1507,586,53,639,324,31,356,6936,4164,11101
POA2217,89,2897,2987,2913,547,3460,1850,204,2049,1678,83,1770,578,42,617,257,15,272,7368,3785,11154
POA2218,50,1372,1426,1602,270,1880,1098,125,1220,908,62,966,358,24,382,212,12,224,4231,1859,6090
POA2219,56,1673,1730,1549,217,1765,793,55,850,783,45,823,307,15,317,140,5,150,3628,2007,5637
POA2220,72,2080,2152,2810,599,3410,2255,307,2565,1958,207,2164,800,82,879,528,43,572,8422,3323,11744
POA2221,48,998,1053,1376,132,1504,1003,50,1056,1108,41,1147,571,21,592,290,8,299,4395,1248,5642
POA2222,36,1182,1218,1246,184,1434,827,86,914,749,54,804,263,14,274,158,3,162,3281,1519,4803
POA2223,77,1779,1860,2180,239,2417,1279,71,1354,1387,38,1423,590,19,609,227,6,229,5740,2152,7892
POA2224,57,1136,1191,1543,146,1687,828,34,863,930,25,959,413,22,429,161,8,166,3932,1367,5302
POA2225,16,205,221,467,30,496,302,10,309,465,7,475,215,3,214,58,0,60,1524,248,1770
POA2226,49,897,944,1301,122,1421,769,20,787,975,26,1000,384,8,395,105,0,106,3582,1082,4662
POA2227,83,1107,1195,1634,158,1795,866,34,895,1126,19,1143,423,10,438,141,0,137,4271,1336,5599
POA2228,98,2223,2319,2393,328,2720,1216,68,1278,1241,40,1285,479,18,500,174,7,179,5603,2679,8283
POA2229,138,2856,2989,3297,384,3681,1744,96,1837,1965,58,2026,863,27,894,324,14,330,8330,3435,11762
POA2230,177,3843,4026,4242,694,4940,1598,125,1722,1483,58,1540,628,9,634,235,10,247,8363,4747,13109
POA2231,14,128,141,206,22,228,112,10,119,185,5,189,89,5,92,51,3,53,653,168,822
POA2232,185,3564,3752,4074,503,4580,2101,97,2195,2232,51,2286,781,20,803,270,5,273,9640,4255,13890
POA2233,121,1653,1769,3014,171,3183,1700,35,1729,2215,22,2237,984,8,991,330,3,328,8349,1889,10245
POA2234,86,1084,1168,2949,141,3091,1797,43,1837,2256,31,2282,1072,20,1090,426,8,440,8587,1324,9909
POA2250,332,7935,8264,8009,1205,9216,3940,270,4212,3925,162,4084,1583,55,1640,808,38,849,18589,9670,28258
POA2251,168,3207,3371,4079,465,4549,1803,96,1906,2006,73,2079,837,35,873,360,18,375,9253,3893,13144
POA2256,75,2386,2463,2173,400,2577,875,97,968,725,56,780,255,14,267,126,13,140,4227,2971,7196
POA2257,169,3868,4037,4081,733,4810,1649,149,1797,1496,87,1583,559,30,593,266,17,277,8223,4878,13100
POA2258,24,350,376,597,68,663,278,16,294,312,14,323,142,7,147,87,3,93,1435,457,1892
POA2259,275,5515,5791,7314,1106,8425,3673,255,3928,3619,157,3776,1702,95,1800,930,44,977,17519,7169,24685
POA2260,134,1925,2063,2931,405,3335,1384,128,1509,1604,92,1697,704,33,741,296,12,306,7050,2595,9644
POA2261,264,6095,6365,6618,1005,7626,3017,230,3242,2895,145,3040,1234,63,1304,583,29,616,14615,7570,22186
POA2262,101,2188,2289,2455,413,2874,1190,97,1288,1101,56,1154,525,18,544,280,13,296,5657,2787,8444
POA2263,122,3509,3632,3074,556,3626,1367,121,1493,989,78,1070,446,35,485,271,19,293,6278,4319,10593
POA2264,77,1716,1790,2165,321,2489,904,68,972,707,31,743,328,14,339,191,9,204,4374,2156,6532
POA2265,35,603,637,833,110,944,396,20,414,376,11,387,193,11,202,126,0,127,1964,748,2715
POA2267,28,329,358,485,54,540,146,10,162,119,5,124,47,3,52,23,0,27,851,411,1259
POA2278,14,131,144,288,24,313,156,5,156,182,5,186,63,0,63,33,0,33,727,169,894
POA2280,148,2702,2847,3519,360,3875,1496,66,1561,1618,43,1661,625,9,632,235,8,246,7645,3188,10836
POA2281,79,1638,1715,2160,265,2426,864,47,908,790,19,808,348,13,362,115,7,121,4359,1981,6340
POA2282,86,1497,1581,2130,166,2296,851,40,894,1011,17,1033,371,9,382,131,6,138,4588,1737,6319
POA2283,132,2463,2596,3438,344,3777,1337,73,1416,1179,47,1226,485,17,505,265,17,282,6842,2965,9805
POA2284,63,1309,1372,1523,221,1742,716,51,768,680,22,702,239,9,253,128,3,134,3351,1621,4973
POA2285,178,2712,2896,3616,437,4052,2078,142,2228,2195,71,2265,807,26,831,341,9,348,9221,3399,12620
POA2286,41,329,371,536,73,610,308,15,322,266,8,279,98,11,111,61,0,64,1312,437,1755
POA2287,194,3419,3613,4297,650,4944,2444,288,2725,2312,139,2453,975,67,1034,443,25,466,10658,4586,15245
POA2289,127,1684,1804,2176,315,2489,1116,108,1225,1355,56,1412,512,9,526,160,8,162,5449,2179,7629
POA2290,200,3508,3706,4031,520,4548,1987,162,2154,2063,68,2128,791,36,831,309,8,317,9381,4297,13684
POA2291,93,1466,1563,1583,280,1863,705,152,851,819,65,887,363,14,378,98,6,99,3661,1974,5638
POA2292,26,347,373,290,94,384,163,36,192,119,14,129,38,4,42,5,0,7,642,496,1137
POA2293,22,509,533,495,125,629,155,58,212,127,26,144,36,0,34,9,3,8,840,718,1563
POA2294,19,286,309,264,64,329,117,31,146,81,9,92,19,6,27,6,0,7,508,397,908
POA2295,49,1024,1077,1079,160,1240,413,26,436,400,23,419,173,5,177,74,3,76,2182,1246,3429
POA2296,11,308,326,251,92,348,116,33,151,80,11,87,13,0,21,10,0,12,488,452,939
POA2297,12,161,178,208,57,263,113,25,134,90,7,98,26,3,25,13,0,9,459,257,714
POA2298,61,1274,1334,1156,292,1442,505,121,630,413,41,456,144,25,169,58,20,72,2344,1761,4105
POA2299,63,1390,1458,1239,293,1534,599,122,720,569,73,638,218,32,257,119,28,153,2811,1952,4762
POA2300,107,2491,2596,1714,561,2275,495,158,657,349,49,396,109,13,128,28,8,38,2808,3280,6086
POA2302,5,388,394,251,59,309,44,14,53,30,0,30,5,4,5,0,0,0,329,461,792
POA2303,52,1529,1576,1076,272,1350,467,141,605,456,60,510,167,18,185,53,6,59,2264,2018,4282
POA2304,90,2165,2258,1838,436,2280,895,151,1046,669,41,712,247,27,271,95,8,102,3834,2834,6663
POA2305,103,1369,1476,1398,206,1603,714,57,768,876,38,906,294,9,302,93,0,96,3472,1681,5151
POA2306,11,541,550,316,112,427,201,24,229,135,14,147,65,13,76,48,10,59,766,714,1486
POA2307,27,548,579,593,138,732,252,60,310,171,18,189,70,13,79,40,7,55,1157,785,1948
POA2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2311,9,93,106,127,23,147,38,4,43,51,3,59,21,0,23,8,0,8,257,121,384
POA2312,5,111,117,200,30,227,81,5,82,76,0,80,22,5,29,30,3,27,418,150,572
