POA_CODE_2021,M_SEO_Before_2005,M_SEO_2005_2010,M_SEO_2011_2015,M_SEO_2016,M_SEO_2017,M_SEO_2018,M_SEO_2019,M_SEO_2020,M_SEO_2021,M_SEO_Yr_arr_ns,M_SEO_Tot,M_Sol_sp_En_Vww_B_2005,M_Sol_sp_En_Vww_2005_2010,M_Sol_sp_En_Vww_2011_2015,M_Sol_sp_En_Vww_2016,M_Sol_sp_En_Vww_2017,M_Sol_sp_En_Vww_2018,M_Sol_sp_En_Vww_2019,M_Sol_sp_En_Vww_2020,M_Sol_sp_En_Vww_2021,M_Sol_sp_En_Vww_Yr_arr_ns,M_Sol_sp_En_Vww_Tot,M_Sol_sp_En_Nwna_B_2005,M_Sol_sp_En_Nwna_2005_2010,M_Sol_sp_En_Nwna_2011_2015,M_Sol_sp_En_Nwna_2016,M_Sol_sp_En_Nwna_2017,M_Sol_sp_En_Nwna_2018,M_Sol_sp_En_Nwna_2019,M_Sol_sp_En_Nwna_2020,M_Sol_sp_En_Nwna_2021,M_Sol_sp_En_Nwna_Yr_arr_ns,M_Sol_sp_En_Nwna_Tot,M_Sol_sp_E_Pr_E_ns_B_2005,M_Sol_sp_E_Pr_E_ns_2005_2010,M_Sol_sp_E_Pr_E_ns_2011_2015,M_Sol_sp_E_Pr_E_ns_2016,M_Sol_sp_E_Pr_E_ns_2017,M_Sol_sp_E_Pr_E_ns_2018,M_Sol_sp_E_Pr_E_ns_2019,M_Sol_sp_E_Pr_E_ns_2020,M_Sol_sp_E_Pr_E_ns_2021,M_So_sp_E_Pr_E_ns_Yr_ar_ns,M_Sol_sp_E_Pr_E_ns_Tot,M_Sol_sp_En_Tot_B_2005,M_Sol_sp_En_Tot_2005_2010,M_Sol_sp_En_Tot_2011_2015,M_Sol_sp_En_Tot_2016,M_Sol_sp_En_Tot_2017,M_Sol_sp_En_Tot_2018,M_Sol_sp_En_Tot_2019,M_Sol_sp_En_Tot_2020,M_Sol_sp_En_Tot_2021,M_Sol_sp_En_Tot_Yr_arr_ns,M_Sol_sp_En_Tot_YoA_Tot,M_LanProf_En_ns_B_2005,M_LanProf_En_ns_2005_2010,M_LanProf_En_ns_2011_2015,M_LanProf_En_ns_2016,M_LanProf_En_ns_2017,M_LanProf_En_ns_2018,M_LanProf_En_ns_2019,M_LanProf_En_ns_2020,M_LanProf_En_ns_2021,M_LanProf_En_ns_Yr_arr_ns,M_LanProf_En_ns_Tot,M_Tot_B_2005,M_Tot_2005_2010,M_Tot_2011_2015,M_Tot_2016,M_Tot_2017,M_Tot_2018,M_Tot_2019,M_Tot_2020,M_Tot_2021,M_Tot_Yr_arrival_ns,M_Tot_YoA_Tot,F_SEO_B_2005,F_SEO_2005_2010,F_SEO_2011_2015,F_SEO_2016,F_SEO_2017,F_SEO_2018,F_SEO_2019,F_SEO_2020,F_SEO_2021,F_SEO_Yr_arr_ns,F_SEO_Tot,F_Sol_sp_En_Vww_B_2005,F_Sol_sp_En_Vww_2005_2010,F_Sol_sp_En_Vww_2011_2015,F_Sol_sp_En_Vww_2016,F_Sol_sp_En_Vww_2017,F_Sol_sp_En_Vww_2018,F_Sol_sp_En_Vww_2019,F_Sol_sp_En_Vww_2020,F_Sol_sp_En_Vww_2021,F_Sol_sp_En_Vww_Yr_arr_ns,F_Sol_sp_En_Vww_Tot,F_Sol_sp_En_Nwna_B_2005,F_Sol_sp_En_Nwna_2005_2010,F_Sol_sp_En_Nwna_2011_2015,F_Sol_sp_En_Nwna_2016,F_Sol_sp_En_Nwna_2017,F_Sol_sp_En_Nwna_2018,F_Sol_sp_En_Nwna_2019,F_Sol_sp_En_Nwna_2020,F_Sol_sp_En_Nwna_2021,F_Sol_sp_En_Nwna_Yr_arr_ns,F_Sol_sp_En_Nwna_Tot,F_Sol_sp_En_Pr_En_ns_B_2005,F_Sol_sp_E_Pr_En_ns_2005_2010,F_Sol_sp_E_Pr_En_ns_2011_2015,F_Sol_sp_En_Prof_En_ns_2016,F_Sol_sp_En_Prof_En_ns_2017,F_Sol_sp_En_Prof_En_ns_2018,F_Sol_sp_En_Prof_En_ns_2019,F_Sol_sp_En_Prof_En_ns_2020,F_Sol_sp_En_Prof_En_ns_2021,F_So_sp_En_Pro_En_ns_Yr_ar_ns,F_Sol_sp_En_Prof_En_ns_Tot,F_Sol_sp_En_Tot_B_2005,F_Sol_sp_En_Tot_2005_2010,F_Sol_sp_En_Tot_2011_2015,F_Sol_sp_En_Tot_2016,F_Sol_sp_En_Tot_2017,F_Sol_sp_En_Tot_2018,F_Sol_sp_En_Tot_2019,F_Sol_sp_En_Tot_2020,F_Sol_sp_En_Tot_2021,F_Sol_sp_En_Tot_Yr_arr_ns,F_Sol_sp_En_Tot_YoA_Tot,F_LanProf_En_ns_B_2005,F_LanProf_En_ns_2005_2010,F_LanProf_En_ns_2011_2015,F_LanProf_En_ns_2016,F_LanProf_En_ns_2017,F_LanProf_En_ns_2018,F_LanProf_En_ns_2019,F_LanProf_En_ns_2020,F_LanProf_En_ns_2021,F_LanProf_En_ns_Yr_arr_ns,F_LanProf_En_ns_Tot,F_Tot_B_2005,F_Tot_2005_2010,F_Tot_2011_2015,F_Tot_2016,F_Tot_2017,F_Tot_2018,F_Tot_2019,F_Tot_2020,F_Tot_2021,F_Tot_Yr_arrival_ns,F_Tot_YoA_Tot,P_SEO_B_2005,P_SEO_2005_2010,P_SEO_2011_2015,P_SEO_2016,P_SEO_2017,P_SEO_2018,P_SEO_2019,P_SEO_2020,P_SEO_2021,P_SEO_Yr_arr_ns,P_SEO_Tot,P_Sol_sp_En_Vww_B_2005,P_Sol_sp_En_Vww_2005_2010,P_Sol_sp_En_Vww_2011_2015,P_Sol_sp_En_Vww_2016,P_Sol_sp_En_Vww_2017,P_Sol_sp_En_Vww_2018,P_Sol_sp_En_Vww_2019,P_Sol_sp_En_Vww_2020,P_Sol_sp_En_Vww_2021,P_Sol_sp_En_Vww_Yr_arr_ns,P_Sol_sp_En_Vww_Tot,P_Sol_sp_En_Nwna_B_2005,P_Sol_sp_En_Nwna_2005_2010,P_Sol_sp_En_Nwna_2011_2015,P_Sol_sp_En_Nwna_2016,P_Sol_sp_En_Nwna_2017,P_Sol_sp_En_Nwna_2018,P_Sol_sp_En_Nwna_2019,P_Sol_sp_En_Nwna_2020,P_Sol_sp_En_Nwna_2021,P_Sol_sp_En_Nwna_Yr_arr_ns,P_Sol_sp_En_Nwna_Tot,P_Sol_sp_En_Pr_En_ns_B_2005,P_Sol_sp_E_Pr_En_ns_2005_2010,P_Sol_sp_E_Pr_En_ns_2011_2015,P_Sol_sp_En_Prof_En_ns_2016,P_Sol_sp_En_Prof_En_ns_2017,P_Sol_sp_En_Prof_En_ns_2018,P_Sol_sp_En_Prof_En_ns_2019,P_Sol_sp_En_Prof_En_ns_2020,P_Sol_sp_En_Prof_En_ns_2021,P_So_sp_En_Pro_En_ns_Yr_ar_ns,P_Sol_sp_En_Prof_En_ns_Tot,P_Sol_sp_En_Tot_B_2005,P_Sol_sp_En_Tot_2005_2010
POA2852,80,8,4,0,0,0,0,0,0,3,95,10,3,4,0,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,0,0,0,3,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,88,11,8,0,0,0,5,0,0,9,118,92,8,3,0,0,0,0,0,0,0,109,6,9,4,0,0,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,0,0,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,101,15,6,0,0,4,0,0,0,0,134,173,15,7,0,0,0,0,0,0,6,208,16,10,9,0,0,4,3,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10
POA2864,20,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,25,10,0,4,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,4,0,0,0,0,0,0,0,17,31,0,8,0,0,0,0,0,0,0,41,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
POA2865,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,13,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,5,25,22,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2866,44,4,4,0,0,0,0,0,0,4,54,3,0,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,45,4,12,0,0,0,0,0,0,4,68,49,6,0,0,0,0,0,0,0,4,64,4,3,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,52,9,8,0,0,0,0,0,0,4,72,88,10,4,0,0,0,0,0,0,6,116,8,3,12,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3
POA2867,7,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,13,6,0,7,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,11,15,0,7,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2868,7,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,3,13,17,0,5,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,0,0,0,0,0,21,23,0,5,0,0,0,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2869,28,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,25,0,5,0,0,0,0,0,0,0,35,30,0,0,0,0,0,0,0,0,0,32,4,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,36,5,3,4,0,0,0,0,0,0,48,53,0,0,0,0,0,0,0,0,3,56,11,3,0,0,0,0,3,0,0,0,18,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,3
POA2870,132,23,22,0,0,0,3,0,0,4,195,27,29,34,8,3,22,11,4,0,0,140,6,0,0,4,0,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,34,30,37,12,6,20,11,7,0,0,156,3,0,0,0,0,0,0,0,0,0,3,167,51,62,16,10,22,14,8,4,4,355,156,19,16,10,7,7,5,5,4,8,230,35,22,26,5,5,17,8,8,0,0,126,3,3,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,37,25,29,5,5,17,8,11,0,0,137,0,0,0,0,0,0,0,0,0,0,0,196,47,49,15,8,17,7,14,4,13,366,288,46,39,12,3,8,3,10,3,17,426,61,52,63,16,12,32,13,10,0,0,268,8,5,5,4,0,5,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,71,60
POA2871,73,10,9,5,0,3,3,0,0,8,108,11,10,13,5,0,7,3,0,3,0,52,3,3,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,14,13,7,0,7,9,0,3,0,61,0,0,0,0,0,0,0,0,0,0,0,85,18,16,11,0,10,15,0,3,13,171,98,16,9,0,7,7,0,0,0,4,148,17,9,11,3,7,3,13,3,3,5,77,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,22,11,17,3,7,3,17,3,3,5,79,0,0,0,0,0,0,0,0,0,0,0,119,30,23,11,8,8,21,3,6,11,232,176,25,14,3,7,6,6,0,0,12,250,28,17,22,13,6,11,18,3,6,5,128,6,0,5,0,0,0,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,34,23
POA2873,5,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,6,13,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2874,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2875,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,11,6,0,0,0,0,0,0,0,0,14,4,5,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,11,5,6,3,0,0,0,0,0,0,27,11,6,0,0,0,0,0,0,0,0,21,4,5,0,3,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
POA2876,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2877,15,0,0,0,0,0,4,0,3,6,28,4,3,10,3,10,6,13,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,3,10,5,13,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,21,7,10,4,10,8,16,0,6,0,84,40,0,4,0,0,0,0,0,0,0,48,4,7,3,3,14,4,6,3,0,0,45,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,7,3,3,14,6,7,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,40,9,8,4,14,6,12,3,0,0,96,54,0,4,3,0,5,5,0,3,6,76,9,7,17,6,18,16,20,3,0,0,100,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,7
POA2878,3,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,4,0,12,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
POA2879,17,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,16,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,20,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2880,195,29,23,6,3,10,4,6,5,8,284,46,21,36,4,12,17,14,8,6,5,168,4,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,52,21,44,4,12,17,18,6,4,5,181,0,0,0,0,0,0,0,0,0,7,7,245,50,62,13,14,23,20,11,7,14,460,217,31,27,3,9,3,11,3,0,6,312,65,36,30,10,16,27,28,10,4,0,223,15,0,3,0,0,0,4,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,77,39,38,12,15,27,26,14,3,4,248,0,0,0,0,0,0,0,0,0,0,0,293,63,61,17,21,28,40,23,4,12,564,411,60,46,16,11,9,16,5,4,14,590,114,54,74,15,27,40,42,22,8,6,391,12,0,7,0,0,0,6,6,0,0,35,0,0,0,0,0,0,0,0,0,0,0,128,52
POA2898,15,0,0,0,0,0,0,0,0,5,24,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,12,4,3,0,0,4,0,0,0,6,32,18,4,8,0,0,0,0,0,0,0,32,0,3,5,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,18,9,16,0,0,0,0,0,0,4,42,34,7,8,0,0,5,0,0,0,9,55,0,3,9,0,0,4,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
POA3000,893,380,467,141,173,277,358,173,65,60,2986,901,1010,1873,914,1176,1337,1718,715,157,120,9921,99,92,200,116,178,266,286,96,29,46,1393,3,0,0,0,0,0,4,3,3,0,22,997,1097,2068,1027,1355,1602,2005,816,189,170,11340,8,0,4,3,0,0,7,0,3,16,31,1899,1480,2537,1174,1533,1881,2370,984,259,241,14355,633,340,367,123,152,181,300,131,59,30,2315,997,1114,2242,1080,1372,1658,2113,901,169,120,11768,125,119,231,128,199,263,332,108,41,38,1584,0,0,5,0,0,5,7,0,3,5,19,1125,1228,2475,1212,1574,1926,2456,1007,207,161,13367,0,0,0,0,5,4,0,0,0,10,15,1760,1565,2839,1336,1729,2110,2757,1137,264,201,15693,1528,714,830,267,326,458,657,304,119,98,5297,1900,2118,4112,1999,2549,2997,3834,1612,325,243,21681,224,204,425,238,384,530,618,200,70,83,2980,5,5,5,3,0,3,11,3,7,7,44,2123,2329
POA3002,240,40,45,14,18,13,26,14,4,7,424,101,14,40,8,12,13,28,3,0,8,230,6,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,113,14,41,8,11,13,29,3,0,9,242,0,0,0,0,0,0,0,0,0,0,0,352,61,87,22,30,33,53,18,6,8,671,264,36,64,14,9,9,22,9,3,4,431,114,36,41,11,10,17,20,7,3,5,272,18,5,0,3,0,0,0,0,0,4,30,0,0,0,0,0,0,0,0,0,0,0,132,40,43,12,17,18,21,7,5,11,303,0,0,0,0,0,0,0,0,0,0,6,392,79,107,30,24,25,42,14,9,13,740,502,82,108,26,22,29,48,24,13,8,862,216,59,80,25,29,30,51,9,3,12,508,25,5,0,3,0,0,4,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,238,59
POA3003,213,88,96,37,24,35,47,20,10,6,583,142,153,292,123,134,136,200,86,12,11,1287,24,24,21,10,5,24,34,11,0,4,172,0,0,0,4,0,0,0,0,0,0,5,169,175,311,135,148,157,234,105,11,17,1468,0,0,0,0,0,0,0,0,0,31,32,382,261,414,174,168,193,282,118,20,60,2082,207,66,83,17,35,30,44,23,6,3,512,185,165,335,158,137,174,200,91,14,9,1481,43,8,36,6,18,18,34,19,0,0,187,0,0,0,0,0,0,0,0,0,4,3,230,179,367,165,154,190,236,111,14,18,1673,0,0,0,0,0,0,0,0,0,0,0,432,246,454,181,190,222,282,137,24,23,2186,416,156,180,57,55,67,96,40,14,12,1092,331,316,626,283,278,305,408,179,24,23,2770,67,33,56,20,28,43,70,34,0,12,364,0,0,0,0,0,0,0,0,0,0,11,397,351
POA3004,492,119,158,45,59,69,104,38,18,15,1106,296,211,284,118,122,134,149,65,14,10,1408,18,17,18,0,3,0,14,10,6,4,94,0,0,0,0,0,0,0,0,0,0,6,321,224,303,119,122,138,166,69,23,16,1500,5,0,0,0,0,0,0,0,0,0,5,817,344,455,160,181,211,273,106,36,33,2613,479,115,108,34,56,62,101,46,13,9,1036,332,248,337,130,135,170,157,61,14,13,1606,15,20,27,13,6,16,30,18,3,4,149,0,0,0,0,0,0,0,0,0,0,6,350,270,364,142,143,183,192,78,24,17,1754,3,0,0,0,0,0,0,0,0,0,4,832,379,476,177,201,252,295,124,37,28,2800,972,238,272,73,114,138,206,81,25,26,2149,630,457,618,245,250,310,312,129,34,25,3010,34,30,41,15,16,15,43,29,15,3,242,4,0,0,0,0,0,0,0,0,0,9,665,487
POA3006,700,293,359,121,138,142,192,66,32,33,2068,606,586,848,357,403,528,653,232,53,52,4306,33,33,45,22,16,36,72,38,12,10,312,0,0,0,0,0,4,0,0,3,0,9,631,614,887,373,422,566,725,267,72,55,4626,0,0,0,0,0,0,0,0,0,0,11,1335,910,1252,497,558,710,920,335,106,96,6706,586,234,293,85,133,134,194,72,17,19,1770,685,706,956,394,473,544,745,308,59,57,4932,66,66,69,27,35,49,85,56,14,9,476,0,0,0,0,0,0,0,3,0,0,5,752,774,1020,417,512,594,835,369,72,65,5408,0,0,0,0,0,0,0,0,0,7,7,1338,1006,1313,503,644,731,1028,440,94,99,7190,1282,521,653,204,273,274,388,142,52,54,3844,1291,1289,1801,749,876,1073,1396,535,113,104,9235,96,92,110,45,53,85,155,98,29,13,786,0,4,4,0,0,4,0,0,3,0,17,1389,1387
POA3008,422,132,173,62,74,72,105,41,25,8,1111,420,375,699,307,378,435,497,155,64,43,3361,29,24,56,27,36,33,49,19,12,8,287,0,0,0,0,0,0,3,0,0,0,7,450,397,752,336,408,465,553,174,72,49,3654,0,0,0,0,0,0,0,0,0,0,0,867,534,922,396,487,541,655,207,98,57,4767,349,135,153,44,62,55,80,34,16,6,928,414,416,712,286,377,403,526,171,76,31,3426,45,44,62,34,31,43,81,44,17,14,414,0,0,0,0,0,0,0,0,0,0,9,460,460,777,320,408,454,609,218,102,47,3845,0,0,0,0,0,0,0,0,0,6,9,814,595,928,364,466,501,690,248,119,55,4781,770,263,325,103,135,124,184,70,41,17,2037,840,796,1412,591,756,843,1024,325,144,69,6789,75,66,116,65,61,71,133,64,30,22,697,0,0,0,0,0,4,3,0,0,0,17,914,863
POA3011,637,202,213,50,33,60,51,16,8,39,1301,814,299,378,144,151,208,226,51,7,52,2332,345,40,48,11,22,28,43,15,5,32,591,8,0,0,0,0,0,0,0,0,0,16,1168,340,428,153,172,235,271,71,11,80,2934,4,0,0,0,0,0,0,0,0,7,12,1813,542,643,201,208,292,324,84,19,127,4250,587,159,190,35,40,40,48,18,10,29,1147,802,294,336,118,129,181,205,67,11,51,2195,538,70,72,22,24,28,46,25,9,25,848,7,0,3,3,0,0,0,0,0,0,17,1348,361,414,135,155,211,252,91,16,78,3058,5,0,0,0,0,0,0,0,0,5,14,1944,515,604,171,196,255,298,107,21,113,4215,1222,355,404,77,81,102,98,31,15,64,2447,1620,591,716,260,282,389,432,116,18,97,4522,886,115,125,31,44,57,86,40,10,51,1437,13,3,3,3,0,3,0,0,0,3,30,2520,699
