POA_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
POA2227,0,3,0,0,6,0,4,0,0,11,0,0,5,5,3,0,0,0,0,14,7,15,36,45,89,61,8,0,0,266,0,3,10,15,26,6,5,0,0,65,89,125,160,170,185,90,23,0,0,840,0,6,10,28,47,30,8,0,0,133,53,44,47,55,50,38,9,0,0,293,55,26,22,27,15,16,8,0,0,159,11,8,36,70,90,67,19,0,0,298,0,8,10,26,17,12,3,0,0,82,0,5,37,90,89,34,3,0,0,257,0,8,16,27,7,11,7,0,0,76,0,23,61,96,100,57,29,3,0,374,4,3,14,29,29,26,4,0,0,102,0,11,49,77,67,70,12,0,0,284,3,5,40,22,41,28,10,0,0,156,7,13,35,44,40,24,15,3,0,192,7,7,17,14,11,6,3,0,0,72,9,13,33,25,29,29,5,0,0,144,12,10,20,40,39,29,12,0,0,168
POA2228,0,0,3,0,6,7,0,0,0,14,0,0,5,0,0,0,0,0,0,6,14,20,51,91,66,70,20,8,0,338,0,0,14,12,23,12,9,0,0,67,46,126,237,208,187,109,23,4,4,942,0,7,25,50,58,40,13,4,0,196,52,55,80,72,66,56,21,0,0,402,58,36,45,49,29,18,7,0,0,252,8,21,63,101,104,94,29,0,0,421,0,7,25,20,30,8,5,0,0,102,3,15,77,96,65,28,7,0,0,285,0,3,22,22,22,25,13,3,0,105,9,25,87,137,94,44,26,7,0,433,0,4,33,41,28,22,5,0,0,153,0,23,104,90,93,49,14,0,0,372,9,8,45,47,38,31,12,4,0,205,3,20,75,58,49,46,15,5,0,270,6,7,19,18,13,6,0,0,0,67,4,17,55,54,36,28,12,3,0,200,9,21,69,72,51,43,8,3,0,269
POA2229,0,0,0,0,0,0,4,0,0,11,0,0,3,0,0,5,0,0,0,9,22,28,75,97,126,116,30,8,0,504,4,5,12,23,31,22,6,0,0,108,124,204,420,366,276,186,45,0,0,1630,3,10,28,70,80,53,14,3,0,266,79,86,71,97,111,87,31,7,4,560,91,49,64,40,33,23,14,0,0,315,9,22,65,108,177,135,46,8,0,571,7,13,30,46,43,17,3,0,0,158,0,27,86,146,128,55,16,0,0,475,3,8,33,38,54,30,16,3,3,193,6,53,129,176,162,113,48,16,0,699,10,12,24,42,49,46,7,6,0,202,4,28,143,139,154,89,20,0,0,578,14,18,57,66,61,51,27,6,0,305,6,22,59,79,76,89,22,7,0,367,11,22,41,33,23,20,5,0,0,145,15,15,68,54,53,51,13,7,0,285,17,28,64,89,79,62,16,8,3,368
POA2230,0,0,9,9,0,3,4,0,0,23,0,0,3,12,9,5,0,0,0,37,13,25,78,88,111,136,44,10,0,488,0,5,32,23,31,17,12,0,0,118,109,236,555,289,274,201,51,5,0,1728,5,18,59,45,75,70,21,4,0,282,53,56,102,79,87,86,25,8,0,498,88,58,59,46,40,39,12,0,0,336,8,31,83,114,160,160,41,4,0,609,6,19,43,38,39,22,9,0,0,170,0,25,111,123,132,82,18,7,3,499,5,14,52,60,46,33,27,9,4,246,0,51,200,189,172,139,99,16,0,861,8,11,34,29,47,54,20,4,0,205,4,30,171,131,131,113,24,6,0,616,21,20,89,69,81,105,49,4,0,433,10,34,95,72,76,93,35,9,0,410,12,22,38,41,27,27,3,0,0,174,13,19,71,31,52,58,20,3,0,264,14,22,83,78,91,60,36,5,0,383
POA2231,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,3,4,9,16,14,5,0,0,52,0,0,0,0,8,0,0,0,0,18,17,11,46,44,38,16,5,0,0,185,0,6,4,3,4,0,0,0,0,19,3,3,4,11,9,7,4,0,0,38,11,3,0,4,3,5,0,0,0,29,0,0,6,15,28,9,3,0,0,63,0,0,4,0,0,0,0,0,0,5,0,0,4,5,0,0,0,0,0,11,0,0,0,3,5,0,0,0,0,6,4,0,7,5,9,6,5,0,0,33,0,0,0,5,7,9,0,0,0,18,0,0,3,9,11,6,7,0,0,32,3,0,0,6,0,4,0,0,0,18,0,5,0,8,0,5,0,0,0,16,0,0,0,0,0,5,0,0,0,11,0,3,5,6,5,3,0,0,0,29,0,0,3,12,12,11,0,0,0,35
POA2232,0,0,3,9,3,0,0,0,0,16,0,0,8,8,9,0,0,0,0,24,11,44,120,112,159,98,18,4,0,576,0,5,30,42,44,23,3,4,0,147,96,228,379,341,283,179,45,0,0,1549,0,16,63,92,82,68,10,5,0,326,71,125,134,132,110,74,28,8,0,689,117,71,74,60,40,21,8,3,0,399,4,28,121,158,213,153,39,0,0,719,0,8,33,66,51,20,3,0,0,183,4,29,126,199,162,64,11,0,0,586,0,5,35,50,33,20,8,0,0,156,6,45,310,297,180,119,52,7,0,1019,6,22,43,57,64,45,15,0,0,251,0,42,172,172,197,142,29,0,0,757,10,31,107,92,94,97,28,3,0,461,3,42,123,104,108,85,25,5,0,499,18,6,43,27,21,12,6,0,0,136,16,37,78,77,73,59,18,7,0,366,19,22,80,88,66,66,14,7,0,362
POA2233,0,4,3,6,6,0,0,0,0,19,0,0,4,15,9,6,0,0,0,31,18,28,68,120,140,113,37,3,0,517,3,5,24,42,56,34,0,0,0,168,176,221,309,355,317,166,34,4,0,1581,3,9,41,79,82,50,8,5,0,277,84,84,77,78,97,74,15,3,0,517,147,72,41,34,17,24,3,3,0,341,7,39,59,151,196,127,40,3,0,622,3,4,17,49,37,25,0,0,0,138,0,9,45,103,93,62,7,3,0,323,0,0,15,27,32,15,3,0,0,99,7,45,101,177,129,82,40,0,0,584,7,17,20,35,53,33,11,0,0,183,3,22,112,182,221,136,21,0,0,701,15,20,62,92,69,53,28,6,0,350,3,35,57,69,93,78,27,0,0,362,4,15,12,17,31,9,3,0,0,94,24,43,61,76,82,64,13,6,0,354,19,22,42,78,83,48,11,3,0,312
POA2234,0,0,4,3,0,4,0,0,0,11,0,0,3,6,3,7,0,0,0,20,16,33,69,89,168,156,63,0,0,605,0,6,17,30,35,24,7,0,0,116,119,223,278,272,279,208,59,0,0,1437,4,25,46,56,109,107,35,5,0,378,100,141,93,96,77,97,37,3,0,641,123,56,29,36,26,27,12,0,0,307,6,31,69,117,174,185,45,5,0,630,7,15,23,38,33,22,3,0,0,146,0,29,94,111,124,96,25,4,0,479,10,10,34,31,21,35,17,0,0,153,8,69,129,159,145,159,54,4,0,733,9,28,45,47,50,54,26,7,0,261,5,26,101,130,150,124,27,3,0,576,19,42,64,79,80,103,37,0,0,426,8,33,57,72,62,85,29,5,0,362,5,19,18,20,21,20,5,0,0,115,22,27,53,57,77,69,18,5,0,342,16,30,68,69,61,60,38,0,0,346
POA2250,9,20,54,49,59,61,31,16,6,309,0,4,21,26,22,18,7,0,0,93,50,110,286,290,321,240,49,0,0,1359,6,10,34,41,57,56,10,0,0,219,119,298,619,586,546,341,88,5,0,2613,8,16,88,102,145,99,28,9,0,505,207,246,357,250,215,174,58,10,0,1521,353,153,189,112,86,67,24,4,0,983,15,37,122,176,216,252,75,4,0,904,13,29,84,128,102,78,15,0,0,445,0,26,105,186,145,93,22,3,0,592,0,11,41,54,49,45,14,9,0,232,16,60,261,342,293,198,89,14,0,1292,23,44,118,113,126,93,41,7,0,568,7,42,169,294,298,213,45,0,0,1092,19,49,162,162,149,135,47,0,0,727,20,96,362,353,289,290,97,11,0,1528,23,24,47,55,46,25,14,4,4,244,40,73,127,138,144,129,43,3,0,698,28,60,167,178,169,122,37,15,4,781
POA2251,0,0,4,13,8,8,0,0,0,33,0,0,5,8,11,10,4,0,0,42,15,34,65,90,144,124,21,4,0,491,0,4,8,23,32,15,5,0,0,90,125,178,305,346,318,232,68,4,0,1581,4,8,14,43,64,65,11,4,0,211,118,84,79,82,95,76,36,3,0,575,183,72,45,53,54,39,8,3,0,462,7,14,29,50,78,104,23,5,0,317,0,11,34,52,45,33,6,0,0,194,0,20,32,60,97,56,9,4,0,287,3,0,14,28,41,21,16,0,0,132,6,28,70,169,173,121,49,8,0,627,7,15,21,47,63,54,20,0,0,228,0,23,79,125,168,112,30,0,0,542,9,18,84,104,98,96,40,0,0,461,11,30,85,102,138,157,56,5,0,581,19,11,17,20,24,24,7,0,0,116,10,20,31,69,46,72,22,0,0,271,16,33,45,62,89,49,16,3,0,312
POA2256,0,4,10,5,6,4,0,0,0,31,0,0,0,7,0,0,0,0,0,13,10,12,39,34,60,48,14,0,0,209,0,0,10,17,9,6,0,0,0,34,28,79,134,132,85,80,12,0,0,551,0,8,7,13,22,27,5,0,0,89,30,25,43,37,55,38,10,3,0,238,76,25,45,40,26,11,7,0,0,220,0,5,20,36,66,66,15,0,0,218,4,0,18,32,35,13,0,0,0,108,0,0,14,44,39,29,6,3,0,145,0,0,8,4,13,9,4,0,0,38,5,13,46,68,75,50,35,8,0,290,0,13,19,20,37,20,7,0,0,113,0,10,38,60,67,51,12,0,0,237,0,8,22,26,19,40,11,0,0,130,0,15,46,44,49,53,19,0,0,220,0,0,7,7,4,12,0,5,0,40,3,8,23,23,26,15,3,0,0,109,7,21,36,32,27,24,8,0,0,156
POA2257,4,6,10,7,12,5,0,0,0,42,0,0,3,8,10,13,3,0,0,32,17,37,58,91,111,89,13,0,0,418,3,3,13,17,21,23,0,0,0,77,57,139,289,313,267,193,42,3,0,1295,7,10,22,24,48,60,5,0,0,172,72,80,80,70,90,58,26,6,0,477,109,64,63,53,39,22,15,4,0,363,0,14,27,72,105,109,32,7,0,373,0,4,21,46,56,35,9,0,0,173,0,3,24,69,61,33,18,4,0,217,6,0,13,28,20,12,7,0,0,95,3,19,68,137,149,94,56,12,0,543,0,13,33,59,60,55,14,4,0,239,0,11,44,106,129,84,16,0,0,382,10,23,34,57,59,48,27,6,0,256,4,34,50,63,79,96,28,0,0,360,4,5,17,20,12,11,8,0,0,83,5,19,37,59,39,53,8,0,0,223,15,22,70,68,71,59,21,5,0,326
POA2258,0,0,0,3,3,6,0,0,0,14,0,0,0,0,5,3,0,0,0,8,0,9,25,30,28,31,5,0,0,118,0,0,0,3,4,0,0,0,0,13,22,26,48,40,37,39,13,0,0,213,3,3,4,6,18,14,3,0,0,38,20,25,16,23,18,21,3,0,0,122,27,12,8,9,4,5,0,0,0,57,0,10,5,14,19,28,10,0,0,82,0,4,3,9,12,15,0,0,0,45,0,7,4,12,19,7,0,0,0,49,0,0,0,3,3,4,0,0,0,13,0,3,16,26,20,16,7,4,0,93,0,0,11,12,6,3,0,0,0,40,0,6,19,25,25,20,3,0,0,95,0,9,13,7,20,13,3,0,0,65,5,16,22,17,21,27,10,0,0,113,5,10,0,12,0,3,0,0,0,25,8,17,8,15,19,13,3,0,0,82,0,5,11,15,19,14,3,0,0,62
POA2259,6,16,22,27,22,28,16,6,0,159,0,4,37,58,56,36,4,0,0,208,63,129,265,320,334,268,43,4,0,1413,8,11,50,74,83,78,15,0,0,318,230,370,710,609,526,370,69,8,0,2894,13,26,79,92,137,96,21,5,0,464,179,185,243,232,233,159,43,3,0,1278,345,156,126,94,77,61,14,4,0,879,20,48,142,216,291,237,49,7,0,1008,9,24,46,50,65,30,5,0,0,226,5,27,60,90,94,39,18,0,0,327,8,9,28,36,53,33,10,0,0,172,9,36,107,145,154,97,38,14,0,595,19,60,89,90,100,100,22,3,0,476,6,43,156,219,299,187,20,3,0,941,4,33,100,94,101,92,32,0,0,463,17,70,211,236,219,170,41,4,0,970,32,31,36,36,39,29,14,0,0,212,48,65,148,149,144,100,25,6,0,678,49,80,164,153,145,116,32,10,7,744
POA2260,0,8,7,3,8,5,3,0,0,40,0,0,4,16,14,11,3,0,0,47,16,23,52,95,104,86,19,6,0,406,0,3,15,24,26,17,0,0,0,91,91,146,219,291,264,183,37,3,0,1231,4,9,14,40,47,30,13,0,0,160,71,69,57,65,86,78,23,7,0,452,178,80,52,50,51,36,11,0,0,454,6,9,25,36,52,60,29,3,0,215,8,8,25,32,31,21,10,5,0,134,0,14,42,51,96,53,16,3,0,268,0,3,17,19,49,20,17,3,4,133,8,22,59,129,170,90,38,3,0,521,8,14,25,41,42,38,10,6,0,179,0,18,50,92,125,64,16,0,0,368,6,25,62,98,91,83,33,0,0,392,5,38,132,120,154,120,52,5,0,636,8,4,21,18,19,18,8,0,0,103,6,25,32,41,38,44,10,3,0,194,12,20,46,67,67,37,18,3,0,268
POA2261,0,9,22,20,18,16,0,0,0,87,0,8,20,30,20,23,0,0,0,98,35,81,197,237,262,198,46,5,0,1054,0,4,37,49,56,54,3,0,0,203,176,316,756,647,478,349,86,6,0,2818,6,24,40,73,74,70,20,0,0,313,155,128,203,148,164,138,41,10,0,993,272,116,118,116,78,71,18,0,0,799,13,25,75,101,149,214,61,15,0,648,7,16,37,47,44,35,6,0,0,183,0,9,46,71,59,56,8,0,0,258,6,10,38,39,41,31,18,0,0,173,3,27,122,180,97,91,43,5,0,572,9,49,63,90,98,87,24,0,0,424,8,22,114,219,199,166,28,0,0,757,11,29,150,155,112,107,32,4,0,603,10,67,156,134,170,172,50,3,0,760,11,19,27,31,24,26,12,0,0,139,17,54,87,108,103,78,17,8,0,483,13,63,121,115,119,107,30,9,3,574
POA2262,0,0,6,4,8,9,0,0,0,27,0,0,12,15,19,5,0,0,0,52,21,49,103,86,123,82,16,0,0,480,0,11,22,29,28,27,0,0,0,115,64,122,290,209,151,119,18,0,0,987,0,6,31,25,35,24,5,3,0,134,63,58,118,85,75,54,16,0,0,464,85,33,45,25,24,19,0,0,0,228,0,13,53,64,100,95,22,0,0,350,4,0,7,13,11,8,4,0,0,45,0,3,17,15,16,4,3,0,0,59,0,3,3,6,7,5,0,0,0,34,0,9,27,24,30,20,4,0,0,114,6,17,26,13,28,33,4,0,0,127,0,6,50,38,69,60,9,0,0,235,8,11,30,15,32,23,7,0,0,126,0,21,71,48,51,61,15,0,0,275,0,5,14,7,8,12,3,0,0,53,11,25,70,39,40,29,6,0,0,224,15,25,56,48,50,42,16,0,0,250
POA2263,3,5,9,6,13,11,3,0,0,41,0,3,6,12,21,5,4,0,0,54,16,28,127,107,90,108,20,3,0,502,0,3,19,13,35,33,0,0,0,112,57,126,262,227,207,128,32,3,0,1046,5,6,23,27,24,31,9,0,0,115,57,63,117,93,69,54,14,0,0,455,77,45,62,32,38,30,9,0,0,300,6,13,53,53,78,81,24,0,0,319,3,5,10,12,12,12,0,0,0,55,0,10,20,5,13,3,8,0,0,58,0,9,9,14,16,7,4,5,0,57,5,16,38,26,34,27,8,0,0,154,7,14,35,34,25,23,4,0,0,147,3,12,40,76,58,50,13,0,0,259,0,3,33,29,30,29,17,0,0,148,0,21,69,64,63,69,17,0,0,311,4,6,7,3,4,9,5,0,0,38,8,16,39,30,27,39,4,0,0,167,18,17,59,50,53,40,10,3,0,252
POA2264,0,0,5,3,12,9,3,0,0,41,0,5,26,41,29,20,5,0,0,133,3,30,53,53,67,54,12,4,0,274,0,4,11,14,24,18,0,0,0,81,45,95,164,139,127,113,34,0,0,718,0,10,13,21,26,26,4,4,0,99,40,49,48,32,28,26,13,0,0,238,56,28,39,23,16,7,6,0,0,179,0,13,35,44,56,60,21,4,0,222,0,0,11,8,10,8,3,0,0,38,0,5,6,10,7,17,0,0,0,46,4,4,9,7,9,9,4,5,0,47,3,14,33,32,25,26,18,4,0,160,0,17,18,26,18,18,9,0,0,101,0,10,26,29,33,33,3,0,0,141,5,9,22,19,28,41,14,0,0,131,0,22,41,48,41,57,17,4,0,229,9,0,11,6,5,4,0,0,0,35,7,15,30,27,44,20,10,6,0,158,12,17,35,40,41,17,10,0,0,171
POA2265,3,0,3,0,5,4,0,0,0,24,0,0,7,12,13,12,0,0,0,47,4,14,31,46,35,34,12,0,0,170,0,5,11,6,8,11,0,0,0,34,40,39,79,69,50,56,17,0,0,345,0,4,17,14,10,3,0,0,0,51,13,11,36,17,16,12,8,0,0,115,31,7,15,9,7,0,0,0,0,70,3,9,22,23,31,22,11,0,0,115,0,0,0,6,0,0,0,0,0,13,0,0,5,6,6,9,0,0,0,28,0,0,0,0,3,4,0,0,0,14,0,5,18,18,18,14,11,0,0,81,0,4,25,8,12,7,0,0,0,60,0,0,22,19,17,11,0,0,0,70,4,10,18,26,29,18,5,3,0,124,0,15,38,23,24,28,9,0,0,143,3,4,4,3,0,0,0,0,0,20,3,8,25,27,19,10,6,0,0,90,0,5,22,17,15,10,3,0,0,73
POA2267,0,0,0,0,0,0,0,0,0,0,0,0,10,13,12,13,0,0,0,42,0,5,9,8,11,8,9,0,0,51,0,0,0,8,6,9,3,0,0,27,10,20,18,37,15,23,10,0,0,131,0,0,0,3,3,4,0,0,0,16,0,7,5,3,6,10,3,0,0,38,7,4,0,7,7,4,0,0,0,27,0,0,0,5,8,8,3,0,0,28,0,0,0,0,0,4,0,0,0,3,0,0,3,8,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,5,0,0,3,11,3,4,0,0,0,32,0,3,4,5,5,3,3,0,0,20,0,0,0,4,6,5,0,0,0,20,4,0,0,7,5,9,7,0,0,30,0,0,0,6,8,10,3,0,0,30,0,0,0,0,0,4,0,0,0,7,0,4,3,0,7,3,0,0,0,20,0,5,6,8,0,3,0,0,0,22
POA2278,0,0,0,0,8,0,0,0,0,4,0,0,13,16,10,7,0,0,0,58,4,5,13,16,13,14,3,0,0,76,0,0,7,0,7,6,0,0,0,21,15,25,32,32,32,19,8,0,0,158,0,3,10,4,0,3,0,0,0,26,4,6,15,7,5,5,0,0,0,44,15,12,0,0,4,0,0,0,0,32,0,4,6,11,19,19,0,0,0,59,0,0,0,5,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,9,0,0,5,5,3,3,0,0,0,26,0,4,3,10,0,3,3,0,0,20,0,6,6,8,13,6,0,0,0,35,0,0,4,3,6,8,0,0,0,19,0,3,3,15,4,7,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,3,7,12,12,5,0,0,0,47,7,4,4,12,8,5,3,0,0,36
POA2280,0,3,4,3,13,3,0,0,0,26,6,7,58,80,87,51,4,0,0,288,9,33,81,118,140,100,16,0,0,507,0,3,18,45,49,23,3,0,0,148,107,177,310,257,257,201,32,6,0,1359,5,9,17,53,45,38,10,0,0,185,89,101,62,56,75,62,22,4,0,470,154,58,49,38,30,26,12,0,0,367,0,6,40,56,93,89,22,3,0,309,0,7,6,13,12,11,7,0,0,59,0,11,17,43,48,25,7,3,0,153,0,8,11,20,15,18,7,4,0,78,8,25,76,79,89,64,24,3,0,370,6,15,27,29,42,37,5,0,0,167,0,15,52,72,102,92,13,0,0,350,7,21,49,49,64,84,20,8,0,302,7,33,102,105,99,85,33,3,0,465,12,6,13,9,16,0,3,3,0,67,14,28,36,54,65,53,19,0,0,273,14,37,37,53,63,40,14,6,0,255
POA2281,0,0,5,0,0,6,0,0,0,17,4,5,27,41,40,39,0,0,0,148,6,11,33,37,68,70,9,4,0,238,0,0,17,26,20,22,0,0,0,83,50,95,113,154,154,119,34,0,0,716,0,7,11,13,32,27,6,0,0,96,37,34,30,27,45,33,12,0,0,227,59,40,15,23,15,20,4,0,0,173,0,8,19,34,49,53,16,3,0,173,0,0,0,6,13,7,0,0,0,30,0,0,6,24,19,21,9,0,0,78,4,5,7,3,3,6,0,0,0,34,0,8,32,50,45,33,10,0,0,177,9,7,21,19,27,21,8,0,0,106,6,7,34,46,69,46,5,0,0,211,7,11,26,33,38,40,10,0,0,162,0,17,27,45,50,42,12,0,0,195,7,0,6,4,14,6,3,0,0,35,4,11,10,20,30,20,11,0,0,109,8,14,17,34,54,25,9,0,0,159
POA2282,0,3,6,0,0,3,0,0,0,11,0,6,21,52,37,33,5,0,0,152,9,19,32,76,107,67,18,3,0,330,0,0,12,30,28,14,8,0,0,91,57,71,98,144,159,72,26,4,0,624,7,7,7,15,41,28,10,0,0,113,62,52,56,36,48,35,12,3,0,308,123,44,27,23,11,14,3,0,0,244,0,6,20,37,59,56,12,0,0,206,0,8,6,7,16,7,0,0,0,40,0,3,7,38,34,29,3,0,0,116,0,4,8,10,16,5,0,3,0,44,5,18,42,79,72,43,29,4,0,291,6,13,18,16,21,12,5,0,0,92,6,9,24,69,92,53,6,0,0,263,9,15,31,61,64,48,16,0,0,238,8,21,58,68,83,71,17,4,0,329,13,10,0,9,3,0,0,0,0,41,10,14,13,19,26,24,3,0,0,119,5,4,12,22,28,30,6,0,0,122
POA2283,0,0,0,0,6,7,3,0,0,30,0,6,63,74,78,65,0,0,0,295,14,58,91,90,136,100,21,0,0,512,0,10,32,25,34,47,6,0,0,144,79,142,194,203,190,128,29,0,0,971,0,8,23,33,49,36,16,0,0,166,53,46,78,46,67,52,18,3,0,375,96,39,40,16,29,19,5,0,0,248,0,6,46,42,85,103,27,0,0,311,0,4,6,9,10,7,7,0,0,45,0,0,18,23,26,16,4,0,0,92,0,3,14,12,15,24,10,0,0,88,5,25,57,46,56,64,33,7,0,292,7,10,18,26,41,27,11,4,0,138,0,19,35,74,84,61,18,0,0,296,6,8,37,40,67,56,26,0,0,248,9,36,75,48,64,82,21,4,0,335,4,9,10,3,13,8,0,0,0,44,11,28,34,39,40,33,10,6,0,198,14,30,56,50,42,38,8,0,0,248
