POA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
POA2023,37,73,108,432,530,963,0,0,0,11,18,32,0,0,0,738,956,1695,0,0,0,190,196,381,3,7,4,0,0,0,6,4,10,8,5,9,5,7,15,10,18,30,50,53,104,0,0,0,6,6,8,36,37,74,60,75,134,0,0,0,1547,1918,3461,29,22,53,17,22,41,1219,1307,2536,0,0,0,7,4,12,13,32,48,20,43,56,1658,1658,3317,24,21,44,13,19,29,1696,1697,3393,318,306,627,22,22,44,4911,5402,10314
POA2024,44,68,108,515,589,1099,0,0,0,9,7,14,0,0,0,1219,1367,2589,0,0,0,122,179,306,9,8,14,0,0,3,18,13,31,0,0,3,14,13,28,14,22,40,38,45,86,0,0,0,0,0,6,47,57,109,41,54,94,5,7,6,2051,2366,4418,20,20,36,19,17,38,249,264,514,0,0,0,0,0,0,10,10,25,14,10,24,2424,2515,4937,34,32,64,5,32,38,2468,2575,5041,401,472,874,14,8,20,5278,5803,11082
POA2025,39,60,104,419,584,1010,0,0,0,8,8,13,0,0,0,576,757,1336,0,0,0,55,91,149,0,4,4,0,0,0,8,7,16,0,6,6,7,3,10,7,7,12,42,48,96,0,0,0,3,5,5,26,47,73,32,39,73,3,6,6,1193,1613,2810,29,26,57,14,16,29,257,300,557,0,0,0,0,0,4,9,8,12,5,8,15,1347,1511,2860,16,19,34,6,12,17,1362,1542,2908,205,280,482,13,12,24,3125,3853,6981
POA2026,135,222,355,916,974,1889,0,0,3,27,42,75,0,0,0,2710,2960,5671,0,0,5,296,389,682,11,14,22,11,4,15,13,33,50,10,11,18,37,39,79,34,43,69,101,109,209,0,0,0,3,8,12,77,85,158,123,184,308,0,4,8,4375,4897,9273,63,74,133,73,63,135,2133,2258,4387,3,0,5,11,9,15,31,34,66,41,40,88,7447,7349,14795,76,60,133,38,81,121,7560,7485,15045,1247,1248,2489,99,68,166,15721,16348,32067
POA2027,54,75,126,484,595,1075,0,0,0,9,10,18,0,0,0,601,850,1450,3,0,0,98,131,235,0,4,0,0,0,0,15,12,24,0,0,0,9,6,13,4,10,14,67,54,119,0,0,0,3,6,11,31,39,70,31,39,68,4,3,10,1360,1758,3116,25,26,46,16,37,55,338,394,732,0,0,0,3,0,6,10,8,22,14,9,23,1356,1412,2770,10,12,24,4,13,24,1372,1443,2811,285,323,607,22,20,41,3482,4082,7559
POA2028,26,39,65,215,332,552,6,6,7,4,9,13,0,0,0,377,529,902,0,0,0,61,71,132,3,5,7,0,0,0,0,8,8,3,0,4,4,9,8,9,4,8,30,28,57,0,0,0,0,0,4,19,29,52,18,33,47,0,0,0,751,1056,1802,11,9,19,11,13,30,292,345,641,0,0,0,0,0,0,4,5,8,6,5,12,808,884,1694,10,6,19,4,9,9,826,898,1724,129,152,278,11,8,22,2057,2527,4583
POA2029,27,78,108,335,401,735,0,0,0,3,9,16,0,0,0,736,934,1668,0,0,0,124,190,314,9,5,10,0,0,3,7,11,17,4,4,3,8,3,14,9,5,20,63,50,111,0,0,0,0,3,5,23,31,59,44,53,93,0,0,0,1368,1709,3071,21,42,60,24,24,43,1347,1501,2850,0,0,0,0,4,4,4,12,18,7,12,24,1359,1390,2742,9,7,14,5,18,25,1374,1416,2787,338,423,760,19,13,37,4526,5214,9742
POA2030,76,101,183,553,633,1189,0,0,0,22,31,50,0,0,0,1064,1268,2334,0,0,0,380,435,813,6,9,16,0,0,0,10,14,32,6,8,16,13,11,21,4,14,22,53,61,115,4,0,4,0,3,3,35,45,86,64,85,148,5,5,7,2227,2622,4850,37,41,73,43,47,88,2156,2231,4384,0,0,0,3,8,11,7,12,20,14,17,30,1802,1800,3600,25,11,40,9,13,17,1834,1822,3658,443,452,888,19,32,50,6847,7357,14205
POA2031,197,346,545,1196,1580,2776,4,6,11,51,64,110,0,0,0,3906,4689,8593,0,0,5,474,573,1048,18,27,41,0,3,10,34,42,79,18,20,33,49,43,94,48,70,124,177,205,383,0,4,10,3,9,14,109,136,242,179,220,400,9,8,17,6289,7686,13981,176,145,323,169,129,303,810,866,1682,0,0,0,15,14,24,41,50,94,49,65,114,6970,7124,14094,78,57,130,24,60,87,7078,7238,14311,1262,1348,2617,62,78,141,16108,17909,34014
POA2032,317,355,669,382,440,819,8,7,13,42,49,91,0,0,6,1548,1708,3263,3,3,3,599,673,1272,18,20,39,0,0,0,13,8,26,15,16,25,30,36,58,27,52,81,121,114,232,0,4,4,5,5,13,53,58,111,140,160,304,0,3,8,3018,3351,6364,254,172,421,284,216,505,237,248,490,0,0,0,3,4,12,9,17,24,18,17,37,2612,2304,4912,38,19,59,11,12,21,2659,2329,4992,528,469,1000,48,29,75,7358,7192,14550
POA2033,200,297,495,335,395,734,0,0,0,35,38,73,0,0,0,1203,1234,2433,6,4,3,380,423,800,6,6,9,4,3,6,8,5,16,18,23,45,24,21,47,37,52,88,77,87,164,7,4,8,0,3,7,43,42,87,102,111,213,0,4,4,2274,2461,4734,188,154,342,151,157,304,170,213,380,0,0,0,8,10,18,18,20,38,29,29,63,2333,2082,4418,39,22,58,10,12,20,2376,2112,4490,443,397,841,59,46,101,5893,5871,11763
POA2034,83,144,219,698,852,1546,15,16,25,20,35,53,0,0,0,2377,2848,5223,0,5,5,404,508,913,8,13,14,8,0,13,12,15,30,17,18,33,15,22,40,25,56,82,88,99,189,3,3,9,3,6,3,76,75,150,96,131,230,0,0,3,3862,4689,8551,62,61,117,64,68,132,341,364,703,0,4,4,0,8,8,13,20,33,14,25,45,4171,4474,8642,51,35,90,11,29,43,4238,4538,8770,618,676,1295,37,45,72,9311,10607,19913
POA2035,329,560,885,1084,1416,2499,16,19,36,104,136,238,0,0,0,4701,5084,9787,4,3,9,1377,1557,2935,31,42,65,16,16,26,26,36,59,49,56,110,35,66,97,101,140,237,230,240,466,4,8,13,6,14,23,107,142,247,264,346,609,0,3,3,8154,9309,17461,140,144,283,204,226,433,837,929,1762,3,3,8,14,19,34,42,63,114,62,91,153,5671,5353,11025,55,54,113,26,37,58,5750,5447,11197,1040,1018,2055,48,49,95,16566,17766,34334
POA2036,286,419,702,1296,1524,2820,79,86,168,95,134,231,4,5,7,5207,5687,10897,5,6,7,782,875,1652,25,39,58,27,19,48,26,31,55,47,58,103,48,64,114,95,107,200,173,215,389,3,0,5,18,16,35,107,144,249,279,341,620,9,11,14,8311,9363,17669,224,171,396,498,439,936,395,421,821,4,0,6,34,36,65,42,57,96,73,89,163,4888,4457,9345,36,38,71,23,40,60,4946,4529,9481,2154,1129,3280,27,44,72,16911,16608,33518
POA2037,228,380,609,464,592,1061,0,0,0,37,41,79,0,0,0,1165,1275,2439,0,0,0,143,161,301,12,15,22,0,12,16,6,20,29,3,13,21,16,19,38,22,39,58,61,64,126,0,0,5,7,13,23,85,89,171,94,146,239,10,10,13,2117,2529,4647,114,111,225,108,105,220,55,44,96,7,3,14,16,11,25,51,59,113,73,79,153,4488,4401,8884,58,61,120,21,37,53,4563,4495,9060,658,613,1272,33,41,74,7957,8392,16352
POA2038,70,89,161,316,368,685,0,0,0,10,13,19,0,0,0,798,950,1746,0,0,3,107,125,235,4,8,13,0,0,0,7,18,23,10,10,21,10,10,21,15,16,23,52,52,104,5,7,9,3,0,0,42,63,104,47,53,100,3,4,8,1432,1692,3126,23,27,53,43,35,78,34,36,71,0,0,4,8,0,12,23,23,44,28,26,57,2413,2539,4960,30,40,67,9,28,32,2453,2607,5059,371,323,694,3,9,15,4466,4851,9317
POA2039,62,84,143,301,438,739,0,0,0,17,18,31,0,0,0,849,982,1834,3,0,3,96,80,174,0,0,4,0,0,0,10,9,19,5,4,9,6,11,18,7,7,20,56,55,115,0,0,0,0,0,0,34,51,86,27,52,81,0,3,6,1422,1720,3146,40,24,67,23,21,46,25,24,49,0,0,0,7,8,13,10,11,21,13,22,35,2197,2271,4468,27,22,51,7,18,20,2230,2309,4540,183,178,364,9,3,12,4003,4397,8397
POA2040,164,287,450,705,855,1560,6,0,3,53,60,112,0,0,0,2454,2927,5377,0,0,0,322,380,695,28,28,53,7,10,10,16,26,44,19,16,39,25,47,66,46,47,88,105,138,242,4,0,0,9,8,20,105,151,255,121,142,267,7,4,10,4020,4840,8861,82,79,159,97,78,171,52,60,115,0,3,0,4,11,17,40,50,90,50,60,106,5623,5670,11299,80,71,151,18,32,49,5728,5771,11495,582,614,1190,16,18,34,10780,11805,22591
POA2041,56,138,192,751,842,1586,0,0,0,16,23,44,0,0,0,1452,1715,3170,0,0,0,155,149,303,0,5,4,0,5,4,17,35,52,16,18,34,19,14,32,13,31,46,104,157,262,10,7,16,0,0,0,92,102,189,58,81,141,0,0,6,2710,3186,5896,49,44,93,27,26,56,52,49,105,0,0,0,0,6,6,21,20,44,21,20,45,3943,3985,7925,47,44,94,12,21,30,3999,4050,8048,440,420,857,20,23,40,7374,7963,15337
POA2042,226,273,495,421,468,885,0,0,0,30,26,61,0,0,0,975,956,1934,0,0,0,232,272,498,3,4,10,7,4,9,11,14,18,5,0,14,23,21,44,19,22,42,55,39,87,0,0,4,0,9,9,50,67,118,82,97,176,10,4,16,1917,2002,3919,79,65,138,116,77,190,71,94,169,4,4,7,3,4,9,60,70,127,66,77,140,6034,5648,11682,119,79,202,27,40,67,6178,5769,11943,662,507,1161,32,36,63,9336,8889,18223
POA2043,100,146,238,203,202,401,0,0,0,11,21,27,0,0,0,574,614,1189,0,0,0,73,74,148,0,5,3,0,0,0,7,17,23,9,3,11,6,5,16,16,20,32,31,39,64,5,3,7,6,6,9,23,38,56,43,65,103,0,0,3,1004,1102,2106,35,36,70,42,29,76,44,37,81,0,0,4,0,0,0,16,23,41,24,23,50,3285,2964,6248,52,37,93,8,25,31,3350,3021,6370,257,201,453,15,14,30,4855,4614,9468
POA2044,154,192,350,180,165,346,0,0,5,16,15,33,0,0,0,652,663,1312,6,4,3,231,227,457,5,0,9,0,5,4,0,0,0,0,0,4,13,15,25,11,8,21,39,40,77,0,0,0,4,6,9,35,35,72,70,79,151,4,0,4,1255,1279,2538,67,65,134,76,58,138,27,21,47,0,0,0,4,0,4,24,20,43,28,17,48,2293,2098,4391,35,40,74,6,7,22,2338,2144,4483,235,186,422,10,4,20,4200,3981,8175
POA2045,31,46,76,209,216,429,0,0,0,9,19,29,0,0,0,1402,1456,2858,0,0,0,125,136,258,10,12,24,0,0,0,0,8,8,0,4,4,0,0,12,4,7,12,30,36,70,0,0,0,0,0,0,36,54,88,45,31,74,0,0,0,1873,1980,3857,23,21,43,28,18,40,14,9,18,0,0,0,0,0,0,13,8,20,13,8,20,1058,1038,2099,12,21,37,3,5,15,1076,1066,2148,120,103,227,5,5,8,3184,3253,6440
POA2046,241,399,645,846,1070,1915,8,21,30,77,77,146,0,4,4,5138,5872,11005,6,3,6,687,766,1448,25,50,68,12,17,26,19,19,34,78,90,168,28,31,56,61,70,134,188,264,448,0,8,9,6,10,12,126,158,284,196,236,432,3,8,17,7497,8752,16251,124,152,278,146,180,329,34,48,77,0,0,0,4,9,18,43,56,98,54,62,112,4034,3857,7886,34,45,84,19,35,56,4086,3935,8021,638,739,1374,19,22,45,12846,14296,27142
POA2047,58,138,195,478,588,1066,0,3,4,21,34,59,0,0,0,1734,2021,3760,0,5,5,329,346,671,8,18,21,0,4,4,13,13,32,33,38,70,10,19,27,20,28,47,121,141,262,0,0,0,4,0,4,66,105,178,66,85,155,4,3,7,2908,3465,6376,75,87,161,89,89,181,19,19,36,0,0,0,7,9,15,19,21,39,22,30,59,2073,2004,4074,33,40,70,5,15,22,2111,2061,4169,290,369,660,0,10,16,5584,6263,11844
POA2048,61,108,163,206,240,449,0,0,0,17,12,30,0,0,0,664,748,1409,0,0,0,162,187,348,0,5,4,3,4,3,10,6,16,0,0,0,7,6,17,8,10,19,31,32,65,6,0,6,0,4,4,30,33,67,43,50,91,3,0,3,1180,1342,2527,42,42,86,43,32,69,14,17,26,0,0,0,0,0,3,18,25,35,16,22,44,2066,1967,4034,33,40,64,8,18,20,2103,2022,4120,250,190,439,3,9,13,3708,3775,7483
POA2049,119,188,309,291,336,627,0,0,0,41,35,73,0,0,0,1072,1186,2257,0,0,0,198,227,425,9,11,18,0,0,6,10,5,19,3,6,9,11,13,24,6,19,30,34,51,83,5,0,4,3,4,5,45,62,106,72,93,164,3,0,5,1800,2045,3850,57,50,107,57,56,106,23,43,67,6,3,14,8,3,8,17,31,45,30,38,70,3276,3331,6608,55,62,115,15,26,41,3349,3414,6765,458,387,847,15,11,30,5917,6234,12146
POA2050,105,137,247,262,287,553,0,0,0,25,27,49,0,0,0,629,715,1344,4,0,5,56,66,121,0,0,5,0,3,5,12,7,17,3,3,3,6,10,22,8,6,15,36,41,78,0,0,5,5,0,3,23,46,71,50,66,122,5,0,3,1135,1289,2422,65,55,112,58,57,117,26,29,55,0,3,3,13,13,15,20,9,28,26,23,54,2804,2575,5374,47,55,100,13,19,32,2867,2644,5511,702,585,1292,21,16,39,5007,4843,9848
POA2060,152,282,432,622,738,1359,0,0,0,30,49,86,0,0,0,1313,1646,2959,0,3,3,74,99,171,0,6,12,0,9,6,20,12,31,4,15,20,20,39,61,24,35,56,111,118,228,0,4,3,0,0,0,109,132,238,113,144,257,3,3,6,2457,3041,5500,279,254,533,92,82,176,52,48,95,0,0,3,18,16,32,30,39,69,50,51,107,3408,3312,6722,45,47,87,23,22,44,3473,3382,6856,566,527,1098,43,31,74,7166,7700,14865
POA2061,59,118,177,276,324,603,0,0,0,13,26,39,0,0,0,542,692,1235,3,0,3,44,49,96,0,0,5,0,0,6,4,16,22,5,7,14,14,4,25,12,32,49,54,55,109,0,4,4,3,0,6,39,59,90,41,61,107,4,6,8,1065,1335,2404,83,88,173,39,38,74,22,29,47,0,0,0,6,9,13,9,10,20,16,21,34,1203,1186,2395,8,11,18,0,11,10,1216,1209,2429,267,335,599,14,21,38,2789,3189,5977
POA2062,43,92,135,421,437,858,0,0,0,22,21,41,0,0,0,721,907,1627,3,3,3,36,48,90,0,0,7,0,0,0,14,11,27,8,10,21,7,15,21,11,13,28,51,45,95,0,0,0,0,4,3,51,69,126,41,59,101,0,3,3,1383,1665,3044,67,67,138,17,19,41,41,41,90,0,0,0,6,10,20,12,16,26,22,24,39,1514,1548,3066,12,10,27,6,7,15,1528,1573,3101,159,144,303,5,5,7,3265,3626,6889
POA2063,66,87,150,477,514,986,3,0,9,25,22,46,0,0,0,766,876,1638,0,0,0,98,106,200,3,4,5,0,0,0,7,9,17,14,32,44,14,4,14,12,16,27,45,44,83,0,0,0,0,0,0,56,71,125,43,48,96,0,0,0,1559,1747,3312,30,21,51,9,16,23,47,55,103,0,0,0,7,3,9,5,15,21,10,17,30,1231,1171,2406,8,11,16,4,4,3,1236,1185,2427,136,177,315,8,9,16,3102,3319,6415
POA2064,171,295,466,395,405,804,3,3,3,42,39,80,0,0,0,688,782,1475,0,0,0,28,28,56,0,0,0,0,6,3,4,5,12,14,11,26,23,22,43,23,36,54,75,81,158,0,0,0,0,0,0,61,90,154,81,90,172,4,0,6,1448,1602,3054,414,405,820,125,113,247,36,39,74,0,0,0,18,18,37,26,26,57,46,47,89,2070,1895,3961,24,15,42,8,11,24,2102,1916,4022,266,246,514,10,14,27,4620,4679,9301
