SOS_CODE_2021,Ag_Frs_Fsh_Mgr,Ag_Frs_Fsh_Pfn,Ag_Frs_Fsh_Tch_trwk,Ag_Frs_Fsh_Co_Pswk,Ag_Frs_Fsh_Cl_Adwk,Ag_Frs_Fsh_Sal,Ag_Frs_Fsh_MchOp,Ag_Frs_Fsh_Lab,Ag_Frs_Fsh_Inad_ns,Ag_Frs_Fsh_To,Min_Mgr,Min_Pfn,Min_Tch_trwk,Min_Co_Pswk,Min_Cl_Adwk,Min_Sal,Min_MchOp,Min_Lab,Min_Inad_ns,Min_To,Manf_Mgr,Manf_Pfn,Manf_Tch_trwk,Manf_Co_Pswk,Manf_Cl_Adwk,Manf_Sal,Manf_MchOp,Manf_Lab,Manf_Inad_ns,Manf_To,ElecGWWSvc_Mgr,ElecGWWSvc_Pfn,ElecGWWSvc_Tch_trwk,ElecGWWSvc_Co_Pswk,ElecGWWSvc_Cl_Adwk,ElecGWWSvc_Sal,ElecGWWSvc_MchOp,ElecGWWSvc_Lab,ElecGWWSvc_Inad_ns,ElecGWWSvc_To,Con_Mgr,Con_Pfn,Con_Tch_trwk,Con_Co_Pswk,Con_Cl_Adwk,Con_Sal,Con_MchOp,Con_Lab,Con_Inad_ns,Con_To,WhlTr_Mgr,WhlTr_Pfn,WhlTr_Tch_trwk,WhlTr_Co_Pswk,WhlTr_Cl_Adwk,WhlTr_Sal,WhlTr_MchOp,WhlTr_Lab,WhlTr_Inad_ns,WhlTr_To,ReTr_Mgr,ReTr_Pfn,ReTr_Tch_trwk,ReTr_Co_Pswk,ReTr_Cl_Adwk,ReTr_Sal,ReTr_MchOp,ReTr_Lab,ReTr_Inad_ns,ReTr_To,Acc_Fdsvc_Mgr,Acc_Fdsvc_Pfn,Acc_Fdsvc_Tch_trwk,Acc_Fdsvc_Co_Pswk,Acc_Fdsvc_Cl_Adwk,Acc_Fdsvc_Sal,Acc_Fdsvc_MchOp,Acc_Fdsvc_Lab,Acc_Fdsvc_Inad_ns,Acc_Fdsvc_To,TrPo_wh_Mgr,TrPo_wh_Pfn,TrPo_wh_Tch_trwk,TrPo_wh_Co_Pswk,TrPo_wh_Cl_Adwk,TrPo_wh_Sal,TrPo_wh_MchOp,TrPo_wh_Lab,TrPo_wh_Inad_ns,TrPo_wh_To,InMe_Telco_Mgr,InMe_Telco_Pfn,InMe_Telco_Tch_trwk,InMe_Telco_Co_Pswk,InMe_Telco_Cl_Adwk,InMe_Telco_Sal,InMe_Telco_MchOp,InMe_Telco_Lab,InMe_Telco_Inad_ns,InMe_Telco_To,FinIn_Mgr,FinIn_Pfn,FinIn_Tch_trwk,FinIn_Co_Pswk,FinIn_Cl_Adwk,FinIn_Sal,FinIn_MchOp,FinIn_Lab,FinIn_Inad_ns,FinIn_To,REst_Mgr,REst_Pfn,REst_Tch_trwk,REst_Co_Pswk,REst_Cl_Adwk,REst_Sal,REst_MchOp,REst_Lab,REst_Inad_ns,REst_To,PSc_Tech_Mgr,PSc_Tech_Pfn,PSc_Tech_Tch_trwk,PSc_Tech_Co_Pswk,PSc_Tech_Cl_Adwk,PSc_Tech_Sal,PSc_Tech_MchOp,PSc_Tech_Lab,PSc_Tech_Inad_ns,PSc_Tech_To,AdmSu_Mgr,AdmSu_Pfn,AdmSu_Tch_trwk,AdmSu_Co_Pswk,AdmSu_Cl_Adwk,AdmSu_Sal,AdmSu_MchOp,AdmSu_Lab,AdmSu_Inad_ns,AdmSu_To,PubAd_Sf_Mgr,PubAd_Sf_Pfn,PubAd_Sf_Tch_trwk,PubAd_Sf_Co_Pswk,PubAd_Sf_Cl_Adwk,PubAd_Sf_Sal,PubAd_Sf_MchOp,PubAd_Sf_Lab,PubAd_Sf_Inad_ns,PubAd_Sf_To,EdTr_Mgr,EdTr_Pfn,EdTr_Tch_trwk,EdTr_Co_Pswk,EdTr_Cl_Adwk,EdTr_Sal,EdTr_MchOp,EdTr_Lab,EdTr_Inad_ns,EdTr_To,Hlth_SAss_Mgr,Hlth_SAss_Pfn,Hlth_SAss_Tch_trwk,Hlth_SAss_Co_Pswk,Hlth_SAss_Cl_Adwk,Hlth_SAss_Sal,Hlth_SAss_MchOp,Hlth_SAss_Lab,Hlth_SAss_Inad_ns,Hlth_SAss_To,ArtRec_Mgr,ArtRec_Pfn,ArtRec_Tch_trwk,ArtRec_Co_Pswk,ArtRec_Cl_Adwk,ArtRec_Sal,ArtRec_MchOp,ArtRec_Lab,ArtRec_Inad_ns,ArtRec_To,OthS_Mgr,OthS_Pfn,OthS_Tch_trwk,OthS_Co_Pswk,OthS_Cl_Adwk,OthS_Sal,OthS_MchOp,OthS_Lab,OthS_Inad_ns,OthS_To,Inad_ns_Mgr,Inad_ns_Pfn,Inad_ns_Tch_trwk,Inad_ns_Co_Pswk,Inad_ns_Cl_Adwk,Inad_ns_Sal,Inad_ns_MchOp,Inad_ns_Lab,Inad_ns_Inad_ns,Inad_ns_To
SOS30,2987,908,869,140,916,333,597,3745,139,10637,3252,5082,3465,123,1544,104,3749,558,278,18155,16407,8404,24514,1200,9893,5226,12844,18642,1204,98328,3041,4441,3697,55,2855,434,2652,1082,315,18567,21209,8106,75274,244,16813,2358,9960,22213,2080,158252,9192,5755,3492,257,7131,6847,7072,2432,472,42654,26291,8846,8962,1540,9468,86457,9197,15112,1019,166895,20622,2027,16353,35803,4806,18783,3500,28043,838,130774,8760,7598,4231,2597,16215,3055,36076,5051,1094,84682,3357,7633,3192,221,2807,1937,287,408,302,20141,7970,19473,723,215,22088,2552,102,188,1042,54353,5195,3597,1187,333,5910,15162,794,1503,493,34175,18658,78459,13157,486,23038,2057,618,1263,1236,138975,6405,7824,4553,4833,9230,1367,1733,24664,752,61368,15145,27897,7680,24585,27785,576,2269,4381,2097,112422,12804,88824,4179,31874,14804,564,396,5156,934,159541,15736,115536,9210,91251,39059,1692,1617,8683,1922,284715,5343,6536,3010,8896,2807,1599,496,2172,525,31390,6520,6780,27118,12896,6999,1321,1012,5484,569,68699,10240,10009,9806,3917,9500,4889,7348,7917,14765,78379
SOS31,3456,518,788,38,741,192,1411,6417,193,13752,1535,2046,8034,110,1230,91,9609,1012,489,24153,2938,1483,7973,310,2252,1130,4039,5880,335,26335,585,665,2273,23,875,129,1122,641,129,6449,3467,900,16790,76,3773,385,4402,5808,449,36053,1455,713,1653,30,1391,1931,1479,794,102,9550,5613,994,2800,344,1917,22271,1502,4307,216,39962,4945,213,3496,7618,1273,4120,797,7901,214,30575,1648,1217,1581,396,3473,527,8709,1274,229,19056,311,577,499,15,301,304,39,51,27,2120,625,1380,80,31,2756,229,16,43,81,5237,632,227,392,71,1021,2486,242,329,87,5497,1272,6334,2524,63,3779,181,135,409,121,14811,828,1126,1257,851,1306,173,1256,6340,121,13259,2265,4006,2053,5445,5202,160,1063,2155,362,22718,2212,18527,1036,8169,3024,74,126,1986,184,35343,2778,19413,1838,24738,8052,337,316,2843,448,60772,551,662,495,942,355,181,60,384,48,3669,1067,1106,8198,2437,1821,313,297,1668,124,17038,1330,1111,2952,984,1793,971,1728,2638,4126,17626
SOS32,889,118,198,18,152,44,354,1175,33,2975,166,225,713,16,130,7,1089,128,45,2512,392,161,1036,28,310,148,550,712,51,3397,79,48,294,4,96,13,174,91,19,824,633,105,2378,3,524,60,899,931,54,5592,201,66,123,10,156,256,162,99,15,1088,812,127,387,51,231,2815,169,499,27,5116,822,28,492,970,167,375,55,931,30,3870,278,204,222,50,513,97,1352,176,38,2932,50,107,62,0,47,18,6,3,10,308,91,194,13,0,320,26,3,12,13,671,82,26,51,10,127,271,46,51,11,686,202,863,331,15,533,27,19,57,20,2072,131,149,202,138,170,33,114,890,17,1838,470,662,461,990,974,45,438,598,93,4730,374,2440,171,1349,423,7,19,377,34,5190,409,2388,283,3061,975,49,56,452,44,7718,95,195,74,136,51,19,9,79,13,673,149,139,1146,210,251,46,36,156,27,2159,233,151,383,160,258,128,293,388,775,2765
SOS33,21127,584,1183,51,1577,202,2015,8487,314,35546,765,820,3107,61,464,33,4000,472,170,9887,2063,734,3903,115,1301,461,1564,2210,168,12517,346,289,1011,7,365,37,568,282,75,2981,2771,536,8844,30,2557,191,3482,3318,297,22018,923,395,676,13,648,955,504,390,51,4552,2330,471,1158,135,877,7895,471,1365,95,14798,2016,106,1125,2792,481,1286,251,2616,104,10778,1072,528,669,140,1766,252,4083,455,127,9085,176,302,192,13,162,108,23,35,7,1015,401,811,39,11,1176,100,13,28,60,2631,374,179,175,24,506,1105,192,135,49,2749,1021,4090,1358,41,2093,113,78,194,81,9075,503,449,698,391,600,81,460,2407,59,5652,1149,1829,997,2183,2258,62,668,908,209,10266,1227,7938,687,4031,1540,33,68,901,93,16524,1302,8145,708,8185,3209,145,108,926,152,22872,354,585,347,439,185,88,52,288,30,2366,636,449,4342,796,945,126,123,558,61,8030,1450,647,1571,449,1144,475,921,1267,2516,10442
SOS37,0,22,0,0,0,0,0,20,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,16,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SOS40,1881,311,409,16,371,135,336,1804,103,5374,659,1178,922,21,383,20,928,199,66,4379,6578,4465,9058,581,3830,2248,4577,7870,513,39724,1326,1726,1427,17,1310,307,1010,468,168,7755,6122,2206,23656,415,4537,723,2913,7094,783,48451,2892,1711,1340,68,2181,2315,2444,1087,191,14242,8593,2818,3059,561,2927,31025,2874,6132,362,58339,6520,433,5506,11207,1043,5136,741,9071,270,39917,2312,1314,1129,767,5052,827,12050,1242,314,25010,1005,2607,1250,31,1206,758,54,123,114,7151,2471,6032,256,111,9454,720,30,53,339,19471,1168,830,286,123,1466,3141,189,347,137,7695,5345,24921,4159,138,6784,455,168,363,437,42775,1900,2577,2001,2345,3425,334,586,9707,296,23163,5820,11461,2666,9304,10730,215,466,1068,660,42384,4405,31148,1559,10190,5232,114,103,507,362,53622,5194,40046,3504,35143,13841,549,739,3819,778,103612,1610,1898,788,2943,775,382,54,422,140,9024,2092,2287,9669,4359,2430,484,335,1938,223,23821,2323,2188,2320,1066,2185,1114,1895,2354,4022,19466
SOS41,2123,309,571,16,392,138,589,2582,82,6795,279,313,1044,19,181,14,1250,171,74,3340,1856,1061,3099,192,1097,635,2107,3285,226,13558,237,159,555,4,250,49,382,234,45,1909,1382,315,6187,65,1124,175,1432,1992,161,12834,601,298,387,13,446,799,433,287,38,3295,2361,373,1043,153,683,8813,517,1728,63,15743,1817,38,1284,2713,326,1166,165,2808,62,10384,529,217,298,86,1056,193,2671,330,86,5462,127,373,204,3,144,117,15,39,14,1035,338,699,34,16,1219,95,19,25,33,2473,195,97,80,35,352,726,40,64,16,1606,669,2602,867,32,1307,81,43,104,43,5747,326,479,710,449,474,51,221,2714,71,5499,1089,1768,654,2497,1833,76,219,374,112,8619,949,6905,382,3060,1141,15,70,184,66,12789,1147,7134,682,9234,2919,133,91,1145,156,22653,285,348,188,388,138,59,15,149,31,1597,424,460,2778,855,536,114,68,476,37,5750,455,352,640,258,385,254,475,762,1192,4768
SOS42,868,72,213,5,128,31,197,707,24,2254,25,20,109,0,24,0,158,30,10,368,232,101,400,35,133,72,202,384,25,1582,36,23,93,0,29,10,58,44,10,302,246,46,918,25,174,11,325,320,26,2089,95,55,68,0,81,160,63,57,0,584,317,55,177,21,95,1021,53,196,12,1941,305,9,195,433,34,87,7,360,17,1444,144,24,57,16,181,40,473,51,15,995,10,27,22,0,16,6,0,13,5,104,31,72,4,0,133,19,0,9,3,272,20,7,8,0,31,80,8,12,0,169,67,241,127,6,177,8,7,23,3,651,49,37,105,54,78,13,26,468,5,837,167,198,81,299,246,4,89,124,10,1230,131,975,86,496,176,0,42,41,12,1956,124,805,104,1160,342,25,13,211,20,2793,31,98,36,37,8,7,0,23,6,250,57,68,444,82,86,16,11,51,12,830,81,51,105,32,77,43,73,115,210,794
SOS43,11171,275,638,20,749,127,650,3252,142,17019,203,329,838,20,94,3,1051,213,39,2792,1147,511,1204,97,493,287,506,1117,60,5426,133,70,282,6,90,23,154,72,34,865,855,132,2705,22,614,51,797,994,91,6267,311,141,219,10,234,389,158,129,23,1600,822,139,373,77,286,2618,152,544,35,5045,792,23,364,962,129,341,33,859,36,3539,371,133,170,47,477,99,1276,168,35,2764,47,116,75,0,46,34,0,7,0,325,120,264,9,9,402,38,9,5,19,881,93,45,29,10,101,265,20,27,9,600,342,1356,410,15,590,30,11,30,30,2807,195,161,318,154,171,23,79,953,15,2066,457,646,256,811,726,9,106,180,54,3252,372,2832,207,1282,539,7,43,78,27,5396,437,2863,207,2784,1024,48,32,317,57,7768,128,200,165,136,53,26,0,102,8,817,217,144,1381,259,264,42,31,170,24,2535,409,179,361,121,221,98,189,346,745,2667
SOS47,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,8,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS50,1910,460,535,17,563,202,469,1873,93,6117,8057,15775,13190,409,5142,198,10566,2792,882,57016,8344,5219,15569,782,5537,2636,7243,7158,608,53099,1771,2656,1938,53,1972,218,1418,792,234,11056,10959,6211,39785,369,9570,1311,5862,11784,1008,86856,5122,3442,3272,88,4016,3456,4180,1670,292,25542,13495,4383,4863,935,4855,48609,4418,8996,440,90989,9605,842,9182,19239,1790,8638,1644,14253,350,65550,4423,3573,2132,1607,9386,1329,20505,2143,495,45590,1339,3132,1534,73,1102,1029,117,313,88,8729,3574,9263,319,194,10355,885,57,97,505,25245,2211,1483,767,136,3008,6088,368,635,200,14893,10491,44702,9390,308,11986,790,800,831,640,79931,3034,4006,3183,2409,3741,494,1141,13161,320,31493,7548,14768,4215,14684,14422,229,783,2535,1094,60286,6949,49703,3027,19322,7300,237,145,3052,399,90131,7655,57648,5616,45553,20321,763,1108,4982,898,144548,2848,3410,1481,6061,1659,875,116,1197,192,17845,3501,3594,15987,7804,3930,599,583,3197,253,39442,5770,6627,7208,2379,5863,2537,4658,4967,7592,47593
SOS51,1665,281,495,22,343,126,475,1699,64,5179,1329,2007,6898,133,1079,40,6732,1077,397,19696,1222,662,3085,164,723,480,1587,2086,129,10129,300,230,960,10,382,31,537,342,84,2873,1605,492,8353,63,1742,161,1955,2699,189,17250,645,336,767,13,522,769,649,241,58,4004,2537,438,1085,141,875,9142,596,2202,71,17094,2084,87,1750,3169,688,1480,248,3468,86,13065,856,761,759,221,1566,264,3892,599,109,9026,141,308,201,14,96,151,9,40,11,972,268,580,18,11,1029,86,0,18,30,2024,278,114,212,20,581,994,102,154,30,2492,511,2665,1248,50,1323,87,109,169,60,6225,391,496,742,377,477,53,300,2737,45,5623,1188,1880,776,3048,2244,55,296,799,176,10462,1152,7979,569,3999,1154,40,18,844,72,15819,1224,8632,874,8334,3344,172,142,997,142,23861,289,356,224,509,193,76,7,172,35,1863,533,490,3552,1054,817,128,125,614,55,7370,652,564,1396,409,800,379,722,960,1537,7419
SOS52,659,93,222,7,100,33,169,695,21,1985,217,321,861,37,167,6,1150,175,38,2974,180,84,436,13,110,48,238,221,16,1342,29,6,125,0,27,7,71,67,13,332,185,41,824,7,174,21,416,342,16,2017,103,58,114,0,82,131,84,35,12,621,300,60,141,26,67,870,45,189,12,1713,392,13,254,385,102,93,20,458,13,1733,151,50,62,29,205,48,621,61,9,1243,4,27,22,0,11,8,0,5,3,86,30,42,0,0,88,4,5,3,4,169,16,11,20,4,45,77,16,16,3,195,70,283,84,4,150,0,12,19,7,631,64,62,102,62,71,24,48,327,9,774,262,218,181,492,419,9,229,263,28,2113,231,1083,102,634,130,0,7,199,8,2391,134,891,101,993,295,13,18,127,15,2579,48,88,28,48,26,10,7,33,0,293,82,60,401,96,95,13,13,74,4,840,98,90,164,57,93,50,127,127,348,1159
SOS53,10827,267,627,35,670,88,685,3144,108,16453,1366,2421,5994,209,723,22,6852,1165,176,18926,779,338,1283,84,425,181,526,596,54,4266,124,90,257,3,119,9,159,93,20,877,979,371,3838,16,865,51,1651,1429,96,9299,406,193,381,0,293,359,272,129,32,2068,855,167,415,56,283,2476,147,468,24,4892,980,65,690,1027,273,347,140,1321,37,4881,418,222,223,76,571,75,1640,145,35,3407,62,79,85,7,41,31,4,9,0,317,148,295,8,3,348,34,5,9,22,873,154,67,102,11,168,373,50,110,7,1042,375,1633,588,14,647,22,65,81,23,3449,247,157,462,162,203,29,201,975,27,2462,606,743,516,1129,869,25,212,324,60,4481,584,3022,323,1520,473,8,21,250,32,6232,352,2715,265,2176,1004,28,31,209,48,6829,154,303,166,212,89,25,20,129,11,1113,274,146,1587,321,346,45,46,179,23,2977,511,269,561,145,373,135,359,421,832,3611
SOS57,11,21,15,0,0,0,0,61,0,106,35,82,275,3,20,0,58,57,9,533,3,3,24,0,0,0,0,0,0,44,7,14,9,0,0,0,11,11,0,50,12,21,106,0,0,0,28,46,5,218,0,5,11,0,0,0,0,3,0,27,3,0,3,0,0,4,0,3,0,10,0,0,22,0,0,0,0,29,0,62,9,61,25,19,6,0,36,46,3,204,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,7,0,32,15,0,5,0,0,8,0,55,0,7,26,6,0,0,0,18,0,64,0,0,3,7,0,0,0,3,0,25,0,5,0,0,0,0,0,0,0,12,4,7,0,3,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,8,4,0,4,0,0,0,0,0,0,11,8,44,83,11,4,0,27,64,7,242
SOS60,414,186,121,9,89,22,74,572,24,1515,11,49,32,0,10,3,57,15,3,190,664,339,1305,139,278,314,555,912,58,4555,345,696,291,7,390,51,163,70,44,2064,1030,255,3795,12,538,69,355,908,77,7051,313,160,120,7,220,352,289,102,17,1576,1338,411,490,90,450,5081,317,853,48,9085,1296,103,1423,2345,286,775,127,1584,58,8002,272,164,80,101,629,156,1565,134,39,3141,202,518,183,14,218,131,5,22,10,1294,307,711,20,13,1015,76,3,13,61,2214,175,121,28,6,211,474,10,58,24,1107,676,3767,672,21,1011,49,11,60,45,6310,289,319,257,214,278,44,52,1248,36,2729,1492,2774,420,1564,2930,51,84,238,193,9746,826,5782,372,1797,989,24,20,284,61,10155,834,6408,468,5799,1988,96,107,642,133,16476,372,565,178,650,199,76,8,134,36,2213,391,392,1180,626,345,54,49,346,40,3424,233,224,258,178,198,134,166,277,647,2308
SOS61,805,223,270,13,191,60,355,1512,55,3484,92,90,289,9,44,0,535,69,24,1158,884,419,1713,149,449,365,1154,1885,102,7119,152,207,322,0,254,28,252,96,35,1348,1330,159,4268,9,628,94,705,1109,104,8401,410,211,297,12,337,537,637,201,36,2670,1515,287,596,88,483,6048,445,1013,55,10536,1082,40,1037,1984,225,949,171,1709,40,7247,363,187,202,108,880,156,2238,323,50,4513,108,292,193,7,101,82,13,22,10,833,249,443,16,8,1016,46,4,6,28,1816,110,89,44,7,194,517,14,63,10,1053,312,1751,561,28,938,41,14,53,39,3735,189,295,388,257,238,41,88,1297,37,2832,536,1045,337,1177,1464,27,123,288,108,5109,503,4567,325,1896,758,23,18,429,40,8558,690,5460,509,7077,1982,77,97,934,128,16953,221,256,189,326,104,60,11,124,20,1307,256,317,1762,613,351,70,57,434,30,3888,221,154,361,166,210,144,295,387,771,2703
SOS62,250,65,137,11,46,9,88,437,33,1065,29,49,93,9,21,0,187,25,5,420,127,45,257,19,62,63,138,223,16,946,24,26,78,0,27,5,42,14,10,224,220,22,573,0,96,12,173,176,10,1266,50,17,43,0,33,68,54,27,3,301,214,40,84,12,53,639,33,99,4,1184,249,13,160,289,51,93,7,269,10,1123,48,33,24,26,112,20,220,27,7,522,12,30,27,0,14,3,0,4,0,87,19,45,3,0,81,5,0,0,0,165,12,12,6,3,24,68,0,11,0,147,54,291,95,5,133,4,0,7,0,596,40,31,93,35,41,8,6,180,7,441,100,168,55,150,201,5,39,70,24,805,68,643,48,267,104,0,8,76,3,1221,79,605,47,672,239,9,8,91,13,1767,36,73,25,41,20,10,3,16,6,222,42,44,230,59,53,13,4,33,4,474,39,31,54,16,31,22,43,53,135,410
SOS63,3804,191,400,21,279,55,442,1841,82,7109,65,75,237,3,32,4,343,31,8,802,571,217,1036,76,257,138,522,719,61,3598,129,138,202,0,119,8,155,38,31,828,914,77,2335,6,388,29,631,618,69,5066,246,109,147,6,137,282,168,84,12,1190,550,123,259,39,192,2006,125,335,11,3655,623,34,413,783,134,308,46,694,23,3051,239,97,113,58,370,72,956,125,18,2044,47,134,80,0,42,31,3,10,4,354,85,181,9,0,302,17,0,4,18,610,84,33,26,5,87,226,13,21,12,505,203,1151,367,9,502,21,4,22,19,2299,130,122,280,132,135,18,48,510,17,1385,376,672,222,502,729,17,102,208,64,2905,239,2149,191,908,372,14,12,205,23,4108,355,2306,204,2463,788,27,43,293,61,6543,126,273,93,171,64,30,6,83,12,866,167,124,1020,196,149,24,28,118,13,1847,187,99,237,66,147,56,157,205,488,1649
SOS67,3,5,4,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,5,50,21,20,0,0,7,49,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,50,0,7,0,4,0,0,77,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SOS70,243,63,71,0,68,11,20,121,3,599,94,188,429,9,93,6,359,81,26,1283,249,118,654,15,193,141,181,166,11,1730,203,246,229,5,201,13,110,46,18,1075,750,233,2473,48,608,48,359,778,72,5363,223,81,132,0,175,200,237,57,9,1128,817,186,292,46,288,2770,186,439,23,5053,892,69,870,1346,278,637,102,1202,48,5453,316,390,230,178,473,125,1225,136,33,3103,78,240,115,4,71,51,6,8,6,575,122,278,6,14,405,44,0,4,7,883,171,56,53,12,169,370,20,55,14,929,512,2232,501,32,665,23,10,32,31,4048,223,233,191,178,222,23,58,925,26,2076,2103,2975,1005,3307,2896,48,227,142,208,12900,548,3119,145,1195,553,18,5,125,42,5750,630,4336,256,3146,1178,47,60,279,52,9971,269,328,100,287,403,60,7,55,39,1548,273,301,970,427,300,43,38,187,23,2546,242,301,485,224,319,142,184,301,573,2782
SOS71,58,24,21,4,11,4,10,40,0,179,48,68,137,3,24,0,125,15,3,420,54,52,180,11,21,27,17,36,4,403,22,23,96,0,35,5,40,19,3,245,213,37,782,8,160,11,103,191,15,1526,43,29,19,3,36,60,51,14,7,263,274,63,123,29,92,802,64,152,5,1597,258,17,206,282,71,106,11,262,15,1224,74,82,68,39,127,34,260,25,13,718,27,100,49,0,33,10,0,10,0,232,21,38,0,3,91,3,0,0,3,160,30,12,12,0,52,55,4,15,0,181,109,456,136,24,179,6,8,14,15,946,53,78,53,74,47,13,9,206,8,540,467,736,208,1084,673,28,51,152,96,3495,211,1262,74,550,210,4,11,75,21,2406,379,2117,136,1383,514,26,56,223,54,4879,94,124,53,119,42,8,6,29,5,488,104,149,285,123,142,14,9,68,10,897,63,88,94,78,81,31,33,57,353,880
SOS72,82,52,7,5,22,0,9,61,0,240,34,51,109,3,11,0,119,21,7,350,19,14,39,0,9,9,3,10,3,109,9,6,35,3,4,0,18,17,0,96,84,6,198,4,42,8,59,81,3,493,17,6,5,0,8,7,5,4,0,59,117,31,26,29,29,259,22,53,0,559,120,23,119,196,50,29,10,146,4,705,38,39,15,27,22,10,66,9,0,236,4,27,4,0,0,0,0,0,0,40,12,11,0,0,24,5,0,7,0,54,17,0,4,0,6,15,0,0,0,40,22,89,21,3,68,0,0,3,0,205,45,26,17,37,13,11,13,71,0,241,181,241,69,463,182,9,27,170,4,1356,85,585,58,270,73,3,15,45,0,1127,71,400,32,357,97,3,34,34,3,1016,51,168,19,25,26,6,3,4,0,304,31,49,85,25,45,0,5,27,0,278,18,26,27,13,5,4,7,29,153,280
SOS73,640,131,121,27,89,20,88,845,18,1980,87,152,396,11,49,3,454,73,7,1234,94,34,217,6,51,29,42,68,0,543,51,18,97,0,38,0,47,12,5,268,321,45,801,11,237,20,289,281,30,2037,79,26,48,4,39,54,41,43,6,333,186,35,83,26,66,434,32,83,0,935,184,8,135,196,63,106,30,217,4,940,104,70,61,59,101,20,247,35,11,707,17,21,21,3,13,4,0,10,0,83,24,58,0,0,58,0,0,0,3,145,31,15,9,0,33,77,0,29,0,201,96,307,136,10,169,3,7,11,3,737,68,44,78,75,46,13,46,167,3,542,370,490,279,574,525,0,70,78,35,2419,150,662,53,358,160,3,6,52,6,1448,124,639,50,434,206,7,18,39,12,1534,68,191,44,58,48,6,0,18,4,441,78,50,353,60,82,8,3,38,9,674,78,61,126,32,90,23,52,88,226,776
SOS77,0,16,0,0,0,0,0,26,0,48,3,0,31,0,0,0,6,5,0,42,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10,0,16,0,0,3,0,0,0,0,3,0,12,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,12,0,32,8,12,0,0,3,20,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,6,0,7,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,7,0,0,0,0,13,0,39
