SOS_CODE_2021,M_Part_a_r_mar_0_14,M_Part_a_r_mar_15_24,M_Part_a_r_mar_25_34,M_Part_a_r_mar_35_44,M_Part_a_r_mar_45_54,M_Part_a_r_mar_55_64,M_Part_a_r_mar_65_74,M_Part_a_r_mar_75_84,M_Part_a_r_mar_85ov,M_Part_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85ov,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85ov,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85ov,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85ov,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85ov,M_Vis_from_within_Aus_Tot,M_OS_vis_0_14_yr,M_OS_vis_15_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Part_r_mar_0_14,F_Part_r_mar_15_24,F_Part_r_mar_25_34,F_Part_r_mar_35_44,F_Part_r_mar_45_54,F_Part_r_mar_55_64,F_Part_r_mar_65_74,F_Part_r_mar_75_84,F_Part_r_mar_85ov,F_Part_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85ov,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85ov,F_Oth_rel_ind_Tot
SOS73,..,89,484,883,1050,933,659,221,24,4352,..,115,454,363,390,276,113,26,0,1740,..,13,25,55,82,73,31,16,4,296,3075,..,..,..,..,..,..,..,..,3075,..,389,..,..,..,..,..,..,..,389,..,730,299,126,64,21,3,0,0,1235,..,256,130,88,92,112,60,39,15,781,..,73,79,33,44,45,18,8,0,303,..,47,67,42,67,75,58,17,0,369,..,55,128,120,237,330,276,84,17,1240,100,94,100,56,61,105,200,55,4,771,3,0,9,0,0,5,3,3,0,24,3178,1857,1774,1770,2092,1974,1420,464,55,14589,..,142,651,1075,1124,892,522,115,12,4541,..,162,548,396,392,247,79,21,3,1844,..,59,142,218,195,127,71,50,11,876,2926,..,..,..,..,..,..,..,..,2926,..,416,..,..,..,..,..,..,..,416,..,473,166,74,48,12,3,0,0,784,..,181,94,78,92,138,147,51,21,805
SOS77,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS80,..,283,10193,20088,16636,13176,10843,5835,1392,78446,..,1887,8641,4473,2997,1852,888,248,31,21028,..,22,241,878,1310,739,280,144,88,3708,40738,..,..,..,..,..,..,..,..,40738,..,10370,..,..,..,..,..,..,..,10370,..,6578,3845,1226,779,323,55,0,0,12809,..,1198,1311,385,314,341,275,153,87,4051,..,1103,2131,495,231,161,51,21,3,4189,..,3158,4879,1165,650,531,289,98,22,10788,..,895,3960,3249,3053,2993,2398,1353,625,18532,431,751,887,545,474,334,255,105,29,3811,16,39,53,32,37,47,54,20,5,312,41184,26284,36139,32538,26486,20495,15384,7981,2284,208773,..,679,13805,20963,16127,12619,9871,4289,659,79009,..,2767,8909,4217,2803,1593,670,172,19,21152,..,207,1530,3358,3932,2105,865,560,356,12908,38223,..,..,..,..,..,..,..,..,38223,..,10161,..,..,..,..,..,..,..,10161,..,4687,2357,656,387,211,65,0,0,8362,..,1020,965,298,282,694,829,607,268,4961
SOS82,..,0,7,25,41,23,26,10,0,131,..,0,5,12,8,0,0,0,0,24,..,0,0,0,0,0,0,0,0,3,67,..,..,..,..,..,..,..,..,67,..,22,..,..,..,..,..,..,..,22,..,8,9,3,0,0,0,0,0,25,..,0,0,4,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,70,39,30,50,47,26,27,13,0,304,..,0,9,34,32,23,24,8,0,131,..,4,6,9,5,0,0,0,0,27,..,0,0,4,3,6,0,0,0,14,62,..,..,..,..,..,..,..,..,62,..,16,..,..,..,..,..,..,..,16,..,14,3,0,5,0,0,0,0,21,..,0,0,0,0,0,0,0,0,0
SOS83,..,0,10,9,19,20,17,4,0,75,..,0,13,6,6,0,3,0,0,31,..,0,0,3,0,0,0,0,0,3,53,..,..,..,..,..,..,..,..,53,..,8,..,..,..,..,..,..,..,8,..,6,5,0,4,0,0,0,0,11,..,4,0,0,0,0,0,0,0,4,..,0,6,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,11,..,0,0,0,0,3,3,0,0,11,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,49,26,33,26,24,25,27,3,0,213,..,0,13,12,15,22,8,7,0,70,..,4,10,5,4,0,5,0,0,27,..,0,4,4,3,0,0,0,0,7,34,..,..,..,..,..,..,..,..,34,..,11,..,..,..,..,..,..,..,11,..,8,3,0,0,0,0,0,0,7,..,5,0,0,0,0,3,0,0,10
SOS87,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS91,..,0,30,41,49,40,47,3,3,204,..,0,15,4,13,9,3,0,0,46,..,0,0,0,3,6,0,0,0,11,127,..,..,..,..,..,..,..,..,127,..,16,..,..,..,..,..,..,..,16,..,17,10,5,6,0,0,0,0,32,..,0,0,3,0,7,3,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,0,0,0,0,4,..,5,13,4,11,21,26,5,0,85,4,0,0,0,3,3,4,0,0,12,0,0,0,0,0,0,0,0,0,0,131,36,71,61,76,80,84,10,4,549,..,0,26,64,52,39,22,3,0,215,..,4,14,6,12,4,0,0,0,43,..,0,3,3,7,3,0,0,0,20,109,..,..,..,..,..,..,..,..,109,..,21,..,..,..,..,..,..,..,21,..,8,5,0,0,0,0,0,0,16,..,0,0,0,0,0,0,0,0,6
SOS92,..,3,25,65,59,98,87,41,8,394,..,8,18,20,30,25,15,4,0,113,..,0,0,6,5,5,0,5,0,18,191,..,..,..,..,..,..,..,..,191,..,23,..,..,..,..,..,..,..,23,..,35,12,5,0,0,0,0,0,53,..,9,0,0,0,0,0,0,7,23,..,0,0,0,0,0,0,0,0,3,..,5,0,0,0,12,3,0,0,22,..,4,9,10,17,42,19,15,5,124,0,6,3,4,6,4,4,0,0,29,0,0,0,0,0,0,0,0,0,4,192,86,73,121,120,194,126,62,20,986,..,10,34,64,59,118,72,31,4,387,..,11,29,28,23,28,10,0,0,123,..,4,3,15,26,8,3,0,0,60,172,..,..,..,..,..,..,..,..,172,..,20,..,..,..,..,..,..,..,20,..,28,3,6,0,0,0,0,0,44,..,9,0,0,0,0,5,9,3,24
SOS93,..,0,5,15,21,19,23,16,0,92,..,0,0,0,8,3,0,0,0,28,..,0,0,0,0,0,5,0,0,11,58,..,..,..,..,..,..,..,..,58,..,3,..,..,..,..,..,..,..,3,..,9,0,8,0,0,0,0,0,23,..,3,6,3,0,7,3,3,0,23,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,3,0,0,3,..,0,0,0,9,4,8,4,4,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,58,25,19,29,38,37,43,25,5,276,..,0,8,13,22,14,20,12,0,92,..,5,10,7,7,8,5,0,0,30,..,0,4,3,6,5,0,6,0,20,37,..,..,..,..,..,..,..,..,37,..,8,..,..,..,..,..,..,..,8,..,10,6,0,0,0,0,0,0,18,..,3,0,0,4,6,3,0,0,23
SOS97,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
