SOS_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
SOS30,14703,92869,6226,156,113953,12712,100854,8795,439,122802,22184,213985,19471,1284,256926,28956,199130,15279,640,244003,31308,181952,12472,568,226305,24660,155351,9407,627,190049,23609,119777,8125,628,152134,11904,66515,5991,251,84656,1713,21117,3287,56,26176,171757,1151552,89051,4647,1417003,17948,86008,5855,156,109966,17818,97707,7768,388,123691,30512,221950,17398,981,270845,43674,204049,13732,486,261947,41427,190656,10984,487,243551,31270,167041,9017,800,208129,29862,131407,8110,681,170056,13536,76656,7555,225,97972,1903,34182,6472,67,42619,227950,1209653,86891,4264,1528766,32655,178875,12081,312,223919,30532,198567,16567,827,246490,52699,435936,36865,2263,527767,72635,403182,29006,1127,505947,72741,372607,23455,1057,469859,55932,322394,18427,1426,398179,53470,251184,16236,1304,322187,25440,143169,13545,479,182628,3616,55298,9763,123,68796,399705,2361205,175947,8911,2945773
SOS31,3293,22980,2492,22,28779,1964,20892,2852,258,25974,4627,45868,7259,912,58669,6898,41914,6293,323,55429,7516,43893,5972,106,57491,7923,46496,5424,123,59965,9293,42558,4318,93,56267,4747,23326,2649,46,30771,681,6941,1155,13,8788,46930,294880,38414,1902,382130,3957,20760,2169,18,26908,2633,20481,2209,137,25469,7003,47726,5063,475,60263,11038,43006,4283,134,58460,10058,45258,4070,80,59462,10728,48573,3932,118,63345,11868,41853,3700,104,57527,5460,24562,3003,50,33083,799,10539,1989,9,13330,63554,302755,30427,1121,397857,7252,43741,4663,39,55691,4598,41380,5061,400,51439,11625,93589,12323,1389,118935,17934,84917,10581,462,113894,17572,89155,10042,183,116955,18652,95067,9355,239,123313,21163,84415,8022,197,113792,10207,47890,5658,94,63854,1481,17482,3143,23,22123,110491,597634,68843,3027,779988
SOS32,372,3014,480,6,3870,297,2577,426,21,3316,715,5339,1096,149,7297,1086,5557,1014,38,7693,1409,6973,1038,12,9426,1694,9094,1054,14,11861,2169,8819,996,29,12015,899,4200,522,11,5635,97,797,126,5,1028,8733,46373,6749,280,62143,473,2601,417,6,3492,356,2422,340,13,3140,1040,5632,743,78,7486,1759,5565,707,25,8055,1754,7014,754,10,9547,2393,8912,913,18,12227,2388,7655,845,16,10902,883,3458,478,9,4830,119,1001,167,3,1286,11175,44259,5366,175,60975,850,5616,894,4,7362,656,4993,766,37,6460,1756,10967,1838,221,14786,2843,11122,1719,60,15750,3165,13988,1796,21,18971,4080,18011,1967,34,24095,4559,16469,1841,46,22915,1786,7661,999,22,10470,220,1794,297,0,2314,19912,90639,12119,452,123116
SOS33,1973,10465,1627,9,14072,1117,8310,1825,164,11420,2276,16665,4785,556,24278,4407,18870,4864,239,28372,5592,25341,5253,97,36287,6453,29745,4580,50,40822,6174,25289,3187,61,34702,2451,11166,1400,17,15041,230,2136,310,0,2674,30664,147989,27834,1186,207676,2284,9206,1370,6,12865,1326,7022,1109,87,9544,3372,15540,2638,226,21775,6891,17016,2654,66,26627,7528,23630,3113,48,34321,7768,26974,3124,44,37907,6503,20446,2466,46,29466,2200,8514,1122,14,11855,217,2015,259,0,2492,38090,130361,17865,545,186853,4258,19669,2997,16,26935,2450,15333,2937,245,20966,5645,32203,7423,783,46059,11291,35883,7518,304,55002,13121,48967,8373,147,70611,14215,56717,7699,92,78733,12674,45736,5654,112,64173,4650,19681,2520,38,26888,443,4152,568,3,5166,68747,278343,45691,1732,394529
SOS37,0,0,0,0,8,0,5,5,0,8,4,19,40,6,69,3,26,74,6,107,3,25,45,0,77,4,10,16,0,26,0,9,6,4,23,0,0,0,0,0,0,0,0,0,0,14,97,192,17,317,0,3,4,0,6,0,3,4,5,9,4,3,12,7,35,0,3,3,0,7,0,3,0,0,3,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,29,10,65,0,8,10,0,11,0,7,8,5,18,5,23,57,15,102,3,30,76,6,114,3,24,45,0,79,4,17,16,0,34,0,9,6,4,23,0,0,0,0,0,0,0,0,0,0,18,117,219,24,380
SOS40,4710,29626,1482,53,35872,5356,34995,1856,73,42285,9019,74672,4349,227,88267,10789,67460,3647,159,82056,11524,61109,3090,151,75880,10148,57752,2482,152,70541,10866,44268,1937,168,57243,5764,25028,1470,60,32322,922,10628,954,19,12519,69104,405540,21276,1059,496985,5603,27038,1352,42,34043,6755,32118,1640,56,40562,10931,74452,3743,190,89325,14787,66849,3169,138,84941,13609,62078,2578,131,78403,12218,62008,2194,244,76664,13172,49955,2158,247,65531,6381,31500,2241,71,40191,1038,17994,1725,25,20777,84490,423987,20816,1148,530439,10316,56668,2837,92,69913,12108,67110,3495,132,82852,19952,149128,8094,418,177588,25577,134310,6814,297,166999,25138,123192,5675,284,154288,22365,119760,4681,400,147206,24037,94222,4099,415,122775,12141,56520,3715,132,72511,1960,28611,2676,42,33295,153597,829522,42087,2208,1027419
SOS41,1390,7423,662,7,9487,1037,7135,627,56,8856,2285,15275,1558,298,19413,3108,13623,1404,130,18262,3703,15017,1367,49,20135,4006,16401,1268,21,21692,5143,14394,1044,26,20610,2962,8595,835,5,12402,474,3242,434,5,4162,24109,101103,9201,604,135016,1517,6739,580,0,8842,1210,6689,408,3,8312,2750,15462,1061,49,19320,4458,13705,1000,33,19198,4643,15683,1025,16,21361,4775,17041,978,32,22834,6105,15118,1101,30,22347,3415,9988,1017,12,14437,505,5285,682,5,6477,29387,105708,7850,187,143133,2908,14165,1247,9,18328,2247,13824,1037,66,17171,5036,30736,2618,346,38733,7570,27329,2401,162,37463,8343,30696,2394,62,41496,8780,33441,2245,58,44528,11254,29509,2144,55,42956,6384,18582,1850,18,26839,977,8533,1116,11,10636,53492,206815,17051,793,278149
SOS42,229,929,135,0,1298,200,847,93,3,1141,446,1825,195,8,2478,616,1674,230,6,2525,707,2181,257,0,3155,955,2921,330,4,4211,1220,2671,349,0,4242,602,1271,193,0,2066,72,484,95,0,651,5064,14801,1885,20,21769,238,836,130,0,1198,195,763,74,3,1037,518,1871,176,0,2573,831,1611,201,0,2643,823,2075,225,0,3128,1122,2816,301,9,4242,1310,2292,302,3,3906,676,1220,192,0,2084,104,703,147,0,955,5815,14172,1749,17,21754,470,1763,266,0,2496,398,1606,164,0,2178,964,3694,376,6,5043,1451,3279,430,3,5167,1535,4256,487,0,6282,2074,5739,630,11,8455,2536,4958,650,7,8150,1282,2484,387,0,4153,179,1182,238,0,1601,10878,28973,3632,42,43526
SOS43,930,3063,443,6,4445,611,2659,423,38,3738,1244,5310,1136,130,7828,2206,5536,1261,64,9068,2866,7504,1278,25,11668,3096,9391,1223,7,13719,2919,7164,863,13,10961,1021,3155,429,5,4611,102,670,89,5,865,15004,44463,7146,296,66900,891,2662,395,5,3942,594,2163,233,14,3000,1374,4501,550,23,6449,2852,4718,512,11,8098,3229,6601,742,18,10591,3166,8041,788,10,12000,2795,5707,665,11,9174,857,2439,342,3,3641,84,650,117,0,854,15841,37472,4345,88,57752,1816,5725,835,13,8389,1208,4824,652,58,6734,2617,9814,1692,153,14280,5060,10259,1774,73,17164,6098,14098,2022,34,22253,6268,17431,2009,15,25719,5715,12866,1530,27,20137,1885,5593,770,12,8252,182,1319,205,3,1723,30844,81931,11486,386,124656
SOS47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,5,19,0,6,6,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,8,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,5,19,0,6,6,0,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,8,7,40
SOS50,9962,48024,2664,63,60713,8423,51410,3504,190,63523,13913,115469,8542,548,138475,18500,114408,7418,388,140711,19562,98462,5723,372,124118,13814,88209,4247,397,106670,12980,67317,3315,342,83955,6536,35832,2867,118,45355,1072,12368,1909,28,15374,104776,631495,40178,2453,778901,12482,42997,2553,67,58103,11951,47705,2999,187,62845,19535,121439,7500,478,148949,28348,114773,6368,242,149730,26064,101013,4802,262,132138,18244,93325,3776,513,115861,16072,73223,3617,446,93356,7509,41378,3815,140,52848,1250,19877,3410,45,24582,141445,655745,38843,2380,838412,22441,91027,5214,129,118813,20371,99115,6503,379,126375,33446,236910,16044,1024,287428,46845,229179,13785,632,290440,45629,199468,10521,635,256255,32057,181534,8021,910,222529,29054,140545,6932,788,177310,14048,77212,6683,267,98207,2327,32244,5314,78,39957,246223,1287243,79021,4837,1617314
SOS51,1598,8758,1208,14,11570,975,7904,1258,130,10267,2738,19254,3736,264,25995,4165,18909,3695,128,26902,4204,18636,3346,64,26243,3756,18455,2811,69,25084,3943,14479,1737,39,20197,1917,7119,945,19,10005,308,2211,435,7,2966,23611,115720,19167,729,159227,1913,7821,1032,12,10774,1244,7300,1052,62,9654,3905,19916,2797,165,26791,6412,18146,2473,32,27075,5590,17971,2178,32,25763,4925,18066,1958,56,25011,4917,14057,1528,57,20555,2176,7481,1039,14,10709,372,3398,704,7,4481,31453,114165,14754,441,160814,3509,16576,2238,20,22341,2219,15199,2311,193,19925,6643,39171,6539,432,52783,10578,37058,6166,170,53975,9793,36599,5522,89,52008,8682,36524,4766,124,50096,8862,28539,3259,89,40752,4094,14602,1987,35,20711,684,5613,1138,7,7447,55061,229886,33924,1167,320040
