SA3_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
10304,261,1586,130,0,1978,151,1405,126,6,1686,394,3000,230,6,3635,595,2785,238,6,3625,661,2806,237,6,3703,519,2812,208,9,3549,623,2208,182,0,3009,328,1224,132,0,1682,52,433,59,0,545,3583,18258,1533,38,23413,337,1445,129,0,1908,218,1336,111,0,1665,503,3266,226,11,4004,777,2917,227,0,3923,758,2897,216,9,3875,680,2904,191,3,3781,804,2238,179,4,3222,387,1354,176,5,1913,67,656,135,0,857,4524,19013,1580,26,25149,601,3029,259,3,3885,374,2737,236,4,3350,899,6271,460,12,7635,1371,5703,461,7,7549,1419,5702,444,12,7579,1201,5716,399,17,7335,1429,4442,362,6,6233,711,2579,302,3,3595,115,1088,191,0,1400,8114,37268,3116,64,48561
10401,167,1155,143,0,1466,102,923,220,9,1255,212,1864,555,30,2664,368,1861,471,13,2714,429,2360,370,0,3157,667,3152,323,0,4152,788,3305,267,5,4361,391,1804,168,0,2364,47,573,64,0,686,3169,16995,2591,60,22818,165,968,112,0,1248,108,926,103,3,1136,299,2017,265,3,2585,507,1916,250,0,2679,575,2565,246,5,3390,824,3204,255,0,4285,999,3013,240,0,4258,482,1788,191,0,2459,82,868,134,0,1082,4044,17272,1793,18,23125,334,2122,255,0,2714,207,1850,323,13,2392,514,3883,819,35,5252,876,3783,722,18,5393,1009,4921,613,11,6553,1494,6357,583,4,8437,1787,6319,510,5,8617,871,3592,365,0,4824,124,1441,205,0,1766,7207,34268,4387,77,45946
10402,302,2166,194,0,2669,187,1773,134,28,2123,455,3981,386,55,4874,701,3986,376,22,5090,926,4214,390,23,5556,1030,4684,376,8,6102,1268,4589,339,9,6199,543,2444,294,9,3281,81,844,166,0,1092,5486,28687,2658,143,36977,336,2095,206,0,2637,225,1661,129,28,2053,606,4192,381,40,5221,1055,4196,377,23,5647,1165,4681,344,13,6198,1285,5244,332,21,6886,1538,4562,353,11,6464,713,2629,367,4,3713,100,1231,312,0,1647,7032,30499,2797,137,40466,644,4261,397,0,5306,413,3439,266,54,4174,1059,8182,764,89,10099,1755,8181,754,40,10738,2091,8894,742,32,11753,2316,9934,706,33,12988,2801,9146,693,20,12665,1253,5073,659,6,6993,184,2071,482,0,2741,12520,59185,5458,279,77445
10501,78,413,133,0,627,52,476,106,3,636,158,989,283,14,1454,187,776,242,0,1207,244,927,250,4,1424,298,1217,317,4,1839,237,978,239,5,1462,93,484,146,0,720,21,119,27,0,170,1371,6389,1739,26,9527,78,390,119,0,582,65,421,112,5,598,189,1084,237,5,1525,261,710,238,0,1204,282,857,242,0,1388,327,1026,250,0,1598,247,739,194,0,1178,131,439,145,0,710,26,193,68,0,283,1597,5853,1606,18,9071,154,804,252,0,1210,116,894,214,7,1231,353,2076,526,27,2979,447,1482,478,0,2408,530,1785,490,6,2812,627,2248,558,5,3440,481,1720,437,6,2640,224,923,282,0,1426,42,310,97,0,452,2971,12241,3343,44,18605
10502,60,441,83,0,578,31,453,81,0,568,116,948,141,3,1213,135,791,133,0,1055,173,923,128,0,1219,231,1152,121,0,1509,276,988,124,3,1389,97,458,61,0,619,14,168,36,0,220,1134,6330,902,7,8374,54,395,59,0,513,60,399,59,0,512,131,1034,141,0,1302,175,827,126,0,1127,174,909,101,0,1187,272,1179,109,4,1559,303,910,103,0,1317,128,563,108,0,794,19,293,85,0,399,1310,6514,888,9,8721,109,839,139,0,1091,88,849,139,3,1086,252,1985,283,6,2519,311,1620,257,0,2189,346,1830,231,0,2409,502,2331,228,4,3070,580,1902,225,3,2705,223,1023,169,0,1416,29,466,128,0,618,2447,12844,1790,15,17100
10503,245,1694,297,0,2236,165,1493,260,7,1924,472,3845,658,19,4992,669,2902,559,7,4137,708,2956,490,3,4162,740,3324,463,4,4524,713,2781,392,4,3887,410,1577,259,0,2243,58,533,121,0,710,4179,21097,3491,44,28811,301,1524,237,0,2062,197,1572,198,3,1974,572,4068,531,18,5188,896,2992,467,5,4354,855,3101,427,0,4386,879,3450,409,8,4753,939,2645,367,3,3959,558,1608,322,3,2491,106,803,169,0,1080,5312,21778,3121,38,30249,547,3216,532,0,4301,365,3066,460,11,3898,1049,7908,1186,35,10178,1566,5895,1019,14,8489,1567,6058,911,10,8542,1617,6777,868,10,9278,1649,5428,760,7,7841,969,3187,583,3,4738,162,1335,290,0,1792,9489,42873,6613,83,59057
10601,285,2719,265,0,3266,196,2530,365,0,3094,432,5440,862,4,6737,679,4704,734,5,6121,689,4942,558,3,6202,698,4964,431,5,6093,746,3937,311,8,4995,317,1857,190,0,2362,40,537,50,0,627,4090,31626,3762,24,39499,281,2344,204,0,2835,219,2358,147,3,2732,639,5564,336,11,6542,1042,4655,296,8,6002,898,5037,284,3,6220,925,4916,231,7,6085,957,3760,200,3,4925,316,1959,177,0,2452,59,921,101,0,1084,5339,31514,1976,41,38867,568,5064,474,0,6104,419,4892,516,3,5828,1068,11004,1200,9,13279,1726,9355,1026,11,12119,1592,9982,843,12,12423,1627,9875,662,12,12174,1706,7690,515,8,9921,629,3818,364,0,4813,102,1462,151,0,1712,9426,63143,5741,60,78369
10602,221,2347,129,3,2704,207,2312,97,0,2621,410,5282,265,6,5958,589,4779,245,6,5616,583,4272,184,6,5041,467,3766,163,3,4400,532,2994,127,5,3658,254,1554,108,0,1914,26,428,71,0,523,3286,27725,1394,33,32444,303,2266,103,0,2670,260,2301,105,0,2672,539,5687,263,8,6499,818,4920,252,0,5990,736,4589,152,4,5480,620,4179,153,10,4964,667,3237,159,0,4065,296,1805,147,7,2255,38,766,133,4,941,4279,29761,1467,33,35540,522,4611,232,3,5372,468,4611,209,6,5294,947,10968,527,16,12457,1404,9703,499,12,11607,1323,8859,337,9,10523,1087,7949,318,16,9369,1197,6230,284,10,7721,551,3365,257,4,4169,66,1194,201,4,1463,7558,57493,2861,66,67983
10603,231,1929,145,0,2307,120,1621,89,0,1830,253,2922,213,0,3392,462,2990,197,6,3652,577,3698,201,8,4481,735,4399,226,6,5367,1017,4261,254,4,5534,581,2568,243,3,3397,82,664,111,0,854,4054,25050,1677,29,30813,247,1682,109,0,2040,168,1431,96,0,1688,361,2942,181,9,3487,716,3082,183,7,3989,754,3899,197,0,4850,928,4624,199,4,5760,1194,4325,247,0,5764,620,2620,269,0,3509,61,956,202,4,1223,5044,25562,1675,25,32310,478,3609,257,0,4344,291,3043,184,0,3518,616,5857,399,9,6882,1178,6073,378,9,7641,1326,7595,398,11,9333,1664,9022,426,15,11128,2207,8588,496,3,11297,1203,5192,515,3,6906,140,1624,312,6,2078,9097,50617,3354,53,63126
10604,88,823,85,0,996,64,669,81,4,813,159,1673,244,15,2085,276,1542,213,10,2041,298,1518,189,0,2002,299,1578,154,0,2034,252,1208,117,4,1578,143,591,78,0,813,26,183,36,0,248,1607,9786,1184,23,12598,111,753,73,0,941,61,662,52,0,779,218,1652,137,6,2011,387,1389,123,0,1902,331,1489,121,0,1936,334,1476,110,3,1921,300,1106,106,6,1516,159,648,72,0,872,31,322,56,0,411,1924,9493,850,21,12280,196,1576,159,0,1937,123,1326,132,7,1592,377,3320,382,17,4093,660,2933,332,8,3935,630,3006,310,0,3940,636,3054,265,3,3956,558,2315,217,6,3092,303,1238,144,0,1684,59,505,95,0,657,3533,19275,2033,42,24884
10701,228,2126,142,0,2495,171,2121,111,0,2407,375,4260,260,0,4897,459,4137,234,0,4836,506,4096,212,0,4819,474,4189,171,4,4836,462,3179,149,4,3798,206,1992,134,0,2335,40,704,86,0,838,2919,26823,1505,12,31257,250,1947,126,0,2321,240,1973,103,0,2317,450,4313,275,0,5033,666,4187,234,4,5092,516,4280,177,3,4979,558,4202,162,9,4929,536,3398,158,4,4098,277,2393,173,0,2846,40,1177,165,0,1385,3538,27865,1576,23,33000,476,4075,265,0,4822,414,4096,210,0,4720,821,8572,535,0,9934,1123,8322,472,6,9927,1025,8380,394,3,9798,1035,8389,336,13,9764,1004,6580,307,6,7903,483,4387,306,0,5179,84,1881,257,4,2220,6463,54682,3082,38,64261
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
10703,334,2618,137,0,3096,208,2490,115,3,2818,370,4934,256,3,5570,647,4783,260,3,5694,752,4911,257,10,5925,715,5205,213,3,6139,960,4136,232,8,5340,419,2335,229,4,2979,50,723,241,0,1012,4454,32148,1939,39,38582,404,2490,126,0,3027,273,2353,119,3,2749,515,5226,272,9,6019,840,5026,248,9,6122,879,5338,238,4,6462,892,5723,202,12,6831,1063,4521,220,5,5812,448,2640,258,3,3347,86,1085,277,0,1448,5407,34400,1957,43,41806,745,5114,270,0,6126,476,4845,236,3,5571,891,10157,522,8,11588,1491,9809,506,8,11814,1630,10254,491,10,12385,1604,10927,417,18,12970,2018,8659,453,14,11151,862,4974,488,9,6327,136,1810,515,0,2459,9860,66546,3900,79,80385
10704,646,3210,214,0,4065,689,4454,318,16,5479,953,7890,470,18,9327,1135,6708,382,5,8232,1385,6558,365,12,8317,1187,6411,283,10,7889,1160,4635,267,11,6077,563,2909,264,0,3735,81,1078,189,0,1336,7795,43851,2751,68,54468,681,3060,247,7,3994,925,4090,269,7,5298,1128,7480,422,17,9046,1501,6709,368,11,8587,1532,6834,308,9,8686,1264,6738,276,10,8290,1286,5189,292,14,6778,562,3452,365,3,4380,78,1705,466,3,2242,8955,45256,3005,82,57295,1322,6269,457,6,8059,1615,8546,589,19,10775,2081,15368,890,38,18375,2634,13413,748,19,16812,2920,13398,669,21,17004,2448,13151,563,19,16177,2445,9824,565,29,12861,1129,6358,628,3,8118,158,2780,649,3,3582,16750,89107,5755,151,111768
