SA3_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
10304,506,416,319,236,72,17,2033,20,163,215,233,182,145,54,10,1013,288,1675,1680,1288,877,748,251,59,6863,151,610,785,912,806,614,288,71,4231,996,2232,1931,1809,1588,880,365,113,9915,108,120,123,113,131,99,37,5,728,56,101,120,168,234,212,121,20,1037,1165,2459,2173,2087,1954,1193,521,139,11683,15,22,44,43,44,57,43,8,286,493,513,502,543,556,584,512,277,3985,2157,5888,5899,5512,4742,3572,1746,594,30099
10401,160,173,184,177,63,5,876,11,75,100,138,192,178,33,8,730,80,628,750,739,733,714,228,58,3919,78,339,498,673,856,727,316,68,3546,737,1558,1491,1707,2032,1574,624,159,9876,138,114,116,117,153,122,29,11,792,49,90,116,148,274,282,142,39,1139,929,1768,1724,1968,2458,1971,795,202,11811,11,20,22,33,55,74,54,9,280,596,882,796,748,797,909,667,362,5750,1708,3822,4053,4468,5261,4750,2151,706,26908
10402,536,568,466,455,158,30,2601,13,194,264,335,382,418,109,11,1732,309,1937,2171,2031,1598,1522,513,108,10189,177,883,1197,1568,1572,1291,546,150,7380,1161,2563,2658,2795,3077,2238,945,235,15679,185,211,152,133,203,171,46,16,1110,91,141,189,273,376,430,219,47,1771,1434,2911,2996,3201,3658,2841,1210,299,18556,22,63,54,64,80,91,87,19,480,743,889,876,910,968,1087,992,658,7119,2720,7245,8104,8682,8728,7699,3608,1271,48056
10501,69,46,52,18,9,0,280,0,40,42,46,45,22,0,0,195,100,464,301,267,234,120,39,10,1528,29,202,227,207,243,135,39,10,1089,246,662,512,531,597,355,117,30,3044,47,40,32,64,41,21,8,0,249,22,29,33,48,73,56,21,0,278,304,726,570,648,716,432,144,31,3576,3,18,5,11,16,18,5,6,78,495,548,507,531,635,548,351,133,3749,948,2068,1718,1758,1946,1293,596,176,10503
10502,71,63,66,42,3,0,336,3,49,60,45,70,34,6,0,272,82,343,234,194,197,177,52,11,1282,35,165,184,243,264,125,29,17,1060,255,665,551,573,644,457,159,36,3338,37,59,27,36,49,30,4,0,237,22,23,36,51,75,51,29,10,289,310,744,612,654,765,546,188,41,3865,9,7,3,6,18,15,10,0,68,292,290,291,270,304,319,226,159,2146,737,1683,1449,1480,1692,1244,516,220,9033
10503,461,237,207,123,34,7,1770,17,169,189,195,186,132,24,0,915,336,1950,1545,1095,796,580,209,49,6559,151,699,783,876,885,543,259,71,4267,1009,2519,2094,2065,1987,1227,512,117,11530,155,189,130,114,155,94,35,4,871,62,124,123,196,253,234,126,26,1140,1220,2836,2352,2377,2384,1555,673,141,13545,14,44,40,47,58,57,45,25,330,987,1262,1096,1061,1085,1055,896,429,7874,2742,7640,6471,5888,5605,4049,2135,728,35264
10601,302,266,292,206,62,8,1405,30,146,181,170,167,157,27,5,887,298,1450,1438,1076,966,827,253,47,6343,261,1074,1191,1277,1140,773,223,49,5984,1838,4740,4094,3798,3199,1809,677,121,20275,302,303,220,180,186,124,21,4,1354,123,198,208,314,359,279,117,29,1625,2260,5246,4524,4298,3748,2212,812,159,23252,20,49,54,47,78,70,32,8,355,998,1297,1123,1073,893,883,636,276,7187,3876,9507,8807,8209,7287,5124,2051,552,45416
10602,592,408,314,181,52,10,1951,33,231,246,240,196,173,34,9,1165,382,2131,1963,1365,806,647,235,72,7609,294,1250,1471,1390,1082,665,263,53,6469,1670,4134,3498,2905,2411,1390,608,133,16754,232,231,196,154,117,88,30,0,1052,103,152,145,242,326,265,114,31,1385,2006,4515,3839,3304,2855,1750,759,167,19194,21,40,49,58,52,89,38,17,372,462,616,582,453,505,479,497,280,3882,3227,9183,8746,7217,5815,3983,1875,600,40639
10603,303,342,355,328,127,23,1664,15,92,138,191,237,247,71,8,999,187,921,1128,1096,1052,1092,489,92,6054,198,627,964,1201,1370,1161,536,96,6152,1028,2216,2391,2742,2906,2187,1138,235,14833,151,159,138,150,191,155,59,7,1012,78,102,139,219,348,410,216,57,1564,1258,2471,2665,3110,3442,2748,1414,298,17405,5,28,44,46,85,114,68,30,422,448,467,457,579,710,889,941,488,4970,2110,4788,5687,6569,7253,6581,3656,1031,37667
10604,89,75,89,50,10,5,404,3,41,63,47,52,35,13,0,257,105,525,440,359,245,192,73,21,1956,56,278,360,392,321,219,81,16,1722,532,1390,1212,1152,1000,522,184,38,6031,65,91,61,75,66,31,10,0,401,22,69,80,105,108,68,47,13,507,619,1550,1354,1327,1173,626,236,52,6938,3,8,19,18,17,15,6,10,99,315,415,384,369,361,350,241,142,2572,1108,2904,2702,2584,2258,1488,658,246,13948
10701,571,400,318,185,56,8,2096,36,198,228,174,163,130,33,3,970,483,1883,1540,1042,770,529,191,38,6484,309,1001,1196,1254,921,574,208,63,5529,1365,2967,2762,2528,2378,1389,671,209,14274,154,166,163,155,161,92,34,4,928,96,133,184,320,359,267,127,22,1509,1620,3264,3111,3006,2903,1745,835,236,16713,27,26,58,67,72,78,38,12,369,481,620,553,544,525,534,599,382,4239,2983,7514,7250,6488,5663,3783,1951,750,36399
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
10703,715,529,503,430,132,21,2863,23,286,323,276,302,311,73,4,1613,542,2295,2159,1713,1349,1212,390,87,9731,374,1314,1631,1696,1525,1086,364,93,8093,1744,3573,3355,3329,3150,2022,920,264,18351,216,202,160,171,207,139,51,11,1168,127,194,199,372,490,439,195,60,2077,2084,3966,3716,3874,3846,2601,1161,337,21589,21,56,51,71,105,118,76,14,500,574,627,637,613,686,757,799,625,5310,3644,9050,9233,8767,8319,6523,2992,1178,49705
10704,2221,1745,1407,973,308,44,9388,63,542,674,592,554,475,129,28,3059,1975,5948,4535,3641,2487,1688,675,168,21106,687,1606,2104,2356,2003,1334,547,162,10799,1963,3504,3213,3468,3354,2082,1103,348,19043,293,181,191,204,243,152,58,25,1351,131,152,259,410,594,561,273,92,2477,2384,3836,3669,4086,4195,2792,1436,461,22861,41,81,102,94,133,155,104,38,742,1087,970,867,835,848,862,1012,778,7263,6392,15509,14176,13345,11629,8286,4203,1680,75218
10801,100,109,134,128,60,7,643,6,44,56,58,96,104,30,6,396,58,379,459,428,505,531,223,50,2639,59,182,332,444,548,590,233,67,2451,344,707,820,1062,1413,1187,605,160,6299,43,58,61,69,86,93,39,7,449,24,31,43,100,176,212,107,32,727,412,797,923,1235,1679,1488,750,197,7475,4,4,14,20,39,64,40,13,199,274,208,252,352,498,716,638,384,3321,816,1710,2141,2646,3504,3626,1966,727,17126
10802,137,134,195,166,42,8,773,14,56,86,112,177,136,44,4,632,83,558,634,663,760,691,242,60,3696,67,281,437,608,817,756,248,55,3263,577,1386,1359,1551,2129,1634,674,143,9447,103,134,83,113,162,116,29,8,735,50,62,91,140,228,242,99,32,938,723,1580,1527,1803,2511,1989,799,184,11123,12,27,18,24,61,98,50,17,296,712,826,729,658,893,894,654,331,5696,1621,3404,3570,4001,5415,4731,2083,647,25477
10803,4,9,3,4,0,0,26,0,0,0,5,0,0,0,0,5,0,15,10,9,12,9,4,0,59,0,12,3,6,5,8,6,0,39,4,17,23,16,18,12,4,0,91,0,0,3,0,0,0,0,0,3,0,0,0,0,4,3,0,0,14,6,17,23,13,27,13,8,0,107,0,0,0,0,0,0,0,0,0,0,7,10,3,7,13,4,6,47,3,57,53,42,54,38,22,4,282
10804,493,522,400,397,147,28,2362,11,141,231,304,308,334,101,7,1437,285,1621,1732,1670,1358,1329,606,171,8769,202,640,1140,1399,1473,1372,681,188,7095,1235,2349,2346,2812,3107,2461,1294,395,15997,189,154,143,171,206,191,69,20,1136,112,86,181,262,391,515,289,90,1920,1527,2590,2668,3247,3709,3170,1644,497,19051,26,20,47,64,91,134,95,35,514,502,500,525,614,824,1090,1051,711,5833,2570,5878,6844,7821,8163,7821,4329,1640,45068
10805,215,173,209,241,74,12,1063,4,67,84,146,166,173,49,6,695,124,635,701,748,793,850,304,77,4224,108,390,537,743,956,844,340,79,3980,783,1553,1498,1871,2197,1747,752,167,10558,120,135,106,112,141,145,39,7,807,38,73,97,160,305,309,142,36,1169,941,1758,1702,2145,2648,2197,934,207,12536,14,25,25,30,69,87,55,16,324,544,499,494,562,802,925,879,454,5150,1734,3522,3757,4539,5637,5309,2636,847,27982
10901,473,328,302,171,60,3,1868,19,181,270,259,262,178,58,3,1234,321,1633,1744,1247,880,711,264,52,6841,203,804,880,971,946,677,279,71,4826,1052,2395,2021,1983,1896,1214,488,155,11210,144,147,116,126,109,79,22,5,732,57,74,138,171,232,213,92,29,1018,1251,2615,2279,2288,2240,1504,601,189,12962,19,29,39,32,30,57,46,15,267,603,574,586,559,654,623,582,281,4462,2442,6346,6274,5679,5312,3914,1887,605,32448
10902,19,26,24,12,4,0,132,4,23,27,42,23,11,4,0,128,38,209,193,155,127,91,33,3,843,26,118,133,168,207,95,45,10,803,158,407,320,370,390,213,87,18,1969,25,35,25,17,31,15,5,0,161,14,16,23,31,29,25,13,4,143,192,461,372,419,452,252,105,22,2270,3,4,6,3,10,6,4,0,40,214,247,263,254,280,278,143,63,1733,479,1100,1006,1069,1121,741,340,97,5950
10903,96,102,97,67,16,7,502,10,79,103,108,119,96,15,0,534,121,679,716,518,489,336,146,30,3037,75,345,450,519,539,437,206,56,2620,480,1231,1201,1374,1421,1136,464,92,7409,62,58,58,78,90,59,20,0,424,31,39,49,114,129,116,54,15,544,570,1333,1307,1562,1644,1312,533,116,8375,3,13,16,14,36,38,29,15,162,406,433,409,495,676,780,721,384,4306,1193,3007,3090,3324,3598,3065,1668,596,19542
11001,550,431,423,324,160,36,2354,12,106,149,154,161,159,47,4,790,233,1026,845,782,674,539,248,68,4423,103,294,384,493,526,390,197,49,2433,501,972,815,808,883,559,258,58,4851,146,79,65,64,80,42,18,3,505,48,35,50,105,136,119,72,14,575,696,1088,931,975,1096,727,345,77,5929,23,27,18,25,33,33,27,3,183,1001,519,373,411,455,424,448,229,3852,2071,3473,3254,3264,3377,2599,1461,473,19966
11002,73,72,81,86,29,4,446,3,42,61,105,86,95,30,0,415,99,455,522,510,440,409,153,31,2606,55,215,322,471,497,458,167,31,2226,538,1039,1028,1105,1313,874,376,59,6333,97,103,64,85,124,54,25,4,549,36,53,56,123,147,155,60,15,637,675,1195,1147,1312,1581,1085,455,76,7522,6,10,13,24,43,38,30,11,179,490,458,528,626,692,749,518,236,4297,1335,2460,2668,3117,3418,2918,1382,402,17696
11003,71,64,53,29,13,3,324,3,46,45,57,52,27,10,0,241,111,565,403,330,216,144,46,18,1829,55,224,221,279,274,174,64,15,1307,366,757,686,609,631,359,139,26,3569,46,50,35,60,40,18,10,0,260,27,28,37,50,96,57,26,3,326,435,826,762,718,767,439,175,32,4156,6,4,5,12,11,20,8,0,67,542,587,573,635,706,518,304,102,3961,1164,2332,2073,2093,2067,1350,616,169,11875
11004,389,324,220,132,58,8,1598,28,164,245,205,181,174,49,10,1054,341,1747,1574,1198,894,716,273,86,6826,127,766,968,1074,1059,671,325,89,5078,1285,2970,2761,2545,2335,1546,665,152,14263,193,238,171,166,155,120,46,4,1086,103,139,162,257,307,316,152,39,1472,1581,3349,3085,2969,2802,1981,860,197,16826,30,59,47,40,57,85,51,9,388,976,1053,966,938,1025,1010,967,495,7430,3101,7583,7282,6741,6231,4767,2590,906,39201
11101,1170,927,671,517,166,36,4247,36,261,469,444,427,375,96,16,2121,691,3369,3850,2927,1962,1559,676,129,15163,341,1287,1901,2201,2038,1420,676,175,10038,1924,3820,3838,4068,3957,2710,1366,461,22138,265,231,217,209,216,179,72,10,1391,141,175,232,399,573,560,316,91,2486,2323,4222,4285,4678,4748,3453,1749,561,26018,39,58,80,84,138,147,99,49,684,581,702,738,672,749,927,983,577,5927,4032,10642,12498,11936,10722,8394,4443,1533,64202
11102,487,410,378,392,199,52,2256,26,159,209,190,259,228,99,10,1176,310,1715,1680,1203,1011,1024,451,136,7530,279,1000,1176,1213,1216,947,453,148,6438,1447,3270,2923,2959,2794,2042,972,288,16693,218,189,176,167,134,118,43,15,1053,106,153,145,284,340,407,235,70,1733,1771,3611,3239,3408,3258,2570,1244,377,19483,25,33,39,72,78,92,75,26,442,439,491,490,492,540,685,815,561,4525,2862,7338,7331,6988,6740,5945,3346,1302,41853
11103,2784,1875,1338,812,295,69,9664,86,677,774,727,623,572,142,25,3632,2066,8618,6403,4510,2955,2179,806,202,27739,725,2422,2503,2774,2314,1460,663,193,13061,2755,5621,4483,4362,4235,2634,1260,408,25758,463,307,248,282,294,190,71,19,1862,184,245,315,489,599,569,270,90,2763,3401,6172,5046,5135,5124,3389,1601,515,30382,84,125,111,124,133,150,120,44,898,1618,1609,1276,1267,1244,1418,1394,1178,11000,8074,22003,18891,16422,13741,9990,5022,2233,96373
11201,808,752,707,620,180,29,3649,13,162,330,402,423,410,88,10,1851,324,2512,2938,2736,2090,1919,643,145,13308,223,1042,1316,1535,1586,1358,574,159,7786,870,1994,2171,2307,2601,1869,742,213,12763,131,127,97,130,176,140,30,7,840,52,141,201,266,358,422,165,52,1657,1049,2264,2468,2702,3131,2427,938,270,15263,29,63,63,76,107,122,80,36,575,767,1049,1049,1036,1064,1140,793,526,7418,2427,7630,8973,9239,9103,8001,3298,1184,49852
11202,364,405,366,313,109,9,1832,21,115,220,239,283,255,57,12,1204,191,1156,1488,1451,1284,1089,302,74,7032,157,561,752,1010,1125,872,287,70,4841,1061,2066,2046,2110,2387,1474,518,130,11780,165,180,129,147,160,109,26,6,935,82,105,146,199,315,279,118,34,1289,1308,2354,2326,2462,2859,1862,661,167,14008,13,33,28,48,74,98,42,21,348,839,782,850,889,1051,1039,785,477,6711,2541,5258,6032,6503,7031,5527,2241,828,35976
11203,583,531,500,455,126,25,2618,8,196,321,308,340,319,93,25,1608,311,1888,2524,2016,1593,1367,515,121,10335,255,943,1407,1542,1706,1347,584,166,7952,1128,2293,2661,2999,3282,2412,1209,366,16347,157,130,169,171,184,150,46,15,1019,88,136,228,293,436,421,235,80,1917,1373,2560,3060,3458,3900,2982,1490,460,19276,22,39,53,57,99,132,94,51,543,778,850,1025,1027,1162,1241,1276,982,8350,2768,6846,8978,8943,9303,7848,4171,1830,50684
11301,188,137,95,50,14,4,798,9,72,84,113,102,65,14,4,467,214,1165,884,707,427,245,109,28,3773,120,534,553,506,468,249,102,25,2557,730,1631,1489,1374,1245,651,240,68,7435,94,101,82,114,106,42,11,0,552,46,107,97,161,152,117,41,9,730,877,1837,1672,1648,1501,811,291,78,8718,15,42,38,18,35,36,23,12,226,555,748,623,683,664,615,457,280,4624,1803,4697,4042,3812,3294,2080,1010,436,21169
11302,64,35,36,31,3,4,215,3,22,43,34,36,47,11,0,197,35,270,234,207,175,139,59,9,1121,31,87,126,190,191,153,56,9,844,188,435,501,472,569,294,123,36,2624,19,26,21,33,33,22,8,0,164,13,20,20,43,60,35,23,11,219,223,485,547,548,658,349,159,44,3011,0,3,9,4,12,12,4,0,44,152,179,216,212,223,189,202,97,1478,444,1084,1234,1236,1329,918,498,171,6909
11303,607,495,418,263,82,25,2476,27,274,311,340,279,226,53,8,1523,608,2524,2309,1713,1158,886,344,85,9633,348,1017,1116,1242,1226,847,384,125,6307,1910,3530,2966,2726,2677,1718,613,165,16313,275,286,172,166,195,132,39,12,1280,92,151,182,275,372,357,139,44,1609,2273,3964,3320,3176,3245,2201,799,222,19201,44,65,48,60,81,75,62,21,452,1206,1171,1054,1017,1017,1051,863,515,7889,4530,9573,8782,8037,7429,5554,2587,994,47486
11401,570,553,658,654,212,33,3160,19,235,301,283,418,431,119,8,1815,329,1832,1843,1663,1860,1673,621,146,9973,196,891,1288,1505,1915,1582,715,154,8248,1483,3409,3208,3280,3856,3138,1547,431,20351,182,205,206,190,271,226,61,19,1363,109,167,202,284,510,616,313,86,2280,1779,3784,3607,3756,4634,3984,1919,532,23995,24,50,59,70,107,176,115,35,631,993,1138,1100,1096,1164,1366,1185,605,8637,3361,8394,8763,8917,10754,9866,4886,1519,56469
11402,489,540,494,601,290,73,2864,12,94,153,209,260,306,102,8,1155,213,1041,1348,1403,1275,1326,720,158,7487,150,484,614,932,912,987,581,153,4817,615,1350,1276,1411,1469,1029,615,138,7901,78,65,76,94,118,84,44,12,569,39,56,97,199,250,311,208,39,1196,735,1474,1450,1701,1839,1427,866,185,9670,11,22,32,37,68,114,86,31,398,293,252,291,399,452,544,601,465,3316,1442,3721,4386,5229,5306,5308,3246,1076,29711
