SA3_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
10603,10474,1386,374,274,57,12561,8129,624,116,19,8,8896,2843,1197,425,38,11,4509,398,116,55,4,0,574,147,127,38,3,0,313,913,225,79,19,9,1248,403,50,11,149,12,630,20,17,3,4,0,50,4729,1734,611,212,34,7320,578,261,36,9,8,892,1042,260,72,129,16,1522,24957,4267,1205,645,121,31197
10604,3588,111,12,76,21,3818,3690,61,8,4,4,3770,1455,549,46,3,0,2052,236,101,16,0,0,358,66,55,0,0,0,126,637,36,4,7,5,688,188,44,9,20,22,275,9,8,0,0,0,13,2591,789,76,34,28,3520,424,44,3,7,14,490,654,120,6,13,0,803,10948,1135,115,139,60,12392
10701,9710,468,202,56,7,10449,9490,501,143,9,0,10150,2852,645,619,10,9,4137,1277,464,400,0,0,2141,63,38,58,0,0,161,882,107,114,4,4,1115,141,16,24,18,6,199,36,16,6,0,0,56,5255,1284,1222,37,22,7808,238,94,102,3,3,442,989,199,212,16,7,1416,25678,2547,1876,128,38,30268
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,11358,1418,465,274,22,13541,11282,1223,246,13,10,12766,3234,1493,729,22,18,5493,1093,404,165,0,0,1667,85,88,53,0,0,223,988,263,148,18,4,1421,73,18,16,38,4,144,23,11,10,0,0,40,5483,2277,1117,87,22,8987,271,194,198,9,5,674,1048,285,159,77,10,1572,29441,5399,2188,457,65,37542
10704,12790,1696,2634,180,13,17315,11821,1566,2239,65,17,15706,3077,2140,5828,142,37,11227,878,1152,982,0,3,3019,66,172,144,3,7,393,1121,406,833,39,27,2429,91,34,86,24,15,252,27,13,37,0,0,78,5257,3931,7904,215,85,17390,297,198,392,9,3,893,938,436,852,39,27,2293,31105,7824,14019,516,145,53608
10801,5555,893,520,287,13,7266,2939,199,157,10,9,3311,1008,306,639,35,8,1987,28,86,72,0,0,180,43,72,74,0,0,187,501,109,113,15,3,746,74,18,22,56,6,171,6,5,7,0,0,23,1666,580,921,105,21,3301,193,40,180,10,6,431,690,108,161,61,9,1031,11038,1819,1940,470,66,15335
10802,8677,205,246,342,59,9532,4931,94,85,23,9,5139,1729,298,552,25,7,2612,248,34,39,0,0,316,295,82,70,0,7,455,953,42,84,11,6,1104,162,17,15,95,14,300,36,9,6,0,0,49,3419,476,757,135,38,4833,287,24,18,34,4,366,1312,97,151,205,10,1780,18625,905,1252,738,125,21644
10803,56,16,0,0,0,75,26,3,0,0,0,28,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,26,3,10,0,0,39,14,3,0,0,0,21,0,0,0,0,0,0,41,14,7,0,0,62,5,0,0,0,0,9,17,6,0,0,0,26,150,34,10,0,0,193
10804,12529,1479,803,254,45,15107,8307,601,304,21,11,9246,3212,1315,1468,52,17,6054,181,133,152,0,4,467,229,230,187,0,0,647,1168,254,225,25,9,1687,154,51,48,61,29,347,24,22,16,0,0,67,4962,2014,2092,143,58,9273,397,371,182,13,11,980,1202,436,231,141,32,2036,27403,4904,3613,567,149,36641
10805,10022,512,136,170,26,10870,5672,146,41,17,8,5874,2307,518,490,32,7,3355,278,62,77,0,0,427,132,92,82,0,0,305,914,87,70,14,4,1089,108,35,17,42,12,215,24,19,6,0,0,47,3767,812,752,88,20,5439,425,67,16,7,4,524,1338,132,107,103,33,1721,21223,1664,1050,389,101,24428
10901,7828,619,41,37,16,8545,8122,342,13,11,6,8496,3243,2267,186,13,5,5716,527,184,20,0,0,725,93,108,11,0,4,213,1002,254,9,9,3,1277,155,40,3,24,3,232,32,22,7,0,0,64,5049,2872,236,46,21,8225,485,104,31,4,8,629,1247,387,39,46,21,1732,22737,4320,363,144,69,27631
10902,1827,29,5,43,21,1929,1297,15,4,7,12,1330,263,85,28,0,0,378,82,16,4,0,0,100,50,14,3,0,0,63,298,34,3,0,0,338,137,14,8,25,18,196,11,6,0,0,0,17,831,164,40,28,22,1081,193,3,0,3,9,209,612,49,26,62,19,765,4755,268,75,148,78,5319
10903,7288,397,25,121,52,7873,4763,99,5,8,14,4894,1316,605,51,13,0,1979,120,26,0,0,0,145,63,65,3,0,4,127,794,126,14,10,13,953,262,31,10,46,10,360,26,14,3,0,0,37,2579,864,77,73,28,3611,476,96,3,15,10,602,1332,175,23,70,49,1649,16440,1628,139,284,145,18631
11001,4962,147,22,30,9,5173,3759,77,16,4,6,3854,1717,699,326,20,10,2764,235,54,73,0,3,361,115,52,58,0,0,232,677,69,32,4,5,790,173,12,6,38,0,236,10,9,0,0,0,22,2929,895,491,65,16,4391,419,35,3,0,8,470,834,119,78,62,12,1105,12903,1279,605,158,47,14997
11002,6766,83,29,113,40,7025,3753,26,8,25,7,3816,1472,396,84,12,6,1972,192,24,10,0,0,230,134,52,41,0,9,240,847,28,22,9,12,916,187,13,5,40,16,262,30,10,9,0,0,48,2867,529,167,64,38,3670,510,18,10,15,12,554,1426,125,45,91,14,1691,15316,783,253,301,102,16755
11003,2686,86,6,121,42,2938,2179,63,0,15,4,2262,751,395,63,5,3,1212,289,81,15,0,0,383,123,53,15,0,4,193,523,54,7,9,10,596,263,34,4,49,35,387,17,14,0,0,0,38,1972,631,97,60,48,2815,404,30,4,22,17,477,1345,216,49,47,15,1671,8590,1035,159,263,123,10164
11004,10549,336,29,94,44,11051,9552,149,22,19,15,9764,4313,1434,321,15,17,6087,550,176,72,0,0,800,196,136,45,0,8,380,1679,163,26,14,7,1884,311,35,13,63,11,432,53,24,7,0,0,91,7098,1973,475,89,36,9676,698,138,9,15,26,889,2184,396,85,146,29,2842,30085,2989,627,370,158,34224
11101,16005,1865,609,107,7,18592,16058,888,321,12,3,17287,4403,1478,884,32,9,6803,1130,600,453,0,4,2186,89,88,189,0,0,365,1521,299,159,11,12,1999,162,27,19,17,5,235,32,20,15,0,0,67,7328,2516,1719,68,25,11646,352,292,109,6,6,776,1209,343,219,22,22,1818,40951,5908,2977,216,65,50114
11102,10350,598,192,152,12,11306,11476,244,54,10,4,11789,3709,478,205,17,11,4409,607,195,67,0,0,875,100,74,63,0,3,239,1145,76,46,11,10,1288,153,52,21,42,20,293,23,4,6,0,0,39,5738,882,413,73,44,7142,425,401,112,9,3,949,1031,143,69,64,3,1311,29017,2267,839,303,69,32494
11103,17350,2333,1345,47,26,21106,18834,1975,1291,18,17,22133,8167,3840,4352,137,58,16548,753,1150,1245,5,5,3155,223,306,214,6,0,752,2744,716,771,29,21,4284,352,99,85,13,8,562,68,21,30,0,0,115,12313,6138,6697,186,95,25420,578,374,137,5,6,1094,1548,634,856,51,21,3113,50624,11451,10323,308,162,72864
11201,10999,1688,376,649,50,13767,7851,1050,271,42,14,9224,2706,1624,640,49,21,5035,251,310,81,0,0,643,131,122,72,0,0,324,2084,558,279,96,31,3045,252,37,27,221,46,577,45,21,6,0,0,76,5462,2668,1100,370,96,9708,632,193,81,44,10,955,1815,476,191,340,25,2841,26760,6076,2019,1441,197,36495
11202,10275,396,196,210,54,11130,8163,229,98,20,9,8521,2257,762,528,24,14,3579,418,158,76,0,0,650,107,152,57,3,0,320,1772,177,135,42,9,2139,178,31,20,129,7,365,35,24,5,6,0,71,4763,1304,825,198,28,7124,502,127,14,23,8,665,1904,211,144,109,15,2383,25604,2267,1281,558,111,29825
11203,11006,2676,1591,765,62,16099,9184,1532,689,34,13,11450,2191,1388,1520,16,14,5129,234,374,211,0,0,824,69,127,55,0,0,251,1396,578,439,33,27,2470,248,174,109,135,26,698,31,23,15,7,0,67,4160,2662,2349,189,71,9433,411,205,279,31,15,939,1539,437,469,305,15,2762,26302,7507,5378,1322,174,40683
11301,5900,90,139,83,26,6230,4892,55,64,30,17,5059,1624,264,788,35,6,2713,377,37,57,0,0,475,54,24,44,0,0,130,1119,60,154,22,11,1368,367,18,62,66,18,533,31,6,15,5,0,61,3576,415,1127,122,34,5275,539,25,25,11,21,627,1383,88,176,88,15,1754,16294,675,1532,333,114,18946
11302,2406,63,3,12,18,2500,1588,18,0,7,8,1621,478,194,30,10,0,709,163,9,13,0,0,181,17,12,5,0,0,32,337,38,8,3,3,390,83,15,10,28,7,139,7,7,0,0,0,15,1083,271,54,39,10,1464,142,12,0,5,14,164,408,33,18,25,8,493,5619,404,77,84,52,6246
11303,12169,332,291,93,27,12902,11477,127,132,22,16,11780,4336,660,1527,56,11,6589,958,51,168,0,0,1187,89,78,84,0,0,251,1779,133,138,17,11,2069,545,38,39,28,10,660,44,12,13,0,0,71,7748,971,1965,97,37,10819,716,175,72,10,14,989,1785,191,244,67,41,2334,33891,1794,2707,295,139,38827
11401,17698,966,192,652,104,19620,11342,331,93,32,16,11813,4624,1075,335,18,7,6058,535,220,46,0,0,798,448,263,72,0,3,784,1875,173,76,25,9,2153,512,38,16,119,32,720,37,20,4,4,4,74,8026,1794,544,175,52,10591,596,360,38,27,33,1056,2017,313,100,199,84,2721,39682,3761,972,1093,302,45802
11402,8580,473,84,85,16,9246,6473,116,51,19,8,6666,1929,342,206,19,3,2500,161,39,27,0,0,226,165,68,43,0,0,268,702,51,23,8,3,784,110,14,7,21,7,154,13,10,0,0,0,21,3065,525,305,49,17,3961,307,157,26,3,0,499,820,70,34,26,3,949,19252,1346,497,180,40,21314
11501,14736,1425,924,6,9,17095,17770,1996,1096,0,31,20889,4357,1504,2034,0,22,7929,41,82,13,0,0,140,32,41,117,0,0,191,789,194,193,0,0,1180,91,40,26,0,0,158,13,12,19,0,3,46,5327,1878,2415,0,36,9648,452,452,465,0,6,1376,767,180,250,0,8,1206,39053,5927,5153,3,84,50214
11502,3438,117,188,44,18,3801,3174,101,31,7,7,3323,556,56,23,8,7,646,7,5,0,0,0,7,3,6,12,0,0,19,312,14,26,0,5,354,48,0,8,24,0,81,4,0,3,0,0,8,933,72,65,30,19,1111,174,51,54,4,0,280,286,9,16,9,3,330,8007,348,363,98,43,8852
11503,3017,5,3,8,5,3043,3989,4,10,0,10,4004,563,5,12,8,5,590,0,0,0,0,0,0,4,7,0,0,0,7,265,4,8,3,0,283,37,5,0,19,0,60,3,0,0,0,0,3,883,17,20,28,6,954,107,4,0,5,5,121,318,3,0,23,0,348,8318,27,33,62,25,8473
11504,3235,96,217,45,5,3598,8663,376,322,5,12,9376,2241,275,561,0,4,3085,8,0,7,0,0,23,0,7,16,0,6,26,318,23,56,0,7,401,99,0,3,16,0,128,13,0,0,0,0,11,2682,309,649,24,15,3678,98,4,18,3,0,131,366,35,78,50,4,523,15047,822,1282,126,32,17298
11601,10584,623,210,5,0,11424,13341,2371,1063,5,8,16788,7224,1775,2117,25,29,11172,1679,943,479,0,0,3101,123,124,116,0,0,361,1621,227,239,3,11,2100,249,44,38,0,0,331,64,37,19,0,3,117,10959,3137,3016,26,47,17186,367,95,51,0,0,510,2004,545,457,10,12,3026,37246,6783,4795,41,69,48936
11602,6018,451,76,7,8,6553,20690,1910,695,14,77,23382,7092,1396,1299,6,18,9812,184,48,13,0,0,249,74,15,0,0,0,84,824,114,71,0,6,1014,206,27,14,0,0,246,23,7,3,0,0,32,8400,1605,1400,13,27,11442,216,122,15,0,0,351,1302,184,216,0,14,1709,36627,4271,2398,32,121,43441
11603,6303,431,124,3,4,6857,10821,1287,414,7,8,12543,5544,1225,1064,19,10,7865,2634,782,399,0,5,3817,166,121,71,0,0,355,1168,138,111,0,4,1430,218,35,20,0,5,282,63,8,19,0,0,84,9796,2312,1680,18,23,13838,257,149,46,0,7,457,2200,458,244,4,10,2906,29384,4639,2505,37,53,36608
11701,2498,482,1493,8,10,4490,2103,800,3250,11,5,6174,683,348,7215,81,26,8353,102,443,695,0,0,1240,28,29,101,0,0,160,183,59,664,21,9,926,20,30,277,4,8,334,6,3,38,0,0,48,1020,912,8990,108,35,11071,80,24,170,0,0,282,206,125,1031,8,15,1390,5909,2346,14943,141,64,23407
11702,2553,1620,828,44,7,5054,2237,2351,1865,37,6,6499,1070,1462,4970,308,26,7836,45,31,434,0,0,518,54,34,199,3,4,297,317,350,591,79,6,1346,21,35,61,11,3,130,5,9,15,4,0,31,1516,1921,6273,410,45,10169,75,59,90,4,3,236,202,177,487,56,12,932,6584,6136,9549,557,70,22888
11703,816,4300,9113,52,24,14304,724,5268,13498,52,35,19577,490,6492,42049,363,223,49616,57,1621,4100,8,19,5806,8,140,1264,13,22,1445,121,1546,5177,108,73,7017,25,110,830,27,36,1026,4,33,176,0,0,218,699,9943,53598,516,373,65136,37,257,1080,19,12,1401,112,953,5860,128,96,7150,2386,20718,83153,775,542,107568
11801,4794,3749,6362,132,14,15043,3351,3647,5320,91,10,12418,736,2216,15061,321,33,18368,0,15,386,0,3,408,3,28,137,0,4,172,295,561,2656,81,10,3603,29,33,186,16,22,277,4,10,71,8,0,88,1072,2861,18495,422,70,22921,140,138,756,15,12,1062,355,366,1987,81,33,2817,9715,10765,32916,732,138,54266
11802,6785,2733,4339,63,4,13930,4669,3002,4529,42,14,12258,1408,1700,14250,268,24,17650,96,501,2200,0,4,2803,35,55,370,4,3,464,423,327,1930,47,15,2745,89,117,147,6,3,363,18,5,61,0,0,81,2070,2706,18956,328,44,24107,184,108,598,12,0,901,421,365,1792,34,22,2635,14131,8919,30214,478,87,53825
11901,13212,2372,1081,41,11,16715,11793,4430,2050,62,22,18360,4711,2342,3915,122,49,11147,1721,1123,1527,0,7,4385,173,249,396,0,0,819,1648,492,467,30,13,2649,411,87,123,8,8,639,63,25,39,3,3,138,8735,4330,6471,164,77,19771,566,173,261,13,6,1012,2166,703,1123,37,18,4055,36466,12007,10986,321,135,59913
11902,9674,1113,2096,18,10,12913,7332,1590,3749,25,11,12702,2995,1138,9469,100,37,13734,279,518,735,0,0,1531,76,194,219,0,5,488,956,260,997,18,11,2247,208,61,257,6,8,541,21,13,66,3,0,95,4539,2181,11734,134,61,18642,322,106,232,5,5,661,1184,330,1922,26,37,3505,23047,5319,19729,202,120,48423
11903,10782,1768,2112,17,5,14685,8593,1821,3480,12,9,13914,2584,1081,7005,103,31,10793,318,548,1316,0,3,2188,64,163,328,0,0,553,736,174,912,38,13,1877,132,89,111,5,3,339,20,8,49,0,0,82,3846,2060,9728,150,53,15833,314,138,254,4,4,710,760,291,1047,24,12,2141,24293,6076,16620,218,80,47291
11904,9884,2152,3503,87,4,15628,7037,2071,6550,39,10,15704,2566,1382,12305,224,60,16544,109,98,518,0,0,736,49,68,195,6,0,326,761,292,1321,62,18,2453,118,54,167,25,11,378,16,11,52,5,0,79,3622,1916,14560,321,94,20506,305,104,398,15,3,820,909,313,1771,83,33,3106,21757,6550,26775,545,145,55766
12001,6206,966,3495,41,5,10708,4404,1090,4236,69,5,9804,1393,753,7678,213,20,10054,71,177,384,0,0,628,25,32,155,0,0,213,332,122,829,40,6,1325,43,62,168,5,3,279,6,0,29,0,0,32,1861,1142,9245,260,35,12539,131,59,235,12,0,433,354,128,775,29,13,1298,12961,3378,17991,402,54,34787
12002,2656,2556,1037,23,4,6264,2712,3256,1224,5,4,7209,1071,2164,3551,86,13,6892,31,98,660,0,0,790,22,16,132,0,0,175,264,452,365,32,0,1117,14,41,40,12,0,102,0,7,13,0,0,26,1397,2786,4756,130,17,9092,64,93,82,3,0,242,182,270,450,22,3,918,7005,8953,7542,189,36,23727
12003,9775,1939,3445,69,13,15241,6577,2137,7249,73,11,16059,2336,1500,17865,341,106,22148,78,267,679,0,0,1019,66,47,413,0,5,533,709,295,2012,62,22,3099,118,44,420,5,19,610,13,12,99,3,0,130,3323,2160,21485,420,153,27535,306,104,693,9,10,1122,623,207,2016,49,55,2946,20610,6550,34887,620,242,62908
12101,8566,911,3798,5,4,13285,6848,981,4886,3,6,12729,1861,706,11633,54,27,14275,26,51,309,0,0,387,19,50,311,0,0,388,555,142,1279,24,8,2006,46,19,178,4,5,252,10,5,44,0,0,63,2515,965,13758,78,47,17357,236,94,537,5,3,873,336,93,1016,10,11,1463,18499,3039,24005,98,72,45709
12102,7397,457,1388,8,5,9262,8764,710,2949,0,0,12426,1914,439,4320,15,11,6689,65,111,254,0,0,432,49,73,183,0,0,306,530,84,504,12,3,1132,60,6,74,3,0,145,8,3,27,0,0,39,2624,722,5359,31,15,8752,184,45,204,0,0,427,341,68,420,5,0,836,19306,1992,10331,52,27,31706
12103,13055,807,3076,15,3,16956,12392,399,2796,43,3,15643,2311,264,4330,51,17,6975,13,0,8,0,0,23,18,15,63,0,4,96,560,50,486,10,0,1108,58,15,71,0,5,150,8,4,24,0,0,34,2968,350,4980,64,24,8382,333,73,456,0,9,867,518,39,367,15,0,935,29255,1671,11677,138,43,42781
