GCCSA_PEP_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_mo_con_0_14,M_1_mo_con_15_24,M_1_mo_con_25_34,M_1_mo_con_35_44,M_1_mo_con_45_54,M_1_mo_con_55_64,M_1_mo_con_65_74,M_1_mo_con_75_84,M_1_mo_con_85_over,M_1_mo_con_Tot,M_2_mo_con_0_14,M_2_mo_con_15_24,M_2_mo_con_25_34,M_2_mo_con_35_44,M_2_mo_con_45_54,M_2_mo_con_55_64,M_2_mo_con_65_74,M_2_mo_con_75_84,M_2_mo_con_85_over,M_2_mo_con_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_OM_Lterm_Health_Tot_0_14,M_OM_Lterm_Health_Tot_15_24,M_OM_Lterm_Health_Tot_25_34,M_OM_Lterm_Health_Tot_35_44,M_OM_Lterm_Health_Tot_45_54,M_OM_Lterm_Health_Tot_55_64,M_OM_Lterm_Health_Tot_65_74,M_OM_Lterm_Health_Tot_75_84,M_OM_Lterm_Health_Tot_85_ov,M_OM_Lterm_Health_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_mo_con_0_14,F_1_mo_con_15_24,F_1_mo_con_25_34,F_1_mo_con_35_44,F_1_mo_con_45_54,F_1_mo_con_55_64,F_1_mo_con_65_74,F_1_mo_con_75_84,F_1_mo_con_85_over,F_1_mo_con_Tot,F_2_mo_con_0_14,F_2_mo_con_15_24,F_2_mo_con_25_34,F_2_mo_con_35_44,F_2_mo_con_45_54,F_2_mo_con_55_64,F_2_mo_con_65_74,F_2_mo_con_75_84,F_2_mo_con_85_over,F_2_mo_con_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_OM_Lterm_Health_Tot_0_14,F_OM_Lterm_Health_Tot_15_24,F_OM_Lterm_Health_Tot_25_34,F_OM_Lterm_Health_Tot_35_44,F_OM_Lterm_Health_Tot_45_54,F_OM_Lterm_Health_Tot_55_64,F_OM_Lterm_Health_Tot_65_74,F_OM_Lterm_Health_Tot_75_84,F_OM_Lterm_Health_Tot_85_ov,F_OM_Lterm_Health_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_mo_con_0_14,P_1_mo_con_15_24,P_1_mo_con_25_34,P_1_mo_con_35_44,P_1_mo_con_45_54,P_1_mo_con_55_64,P_1_mo_con_65_74,P_1_mo_con_75_84,P_1_mo_con_85_over,P_1_mo_con_Tot,P_2_mo_con_0_14,P_2_mo_con_15_24,P_2_mo_con_25_34,P_2_mo_con_35_44,P_2_mo_con_45_54,P_2_mo_con_55_64,P_2_mo_con_65_74,P_2_mo_con_75_84,P_2_mo_con_85_over,P_2_mo_con_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_OM_Lterm_Health_Tot_0_14,P_OM_Lterm_Health_Tot_15_24,P_OM_Lterm_Health_Tot_25_34,P_OM_Lterm_Health_Tot_35_44,P_OM_Lterm_Health_Tot_45_54,P_OM_Lterm_Health_Tot_55_64,P_OM_Lterm_Health_Tot_65_74,P_OM_Lterm_Health_Tot_75_84,P_OM_Lterm_Health_Tot_85_ov,P_OM_Lterm_Health_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
4RSAU,26650,14686,14902,13987,15277,14923,10648,4183,909,116167,3423,3052,3506,3815,5104,7793,8532,4636,1329,41186,203,378,572,770,1428,2773,4123,2732,910,13882,15,25,102,195,616,1613,2619,2231,852,8276,3639,3456,4177,4782,7143,12179,15270,9603,3083,63343,3118,2259,2937,2946,3093,3066,2283,1301,463,21458,33414,20402,22021,21717,25511,30165,28199,15081,4463,200965,26112,12093,13063,13041,14193,14133,10611,4342,1252,108846,2577,3710,4470,4551,5472,7598,8202,4885,1961,43433,172,736,1155,1342,2035,3186,3985,2905,1341,16847,11,68,193,422,1007,2074,2549,2258,1250,9828,2759,4513,5813,6314,8514,12864,14734,10050,4554,70112,2981,1620,1752,1728,2122,2335,2100,1367,731,16737,31855,18227,20632,21076,24835,29327,27448,15758,6534,195697,52764,26781,27968,27027,29473,29057,21257,8526,2163,225014,6005,6764,7981,8362,10570,15394,16732,9527,3286,84622,370,1116,1724,2112,3461,5960,8104,5632,2249,30732,29,97,286,619,1626,3687,5164,4494,2102,18103,6401,7976,9989,11095,15662,25041,30001,19652,7638,133450,6099,3881,4694,4671,5211,5396,4386,2666,1196,38193
49799,0,0,0,9,4,4,0,0,0,18,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,0,4,5,0,0,0,0,6,0,0,0,16,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,0,0,0,18,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,0,4,5,0,0,0,0,6
5GPER,174083,99965,106990,106647,87332,63745,36879,13971,3376,692974,16859,16896,20120,22239,24295,27631,27124,14913,4727,174820,929,1776,2748,3738,5543,8454,11659,8564,3073,46492,44,136,316,730,1714,3874,6616,6425,2779,22629,17835,18812,23185,26705,31556,39956,45405,29902,10584,243943,14207,10104,11915,11342,10006,7601,5165,3212,1790,75329,206118,128872,142092,144688,128889,111304,87449,47087,15749,1012249,168458,88949,107673,108899,88615,66373,41182,15431,4709,690297,12380,22793,27721,27485,28609,30518,29389,18213,7872,204984,799,3707,5789,6361,8121,10923,12985,9773,5095,63557,48,299,719,1443,2956,5357,7457,6869,4434,29589,13224,26797,34223,35298,39692,46804,49832,34858,17406,298130,13353,8928,10234,9660,8812,7108,5527,4061,2909,70590,195032,124676,152136,153858,137117,120283,96546,54350,25027,1059009,342539,188913,214667,215542,175949,130118,78062,29403,8083,1383270,29240,39688,47841,49732,52905,58146,56512,33127,12603,379801,1724,5482,8537,10099,13664,19383,24651,18338,8163,110054,91,438,1032,2173,4668,9231,14076,13295,7217,52217,31053,45612,57408,62001,71248,86762,95239,64760,27988,542071,27555,19030,22156,20998,18815,14708,10689,7267,4701,145915
5RWAU,42624,21483,26870,27645,26283,22217,13681,4419,895,186121,4661,3714,4841,5982,7240,9826,9791,4536,1173,51765,234,413,687,943,1777,3104,4258,2563,728,14705,9,37,109,218,556,1470,2408,1845,630,7289,4906,4164,5639,7135,9572,14398,16461,8950,2531,73759,6838,5026,9485,9631,9417,7685,4120,1718,467,54387,54363,30669,41996,44414,45271,44303,34267,15090,3896,314263,41293,18152,23205,23590,21563,19838,12480,4227,1014,165359,3215,4608,6405,6719,7719,9443,9179,4694,1632,53617,214,809,1296,1692,2501,3570,4127,2474,1106,17798,12,70,179,438,1015,1918,2398,1705,982,8728,3449,5485,7882,8853,11238,14935,15703,8876,3726,80139,6468,3790,5163,4691,4702,4586,3349,1656,693,35097,51208,27427,36252,37134,37497,39352,31540,14763,5424,280595,83921,39631,50078,51233,47848,42053,26169,8649,1903,351477,7877,8320,11251,12699,14960,19266,18973,9234,2802,105380,453,1217,1986,2638,4280,6673,8384,5038,1837,32504,26,109,285,658,1570,3392,4808,3554,1617,16014,8350,9647,13516,15992,20806,29330,32162,17823,6255,153896,13304,8815,14654,14321,14116,12274,7473,3374,1152,89478
59799,0,58,206,427,380,184,41,0,0,1305,0,0,31,57,68,52,27,7,0,232,0,0,6,5,7,15,11,0,0,44,0,0,0,0,0,8,0,0,0,9,0,0,31,63,80,69,38,7,0,287,0,35,194,417,379,197,41,0,0,1268,0,91,430,908,842,449,117,15,0,2856,3,21,43,24,29,49,24,9,0,201,0,8,12,4,4,8,18,4,0,55,0,0,3,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,8,12,4,4,7,22,3,0,67,0,12,29,20,23,26,13,5,0,127,4,39,89,49,60,77,61,17,0,395,3,80,249,453,414,233,64,12,0,1503,0,4,41,64,72,56,47,9,0,292,0,0,3,5,7,18,13,0,0,53,0,0,0,0,0,8,0,0,0,12,0,4,45,73,80,74,57,17,0,350,0,51,220,435,397,221,57,6,0,1396
6GHOB,17390,10528,15155,10589,8684,7253,4561,1777,420,76367,2100,2296,2733,2920,3147,3872,3779,2014,654,23506,162,347,460,593,855,1313,1771,1254,443,7193,0,30,61,124,311,662,1140,943,419,3701,2268,2679,3253,3634,4307,5847,6694,4206,1513,34409,1678,1178,1481,1210,1168,1001,733,422,168,9034,21332,14387,19889,15438,14164,14104,11990,6404,2096,119805,16886,8769,13754,10233,8708,7543,4930,2008,611,73442,1621,3277,3802,3712,3848,4247,4316,2696,1108,28637,148,658,970,1014,1302,1751,2093,1509,802,10260,4,53,136,284,602,1028,1346,1165,699,5316,1782,3991,4911,5006,5757,7025,7763,5369,2615,44211,1549,1059,1198,1054,976,881,745,543,275,8282,20215,13819,19858,16294,15444,15448,13434,7923,3498,125935,34273,19297,28907,20822,17397,14796,9494,3786,1032,149803,3724,5574,6533,6634,6990,8116,8098,4712,1761,52148,315,1001,1435,1607,2157,3067,3867,2762,1242,17455,12,83,193,402,917,1688,2486,2105,1122,9014,4047,6668,8161,8644,10064,12874,14448,9577,4125,78617,3223,2236,2675,2264,2152,1887,1481,964,443,17319
6RTAS,20459,12007,13222,10864,11325,10899,7268,2752,575,89367,3077,2739,3013,3110,4161,5657,5919,3231,857,31772,229,413,565,690,1244,2197,2930,1974,608,10853,7,26,76,208,540,1214,1982,1620,533,6214,3319,3176,3646,4007,5948,9072,10834,6826,2000,48842,2353,1648,1573,1443,1659,1703,1457,818,329,12969,26132,16835,18439,16316,18936,21670,19558,10392,2906,151181,20142,10319,11780,10538,11120,10822,7215,2865,817,85615,2318,3441,4033,4226,4854,6142,6012,3681,1378,36088,170,716,1149,1251,1890,2710,3105,2105,951,14038,13,64,195,378,978,1606,2151,1583,801,7761,2495,4218,5376,5856,7713,10460,11267,7372,3128,57890,2207,1368,1346,1342,1469,1609,1383,908,434,12066,24843,15906,18500,17736,20300,22899,19864,11144,4382,155573,40593,22327,24997,21402,22443,21718,14487,5614,1397,174983,5399,6184,7042,7337,9017,11799,11936,6911,2238,67859,398,1129,1711,1940,3133,4907,6029,4084,1560,24892,20,90,267,588,1515,2826,4138,3201,1333,13974,5819,7402,9026,9864,13661,19536,22098,14197,5125,106731,4567,3017,2917,2782,3128,3310,2837,1722,761,25039
69799,0,10,28,32,30,19,7,0,0,137,0,4,0,5,6,14,11,4,0,48,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,4,0,7,10,17,16,4,0,57,0,0,25,24,26,23,0,0,0,97,0,12,58,65,70,62,25,4,0,294,0,9,7,7,7,8,3,0,0,43,0,5,3,0,6,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,5,0,0,0,23,0,0,0,3,4,3,0,0,0,15,0,7,13,12,18,11,9,0,0,72,0,17,37,40,41,26,16,0,0,179,0,3,4,5,11,17,12,3,0,58,0,0,0,0,4,6,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,3,4,10,15,23,20,3,0,76,0,0,28,25,30,30,0,0,0,114
7GDAR,12256,6881,9863,8036,6295,4582,2626,699,97,51334,1023,870,1288,1430,1704,2101,1880,686,127,11096,52,69,160,220,389,580,763,383,73,2693,0,6,21,54,131,300,473,255,48,1298,1077,945,1470,1708,2222,2980,3116,1326,244,15081,1664,1270,2035,1686,1503,1282,885,260,58,10639,14995,9093,13365,11420,10017,8842,6629,2289,397,77059,12086,5980,10162,8239,6142,4441,2534,638,86,50289,697,1146,1907,1927,1854,2057,1685,646,154,12068,27,159,372,368,507,746,685,343,90,3296,0,18,39,85,169,314,420,242,95,1396,734,1314,2321,2383,2536,3114,2793,1228,339,16756,1606,1019,1653,1384,1212,1114,737,254,72,9049,14419,8308,14133,12003,9886,8667,6060,2121,493,76095,24341,12857,20024,16275,12432,9020,5157,1333,180,101623,1718,2012,3204,3354,3560,4157,3563,1328,277,23161,79,224,533,587,901,1321,1445,728,166,5986,5,21,62,141,303,611,896,501,143,2687,1807,2262,3791,4087,4756,6090,5906,2560,586,31834,3268,2286,3687,3067,2712,2402,1625,511,130,19689
7RNTE,9145,5459,6531,5113,3881,3309,1986,420,34,35879,644,581,814,1037,1195,1425,1353,339,40,7425,28,31,86,140,264,456,523,169,20,1721,0,5,12,23,80,210,279,117,27,756,672,622,915,1201,1533,2093,2159,628,83,9905,1314,1019,1748,1448,1354,1280,889,227,20,9300,11131,7102,9190,7761,6767,6678,5037,1273,143,55083,8437,5094,6771,4896,3705,3256,1778,302,37,34281,419,751,1253,1250,1445,1678,1196,280,59,8331,23,91,196,222,420,558,482,144,48,2192,0,7,20,74,133,270,215,108,42,881,440,846,1476,1545,2007,2504,1901,535,150,11404,1165,776,1221,903,926,1056,712,143,21,6913,10041,6721,9463,7341,6634,6808,4393,983,211,52600,17581,10562,13300,10004,7584,6562,3768,725,79,70159,1057,1334,2068,2287,2642,3098,2556,620,103,15762,50,125,280,360,681,1014,1012,318,72,3912,5,17,37,98,211,472,498,227,66,1635,1116,1469,2388,2750,3533,4590,4061,1164,237,21308,2477,1794,2964,2353,2279,2332,1606,370,41,16209
79799,0,15,33,53,61,40,8,0,0,219,0,4,4,9,10,16,9,0,0,48,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,3,4,5,15,19,6,0,0,58,0,6,14,40,39,34,7,0,0,140,0,26,51,101,111,97,19,4,0,414,0,4,6,0,6,4,11,0,0,42,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,8,0,0,5,0,0,0,5,0,0,16,0,12,12,3,7,12,21,5,0,65,0,22,42,54,67,51,17,3,0,256,0,9,4,6,10,17,6,0,0,57,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,7,4,10,14,18,14,4,0,69,0,11,15,38,39,36,11,3,0,156
8ACTE,35802,22757,29127,24984,18491,12014,6744,2525,584,153016,4135,4804,5870,5942,5839,5666,5011,2813,888,40967,248,619,921,1119,1419,1858,2356,1584,631,10754,11,37,91,192,403,787,1275,1200,554,4555,4395,5459,6881,7254,7660,8310,8644,5603,2067,56277,2411,2451,2636,2004,1674,1236,819,455,211,13902,42600,30668,38646,34238,27823,21556,16210,8589,2860,223190,34471,20056,26891,23730,17259,12016,7605,2933,790,145743,3074,6731,7805,7206,6703,6420,5828,3487,1393,48651,180,1245,1869,1826,2062,2448,2783,2007,1015,15422,10,101,262,413,765,1181,1494,1476,823,6520,3265,8073,9937,9443,9529,10045,10106,6965,3226,70597,2273,2191,2149,1755,1441,1136,960,548,323,12773,40007,30326,38978,34928,28226,23191,18666,10447,4337,229114,70271,42813,56023,48711,35745,24028,14349,5461,1371,298763,7206,11538,13676,13144,12538,12090,10839,6308,2283,89609,429,1856,2786,2945,3482,4302,5142,3592,1640,26177,19,140,357,605,1166,1970,2770,2672,1370,11082,7659,13533,16816,16698,17194,18356,18750,12567,5293,126869,4686,4645,4781,3762,3116,2367,1775,1009,537,26676
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,344,177,226,191,224,260,162,48,14,1642,29,22,24,41,34,70,81,45,3,357,0,0,0,10,20,18,25,11,5,99,0,0,0,0,0,12,21,7,3,46,29,22,27,53,59,104,128,66,12,500,68,63,194,121,103,92,74,34,4,743,434,259,448,365,389,452,361,148,30,2883,301,150,186,214,220,255,151,54,8,1545,19,35,33,44,62,84,70,38,11,393,0,8,5,9,11,24,22,10,5,95,0,0,0,0,6,3,16,11,0,38,19,41,41,48,80,113,107,59,22,530,65,40,67,68,79,75,47,32,4,470,384,231,296,332,379,437,307,142,34,2542,645,328,414,411,450,516,310,98,25,3186,45,54,61,83,96,157,151,77,18,748,0,8,3,16,33,41,55,27,3,190,0,0,0,0,10,14,29,19,6,89,45,62,68,104,140,212,238,127,34,1025,128,101,261,186,180,164,118,65,6,1212
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
