GCCSA_PEP_CODE_2021,Ag_Frs_Fsh_Mgr,Ag_Frs_Fsh_Pfn,Ag_Frs_Fsh_Tch_trwk,Ag_Frs_Fsh_Co_Pswk,Ag_Frs_Fsh_Cl_Adwk,Ag_Frs_Fsh_Sal,Ag_Frs_Fsh_MchOp,Ag_Frs_Fsh_Lab,Ag_Frs_Fsh_Inad_ns,Ag_Frs_Fsh_To,Min_Mgr,Min_Pfn,Min_Tch_trwk,Min_Co_Pswk,Min_Cl_Adwk,Min_Sal,Min_MchOp,Min_Lab,Min_Inad_ns,Min_To,Manf_Mgr,Manf_Pfn,Manf_Tch_trwk,Manf_Co_Pswk,Manf_Cl_Adwk,Manf_Sal,Manf_MchOp,Manf_Lab,Manf_Inad_ns,Manf_To,ElecGWWSvc_Mgr,ElecGWWSvc_Pfn,ElecGWWSvc_Tch_trwk,ElecGWWSvc_Co_Pswk,ElecGWWSvc_Cl_Adwk,ElecGWWSvc_Sal,ElecGWWSvc_MchOp,ElecGWWSvc_Lab,ElecGWWSvc_Inad_ns,ElecGWWSvc_To,Con_Mgr,Con_Pfn,Con_Tch_trwk,Con_Co_Pswk,Con_Cl_Adwk,Con_Sal,Con_MchOp,Con_Lab,Con_Inad_ns,Con_To,WhlTr_Mgr,WhlTr_Pfn,WhlTr_Tch_trwk,WhlTr_Co_Pswk,WhlTr_Cl_Adwk,WhlTr_Sal,WhlTr_MchOp,WhlTr_Lab,WhlTr_Inad_ns,WhlTr_To,ReTr_Mgr,ReTr_Pfn,ReTr_Tch_trwk,ReTr_Co_Pswk,ReTr_Cl_Adwk,ReTr_Sal,ReTr_MchOp,ReTr_Lab,ReTr_Inad_ns,ReTr_To,Acc_Fdsvc_Mgr,Acc_Fdsvc_Pfn,Acc_Fdsvc_Tch_trwk,Acc_Fdsvc_Co_Pswk,Acc_Fdsvc_Cl_Adwk,Acc_Fdsvc_Sal,Acc_Fdsvc_MchOp,Acc_Fdsvc_Lab,Acc_Fdsvc_Inad_ns,Acc_Fdsvc_To,TrPo_wh_Mgr,TrPo_wh_Pfn,TrPo_wh_Tch_trwk,TrPo_wh_Co_Pswk,TrPo_wh_Cl_Adwk,TrPo_wh_Sal,TrPo_wh_MchOp,TrPo_wh_Lab,TrPo_wh_Inad_ns,TrPo_wh_To,InMe_Telco_Mgr,InMe_Telco_Pfn,InMe_Telco_Tch_trwk,InMe_Telco_Co_Pswk,InMe_Telco_Cl_Adwk,InMe_Telco_Sal,InMe_Telco_MchOp,InMe_Telco_Lab,InMe_Telco_Inad_ns,InMe_Telco_To,FinIn_Mgr,FinIn_Pfn,FinIn_Tch_trwk,FinIn_Co_Pswk,FinIn_Cl_Adwk,FinIn_Sal,FinIn_MchOp,FinIn_Lab,FinIn_Inad_ns,FinIn_To,REst_Mgr,REst_Pfn,REst_Tch_trwk,REst_Co_Pswk,REst_Cl_Adwk,REst_Sal,REst_MchOp,REst_Lab,REst_Inad_ns,REst_To,PSc_Tech_Mgr,PSc_Tech_Pfn,PSc_Tech_Tch_trwk,PSc_Tech_Co_Pswk,PSc_Tech_Cl_Adwk,PSc_Tech_Sal,PSc_Tech_MchOp,PSc_Tech_Lab,PSc_Tech_Inad_ns,PSc_Tech_To,AdmSu_Mgr,AdmSu_Pfn,AdmSu_Tch_trwk,AdmSu_Co_Pswk,AdmSu_Cl_Adwk,AdmSu_Sal,AdmSu_MchOp,AdmSu_Lab,AdmSu_Inad_ns,AdmSu_To,PubAd_Sf_Mgr,PubAd_Sf_Pfn,PubAd_Sf_Tch_trwk,PubAd_Sf_Co_Pswk,PubAd_Sf_Cl_Adwk,PubAd_Sf_Sal,PubAd_Sf_MchOp,PubAd_Sf_Lab,PubAd_Sf_Inad_ns,PubAd_Sf_To,EdTr_Mgr,EdTr_Pfn,EdTr_Tch_trwk,EdTr_Co_Pswk,EdTr_Cl_Adwk,EdTr_Sal,EdTr_MchOp,EdTr_Lab,EdTr_Inad_ns,EdTr_To,Hlth_SAss_Mgr,Hlth_SAss_Pfn,Hlth_SAss_Tch_trwk,Hlth_SAss_Co_Pswk,Hlth_SAss_Cl_Adwk,Hlth_SAss_Sal,Hlth_SAss_MchOp,Hlth_SAss_Lab,Hlth_SAss_Inad_ns,Hlth_SAss_To,ArtRec_Mgr,ArtRec_Pfn,ArtRec_Tch_trwk,ArtRec_Co_Pswk,ArtRec_Cl_Adwk,ArtRec_Sal,ArtRec_MchOp,ArtRec_Lab,ArtRec_Inad_ns,ArtRec_To,OthS_Mgr,OthS_Pfn,OthS_Tch_trwk,OthS_Co_Pswk,OthS_Cl_Adwk,OthS_Sal,OthS_MchOp,OthS_Lab,OthS_Inad_ns,OthS_To,Inad_ns_Mgr,Inad_ns_Pfn,Inad_ns_Tch_trwk,Inad_ns_Co_Pswk,Inad_ns_Cl_Adwk,Inad_ns_Sal,Inad_ns_MchOp,Inad_ns_Lab,Inad_ns_Inad_ns,Inad_ns_To
4RSAU,12661,558,1224,35,1095,230,1333,5892,217,23242,397,528,1790,38,244,11,2267,370,111,5764,2100,1101,3532,200,1152,688,2289,3828,244,15141,231,106,695,6,214,59,430,298,64,2105,1559,309,6412,77,1199,147,1964,2266,167,14099,624,308,451,12,514,1023,417,327,44,3713,2434,364,1167,182,702,8902,453,1785,69,16060,2210,36,1422,2901,408,1120,139,3104,92,11428,703,259,360,98,1241,240,3329,439,84,6745,94,295,153,4,119,100,10,29,8,817,238,498,26,10,1015,91,26,30,28,1968,158,87,65,32,310,656,34,87,20,1443,444,1989,828,22,1256,60,29,114,41,4779,352,458,748,466,456,48,255,3200,59,6053,930,1404,572,2333,1799,69,340,543,121,8113,886,6943,412,3403,1264,15,131,232,59,13354,1007,6814,681,9964,2709,139,89,1363,166,22932,242,357,240,328,110,52,9,205,21,1577,417,431,3221,846,597,123,80,533,49,6284,632,350,800,312,455,274,541,978,1678,6012
49799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,8,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,2611,504,650,27,641,221,514,2243,104,7517,8347,16069,13963,430,5337,213,11356,2908,942,59559,8723,5368,16272,834,5781,2735,7550,7343,635,55246,1834,2698,2038,55,2017,221,1500,836,246,11446,11406,6298,41535,379,10044,1356,6346,12321,1065,90756,5302,3521,3439,88,4187,3579,4298,1738,318,26467,13895,4443,5071,967,5016,50078,4539,9275,456,93730,9886,872,9367,19741,1846,8870,1701,14638,361,67280,4582,3667,2215,1663,9700,1365,21181,2197,518,47090,1375,3167,1581,83,1129,1045,119,315,91,8907,3646,9414,320,197,10553,906,55,104,510,25707,2272,1515,803,140,3110,6290,393,661,205,15386,10684,45337,9657,311,12321,809,825,850,656,81458,3124,4068,3335,2453,3846,504,1198,13581,331,32443,7837,15163,4551,15388,14852,245,839,2644,1137,62664,7138,50885,3160,20084,7515,245,151,3162,401,92746,7844,58763,5777,46787,20815,784,1128,5102,935,147945,2923,3477,1620,6211,1714,896,126,1284,198,18455,3650,3666,16805,8000,4127,613,600,3279,273,41008,5989,6755,7499,2455,6098,2622,4816,5135,7923,49289
5RWAU,12444,594,1226,64,1032,223,1282,5176,184,22217,2624,4454,12979,353,1771,61,13949,2301,554,39048,1801,931,4096,214,1018,606,2042,2714,171,13590,391,278,1242,9,481,38,690,452,104,3693,2322,816,11263,70,2308,186,3531,3930,244,24664,974,512,1093,17,733,1150,893,335,75,5767,3292,607,1428,198,1070,11023,660,2585,94,20954,3172,134,2504,4083,1014,1685,352,4862,124,17947,1262,944,958,268,2029,353,5475,745,134,12174,173,371,264,17,131,182,9,43,10,1210,373,765,22,11,1267,102,12,20,47,2604,386,158,301,32,684,1239,142,251,38,3239,769,3939,1651,61,1779,94,160,244,78,8776,608,651,1159,558,646,95,491,3622,71,7904,1772,2441,1137,3970,3106,74,680,1282,222,14680,1767,10892,859,5398,1540,44,43,1179,107,21830,1515,11121,1079,10266,4142,194,179,1205,178,29869,418,684,287,617,245,89,28,251,43,2659,737,622,4721,1271,1059,172,168,793,68,9611,1037,805,1831,533,1033,480,1047,1341,2387,10488
59799,11,21,15,0,0,0,0,61,0,106,35,82,275,3,20,0,58,57,9,533,3,3,24,0,0,0,0,0,0,44,7,14,9,0,0,0,11,11,0,50,12,21,106,0,0,0,28,46,5,218,0,5,11,0,0,0,0,3,0,27,3,0,3,0,0,4,0,3,0,10,0,0,22,0,0,0,0,29,0,62,9,61,25,19,6,0,36,46,3,204,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,7,0,32,15,0,5,0,0,8,0,55,0,7,26,6,0,0,0,18,0,64,0,0,3,7,0,0,0,3,0,25,0,5,0,0,0,0,0,0,0,12,4,7,0,3,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,8,4,0,4,0,0,0,0,0,0,11,8,44,83,11,4,0,27,64,7,242
6GHOB,760,244,222,19,126,34,136,804,33,2372,26,62,53,0,18,4,92,23,3,282,888,430,1731,176,393,398,755,1164,80,6026,428,820,393,7,489,64,237,92,63,2600,1536,302,5415,14,754,79,630,1286,108,10129,384,190,164,11,268,466,373,135,23,2009,1638,460,637,107,573,6228,383,1043,58,11126,1524,124,1565,2693,336,959,148,1860,77,9293,364,205,122,135,818,194,1919,163,54,3969,243,595,226,14,248,154,5,24,17,1522,364,811,27,16,1222,92,3,13,64,2612,215,142,38,6,263,606,19,68,29,1384,818,4423,887,21,1262,58,17,72,62,7621,370,383,385,261,356,55,73,1486,46,3424,1776,3261,543,1947,3548,64,123,336,249,11849,948,6975,476,2320,1226,28,29,364,71,12444,1038,7561,584,7144,2454,115,129,780,175,19987,461,688,227,741,250,95,11,161,49,2688,488,494,1657,748,449,73,60,413,49,4428,305,284,352,219,269,175,217,348,819,2982
6RTAS,4521,423,710,33,477,112,820,3558,152,10807,172,203,600,20,91,3,1034,123,33,2280,1353,588,2571,204,657,480,1618,2571,146,10192,223,246,495,0,302,31,380,128,52,1859,1966,214,5549,8,893,116,1231,1532,146,11650,634,301,447,20,465,772,778,275,44,3727,1976,397,797,130,606,7553,539,1262,75,13327,1723,67,1458,2705,366,1164,201,2398,62,10128,559,281,294,163,1183,212,3057,438,66,6247,132,371,260,3,124,102,17,27,11,1049,300,568,22,9,1185,54,4,10,42,2184,161,123,66,15,257,681,22,77,16,1424,435,2540,806,30,1326,60,17,71,41,5321,283,382,629,374,327,57,122,1748,49,3965,730,1397,486,1445,1775,36,228,472,148,6720,695,6165,467,2551,984,28,33,631,52,11599,914,7226,652,8870,2536,91,130,1178,152,21748,299,474,254,446,142,76,17,197,26,1927,362,384,2540,752,442,83,74,517,45,5208,370,227,555,205,320,186,439,573,1219,4088
69799,3,5,4,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,5,50,21,20,0,0,7,49,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,50,0,7,0,4,0,0,77,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
7GDAR,434,82,94,6,106,19,35,213,8,1001,119,213,577,9,112,13,466,104,34,1642,297,131,818,15,230,161,209,201,15,2085,242,259,312,5,231,13,144,57,23,1294,977,266,3058,52,776,62,542,972,97,6793,259,103,167,0,207,244,265,76,14,1334,902,201,340,58,328,3086,202,504,25,5640,951,69,901,1435,302,704,118,1287,50,5826,380,423,270,204,547,138,1377,156,41,3532,88,256,130,4,79,55,9,6,6,631,136,318,9,14,446,50,0,4,10,975,185,63,58,13,193,419,23,61,14,1032,555,2381,585,37,767,27,17,44,33,4448,256,256,240,205,255,28,73,1045,27,2376,2346,3248,1111,3619,3299,51,246,162,236,14317,611,3468,161,1372,655,18,5,153,45,6488,696,4580,282,3362,1291,45,67,289,63,10680,297,355,131,310,437,62,4,64,43,1705,318,318,1227,468,365,45,41,213,30,3012,299,343,595,243,388,165,220,361,690,3304
7RNTE,581,179,131,27,89,15,93,853,10,1998,138,239,487,20,64,0,584,85,10,1646,119,90,269,7,47,36,36,82,0,705,38,34,154,4,56,3,70,31,6,394,386,63,1203,21,273,26,265,368,22,2626,103,43,39,6,57,83,65,38,7,447,490,114,177,73,138,1184,92,228,7,2500,495,44,435,579,164,180,36,544,22,2495,148,157,100,106,174,55,420,49,13,1233,37,135,68,6,39,14,0,8,0,306,44,70,0,5,132,9,0,7,5,267,63,22,13,5,68,99,9,32,4,313,184,700,201,30,310,10,17,18,15,1488,136,124,99,166,79,32,54,325,9,1028,777,1204,453,1810,978,33,127,373,106,5854,389,2155,168,1000,340,9,30,147,22,4251,500,2909,194,1953,696,36,100,279,54,6727,181,456,84,180,84,18,7,41,9,1078,161,229,467,174,203,15,16,107,13,1382,101,134,143,102,109,42,53,113,612,1401
79799,0,16,0,0,0,0,0,26,0,48,3,0,31,0,0,0,6,5,0,42,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,10,0,16,0,0,3,0,0,0,0,3,0,12,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,12,0,32,8,12,0,0,3,20,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,6,0,7,0,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,7,0,0,0,0,13,0,39
8ACTE,218,81,97,4,44,18,33,165,14,674,36,36,18,0,10,0,43,10,0,150,721,535,1247,123,322,405,325,419,49,4140,325,458,313,4,319,54,225,159,33,1882,2426,739,8657,38,1255,174,808,2268,258,16632,379,309,234,17,252,409,281,74,31,1977,2419,656,858,178,691,9447,440,1299,93,16072,2385,134,2494,5191,480,1861,414,2796,103,15863,442,374,192,109,1088,229,2573,142,78,5235,608,1764,460,43,494,233,22,29,55,3711,502,1427,44,17,1386,82,3,5,68,3531,548,413,71,27,546,1253,34,73,40,3007,4307,16359,1849,121,3742,213,48,69,427,27126,659,1099,631,422,875,68,45,2627,72,6496,22266,25456,1918,4544,16754,128,252,437,1991,73737,2013,13489,660,4270,2262,68,28,403,160,23343,1861,11917,788,8991,3820,138,165,536,243,28448,856,1108,316,1400,438,169,20,146,68,4510,820,899,2555,1373,765,140,60,432,64,7118,517,810,528,314,545,174,187,328,1409,4808
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,19,0,3,0,0,0,0,10,0,34,13,13,35,0,5,0,39,8,0,103,4,5,23,0,4,4,3,0,0,34,9,4,17,0,9,0,7,7,5,51,30,3,120,0,21,0,27,27,0,226,11,6,6,0,3,6,4,4,0,34,49,8,14,5,21,88,5,12,0,204,69,0,38,64,21,20,0,50,0,259,24,14,3,14,14,11,16,20,0,114,0,3,9,0,0,0,0,0,0,15,8,4,0,0,13,5,0,0,0,25,0,0,4,0,3,6,0,4,3,20,6,39,11,7,15,3,0,0,0,75,25,8,15,34,16,0,0,50,0,151,195,105,56,149,77,3,22,34,10,641,17,88,4,40,12,0,4,10,0,164,14,78,7,52,24,0,0,15,0,200,14,15,17,18,10,0,0,6,0,70,5,8,33,6,7,0,0,7,3,67,13,14,17,7,13,3,6,22,19,124
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
