GCCSA_PEP_CODE_2021,M_Neg_Nil_inc_15_19_yr,M_Neg_Nil_inc_20_24_yr,M_Neg_Nil_inc_25_34_yr,M_Neg_Nil_inc_35_44_yr,M_Neg_Nil_inc_45_54_yr,M_Neg_Nil_inc_55_64_yr,M_Neg_Nil_inc_65_74_yr,M_Neg_Nil_inc_75_84_yr,M_Neg_Nil_inc_85_yr_over,M_Neg_Nil_inc_Tot,M_1_149_15_19_yr,M_1_149_20_24_yr,M_1_149_25_34_yr,M_1_149_35_44_yr,M_1_149_45_54_yr,M_1_149_55_64_yr,M_1_149_65_74_yr,M_1_149_75_84_yr,M_1_149_85_yr_over,M_1_149_Tot,M_150_299_15_19_yr,M_150_299_20_24_yr,M_150_299_25_34_yr,M_150_299_35_44_yr,M_150_299_45_54_yr,M_150_299_55_64_yr,M_150_299_65_74_yr,M_150_299_75_84_yr,M_150_299_85_yr_over,M_150_299_Tot,M_300_399_15_19_yr,M_300_399_20_24_yr,M_300_399_25_34_yr,M_300_399_35_44_yr,M_300_399_45_54_yr,M_300_399_55_64_yr,M_300_399_65_74_yr,M_300_399_75_84_yr,M_300_399_85_yr_over,M_300_399_Tot,M_400_499_15_19_yr,M_400_499_20_24_yr,M_400_499_25_34_yr,M_400_499_35_44_yr,M_400_499_45_54_yr,M_400_499_55_64_yr,M_400_499_65_74_yr,M_400_499_75_84_yr,M_400_499_85_yr_over,M_400_499_Tot,M_500_649_15_19_yr,M_500_649_20_24_yr,M_500_649_25_34_yr,M_500_649_35_44_yr,M_500_649_45_54_yr,M_500_649_55_64_yr,M_500_649_65_74_yr,M_500_649_75_84_yr,M_500_649_85_yr_over,M_500_649_Tot,M_650_799_15_19_yr,M_650_799_20_24_yr,M_650_799_25_34_yr,M_650_799_35_44_yr,M_650_799_45_54_yr,M_650_799_55_64_yr,M_650_799_65_74_yr,M_650_799_75_84_yr,M_650_799_85_yr_over,M_650_799_Tot,M_800_999_15_19_yr,M_800_999_20_24_yr,M_800_999_25_34_yr,M_800_999_35_44_yr,M_800_999_45_54_yr,M_800_999_55_64_yr,M_800_999_65_74_yr,M_800_999_75_84_yr,M_800_999_85_yr_over,M_800_999_Tot,M_1000_1249_15_19_yr,M_1000_1249_20_24_yr,M_1000_1249_25_34_yr,M_1000_1249_35_44_yr,M_1000_1249_45_54_yr,M_1000_1249_55_64_yr,M_1000_1249_65_74_yr,M_1000_1249_75_84_yr,M_1000_1249_85_yr_over,M_1000_1249_Tot,M_1250_1499_15_19_yr,M_1250_1499_20_24_yr,M_1250_1499_25_34_yr,M_1250_1499_35_44_yr,M_1250_1499_45_54_yr,M_1250_1499_55_64_yr,M_1250_1499_65_74_yr,M_1250_1499_75_84_yr,M_1250_1499_85_yr_over,M_1250_1499_Tot,M_1500_1749_15_19_yr,M_1500_1749_20_24_yr,M_1500_1749_25_34_yr,M_1500_1749_35_44_yr,M_1500_1749_45_54_yr,M_1500_1749_55_64_yr,M_1500_1749_65_74_yr,M_1500_1749_75_84_yr,M_1500_1749_85_yr_over,M_1500_1749_Tot,M_1750_1999_15_19_yr,M_1750_1999_20_24_yr,M_1750_1999_25_34_yr,M_1750_1999_35_44_yr,M_1750_1999_45_54_yr,M_1750_1999_55_64_yr,M_1750_1999_65_74_yr,M_1750_1999_75_84_yr,M_1750_1999_85_yr_over,M_1750_1999_Tot,M_2000_2999_15_19_yr,M_2000_2999_20_24_yr,M_2000_2999_25_34_yr,M_2000_2999_35_44_yr,M_2000_2999_45_54_yr,M_2000_2999_55_64_yr,M_2000_2999_65_74_yr,M_2000_2999_75_84_yr,M_2000_2999_85_yr_over,M_2000_2999_Tot,M_3000_3499_15_19_yr,M_3000_3499_20_24_yr,M_3000_3499_25_34_yr,M_3000_3499_35_44_yr,M_3000_3499_45_54_yr,M_3000_3499_55_64_yr,M_3000_3499_65_74_yr,M_3000_3499_75_84_yr,M_3000_3499_85_yr_over,M_3000_3499_Tot,M_3500_more_15_19_yr,M_3500_more_20_24_yr,M_3500_more_25_34_yr,M_3500_more_35_44_yr,M_3500_more_45_54_yr,M_3500_more_55_64_yr,M_3500_more_65_74_yr,M_3500_more_75_84_yr,M_3500_more_85_yr_over,M_3500_more_Tot,M_Personal_inc_ns_15_19_yr,M_Personal_inc_ns_20_24_yr,M_Personal_inc_ns_25_34_yr,M_Personal_inc_ns_35_44_yr,M_Personal_inc_ns_45_54_yr,M_Personal_inc_ns_55_64_yr,M_Personal_inc_ns_65_74_yr,M_Personal_inc_ns_75_84_yr,M_Personal_inc_ns_85_yr_over,M_Personal_inc_ns_Tot,M_OS_vis_15_19_yr,M_OS_vis_20_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_OS_vis_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Neg_Nil_inc_15_19_yr,F_Neg_Nil_inc_20_24_yr,F_Neg_Nil_inc_25_34_yr,F_Neg_Nil_inc_35_44_yr,F_Neg_Nil_inc_45_54_yr,F_Neg_Nil_inc_55_64_yr,F_Neg_Nil_inc_65_74_yr,F_Neg_Nil_inc_75_84_yr,F_Neg_Nil_inc_85_yr_over,F_Neg_Nil_inc_Tot,F_1_149_15_19_yr,F_1_149_20_24_yr,F_1_149_25_34_yr,F_1_149_35_44_yr,F_1_149_45_54_yr,F_1_149_55_64_yr,F_1_149_65_74_yr,F_1_149_75_84_yr,F_1_149_85_yr_over,F_1_149_Tot
4RSAU,3825,489,534,456,661,1382,1205,465,131,9147,2024,194,141,146,263,535,605,243,65,4222,1116,684,775,674,863,1471,1623,752,203,8163,414,614,888,868,1389,2324,5211,3844,990,16536,519,556,816,804,1182,2277,4338,2868,1142,14497,765,784,973,821,1120,1844,3082,1669,487,11558,460,1203,1407,1054,1327,1869,2334,1337,305,11300,304,1558,2676,1990,2258,2686,2021,832,212,14518,167,1202,3142,2728,3029,3403,1956,592,90,16313,54,606,2277,2112,2430,2409,1179,263,40,11377,27,305,1829,2069,2136,2045,802,246,55,9529,4,187,1253,1510,1679,1570,478,119,20,6820,8,226,1949,2612,2907,2257,632,158,27,10770,5,33,335,557,645,483,168,33,11,2266,15,37,360,691,890,898,372,123,33,3420,1027,1000,2661,2622,2732,2716,2188,1544,633,17122,10,95,429,193,58,26,32,11,9,861,10733,9774,22445,21906,25570,30199,28227,15091,4472,168416,3031,408,993,992,1210,2658,1567,475,200,11539,2364,218,455,453,518,904,864,314,95,6188
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,6,0,0,0,0,0,5,0,0,0,4,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,8,0,0,0,5,0,0,0,0,0,7,0,0,0,19,15,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,27808,5642,4608,3264,3601,5664,6217,2577,731,60117,12146,2731,1012,710,820,1617,2491,1037,328,22890,6916,5759,3311,2348,2585,3497,4973,2860,827,33075,2806,5064,4620,3380,3711,5193,12235,10259,3194,50465,2585,4459,3856,2694,3133,4410,10255,7603,2931,41920,2992,6060,5432,3433,3504,4398,8782,5640,1601,41842,2000,6827,6909,4456,3655,4496,6543,4035,1170,40098,1400,7775,12796,8253,6990,6967,6177,2707,746,53815,762,7136,19128,14156,11372,10784,6585,2225,510,72656,288,4202,16532,13677,10762,9236,4488,1258,244,60681,153,2509,14952,14509,11713,9689,3581,947,267,58308,77,1298,11062,12900,10840,7882,2469,492,131,47137,68,1560,19521,29363,25109,17063,4245,794,196,97911,16,242,4355,8741,7819,4858,1236,235,62,27558,42,186,4150,14161,16359,10180,2835,718,173,48798,3037,4324,9856,8653,6935,5353,4336,3703,2647,48850,63,250,588,404,375,410,345,126,28,2590,63158,66034,142680,145095,129265,111713,87790,47208,15777,808711,23242,4866,13558,15362,11526,15284,10021,3191,1288,98337,14431,3051,3289,4091,3095,4084,3844,1417,491,37798
5RWAU,5324,687,753,668,893,1664,1755,561,147,12451,2603,195,174,201,268,550,787,311,78,5166,1401,835,1089,1012,980,1365,1905,800,245,9636,548,642,1024,947,1228,2010,5075,3417,826,15724,673,541,759,750,1034,1772,4138,2547,728,12938,1006,855,953,877,1096,1697,3281,1690,385,11836,720,1300,1377,974,1148,1775,2512,1191,283,11286,549,1747,2498,1815,1923,2477,2247,820,181,14265,352,1639,3656,3020,3026,3683,2488,650,111,18627,174,1101,3147,2894,2979,2991,1475,336,57,15150,113,879,3362,3372,3424,3226,1213,281,73,15941,62,653,3030,3354,3421,2965,863,161,27,14539,67,1097,7155,8835,8679,6519,1469,217,32,34071,14,201,2215,2995,2846,1991,429,60,15,10768,27,147,1935,3815,3790,2669,793,202,42,13416,1880,2645,8871,8878,8526,6948,3835,1843,664,44088,9,146,441,228,121,110,67,28,5,1156,15521,15308,42438,44643,45394,44409,34331,15117,3896,261059,4464,716,2755,2349,2183,4187,2545,621,231,20046,3224,322,848,918,681,1202,1066,304,132,8685
59799,0,0,0,0,0,4,4,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,5,0,0,13,0,5,4,3,0,0,0,0,0,14,0,0,0,0,4,0,8,3,0,19,0,0,4,5,3,5,0,0,0,17,0,5,3,4,6,0,8,0,0,24,0,6,11,17,17,7,0,3,0,66,0,3,14,12,17,7,6,0,0,65,0,8,17,23,22,14,8,0,0,93,0,9,14,25,22,10,0,0,0,88,0,11,72,138,110,76,9,0,0,418,0,3,26,82,56,28,6,0,0,207,0,0,61,183,189,89,10,0,0,538,3,32,190,413,386,197,40,4,0,1269,0,0,24,37,53,24,0,0,0,143,14,81,459,945,896,473,119,15,0,3002,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,4,0,0,0
6GHOB,3201,664,813,374,333,534,473,205,53,6651,1303,312,212,106,103,216,262,125,27,2672,768,802,626,387,367,496,585,338,107,4471,254,675,891,525,544,833,1712,1318,358,7108,259,544,917,566,658,946,1569,1038,436,6935,339,772,1342,625,529,839,1199,732,244,6606,178,869,1626,844,609,746,1076,592,196,6739,126,960,2659,1392,1058,1203,1021,499,154,9055,52,785,3317,2046,1593,1689,1173,420,95,11165,18,394,2177,1664,1424,1284,697,223,52,7925,9,177,1585,1580,1423,1233,506,166,41,6716,8,64,989,1246,1219,882,296,74,11,4783,0,29,1185,2207,2291,1570,420,102,24,7834,5,11,159,377,447,334,113,31,8,1480,3,25,203,630,853,657,260,84,25,2732,375,419,1194,870,720,656,637,469,271,5616,0,54,149,44,22,19,22,6,4,314,6889,7551,20033,15477,14187,14125,12015,6410,2103,98792,2567,555,1480,793,647,1208,754,253,99,8362,1578,296,375,293,264,443,456,177,46,3920
6RTAS,3563,494,480,389,541,1049,822,317,82,7731,1420,239,143,110,239,379,488,172,40,3241,930,747,667,507,664,1053,1251,578,114,6509,367,571,899,696,1095,1854,4026,2887,615,13011,378,557,848,661,1051,1678,3211,2026,718,11134,558,756,1014,725,948,1356,2083,1158,331,8935,348,1032,1447,947,1002,1366,1522,889,213,8769,212,1305,2484,1633,1700,2009,1248,520,129,11238,87,996,3197,2247,2455,2593,1315,363,62,13313,22,474,2025,1873,1876,1763,646,178,33,8892,9,238,1535,1662,1699,1575,511,147,36,7412,12,119,943,1259,1300,1206,318,43,11,5209,4,83,1149,1792,2107,1570,407,74,15,7210,0,12,157,310,390,312,107,30,5,1326,10,17,169,474,672,611,255,94,23,2320,655,605,1277,1024,1191,1305,1342,908,472,8776,10,67,94,62,24,19,20,8,3,307,8591,8325,18526,16380,18954,21692,19580,10403,2910,125355,2821,375,974,872,1080,2103,1033,318,108,9689,1964,211,414,397,453,780,567,206,60,5052
69799,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,3,0,0,0,14,0,0,0,5,0,0,0,0,0,13,0,0,19,14,15,9,0,0,0,45,0,0,3,11,7,4,0,0,0,25,0,0,3,4,3,3,0,0,0,19,0,0,17,15,22,22,5,0,0,72,0,0,5,8,3,3,0,0,0,19,0,0,3,7,11,5,0,0,0,25,0,0,0,0,15,12,3,0,0,34,0,0,3,3,0,0,0,0,0,8,0,9,58,67,71,63,25,4,0,296,4,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
7GDAR,1543,316,357,233,226,442,450,140,37,3739,639,88,86,49,67,92,146,40,11,1220,358,225,193,131,142,209,268,152,30,1702,164,206,302,240,279,340,718,379,56,2685,132,237,287,190,246,337,686,349,73,2529,209,296,417,223,205,318,594,231,36,2536,151,379,590,325,234,325,425,157,35,2624,147,577,1205,621,507,544,494,153,21,4263,119,763,1895,1143,864,831,485,142,16,6259,51,685,1608,1120,837,670,346,68,11,5389,16,325,1584,1287,955,744,278,65,11,5270,5,142,1024,1098,887,615,207,39,0,4017,6,103,1458,2145,1941,1283,363,53,8,7360,0,9,250,511,514,365,107,11,0,1768,0,18,227,647,823,614,218,36,3,2590,431,754,1891,1473,1288,1111,843,268,60,8120,89,1098,510,158,68,72,37,13,0,2046,4057,6224,13877,11580,10083,8915,6668,2294,399,64106,1373,273,894,711,480,816,532,156,36,5268,792,96,173,180,108,156,180,42,5,1733
7RNTE,1163,202,190,122,131,223,247,58,4,2348,467,275,388,301,216,152,127,35,10,1970,642,873,1460,1013,768,491,344,84,23,5700,141,266,544,471,389,386,541,206,20,2981,68,97,231,258,291,350,561,193,23,2069,76,133,284,248,228,277,427,138,16,1830,83,185,309,238,204,259,327,76,9,1685,101,281,567,311,259,333,293,76,13,2235,55,258,790,503,410,536,335,52,3,2933,22,197,653,508,406,403,240,39,0,2470,5,108,632,485,446,418,189,33,0,2320,9,57,439,429,398,361,154,12,0,1868,4,70,700,914,812,732,207,18,3,3458,0,11,148,214,209,209,71,16,0,874,3,4,123,315,280,328,119,15,0,1188,588,649,1735,1421,1314,1198,855,227,21,8011,6,82,135,47,19,32,21,4,0,344,3443,3752,9322,7812,6790,6706,5052,1274,143,44302,903,112,303,217,182,489,253,46,7,2514,476,264,405,365,281,262,169,21,22,2272
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,4,0,4,0,0,9,6,0,4,0,0,0,0,0,0,18,0,5,7,4,3,0,0,0,0,16,0,3,0,0,3,3,0,0,0,14,0,0,4,3,5,4,5,0,0,19,0,0,6,6,3,6,0,0,0,13,0,3,7,14,22,17,0,0,0,67,0,0,0,6,8,11,0,0,0,23,0,0,9,27,26,18,5,0,0,77,4,3,19,41,40,34,7,0,0,144,0,0,0,0,0,0,0,0,0,12,10,17,54,106,117,96,22,4,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,5594,1410,1097,628,598,737,819,294,90,11279,2745,562,249,155,149,208,308,130,41,4539,1517,1140,514,328,353,386,589,373,117,5314,575,1195,827,487,537,674,1130,1021,312,6759,456,1088,940,560,563,686,1138,832,386,6658,628,1511,1538,720,545,649,945,678,227,7440,484,1652,1929,860,624,733,1028,707,237,8250,428,2106,3233,1587,1148,1117,1398,843,269,12127,188,2159,5123,2606,1870,1852,1711,908,246,16673,74,1657,4880,2697,1818,1661,1516,697,183,15174,34,921,4929,3338,2262,1871,1415,590,130,15489,6,311,3512,3538,2431,1756,948,305,76,12887,8,259,5820,9064,7396,4324,1437,413,93,28818,0,37,821,2157,2012,1232,379,79,25,6742,9,37,1014,3950,4395,2794,749,177,50,13168,689,1175,2214,1571,1121,873,694,545,375,9263,19,50,88,100,72,60,65,22,5,493,13461,17274,38737,34340,27903,21617,16276,8612,2864,181082,4575,1077,2080,1836,1321,1858,1331,490,133,14706,3127,593,458,466,412,592,738,377,104,6868
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,18,3,0,3,6,11,15,13,0,73,18,0,3,4,5,6,10,3,0,52,6,8,0,5,4,10,18,11,0,56,0,4,4,8,6,14,40,27,6,110,4,3,0,4,5,12,41,22,6,103,10,6,9,8,7,24,24,11,5,105,11,8,16,16,19,32,26,11,0,143,7,18,26,18,35,47,16,6,4,185,8,26,58,33,43,47,17,0,0,242,3,3,33,25,26,27,17,0,0,142,0,7,39,23,24,30,23,0,0,149,0,4,21,29,29,25,19,0,0,128,0,9,29,50,49,49,17,0,0,206,0,0,10,9,13,14,10,0,0,49,0,0,6,6,17,19,7,4,0,54,17,48,189,123,104,86,61,33,0,665,0,5,4,0,3,3,0,0,0,15,110,148,453,365,389,457,361,148,30,2464,26,8,11,9,14,32,22,6,0,134,28,4,0,10,8,13,19,4,0,81
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
