GCCSA_PEP_CODE_2021,M_SEO_Before_2005,M_SEO_2005_2010,M_SEO_2011_2015,M_SEO_2016,M_SEO_2017,M_SEO_2018,M_SEO_2019,M_SEO_2020,M_SEO_2021,M_SEO_Yr_arr_ns,M_SEO_Tot,M_Sol_sp_En_Vww_B_2005,M_Sol_sp_En_Vww_2005_2010,M_Sol_sp_En_Vww_2011_2015,M_Sol_sp_En_Vww_2016,M_Sol_sp_En_Vww_2017,M_Sol_sp_En_Vww_2018,M_Sol_sp_En_Vww_2019,M_Sol_sp_En_Vww_2020,M_Sol_sp_En_Vww_2021,M_Sol_sp_En_Vww_Yr_arr_ns,M_Sol_sp_En_Vww_Tot,M_Sol_sp_En_Nwna_B_2005,M_Sol_sp_En_Nwna_2005_2010,M_Sol_sp_En_Nwna_2011_2015,M_Sol_sp_En_Nwna_2016,M_Sol_sp_En_Nwna_2017,M_Sol_sp_En_Nwna_2018,M_Sol_sp_En_Nwna_2019,M_Sol_sp_En_Nwna_2020,M_Sol_sp_En_Nwna_2021,M_Sol_sp_En_Nwna_Yr_arr_ns,M_Sol_sp_En_Nwna_Tot,M_Sol_sp_E_Pr_E_ns_B_2005,M_Sol_sp_E_Pr_E_ns_2005_2010,M_Sol_sp_E_Pr_E_ns_2011_2015,M_Sol_sp_E_Pr_E_ns_2016,M_Sol_sp_E_Pr_E_ns_2017,M_Sol_sp_E_Pr_E_ns_2018,M_Sol_sp_E_Pr_E_ns_2019,M_Sol_sp_E_Pr_E_ns_2020,M_Sol_sp_E_Pr_E_ns_2021,M_So_sp_E_Pr_E_ns_Yr_ar_ns,M_Sol_sp_E_Pr_E_ns_Tot,M_Sol_sp_En_Tot_B_2005,M_Sol_sp_En_Tot_2005_2010,M_Sol_sp_En_Tot_2011_2015,M_Sol_sp_En_Tot_2016,M_Sol_sp_En_Tot_2017,M_Sol_sp_En_Tot_2018,M_Sol_sp_En_Tot_2019,M_Sol_sp_En_Tot_2020,M_Sol_sp_En_Tot_2021,M_Sol_sp_En_Tot_Yr_arr_ns,M_Sol_sp_En_Tot_YoA_Tot,M_LanProf_En_ns_B_2005,M_LanProf_En_ns_2005_2010,M_LanProf_En_ns_2011_2015,M_LanProf_En_ns_2016,M_LanProf_En_ns_2017,M_LanProf_En_ns_2018,M_LanProf_En_ns_2019,M_LanProf_En_ns_2020,M_LanProf_En_ns_2021,M_LanProf_En_ns_Yr_arr_ns,M_LanProf_En_ns_Tot,M_Tot_B_2005,M_Tot_2005_2010,M_Tot_2011_2015,M_Tot_2016,M_Tot_2017,M_Tot_2018,M_Tot_2019,M_Tot_2020,M_Tot_2021,M_Tot_Yr_arrival_ns,M_Tot_YoA_Tot,F_SEO_B_2005,F_SEO_2005_2010,F_SEO_2011_2015,F_SEO_2016,F_SEO_2017,F_SEO_2018,F_SEO_2019,F_SEO_2020,F_SEO_2021,F_SEO_Yr_arr_ns,F_SEO_Tot,F_Sol_sp_En_Vww_B_2005,F_Sol_sp_En_Vww_2005_2010,F_Sol_sp_En_Vww_2011_2015,F_Sol_sp_En_Vww_2016,F_Sol_sp_En_Vww_2017,F_Sol_sp_En_Vww_2018,F_Sol_sp_En_Vww_2019,F_Sol_sp_En_Vww_2020,F_Sol_sp_En_Vww_2021,F_Sol_sp_En_Vww_Yr_arr_ns,F_Sol_sp_En_Vww_Tot,F_Sol_sp_En_Nwna_B_2005,F_Sol_sp_En_Nwna_2005_2010,F_Sol_sp_En_Nwna_2011_2015,F_Sol_sp_En_Nwna_2016,F_Sol_sp_En_Nwna_2017,F_Sol_sp_En_Nwna_2018,F_Sol_sp_En_Nwna_2019,F_Sol_sp_En_Nwna_2020,F_Sol_sp_En_Nwna_2021,F_Sol_sp_En_Nwna_Yr_arr_ns,F_Sol_sp_En_Nwna_Tot,F_Sol_sp_En_Pr_En_ns_B_2005,F_Sol_sp_E_Pr_En_ns_2005_2010,F_Sol_sp_E_Pr_En_ns_2011_2015,F_Sol_sp_En_Prof_En_ns_2016,F_Sol_sp_En_Prof_En_ns_2017,F_Sol_sp_En_Prof_En_ns_2018,F_Sol_sp_En_Prof_En_ns_2019,F_Sol_sp_En_Prof_En_ns_2020,F_Sol_sp_En_Prof_En_ns_2021,F_So_sp_En_Pro_En_ns_Yr_ar_ns,F_Sol_sp_En_Prof_En_ns_Tot,F_Sol_sp_En_Tot_B_2005,F_Sol_sp_En_Tot_2005_2010,F_Sol_sp_En_Tot_2011_2015,F_Sol_sp_En_Tot_2016,F_Sol_sp_En_Tot_2017,F_Sol_sp_En_Tot_2018,F_Sol_sp_En_Tot_2019,F_Sol_sp_En_Tot_2020,F_Sol_sp_En_Tot_2021,F_Sol_sp_En_Tot_Yr_arr_ns,F_Sol_sp_En_Tot_YoA_Tot,F_LanProf_En_ns_B_2005,F_LanProf_En_ns_2005_2010,F_LanProf_En_ns_2011_2015,F_LanProf_En_ns_2016,F_LanProf_En_ns_2017,F_LanProf_En_ns_2018,F_LanProf_En_ns_2019,F_LanProf_En_ns_2020,F_LanProf_En_ns_2021,F_LanProf_En_ns_Yr_arr_ns,F_LanProf_En_ns_Tot,F_Tot_B_2005,F_Tot_2005_2010,F_Tot_2011_2015,F_Tot_2016,F_Tot_2017,F_Tot_2018,F_Tot_2019,F_Tot_2020,F_Tot_2021,F_Tot_Yr_arrival_ns,F_Tot_YoA_Tot,P_SEO_B_2005,P_SEO_2005_2010,P_SEO_2011_2015,P_SEO_2016,P_SEO_2017,P_SEO_2018,P_SEO_2019,P_SEO_2020,P_SEO_2021,P_SEO_Yr_arr_ns,P_SEO_Tot,P_Sol_sp_En_Vww_B_2005,P_Sol_sp_En_Vww_2005_2010,P_Sol_sp_En_Vww_2011_2015,P_Sol_sp_En_Vww_2016,P_Sol_sp_En_Vww_2017,P_Sol_sp_En_Vww_2018,P_Sol_sp_En_Vww_2019,P_Sol_sp_En_Vww_2020,P_Sol_sp_En_Vww_2021,P_Sol_sp_En_Vww_Yr_arr_ns,P_Sol_sp_En_Vww_Tot,P_Sol_sp_En_Nwna_B_2005,P_Sol_sp_En_Nwna_2005_2010,P_Sol_sp_En_Nwna_2011_2015,P_Sol_sp_En_Nwna_2016,P_Sol_sp_En_Nwna_2017,P_Sol_sp_En_Nwna_2018,P_Sol_sp_En_Nwna_2019,P_Sol_sp_En_Nwna_2020,P_Sol_sp_En_Nwna_2021,P_Sol_sp_En_Nwna_Yr_arr_ns,P_Sol_sp_En_Nwna_Tot,P_Sol_sp_En_Pr_En_ns_B_2005,P_Sol_sp_E_Pr_En_ns_2005_2010,P_Sol_sp_E_Pr_En_ns_2011_2015,P_Sol_sp_En_Prof_En_ns_2016,P_Sol_sp_En_Prof_En_ns_2017,P_Sol_sp_En_Prof_En_ns_2018,P_Sol_sp_En_Prof_En_ns_2019,P_Sol_sp_En_Prof_En_ns_2020,P_Sol_sp_En_Prof_En_ns_2021,P_So_sp_En_Pro_En_ns_Yr_ar_ns,P_Sol_sp_En_Prof_En_ns_Tot,P_Sol_sp_En_Tot_B_2005,P_Sol_sp_En_Tot_2005_2010
4RSAU,12613,1106,712,116,94,136,138,67,25,659,15668,1572,1049,1076,257,316,379,467,186,74,130,5515,191,129,228,46,52,59,119,63,45,67,1006,20,0,3,0,0,0,5,0,4,10,51,1777,1187,1304,313,370,444,585,254,124,216,6570,34,0,0,0,0,0,0,0,12,279,335,14422,2293,2014,432,464,578,727,320,161,1154,22574,13356,1201,821,153,145,137,164,83,29,698,16778,1737,999,1199,317,438,379,494,236,49,159,5999,314,139,148,62,59,45,126,68,18,58,1034,16,8,4,0,0,0,0,0,0,6,36,2061,1143,1357,377,500,427,618,306,65,224,7075,37,0,0,4,0,0,4,0,3,23,69,15451,2342,2176,532,644,565,791,386,98,943,23927,25968,2304,1531,270,242,273,304,148,59,1357,32450,3310,2048,2280,579,757,754,960,414,122,288,11512,500,264,379,108,114,109,242,131,64,134,2042,35,9,5,0,0,0,5,3,0,22,91,3842,2323
49799,3,0,0,0,0,0,0,0,0,0,4,0,9,3,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,9,3,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
5GPER,121548,34937,26338,2780,2452,2539,2830,1674,745,3863,199714,43158,36339,30505,5622,5134,6129,7587,3037,608,2110,140226,6111,2801,2575,635,647,731,1379,647,180,562,16260,114,77,53,12,11,16,37,30,20,76,436,49386,39215,33140,6270,5785,6873,9007,3707,807,2751,156927,167,56,49,10,9,8,16,16,9,1215,1555,171103,74212,59531,9062,8244,9424,11850,5393,1555,7823,358193,127618,33925,26659,3122,2711,2763,3185,1755,762,3853,206356,49242,36843,36277,7034,6352,7052,8100,3414,766,2291,157367,9491,4477,4276,997,960,1087,2137,1187,316,838,25757,133,67,63,12,11,17,34,13,9,98,449,58869,41389,40612,8043,7318,8152,10263,4615,1088,3222,183574,193,51,48,15,10,13,10,8,3,532,884,186680,75371,67317,11182,10035,10931,13465,6377,1848,7605,390811,249163,68867,53001,5908,5162,5308,6016,3428,1506,7716,406072,92406,73182,66785,12654,11484,13175,15684,6446,1371,4402,297594,15602,7280,6851,1636,1599,1817,3508,1835,495,1398,42018,248,137,118,27,22,32,73,38,27,172,889,108249,80601
5RWAU,25514,5679,4023,394,381,471,671,275,185,1330,38921,3125,3954,3492,578,598,683,1013,414,265,331,14449,215,165,174,43,35,103,144,73,60,109,1113,28,20,12,0,5,3,7,10,9,10,101,3360,4133,3676,617,633,794,1168,501,332,453,15672,97,28,16,0,0,3,12,5,0,600,766,28965,9842,7717,1012,1021,1264,1855,784,518,2376,55353,24383,4903,3715,504,442,496,673,332,113,1183,36741,3217,3340,3671,720,681,816,1168,500,187,291,14586,295,212,232,68,73,114,222,93,44,56,1410,21,8,15,5,0,4,9,3,5,8,77,3532,3552,3916,795,756,937,1394,594,237,361,16071,69,15,6,0,5,0,13,0,0,114,221,27985,8468,7636,1303,1198,1433,2084,927,356,1653,53029,49891,10582,7738,900,821,965,1346,614,292,2509,75658,6341,7294,7162,1297,1281,1503,2178,917,452,623,29039,509,373,403,109,103,221,370,165,103,164,2522,45,23,23,5,5,8,16,10,14,23,177,6894,7691
59799,242,93,71,4,4,10,12,5,3,6,439,52,43,27,3,4,7,5,4,0,15,168,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,58,41,27,3,4,7,5,4,0,15,175,0,0,0,0,0,0,0,0,0,0,5,301,139,100,9,9,18,14,10,3,25,618,44,7,9,0,0,0,4,0,0,0,79,3,8,3,4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,4,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,51,15,15,4,0,0,5,6,0,5,97,291,101,71,5,7,13,10,6,3,8,511,55,45,36,9,4,7,8,9,0,19,191,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,62,49
6GHOB,6977,926,782,184,143,216,165,86,37,293,9815,1595,1506,3853,1309,1242,1079,850,291,39,196,11958,174,80,231,92,84,87,121,39,10,18,929,10,3,13,0,3,3,4,3,0,0,40,1781,1590,4088,1404,1324,1172,973,327,46,217,12927,16,0,6,0,0,0,6,0,0,55,77,8772,2515,4869,1589,1473,1387,1145,415,87,566,22824,7406,949,769,199,167,166,185,82,38,274,10237,1997,1545,3333,1278,1266,1152,1005,323,48,195,12145,235,130,283,89,104,98,157,65,15,23,1194,6,5,5,0,0,0,3,4,0,11,41,2242,1683,3612,1373,1369,1254,1167,391,60,221,13377,26,0,4,5,3,0,0,0,0,35,76,9673,2637,4391,1577,1539,1418,1354,472,99,532,23693,14382,1879,1548,387,316,380,353,171,79,568,20052,3597,3055,7181,2589,2503,2234,1850,612,87,390,24101,408,208,512,176,190,183,279,101,23,43,2126,17,6,12,3,5,7,11,0,0,14,83,4022,3275
6RTAS,9568,903,590,115,115,126,152,88,20,470,12142,1057,723,1605,638,651,582,529,191,45,112,6131,67,54,148,59,58,45,81,38,17,22,596,10,0,0,0,0,3,7,4,4,7,37,1131,782,1758,701,708,631,620,236,62,138,6765,19,0,0,4,4,0,0,0,0,26,51,10715,1686,2349,811,825,764,774,324,80,635,18958,9746,977,675,141,139,136,154,73,21,457,12510,1441,846,1369,535,594,586,537,179,57,133,6279,75,88,197,74,57,84,113,54,10,25,778,5,0,0,0,0,4,11,0,0,12,39,1522,938,1568,612,656,678,665,232,65,166,7097,17,3,0,0,0,0,0,0,0,15,37,11278,1912,2243,754,793,808,820,305,89,643,19641,19313,1878,1269,254,249,268,304,160,35,930,24653,2493,1573,2971,1178,1245,1175,1067,367,99,242,12406,143,138,348,133,117,123,197,95,26,48,1375,13,3,0,0,0,6,17,4,4,17,75,2650,1720
69799,20,0,0,0,0,0,0,0,0,0,17,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,6,25,0,0,0,0,0,0,0,0,8,34,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,22,5,0,0,0,0,0,0,0,0,30,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
7GDAR,4448,1003,939,185,157,164,226,84,55,225,7487,2179,2198,2757,867,860,771,729,232,51,207,10848,358,133,133,32,30,40,81,52,15,37,898,7,9,0,0,0,3,0,5,0,4,33,2543,2338,2888,899,889,812,813,287,70,248,11779,14,5,8,5,5,7,8,6,0,89,135,6998,3341,3839,1087,1051,980,1040,375,124,565,19402,4339,1029,1111,202,181,197,254,107,54,205,7677,2636,2143,3032,937,952,896,954,309,77,198,12129,555,213,213,51,51,64,149,88,15,51,1450,9,4,5,0,0,0,3,5,0,5,32,3205,2357,3250,985,1001,960,1110,397,91,252,13617,10,0,0,0,0,0,0,0,0,44,70,7552,3393,4357,1197,1182,1160,1363,506,150,507,21363,8788,2029,2048,388,336,360,477,194,110,429,15163,4815,4338,5788,1806,1813,1662,1683,538,129,403,22979,915,342,344,81,82,109,232,134,26,89,2352,14,15,3,0,6,0,7,9,0,9,65,5745,4691
7RNTE,2122,377,420,93,79,121,177,117,84,129,3722,577,635,673,243,185,202,231,122,36,82,2990,33,22,22,8,9,12,27,18,6,13,171,3,3,4,0,0,0,8,0,3,3,21,610,658,698,245,198,217,266,145,51,98,3188,4,0,4,0,0,0,3,0,0,19,34,2742,1040,1124,339,278,341,439,261,133,249,6943,2004,394,458,87,92,128,170,107,60,110,3620,583,601,650,235,214,262,325,126,42,63,3099,37,28,40,12,12,9,40,14,10,12,212,4,3,0,0,0,0,0,5,0,4,19,624,631,693,246,228,269,372,142,48,77,3324,0,0,0,0,0,0,4,0,0,8,14,2627,1027,1149,331,315,401,547,254,105,191,6958,4129,770,877,178,175,256,351,221,147,241,7336,1160,1240,1326,477,399,459,557,251,79,146,6089,68,53,58,18,20,23,70,34,9,25,381,9,3,5,0,0,0,7,5,3,4,39,1238,1296
79799,33,8,0,0,0,0,0,0,0,0,53,5,11,0,0,0,0,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,41,14,3,0,0,0,3,0,0,0,73,4,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,11,40,11,0,0,0,0,0,0,0,0,59,3,10,0,0,0,0,7,0,0,0,24,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,9
8ACTE,15318,2362,2180,396,375,423,429,284,136,483,22387,11629,6830,7793,2102,2562,2407,1842,769,175,560,36673,1072,471,606,145,265,260,393,144,38,168,3562,16,11,19,3,3,7,5,0,4,12,82,12713,7314,8421,2251,2835,2674,2237,909,220,742,40315,24,10,9,4,7,0,0,3,0,121,181,28053,9687,10611,2650,3218,3096,2670,1198,359,1347,62889,15901,2370,2213,405,398,395,397,266,132,431,22898,12695,7317,8450,2201,2637,2558,2126,902,199,469,39545,1668,693,821,195,234,266,491,232,48,138,4787,25,11,11,3,9,3,7,6,0,14,90,14386,8023,9277,2397,2877,2825,2623,1140,255,625,44425,33,7,7,3,5,7,10,4,0,75,145,30317,10396,11496,2802,3274,3221,3025,1402,387,1125,67459,31216,4738,4395,799,769,814,822,542,271,910,45283,24325,14144,16247,4304,5199,4964,3967,1665,377,1026,76220,2741,1165,1426,341,502,525,884,381,91,303,8352,36,19,27,7,8,13,12,9,5,29,173,27098,15331
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,195,33,20,4,4,7,8,9,4,14,297,132,43,37,11,4,0,4,0,0,26,270,76,6,9,0,4,3,0,0,0,3,91,0,0,0,0,0,0,0,0,0,0,0,208,44,47,11,4,8,4,0,0,29,363,3,0,0,0,0,0,0,0,0,214,213,399,82,69,16,12,12,11,9,4,257,873,204,24,30,8,8,0,6,9,0,22,304,134,33,45,15,5,6,5,6,0,29,265,56,11,5,0,4,0,0,0,0,5,82,0,0,0,0,0,0,0,0,0,0,3,193,45,48,16,7,8,0,6,0,31,350,3,0,0,0,0,0,0,0,0,0,5,396,67,80,22,16,10,9,12,3,53,661,399,57,56,8,11,10,10,13,6,40,603,267,73,81,23,10,6,4,8,0,52,535,130,13,11,0,6,10,0,0,0,9,171,0,0,0,0,0,0,0,0,0,0,5,401,86
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
