GCCSA_PEP_CODE_2021,M_15_19_Ud_wk_L_5_hrs,M_15_19_Ud_wk_5_14_hrs,M_15_19_Ud_wk_15_29_hrs,M_15_19_Ud_wk_30h_more,M_15_19_no_Ud_wk,M_15_19_Ud_wk_ns,M_15_19_OS_vis,M_15_19_yr_Tot,M_20_24_Ud_wk_L_5_hrs,M_20_24_Ud_wk_5_14_hrs,M_20_24_Ud_wk_15_29_hrs,M_20_24_Ud_wk_30h_more,M_20_24_no_Ud_wk,M_20_24_Ud_wk_ns,M_20_24_OS_vis,M_20_24_yr_Tot,M_25_34_Ud_wk_L_5_hrs,M_25_34_Ud_wk_5_14_hrs,M_25_34_Ud_wk_15_29_hrs,M_25_34_Ud_wk_30h_more,M_25_34_no_Ud_wk,M_25_34_Ud_wk_ns,M_25_34_OS_vis,M_25_34_yr_Tot,M_35_44_Ud_wk_L_5_hrs,M_35_44_Ud_wk_5_14_hrs,M_35_44_Ud_wk_15_29_hrs,M_35_44_Ud_wk_30h_more,M_35_44_no_Ud_wk,M_35_44_Ud_wk_ns,M_35_44_OS_vis,M_35_44_yr_Tot,M_45_54_Ud_wk_L_5_hrs,M_45_54_Ud_wk_5_14_hrs,M_45_54_Ud_wk_15_29_hrs,M_45_54_Ud_wk_30h_more,M_45_54_no_Ud_wk,M_45_54_Ud_wk_ns,M_45_54_OS_vis,M_45_54_yr_Tot,M_55_64_Ud_wk_L_5_hrs,M_55_64_Ud_wk_5_14_hrs,M_55_64_Ud_wk_15_29_hrs,M_55_64_Ud_wk_30h_more,M_55_64_no_Ud_wk,M_55_64_Ud_wk_ns,M_55_64_OS_vis,M_55_64_yr_Tot,M_65_74_Ud_wk_L_5_hrs,M_65_74_Ud_wk_5_14_hrs,M_65_74_Ud_wk_15_29_hrs,M_65_74_Ud_wk_30h_more,M_65_74_no_Ud_wk,M_65_74_Ud_wk_ns,M_65_74_OS_vis,M_65_74_yr_Tot,M_75_84_Ud_wk_L_5_hrs,M_75_84_Ud_wk_5_14_hrs,M_75_84_Ud_wk_15_29_hrs,M_75_84_Ud_wk_30h_more,M_75_84_no_Ud_wk,M_75_84_Ud_wk_ns,M_75_84_OS_vis,M_75_84_yr_Tot,M_85ov_Ud_wk_L_5_h,M_85ov_Ud_wk_5_14_h,M_85ov_Ud_wk_15_29_h,M_85ov_Ud_wk_30h_more,M_85ov_no_Ud_wk,M_85ov_Ud_wk_ns,M_85ov_OS_vis,M_85_yr_over_Tot,M_Tot_Ud_wk_L_5_hrs,M_Tot_Ud_wk_5_14_hrs,M_Tot_Ud_wk_15_29_hrs,M_Tot_Ud_wk_30h_more,M_Tot_no_Ud_wk,M_Tot_Ud_wk_ns,M_Tot_OS_vis,M_Total_Tot,F_15_19_Ud_wk_L_5_hrs,F_15_19_Ud_wk_5_14_hrs,F_15_19_Ud_wk_15_29_hrs,F_15_19_Ud_wk_30h_more,F_15_19_no_Ud_wk,F_15_19_Ud_wk_ns,F_15_19_OS_vis,F_15_19_yr_Tot,F_20_24_Ud_wk_L_5_hrs,F_20_24_Ud_wk_5_14_hrs,F_20_24_Ud_wk_15_29_hrs,F_20_24_Ud_wk_30h_more,F_20_24_no_Ud_wk,F_20_24_Ud_wk_ns,F_20_24_OS_vis,F_20_24_yr_Tot,F_25_34_Ud_wk_L_5_hrs,F_25_34_Ud_wk_5_14_hrs,F_25_34_Ud_wk_15_29_hrs,F_25_34_Ud_wk_30h_more,F_25_34_no_Ud_wk,F_25_34_Ud_wk_ns,F_25_34_OS_vis,F_25_34_yr_Tot,F_35_44_Ud_wk_L_5_hrs,F_35_44_Ud_wk_5_14_hrs,F_35_44_Ud_wk_15_29_hrs,F_35_44_Ud_wk_30h_more,F_35_44_no_Ud_wk,F_35_44_Ud_wk_ns,F_35_44_OS_vis,F_35_44_yr_Tot,F_45_54_Ud_wk_L_5_hrs,F_45_54_Ud_wk_5_14_hrs,F_45_54_Ud_wk_15_29_hrs,F_45_54_Ud_wk_30h_more,F_45_54_no_Ud_wk,F_45_54_Ud_wk_ns,F_45_54_OS_vis,F_45_54_yr_Tot,F_55_64_Ud_wk_L_5_hrs,F_55_64_Ud_wk_5_14_hrs,F_55_64_Ud_wk_15_29_hrs,F_55_64_Ud_wk_30h_more,F_55_64_no_Ud_wk,F_55_64_Ud_wk_ns,F_55_64_OS_vis,F_55_64_yr_Tot,F_65_74_Ud_wk_L_5_hrs,F_65_74_Ud_wk_5_14_hrs,F_65_74_Ud_wk_15_29_hrs,F_65_74_Ud_wk_30h_more,F_65_74_no_Ud_wk,F_65_74_Ud_wk_ns,F_65_74_OS_vis,F_65_74_yr_Tot,F_75_84_Ud_wk_L_5_hrs,F_75_84_Ud_wk_5_14_hrs,F_75_84_Ud_wk_15_29_hrs,F_75_84_Ud_wk_30h_more,F_75_84_no_Ud_wk,F_75_84_Ud_wk_ns,F_75_84_OS_vis,F_75_84_yr_Tot,F_85ov_Ud_wk_L_5_h,F_85ov_Ud_wk_5_14_h,F_85ov_Ud_wk_15_29_h,F_85ov_Ud_wk_30h_more,F_85ov_no_Ud_wk,F_85ov_Ud_wk_ns,F_85ov_OS_vis,F_85_yr_over_Tot,F_Tot_Ud_wk_L_5_hrs,F_Tot_Ud_wk_5_14_hrs,F_Tot_Ud_wk_15_29_hrs,F_Tot_Ud_wk_30h_more,F_Tot_no_Ud_wk,F_Tot_Ud_wk_ns,F_Tot_OS_vis,F_Total_Tot,P_15_19_Ud_wk_L_5_hrs,P_15_19_Ud_wk_5_14_hrs,P_15_19_Ud_wk_15_29_hrs,P_15_19_Ud_wk_30h_more,P_15_19_no_Ud_wk,P_15_19_Ud_wk_ns,P_15_19_OS_vis,P_15_19_yr_Tot,P_20_24_Ud_wk_L_5_hrs,P_20_24_Ud_wk_5_14_hrs,P_20_24_Ud_wk_15_29_hrs,P_20_24_Ud_wk_30h_more,P_20_24_no_Ud_wk,P_20_24_Ud_wk_ns,P_20_24_OS_vis,P_20_24_yr_Tot,P_25_34_Ud_wk_L_5_hrs,P_25_34_Ud_wk_5_14_hrs,P_25_34_Ud_wk_15_29_hrs,P_25_34_Ud_wk_30h_more,P_25_34_no_Ud_wk,P_25_34_Ud_wk_ns,P_25_34_OS_vis,P_25_34_yr_Tot,P_35_44_Ud_wk_L_5_hrs,P_35_44_Ud_wk_5_14_hrs,P_35_44_Ud_wk_15_29_hrs,P_35_44_Ud_wk_30h_more,P_35_44_no_Ud_wk,P_35_44_Ud_wk_ns,P_35_44_OS_vis,P_35_44_yr_Tot,P_45_54_Ud_wk_L_5_hrs,P_45_54_Ud_wk_5_14_hrs,P_45_54_Ud_wk_15_29_hrs,P_45_54_Ud_wk_30h_more,P_45_54_no_Ud_wk,P_45_54_Ud_wk_ns,P_45_54_OS_vis,P_45_54_yr_Tot
4RSAU,4733,934,93,35,3946,981,10,10733,3297,1739,262,118,3320,943,95,9774,5723,6133,1476,710,5377,2598,429,22445,4955,7028,2200,1020,3968,2540,193,21906,6210,8162,2422,1078,5049,2588,58,25570,6894,9161,3016,1553,7056,2494,26,30199,4692,7570,3904,2423,7586,2031,32,28227,1988,3288,1941,1464,5039,1357,11,15091,515,666,385,300,2086,510,9,4472,39009,44680,15696,8697,43429,16044,861,168416,4414,1259,169,73,2865,852,5,9626,2435,2542,636,446,1968,580,22,8622,2705,6367,3353,3882,2848,1474,68,20697,1761,6730,4664,4499,2040,1379,37,21112,2635,9039,5326,3343,2862,1638,20,24856,2855,9465,6510,4248,4478,1774,41,29373,1682,5873,6268,5736,6029,1856,26,27473,1102,2532,2578,2869,5265,1416,19,15778,580,805,523,408,3440,780,4,6542,20166,44610,30029,25504,31788,11745,241,164081,9144,2194,262,105,6810,1834,13,20357,5732,4276,892,562,5289,1526,117,18396,8435,12502,4832,4589,8227,4073,494,43146,6720,13761,6860,5519,6006,3920,231,43018,8843,17199,7745,4420,7913,4224,78,50426
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,4,5,19,0,0,0,0,7,7,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,19,8,7,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,4,5,19,0,0,0,0,7,7,0,15
5GPER,28223,4741,379,207,26635,2914,63,63158,23261,9770,1172,506,27002,4067,250,66034,41942,37325,6407,2814,43715,9888,588,142680,37521,48035,11962,5164,33302,8705,404,145095,34412,43884,10305,4321,29287,6674,375,129265,28260,36338,9246,4160,28312,4979,410,111713,16241,26178,10720,5354,25123,3833,345,87790,7157,11306,5616,3410,16414,3183,126,47208,2056,2546,1180,859,7101,2004,28,15777,219067,220128,56987,26800,236881,46254,2590,808711,27987,6703,695,304,21838,2744,71,60338,22671,15092,2812,1739,18853,3230,193,64599,28944,46246,17769,20573,30688,7922,492,152630,16592,47088,30003,31191,22264,6731,247,154105,15866,49265,27919,19253,19553,5261,264,137389,13901,40454,23769,16375,21597,4176,517,120801,7688,23374,20399,17328,23718,4038,449,96990,4702,10339,8866,8379,17897,4159,141,54492,2679,3412,1868,1384,12108,3587,48,25072,141033,241966,134094,116518,188511,41849,2431,866413,56217,11440,1071,509,48469,5657,134,123494,45936,24866,3991,2243,45855,7297,447,130631,70884,83566,24173,23389,74406,17815,1078,295309,54110,95124,41963,36354,55564,15440,653,299200,50281,93153,38227,23574,48840,11939,644,266653
5RWAU,6206,1359,174,90,5910,1782,9,15521,4357,2390,436,172,5214,2584,146,15308,9799,9292,1973,1018,11046,8865,441,42438,9590,11914,3272,1623,9117,8890,228,44643,9791,12271,3135,1483,10130,8457,121,45394,9481,11772,3408,1803,11070,6770,110,44409,5963,8832,3850,2582,9374,3664,67,34331,2229,3258,1740,1357,4827,1679,28,15117,486,605,342,277,1606,579,5,3896,57910,61696,18321,10403,68300,43268,1156,261059,6044,1875,277,114,4355,1583,16,14265,3207,3423,883,671,3259,1741,126,13300,5296,9847,4520,6154,5824,4615,320,36567,3475,10940,7147,7543,4025,3995,73,37203,4141,12874,7100,4709,4795,3885,52,37549,4150,12105,7477,5455,6433,3724,77,39430,2331,6851,6343,6222,6931,2868,72,31609,1183,2496,2364,2671,4370,1673,20,14779,577,725,444,401,2417,860,7,5429,30403,61132,36555,33945,42407,24943,753,230139,12251,3233,450,204,10262,3365,29,29787,7567,5813,1320,841,8472,4322,276,28607,15093,19138,6493,7169,16864,13482,763,79006,13070,22857,10420,9174,13148,12882,298,81843,13926,25141,10244,6191,14932,12343,172,82943
59799,0,0,0,0,8,7,0,14,7,0,0,0,41,28,0,81,25,32,5,4,172,193,24,459,56,63,22,24,332,413,37,945,43,41,16,14,342,376,53,896,34,30,9,6,178,195,24,473,7,15,0,0,51,35,0,119,0,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,181,178,61,46,1129,1255,143,3002,0,0,0,0,3,3,0,8,6,0,0,0,17,15,0,37,10,5,3,5,36,28,3,94,3,6,3,0,18,20,7,55,5,9,0,0,25,23,0,57,10,15,3,7,23,29,3,86,4,12,5,7,12,14,0,61,0,3,0,0,4,5,0,17,0,0,0,0,0,0,4,3,41,56,17,19,140,122,16,405,0,0,0,0,7,10,0,19,13,0,0,3,61,43,0,121,35,35,8,7,209,224,33,549,58,72,27,21,349,429,37,999,46,48,19,14,364,394,61,951
6GHOB,3222,483,32,16,2778,359,0,6889,2752,1269,173,60,2840,401,54,7551,5587,5364,1054,476,6179,1223,149,20033,3894,5517,1592,609,2941,880,44,15477,3620,5419,1395,483,2553,699,22,14187,3362,4940,1425,636,3130,611,19,14125,2092,3713,1648,843,3127,566,22,12015,958,1590,774,536,2126,428,6,6410,267,372,160,122,988,193,4,2103,25743,28655,8261,3780,26670,5361,314,98792,3081,671,76,43,2228,346,6,6449,2566,1907,389,222,1935,355,9,7385,3779,6110,2411,2127,4467,965,33,19892,2042,5637,3406,2658,1833,718,15,16307,1919,6189,3260,1652,1856,573,17,15460,1891,5624,3096,1731,2557,548,42,15488,1063,3488,3066,2204,2993,625,22,13454,639,1598,1283,1166,2682,558,15,7935,400,485,253,216,1799,343,4,3504,17384,31712,17235,12017,22348,5024,161,105882,6304,1148,109,56,5005,707,6,13339,5314,3172,556,285,4777,755,67,14931,9372,11479,3467,2605,10646,2184,182,39927,5940,11149,5007,3264,4777,1593,51,31784,5532,11614,4657,2131,4413,1269,41,29652
6RTAS,3534,654,74,31,3613,683,10,8591,2780,1443,199,106,3161,569,67,8325,5131,5124,1161,571,5202,1251,94,18526,4049,5565,1710,808,3156,1022,62,16380,4643,6414,1782,901,4065,1132,24,18954,4887,6664,2269,1201,5413,1238,19,21692,3012,5212,2721,1746,5611,1254,20,19580,1284,2189,1273,1086,3705,860,8,10403,328,429,223,177,1369,384,3,2910,29646,33702,11409,6621,35288,8381,307,125355,3582,929,130,55,2810,545,4,8055,2235,2094,477,424,2140,493,12,7867,2651,5725,2850,2988,3208,1075,86,18583,1640,5768,3898,3555,1926,945,29,17764,2202,7398,4277,2758,2713,963,17,20323,2222,7394,4830,3359,3974,1111,22,22917,1275,4258,4361,3973,4834,1165,17,19884,762,1763,1679,1907,4017,1015,10,11155,403,551,318,258,2310,539,10,4390,16971,35882,22819,19275,27930,7850,204,130938,7114,1580,204,88,6415,1228,13,16644,5012,3536,673,527,5299,1059,79,16193,7782,10849,4007,3558,8410,2331,177,37116,5686,11332,5608,4366,5083,1967,90,34140,6849,13808,6063,3655,6777,2087,40,39277
69799,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,9,5,10,0,0,18,25,3,58,7,3,4,5,27,24,3,67,7,10,0,0,29,22,0,71,10,7,8,0,20,20,0,63,3,7,0,0,9,0,0,25,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,26,33,10,3,112,102,8,296,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,4,0,0,3,0,0,13,0,3,0,0,4,3,0,16,5,0,0,0,3,4,0,18,0,9,0,6,0,3,0,11,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,8,5,15,13,0,75,0,0,0,0,3,0,0,5,3,0,0,0,9,0,0,15,4,9,0,0,21,25,3,69,9,4,3,5,31,30,4,78,6,11,0,0,36,31,0,90
7GDAR,1584,397,41,15,1492,439,89,4057,1408,810,118,46,1952,795,1098,6224,3218,3191,655,294,4076,1940,510,13877,2499,3447,990,465,2469,1551,158,11580,2236,3085,811,368,2127,1381,68,10083,1920,2517,708,371,2168,1157,72,8915,1205,1629,645,340,1954,848,37,6668,366,497,211,124,810,275,13,2294,42,61,20,23,203,57,0,399,14470,15636,4213,2045,17256,8437,2046,64106,1580,515,72,27,1248,409,12,3867,1145,1047,244,140,1360,519,126,4577,2615,3895,1488,1440,3091,1602,177,14305,1459,3695,2004,1736,1811,1296,46,12046,1385,3465,1586,874,1460,1118,23,9906,1151,2762,1381,804,1589,989,78,8744,639,1541,1015,725,1437,694,43,6102,215,423,300,235,687,258,8,2136,72,64,29,15,235,79,8,504,10259,17406,8117,6005,12916,6968,509,62191,3163,913,113,49,2745,845,99,7921,2553,1855,361,185,3318,1309,1221,10795,5832,7084,2139,1736,7170,3540,688,28189,3950,7139,3001,2205,4285,2851,198,23627,3624,6548,2403,1243,3589,2499,87,19990
7RNTE,1147,552,169,102,1009,451,6,3443,1045,665,234,124,1004,604,82,3752,2237,2106,614,332,2231,1668,135,9322,1679,1975,692,370,1651,1400,47,7812,1513,1642,549,289,1493,1282,19,6790,1423,1606,479,227,1749,1195,32,6706,865,1154,423,235,1514,841,21,5052,192,221,95,65,483,215,4,1274,21,19,4,7,77,17,0,143,10120,9941,3250,1750,11207,7682,344,44302,1054,602,226,101,768,406,5,3163,980,838,367,245,735,401,19,3582,2045,2573,1134,892,1670,1162,102,9563,1247,2016,1217,903,1081,877,15,7360,1203,1955,941,551,1129,859,11,6645,1126,1967,887,501,1378,953,37,6843,581,1036,613,391,1115,658,16,4410,124,177,109,96,333,143,8,989,38,23,13,10,110,29,0,211,8383,11181,5507,3689,8307,5476,208,42763,2200,1157,396,208,1773,857,10,6598,2020,1503,597,363,1738,1003,98,7336,4280,4679,1749,1221,3900,2832,231,18888,2931,3986,1910,1277,2729,2269,63,15167,2717,3596,1489,837,2619,2144,33,13439
79799,0,0,0,0,0,0,0,10,0,3,0,3,10,5,0,17,0,5,3,0,25,18,0,54,0,10,8,0,53,41,0,106,3,8,0,3,53,43,0,117,4,8,7,0,50,33,0,96,0,0,0,0,13,7,0,22,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,21,32,9,8,210,141,12,429,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,15,0,0,0,0,3,5,7,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,12,0,3,0,0,12,5,0,21,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,10,0,5,31,17,7,67,0,0,0,0,0,0,0,11,3,4,0,3,10,3,0,27,0,9,3,0,29,16,9,65,4,10,8,0,50,43,0,112,3,12,0,4,57,43,0,124
8ACTE,6710,1243,82,32,4689,687,19,13461,6624,3368,325,143,5624,1129,50,17274,11431,11927,2080,761,10185,2262,88,38737,7953,13488,3917,1294,5984,1595,100,34340,7027,11404,3062,927,4309,1101,72,27903,5203,8511,2480,901,3636,822,60,21617,3015,6026,2380,927,3217,643,65,16276,1519,2600,1206,603,2181,478,22,8612,462,541,274,153,1158,272,5,2864,49939,59122,15811,5741,40986,8993,493,181082,6657,1664,141,53,3857,663,20,13059,6470,4884,693,279,3954,1005,43,17328,8036,13952,4456,3400,7317,1813,88,39065,4293,12834,7448,5127,4003,1226,75,35004,3739,11918,6155,2727,2792,897,63,28290,3071,9043,4973,2409,3011,682,122,23317,1733,5546,4561,2861,3241,728,87,18755,979,2521,2066,1590,2686,604,21,10468,551,772,409,282,1837,483,3,4342,35530,63136,30903,18735,32699,8103,520,189630,13365,2907,221,89,8546,1353,45,26526,13095,8257,1022,423,9577,2138,92,34599,19469,25879,6541,4164,17505,4071,177,77804,12247,26325,11364,6417,9990,2824,177,69342,10770,23322,9217,3657,7099,1996,139,56195
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,35,9,3,4,42,15,0,110,27,18,0,0,46,49,5,148,71,56,13,13,106,192,4,453,68,78,26,11,62,115,0,365,70,101,31,19,70,99,3,389,97,125,42,18,76,82,3,457,39,100,38,34,87,66,0,361,17,27,10,10,50,33,0,148,3,3,7,3,15,3,0,30,431,517,163,117,555,655,15,2464,44,13,6,0,33,17,0,113,28,26,8,6,41,20,7,130,43,74,29,26,63,61,0,290,32,95,58,30,50,61,0,332,51,108,69,39,49,69,0,379,48,144,77,42,67,72,0,442,32,73,43,51,63,49,0,309,10,30,15,22,40,29,0,142,3,5,3,3,9,3,0,34,285,569,305,215,412,378,10,2163,79,23,3,0,79,33,0,220,53,49,7,6,88,70,4,273,109,129,38,33,170,253,8,745,104,172,87,46,111,179,0,701,118,202,96,63,120,164,3,767
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
