GCCSA_PEP_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
4RSAU,542,1091,2661,2866,3313,3570,2196,684,68,16992,41,236,1258,1272,1110,789,115,7,0,4832,456,902,2027,2173,2631,2269,514,47,4,11019,30,89,375,363,428,426,94,7,0,1814,664,1239,2659,2420,2435,2262,589,53,3,12319,119,185,415,492,616,603,176,22,0,2628,1154,714,1146,957,950,921,365,30,4,6258,1176,522,733,494,524,573,207,27,0,4257,82,217,696,835,1228,1536,538,65,0,5195,11,35,89,80,68,79,36,4,0,404,7,37,82,145,170,150,46,20,0,658,10,19,83,85,97,181,83,17,0,570,36,122,333,404,431,477,270,40,0,2122,89,206,511,428,558,596,205,23,0,2619,47,156,656,839,1119,1149,243,24,0,4231,51,148,646,548,622,626,308,23,0,2978,42,197,672,636,784,932,279,30,0,3573,66,59,123,105,129,154,58,7,0,710,237,390,695,591,714,659,277,31,0,3591,225,294,635,582,757,729,308,126,29,3684
49799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,179,333,784,787,871,833,520,182,19,4516,328,2142,10761,13457,11091,6552,1234,79,4,45648,1363,2989,7662,9336,9476,7363,1768,203,12,40173,123,354,1571,2105,1981,1532,306,14,0,7996,3033,6885,18577,18643,15059,10939,2605,209,10,75954,524,1268,3659,4369,4205,3139,830,110,7,18105,5997,7583,8570,6412,5156,3896,1519,218,13,39373,8825,5684,6386,4249,2539,1960,595,80,3,30315,699,2262,7421,8292,7757,7215,2294,205,4,36147,211,523,1268,1446,1118,708,214,42,0,5523,57,587,2430,3229,2864,1762,591,118,8,11654,120,415,1281,1562,1599,1281,744,187,24,7217,377,2951,10388,13115,10169,6436,2484,389,25,46337,569,1525,3445,3244,2914,2552,920,128,10,15304,289,1916,6822,7809,7910,6402,1622,167,8,32945,895,1835,4771,4965,4873,4661,1758,189,13,23953,397,2327,7100,7279,6229,5038,1881,257,9,30511,1201,1400,2044,1624,1244,979,417,85,6,8990,1062,2186,4626,4126,3726,3123,1130,163,11,20157,1375,3096,7289,7167,6130,4332,1410,282,60,31142
5RWAU,525,962,2478,2606,2958,3176,2026,711,107,15556,322,1652,7588,8795,7832,5232,778,32,0,32241,468,787,1994,2252,2154,1725,456,54,3,9902,59,140,474,691,754,707,133,11,0,2966,951,1792,4569,4610,4292,3877,1020,70,3,21183,156,291,800,887,932,767,215,27,0,4075,1444,915,1375,1108,1190,1130,444,63,0,7661,1748,693,1345,1043,831,812,355,54,3,6886,143,385,1279,1631,2190,2394,891,81,4,9006,35,51,142,149,131,100,46,3,0,656,10,40,113,190,264,181,82,21,0,894,25,71,238,224,322,314,150,41,0,1378,79,208,856,980,1000,877,397,53,9,4465,123,242,678,697,802,735,248,31,0,3561,106,273,1162,1534,1996,2029,529,41,0,7666,58,194,747,939,1080,1113,406,37,0,4570,92,235,1010,1102,1174,1217,437,43,3,5324,112,80,193,181,198,195,95,24,0,1075,397,599,1115,1055,986,829,298,31,3,5312,421,534,1291,1222,1276,1145,450,134,35,6507
59799,3,13,30,20,14,11,0,0,0,91,0,8,65,164,162,85,3,0,0,488,0,0,3,14,7,10,6,0,0,36,0,0,7,13,11,9,0,0,0,51,0,0,38,81,62,23,3,0,0,212,0,0,3,7,8,6,0,0,0,21,0,0,0,0,3,0,0,0,0,8,0,4,7,11,7,4,0,0,0,39,0,3,22,51,55,31,3,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,4,14,19,5,0,0,0,49,0,5,8,15,21,10,4,0,0,53,0,0,8,0,3,0,0,0,0,24,0,0,3,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,10,42,81,68,29,0,0,0,231
6GHOB,50,129,515,370,308,247,97,35,3,1755,0,13,48,57,55,48,16,3,0,245,128,316,1059,972,934,829,171,23,0,4432,10,52,409,502,464,327,58,6,0,1822,462,1085,2493,1905,1465,1261,315,31,0,9012,36,94,353,319,324,236,76,9,0,1448,552,768,1517,864,635,489,194,32,0,5057,709,670,1708,647,367,226,102,16,0,4456,38,148,846,595,590,697,187,22,0,3122,23,59,213,218,204,129,45,4,0,889,8,60,282,351,260,171,55,9,0,1197,12,42,127,120,148,125,79,27,4,673,45,229,1044,1053,928,650,312,47,0,4302,45,129,450,309,298,281,81,10,0,1602,34,203,1063,1269,1524,1113,208,17,0,5433,101,244,843,891,881,708,211,9,0,3900,33,307,1464,1099,984,822,262,25,0,4998,155,142,335,225,245,196,95,9,0,1399,82,173,559,478,363,378,126,27,0,2181,60,154,498,375,337,242,98,20,7,1785
6RTAS,262,585,1614,1345,1450,1413,778,256,30,7726,12,100,420,483,483,428,81,3,0,2022,260,586,1609,1506,1721,1477,306,30,3,7504,12,56,255,304,390,342,65,5,0,1428,683,1246,2499,1822,1893,1761,452,42,3,10405,99,196,510,539,699,599,147,20,0,2820,731,686,1151,818,852,770,282,28,4,5338,874,554,977,489,398,404,171,27,0,3889,67,234,795,861,1130,1311,406,51,0,4852,16,38,114,145,111,108,29,3,0,575,9,43,159,194,178,146,44,6,0,783,10,29,91,80,128,137,78,21,3,576,36,142,545,536,531,517,251,59,4,2620,42,132,346,332,395,384,117,8,3,1756,28,128,526,697,918,780,156,15,0,3260,47,147,481,689,737,729,247,21,0,3104,36,243,1069,931,950,957,322,27,3,4534,108,70,152,173,171,200,70,8,0,947,155,295,605,502,553,494,158,20,0,2773,109,241,506,465,489,469,206,68,22,2578
69799,0,0,6,3,3,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,4,23,29,33,28,7,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,10,13,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,24,51,115,89,125,142,74,16,0,632,10,59,275,392,412,201,21,6,0,1363,70,105,332,359,350,259,60,4,0,1536,10,33,186,227,213,197,47,8,0,917,215,434,1406,1414,1136,762,208,21,0,5588,23,63,204,217,225,176,49,8,0,957,304,347,724,437,316,245,101,8,0,2484,554,395,878,411,245,175,70,7,0,2735,43,157,683,544,581,557,154,9,0,2722,13,24,96,91,81,62,22,0,0,388,4,14,71,84,84,69,29,4,0,348,4,15,82,97,105,79,51,17,4,445,33,151,606,561,392,329,152,16,0,2245,27,101,274,237,228,177,54,8,0,1097,100,927,1998,1711,1563,952,241,13,0,7500,37,107,342,408,338,332,103,11,0,1673,45,163,832,748,458,319,145,20,3,2725,75,114,264,155,104,86,37,0,0,836,92,140,413,327,294,254,77,8,0,1606,84,212,523,460,361,273,97,11,4,2033
7RNTE,79,203,298,195,171,185,98,18,0,1251,14,47,280,383,380,247,33,4,0,1386,27,40,124,113,99,104,32,3,0,532,5,6,65,58,82,91,25,0,0,339,80,171,540,477,389,404,117,9,0,2184,10,20,59,72,31,62,20,7,0,276,141,137,312,207,162,142,76,9,0,1177,100,110,381,208,170,175,66,10,0,1217,23,58,184,194,199,209,69,9,0,937,0,17,50,30,31,39,10,0,0,177,0,8,15,27,12,32,6,0,0,105,0,11,24,10,29,37,18,3,0,134,7,26,192,157,133,169,68,5,0,763,13,32,107,103,111,110,46,4,0,525,37,219,819,783,716,548,136,8,0,3278,36,76,277,279,214,223,80,6,0,1201,19,88,494,527,390,351,131,9,0,2004,27,41,139,110,94,72,24,8,0,523,38,65,183,182,129,148,56,4,0,799,46,68,202,157,136,100,51,9,0,775
79799,0,4,15,7,3,6,3,0,0,41,0,0,3,10,23,9,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,0,0,0,16,0,0,6,3,3,0,0,0,0,15,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,11,19,17,13,6,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,7,0,0,3,4,5,4,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,11,13,0,0,0,39
8ACTE,24,37,102,60,59,74,42,24,5,423,0,11,24,31,30,16,4,0,0,120,125,275,779,614,658,372,118,14,0,2961,19,96,345,328,299,209,40,3,0,1333,721,1897,4501,3362,2318,1402,392,46,6,14646,48,162,315,346,290,225,61,9,0,1467,1144,1535,2381,1155,772,549,221,41,3,7799,2046,1755,2414,1101,601,364,106,17,0,8406,71,293,1168,927,797,696,255,26,5,4234,41,155,599,631,508,248,49,8,4,2245,17,138,431,481,361,190,63,14,6,1696,31,126,367,316,264,207,90,27,8,1437,113,1295,4282,4295,3095,1888,673,94,7,15740,87,299,825,784,578,449,149,24,0,3197,434,2233,8189,10469,9243,4898,934,62,3,36465,425,866,1820,1795,1442,993,331,39,3,7708,146,629,2138,1885,1365,915,334,43,4,7459,327,338,463,329,280,199,81,19,0,2056,163,411,846,736,640,386,158,26,0,3363,115,335,940,707,464,262,75,17,3,2912
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,4,0,4,10,0,0,0,24,0,0,12,16,23,18,9,0,0,83,0,0,3,3,5,11,3,0,0,25,0,0,7,7,3,8,8,0,0,37,13,14,33,29,46,48,18,4,0,204,0,0,3,0,4,3,0,5,0,23,5,6,11,12,10,20,7,3,3,74,12,6,17,18,18,22,5,0,0,97,0,8,20,16,10,17,6,0,0,79,0,0,0,0,3,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,14,0,0,0,4,6,17,4,3,0,31,3,0,9,10,13,20,6,3,0,61,22,42,96,72,60,63,27,4,0,380,0,6,6,8,7,8,5,0,0,29,0,0,6,16,15,12,12,0,0,50,4,3,4,8,11,11,0,0,0,33,0,0,4,10,6,6,8,3,0,44,3,5,14,12,9,15,12,3,0,73
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
