GCCSA_PEP_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
4RSAU,5091,6852,16484,16329,18681,18694,6907,1298,118,90452,199,316,833,1039,1234,1380,945,290,25,6253,16,111,349,185,157,102,3,0,0,928,264,298,746,847,960,814,170,18,0,4119,0,18,62,66,84,48,13,0,0,296,38,95,327,405,417,374,116,13,0,1777,38,64,188,208,276,248,54,6,0,1085,1575,954,1607,1558,1952,1747,374,23,3,9803,1769,860,1160,1011,1122,1017,213,26,0,7170,21,100,198,251,415,425,119,15,6,1552,19,35,93,100,68,74,24,0,0,415,26,69,258,323,344,233,48,9,0,1311,12,55,161,183,220,175,58,9,0,877,65,167,567,624,572,492,158,22,0,2660,52,208,550,621,887,860,227,15,0,3434,41,193,697,925,1121,756,145,10,0,3882,188,635,1969,2458,2589,1996,513,29,0,10380,371,1376,3506,3554,4538,4983,996,41,3,19360,83,91,163,163,167,142,43,9,0,864,123,231,588,516,607,461,149,21,0,2696
49799,0,0,0,8,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,27611,48243,116861,123215,106918,80709,24845,3299,251,531954,93,181,565,613,698,520,258,65,11,3001,97,888,4033,4399,2939,1348,188,19,0,13915,828,1046,2994,3579,3571,2410,573,67,3,15075,36,169,817,1087,815,436,76,4,0,3448,213,965,3803,3903,3177,2178,513,42,0,14797,212,615,1730,2053,2017,1379,311,32,4,8358,8801,9328,10376,8447,8652,6954,1674,121,11,54360,11493,7310,7124,4690,3525,2245,545,37,4,36964,196,803,2376,2560,2632,1874,468,41,0,10941,222,392,891,739,603,414,110,13,0,3384,119,730,3402,4129,3333,1900,395,38,9,14055,115,570,1793,1903,1818,1371,506,81,8,8166,311,2803,9679,10036,6979,3957,1226,124,6,35119,367,1521,4226,4133,3608,2583,653,52,0,17140,272,1596,6119,7678,7438,5460,1087,66,0,29719,1471,3983,12422,16066,18354,13183,3101,200,7,68789,1791,9777,28162,27105,25398,20030,4895,267,8,117430,1164,1472,2215,1860,1429,955,321,45,0,9462,1081,2304,5464,4720,3939,2564,688,84,3,20854
5RWAU,7279,10170,29446,31902,32351,28548,9461,1555,182,150893,211,354,992,1125,1286,1436,967,266,18,6662,114,688,2123,1683,1391,728,77,4,0,6812,254,295,811,864,750,551,144,21,0,3688,13,43,163,190,165,129,25,0,0,725,61,189,747,846,786,679,151,7,0,3481,82,143,364,335,393,280,80,19,0,1693,2024,1177,2069,2385,2666,2356,557,56,0,13293,2385,1150,2124,1791,1731,1420,402,45,0,11056,80,181,520,613,768,735,237,33,0,3169,54,55,124,101,91,86,29,0,0,552,21,104,390,430,398,305,59,8,0,1711,48,165,389,374,409,336,114,21,0,1861,80,261,903,1112,935,734,265,23,0,4309,109,290,849,985,1035,832,211,21,0,4342,115,324,1327,1703,1876,1367,279,28,0,7018,251,719,2889,4203,4747,3625,776,46,0,17258,521,1571,4782,5315,5655,5363,1262,65,0,24546,163,132,325,325,313,249,72,4,0,1578,255,389,980,937,915,654,162,15,0,4301
59799,3,54,237,494,451,234,32,6,0,1517,0,3,5,0,0,5,0,0,0,15,4,3,13,15,6,6,0,0,0,42,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,5,8,3,0,0,0,22,0,10,14,10,0,4,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,10,0,0,9,0,4,0,0,0,0,13,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,4,0,0,9,0,0,3,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
6GHOB,2566,5012,15827,12643,11311,9179,2796,366,23,59717,21,46,171,125,120,83,43,10,0,617,0,0,7,16,10,0,3,0,0,37,158,151,365,316,284,236,75,4,0,1592,3,39,198,253,185,79,8,0,0,774,19,69,272,274,235,184,55,9,0,1119,12,44,123,119,133,89,35,0,0,561,849,987,1484,925,859,760,196,19,0,6068,1078,769,1454,671,452,312,89,13,0,4835,20,85,177,180,192,150,41,4,0,847,16,48,167,143,115,110,32,0,0,630,17,69,397,381,321,196,37,0,0,1418,14,81,175,124,157,115,33,12,0,712,40,235,950,819,671,453,132,12,0,3318,40,136,449,400,394,300,88,13,0,1821,48,287,1253,1699,1780,1136,202,7,0,6410,141,425,1774,2033,2140,1605,403,20,0,8539,141,1176,4010,3123,3059,2864,570,41,3,14988,132,139,283,251,232,182,61,7,0,1289,72,231,664,479,432,280,79,15,0,2247
6RTAS,3587,5754,14427,12916,14185,13443,4373,720,78,69489,106,204,599,560,584,604,319,92,4,3081,0,19,85,54,56,29,11,5,0,265,171,220,541,502,613,531,103,8,3,2691,0,14,114,122,109,74,12,0,0,432,33,90,247,295,262,245,70,7,0,1248,37,92,165,185,215,165,44,0,0,910,1245,994,1441,1260,1542,1222,268,20,0,7992,1487,848,1231,823,875,789,178,17,0,6243,21,66,200,261,380,371,77,15,0,1393,22,38,94,96,108,94,24,0,0,476,16,103,335,368,317,218,39,3,0,1401,22,89,202,149,169,152,54,7,0,847,65,208,642,632,568,422,163,13,0,2705,48,151,376,483,576,470,91,7,0,2209,29,164,572,806,1016,749,124,4,0,3466,108,404,1367,2073,2343,1818,368,24,0,8491,215,1256,3740,3277,3990,3943,757,26,5,17212,82,95,185,169,203,183,61,3,0,982,134,269,600,477,485,358,109,8,0,2429
69799,0,8,52,60,58,44,10,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,4,3,8,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,1754,3608,10301,8974,7605,5627,1787,179,14,39852,8,18,67,73,86,78,34,7,0,373,4,12,91,63,55,38,3,0,0,276,39,62,102,119,125,78,18,0,0,548,0,14,87,121,99,52,3,0,0,376,26,64,287,304,286,196,43,0,0,1204,10,31,87,90,94,49,13,0,0,374,458,399,738,519,515,397,123,10,0,3157,619,366,933,546,329,233,53,3,0,3091,33,67,177,176,179,140,30,4,0,804,10,23,77,62,20,32,11,0,0,235,4,35,207,155,133,64,22,0,0,625,8,44,147,129,122,86,39,10,0,590,42,153,680,538,401,298,95,7,3,2207,24,86,315,309,297,191,46,3,0,1276,74,498,1688,1811,1557,996,186,10,0,6814,100,272,1005,1261,1161,815,190,12,0,4813,118,604,2616,1895,1362,1067,285,12,0,7955,83,126,265,163,130,83,24,0,0,872,70,121,391,358,249,160,56,3,0,1400
7RNTE,705,1432,4732,4274,3681,3452,1165,127,10,19578,86,157,167,107,95,97,36,8,0,744,6,25,69,76,58,28,0,0,0,266,9,13,36,35,38,31,16,0,0,172,3,0,8,13,20,17,0,0,0,60,10,26,96,102,96,81,23,4,0,435,3,13,38,34,33,40,9,0,0,169,171,106,335,223,214,205,58,8,0,1321,132,145,397,204,172,178,45,5,0,1279,12,20,72,50,63,62,15,6,0,290,4,10,30,29,24,23,3,0,0,125,3,9,44,48,22,27,7,0,0,159,3,16,45,37,31,40,16,0,0,180,9,26,218,167,153,111,44,6,0,726,16,37,116,104,106,95,24,4,0,504,37,173,632,623,609,410,93,3,0,2585,90,179,704,640,692,592,142,12,0,3046,68,289,1363,1020,895,868,202,7,0,4719,35,61,144,105,90,70,45,3,0,551,25,36,146,143,119,92,25,4,0,586
79799,3,12,33,60,75,60,4,0,0,249,0,3,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,6096,12885,32909,30347,24066,14544,4183,570,49,125659,14,29,51,47,23,51,32,3,0,248,0,0,12,12,3,3,0,0,0,27,164,151,267,212,205,129,41,10,0,1182,10,54,186,159,109,40,5,0,0,554,54,184,605,491,381,209,48,8,0,1981,24,71,114,97,110,78,20,0,0,511,1751,1772,1879,1013,857,727,248,28,0,8270,2254,1780,1685,781,485,372,83,9,0,7458,21,72,235,217,237,164,44,4,0,996,53,161,375,364,296,159,38,13,0,1465,20,148,545,517,340,211,58,8,0,1835,39,224,466,346,239,177,59,14,3,1570,174,1302,3461,2980,2035,1096,302,37,0,11385,80,297,951,737,617,470,135,11,3,3297,272,2446,9555,10978,9076,4353,577,24,0,37279,680,1377,3436,3899,3488,2152,544,48,0,15632,497,2305,6100,4858,3768,2732,681,43,0,20993,343,444,548,432,347,229,91,14,0,2454,308,535,946,761,632,415,132,8,0,3751
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,70,98,242,228,257,306,142,22,3,1370,0,0,3,0,5,3,0,0,0,15,0,0,4,4,6,0,0,0,0,24,0,0,6,0,4,7,0,0,0,15,0,0,0,3,4,3,0,0,0,12,0,0,4,3,10,3,0,0,0,22,0,0,0,3,0,4,0,0,0,11,7,10,10,24,24,33,20,8,0,131,21,16,22,21,35,30,13,0,0,161,0,3,9,4,5,7,3,0,0,37,0,0,5,0,0,0,5,0,0,5,0,0,6,8,6,4,0,0,0,22,0,0,0,3,0,4,0,0,0,9,0,3,4,8,9,18,3,0,0,46,4,3,11,21,25,19,3,0,0,88,12,21,60,54,63,35,11,3,0,263,0,8,31,25,26,36,6,0,0,133,0,6,22,20,32,38,23,3,0,146,8,0,8,3,6,7,5,0,0,35,0,0,4,4,3,3,0,0,0,19
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
