SED_CODE_2021,M_15_19_yr_VWOG_Volunteer,M_15_19_yr_VWOG_Not_vol,M_15_19_yr_VWOG_NS,M_15_19_yr_Oseas_visitors,M_15_19_yr_Total,M_20_24_yr_VWOG_Volunteer,M_20_24_yr_VWOG_Not_vol,M_20_24_yr_VWOG_NS,M_20_24_yr_Oseas_visitors,M_20_24_yr_Total,M_25_34_yr_VWOG_Volunteer,M_25_34_yr_VWOG_Not_vol,M_25_34_yr_VWOG_NS,M_25_34_yr_Oseas_visitors,M_25_34_yr_Total,M_35_44_yr_VWOG_Volunteer,M_35_44_yr_VWOG_Not_vol,M_35_44_yr_VWOG_NS,M_35_44_yr_Oseas_visitors,M_35_44_yr_Total,M_45_54_yr_VWOG_Volunteer,M_45_54_yr_VWOG_Not_vol,M_45_54_yr_VWOG_NS,M_45_54_yr_Oseas_visitors,M_45_54_yr_Total,M_55_64_yr_VWOG_Volunteer,M_55_64_yr_VWOG_Not_vol,M_55_64_yr_VWOG_NS,M_55_64_yr_Oseas_visitors,M_55_64_yr_Total,M_65_74_yr_VWOG_Volunteer,M_65_74_yr_VWOG_Not_vol,M_65_74_yr_VWOG_NS,M_65_74_yr_Oseas_visitors,M_65_74_yr_Total,M_75_84_yr_VWOG_Volunteer,M_75_84_yr_VWOG_Not_vol,M_75_84_yr_VWOG_NS,M_75_84_yr_Oseas_visitors,M_75_84_yr_Total,M_85_yr_over_VWOG_Volunteer,M_85_yr_over_VWOG_Not_vol,M_85_yr_over_Voluntary_wk_ns,M_85_yr_over_Oseas_visitors,M_85_yr_over_Tot,M_Tot_VWOG_Volunteer,M_Tot_VWOG_Not_vol,M_Tot_VWOG_NS,M_Tot_Overseas_visitors,M_Tot_Tot,F_15_19_yr_VWOG_Volunteer,F_15_19_yr_VWOG_Not_vol,F_15_19_yr_VWOG_NS,F_15_19_yr_Oseas_visitors,F_15_19_yr_Total,F_20_24_yr_VWOG_Volunteer,F_20_24_yr_VWOG_Not_vol,F_20_24_yr_VWOG_NS,F_20_24_yr_Oseas_visitors,F_20_24_yr_Total,F_25_34_yr_VWOG_Volunteer,F_25_34_yr_VWOG_Not_vol,F_25_34_yr_VWOG_NS,F_25_34_yr_Oseas_visitors,F_25_34_yr_Total,F_35_44_yr_VWOG_Volunteer,F_35_44_yr_VWOG_Not_vol,F_35_44_yr_VWOG_NS,F_35_44_yr_Oseas_visitors,F_35_44_yr_Total,F_45_54_yr_VWOG_Volunteer,F_45_54_yr_VWOG_Not_vol,F_45_54_yr_VWOG_NS,F_45_54_yr_Oseas_visitors,F_45_54_yr_Total,F_55_64_yr_VWOG_Volunteer,F_55_64_yr_VWOG_Not_vol,F_55_64_yr_VWOG_NS,F_55_64_yr_Oseas_visitors,F_55_64_yr_Total,F_65_74_yr_VWOG_Volunteer,F_65_74_yr_VWOG_Not_vol,F_65_74_yr_VWOG_NS,F_65_74_yr_Oseas_visitors,F_65_74_yr_Total,F_75_84_yr_VWOG_Volunteer,F_75_84_yr_VWOG_Not_vol,F_75_84_yr_VWOG_NS,F_75_84_yr_Oseas_visitors,F_75_84_yr_Total,F_85_yr_over_VWOG_Volunteer,F_85_yr_over_VWOG_Not_vol,F_85_yr_over_Voluntary_wk_ns,F_85yr_over_Oseas_visitors,F_85_yr_over_Tot,F_Tot_VWOG_Volunteer,F_Tot_VWOG_Not_vol,F_Tot_VWOG_NS,F_Tot_Overseas_visitors,F_Tot_Tot,P_15_19_yr_VWOG_Volunteer,P_15_19_yr_VWOG_Not_vol,P_15_19_yr_VWOG_NS,P_15_19_yr_Oseas_visitors,P_15_19_yr_Total,P_20_24_yr_VWOG_Volunteer,P_20_24_yr_VWOG_Not_vol,P_20_24_yr_VWOG_NS,P_20_24_yr_Oseas_visitors,P_20_24_yr_Total,P_25_34_yr_VWOG_Volunteer,P_25_34_yr_VWOG_Not_vol,P_25_34_yr_VWOG_NS,P_25_34_yr_Oseas_visitors,P_25_34_yr_Total,P_35_44_yr_VWOG_Volunteer,P_35_44_yr_VWOG_Not_vol,P_35_44_yr_VWOG_NS,P_35_44_yr_Oseas_visitors,P_35_44_yr_Total,P_45_54_yr_VWOG_Volunteer,P_45_54_yr_VWOG_Not_vol,P_45_54_yr_VWOG_NS,P_45_54_yr_Oseas_visitors,P_45_54_yr_Total,P_55_64_yr_VWOG_Volunteer,P_55_64_yr_VWOG_Not_vol,P_55_64_yr_VWOG_NS,P_55_64_yr_Oseas_visitors,P_55_64_yr_Total,P_65_74_yr_VWOG_Volunteer,P_65_74_yr_VWOG_Not_vol,P_65_74_yr_VWOG_NS,P_65_74_yr_Oseas_visitors,P_65_74_yr_Total,P_75_84_yr_VWOG_Volunteer,P_75_84_yr_VWOG_Not_vol,P_75_84_yr_VWOG_NS,P_75_84_yr_Oseas_visitors,P_75_84_yr_Total,P_85_yr_over_VWOG_Volunteer,P_85_yr_over_VWOG_Not_vol,P_85_yr_over_Voluntary_wk_ns,P_85_yr_over_Oseas_visitors,P_85_yr_over_Tot,P_Tot_VWOG_Volunteer,P_Tot_VWOG_Not_vol,P_Tot_VWOG_NS,P_Tot_Overseas_visitors,P_Tot_Total
SED10011,338,1815,84,0,2236,245,1365,47,0,1655,426,2728,133,8,3295,694,3388,160,6,4246,897,3782,154,10,4845,935,3739,152,4,4826,1132,3349,149,6,4634,472,1587,98,0,2159,59,507,37,0,601,5191,22268,1016,32,28504,331,1595,84,0,2004,256,1154,41,0,1451,521,2760,116,3,3410,1006,3480,145,7,4645,1147,3933,170,3,5253,1134,4200,152,4,5486,1335,3662,146,10,5156,551,2010,140,6,2704,83,808,142,0,1035,6370,23593,1137,40,31141,668,3406,169,0,4244,497,2520,94,5,3102,954,5489,252,13,6703,1703,6870,308,14,8890,2049,7716,320,18,10096,2069,7935,304,4,10314,2471,7010,289,13,9788,1026,3597,234,9,4861,133,1318,184,0,1639,11562,45859,2146,70,59644
SED10012,170,2620,222,5,3018,170,2762,187,4,3126,251,4940,399,18,5614,206,4089,316,11,4618,227,4686,327,6,5250,238,5221,320,6,5783,202,3562,208,11,3978,69,1496,131,5,1702,11,510,130,0,652,1537,29887,2250,63,33739,224,2477,181,0,2878,279,2600,166,3,3051,283,4761,364,12,5410,324,4714,329,7,5373,318,5312,317,12,5960,356,5187,301,24,5861,239,3820,192,14,4259,62,1640,203,0,1913,10,761,262,0,1029,2090,31270,2303,73,35740,392,5097,400,3,5896,449,5367,354,9,6177,530,9704,760,28,11026,524,8806,646,17,9991,547,10002,642,13,11205,596,10405,616,33,11647,441,7380,404,19,8242,130,3138,339,9,3616,12,1269,391,0,1677,3632,61159,4553,132,69476
SED10013,369,3661,156,0,4186,270,3405,134,0,3810,572,8923,409,5,9911,821,8897,402,6,10130,766,6813,263,15,7851,476,4830,187,15,5504,437,3278,160,16,3892,198,1495,169,10,1872,30,398,138,0,571,3938,41696,2021,69,47727,489,3442,167,0,4096,352,3368,161,0,3884,772,9955,447,11,11185,1115,8847,399,8,10371,858,6777,247,18,7901,601,5199,196,32,6040,541,3576,153,18,4289,188,1747,150,8,2087,30,702,156,0,885,4936,43610,2082,96,50728,855,7101,323,5,8277,620,6780,294,7,7695,1345,18877,852,23,21098,1941,17740,802,14,20495,1626,13588,509,27,15752,1075,10030,384,45,11541,976,6850,316,32,8181,383,3241,317,13,3962,57,1102,297,3,1461,8878,85303,4107,164,98454
SED10014,175,2360,227,5,2766,205,2496,214,7,2922,374,5066,432,14,5880,458,4813,463,12,5745,374,3946,342,5,4673,386,3765,251,9,4401,353,3010,190,16,3565,158,1425,157,3,1746,13,279,51,4,350,2494,27159,2330,70,32056,190,2268,203,0,2657,278,2316,211,8,2806,499,5373,495,7,6377,566,4885,421,3,5884,440,4197,304,0,4948,438,4137,235,22,4840,432,3391,259,18,4105,169,1563,203,3,1939,22,461,132,3,620,3046,28599,2472,65,34172,366,4633,428,5,5427,479,4806,427,14,5730,875,10437,926,20,12259,1024,9700,885,13,11621,820,8148,645,9,9621,825,7897,487,28,9243,789,6400,452,29,7670,329,2991,369,5,3687,34,747,188,5,974,5538,55756,4798,133,66224
SED10015,213,2183,119,4,2522,228,2827,262,11,3327,532,6538,682,24,7772,498,5772,519,18,6816,539,5362,394,18,6310,416,4689,298,11,5404,246,3128,204,11,3590,116,2021,207,9,2355,28,864,121,0,1014,2823,33383,2808,107,39115,248,1894,118,3,2267,322,2458,239,8,3026,624,6013,565,19,7221,675,5592,461,11,6746,654,5496,362,14,6523,494,4764,299,27,5588,331,3550,233,13,4131,147,2406,203,9,2764,27,1065,228,4,1326,3535,33234,2716,118,39593,466,4079,235,6,4785,551,5288,503,20,6358,1152,12551,1245,42,14995,1175,11366,989,33,13558,1196,10858,757,33,12839,912,9445,594,40,10996,583,6678,438,20,7719,262,4427,413,14,5114,58,1925,352,3,2337,6353,66614,5520,222,78706
SED10016,490,3242,90,4,3828,384,2781,81,9,3258,508,4469,160,6,5145,915,7003,222,6,8142,1081,5990,174,7,7250,661,4442,101,24,5226,523,3182,93,30,3831,267,1605,92,7,1974,38,432,98,5,570,4866,33155,1109,99,39231,623,3000,81,4,3707,511,2412,88,3,3017,568,4919,190,7,5683,1201,7466,251,18,8930,1210,6254,171,15,7647,682,4652,106,42,5491,587,3558,84,45,4268,254,1800,69,9,2135,26,664,50,5,743,5657,34734,1093,131,41627,1115,6245,167,9,7534,894,5201,172,8,6277,1078,9384,356,18,10834,2114,14470,470,25,17079,2289,12250,349,20,14901,1343,9101,208,65,10714,1106,6741,174,73,8102,528,3410,163,13,4107,62,1095,145,7,1311,10525,67890,2204,232,80856
SED10017,203,2332,149,0,2686,163,2215,269,0,2640,361,5141,759,4,6268,570,4475,638,3,5688,525,4360,492,0,5376,477,4105,327,3,4916,538,3441,264,8,4250,221,1569,172,0,1969,19,465,68,0,559,3079,28100,3142,20,34341,218,2187,144,0,2557,183,2258,131,3,2573,510,5480,279,0,6280,822,4615,234,3,5673,603,4549,210,3,5370,641,4288,168,11,5106,673,3488,169,7,4340,188,1796,166,0,2153,34,836,128,0,998,3883,29491,1638,34,35047,429,4526,295,4,5247,344,4469,396,3,5213,875,10622,1040,8,12540,1385,9091,874,9,11360,1128,8903,705,7,10747,1121,8389,499,9,10019,1213,6926,434,13,8589,414,3368,337,5,4118,57,1304,197,0,1555,6954,57586,4779,58,69386
SED10018,249,2022,93,0,2363,204,1944,73,7,2225,344,3791,205,7,4348,714,3842,167,6,4725,790,3817,160,3,4770,584,3502,137,5,4228,550,2703,125,0,3379,345,1737,88,0,2172,46,670,89,0,809,3836,24017,1140,25,29021,316,1767,73,0,2156,259,1747,74,0,2084,521,3919,191,3,4642,978,3993,162,4,5138,862,4022,132,3,5030,630,3862,124,3,4616,656,3111,139,3,3908,400,2281,162,0,2843,50,1181,157,0,1392,4666,25885,1230,22,31801,564,3788,165,0,4522,459,3687,154,5,4303,872,7705,399,10,8988,1684,7837,328,14,9863,1652,7835,297,6,9798,1215,7359,262,10,8846,1208,5814,267,4,7287,750,4019,251,0,5014,99,1854,249,0,2197,8504,49895,2365,51,60822
SED10019,240,1709,245,0,2196,163,1407,300,9,1875,315,2786,670,29,3798,524,2693,620,13,3846,613,3465,511,13,4596,921,4434,470,0,5823,1084,4624,395,5,6111,541,2511,265,0,3319,73,810,115,0,998,4469,24438,3591,72,32565,236,1486,203,0,1921,163,1427,163,3,1748,427,2979,397,7,3810,725,2807,388,0,3926,798,3652,368,7,4821,1110,4542,383,0,6030,1367,4233,376,0,5980,661,2472,299,0,3437,121,1199,204,0,1527,5595,24800,2780,27,33205,479,3194,446,0,4115,325,2832,463,13,3628,743,5761,1063,37,7603,1251,5498,1010,18,7773,1411,7118,873,16,9420,2021,8981,849,3,11860,2452,8859,774,4,12091,1203,4980,572,4,6753,196,2017,324,0,2524,10072,49241,6366,93,65774
SED10020,258,1883,162,0,2299,163,1591,122,28,1899,367,3581,345,49,4336,591,3522,315,19,4446,749,3634,306,18,4709,776,3909,312,8,5014,977,3797,259,10,5042,414,2069,241,9,2726,68,707,150,0,927,4372,24685,2206,139,31405,294,1829,158,0,2285,198,1494,118,28,1838,499,3773,337,42,4650,884,3716,317,19,4932,900,4012,286,10,5213,946,4378,271,21,5612,1192,3897,270,6,5361,561,2265,309,0,3143,69,1053,279,0,1408,5553,26418,2337,129,34434,558,3706,315,0,4583,360,3084,240,54,3735,869,7347,681,90,8990,1481,7236,628,40,9378,1649,7647,594,29,9919,1724,8288,585,31,10626,2166,7696,525,16,10403,976,4333,550,4,5869,140,1762,432,0,2335,9925,51102,4546,262,65841
SED10021,337,1281,91,0,1716,285,1472,104,12,1872,749,6793,561,44,8141,830,5301,367,22,6519,981,3922,245,22,5168,720,2945,180,24,3861,426,2107,163,16,2710,193,1313,165,4,1683,39,502,202,0,744,4557,25636,2074,147,32414,400,1189,82,3,1673,439,1673,107,19,2238,1098,8018,575,52,9739,1143,5417,350,23,6937,1254,4055,227,28,5556,744,3187,160,24,4106,532,2415,200,24,3165,258,1523,270,5,2057,44,767,425,3,1246,5902,28240,2390,184,36716,735,2469,177,9,3386,719,3149,211,26,4111,1843,14810,1136,99,17880,1973,10719,719,43,13455,2235,7975,472,45,10724,1462,6133,333,45,7972,952,4519,357,44,5876,451,2841,429,10,3733,82,1276,625,3,1985,10460,53875,4466,330,69133
SED10022,293,1593,247,0,2134,187,1361,246,4,1794,421,2822,591,21,3852,684,2590,565,27,3870,839,3012,515,0,4368,1033,3702,475,6,5218,1137,3395,385,4,4918,665,1903,252,0,2822,94,698,89,0,878,5348,21070,3371,63,29855,358,1413,181,0,1945,215,1296,141,7,1661,535,2776,275,13,3601,968,2460,299,3,3733,1041,3052,285,4,4376,1171,3620,319,3,5112,1359,3154,345,5,4866,715,1989,286,0,2992,139,1098,130,0,1364,6498,20863,2250,33,29644,647,3008,425,0,4082,395,2657,386,7,3457,950,5601,868,37,7457,1653,5048,861,30,7597,1874,6071,798,4,8743,2211,7322,796,9,10329,2497,6555,726,9,9783,1382,3890,534,6,5807,233,1789,220,0,2244,11845,41931,5625,97,59500
SED10023,350,2108,70,3,2531,243,1893,52,4,2187,366,3808,188,6,4375,613,3956,170,7,4744,902,4299,148,8,5357,713,4060,119,11,4893,629,3042,86,7,3770,313,1662,78,4,2057,58,695,51,3,807,4178,25536,956,55,30725,376,1874,62,0,2314,312,1886,62,3,2263,412,4050,186,9,4662,835,4146,171,6,5151,999,4445,166,10,5612,754,4241,121,13,5127,642,3344,121,8,4116,328,1904,119,0,2356,80,1018,164,0,1261,4739,26911,1166,47,32860,725,3988,131,3,4847,553,3780,109,8,4457,785,7857,375,15,9035,1440,8102,339,13,9898,1898,8742,309,14,10971,1469,8298,239,18,10025,1266,6393,206,14,7881,641,3570,195,3,4416,141,1717,212,6,2067,8916,52447,2121,103,63590
