SED_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
SED10001,2019,3584,1549,983,2248,693,6,11088,1241,2484,1651,1198,2708,632,5,9916,630,1088,778,692,2069,530,3,5792,249,301,166,133,1095,255,0,2198,13413,18662,8737,6155,16676,4981,66,68682
SED10002,1506,2362,1309,1145,4160,910,51,11444,903,1431,888,732,2763,538,43,7290,445,595,298,243,1476,320,17,3391,137,134,69,44,701,216,0,1293,14616,18225,7857,7379,39851,9597,334,97865
SED10003,2066,4163,1982,993,1749,785,20,11756,1455,3254,2182,1325,2266,733,22,11227,671,1263,892,718,1675,444,13,5680,253,343,164,136,1179,341,3,2410,13921,20512,9613,6114,13640,5616,210,69643
SED10004,1704,3437,1404,512,1367,444,30,8901,1062,2334,1184,489,1398,335,33,6835,436,907,458,216,952,218,9,3195,145,165,71,34,482,188,0,1084,15814,24186,8589,3948,13257,3838,242,69868
SED10005,1230,2073,1160,1083,4002,795,33,10375,824,1292,821,687,2919,619,30,7188,393,572,359,294,1683,464,6,3766,165,194,93,62,998,404,0,1928,10488,12460,6187,6531,30758,7663,160,74246
SED10006,1713,2923,1377,1064,2885,1407,8,11378,1127,1902,1228,1136,2922,1183,12,9507,523,775,575,590,1939,875,0,5286,219,206,107,107,1010,408,0,2051,10081,14329,6749,5635,16922,8816,100,62629
SED10007,1683,3395,1742,1208,2120,702,13,10849,1103,2337,1614,1307,2454,659,7,9488,585,1017,733,626,1942,477,6,5379,213,271,147,84,1058,164,0,1935,11986,17726,8551,6373,15629,5830,72,66168
SED10008,1515,3477,2022,1308,1805,263,49,10448,990,2486,1923,1297,1953,252,75,8976,617,1175,773,620,1519,264,24,4983,169,222,106,69,784,234,7,1591,14105,20128,10779,7427,16196,2255,241,71130
SED10009,2073,4424,2469,1438,2063,887,12,13372,1536,3826,2791,2114,2805,893,11,13993,734,1504,1160,1016,2065,634,3,7119,259,343,230,172,1223,369,0,2597,11171,18791,10424,7228,13379,5239,80,66316
SED10010,1297,2370,1256,1039,3071,591,50,9676,817,1431,950,822,2788,486,53,7347,415,585,340,295,1603,357,8,3593,148,137,76,61,822,201,3,1449,11692,15678,7665,6859,26729,5598,196,74422
SED10011,1571,4042,2038,1123,1243,286,4,10314,1113,3049,2146,1435,1723,303,13,9788,529,1238,836,678,1321,251,9,4861,199,236,143,114,771,180,0,1639,11356,19544,10126,6670,9733,2150,70,59644
SED10012,1327,2191,1356,1348,4725,661,33,11647,935,1467,940,865,3592,425,19,8242,398,573,298,272,1719,349,9,3616,145,147,57,51,889,393,0,1677,10235,11612,5761,5730,31222,4786,132,69476
SED10013,1783,3517,1772,1252,2746,422,45,11541,981,2005,1332,1079,2417,330,32,8181,476,731,531,435,1439,341,13,3962,176,151,56,62,711,299,3,1461,18983,26518,12460,10193,25827,4296,164,98454
SED10014,1264,2470,1225,1001,2734,506,28,9243,893,1699,1105,870,2593,485,29,7670,424,664,444,353,1418,380,5,3687,109,125,61,33,452,189,5,974,11121,15413,7135,6552,20920,4945,133,66224
SED10015,1452,2712,1546,1155,3455,638,40,10996,957,1664,1111,837,2658,466,20,7719,701,938,596,459,1958,449,14,5114,300,321,151,86,1117,356,3,2337,13484,17501,8380,6539,26887,5705,222,78706
SED10016,1604,3667,1910,1258,1975,237,65,10714,1016,2265,1499,1149,1880,218,73,8102,538,923,644,499,1307,178,13,4107,147,199,111,61,635,154,7,1311,16840,23100,11416,8229,18662,2378,232,80856
SED10017,1475,2860,1622,1142,2389,525,9,10019,893,1948,1362,1239,2661,468,13,8589,421,698,530,469,1626,371,5,4118,143,208,76,53,864,209,0,1555,12277,18356,8835,6905,18021,4930,58,69386
SED10018,1520,3123,1498,793,1628,271,10,8846,821,2027,1383,911,1853,293,4,7287,612,1110,780,627,1617,268,0,5014,289,348,169,122,1028,244,0,2197,12676,18360,8643,5252,13407,2431,51,60822
SED10019,1755,3541,1951,1368,2369,868,3,11860,1325,2904,2095,1752,3189,816,4,12091,662,1272,986,890,2364,583,4,6753,284,327,184,158,1226,345,0,2524,10673,16552,8993,7043,15915,6504,93,65774
SED10020,1832,3486,1699,888,2093,593,31,10626,1286,2816,1965,1277,2499,556,16,10403,626,1208,868,737,1855,561,4,5869,249,318,176,130,1040,420,0,2335,12256,18143,8882,5802,15791,4698,262,65841
SED10021,1544,3059,1266,493,1212,348,45,7972,937,1819,921,452,1340,365,44,5876,547,867,478,260,1125,448,10,3733,254,266,118,51,671,624,3,1985,16959,21811,7717,3913,13867,4521,330,69133
SED10022,1602,2943,1535,1131,2304,806,9,10329,1176,2105,1510,1421,2783,777,9,9783,634,967,748,664,2205,584,6,5807,246,270,140,136,1218,232,0,2244,10227,14463,7538,6211,15192,5775,97,59500
SED10023,1746,3690,1834,982,1493,250,18,10025,1095,2483,1509,930,1623,228,14,7881,558,1033,705,534,1360,212,3,4416,308,370,219,153,792,219,6,2067,14196,19420,9033,5704,12916,2219,103,63590
SED10024,1515,3722,1971,1016,1226,205,47,9699,1019,2398,1696,978,1381,170,36,7682,791,1601,1076,713,1408,169,16,5774,355,448,260,166,1027,197,0,2448,13850,19536,10405,6332,12333,1553,216,64226
SED10025,1671,3277,1564,881,1878,364,48,9683,1142,2210,1341,782,1897,430,23,7823,660,1107,684,437,1377,430,7,4711,247,323,152,83,961,451,6,2220,14265,20052,8651,5366,16809,3681,175,68989
SED10026,1674,3092,1436,923,2073,828,9,10031,1047,1917,1335,994,2202,664,6,8156,565,894,617,637,1723,542,3,4984,185,217,101,99,940,279,0,1820,11888,17125,7811,5982,16015,6516,79,65418
SED10027,1400,2709,1562,1153,2684,406,28,9933,889,1644,1158,912,2251,334,20,7211,495,830,480,436,1590,358,5,4188,298,270,136,94,914,450,5,2155,11765,15413,7729,6496,20815,3815,108,66137
SED10028,1585,3727,2195,1296,1714,222,72,10816,928,2381,1783,1147,1688,213,77,8219,592,1199,814,530,1338,318,33,4832,319,432,220,154,1196,493,4,2823,14172,20158,10812,6947,16686,2501,273,71548
SED10029,1246,1967,1168,1183,5325,828,20,11743,848,1294,787,724,3900,628,22,8205,468,649,335,269,2173,462,9,4370,164,166,79,42,980,441,6,1887,10049,11511,5496,5681,36106,6300,132,75277
SED10030,1790,3600,1630,983,2123,565,18,10708,1136,2408,1610,1067,2518,579,14,9344,682,1200,774,644,2114,487,9,5910,283,316,158,121,1222,392,6,2494,12438,18381,8685,6229,15923,4219,91,65952
SED10031,1972,3882,1951,1215,1919,807,11,11767,1247,2742,1992,1576,2253,728,11,10561,690,1228,902,767,1680,550,4,5829,202,278,132,125,974,263,0,1973,12956,19296,9558,6826,13985,5331,78,68025
SED10032,1158,2059,1119,977,3470,739,42,9559,776,1371,796,649,2504,434,60,6581,433,688,356,279,1562,289,18,3626,170,191,93,45,784,119,9,1410,11526,15719,7595,7004,32900,7796,228,82764
SED10033,1408,3232,1858,1351,1762,425,4,10043,823,1843,1390,1273,1814,334,9,7473,468,856,617,582,1368,257,0,4148,153,182,108,87,713,148,0,1395,11815,17460,9000,7518,13969,3099,66,62931
SED10034,1519,3546,1738,973,1325,213,10,9323,815,2201,1584,986,1568,182,15,7349,497,945,652,514,1383,274,8,4271,193,251,124,68,685,465,0,1782,12916,19392,9382,6053,12025,2010,54,61824
SED10035,1540,2635,1115,622,2223,526,119,8787,884,1494,757,517,1851,336,61,5895,493,717,387,258,1263,225,27,3372,177,215,78,66,660,96,0,1301,22665,29589,8913,5037,30913,6750,810,104673
SED10036,1315,2581,1436,1100,3088,420,18,9947,810,1390,900,732,2267,338,30,6462,478,601,376,291,1415,382,9,3555,118,126,62,36,754,379,3,1481,12164,15624,7783,6781,23523,4470,108,70449
SED10037,1646,3866,1955,1114,1581,200,44,10399,891,2358,1639,1084,1507,249,65,7808,570,1169,815,620,1213,214,24,4623,199,252,132,112,679,188,3,1565,13766,20772,10502,6617,13580,2034,201,67473
SED10038,1565,3462,1848,1033,1745,261,9,9928,906,2184,1601,1038,1967,281,8,7981,592,1050,775,612,1684,361,3,5074,253,318,180,133,1137,352,3,2373,13329,19497,9737,6422,14479,2924,60,66450
SED10039,1729,3667,1912,1214,1811,450,20,10799,1104,2841,2060,1427,2135,463,17,10038,595,1199,846,772,1757,365,4,5536,234,328,179,118,965,370,0,2202,11947,18606,9436,6846,13907,4031,76,64843
SED10040,1443,2777,1662,1216,3030,526,56,10708,986,1795,1248,884,2754,482,52,8201,572,984,546,373,1846,470,19,4808,284,302,144,75,1233,499,0,2541,13382,17369,8531,6437,28817,5159,246,79945
SED10041,1541,3587,2056,1123,1332,246,56,9941,1002,2388,1571,993,1468,217,69,7700,704,1486,1001,641,1406,263,28,5530,360,526,246,195,1597,352,3,3275,14402,20695,10893,6817,14772,2300,258,70128
SED10042,1589,3459,1787,1138,2098,353,10,10426,1051,2499,1909,1380,2564,426,10,9833,679,1280,988,800,2100,489,3,6341,264,368,153,134,1293,323,0,2536,12060,18101,9222,6552,16024,3148,50,65158
SED10043,1197,2026,1058,1155,3867,751,34,10093,832,1260,865,644,2991,502,26,7118,510,645,353,261,1943,360,3,4084,215,190,106,48,943,218,5,1728,10703,12866,6328,7081,31008,6542,177,74707
SED10044,1604,3487,1721,865,1564,413,47,9703,1088,2287,1405,845,1522,451,44,7637,605,1160,738,396,1248,506,15,4663,275,323,163,113,830,767,5,2472,15891,22804,9745,5800,15150,4110,230,73740
SED10045,1970,4021,1924,1214,2205,1010,21,12365,1206,2837,1951,1537,2318,941,0,10790,532,995,742,693,1552,571,8,5082,234,258,128,111,912,461,5,2111,11481,17941,8945,6539,13266,6254,269,64705
SED10046,1414,2175,1160,1115,4648,899,32,11448,799,1104,635,552,3104,604,29,6824,384,458,219,208,1647,399,10,3318,107,100,46,42,609,163,6,1069,11432,13484,6189,6495,32560,6692,142,76991
SED10047,1451,2595,1333,1143,3351,734,61,10667,917,1571,1034,970,2891,561,60,7998,503,687,413,324,1656,353,5,3935,112,138,72,51,475,206,0,1062,14412,20718,9716,9054,28875,8056,198,91027
SED10048,1652,3012,1681,1375,3465,495,65,11736,1008,1778,1170,933,2889,368,66,8217,454,546,360,307,1402,380,15,3464,121,110,57,41,491,280,4,1097,14173,20023,9662,8899,28267,5118,228,86368
SED10049,1582,3180,1597,962,2106,357,16,9795,906,1955,1482,1138,2231,299,10,8019,455,833,590,541,1611,297,4,4337,185,213,110,96,685,214,4,1499,13764,20152,9368,6714,17352,3075,72,70493
SED10050,1867,3780,1651,687,1200,260,28,9476,932,2087,1198,581,1189,190,20,6209,561,963,611,366,1087,144,6,3735,232,279,137,92,708,113,3,1564,16293,22109,8668,4871,12308,2333,213,66791
SED10051,1719,3075,1495,844,2141,600,34,9903,1007,1975,1091,676,2350,499,36,7636,678,991,595,418,1769,475,19,4946,289,300,119,80,876,400,0,2065,15078,19617,8144,5055,18791,5280,194,72161
SED10052,1577,3257,1673,956,1795,288,17,9562,1007,2156,1487,903,1956,313,18,7841,630,1179,775,549,1829,372,7,5338,275,372,191,124,1251,440,7,2654,13377,18742,8934,5871,15325,2914,95,65247
SED10053,2139,4257,1792,1003,1861,861,29,11933,1094,2216,1357,1005,1759,576,19,8025,496,889,571,484,1116,320,0,3884,167,192,83,72,592,133,0,1252,16251,22806,9170,5762,14348,5336,227,73903
SED10054,1340,2314,1223,1066,3730,605,37,10313,723,1190,748,745,2920,442,29,6806,322,409,233,206,1449,279,16,2918,94,80,32,22,700,246,0,1184,11019,14386,6787,6757,28068,5733,162,72911
SED10055,1550,3104,1695,1286,2592,361,13,10604,853,1568,1019,859,2146,247,16,6703,333,488,297,269,981,114,3,2488,96,97,50,36,424,22,4,713,13065,17219,8242,6996,19849,2808,67,68250
SED10056,1943,3417,1633,1102,2712,1056,26,11887,1233,2173,1415,1245,2955,968,5,10003,644,1041,730,765,2010,687,4,5885,224,284,169,121,1129,426,0,2354,12575,16909,8055,6344,18924,7352,280,70438
SED10057,1751,3587,2008,1340,2373,727,10,11801,1348,3172,2399,1905,3294,900,9,13026,811,1459,1095,1065,2723,739,6,7899,308,362,206,191,1497,525,3,3094,10186,16522,9199,7148,16362,5136,60,64611
SED10058,1870,3446,1465,671,1853,448,20,9770,1085,2269,1419,783,1950,435,21,7956,516,889,574,399,1517,328,8,4226,225,238,108,53,908,313,0,1858,15309,20960,8071,4407,14483,3827,124,67188
SED10059,1334,2640,919,395,1474,602,27,7393,671,1308,634,286,1306,534,20,4764,350,483,235,153,929,414,8,2566,146,119,41,31,408,284,0,1033,17968,23441,6559,2851,15549,5627,322,72309
SED10060,1937,3428,1375,602,1181,343,38,8905,1290,2660,1291,600,1338,299,50,7527,806,1466,788,400,1185,284,15,4958,259,353,149,90,730,189,3,1772,16463,23163,8032,4140,12306,2978,258,67347
SED10061,1727,3131,1611,989,2266,1144,9,10878,1121,2201,1502,1231,2270,910,9,9238,604,1076,680,751,1908,726,4,5752,214,272,136,140,854,349,0,1964,11133,16485,7984,6074,15333,8334,125,65474
SED10062,1583,3088,1736,1137,2295,330,25,10196,927,2117,1385,932,2059,302,39,7757,612,1005,686,467,1507,304,10,4591,278,336,157,113,1040,404,3,2327,12609,17038,8489,6087,17662,3098,150,65122
SED10063,1728,3098,1441,876,2136,657,19,9954,1112,2021,1404,1105,2328,543,7,8518,575,993,699,589,1872,435,5,5166,229,272,151,113,1044,271,0,2080,12402,17323,8256,5871,15934,4668,89,64536
SED10064,1783,3867,2116,1459,2455,854,12,12542,1359,3057,2282,1792,3104,901,5,12500,689,1250,946,946,2171,634,3,6635,246,293,176,151,1200,296,0,2362,10515,16803,9301,7476,15255,6146,79,65584
SED10065,1530,2860,1546,1151,3237,584,75,10977,867,1689,1104,814,2578,388,78,7517,490,739,440,331,1481,255,14,3753,205,201,100,96,850,184,6,1646,15319,21676,10051,7770,30516,5848,335,91511
SED10066,1448,2790,1387,893,2105,488,11,9125,876,1869,1298,947,2210,482,22,7711,472,764,513,433,1577,524,3,4298,165,179,76,76,719,376,3,1595,13065,18500,8221,6231,17491,4981,111,68603
SED10067,1888,4212,1923,891,1233,339,18,10505,1227,2889,1822,930,1545,312,13,8739,774,1534,993,655,1524,387,5,5870,300,382,192,148,1257,488,3,2761,13400,19394,9220,5471,11294,2806,120,61696
SED10068,1917,3978,1856,1119,2218,557,17,11671,1550,3529,2549,1719,3113,620,11,13090,897,1786,1285,1052,2838,647,7,8505,374,402,226,206,1526,517,0,3249,12824,19735,9743,6658,16100,4039,102,69194
SED10069,1734,3675,1910,1184,2149,470,15,11134,1295,2930,2090,1622,2825,526,3,11297,748,1471,1012,894,2222,558,3,6906,249,286,162,123,929,330,6,2078,11189,17428,8885,6713,15267,3587,53,63137
SED10070,1291,2348,1360,1161,3135,455,33,9789,912,1667,1124,1059,2974,476,37,8248,561,764,486,424,1967,369,7,4577,180,190,96,54,947,349,0,1814,11071,14632,7600,7047,25926,4452,132,70853
SED10071,1436,2842,1500,1108,2411,385,118,9802,821,1504,979,740,2066,243,129,6479,344,500,286,213,1059,128,25,2553,83,82,42,21,420,50,4,698,16676,24622,12207,9172,24361,5124,330,92491
SED10072,1477,2601,1321,872,2897,538,46,9742,957,1808,1055,732,2514,421,42,7528,644,1052,576,416,1868,437,13,5004,281,276,171,94,1004,457,4,2277,14227,19019,8061,5826,26951,5666,246,80003
SED10073,1560,3254,1816,1124,2470,493,85,10811,1008,2128,1426,978,2343,330,91,8304,590,973,627,406,1551,274,11,4441,289,352,163,137,1125,213,0,2290,15895,22457,10179,6869,24394,4255,350,84393
SED10074,1282,2712,1422,974,2041,469,48,8943,855,1716,1294,1003,2125,441,53,7480,544,1001,635,459,1551,433,14,4633,211,249,135,66,849,319,5,1827,12149,18171,9067,6729,19525,4510,175,70325
SED10075,1640,3202,1787,1313,2615,392,16,10972,965,2189,1559,1303,2760,383,11,9170,588,1110,760,678,2074,433,6,5658,216,270,134,99,960,331,4,2001,13190,18837,9440,7293,19079,3563,59,71466
SED10076,1687,3756,1971,1198,2186,631,4,11439,1329,3244,2329,1717,3023,607,3,12249,665,1395,1016,951,2542,552,9,7129,294,353,174,139,1289,280,0,2528,10994,17600,9163,6831,15510,4388,66,64553
SED10077,1444,2848,1587,1117,2841,429,66,10329,846,1705,1151,867,2249,316,55,7194,560,851,525,388,1635,333,21,4318,291,307,152,96,1128,302,4,2263,15611,20077,8854,6490,31317,5392,356,88087
SED10078,1450,2964,1349,710,1944,382,36,8835,884,1715,958,574,1864,290,23,6305,559,826,455,310,1566,258,0,3981,231,230,131,69,1247,160,0,2065,14915,21834,8095,4312,16676,3435,144,69414
SED10079,1602,3312,1657,1037,2219,354,3,10195,1055,2447,1833,1282,2783,439,9,9841,693,1249,931,738,2229,484,0,6328,244,319,161,122,1001,271,3,2112,11085,16606,8513,6016,15619,2965,43,60841
SED10080,1988,2993,1004,422,1946,852,162,9370,1170,1974,866,374,1709,545,94,6740,516,852,411,194,1124,419,21,3533,156,193,80,37,554,317,4,1340,19880,24168,6595,3172,27011,10545,1181,92551
SED10081,1615,3055,1483,940,2144,706,7,9957,1004,2005,1399,1203,2443,639,6,8705,600,1042,709,703,1841,637,0,5532,233,246,129,109,994,354,4,2072,11655,16798,8158,6039,16573,5602,95,64916
SED10082,1566,3883,1878,1090,1543,338,15,10309,1102,2750,1983,1369,2097,431,14,9748,745,1402,989,718,1850,514,8,6232,292,387,185,150,916,613,3,2541,12304,18846,9783,6595,12546,3202,85,63356
SED10083,1517,3124,1578,961,2040,383,17,9620,995,2249,1526,1037,2354,416,10,8590,594,951,647,544,1912,407,6,5066,229,266,164,113,1160,451,0,2388,11666,16835,8281,6080,15226,3590,53,61734
SED10084,2023,3806,1803,931,2275,605,9,11451,1489,3102,1996,1304,3112,582,29,11608,897,1504,1027,781,2716,623,13,7558,344,387,200,179,1739,434,0,3286,12830,18781,9163,5898,17067,4783,97,68614
SED10085,1675,3329,1815,1289,2076,733,10,10933,939,1930,1478,1472,2227,652,6,8690,477,860,589,591,1637,445,3,4612,168,222,102,101,830,191,0,1613,11262,17067,8600,7038,15071,5249,72,64362
SED10086,1753,2924,1161,578,1202,346,45,8014,1340,2239,965,455,1466,297,24,6791,765,1113,521,348,1303,354,15,4414,299,333,112,56,739,380,9,1929,16925,20116,6917,4061,14041,3915,319,66291
SED10087,1650,3150,1427,812,2003,566,9,9621,1018,1955,1245,967,2100,472,5,7767,531,906,597,494,1638,409,5,4579,228,248,138,106,989,269,3,1985,13333,18232,7950,5544,17038,4597,125,66819
SED10088,1762,3542,1662,798,1624,305,24,9708,985,2100,1161,692,1526,296,15,6778,685,1172,742,531,1404,294,10,4836,290,366,183,123,921,325,4,2217,14980,20191,8960,5339,14916,2737,136,67262
SED10089,1551,2932,1374,751,2051,446,25,9137,930,1903,1316,907,2225,504,23,7807,570,908,609,545,1829,599,6,5063,236,267,160,87,1244,567,0,2559,14573,19788,8457,5471,18565,4862,98,71824
SED10090,1612,3538,1640,829,1470,234,68,9401,1151,2407,1421,787,1572,232,63,7633,698,1059,650,391,1184,173,22,4183,292,348,158,111,1021,158,7,2096,15351,21968,9430,5620,15179,2461,362,70371
SED10091,1553,3345,1829,1280,1669,342,17,10031,1070,2493,1762,1489,1953,388,14,9174,670,1254,934,726,1634,410,4,5631,220,317,189,104,791,371,0,1999,12692,18783,9779,7721,14036,3336,88,66437
SED10092,1624,3091,1541,1031,2681,526,18,10502,988,2016,1323,989,2546,510,13,8394,661,1135,655,578,2025,505,0,5560,305,330,169,124,1111,464,0,2501,14103,19127,8268,6073,19909,4781,97,72367
SED10093,1394,2893,1522,1080,2337,472,18,9731,937,1848,1335,1057,2699,522,17,8410,498,931,629,576,2151,652,0,5439,201,226,99,101,1051,577,0,2265,11887,16764,8141,6816,18057,4651,65,66378
SED19797,4,5,0,0,3,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,3,0,14,0,3,38
SED20106,1897,3035,1019,447,1591,585,66,8635,976,1933,877,413,1333,371,36,5938,478,832,401,236,935,247,16,3141,148,162,60,48,416,126,0,959,17342,22468,6493,3331,17242,4932,370,72172
SED20207,1559,2794,1363,928,2467,425,74,9608,836,1533,960,702,2361,282,117,6784,374,636,385,273,1216,149,21,3061,141,132,68,52,631,79,0,1095,15323,21767,9822,7394,23911,4373,297,82899
SED20302,1865,3847,1805,1101,2587,572,50,11821,1252,2752,1933,1349,2784,649,38,10759,629,1151,800,703,1947,513,26,5776,168,224,144,115,959,337,3,1947,16209,23872,11335,8781,23900,5545,186,89829
SED20401,1359,2517,1126,602,1516,249,29,7394,715,1601,1039,701,1617,248,17,5947,444,731,508,374,1253,273,12,3591,180,211,90,63,807,331,0,1682,11102,15224,6561,4369,12952,2537,85,52827
SED20508,1652,3642,1781,987,1466,393,4,9922,1255,3136,2251,1380,2113,496,4,10629,603,1269,973,820,1634,508,0,5806,210,255,182,142,878,393,0,2059,11181,17698,9091,5853,11268,3013,48,58155
SED20604,1525,3214,1599,859,1738,467,10,9414,986,2123,1455,1133,2062,472,10,8234,472,858,578,509,1433,350,0,4197,173,203,100,92,784,171,0,1525,11088,16429,7800,5364,12829,3714,85,57310
SED20704,1573,2823,1437,837,1597,445,4,8714,944,1911,1369,1031,1762,339,13,7369,447,811,603,537,1220,313,0,3939,195,201,140,118,806,197,5,1655,11708,16446,7846,5552,12408,3163,60,57183
SED20804,1387,2807,1394,806,1563,531,10,8491,911,2064,1425,1129,1878,502,9,7916,460,918,674,607,1472,491,0,4623,203,205,117,127,790,462,3,1912,9670,14937,7082,5193,11751,4476,42,53148
SED20906,1412,2805,1146,592,1411,230,33,7621,790,1509,880,537,1343,207,38,5300,446,737,446,303,1119,216,7,3278,283,275,152,88,883,137,0,1816,12028,16132,6767,4028,12579,2029,138,53703
SED21001,1356,3004,1433,724,1495,253,61,8320,889,1929,1257,671,1426,267,41,6476,575,1017,705,396,1233,301,8,4233,291,413,211,130,1188,354,3,2586,13091,17615,7816,4439,16152,3091,274,62472
SED21106,1616,3223,1389,599,1090,246,21,8183,956,1973,1119,560,1171,232,19,6020,565,986,598,336,1054,244,5,3783,215,295,143,103,918,240,0,1912,12316,16276,6652,3574,9867,2277,126,51095
SED21203,1009,1426,723,696,3312,582,14,7756,561,848,526,401,2383,342,10,5072,390,528,280,234,1710,310,4,3455,176,161,83,65,869,132,0,1489,8527,9947,4337,4571,26004,5397,91,58875
SED21303,1095,2396,956,480,1251,221,26,6430,631,1257,707,399,1217,209,15,4436,411,572,361,255,1068,204,4,2870,205,224,111,58,756,153,8,1514,16431,22517,6946,3442,12535,2606,132,64607
SED21401,1345,2608,1321,909,1858,232,53,8332,873,1835,1226,885,1910,196,49,6967,753,1333,964,698,1853,278,19,5899,369,425,246,160,1356,209,0,2772,11407,14659,7034,5091,16288,2073,216,56767
SED21503,1091,2121,964,677,1726,250,4,6847,731,1406,856,656,1721,224,24,5624,464,733,493,368,1344,173,4,3579,188,222,123,70,758,130,0,1493,10439,13601,5804,4126,14812,2391,112,51278
SED21608,1380,2654,1434,834,1606,388,11,8300,761,1741,1248,1055,1768,404,3,6984,392,604,465,470,1204,320,0,3456,144,169,104,60,581,204,0,1261,10494,15237,7334,5313,12061,3391,41,53866
SED21706,1301,2933,1405,679,1224,223,24,7789,749,1833,1102,601,1286,205,42,5817,464,868,504,369,1159,185,10,3553,233,291,163,86,1086,198,5,2063,12566,16786,7213,4095,13806,2413,182,57050
SED21805,1583,2861,1129,594,2129,345,13,8654,887,1681,941,590,2051,238,15,6403,403,655,401,291,1376,304,6,3437,146,143,72,65,728,168,8,1332,12073,16301,6497,4310,15051,2772,64,57072
SED21906,1389,2623,1012,406,1064,255,24,6768,1152,1989,915,493,1499,277,20,6344,511,721,365,245,1104,226,6,3187,192,252,132,64,924,203,0,1776,13691,17602,6033,3244,12528,2868,139,56110
SED22005,1160,2125,1027,694,2452,341,30,7832,836,1449,904,669,2289,406,34,6584,618,835,527,369,1734,397,15,4487,250,266,130,98,1300,328,4,2365,11819,14755,6416,4432,23123,4052,177,64776
SED22105,1597,2661,1168,771,3335,470,82,10088,837,1442,844,617,2429,296,75,6555,406,571,315,240,1448,181,21,3187,98,119,72,54,681,109,5,1135,17273,22274,9666,8001,32500,5015,251,94982
SED22201,1339,2610,1097,565,1342,217,15,7182,830,1688,1122,695,1453,154,15,5960,446,882,568,446,1222,206,0,3771,201,241,120,76,702,215,0,1548,10781,15054,6498,4049,11640,1870,70,49963
SED22305,1111,1706,836,672,2966,615,32,7943,722,1225,732,570,2521,465,36,6266,448,599,346,306,1685,343,6,3721,184,206,84,68,848,182,0,1569,9988,11624,5060,4544,25787,5693,158,62847
SED22404,1518,3362,1702,1010,1523,716,5,9831,972,2182,1595,1286,1699,594,5,8328,457,803,616,615,1280,378,8,4149,125,184,106,81,701,107,0,1301,9679,15056,7676,5642,10184,4376,70,52679
SED22501,1344,3167,1488,772,1073,161,9,8019,877,2096,1404,878,1241,181,7,6703,389,803,561,402,909,148,3,3220,134,143,87,69,473,116,4,1018,10446,15484,7474,4422,8659,1291,48,47820
SED22607,1397,2811,1251,645,1463,330,11,7910,756,1637,991,593,1437,227,12,5656,341,653,383,292,998,156,3,2828,178,218,91,50,776,107,0,1414,13334,18137,6856,3897,13461,2759,113,58551
SED22704,1570,3212,1680,1147,1971,864,9,10463,1094,2296,1612,1432,2407,731,3,9580,529,967,741,707,1757,545,6,5246,185,220,124,130,996,252,0,1912,9893,15048,7633,6121,13369,5304,41,57414
SED22802,1287,2548,1173,734,1283,217,11,7249,713,1559,1085,796,1373,152,8,5677,362,765,489,452,1022,139,5,3240,138,178,85,76,407,56,0,940,10595,14568,6463,4634,10756,1645,43,48705
SED22901,1231,2519,1161,750,1576,196,26,7469,842,1798,1138,814,1801,217,27,6642,451,717,487,372,1285,271,9,3598,196,210,97,54,816,264,3,1643,10526,13818,6145,4272,12994,2016,114,49890
SED23007,1244,2046,966,756,2626,512,36,8189,658,1245,719,576,2307,397,30,5930,432,521,321,249,1460,305,6,3300,172,193,80,57,724,227,0,1450,13481,17996,6616,4546,23198,5196,182,71217
SED23101,1150,2371,1168,718,1437,180,31,7049,762,1752,1198,800,1568,240,51,6366,618,1146,853,554,1477,288,13,4945,273,334,176,110,1051,314,3,2260,10411,13702,6774,4406,13719,2048,161,51217
SED23205,1247,2522,1046,558,1704,473,6,7556,784,1616,1041,660,1805,394,7,6309,435,726,560,385,1419,367,4,3897,184,224,103,95,815,397,0,1819,10192,14470,6157,4168,12903,4037,58,51983
