SED_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
SED55306,115,124,237,57,53,111,62,171,235,54,319,376,208,767,976,229,601,821,780,403,1189,645,418,1063,864,419,1289,907,325,1225,644,216,853,657,175,825,1401,301,1699,1069,72,1146,802,107,910,495,30,524,1217,219,1428,1460,115,1579,129,228,357,11779,5067,16845
SED55405,108,276,389,31,112,141,39,267,301,61,523,580,150,983,1136,189,768,959,442,465,905,437,606,1044,512,722,1231,736,607,1342,553,547,1105,608,403,1011,1396,888,2283,1099,176,1278,1004,253,1266,703,81,787,2117,358,2477,887,378,1268,74,207,278,11159,8614,19773
SED55504,110,114,225,38,37,76,54,89,140,64,198,261,154,501,654,208,449,659,574,240,814,566,304,872,663,334,1003,840,271,1113,674,248,921,792,166,960,1769,303,2067,1550,35,1580,1235,62,1295,743,13,759,1688,83,1771,1512,59,1572,152,147,297,13390,3650,17044
SED55605,94,105,199,36,30,68,51,86,137,67,184,248,178,452,627,256,296,551,629,195,827,630,231,862,639,295,939,730,252,977,703,237,941,705,183,895,1681,358,2033,1350,33,1380,1195,76,1271,711,8,720,1714,63,1778,1776,91,1865,142,74,213,13271,3257,16529
SED55706,126,167,291,67,122,194,80,251,339,65,427,491,292,1054,1351,279,640,910,896,434,1328,750,521,1276,889,491,1379,943,307,1249,610,243,852,698,177,873,1284,315,1595,939,70,1002,663,102,761,356,38,393,767,201,967,1374,114,1484,144,293,437,11211,5961,17168
SED55802,95,127,222,44,46,89,40,93,134,36,168,208,161,418,576,211,248,457,610,189,801,562,275,841,804,388,1197,920,377,1294,877,295,1175,887,239,1129,2173,358,2531,1688,58,1743,1167,65,1240,762,19,782,1450,71,1526,1434,93,1532,129,96,224,14065,3627,17695
SED55905,107,159,269,48,59,106,67,192,263,70,338,403,191,911,1097,203,483,689,631,293,924,511,366,880,607,432,1039,679,346,1027,546,294,838,583,246,823,1333,385,1723,1062,41,1106,960,96,1059,653,19,671,1464,113,1575,904,114,1018,102,180,281,10720,5068,15788
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,13,13
SED60105,29,88,125,23,42,65,21,112,127,32,214,246,107,606,713,120,453,571,394,293,688,374,348,724,474,375,850,542,270,808,408,214,624,382,165,546,884,198,1077,599,38,639,491,53,543,294,18,310,697,117,821,386,57,442,55,127,176,6303,3790,10092
SED60106,23,27,53,11,14,29,15,48,61,20,104,119,77,286,361,66,151,217,248,92,336,174,101,277,176,94,271,227,52,280,127,59,183,115,34,149,216,33,250,145,8,150,93,9,99,55,9,61,91,26,117,158,9,169,27,84,113,2064,1231,3293
SED60113,70,110,180,47,39,91,33,135,167,70,319,388,185,950,1132,224,553,771,806,378,1188,723,469,1198,761,455,1216,926,312,1242,633,254,891,659,186,841,1400,245,1642,955,50,1008,725,48,777,448,12,457,885,86,970,714,50,768,87,163,251,10344,4823,15172
SED60115,98,152,246,43,71,113,64,266,334,87,520,614,285,1113,1406,339,678,1023,977,384,1363,859,501,1360,947,454,1398,1002,316,1312,682,200,881,636,160,791,1266,201,1462,732,57,784,490,56,545,282,14,298,539,60,601,661,99,762,137,249,392,10126,5552,15676
SED60207,99,131,229,40,64,106,54,190,245,81,410,493,234,1231,1462,299,668,971,1137,386,1517,870,465,1339,831,462,1299,976,299,1275,700,237,931,681,162,852,1283,216,1498,850,27,879,572,40,610,333,12,347,576,72,650,722,55,781,153,263,414,10493,5409,15892
SED60208,51,98,146,50,37,91,36,169,208,46,342,392,209,1060,1271,224,548,778,944,321,1271,659,362,1023,726,350,1072,858,181,1039,572,178,750,570,151,718,1096,165,1262,732,25,754,525,22,547,301,4,309,538,45,578,747,32,779,128,232,352,9010,4331,13336
SED60209,80,150,226,40,63,108,56,238,290,85,516,599,294,1271,1562,302,718,1017,996,389,1382,732,473,1208,790,481,1272,887,319,1203,614,268,884,625,204,824,1258,289,1546,861,40,899,569,62,626,292,12,305,624,123,751,856,55,908,125,287,404,10076,5948,16018
SED60301,29,49,74,11,13,27,22,67,85,12,168,183,81,475,557,119,275,400,296,178,467,306,198,506,352,198,553,411,141,552,275,107,387,295,59,359,634,86,721,444,23,464,281,18,301,159,9,164,249,25,266,256,27,284,46,107,149,4288,2201,6494
SED60302,57,127,182,25,51,82,36,210,246,60,384,446,190,1102,1295,245,582,828,619,382,999,639,467,1104,727,507,1230,876,338,1218,625,304,932,627,189,818,1289,284,1580,916,62,982,659,68,722,371,22,393,619,92,711,606,104,712,110,201,312,9301,5480,14777
SED60303,68,142,212,36,60,93,36,165,201,34,281,313,93,666,761,135,549,681,275,421,691,350,459,806,476,483,960,604,469,1068,441,390,834,497,344,847,1083,566,1653,868,136,1000,814,190,1009,633,60,693,1738,305,2045,541,191,734,31,156,184,8750,6049,14796
SED60304,0,0,0,0,0,0,0,0,0,0,5,4,0,6,3,0,0,5,5,4,5,3,4,10,4,0,7,4,4,6,8,0,5,9,0,6,18,0,19,14,0,11,13,0,13,3,0,3,6,0,6,14,0,14,0,0,0,108,19,127
SED60310,55,87,138,28,38,60,18,74,93,18,117,136,52,257,307,83,255,333,168,242,412,186,222,409,286,268,559,394,203,589,302,194,496,299,126,426,646,210,855,504,45,548,367,57,430,319,23,339,1218,126,1339,373,95,464,25,51,74,5333,2695,8028
SED60404,79,106,188,49,45,92,45,123,167,61,255,311,196,759,962,237,403,642,742,318,1060,642,359,999,793,321,1115,891,213,1107,630,196,828,668,117,785,1281,166,1450,948,25,977,671,52,723,420,14,434,856,63,921,740,40,782,106,151,260,10056,3751,13800
SED60410,35,48,82,11,18,28,21,50,67,20,114,135,67,364,434,78,266,347,220,154,380,265,170,430,326,208,530,372,113,485,266,121,388,281,90,370,550,129,679,442,26,468,329,31,360,228,13,243,455,33,491,274,36,309,26,51,77,4264,2040,6302
SED60411,54,87,142,27,37,63,31,119,145,27,269,298,139,728,870,155,499,654,456,353,809,497,386,884,624,361,987,751,281,1037,536,289,820,556,191,750,1134,294,1425,860,55,910,734,75,804,519,16,531,1076,71,1149,515,52,561,64,150,209,8740,4308,13051
SED60414,54,51,105,25,19,42,18,63,84,37,158,192,129,464,592,175,270,447,447,189,640,420,246,663,523,313,836,580,183,764,448,179,625,441,118,563,1051,140,1189,762,27,798,603,32,636,358,7,361,833,43,874,505,29,536,54,70,123,7474,2604,10079
SED60501,50,66,110,21,20,42,46,107,158,63,263,326,204,647,849,233,252,488,586,181,768,458,207,670,527,213,743,556,138,696,369,112,480,377,60,436,687,74,760,386,11,397,244,19,263,131,7,139,238,38,278,470,18,492,92,165,263,5743,2607,8348
SED60505,19,20,46,12,15,32,6,36,44,12,75,92,41,278,319,51,153,205,232,100,328,178,109,287,207,107,319,247,62,312,181,63,250,176,43,216,405,54,459,316,7,322,254,10,261,134,0,141,269,20,290,192,9,201,21,33,57,2962,1200,4165
SED60506,83,107,196,43,65,110,47,162,212,65,360,420,239,1071,1307,255,548,797,937,338,1276,717,408,1130,734,328,1059,808,224,1033,536,146,682,563,106,668,1007,138,1147,635,28,664,410,31,439,192,9,207,393,68,457,653,32,681,134,177,313,8443,4350,12796
SED60508,19,18,34,6,8,15,8,18,27,7,53,62,33,141,172,31,57,87,137,32,168,107,56,161,116,48,161,141,30,175,86,28,122,82,19,105,165,9,173,118,0,117,76,3,80,48,0,52,72,5,83,116,9,119,18,20,42,1386,568,1955
SED60512,73,126,199,39,57,95,41,134,179,65,321,386,221,1006,1224,259,483,741,883,319,1203,722,400,1118,756,401,1151,884,267,1153,624,205,827,649,156,809,1189,191,1382,865,36,895,529,42,575,277,14,293,511,95,603,770,52,822,132,196,325,9491,4500,13992
SED60514,17,18,36,5,10,16,6,20,30,10,54,71,43,178,221,51,98,149,202,60,263,170,95,262,188,112,298,243,70,315,186,64,248,194,39,227,440,52,497,363,13,374,218,15,238,133,0,134,232,14,249,175,8,177,26,21,49,2898,951,3845
SED69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED70001,3,14,16,52,18,70,58,38,96,20,16,38,92,23,114,52,27,78,111,30,145,111,43,149,135,58,194,117,70,185,73,60,134,76,68,145,123,131,254,69,45,114,47,35,77,34,44,78,50,88,138,162,9,177,54,117,169,1443,924,2365
SED70002,14,29,46,3,9,16,7,28,33,15,40,55,27,66,90,21,57,80,48,50,96,50,75,129,83,104,188,108,114,221,93,116,213,97,87,187,316,153,472,308,28,338,250,48,298,165,10,175,494,76,574,232,51,280,21,35,58,2361,1175,3539
SED70003,0,26,26,27,12,41,54,31,90,22,24,42,68,30,101,49,27,78,101,55,151,101,56,159,108,84,191,112,71,188,87,72,163,88,66,156,142,162,304,122,44,165,100,68,173,63,22,84,96,100,196,126,12,138,27,194,219,1500,1163,2667
SED70004,13,42,51,17,11,30,25,53,78,17,56,74,62,92,156,44,62,105,109,120,230,118,108,224,98,164,259,119,144,261,81,123,202,78,108,191,124,191,323,100,64,171,71,68,139,50,24,72,96,98,197,166,26,196,62,183,247,1444,1750,3197
SED70005,13,24,41,3,3,9,9,19,29,14,59,75,21,81,97,34,45,83,58,22,78,61,57,117,76,77,151,97,67,168,102,62,163,109,48,156,304,79,375,237,19,260,209,24,233,139,6,148,333,30,358,269,18,289,22,29,44,2103,763,2868
SED70006,18,24,42,4,12,11,0,27,28,9,47,53,26,94,116,30,76,102,39,58,98,65,85,151,100,127,230,111,128,236,100,106,206,92,77,169,252,137,384,235,22,259,234,54,289,141,21,163,348,68,412,211,69,281,16,74,87,2023,1293,3313
SED70007,14,26,39,6,3,7,4,10,11,11,26,33,15,46,63,18,31,48,38,26,66,48,46,90,94,74,168,110,66,178,124,72,193,133,64,200,357,90,444,297,20,323,242,11,260,195,6,202,344,22,361,242,34,272,5,17,24,2289,692,2979
SED70008,11,31,44,0,9,9,3,18,26,12,59,71,27,65,91,29,50,76,55,63,119,43,92,136,75,70,144,97,80,176,87,75,159,92,49,138,280,100,373,258,16,267,229,25,246,157,7,163,471,58,528,268,39,301,17,65,75,2203,959,3158
SED70009,16,70,83,34,26,60,59,34,99,34,86,123,85,166,251,48,88,134,133,133,261,104,147,248,122,145,263,109,145,252,68,87,162,87,96,191,165,186,348,134,63,200,110,75,185,68,31,102,145,126,267,279,37,319,51,210,261,1856,1956,3813
SED70010,12,26,34,5,4,13,15,30,41,23,122,142,42,140,186,44,55,101,93,44,138,78,72,145,126,115,237,143,85,216,90,74,166,113,60,174,292,92,388,184,9,197,180,17,197,84,5,85,220,12,228,227,30,258,22,32,55,1981,1020,3000
SED70011,9,31,43,0,8,13,7,38,44,10,79,87,25,100,129,18,57,82,64,57,113,48,71,120,75,79,152,112,100,213,82,81,162,93,87,180,242,197,437,179,38,218,179,58,232,116,23,141,509,97,609,188,51,244,13,36,48,1969,1291,3262
SED70012,9,30,39,4,10,10,12,31,39,3,64,68,17,65,79,12,56,69,27,68,95,26,102,128,49,120,170,77,156,230,66,116,182,96,119,212,248,220,468,235,70,305,206,59,266,162,35,201,473,129,601,227,76,297,22,114,130,1963,1625,3584
SED70013,15,41,57,7,18,24,4,32,37,8,40,49,25,89,115,24,46,70,66,64,127,61,100,164,92,108,200,118,86,205,89,77,166,98,58,157,235,98,332,199,20,216,229,37,259,176,14,189,490,54,547,324,32,355,40,154,193,2312,1161,3468
SED70014,0,23,18,12,14,27,37,26,60,12,32,45,96,31,131,47,44,94,98,93,190,107,104,217,81,161,244,107,124,229,83,94,178,63,87,145,103,143,247,76,33,111,42,55,91,23,17,39,36,86,118,114,12,125,52,129,176,1184,1302,2484
SED70015,15,22,39,8,7,12,14,27,37,19,60,76,25,119,145,41,52,94,73,49,124,82,87,169,113,96,210,124,90,214,126,49,176,121,62,178,292,113,406,208,20,231,198,27,229,145,8,154,304,53,356,199,46,246,31,36,65,2135,1020,3157
SED70016,19,27,47,3,12,14,16,33,45,27,61,86,44,102,150,54,61,116,84,44,135,93,53,148,115,66,182,126,53,178,105,62,160,102,54,153,259,62,321,184,13,194,163,15,177,122,7,127,235,20,255,214,20,235,21,28,53,1994,797,2785
SED70017,14,40,53,6,8,14,10,45,51,19,58,76,46,117,163,35,57,86,66,89,154,73,103,179,76,157,229,111,112,222,69,100,173,76,88,164,208,183,388,191,50,242,187,57,249,121,26,147,257,107,362,221,38,263,33,66,99,1818,1506,3325
SED70018,0,0,5,3,5,14,11,9,18,14,11,27,36,15,54,23,7,31,51,10,63,60,22,80,85,34,120,81,47,127,62,54,118,90,42,138,141,103,246,142,20,162,132,15,147,92,12,106,189,32,219,189,11,207,25,57,85,1452,505,1956
SED70019,15,58,72,10,25,34,34,61,88,20,62,77,76,113,192,49,88,131,114,119,233,111,142,252,111,184,296,122,186,310,102,125,234,82,120,204,233,223,452,153,59,212,157,73,227,116,28,148,284,112,403,211,27,240,44,246,292,2055,2052,4111
SED70020,8,36,46,8,6,14,11,18,30,10,22,30,22,52,73,17,65,81,36,61,98,55,81,133,67,112,178,104,101,201,68,84,155,78,83,161,202,105,311,205,55,255,193,42,238,183,22,206,520,65,579,284,16,307,32,154,183,2094,1184,3271
SED70021,11,32,40,4,9,15,0,29,28,11,78,81,20,114,134,26,87,107,56,78,136,59,111,167,88,115,199,129,96,228,107,116,218,117,112,229,278,201,475,202,30,231,151,43,199,146,21,163,488,105,592,200,69,271,11,30,40,2102,1463,3573
SED70022,15,29,41,6,12,12,6,25,23,8,58,63,18,75,93,16,61,79,32,67,100,53,110,158,73,185,257,105,215,319,99,230,328,149,194,341,375,422,796,254,73,329,254,126,380,168,48,217,533,271,803,249,115,360,10,60,71,2417,2374,4787
SED70023,24,26,46,3,7,12,5,17,19,14,37,47,19,44,62,35,40,76,66,55,122,69,60,136,97,58,155,114,68,177,97,54,154,107,66,175,268,90,359,219,17,235,198,31,227,161,11,166,369,25,394,193,25,217,23,43,63,2082,773,2854
SED70024,8,26,29,0,9,12,4,9,9,5,22,28,12,24,35,23,24,50,40,42,80,37,43,77,83,71,151,97,95,197,108,94,201,138,76,218,435,123,566,408,20,429,336,29,363,288,8,292,562,25,584,369,41,411,16,23,50,2980,813,3787
SED70025,9,25,37,0,8,9,5,20,22,5,37,47,21,65,81,23,28,49,55,35,86,48,50,94,72,59,130,90,56,146,95,58,152,110,43,153,321,72,388,320,18,342,259,21,283,207,8,212,551,26,577,286,21,308,14,17,34,2484,659,3148
SED79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,7
SED80001,85,157,243,41,57,95,52,162,209,58,338,396,197,897,1093,235,473,708,584,478,1066,572,618,1190,907,706,1619,1196,678,1870,1134,714,1850,1160,595,1752,2865,983,3852,2558,88,2647,2553,194,2749,1941,47,1987,5405,264,5662,1229,97,1323,116,153,271,22893,7696,30585
SED80002,113,244,356,54,84,140,59,213,276,83,415,506,229,906,1138,287,647,937,656,705,1362,699,821,1526,1003,979,1978,1448,967,2416,1201,1039,2245,1321,884,2198,3173,1563,4732,2786,205,2997,2563,355,2920,2110,120,2236,5745,445,6184,1173,264,1442,107,199,306,24809,11062,35877
SED80003,109,279,385,43,110,154,50,302,356,46,520,571,136,965,1102,140,638,780,310,539,848,351,697,1047,551,965,1517,717,1281,2006,666,1438,2103,804,1326,2128,2060,3113,5178,1823,404,2221,1879,886,2764,1555,268,1822,7380,1717,9097,1021,415,1436,84,305,389,19732,16168,35901
SED80004,110,181,295,47,93,136,32,171,200,72,392,467,141,895,1037,194,628,823,444,629,1069,506,752,1257,736,920,1661,1154,841,2001,949,895,1840,1004,759,1764,2614,1517,4127,2162,134,2299,2220,349,2567,1833,94,1928,8124,656,8785,1266,140,1411,118,241,355,23727,10300,34022
SED80005,124,182,312,50,46,100,55,149,204,57,258,314,155,556,709,239,375,611,542,355,903,609,495,1104,841,607,1451,1173,672,1844,1161,780,1937,1201,651,1852,3315,1267,4584,2796,183,2986,2818,266,3088,2377,87,2460,7061,432,7498,1359,183,1537,119,124,243,26046,7678,33725
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED99191,8,14,23,7,13,23,6,14,18,12,36,43,20,80,99,21,50,67,50,53,104,55,55,107,64,60,123,72,50,122,63,33,96,72,38,109,127,36,166,97,0,98,75,19,95,57,4,60,94,18,111,97,8,102,26,30,56,1008,615,1629
SED99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
