SED_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SED10011,11,3,40,45,84,154,282,249,185,1057,7,3,24,27,25,22,31,12,12,156,131,81,227,286,310,311,337,339,224,2253,1596,3100,6692,8878,10081,10306,9774,4855,1637,56910
SED10012,15,45,235,550,930,1590,1422,876,475,6123,11,59,312,402,938,1591,1188,609,454,5564,326,303,708,641,661,674,529,368,280,4492,2558,6126,10956,9928,11123,11570,8198,3605,1679,65739
SED10013,18,20,100,175,254,544,847,599,299,2857,4,8,64,99,106,169,199,152,76,869,231,256,721,738,473,397,380,386,320,3907,3674,7674,21061,20467,15706,11480,8133,3949,1452,93607
SED10014,24,29,134,195,283,515,725,480,184,2575,8,7,66,62,96,148,151,99,43,683,354,414,865,846,632,527,567,493,208,4897,2536,5702,12219,11587,9596,9198,7627,3682,968,63112
SED10015,4,23,98,172,383,663,1324,1540,695,4908,5,30,138,143,233,383,474,560,348,2312,192,459,1187,917,728,634,533,499,404,5553,1984,6321,14918,13497,12773,10916,7661,5091,2330,75496
SED10016,7,11,13,40,66,125,390,331,187,1172,0,9,31,38,50,65,60,58,59,366,135,143,308,393,310,214,230,228,167,2125,2779,6259,10815,17053,14876,10637,8004,4085,1286,75789
SED10017,36,45,117,135,212,530,967,549,324,2919,4,6,30,23,33,47,50,28,19,243,226,380,1012,847,722,528,559,552,348,5165,2606,5201,12529,11343,10732,10008,8565,4116,1555,66654
SED10018,28,19,60,80,119,243,411,456,354,1767,5,4,13,13,23,33,25,33,31,182,132,140,357,316,293,299,340,343,254,2478,1883,4299,8978,9845,9787,8829,7280,5014,2195,58110
SED10019,33,16,85,109,234,482,934,929,572,3395,5,6,13,28,25,23,39,33,28,197,338,448,1061,1007,903,940,981,754,436,6875,1973,3612,7564,7752,9401,11851,12081,6743,2527,63499
SED10020,29,39,150,253,193,388,619,585,383,2637,9,16,132,99,73,83,66,24,23,533,257,227,693,607,596,613,621,673,523,4804,2083,3667,8887,9337,9887,10587,10384,5856,2328,63009
SED10021,8,6,33,30,36,67,172,308,208,868,0,7,19,33,23,31,35,50,56,246,152,196,1086,710,475,357,426,518,686,4609,1217,4076,17774,13407,10669,7922,5833,3715,1981,66593
SED10022,27,20,77,123,205,469,992,792,517,3216,0,7,24,26,23,42,47,37,16,222,290,387,863,865,852,892,896,693,306,6052,1889,3437,7417,7561,8732,10323,9772,5807,2244,57187
SED10023,6,0,15,26,48,98,254,285,235,967,0,4,10,12,16,27,33,40,24,170,104,96,343,315,308,248,252,223,212,2092,1887,4442,9012,9879,10952,10000,7860,4404,2060,60506
SED10024,0,8,11,21,39,66,182,211,153,695,0,0,16,30,27,39,57,40,43,261,84,72,120,196,216,204,232,294,249,1665,1819,4372,5345,10308,12579,9638,7636,5755,2449,59897
SED10025,0,7,16,32,59,167,518,811,566,2182,0,8,68,40,40,63,135,203,151,707,107,194,652,512,378,366,492,501,498,3701,1392,4228,12870,12532,10974,9620,7781,4695,2219,66298
SED10026,28,26,78,110,214,471,855,642,384,2807,4,4,23,23,16,40,50,47,15,228,411,436,1173,1054,893,864,782,654,343,6617,2298,4401,11579,9868,9704,10020,8147,4979,1819,62807
SED10027,6,5,71,146,218,526,733,713,447,2864,4,16,71,81,170,269,285,239,124,1247,227,221,593,568,422,410,406,429,484,3755,2304,5122,10254,11176,10555,9875,7171,4171,2149,62765
SED10028,0,5,15,22,46,114,248,210,174,838,0,14,55,57,63,92,90,61,67,503,86,109,327,349,212,211,269,402,524,2495,1844,5179,9402,12903,11689,10725,8127,4789,2798,67469
SED10029,36,99,500,943,1163,1509,1421,982,479,7127,11,99,527,696,1068,1550,1204,801,409,6363,422,410,942,918,842,843,695,511,373,5957,2821,6378,12442,11541,11945,11674,8164,4348,1876,71191
SED10030,17,21,64,85,150,353,544,514,338,2098,5,11,34,22,40,58,45,43,20,273,194,234,574,504,567,598,693,649,479,4484,1820,4165,9133,9904,10197,10682,9327,5889,2486,63602
SED10031,26,16,74,120,175,357,677,583,334,2354,5,7,21,28,30,35,36,43,24,230,265,316,750,684,794,840,813,663,420,5538,2167,4040,8820,9169,11012,11746,10548,5822,1974,65299
SED10032,6,49,338,432,531,676,926,764,373,4088,7,68,426,474,458,501,450,361,176,2926,432,720,2036,1517,914,743,506,385,182,7432,2488,7924,20214,16679,11020,9490,6508,3597,1396,79318
SED10033,23,25,86,75,139,332,602,484,294,2049,0,10,23,11,21,32,51,70,36,253,201,210,437,402,451,440,399,395,270,3196,2536,4879,9637,9077,10987,10030,7467,4143,1392,60145
SED10034,9,3,17,35,52,102,239,331,197,987,0,6,11,32,17,22,24,39,12,165,74,80,201,229,199,179,216,356,432,1973,1981,4330,8572,10618,10732,9309,7337,4266,1782,58933
SED10035,3,31,91,82,120,267,571,667,344,2161,3,36,148,72,80,136,208,219,131,1030,325,904,2331,1135,636,563,413,306,149,6749,2286,12474,35829,20426,11850,8653,5828,3342,1289,101970
SED10036,20,19,137,229,304,511,740,722,417,3090,11,28,116,179,208,316,286,223,105,1475,325,331,775,692,491,437,406,432,380,4264,2838,6169,11842,12627,11844,9911,6408,3539,1476,66661
SED10037,6,3,37,29,73,146,247,264,195,1001,0,3,45,54,78,74,82,91,51,484,88,108,253,310,297,206,283,271,187,2013,1903,4669,8258,12208,12527,10346,7734,4594,1560,63798
SED10038,18,18,40,81,107,260,527,647,470,2165,0,12,21,46,42,35,57,76,61,359,276,274,315,352,322,277,379,515,493,3203,2411,5381,8953,10470,10840,9920,7956,5067,2370,63366
SED10039,17,12,65,71,108,285,632,514,356,2049,6,11,10,15,21,37,32,42,30,203,193,261,675,611,518,450,521,506,360,4086,2027,4089,9206,9053,9362,10777,10019,5528,2202,62257
SED10040,7,17,83,105,180,432,1003,1087,584,3492,0,33,142,133,150,227,355,323,248,1608,168,443,1067,684,514,521,566,585,604,5160,1861,7867,17240,13211,10815,10615,8129,4774,2538,77053
SED10041,0,0,9,25,46,81,162,147,156,614,0,4,38,62,51,59,56,37,39,348,106,114,279,330,248,248,281,370,465,2443,1875,4611,7988,12825,12392,9876,7624,5500,3270,65963
SED10042,37,20,73,114,154,397,637,552,419,2396,4,5,30,27,29,44,67,28,15,264,148,167,365,358,349,363,494,653,418,3307,2102,4356,8794,8768,9587,10417,9822,6332,2535,62710
SED10043,18,26,270,356,532,865,1160,996,464,4684,3,31,251,245,332,546,687,539,277,2908,405,494,1328,1077,803,766,607,421,253,6151,2693,6620,15045,13207,10548,10018,7061,4064,1721,70983
SED10044,7,6,23,34,38,109,243,371,244,1076,0,10,31,42,38,49,63,80,73,384,117,159,565,594,398,402,484,572,783,4080,1602,4657,13226,14570,12010,9640,7583,4644,2468,70403
SED10045,30,22,66,137,200,377,638,662,442,2560,4,9,15,21,24,32,34,25,25,191,377,340,689,801,858,1048,973,634,471,6200,2099,3571,7355,8575,10188,12342,10789,5073,2106,62089
SED10046,33,60,266,510,688,996,1170,728,271,4722,6,57,307,373,516,804,640,395,180,3280,396,529,1221,1190,893,956,673,471,171,6502,3108,7167,14235,13637,12212,11380,6779,3306,1064,72900
SED10047,30,48,193,244,388,755,1112,735,241,3749,5,16,78,120,160,160,181,139,58,925,551,678,1771,1611,1114,777,667,484,237,7884,3461,7565,19405,19746,13342,10587,7926,3920,1056,87004
SED10048,14,22,109,178,320,599,815,533,211,2805,10,21,85,112,149,260,232,159,80,1106,344,341,921,947,623,537,484,407,245,4847,2906,6889,16648,18496,12912,11652,8130,3441,1094,82167
SED10049,42,36,107,114,203,400,666,529,331,2438,0,6,28,34,47,55,41,29,16,243,189,201,529,480,360,369,383,377,247,3134,2638,5462,12870,11926,10907,9769,8010,4324,1502,67415
SED10050,3,5,19,23,32,69,129,187,154,617,0,0,15,30,28,22,29,36,28,188,106,116,468,413,356,249,213,196,149,2277,1507,3995,11973,12501,12533,9442,6182,3728,1563,63424
SED10051,5,4,54,74,131,251,585,731,426,2255,0,11,55,50,44,98,117,169,124,663,158,289,980,917,729,606,609,588,424,5308,1743,5229,12804,13053,11886,9853,7581,4910,2062,69123
SED10052,11,3,28,44,82,155,430,465,351,1577,3,9,24,29,40,44,88,94,65,391,118,127,349,404,356,302,344,472,500,2964,1831,4247,9285,10809,10826,9534,7805,5331,2646,62318
SED10053,27,13,94,66,147,302,558,553,254,2009,3,9,26,22,23,30,61,61,44,283,277,359,1011,832,802,854,645,367,153,5295,2210,5352,13072,12145,12935,11905,8004,3878,1253,70761
SED10054,22,36,180,263,358,664,912,579,214,3226,7,31,108,164,212,261,245,182,76,1290,432,481,1088,1005,799,624,585,435,421,5878,3063,6701,13257,13337,11698,10264,6758,2901,1175,69162
SED10055,16,20,69,138,233,449,819,579,229,2554,4,18,62,83,150,204,205,164,93,987,199,237,450,463,416,367,302,157,37,2623,2793,5828,11406,12347,11716,10585,6681,2480,712,64537
SED10056,34,36,138,180,318,615,1137,1106,599,4168,3,10,66,49,76,91,86,96,67,542,408,413,1096,960,1053,1147,1058,847,529,7505,2265,4196,10447,9559,10680,11857,9990,5880,2353,67225
SED10057,23,21,95,136,194,499,944,823,553,3292,0,7,9,11,24,27,32,33,30,177,259,243,509,540,600,797,1051,936,610,5547,1886,2969,6344,6914,8686,11784,13015,7888,3086,62569
SED10058,13,17,66,87,118,228,427,435,349,1732,0,8,20,38,44,45,45,56,36,290,168,341,630,489,503,468,506,415,368,3893,1617,6284,13238,10287,9844,9749,7940,4213,1858,65023
SED10059,3,8,46,64,74,190,318,365,191,1269,0,8,59,36,40,55,82,144,97,528,145,555,1364,852,688,648,611,495,300,5662,1597,8542,21864,13193,9893,7366,4741,2553,1030,70774
SED10060,0,3,14,17,17,33,78,93,86,343,0,9,26,18,24,29,33,23,22,171,83,133,617,550,383,365,336,354,237,3060,991,3852,14403,12648,10167,8867,7475,4942,1770,65119
SED10061,42,50,113,152,236,495,879,824,413,3206,5,24,64,55,51,45,66,55,16,396,768,814,1219,1099,1176,1200,1031,821,384,8524,2730,4854,9284,8528,9614,10868,9230,5747,1964,62828
SED10062,5,5,34,54,136,305,606,634,383,2167,0,7,61,40,68,123,165,154,113,736,145,196,491,426,338,340,344,400,450,3117,1860,5023,9600,10377,10497,10160,7710,4575,2326,62121
SED10063,40,28,95,137,215,458,826,648,438,2894,0,0,28,28,38,34,68,47,25,272,315,318,667,665,630,687,645,630,389,4948,2163,4435,9794,9679,9757,9928,8508,5158,2074,61499
SED10064,44,22,82,102,193,538,1043,848,530,3404,8,5,13,12,23,34,33,50,26,198,360,369,920,875,796,947,965,709,382,6329,1989,3191,7229,7504,9289,12521,12491,6631,2358,63203
SED10065,7,13,115,152,250,374,559,475,256,2201,3,22,137,122,112,230,229,176,114,1146,217,499,1450,1138,625,613,501,365,291,5700,2007,7634,22536,20208,12279,10872,7417,3725,1640,88316
SED10066,31,21,97,118,207,381,630,459,224,2158,4,11,36,50,60,70,73,64,36,400,240,364,918,755,580,509,556,641,492,5050,2316,5932,12718,11823,10384,9106,7682,4282,1590,65841
SED10067,10,7,6,24,24,70,144,228,191,700,3,0,9,12,23,24,10,25,28,144,142,103,245,300,325,320,358,517,573,2875,1679,3706,6162,8405,10792,10488,8723,5861,2761,58580
SED10068,22,11,54,78,151,328,781,718,512,2652,0,0,9,13,27,29,32,23,19,157,178,181,371,394,416,581,771,749,511,4153,1967,3549,6891,7926,9693,11653,13066,8498,3248,66497
SED10069,29,23,99,97,173,378,737,568,302,2399,5,8,21,20,29,30,37,31,23,194,184,184,370,369,442,503,647,731,405,3836,1998,3515,6871,7632,9318,11111,11287,6895,2081,60705
SED10070,20,64,234,371,435,693,1164,1109,525,4625,9,47,202,237,307,404,481,394,268,2345,195,250,649,715,537,448,576,463,375,4216,2135,5302,11604,13400,10690,9725,8193,4561,1809,67419
SED10071,13,21,60,93,148,291,542,393,150,1715,0,13,47,61,98,151,132,82,55,645,252,456,1248,1226,649,401,306,193,82,4810,3045,7457,17724,24820,15269,9668,6342,2521,696,87544
SED10072,4,16,59,94,166,388,907,1134,530,3290,9,25,121,115,109,203,279,341,202,1397,213,430,1339,821,619,539,486,543,470,5455,1823,6729,18981,14153,11255,9682,7464,4979,2273,77336
SED10073,5,7,37,89,113,285,533,516,397,1990,8,19,140,104,87,161,155,166,123,969,144,334,996,731,495,512,393,321,244,4166,1836,6897,19072,16680,11280,10705,8187,4424,2289,81369
SED10074,7,14,63,104,176,291,568,510,325,2070,5,13,67,84,91,120,117,114,79,687,206,310,856,705,510,464,522,509,339,4412,1926,5130,12722,14114,10692,8875,7412,4615,1829,67311
SED10075,34,22,78,118,177,501,1017,821,434,3201,5,8,22,31,42,57,90,124,76,459,234,214,502,461,416,413,463,598,406,3706,2631,5272,10561,10999,11123,10942,9147,5643,1999,68325
SED10076,25,23,60,103,163,423,972,746,487,3004,0,0,11,33,30,34,45,42,20,213,282,229,522,540,582,656,727,694,358,4581,1775,3228,7555,7821,8719,11427,12237,7114,2529,62412
SED10077,4,21,111,135,189,316,651,860,484,2776,4,67,254,125,139,189,250,272,230,1520,165,692,1481,771,482,450,429,394,356,5220,1906,10999,23011,14066,11043,10235,7121,4280,2257,84928
SED10078,4,7,37,71,124,314,755,1112,675,3094,0,15,76,62,94,174,259,359,264,1317,91,307,841,515,398,377,383,339,288,3538,1292,5314,16170,12659,10674,8785,6266,3968,2062,67185
SED10079,25,21,72,71,138,358,689,598,354,2337,5,5,8,15,26,32,27,35,20,170,147,149,309,315,342,370,504,581,314,3038,1916,3747,7314,7886,9254,10183,9840,6318,2107,58551
SED10080,5,29,139,92,83,108,146,133,96,833,5,43,244,157,56,69,61,37,31,702,230,1368,3376,1959,1213,851,593,461,320,10372,1162,8340,29888,18792,11529,9196,6639,3515,1337,90381
SED10081,43,26,128,123,216,467,794,769,412,2981,3,6,35,25,37,50,57,43,16,266,378,358,868,757,731,747,735,729,392,5693,2361,4320,10281,9362,9530,9941,8699,5527,2069,62090
SED10082,10,0,22,38,67,154,361,395,271,1314,0,9,4,16,18,23,22,22,35,152,116,125,267,336,301,332,445,559,498,2987,1868,3710,6628,8977,10324,10289,9731,6224,2542,60296
SED10083,23,10,49,80,148,302,549,462,382,2010,4,12,18,14,30,31,39,29,44,214,219,196,451,476,406,397,501,545,483,3666,1911,4072,8727,9382,9414,9593,8573,5054,2383,59114
SED10084,10,12,63,86,132,285,674,833,560,2651,7,3,7,13,24,40,35,34,28,198,232,237,620,670,630,655,684,761,642,5117,1799,3417,7707,9381,9979,11433,11579,7548,3280,66114
SED10085,39,29,111,131,206,494,788,631,401,2826,13,7,19,22,24,40,30,40,13,207,380,329,794,721,741,743,724,516,241,5185,2521,4062,9467,9416,10429,10921,8686,4604,1616,61719
SED10086,0,0,29,20,28,53,90,128,121,472,0,6,26,16,16,26,25,30,20,158,153,189,908,633,436,350,319,423,411,3820,1207,3887,15352,11816,10111,7967,6759,4393,1916,63409
SED10087,40,52,139,199,230,379,608,602,402,2642,0,15,91,99,74,68,64,41,24,465,372,414,674,609,601,588,579,505,349,4698,3055,6216,11258,9928,9458,9610,7761,4571,1979,63845
SED10088,11,6,31,81,92,176,340,405,234,1371,5,6,27,68,103,95,83,78,70,531,108,133,374,382,365,302,337,395,378,2770,1935,4801,9299,11645,12610,9675,6751,4825,2212,63762
SED10089,25,36,101,130,173,366,565,556,463,2423,4,9,48,62,70,81,63,44,52,432,384,507,717,554,392,486,601,777,685,5094,2876,7374,13013,11075,10054,9112,7775,5058,2556,68891
SED10090,3,7,27,37,58,94,258,296,212,985,0,0,63,52,56,65,88,91,71,498,107,131,452,483,340,249,307,251,210,2523,1456,4338,11331,14298,12298,9317,7554,4157,2091,66842
SED10091,28,20,68,80,126,289,573,434,217,1832,4,3,24,24,33,30,40,34,26,213,214,178,378,452,464,397,455,511,434,3478,2371,4334,9256,9790,10912,10013,9157,5627,1997,63455
SED10092,17,24,118,165,211,507,997,1207,685,3923,7,9,58,75,76,100,207,232,202,971,219,365,819,580,562,537,572,587,459,4704,2177,7309,13522,10017,9968,10477,8360,5557,2503,69891
SED10093,47,23,102,121,222,472,751,660,380,2771,4,10,20,32,37,49,80,67,21,317,273,254,590,542,539,484,610,754,614,4653,2543,4902,10066,9829,10388,9708,8390,5425,2260,63505
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,8,3,0,0,32
SED20106,9,9,58,54,69,114,240,410,207,1175,0,13,80,49,29,35,52,78,51,386,106,365,1306,941,664,605,452,325,174,4943,1035,5600,20409,14203,10551,8574,5897,3127,955,70350
SED20207,35,30,80,153,215,371,815,701,356,2752,6,23,88,89,137,158,187,156,77,916,263,349,906,986,585,416,339,242,138,4229,2136,5615,15361,21296,14094,9526,6652,3040,1094,78807
SED20302,47,46,196,233,248,436,741,870,488,3302,4,24,119,130,147,107,92,83,47,749,286,293,984,837,682,644,763,623,352,5460,2324,5833,17572,17366,12623,11775,10708,5748,1943,85892
SED20401,9,27,69,92,151,206,336,494,350,1744,0,10,49,55,54,75,75,54,25,392,105,130,386,368,303,266,275,353,389,2585,1202,3541,9074,9724,8493,7364,5923,3582,1673,50585
SED20508,20,15,43,53,80,180,485,623,367,1882,3,7,15,18,20,20,23,39,11,153,117,105,229,321,322,424,577,536,332,2957,1293,2899,6432,8044,8727,9915,10627,5801,2055,55790
SED20604,28,27,84,107,124,256,528,641,435,2230,6,4,35,25,54,56,53,22,19,270,243,245,494,502,492,489,538,453,266,3713,1881,3742,8364,8476,8889,9403,8223,4199,1525,54694
SED20704,46,38,129,151,164,281,578,639,419,2440,0,18,56,61,80,67,41,17,12,350,214,202,458,430,447,465,412,417,324,3364,1877,4497,9212,8724,8588,8707,7354,3934,1646,54531
SED20804,26,30,116,154,176,280,610,739,413,2544,6,14,53,64,68,65,57,33,14,379,182,204,576,503,518,536,585,605,537,4248,1318,3303,7839,7671,7982,8482,7903,4613,1910,51033
SED20906,7,12,20,33,55,95,341,625,448,1631,4,8,41,39,42,69,67,88,57,426,94,109,282,294,291,225,229,290,210,2019,1382,3647,7365,9957,10340,7592,5260,3263,1819,50618
SED21001,10,23,47,95,149,145,301,450,370,1596,5,28,90,81,80,85,96,69,78,621,120,301,626,381,358,268,336,413,514,3324,1460,5760,10760,9715,9914,8261,6421,4226,2578,59091
SED21106,5,4,8,25,22,58,119,246,241,721,0,5,12,22,26,28,25,39,26,192,94,84,304,372,352,251,273,269,301,2293,1198,3116,6597,7848,9717,8156,5998,3770,1906,48304
SED21203,35,77,329,606,752,1042,1279,1357,612,6086,4,42,176,290,394,557,537,474,271,2743,328,465,1175,986,689,631,465,369,184,5290,1948,5518,12280,10039,8455,7731,5052,3443,1478,55942
SED21303,12,6,32,46,69,188,506,1075,692,2630,0,10,37,35,46,94,194,294,178,888,72,200,695,418,261,232,266,232,157,2534,1025,6086,19171,12625,8724,6396,4422,2865,1505,62817
SED21401,4,7,37,47,66,177,617,1270,854,3094,5,14,55,36,45,112,148,203,162,778,83,95,276,293,256,253,297,369,291,2210,1212,3867,8010,8579,8549,8263,6902,5882,2772,54030
SED21503,15,15,64,75,122,231,596,890,500,2510,0,14,50,51,116,124,133,138,83,722,148,299,434,280,236,258,255,247,194,2352,1483,4675,9122,8227,8068,6828,5591,3570,1489,49050
SED21608,32,47,102,105,133,258,540,627,329,2183,3,10,21,10,32,42,36,21,14,186,271,260,497,425,519,408,504,413,239,3538,1773,4012,8518,8493,8739,8288,6977,3459,1259,51513
SED21706,20,21,30,43,60,115,305,469,366,1431,0,19,51,55,60,74,100,85,53,492,87,268,533,316,253,227,260,227,224,2398,1562,5650,9299,8808,9399,7755,5761,3547,2056,53837
SED21805,21,28,75,98,170,239,443,553,334,1954,8,7,32,27,42,58,59,48,29,317,139,151,418,428,417,319,314,388,248,2823,1427,3652,9477,10388,9962,8639,6383,3427,1323,54667
SED21906,7,12,34,32,46,65,183,259,288,934,6,8,25,30,20,29,36,68,51,276,86,235,657,406,286,233,315,296,296,2817,1038,4463,12161,9799,8221,6735,6317,3171,1773,53677
SED22005,15,22,143,165,272,530,1034,1363,705,4250,8,52,200,164,256,404,466,410,231,2189,157,332,911,505,375,367,456,484,464,4042,1411,6026,14116,10707,8932,7784,6537,4464,2352,62327
SED22105,56,67,341,475,458,542,723,656,321,3639,10,54,371,436,438,341,243,124,46,2067,305,392,1175,989,623,481,364,272,161,4766,2869,8091,21108,22655,14420,9991,6465,3162,1132,89895
SED22201,16,29,136,178,166,167,314,479,338,1820,5,16,96,85,89,69,67,37,29,493,87,97,281,236,213,218,210,253,227,1822,1154,3434,8340,8714,7681,7163,5936,3771,1552,47745
SED22305,42,95,459,688,568,654,889,956,487,4847,18,92,669,798,668,493,322,245,134,3435,279,411,1284,996,721,647,596,475,236,5656,1636,5120,13766,11422,8657,7891,6217,3708,1568,59986
SED22404,33,13,71,75,119,224,401,582,298,1816,7,5,24,16,19,28,29,23,19,168,309,314,501,586,759,788,649,465,196,4568,1570,3050,6394,7000,8814,9821,8321,4141,1298,50413
SED22501,7,10,26,21,36,76,247,402,243,1060,6,7,14,25,28,42,32,24,27,194,65,56,121,167,194,157,208,191,133,1280,1191,3063,5333,7953,8744,8009,6689,3217,1014,45211
SED22607,8,20,63,75,92,214,392,695,482,2038,0,8,74,49,83,86,106,158,126,687,104,214,642,450,390,328,265,205,115,2714,1324,4849,12257,10381,9596,7886,5635,2822,1414,56165
SED22704,49,35,110,108,179,382,837,939,522,3143,10,5,25,24,30,31,36,38,26,222,309,271,631,646,778,937,814,673,341,5396,1631,3338,7076,7128,8899,10448,9570,5240,1908,55244
SED22802,18,22,68,108,124,159,339,470,264,1571,0,15,50,62,61,36,39,45,22,324,102,96,253,228,240,212,188,217,82,1624,1393,3657,8091,8013,8000,7237,5676,3236,938,46236
SED22901,12,10,35,63,104,190,369,494,317,1603,6,5,23,52,45,88,90,64,58,419,99,102,254,261,221,200,284,313,294,2028,1288,3405,7385,8606,7627,7430,6598,3585,1635,47560
SED23007,26,38,172,241,364,639,1003,1094,499,4087,7,28,160,206,262,418,391,292,193,1958,207,416,1356,846,615,525,505,422,331,5222,1496,5960,18855,13766,9990,8138,5888,3283,1443,68815
SED23101,7,14,34,44,103,202,415,759,466,2038,7,9,54,57,80,97,140,138,99,678,59,118,243,231,224,180,250,340,354,1991,1207,3783,6609,8135,8316,7006,6303,4927,2256,48538
SED23205,27,37,86,126,154,236,398,526,345,1927,4,14,30,24,26,35,33,38,22,233,226,237,665,576,573,498,438,471,406,4101,1425,3496,8696,8397,8282,7551,6292,3890,1816,49850
SED23308,29,32,79,90,147,243,479,701,435,2231,8,14,41,36,40,47,50,45,40,323,145,253,535,468,432,440,426,437,285,3418,1323,4594,10659,8730,8434,8074,6578,3852,1681,53922
SED23402,31,23,105,110,141,210,420,527,269,1839,5,8,49,55,41,45,43,45,22,312,225,226,539,545,477,381,351,362,224,3330,1998,5136,12182,12087,10853,8943,6460,3641,1320,62609
SED23502,37,33,107,109,150,329,671,865,407,2706,3,9,10,19,14,26,23,29,12,154,245,229,503,560,632,768,839,645,355,4772,1425,2588,6100,6238,7320,9775,10446,5658,1797,51346
