SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL10032,0,0,0,0,0,0,0,0,0,5,15,15,8,12,12,19,10,4,0,89
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
SAL10034,0,0,0,0,0,0,0,0,0,3,14,15,7,14,8,15,13,3,0,84
SAL10035,0,4,0,0,5,0,0,0,0,11,9,12,3,8,20,15,26,4,4,105
SAL10036,59,42,23,27,68,32,26,38,32,338,1549,863,485,943,1210,807,626,479,274,7227
SAL10037,0,0,0,0,0,0,0,0,0,0,13,6,6,4,14,12,10,0,0,70
SAL10038,37,37,50,49,43,46,26,10,3,301,720,645,1145,802,590,644,460,222,79,5308
SAL10039,5,0,0,0,0,0,0,0,0,8,15,4,6,4,13,9,4,0,0,56
SAL10040,0,0,0,0,3,0,8,0,0,11,21,17,13,11,27,34,29,12,0,146
SAL10041,8,4,0,4,6,0,0,0,0,25,35,15,17,20,39,24,28,13,4,184
SAL10042,0,0,0,0,0,0,0,0,0,3,4,0,5,0,3,16,18,5,0,52
SAL10043,0,5,0,3,0,5,5,0,0,14,14,7,3,4,6,17,3,11,0,59
SAL10044,0,0,0,0,0,0,0,0,0,0,20,22,16,16,23,31,20,11,0,157
SAL10045,0,0,0,0,5,4,0,0,0,13,53,38,27,40,70,101,56,26,6,421
SAL10046,75,49,37,44,54,42,34,38,25,404,946,511,488,581,712,790,854,658,348,5884
SAL10047,0,0,0,0,0,0,4,4,0,8,14,4,12,10,10,12,9,9,7,89
SAL10048,0,0,0,0,3,4,0,0,0,11,12,3,7,3,16,9,3,0,0,42
SAL10049,185,108,109,111,73,63,44,12,0,703,1599,1005,964,942,802,874,654,234,44,7129
SAL10050,0,0,0,0,0,3,9,0,0,13,4,0,0,0,8,11,14,11,0,43
SAL10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3
SAL10052,0,0,0,0,0,0,0,0,0,0,5,4,4,5,3,15,3,3,0,42
SAL10053,3,0,0,0,0,0,0,0,0,9,17,8,7,7,3,9,3,4,0,62
SAL10054,0,0,0,0,0,0,0,0,0,3,12,6,3,4,7,11,4,0,0,49
SAL10055,0,0,0,0,0,0,0,0,0,9,17,4,0,11,14,12,8,0,0,66
SAL10056,0,0,3,0,0,4,0,0,0,8,24,14,19,18,17,28,33,6,0,164
SAL10057,4,0,0,0,5,0,0,0,0,7,4,3,0,0,8,6,7,4,0,37
SAL10058,0,0,0,0,0,0,3,6,0,22,7,5,3,3,17,18,25,17,3,100
SAL10059,0,0,0,0,0,3,0,0,0,8,24,9,12,15,23,32,58,10,8,196
SAL10060,4,6,5,9,11,6,3,5,0,53,57,56,34,45,67,59,45,20,3,384
SAL10061,67,36,29,32,42,45,36,42,7,330,641,400,329,357,496,639,710,505,83,4155
SAL10062,102,73,120,116,109,77,64,12,3,680,1497,919,1607,1553,1424,1039,799,334,128,9299
SAL10063,28,21,9,11,15,10,0,0,0,91,220,249,119,158,217,209,146,97,27,1444
SAL10064,71,30,29,49,25,26,13,8,0,255,878,373,454,513,380,318,198,93,23,3223
SAL10065,0,0,6,0,0,0,0,0,0,3,10,5,6,3,5,10,6,5,0,44
SAL10066,0,0,0,0,0,0,0,0,0,8,4,11,0,8,3,6,0,0,0,35
SAL10067,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,3,3,0,0,16
SAL10068,4,3,3,0,0,3,4,0,0,11,23,12,7,14,12,19,23,9,0,117
SAL10069,0,0,0,0,0,0,0,0,0,5,5,5,0,0,3,0,3,0,0,21
SAL10070,9,3,4,5,5,12,11,0,4,44,49,22,29,35,60,125,117,38,17,495
SAL10071,0,0,0,0,0,0,4,0,0,13,26,19,16,16,28,49,33,18,4,210
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10073,13,14,3,19,23,7,15,0,5,107,241,203,124,141,221,208,170,114,27,1449
SAL10074,25,13,11,13,8,8,12,5,0,95,244,158,138,154,193,214,162,90,27,1382
SAL10075,0,3,0,0,5,5,0,0,0,19,6,10,6,4,5,20,14,0,0,58
SAL10076,0,4,0,0,0,4,4,0,0,17,26,25,17,14,26,27,38,12,7,177
SAL10077,6,5,3,3,5,4,4,7,0,34,61,29,36,36,55,89,79,48,16,452
SAL10078,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,3,0,0,19
SAL10079,18,14,5,15,9,12,0,4,0,86,219,151,184,191,157,177,150,75,30,1337
SAL10080,10,3,6,0,4,5,4,4,0,28,35,21,23,15,23,40,35,17,0,201
SAL10081,0,0,0,0,4,0,0,0,0,3,0,0,0,0,6,0,0,0,0,9
SAL10082,3,3,7,3,5,3,11,5,0,35,89,30,27,53,46,57,100,33,14,440
SAL10083,0,0,3,0,0,0,3,0,0,4,7,4,3,0,4,4,12,0,0,33
SAL10084,0,0,0,0,0,0,0,0,0,6,5,0,5,4,0,0,6,0,0,27
SAL10085,9,5,6,5,4,11,0,0,0,34,39,14,15,22,24,36,24,5,0,173
SAL10086,517,894,392,276,236,259,159,154,117,3013,4222,4110,3269,2665,2541,2730,2160,1511,592,23814
SAL10087,179,170,265,178,143,114,65,69,68,1257,1899,1410,2829,1916,1325,1086,764,504,238,11969
SAL10088,0,0,0,0,0,0,0,0,0,5,0,3,3,3,0,8,0,0,0,22
SAL10089,0,7,8,4,5,12,19,10,5,72,27,52,85,44,48,111,201,140,31,742
SAL10090,4,4,5,7,3,7,0,0,0,26,107,56,55,75,79,83,106,31,13,603
SAL10091,82,40,95,106,70,29,39,12,11,479,1838,864,1447,1896,1218,846,678,336,151,9275
SAL10092,0,0,0,0,0,0,0,0,0,3,8,10,4,6,4,7,11,4,0,47
SAL10093,0,0,0,0,0,3,0,0,0,7,9,7,11,4,6,16,5,0,0,57
SAL10094,36,26,15,21,20,26,18,4,0,175,558,440,255,394,518,494,364,216,66,3305
SAL10095,4,5,0,9,7,5,8,0,0,30,26,16,14,24,34,61,81,42,4,294
SAL10096,7,3,3,4,4,4,5,0,0,35,37,24,17,28,42,77,52,8,3,296
SAL10097,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,5,0,19
SAL10098,143,65,57,78,64,45,38,10,4,502,905,544,476,492,405,426,234,127,47,3655
SAL10099,152,156,301,195,143,165,101,57,30,1309,2691,2693,5216,3531,2565,2358,1820,1236,815,22925
SAL10100,20,7,3,4,11,15,5,9,4,74,100,70,43,42,88,122,110,75,24,673
SAL10101,3,3,8,6,9,16,8,6,0,52,81,36,61,28,52,55,24,13,0,342
SAL10102,156,82,63,63,44,43,34,12,15,512,774,563,490,397,416,420,389,177,106,3730
SAL10103,66,33,39,27,35,37,21,18,12,289,958,626,501,595,664,596,418,207,70,4634
SAL10104,50,33,39,55,31,22,17,13,4,252,1298,651,921,1221,748,544,439,211,66,6097
SAL10105,5,0,0,0,0,0,0,0,0,8,13,5,3,6,6,6,14,12,0,74
SAL10106,11,6,3,8,6,5,3,0,0,43,109,47,61,74,80,72,79,25,5,547
SAL10107,690,619,836,565,421,386,270,149,114,4040,6876,6464,8991,5322,3985,3650,2282,1205,531,39302
SAL10108,0,0,0,0,0,0,0,0,0,4,33,8,3,14,19,18,12,10,3,126
SAL10109,29,9,12,24,13,17,15,4,0,123,539,280,271,348,369,396,319,137,36,2695
SAL10110,160,61,91,97,63,48,46,74,114,749,1744,712,1488,1161,595,452,327,217,158,6856
SAL10111,0,5,0,0,6,3,0,0,0,16,17,27,13,8,29,26,17,15,3,153
SAL10112,116,70,42,77,80,83,49,27,16,563,1927,1237,663,1111,1501,1572,1260,639,296,10216
SAL10113,3,0,0,0,0,0,3,0,0,6,10,3,0,0,12,6,4,4,0,43
SAL10114,4,0,0,0,0,5,4,5,0,16,23,33,10,18,25,42,32,18,0,206
SAL10115,85,32,22,44,52,36,25,16,3,315,973,605,316,579,746,648,539,266,53,4720
SAL10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10117,20,9,13,12,19,12,14,0,0,100,306,178,252,187,194,261,191,93,15,1680
SAL10118,0,0,0,0,0,4,0,0,0,7,32,22,4,11,43,28,18,0,0,160
SAL10119,5,5,0,0,7,3,0,3,0,33,84,59,43,41,66,66,37,18,9,414
SAL10120,0,0,4,0,0,0,3,0,0,9,19,22,24,18,28,42,23,11,4,188
SAL10121,5,0,4,3,5,7,5,3,0,27,36,13,17,22,10,31,22,11,3,164
SAL10122,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,13
SAL10123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
SAL10124,4,0,0,0,0,4,0,0,0,4,15,7,3,10,14,4,0,0,0,58
SAL10125,0,0,0,0,0,0,0,0,0,0,5,3,0,0,6,3,0,0,0,20
SAL10126,0,0,0,0,0,0,0,0,0,6,3,6,0,0,0,4,3,5,0,19
SAL10127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7
SAL10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7
SAL10129,0,0,0,3,0,0,0,0,0,3,5,0,0,3,4,0,0,0,0,20
SAL10130,0,3,0,0,0,3,0,0,0,6,14,11,9,10,4,28,11,12,0,99
SAL10131,3,6,0,5,0,5,0,3,0,17,20,20,19,20,23,16,25,8,4,151
SAL10132,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,4,12,0,0,21
SAL10133,3,6,3,0,5,0,9,0,0,28,30,14,22,26,22,15,29,14,6,167
SAL10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,8
SAL10135,3,3,0,0,4,0,3,0,0,16,15,16,5,11,21,18,19,6,0,99
SAL10136,0,0,0,0,4,0,0,0,0,4,3,4,0,5,5,3,0,0,0,30
SAL10137,0,0,0,0,0,0,0,0,0,4,9,7,0,6,3,11,10,3,0,43
SAL10138,6,0,0,0,3,4,0,0,0,14,8,3,7,3,5,6,7,0,0,40
SAL10139,0,0,0,0,0,0,0,0,0,8,10,3,6,5,14,6,8,4,0,54
SAL10140,0,0,0,0,0,0,0,0,0,4,7,9,5,0,11,15,5,0,0,49
SAL10141,7,0,0,0,0,4,0,0,0,8,6,0,0,0,5,3,4,5,0,27
SAL10142,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,3,0,0,12
SAL10143,0,0,0,0,3,0,0,0,0,5,5,4,6,11,10,19,10,3,0,63
SAL10144,9,3,0,11,4,5,4,4,0,30,123,48,59,84,88,63,61,36,11,564
SAL10145,0,0,0,0,0,4,0,0,0,11,16,10,6,3,16,36,15,10,5,130
SAL10146,18,6,0,11,16,11,4,4,0,67,175,122,108,111,127,132,115,93,18,1003
SAL10147,0,0,0,0,0,0,0,0,0,4,15,6,5,11,0,6,4,6,0,50
SAL10148,0,0,0,0,6,0,0,0,0,4,68,30,34,34,48,52,35,14,0,316
SAL10149,0,0,0,0,0,0,0,0,0,0,6,0,0,3,4,0,3,0,0,25
SAL10150,7,0,0,0,0,0,0,0,0,9,5,0,0,3,0,0,0,0,0,17
SAL10151,0,0,0,3,0,0,0,0,0,12,8,6,3,3,12,8,13,0,0,58
SAL10152,0,0,0,0,0,5,0,0,0,5,13,10,7,8,8,12,6,4,0,67
SAL10153,0,4,0,0,4,5,0,0,0,14,13,6,0,7,6,8,7,0,0,48
SAL10154,60,36,41,54,68,56,28,19,9,381,1607,822,845,1193,1262,921,665,495,154,7963
SAL10155,38,28,11,9,24,24,14,4,5,156,820,466,137,375,655,454,311,131,80,3422
SAL10156,68,43,28,40,39,41,30,18,6,304,1040,638,594,724,720,737,641,451,120,5674
SAL10157,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,7,0,0,0,27
SAL10158,8,0,3,9,3,3,5,0,0,31,30,13,16,10,21,23,24,4,5,142
SAL10159,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,4,4,0,0,29
SAL10160,5,5,5,6,0,4,6,0,0,37,38,13,13,22,19,23,38,12,5,166
SAL10161,3,5,0,0,5,0,0,4,0,14,15,22,11,5,12,24,12,0,0,97
SAL10162,7,3,0,7,3,5,0,0,0,38,39,19,29,23,31,33,33,12,4,231
SAL10163,133,69,87,84,85,96,132,107,88,889,1171,776,897,946,1016,1261,1575,1255,903,9798
SAL10164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL10165,125,59,77,127,102,98,65,50,47,745,1771,803,1272,1765,1687,1336,1029,526,165,10364
SAL10166,10,9,13,9,21,20,15,7,0,115,258,170,202,238,323,254,216,118,30,1801
SAL10167,10,7,4,4,4,7,5,3,0,45,116,79,81,75,110,116,82,38,11,713
SAL10168,9,14,6,6,6,8,0,0,0,43,75,70,42,51,74,97,42,14,0,461
SAL10169,36,15,19,20,32,29,24,11,4,187,229,104,137,111,178,217,180,84,44,1280
SAL10170,0,0,0,0,0,0,0,0,0,0,3,7,3,0,5,11,0,3,0,34
SAL10171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10172,0,0,0,0,0,3,0,0,0,9,30,12,12,13,21,23,24,12,4,136
SAL10173,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,11
SAL10174,7,7,4,5,6,4,3,3,0,49,154,89,65,95,91,136,111,42,17,803
SAL10175,70,22,40,53,47,39,28,18,24,348,609,237,300,426,412,334,276,104,66,2756
SAL10176,0,0,0,0,0,0,0,0,0,0,4,5,5,4,3,8,4,0,4,40
SAL10177,0,0,0,0,0,0,0,0,0,4,25,10,15,22,21,15,10,5,7,125
SAL10178,40,26,18,22,29,29,25,13,0,210,1075,660,426,734,703,690,791,270,160,5519
SAL10179,45,23,37,26,22,20,22,5,9,215,548,348,435,471,460,370,316,217,75,3234
SAL10180,4,8,34,18,6,0,9,3,0,90,56,51,178,103,54,22,22,7,0,502
SAL10181,755,470,627,525,391,347,262,207,217,3805,7069,4496,6365,4915,3927,3771,2462,1319,692,35014
SAL10182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11
SAL10183,0,0,0,0,0,0,0,0,0,0,5,11,4,0,10,17,13,0,0,56
SAL10184,4,0,0,0,8,7,4,0,0,24,27,9,11,20,14,29,20,20,4,152
SAL10185,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,4,0,20
SAL10186,222,145,122,115,152,103,86,101,74,1112,2517,1621,1485,1591,1899,2036,2260,1928,916,16255
SAL10187,0,0,0,0,0,4,0,0,0,3,5,3,0,0,9,9,5,3,7,33
SAL10188,10,13,13,13,17,14,6,7,0,87,157,211,174,127,201,179,110,62,16,1236
SAL10189,0,3,3,5,10,4,4,3,4,32,9,3,6,21,20,22,21,9,4,121
SAL10190,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,7,3,3,0,16
SAL10191,23,15,8,11,17,23,18,18,5,130,139,75,66,71,85,122,121,70,36,786
SAL10192,0,0,10,11,12,3,5,7,0,39,10,7,52,56,34,32,9,10,0,220
SAL10193,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,6
SAL10194,35,29,4,19,24,37,17,3,3,168,749,670,385,441,631,671,375,126,61,4108
SAL10195,99,49,66,64,29,21,8,0,0,339,1799,580,1159,1295,480,303,136,29,8,5792
SAL10196,8,14,12,14,11,14,7,7,0,96,381,300,272,293,342,307,219,140,64,2313
SAL10197,29,31,15,24,17,21,11,9,4,164,428,270,231,321,320,307,257,147,50,2325
SAL10198,5,4,5,6,9,3,7,0,0,38,73,44,41,42,69,72,67,26,16,446
SAL10199,81,57,27,43,38,32,23,22,0,320,909,545,459,536,605,565,483,295,75,4475
SAL10200,14,3,10,13,18,27,22,15,17,134,201,94,127,100,171,276,286,181,104,1551
SAL10201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10202,0,0,0,4,0,6,3,0,0,20,37,8,13,21,28,38,35,9,0,191
SAL10203,13,10,0,0,12,8,3,4,0,57,79,44,20,35,72,67,55,25,7,399
SAL10204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10205,18,21,11,9,8,13,4,0,0,82,325,212,235,225,222,240,182,54,14,1707
SAL10206,20,11,24,9,14,27,21,11,3,144,298,176,206,195,232,263,291,137,39,1840
SAL10207,26,6,13,10,18,22,19,12,5,128,170,84,105,86,149,234,245,192,61,1324
SAL10208,96,53,54,48,48,54,44,34,14,445,1093,721,724,733,707,756,685,423,135,5971
SAL10209,5,11,3,3,8,6,10,6,0,57,109,92,50,72,119,112,108,40,14,713
SAL10210,0,0,0,0,0,0,3,0,0,9,28,10,13,10,21,21,28,4,0,147
SAL10211,0,0,0,0,0,0,0,0,0,4,6,3,0,6,11,14,28,12,4,95
SAL10212,4,0,0,0,0,0,0,0,0,3,4,0,5,0,4,3,0,0,0,9
SAL10213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10214,0,4,0,0,4,3,4,0,0,14,33,30,9,23,41,38,35,13,0,229
SAL10215,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,14
SAL10216,0,3,0,0,0,0,0,0,0,9,4,3,3,0,9,4,0,3,0,34
SAL10217,3,7,0,0,7,0,7,8,3,34,55,21,30,32,56,66,82,60,8,415
SAL10218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10219,0,0,3,0,0,0,0,0,0,8,25,13,22,14,19,34,10,3,0,145
SAL10220,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0
SAL10221,3,3,0,0,3,3,0,3,0,17,31,14,7,16,29,23,15,7,6,139
SAL10222,0,0,0,0,4,0,0,0,0,3,7,0,0,0,4,6,4,0,0,23
SAL10223,21,16,12,9,22,24,16,17,0,140,266,156,165,152,203,246,200,135,56,1572
SAL10224,304,154,140,150,145,120,100,47,24,1185,2450,1389,1317,1266,1168,1119,810,486,221,10223
SAL10225,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8
SAL10226,0,0,0,0,0,0,5,3,0,12,17,14,4,6,16,7,19,6,0,92
SAL10227,221,118,112,124,108,102,102,101,141,1139,2386,1204,1331,1567,1363,1514,1470,973,606,12416
SAL10228,29,21,23,23,41,29,18,14,3,203,246,180,183,170,257,318,327,203,95,1975
SAL10229,29,17,23,15,33,31,17,18,7,188,183,121,192,149,229,242,256,206,69,1656
SAL10230,5,0,0,0,3,0,3,0,0,15,4,3,4,0,12,14,0,0,0,42
SAL10231,76,96,91,80,72,82,58,36,32,625,907,1037,1166,755,749,883,772,574,299,7146
SAL10232,31,11,13,7,18,17,11,13,3,131,214,109,111,120,173,192,195,99,48,1265
SAL10233,335,198,167,250,205,184,135,88,45,1592,8059,4075,3564,6543,5161,3850,3358,2011,710,37337
SAL10234,0,0,0,0,0,0,0,0,0,3,57,24,29,25,41,43,38,13,6,281
SAL10235,17,9,7,8,8,13,3,9,0,70,119,54,66,75,88,202,163,83,10,865
SAL10236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10237,22,29,11,17,38,41,33,39,24,246,450,354,179,240,455,540,610,622,298,3746
SAL10238,81,63,16,51,71,44,40,31,11,408,1557,1049,642,981,1232,1034,646,422,161,7725
SAL10239,3,3,16,11,3,3,0,8,0,51,149,120,340,247,130,94,51,14,3,1141
SAL10240,0,0,0,0,0,4,0,0,0,4,9,0,0,5,12,16,10,8,0,60
SAL10241,0,0,0,0,0,0,0,0,0,0,13,7,10,8,5,6,8,12,0,70
SAL10242,0,0,0,0,0,5,3,0,0,3,10,5,11,14,7,35,41,14,4,134
SAL10243,59,57,28,42,59,35,17,7,3,304,2033,1402,744,1365,1623,1000,545,264,45,9021
SAL10244,0,10,0,0,0,0,0,0,0,13,33,19,6,18,11,19,24,5,0,119
SAL10245,3,4,0,0,0,0,4,4,0,15,35,14,24,19,27,43,14,13,4,190
SAL10246,0,0,0,0,0,0,0,0,0,0,15,4,6,10,8,3,4,0,0,49
SAL10247,4,3,0,0,0,4,0,0,0,15,31,11,3,14,27,22,13,7,4,131
SAL10248,17,16,4,14,17,9,3,0,0,85,196,98,114,116,96,108,96,49,17,890
SAL10249,76,43,29,68,63,56,37,27,12,422,1988,1266,719,1330,1503,1244,1064,752,282,10153
SAL10250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10251,15,3,7,5,13,0,4,0,0,42,83,41,41,37,49,43,47,16,0,367
SAL10252,0,0,0,0,0,0,0,0,0,7,8,0,5,8,0,3,5,4,0,32
SAL10253,129,75,53,52,62,52,49,58,73,604,950,557,573,558,580,690,573,434,198,5127
SAL10254,4,0,0,0,0,0,0,0,0,11,35,16,20,12,15,10,9,9,3,133
SAL10255,0,0,0,0,0,4,0,0,0,5,3,4,3,7,5,6,4,0,0,30
SAL10256,0,0,0,0,0,0,0,0,0,0,16,6,3,12,19,28,22,11,0,118
SAL10257,84,59,51,53,63,59,34,15,8,430,1232,800,746,842,926,811,586,395,151,6494
SAL10258,0,0,0,0,0,0,3,0,0,10,37,17,20,24,26,27,21,8,0,174
SAL10259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12
SAL10260,3,0,0,0,0,3,0,0,3,18,26,15,4,16,18,24,13,5,3,120
SAL10261,8,8,0,0,3,4,10,0,0,28,119,72,58,65,76,80,64,25,0,562
SAL10262,0,0,4,0,0,0,0,0,0,9,11,3,6,3,5,9,8,6,0,50
SAL10263,81,43,46,63,69,74,59,33,17,486,1577,1182,841,1188,1257,1272,881,317,84,8607
SAL10264,83,58,61,44,51,51,34,29,0,413,742,497,581,499,506,517,409,229,58,4026
SAL10265,11,0,0,3,3,0,3,0,0,22,18,11,3,4,25,21,14,12,0,120
SAL10266,4,9,0,0,8,0,10,3,0,41,55,28,22,34,31,36,40,12,3,261
SAL10267,4,0,0,3,5,0,0,0,0,9,11,13,7,13,7,34,30,12,0,130
SAL10268,53,26,24,18,19,23,10,3,0,177,542,284,336,284,273,277,223,76,22,2321
SAL10269,10,3,3,6,6,8,5,8,0,42,149,86,96,98,92,104,79,53,15,778
SAL10270,7,5,5,0,6,8,6,6,4,56,64,32,27,21,48,68,50,21,5,335
SAL10271,86,87,112,76,74,67,49,33,7,587,1753,1164,1545,1428,1376,1230,1047,555,174,10272
SAL10272,0,0,0,4,0,0,0,0,0,12,16,12,12,15,10,11,7,11,0,86
SAL10273,89,45,33,51,56,37,41,22,16,386,810,402,311,446,562,554,483,291,116,3972
SAL10274,0,0,0,0,0,0,0,0,0,8,24,15,3,6,25,17,16,9,0,122
SAL10275,0,0,0,3,0,0,0,0,0,5,11,4,8,4,0,6,0,0,0,36
SAL10276,99,61,68,52,60,61,74,51,31,561,1053,787,792,739,873,1058,1010,625,322,7264
SAL10277,108,52,42,43,58,38,18,23,16,400,1171,755,727,766,835,748,582,460,203,6252
SAL10278,13,8,3,6,20,10,11,3,4,86,146,145,114,97,181,173,148,66,23,1089
SAL10279,228,166,215,220,176,172,130,94,77,1470,2207,1678,2199,1889,1805,1610,1166,769,333,13645
SAL10280,8,0,5,0,8,4,10,4,0,43,43,23,16,27,29,49,51,23,0,263
SAL10281,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,0,0,0,17
SAL10282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL10283,56,41,20,27,65,42,40,38,24,355,1597,1061,457,962,1371,944,873,950,460,8679
SAL10284,8,10,7,11,6,3,4,5,0,41,89,55,44,53,80,110,101,39,9,578
SAL10285,0,0,0,0,0,0,0,0,0,0,9,7,5,3,7,22,14,3,0,76
SAL10286,7,0,0,0,0,3,0,0,0,16,37,11,9,11,20,22,27,5,0,130
SAL10287,0,3,0,0,4,4,4,0,0,16,24,13,6,6,31,27,37,14,0,167
SAL10288,6,0,0,3,0,0,0,0,0,10,33,8,5,21,20,28,31,7,3,163
SAL10289,8,0,6,0,7,15,12,3,5,54,75,36,36,38,69,93,88,30,21,494
