SAL_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
SAL10001,4,0,8,0,0,0,0,0,7,16
SAL10002,308,461,256,155,377,202,120,130,31,2039
SAL10003,597,957,191,147,406,214,46,85,46,2687
SAL10004,95,136,83,58,89,56,33,48,0,600
SAL10005,3,0,0,4,0,0,0,0,0,9
SAL10006,68,84,187,206,84,120,138,159,20,1065
SAL10007,71,76,208,105,84,59,177,139,21,944
SAL10008,39,7,4,6,3,4,3,9,0,67
SAL10009,315,490,550,494,421,321,387,312,48,3337
SAL10010,83,98,207,144,123,89,174,161,11,1098
SAL10011,16,13,31,19,17,18,25,21,6,169
SAL10012,10,0,0,0,4,0,0,3,0,19
SAL10013,5,0,0,0,0,0,0,7,0,11
SAL10014,271,557,192,189,344,170,124,114,31,1980
SAL10015,45,30,42,13,15,0,19,34,3,206
SAL10016,396,1064,437,423,450,287,137,242,23,3462
SAL10017,397,926,344,303,352,220,106,164,44,2860
SAL10018,51,49,57,46,44,32,62,61,10,411
SAL10019,22,4,0,0,9,0,3,10,0,41
SAL10020,3,0,0,0,0,0,0,3,0,11
SAL10021,88,75,98,44,70,39,42,38,9,501
SAL10022,49,81,88,121,68,62,101,135,19,722
SAL10023,6,15,5,3,0,6,0,8,0,48
SAL10024,25,4,8,6,0,0,0,0,0,42
SAL10025,606,1048,1187,989,934,672,668,696,102,6900
SAL10026,258,327,495,506,357,269,324,339,51,2937
SAL10027,439,768,301,286,312,209,101,164,45,2621
SAL10028,38,38,38,59,31,32,25,33,3,298
SAL10029,29,11,4,3,9,3,10,3,0,82
SAL10030,1424,2896,451,376,713,403,113,164,99,6637
SAL10031,286,421,212,130,308,120,66,63,19,1619
SAL10032,14,5,7,3,11,6,3,8,0,60
SAL10033,0,0,0,0,0,0,0,0,0,0
SAL10034,4,11,3,0,10,5,0,4,0,35
SAL10035,17,12,3,7,9,0,0,0,0,50
SAL10036,761,1007,390,360,442,306,95,170,46,3579
SAL10037,5,11,4,0,4,3,3,3,0,42
SAL10038,249,692,293,314,337,253,151,308,53,2645
SAL10039,13,6,6,4,0,0,0,3,0,30
SAL10040,4,9,9,10,12,3,3,6,0,67
SAL10041,7,5,14,3,8,9,12,16,3,78
SAL10042,3,5,3,0,3,4,4,0,0,24
SAL10043,14,9,0,0,4,0,0,3,0,30
SAL10044,19,20,14,7,11,8,0,3,0,87
SAL10045,53,52,34,35,18,15,6,16,3,230
SAL10046,314,543,327,370,295,217,95,262,35,2458
SAL10047,12,8,8,0,3,0,4,7,7,43
SAL10048,3,6,0,3,0,3,3,3,0,21
SAL10049,238,325,333,304,349,285,359,326,57,2566
SAL10050,8,3,0,0,0,0,0,0,0,16
SAL10051,6,0,0,0,0,0,0,0,0,3
SAL10052,17,0,0,4,4,0,0,0,0,24
SAL10053,7,0,3,0,4,0,0,3,3,24
SAL10054,15,0,0,0,0,0,0,3,0,29
SAL10055,11,8,5,0,5,0,0,7,0,33
SAL10056,13,12,9,5,7,7,10,18,0,80
SAL10057,0,0,4,5,0,0,0,0,0,16
SAL10058,6,6,4,0,4,0,3,7,0,34
SAL10059,17,20,9,16,4,5,0,6,0,86
SAL10060,32,21,21,10,21,11,16,18,5,164
SAL10061,151,229,319,248,192,168,98,177,29,1615
SAL10062,1121,2372,325,340,559,327,71,112,76,5305
SAL10063,148,129,137,61,122,56,27,58,15,743
SAL10064,188,243,304,164,234,133,153,132,26,1582
SAL10065,10,0,3,0,0,0,0,0,0,26
SAL10066,11,4,6,0,0,0,0,5,0,21
SAL10067,5,4,5,0,0,0,0,0,0,11
SAL10068,14,7,0,12,8,6,5,3,0,50
SAL10069,6,0,0,0,0,0,0,0,0,11
SAL10070,24,44,32,29,20,16,4,12,5,192
SAL10071,19,17,13,9,9,11,4,7,5,93
SAL10072,0,0,0,0,0,0,0,0,0,0
SAL10073,170,190,98,65,81,52,23,54,10,736
SAL10074,66,95,136,95,92,47,51,57,15,650
SAL10075,7,3,4,0,3,0,0,0,3,20
SAL10076,31,16,7,3,13,6,0,5,0,88
SAL10077,53,14,8,19,8,15,18,16,4,155
SAL10078,0,4,4,0,0,0,4,7,0,11
SAL10079,40,66,113,78,57,67,62,83,7,582
SAL10080,20,4,13,15,7,8,7,9,0,80
SAL10081,3,0,0,0,0,0,0,0,0,0
SAL10082,60,27,14,13,10,9,7,22,5,175
SAL10083,10,0,3,0,3,0,0,0,0,27
SAL10084,5,0,0,0,0,0,0,0,0,12
SAL10085,38,10,5,8,8,0,8,6,5,74
SAL10086,1300,2783,1206,1387,1160,866,389,1111,145,10348
SAL10087,726,1492,602,494,777,436,329,506,108,5456
SAL10088,3,3,0,0,0,0,5,0,0,10
SAL10089,21,21,23,20,15,7,10,99,4,211
SAL10090,48,55,29,52,33,25,9,40,0,293
SAL10091,807,2189,299,328,592,295,83,167,76,4829
SAL10092,9,10,3,0,0,0,5,3,0,23
SAL10093,18,0,8,0,0,0,0,6,0,36
SAL10094,310,535,143,94,238,116,47,78,19,1577
SAL10095,19,14,19,12,7,3,3,6,0,89
SAL10096,14,15,21,18,14,14,8,11,0,107
SAL10097,0,0,0,0,0,0,0,3,0,14
SAL10098,41,85,120,108,104,72,151,135,42,848
SAL10099,1400,4257,1107,1201,1478,824,436,925,209,11845
SAL10100,57,19,20,31,17,10,16,37,13,216
SAL10101,33,22,29,16,17,11,19,21,0,174
SAL10102,89,121,201,197,129,154,125,251,34,1301
SAL10103,292,506,358,282,311,239,195,193,30,2403
SAL10104,445,1157,319,357,437,223,99,166,35,3238
SAL10105,14,4,3,0,0,0,0,5,0,30
SAL10106,49,31,43,24,27,23,29,32,8,277
SAL10107,861,2177,1663,1879,1271,1213,1276,2358,553,13258
SAL10108,14,11,19,11,0,3,0,3,0,66
SAL10109,211,536,138,122,137,71,39,43,20,1312
SAL10110,350,699,336,277,460,237,283,228,69,2936
SAL10111,8,10,14,5,10,6,9,14,0,74
SAL10112,1095,1438,608,419,556,379,101,245,86,4928
SAL10113,3,0,6,0,0,0,0,0,0,10
SAL10114,22,27,14,10,13,3,0,15,4,112
SAL10115,391,748,274,245,283,176,59,133,14,2331
SAL10116,0,0,0,0,0,0,0,0,0,0
SAL10117,78,120,138,112,98,68,67,78,11,773
SAL10118,19,16,11,17,12,11,8,5,0,94
SAL10119,19,40,26,21,36,17,25,28,0,211
SAL10120,16,16,17,21,13,7,7,13,0,112
SAL10121,27,11,9,0,6,3,16,8,0,71
SAL10122,10,0,0,0,0,0,0,7,0,11
SAL10123,0,0,0,0,0,0,0,0,0,0
SAL10124,11,4,3,3,0,5,3,3,0,27
SAL10125,9,4,0,0,0,0,0,0,0,9
SAL10126,5,0,0,0,0,0,0,0,0,7
SAL10127,0,0,0,0,0,0,0,0,0,3
SAL10128,0,0,0,0,0,0,0,0,0,0
SAL10129,5,0,0,0,0,0,0,3,0,9
SAL10130,5,21,3,9,4,7,0,0,4,50
SAL10131,14,5,13,0,11,3,11,14,3,78
SAL10132,4,0,0,0,0,0,0,0,0,9
SAL10133,26,6,3,0,8,0,4,3,5,57
SAL10134,0,0,0,0,0,0,0,0,0,0
SAL10135,8,0,6,3,7,0,6,4,0,38
SAL10136,4,0,0,0,0,5,0,0,0,15
SAL10137,6,0,0,0,5,0,0,7,0,23
SAL10138,3,0,7,4,0,0,0,0,0,16
SAL10139,0,8,9,4,3,4,0,4,0,29
SAL10140,9,0,0,5,3,0,0,0,0,17
SAL10141,0,0,0,0,0,0,0,0,0,9
SAL10142,6,0,0,0,0,0,0,0,0,7
SAL10143,17,0,0,7,0,0,0,0,0,33
SAL10144,37,44,61,39,30,27,21,25,5,282
SAL10145,16,9,6,0,5,3,0,7,0,61
SAL10146,45,68,81,61,57,35,28,33,15,426
SAL10147,13,0,7,0,0,0,0,8,0,28
SAL10148,23,35,32,18,19,9,8,18,0,166
SAL10149,8,0,0,0,0,0,0,0,0,18
SAL10150,0,0,0,0,0,0,0,0,0,7
SAL10151,12,3,0,0,4,5,0,3,0,29
SAL10152,23,4,3,0,3,0,3,7,0,39
SAL10153,7,9,0,0,0,0,0,0,0,19
SAL10154,994,1516,302,331,471,327,78,121,60,4210
SAL10155,478,629,64,100,164,114,19,33,32,1624
SAL10156,375,728,348,325,336,166,125,176,46,2624
SAL10157,5,0,4,0,0,0,4,0,0,14
SAL10158,19,8,13,3,3,4,5,11,6,58
SAL10159,0,3,3,0,0,0,0,0,0,6
SAL10160,20,6,0,4,3,3,3,12,0,60
SAL10161,16,10,9,10,5,4,3,0,0,55
SAL10162,29,19,23,7,14,6,5,19,0,122
SAL10163,362,638,528,583,359,383,168,505,46,3570
SAL10164,0,0,0,0,0,0,0,0,0,0
SAL10165,1490,2401,291,305,581,348,61,106,68,5639
SAL10166,251,441,45,39,90,54,3,16,13,953
SAL10167,42,68,67,34,49,22,39,31,5,357
SAL10168,27,35,53,30,34,24,26,26,6,255
SAL10169,91,70,56,74,47,32,69,97,12,546
SAL10170,0,6,3,3,0,0,0,4,0,23
SAL10171,0,0,0,0,0,0,0,0,0,0
SAL10172,14,12,7,3,8,5,8,8,0,64
SAL10173,3,0,0,0,0,0,0,0,0,3
SAL10174,77,84,57,54,34,42,18,16,5,395
SAL10175,259,418,146,122,116,119,19,91,20,1309
SAL10176,10,4,0,0,0,5,0,3,3,26
SAL10177,22,14,11,3,10,5,0,0,0,74
SAL10178,479,698,357,269,460,240,95,152,25,2778
SAL10179,211,359,170,150,233,114,91,105,33,1466
SAL10180,43,94,30,29,39,28,13,11,0,281
SAL10181,916,2439,1246,1387,1624,1029,1108,1343,319,11418
SAL10182,0,4,5,0,0,0,0,0,0,3
SAL10183,6,4,3,0,3,3,3,3,0,34
SAL10184,31,16,10,5,4,7,6,3,3,78
SAL10185,4,0,0,0,0,0,0,3,0,13
SAL10186,724,1080,1048,988,895,810,347,714,143,6741
SAL10187,0,0,0,0,0,0,9,3,0,14
SAL10188,102,285,60,86,73,38,19,27,12,703
SAL10189,3,10,4,3,9,3,0,4,0,41
SAL10190,4,3,4,0,0,0,4,0,0,10
SAL10191,58,43,19,38,26,15,16,58,4,276
SAL10192,50,40,0,0,15,8,0,0,7,126
SAL10193,0,0,0,0,0,0,0,0,0,0
SAL10194,397,536,337,228,383,210,87,121,23,2327
SAL10195,304,735,273,303,342,183,214,194,66,2613
SAL10196,195,361,106,84,193,88,43,61,5,1140
SAL10197,159,300,109,72,147,89,53,56,16,982
SAL10198,61,23,17,11,19,12,26,26,6,204
SAL10199,254,246,389,195,267,176,229,241,66,2063
SAL10200,106,88,85,56,80,50,54,110,18,644
SAL10201,0,0,0,0,0,0,0,0,0,0
SAL10202,12,14,6,13,3,3,0,7,0,60
SAL10203,63,18,8,9,9,4,5,22,3,133
SAL10204,0,0,0,0,0,0,0,0,0,0
SAL10205,77,73,188,128,127,72,102,135,19,905
SAL10206,127,120,123,108,108,67,63,144,9,871
SAL10207,84,52,51,63,34,31,38,79,3,434
SAL10208,163,313,441,389,299,222,216,324,32,2399
SAL10209,47,83,45,33,47,18,22,22,3,333
SAL10210,8,9,0,4,4,0,0,4,5,44
SAL10211,6,4,6,4,7,0,0,0,3,33
SAL10212,5,0,0,0,0,0,0,3,0,9
SAL10213,0,0,0,0,0,0,0,0,0,0
SAL10214,32,24,14,9,12,9,0,10,3,123
SAL10215,5,0,0,0,0,0,0,0,0,10
SAL10216,8,4,0,3,4,0,0,0,0,15
SAL10217,47,26,26,12,15,14,4,17,5,162
SAL10218,0,0,0,0,0,0,0,0,0,0
SAL10219,20,8,12,3,10,8,4,12,0,81
SAL10220,0,0,0,0,0,0,0,0,0,0
SAL10221,36,7,0,0,6,5,0,3,0,70
SAL10222,0,0,0,0,0,0,0,0,0,0
SAL10223,60,99,106,104,75,64,38,76,8,633
SAL10224,317,604,365,304,467,277,297,278,72,2986
SAL10225,0,0,0,4,0,0,0,0,0,8
SAL10226,9,3,3,6,3,4,0,3,0,34
SAL10227,591,1048,849,716,689,485,298,468,76,5220
SAL10228,80,112,105,110,80,95,39,85,20,733
SAL10229,67,64,87,85,50,73,42,92,19,572
SAL10230,3,0,0,8,0,0,0,3,0,21
SAL10231,351,762,445,570,338,321,209,390,43,3427
SAL10232,81,44,51,55,44,12,68,137,9,508
SAL10233,2968,6188,1760,1345,2749,1314,593,827,277,18014
SAL10234,21,22,21,17,22,8,8,13,7,143
SAL10235,54,79,59,25,34,40,4,25,7,320
SAL10236,0,0,0,0,0,0,0,0,0,0
SAL10237,385,410,119,105,177,118,41,54,32,1441
SAL10238,782,1048,473,364,565,365,146,254,54,4042
SAL10239,177,324,50,54,89,50,20,23,20,811
SAL10240,11,5,0,0,3,0,0,0,0,25
SAL10241,27,0,0,3,3,0,0,3,0,39
SAL10242,23,11,5,0,0,3,0,5,0,58
SAL10243,909,1538,402,408,722,449,132,226,65,4851
SAL10244,26,11,6,9,5,4,5,3,0,65
SAL10245,34,17,10,6,16,6,15,4,0,116
SAL10246,10,3,4,3,0,0,0,4,0,24
SAL10247,21,11,4,4,8,6,3,10,0,66
SAL10248,25,63,70,64,56,39,30,43,5,398
SAL10249,959,2003,279,287,658,347,56,134,63,4786
SAL10250,0,0,0,0,0,0,0,0,0,0
SAL10251,28,25,28,10,18,25,14,30,5,179
SAL10252,3,0,0,0,4,0,0,4,0,20
SAL10253,165,377,258,317,220,207,129,414,33,2114
SAL10254,28,7,3,3,6,0,4,24,0,77
SAL10255,9,6,0,0,0,0,0,0,0,11
SAL10256,14,8,12,0,7,4,3,7,6,52
SAL10257,347,599,320,250,455,227,135,178,45,2556
SAL10258,15,15,21,11,5,3,14,10,0,103
SAL10259,3,0,0,0,0,0,0,0,0,6
SAL10260,16,11,11,6,18,3,0,0,0,65
SAL10261,28,43,65,23,44,10,24,29,12,275
SAL10262,0,5,5,0,3,0,0,0,0,17
SAL10263,904,1674,280,228,730,310,103,141,70,4441
SAL10264,133,321,267,234,173,99,100,167,30,1528
SAL10265,18,10,4,3,0,0,4,6,5,52
SAL10266,51,12,3,0,18,8,18,10,0,117
SAL10267,14,21,0,3,0,4,0,5,0,58
SAL10268,85,95,189,152,103,101,114,131,12,990
SAL10269,25,46,61,47,44,23,57,41,3,348
SAL10270,33,20,9,8,4,6,6,24,3,110
SAL10271,1262,2353,240,290,563,394,43,110,164,5408
SAL10272,12,4,5,0,5,6,3,9,0,51
SAL10273,188,476,193,245,156,127,67,145,25,1625
SAL10274,19,16,13,6,10,0,0,8,0,66
SAL10275,4,7,3,0,6,0,0,3,0,18
SAL10276,330,608,487,411,395,286,178,334,52,3079
SAL10277,279,562,562,396,416,230,192,299,37,2986
SAL10278,45,59,82,84,62,44,28,63,0,459
SAL10279,541,1131,607,634,768,449,388,474,144,5130
SAL10280,29,13,12,10,14,3,9,14,4,110
SAL10281,7,0,0,3,0,0,0,0,0,14
SAL10282,0,0,0,0,0,0,0,0,0,4
SAL10283,853,1184,392,311,589,370,111,184,50,4048
SAL10284,59,21,28,28,29,11,22,31,0,231
SAL10285,8,0,6,5,0,0,3,0,0,32
SAL10286,29,10,0,3,0,0,4,11,4,56
SAL10287,10,3,0,8,6,11,3,8,6,62
SAL10288,11,13,13,7,4,6,0,0,0,56
SAL10289,42,20,23,27,15,9,16,27,5,195
SAL10290,21,10,11,3,0,0,10,10,0,67
SAL10291,19,17,20,14,6,10,14,12,4,109
SAL10292,12,17,9,9,6,3,0,4,0,50
SAL10293,22,0,3,9,5,3,0,3,6,50
SAL10294,0,4,0,0,0,0,0,0,0,10
SAL10295,0,0,0,0,0,0,0,0,0,0
SAL10296,18,8,4,0,7,0,5,0,0,40
SAL10297,173,292,174,150,177,123,53,84,25,1252
SAL10298,28,20,11,9,11,9,5,20,0,108
SAL10299,257,692,360,322,411,217,325,479,133,3195
SAL10300,4,18,8,13,3,3,9,9,0,63
SAL10301,94,143,260,200,151,99,156,292,29,1417
SAL10302,16,17,15,12,10,8,3,9,0,83
SAL10303,195,388,488,393,345,274,290,435,47,2871
SAL10304,421,691,771,603,561,392,319,441,60,4263
SAL10305,82,33,102,34,73,31,66,47,6,482
SAL10306,0,0,0,0,0,0,0,0,0,0
SAL10307,102,101,135,102,55,72,29,85,23,705
SAL10308,466,805,264,227,396,167,63,142,27,2546
SAL10309,433,795,369,259,375,213,83,139,25,2701
SAL10310,20,29,5,3,6,3,0,0,0,71
SAL10311,18,43,42,29,34,20,9,15,0,208
SAL10312,24,35,32,12,17,7,4,10,3,131
SAL10313,30,3,4,0,0,0,0,4,0,59
SAL10314,0,3,0,3,0,0,0,0,0,9
SAL10315,86,104,109,88,79,58,42,84,14,670
SAL10316,5,0,0,0,3,0,0,3,0,15
SAL10317,112,47,55,48,41,26,56,74,13,468
SAL10318,28,19,19,0,9,9,5,9,0,103
SAL10319,90,104,56,19,42,22,19,21,6,379
SAL10320,3,0,6,0,3,0,0,0,0,12
SAL10321,242,352,158,117,135,91,41,70,16,1222
SAL10322,37,6,7,0,4,3,0,0,0,53
SAL10323,5,5,0,0,0,0,0,0,0,14
SAL10324,13,16,19,9,11,5,3,0,0,73
SAL10325,14,4,0,0,5,0,0,7,0,37
SAL10326,6,0,8,0,6,4,5,8,0,42
SAL10327,23,3,11,9,8,4,0,10,0,69
SAL10328,3,3,4,0,0,5,0,0,0,17
SAL10329,176,321,135,94,173,96,61,53,11,1119
SAL10330,570,1235,435,407,698,382,285,287,84,4395
SAL10331,3,9,6,10,0,5,4,5,0,38
SAL10332,40,71,31,35,25,22,7,28,4,254
SAL10333,1039,2146,961,736,1309,688,562,657,170,8260
SAL10334,271,553,202,129,303,148,84,118,37,1837
SAL10335,18,6,0,0,0,0,0,5,0,45
SAL10336,10,4,0,6,0,4,11,15,0,49
SAL10337,32,4,6,5,8,0,0,9,0,55
SAL10338,13,3,0,0,0,0,0,0,0,27
SAL10339,47,64,98,131,90,77,178,164,56,909
SAL10340,25,11,0,4,4,6,4,6,0,67
SAL10341,8,8,5,7,0,0,0,4,0,31
SAL10342,18,6,9,0,0,0,4,9,0,45
SAL10343,4,0,0,0,0,0,0,0,0,4
SAL10344,21,13,9,4,12,8,0,5,0,73
SAL10345,49,8,12,0,8,5,0,11,0,105
SAL10346,17,29,42,26,29,18,15,22,0,200
SAL10347,184,346,282,214,165,147,79,159,30,1597
SAL10348,75,34,55,21,50,16,22,32,7,314
SAL10349,33,39,11,8,8,6,0,3,0,113
SAL10350,397,593,194,140,199,138,40,65,28,1797
SAL10351,12,3,0,0,0,0,0,4,0,23
SAL10352,4,0,0,0,0,0,0,3,0,9
SAL10353,20,7,3,0,0,6,6,0,0,50
SAL10354,16,24,14,10,4,8,8,13,0,97
SAL10355,10,3,3,3,0,0,0,3,4,26
SAL10356,12,22,22,11,12,5,3,12,4,103
SAL10357,56,49,69,26,27,22,18,27,12,306
SAL10358,0,0,0,0,0,0,0,0,0,0
SAL10359,10,5,0,0,4,0,0,5,0,27
SAL10360,3,7,5,4,6,5,4,8,0,57
SAL10361,68,32,38,24,34,13,17,20,4,249
SAL10362,60,9,15,11,13,5,4,12,0,136
SAL10363,6,4,0,0,0,0,0,4,0,10
SAL10364,61,51,56,72,50,40,37,62,4,420
SAL10365,6,0,0,3,0,0,0,4,0,12
SAL10366,10,18,14,3,9,6,0,6,6,71
SAL10367,0,0,0,0,0,0,0,0,4,12
SAL10368,18,3,6,3,9,0,12,16,0,72
SAL10369,24,41,20,18,18,7,11,16,5,156
SAL10370,20,40,11,11,6,8,0,8,0,105
SAL10371,54,24,14,30,20,11,9,35,11,209
SAL10372,32,16,4,3,6,4,7,9,4,68
SAL10373,441,791,60,78,171,74,5,24,16,1670
SAL10374,5,3,0,0,0,0,3,4,0,14
SAL10375,13,0,4,0,0,0,0,8,0,32
SAL10376,68,266,218,226,110,154,98,162,28,1325
SAL10377,8,4,0,0,0,0,5,0,0,22
SAL10378,87,260,132,105,165,78,109,127,33,1094
SAL10379,17,12,27,16,7,3,14,16,3,119
SAL10380,23,10,10,0,12,0,4,9,0,75
SAL10381,4,4,8,4,8,0,0,0,0,31
SAL10382,0,0,0,4,0,0,5,0,0,9
SAL10383,41,69,42,43,45,22,13,24,5,297
SAL10384,41,59,34,28,48,25,12,15,7,273
SAL10385,3,0,0,0,0,0,0,0,0,11
SAL10386,42,34,19,6,16,8,8,10,3,145
SAL10387,12,19,21,9,11,11,14,13,0,119
SAL10388,34,10,10,3,3,4,3,10,4,86
SAL10389,83,196,214,193,153,103,123,144,18,1237
SAL10390,166,280,251,184,202,154,122,146,22,1523
SAL10391,59,65,91,130,124,68,236,167,41,981
SAL10392,270,642,258,228,199,113,71,141,38,1946
SAL10393,3,0,0,0,0,0,0,0,0,8
SAL10394,13,12,10,9,9,3,6,0,0,51
SAL10395,75,119,144,108,113,99,39,93,16,810
SAL10396,1747,4331,2385,2334,3140,1719,3221,2344,544,21764
SAL10397,22,4,3,4,0,0,0,12,0,48
SAL10398,99,164,137,99,118,55,52,75,22,824
SAL10399,120,311,154,125,215,109,136,136,38,1348
SAL10400,15,26,25,15,27,8,28,24,4,161
SAL10401,12,8,15,4,16,9,7,7,4,75
SAL10402,579,955,262,184,504,265,92,117,77,3037
SAL10403,16,9,7,3,9,3,0,3,0,48
SAL10404,15,0,0,3,4,0,3,0,0,28
SAL10405,18,15,12,6,14,0,12,19,4,109
SAL10406,497,1135,431,355,492,220,143,243,49,3573
SAL10407,7,14,4,0,5,9,0,0,4,51
SAL10408,42,41,66,37,55,20,24,21,10,313
SAL10409,156,180,241,193,175,114,190,231,31,1513
SAL10410,342,451,569,411,484,277,359,341,64,3293
SAL10411,41,5,8,0,11,0,5,13,0,95
SAL10412,0,0,0,0,0,0,0,0,0,0
SAL10413,77,108,48,71,59,59,14,24,12,474
SAL10414,254,276,436,432,357,341,311,393,48,2843
SAL10415,0,12,12,6,4,4,8,10,5,64
SAL10416,0,0,0,0,0,0,0,0,0,3
SAL10417,11,0,0,0,0,0,0,0,0,18
SAL10418,12,9,4,6,0,4,3,4,0,45
SAL10419,32,18,17,10,11,9,0,12,0,113
SAL10420,124,226,118,120,108,79,37,83,8,887
SAL10421,233,398,336,384,314,276,155,260,49,2402
SAL10422,10,8,0,4,0,4,0,0,0,41
SAL10423,3,4,0,0,0,0,0,0,0,7
SAL10424,58,114,81,56,68,38,24,32,15,482
SAL10425,13,0,0,0,4,0,0,0,0,24
SAL10426,15,13,6,11,3,0,3,0,3,59
SAL10427,10,11,7,4,11,0,8,10,0,58
SAL10428,39,25,48,30,29,20,21,22,4,238
SAL10429,7,3,0,0,3,0,0,0,0,21
SAL10430,0,5,0,0,0,0,0,0,0,5
SAL10431,12,6,4,3,4,5,9,9,0,43
SAL10432,12,0,4,0,0,0,0,5,0,32
SAL10433,60,36,56,49,35,18,26,46,11,337
SAL10434,14,3,3,8,8,3,0,6,0,43
SAL10435,23,5,8,0,8,0,4,4,0,54
SAL10436,16,3,0,0,0,0,6,3,0,28
SAL10437,32,9,14,6,6,6,9,7,0,98
SAL10438,190,336,269,238,168,128,68,166,18,1578
SAL10439,5,3,4,0,0,0,3,3,0,25
SAL10440,54,23,16,34,26,18,18,47,6,244
SAL10441,77,47,81,61,36,22,173,87,6,595
SAL10442,0,0,0,0,0,0,0,0,0,0
SAL10443,14,12,12,10,6,11,14,10,9,96
SAL10444,6,4,5,4,7,5,3,3,0,39
SAL10445,10,4,0,0,0,0,0,0,0,10
SAL10446,19,9,3,0,3,6,0,5,0,42
SAL10447,12,8,7,0,10,3,0,3,0,44
SAL10448,55,122,118,114,88,78,55,94,12,738
SAL10449,100,155,94,78,75,58,41,51,10,661
SAL10450,247,418,282,181,225,144,123,116,25,1764
SAL10451,0,0,0,0,0,0,0,0,0,0
SAL10452,229,457,394,425,267,269,155,336,61,2599
SAL10453,0,0,0,5,0,0,0,0,0,8
SAL10454,86,61,79,72,58,52,105,104,16,633
SAL10455,25,12,4,11,7,0,0,0,0,55
SAL10456,58,52,31,24,33,14,18,8,9,254
SAL10457,6,33,20,12,7,7,7,5,0,87
SAL10458,29,24,24,18,18,10,13,11,6,148
SAL10459,10,5,5,0,0,0,5,4,0,29
SAL10460,3,5,0,0,0,0,0,3,0,23
SAL10461,20,16,6,22,3,7,9,11,0,99
SAL10462,1231,2494,441,416,538,401,134,240,117,6014
SAL10463,1575,3036,476,449,598,512,100,201,161,7095
SAL10464,0,0,0,0,0,0,0,7,0,6
SAL10465,1103,2230,470,421,580,359,116,283,123,5685
SAL10466,179,294,258,236,249,155,129,174,35,1706
SAL10467,223,369,128,89,187,80,32,45,10,1169
SAL10468,170,292,199,231,158,123,71,129,13,1376
SAL10469,239,484,375,289,432,234,447,448,84,3031
SAL10470,285,505,325,234,392,242,368,330,50,2728
SAL10471,26,7,0,4,6,0,3,10,5,62
SAL10472,227,273,192,187,205,131,60,145,15,1430
SAL10473,9,9,7,7,9,6,3,9,0,68
SAL10474,33,8,6,0,3,0,0,0,0,53
SAL10475,78,111,81,43,76,44,24,26,11,492
SAL10476,28,15,4,5,6,5,0,11,5,79
SAL10477,0,0,0,0,0,0,0,0,0,0
SAL10478,0,0,0,0,0,0,0,0,0,0
SAL10479,6,9,6,3,0,3,0,3,0,34
SAL10480,71,137,124,124,98,85,58,79,12,782
SAL10481,8,0,0,0,3,0,0,0,0,16
SAL10482,27,6,4,0,0,0,0,15,0,54
SAL10483,0,0,0,0,0,0,0,0,0,0
SAL10484,23,8,7,3,0,5,4,5,0,63
SAL10485,37,54,28,31,27,9,5,11,7,210
SAL10486,20,13,4,6,0,3,4,8,0,47
SAL10487,30,5,5,3,0,0,7,11,0,74
SAL10488,3,0,0,0,0,0,0,0,0,10
SAL10489,17,5,0,0,3,0,0,0,0,32
SAL10490,12,0,0,0,0,0,0,10,0,28
SAL10491,0,0,0,0,0,0,0,0,0,5
SAL10492,9,16,9,6,3,4,10,13,0,74
SAL10493,42,82,80,88,66,59,45,76,12,540
SAL10494,38,31,42,13,21,12,19,18,7,207
SAL10495,12,0,0,0,0,0,0,0,0,17
SAL10496,0,0,0,0,0,0,0,0,0,0
SAL10497,14,4,0,4,3,0,0,3,0,38
SAL10498,6,0,0,0,0,0,0,0,0,8
SAL10499,105,308,117,157,109,83,31,91,10,1019
SAL10500,12,0,0,0,0,0,0,5,0,23
SAL10501,177,93,115,81,76,47,40,94,9,734
SAL10502,18,23,3,7,8,7,5,3,0,81
SAL10503,0,0,0,0,0,0,0,0,0,0
SAL10504,17,6,0,4,7,0,0,4,0,44
SAL10505,11,5,10,0,3,7,3,3,0,42
SAL10506,6,0,0,0,0,0,0,0,0,10
SAL10507,28,4,4,5,10,3,5,8,0,69
SAL10508,0,0,0,0,0,0,0,0,0,0
SAL10509,22,8,9,0,4,0,0,3,3,53
SAL10510,39,8,7,0,9,0,9,6,0,92
SAL10511,68,55,38,23,38,12,14,19,5,274
SAL10512,12,11,12,5,9,4,4,9,0,59
SAL10513,493,897,618,450,827,446,541,469,97,4831
SAL10514,13,7,4,5,5,0,9,8,0,54
SAL10515,1207,1708,824,665,1077,532,387,432,129,6949
SAL10516,8,7,10,4,10,3,11,8,0,58
SAL10517,3,0,0,0,0,0,0,0,0,14
SAL10518,0,0,0,0,0,0,0,0,0,0
SAL10519,13,0,0,0,5,0,0,0,0,17
SAL10520,92,152,90,132,82,32,62,76,24,732
SAL10521,179,457,200,235,209,181,81,91,21,1651
SAL10522,8,9,14,7,8,12,0,6,0,61
SAL10523,14,3,5,0,7,0,0,6,0,27
SAL10524,77,122,89,88,140,66,84,85,17,775
SAL10525,24,7,6,3,5,4,3,0,0,57
SAL10526,107,181,158,96,110,61,55,66,12,854
SAL10527,58,64,81,83,62,63,74,80,19,589
