SAL_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
SAL10251,0,19,59,24,18,126,12,135
SAL10252,0,0,5,0,0,7,0,12
SAL10253,177,785,692,237,83,1974,142,2110
SAL10254,0,4,18,8,13,39,0,48
SAL10255,0,0,0,0,3,9,0,8
SAL10256,0,21,24,5,0,53,0,59
SAL10257,219,769,796,235,137,2157,119,2274
SAL10258,0,7,20,15,14,45,3,47
SAL10259,0,5,0,0,0,11,0,11
SAL10260,0,6,14,10,10,39,7,49
SAL10261,0,28,48,32,58,167,4,176
SAL10262,0,10,5,0,3,12,5,19
SAL10263,19,497,1122,479,293,2403,59,2462
SAL10264,234,691,485,130,63,1602,131,1735
SAL10265,0,11,21,7,3,44,6,52
SAL10266,4,24,42,15,12,93,15,108
SAL10267,0,21,18,12,5,54,3,58
SAL10268,30,270,327,107,82,813,30,844
SAL10269,6,88,127,46,28,301,10,307
SAL10270,3,43,48,21,7,121,13,135
SAL10271,397,1725,1386,360,170,4041,173,4213
SAL10272,0,12,11,8,9,36,3,37
SAL10273,53,639,560,166,68,1486,98,1586
SAL10274,0,8,13,11,11,45,5,49
SAL10275,0,6,5,0,0,11,0,13
SAL10276,333,1178,1022,341,185,3056,185,3245
SAL10277,107,687,940,330,225,2281,65,2348
SAL10278,32,185,149,66,28,458,26,486
SAL10279,677,2149,1267,379,212,4680,470,5151
SAL10280,0,25,34,20,20,95,11,105
SAL10281,0,0,0,0,6,6,0,6
SAL10282,0,0,0,0,0,0,0,0
SAL10283,110,884,1228,427,240,2887,54,2949
SAL10284,4,78,103,24,31,233,19,250
SAL10285,0,8,7,12,3,33,0,35
SAL10286,0,13,28,14,7,57,5,58
SAL10287,4,26,21,6,8,72,10,78
SAL10288,0,26,25,9,8,62,0,68
SAL10289,8,58,77,31,27,195,26,217
SAL10290,0,12,20,14,8,63,5,69
SAL10291,3,30,35,11,9,90,4,93
SAL10292,0,9,21,9,3,38,4,39
SAL10293,0,9,9,8,3,34,17,48
SAL10294,0,4,0,0,0,3,0,3
SAL10295,0,0,0,0,0,4,0,4
SAL10296,0,4,10,7,0,17,0,25
SAL10297,14,193,378,165,90,840,11,853
SAL10298,0,12,36,24,6,84,0,88
SAL10299,361,1079,827,276,143,2683,180,2869
SAL10300,0,5,14,11,13,43,3,37
SAL10301,92,542,449,145,89,1316,52,1369
SAL10302,0,13,29,14,9,62,6,70
SAL10303,320,1020,921,362,205,2830,200,3026
SAL10304,121,966,1328,444,263,3125,139,3258
SAL10305,4,65,70,72,91,303,21,321
SAL10306,0,0,0,0,0,0,0,0
SAL10307,44,356,315,84,41,835,75,909
SAL10308,35,491,652,249,138,1562,16,1576
SAL10309,40,515,779,276,161,1770,20,1793
SAL10310,7,35,20,5,4,66,0,71
SAL10311,17,95,64,22,9,212,12,225
SAL10312,0,61,53,20,12,142,19,160
SAL10313,0,4,14,13,5,32,3,35
SAL10314,0,0,3,3,0,12,0,12
SAL10315,14,179,194,82,62,533,41,568
SAL10316,0,4,3,0,0,11,4,12
SAL10317,28,189,175,76,41,508,44,553
SAL10318,0,12,17,15,23,69,0,72
SAL10319,3,69,137,55,38,297,45,346
SAL10320,0,4,3,0,0,11,3,15
SAL10321,44,464,493,153,90,1242,62,1305
SAL10322,0,7,13,5,5,26,0,31
SAL10323,0,5,8,4,0,16,0,14
SAL10324,0,26,25,10,7,75,0,75
SAL10325,0,4,7,4,4,17,0,18
SAL10326,0,7,20,6,5,35,4,41
SAL10327,7,17,20,17,4,61,3,69
SAL10328,0,10,10,0,3,16,9,23
SAL10329,57,285,326,101,70,829,34,872
SAL10330,360,1390,1179,377,209,3516,152,3666
SAL10331,0,8,11,6,5,31,0,31
SAL10332,0,44,75,38,13,168,21,197
SAL10333,545,2505,2165,679,370,6260,302,6565
SAL10334,200,590,465,143,83,1482,76,1556
SAL10335,0,4,12,3,6,25,5,29
SAL10336,0,10,15,10,3,37,3,35
SAL10337,0,10,13,14,3,40,10,45
SAL10338,0,0,6,0,3,13,0,13
SAL10339,242,580,280,95,42,1240,208,1448
SAL10340,0,11,19,5,0,43,4,45
SAL10341,0,6,8,6,3,21,14,35
SAL10342,0,0,7,8,7,29,0,29
SAL10343,0,0,8,0,0,8,0,7
SAL10344,0,6,16,17,10,51,3,49
SAL10345,3,34,37,25,8,109,8,121
SAL10346,0,46,44,27,27,146,13,159
SAL10347,27,388,524,213,93,1245,76,1320
SAL10348,0,41,78,40,28,196,24,221
SAL10349,0,20,54,9,12,97,4,101
SAL10350,14,268,618,218,105,1222,21,1247
SAL10351,0,0,3,0,3,8,0,6
SAL10352,0,0,0,0,0,6,0,6
SAL10353,0,11,21,3,3,42,7,54
SAL10354,0,26,33,10,8,71,18,92
SAL10355,0,13,8,4,5,34,4,42
SAL10356,0,24,21,18,10,70,0,73
SAL10357,0,41,107,46,33,240,15,255
SAL10358,0,0,0,0,0,0,0,0
SAL10359,0,3,7,7,10,27,4,31
SAL10360,0,11,16,7,7,40,0,40
SAL10361,4,78,76,30,32,214,20,239
SAL10362,4,24,53,20,18,114,11,126
SAL10363,0,4,8,3,0,14,4,19
SAL10364,34,249,207,71,35,600,40,639
SAL10365,0,4,11,0,0,14,0,13
SAL10366,0,22,47,17,7,82,12,95
SAL10367,0,0,8,0,0,14,0,14
SAL10368,0,21,16,8,8,49,7,56
SAL10369,7,30,45,25,12,120,15,131
SAL10370,0,12,22,15,10,61,9,69
SAL10371,16,95,105,37,25,276,40,317
SAL10372,0,5,18,6,5,43,0,42
SAL10373,119,658,420,76,18,1287,42,1325
SAL10374,0,4,5,8,3,14,0,14
SAL10375,0,5,7,10,0,20,0,23
SAL10376,86,383,297,108,73,946,58,1006
SAL10377,0,4,4,0,3,16,0,20
SAL10378,86,363,320,116,67,947,64,1007
SAL10379,0,19,24,18,14,77,5,78
SAL10380,0,7,28,8,8,57,8,63
SAL10381,0,7,10,0,4,21,3,25
SAL10382,0,0,0,0,0,6,0,6
SAL10383,10,242,162,36,24,467,8,480
SAL10384,0,18,42,43,51,154,11,165
SAL10385,0,3,0,5,0,3,0,9
SAL10386,0,32,42,21,11,104,12,113
SAL10387,0,19,35,14,8,78,8,85
SAL10388,0,17,28,16,7,74,13,90
SAL10389,76,371,405,133,105,1088,37,1126
SAL10390,62,383,461,188,121,1212,40,1255
SAL10391,163,425,305,97,48,1044,186,1230
SAL10392,165,1052,697,167,65,2148,101,2252
SAL10393,0,3,4,0,0,5,0,8
SAL10394,3,33,17,12,8,77,19,97
SAL10395,55,310,269,86,50,773,41,815
SAL10396,1618,6866,5262,1665,819,16227,1310,17535
SAL10397,0,4,11,5,9,32,19,48
SAL10398,71,360,271,84,31,821,52,872
SAL10399,12,196,325,164,81,776,30,805
SAL10400,3,35,43,21,14,119,15,128
SAL10401,0,11,20,11,5,54,5,54
SAL10402,93,553,813,341,211,2022,91,2107
SAL10403,0,7,5,4,11,28,4,32
SAL10404,0,5,3,9,3,19,4,21
SAL10405,0,27,33,16,7,87,9,94
SAL10406,120,884,1116,362,196,2689,73,2766
SAL10407,0,9,17,13,4,33,7,40
SAL10408,0,14,48,43,59,166,4,172
SAL10409,67,482,487,203,95,1328,55,1392
SAL10410,75,666,933,327,186,2195,71,2271
SAL10411,0,15,26,14,6,65,12,74
SAL10412,0,0,0,0,0,0,3,3
SAL10413,51,197,169,39,30,485,32,515
SAL10414,66,752,913,326,158,2220,80,2299
SAL10415,3,49,32,6,10,93,21,114
SAL10416,0,0,0,0,0,0,0,3
SAL10417,0,0,4,3,5,12,0,12
SAL10418,0,0,7,5,5,21,4,28
SAL10419,4,61,35,11,3,115,11,130
SAL10420,15,104,253,114,97,589,34,625
SAL10421,48,798,821,243,111,2021,60,2084
SAL10422,0,7,12,0,3,21,4,28
SAL10423,0,0,5,3,0,11,0,11
SAL10424,3,94,164,71,33,366,7,373
SAL10425,0,0,4,3,0,9,0,11
SAL10426,0,8,28,11,0,55,6,62
SAL10427,0,6,10,10,6,33,6,37
SAL10428,5,89,105,33,30,262,27,284
SAL10429,0,4,3,0,6,12,0,12
SAL10430,0,0,0,0,0,7,0,3
SAL10431,0,11,28,6,5,47,4,56
SAL10432,0,9,4,5,9,17,0,22
SAL10433,8,94,111,56,38,307,43,353
SAL10434,0,8,9,5,10,28,4,30
SAL10435,0,0,15,10,4,32,0,31
SAL10436,0,3,6,3,0,18,0,18
SAL10437,5,32,20,23,18,93,15,105
SAL10438,58,435,518,118,69,1199,72,1275
SAL10439,0,11,12,4,4,28,6,38
SAL10440,48,85,66,29,9,242,114,357
SAL10441,16,168,168,66,43,461,82,545
SAL10442,0,0,0,0,0,0,0,0
SAL10443,0,3,19,18,8,47,19,75
SAL10444,0,0,11,5,4,27,4,26
SAL10445,0,9,11,0,0,18,0,19
SAL10446,0,11,11,8,0,37,3,41
SAL10447,0,12,8,3,5,34,0,36
SAL10448,54,333,244,81,57,769,48,817
SAL10449,10,124,206,72,52,468,23,484
SAL10450,7,213,489,225,154,1094,25,1117
SAL10451,0,0,0,0,0,0,0,0
SAL10452,217,1245,910,297,137,2806,167,2978
SAL10453,0,0,0,3,3,7,0,10
SAL10454,33,201,199,92,38,559,55,613
SAL10455,0,5,17,20,3,45,10,51
SAL10456,4,24,85,34,22,158,9,171
SAL10457,0,14,32,5,7,59,4,66
SAL10458,0,17,46,26,15,104,9,112
SAL10459,0,0,0,8,3,16,6,23
SAL10460,0,0,8,5,3,10,5,15
SAL10461,12,91,47,21,6,175,8,182
SAL10462,1007,2256,943,181,63,4442,327,4772
SAL10463,1381,2620,941,177,46,5164,336,5503
SAL10464,0,0,0,0,0,0,0,0
SAL10465,1280,2283,684,101,25,4379,386,4760
SAL10466,46,506,665,216,100,1541,55,1588
SAL10467,0,157,372,124,80,737,12,750
SAL10468,26,395,509,168,113,1215,31,1241
SAL10469,236,991,964,410,226,2828,194,3020
SAL10470,72,480,716,381,308,1955,89,2050
SAL10471,0,16,17,9,4,53,10,60
SAL10472,10,243,421,180,145,997,24,1023
SAL10473,5,12,19,7,6,49,9,54
SAL10474,0,6,7,10,7,30,9,42
SAL10475,49,322,202,57,18,637,40,677
SAL10476,0,12,11,11,7,46,3,51
SAL10477,0,0,0,0,0,0,0,0
SAL10478,0,0,0,0,0,0,0,0
SAL10479,0,6,17,9,5,41,5,41
SAL10480,35,237,243,79,52,646,31,677
SAL10481,0,0,6,0,0,11,3,11
SAL10482,0,12,9,6,8,34,0,39
SAL10483,0,0,0,0,0,0,0,0
SAL10484,0,4,13,8,8,34,0,34
SAL10485,4,82,83,20,4,192,17,206
SAL10486,0,4,11,7,3,31,4,29
SAL10487,0,10,27,7,13,58,42,100
SAL10488,0,5,3,0,0,13,0,13
SAL10489,0,0,7,0,4,13,0,13
SAL10490,0,5,6,0,4,21,3,24
SAL10491,0,3,3,3,0,7,3,9
SAL10492,0,15,25,4,6,47,4,50
SAL10493,38,265,191,55,29,583,38,618
SAL10494,0,44,65,27,19,158,10,172
SAL10495,0,0,4,0,0,6,0,9
SAL10496,0,0,5,0,0,5,0,8
SAL10497,0,4,12,3,5,23,4,26
SAL10498,0,4,5,0,0,7,0,7
SAL10499,0,153,284,86,38,568,15,577
SAL10500,0,0,3,5,4,18,0,18
SAL10501,28,229,267,104,69,694,134,827
SAL10502,0,12,22,20,12,70,3,76
SAL10503,0,0,0,0,0,0,0,0
SAL10504,0,6,19,4,3,35,3,36
SAL10505,0,7,19,8,0,34,3,38
SAL10506,0,0,4,0,3,8,3,11
SAL10507,0,10,17,11,11,43,4,48
SAL10508,0,0,0,0,0,0,0,0
SAL10509,0,4,17,6,3,34,0,36
SAL10510,0,15,29,13,16,77,8,83
SAL10511,0,17,74,42,35,161,10,168
SAL10512,0,9,22,7,7,37,3,43
SAL10513,263,1274,1628,761,472,4396,250,4645
SAL10514,0,12,20,13,11,48,4,50
SAL10515,334,1965,1800,411,200,4718,255,4970
SAL10516,0,3,14,9,8,37,9,42
SAL10517,0,5,0,6,4,17,0,17
SAL10518,0,0,0,0,0,0,0,0
SAL10519,0,0,4,4,5,14,4,19
SAL10520,65,234,174,55,31,563,119,680
SAL10521,19,302,506,163,94,1083,36,1112
SAL10522,0,11,12,10,10,40,7,44
SAL10523,0,3,4,5,4,17,0,17
SAL10524,13,120,206,91,62,490,19,512
SAL10525,0,9,18,13,4,41,0,41
SAL10526,3,107,257,85,68,526,18,543
SAL10527,124,304,218,66,34,750,96,846
SAL10528,0,5,0,0,0,3,0,7
SAL10529,0,14,23,10,4,51,6,58
SAL10530,0,9,9,6,0,17,0,20
SAL10531,0,0,0,4,0,6,0,6
SAL10532,0,9,14,12,9,43,0,43
SAL10533,0,36,91,45,51,223,11,235
SAL10534,205,1950,1659,486,259,4564,140,4701
SAL10535,37,175,153,46,21,429,59,490
SAL10536,0,0,0,0,0,0,0,0
SAL10537,9,519,1040,248,116,1933,60,1988
SAL10538,4,14,27,13,24,81,7,88
SAL10539,0,21,9,7,0,44,3,46
SAL10540,237,1194,1177,390,173,3169,185,3353
SAL10541,0,5,18,8,3,25,5,29
SAL10542,0,93,150,58,20,317,11,331
SAL10543,0,3,3,0,0,9,0,9
SAL10544,16,287,247,94,59,706,66,776
SAL10545,0,25,99,45,60,231,4,238
SAL10546,21,155,301,176,120,775,31,798
SAL10547,0,15,44,17,12,93,3,95
SAL10548,0,4,5,0,4,12,0,12
SAL10549,10,124,104,32,26,303,13,312
SAL10550,0,18,21,3,0,49,4,50
SAL10551,6,18,31,6,10,74,13,88
SAL10552,0,4,22,6,10,40,0,40
SAL10553,0,0,6,8,4,16,4,15
SAL10554,100,1081,793,128,44,2144,70,2215
SAL10555,0,0,0,0,0,0,0,4
SAL10556,3,31,50,30,25,136,14,146
SAL10557,0,0,12,8,5,30,0,31
SAL10558,0,15,20,12,3,41,10,52
SAL10559,0,0,9,0,3,16,4,13
SAL10560,75,133,75,21,22,320,83,405
SAL10561,0,8,19,10,9,49,3,50
SAL10562,0,0,4,5,0,4,0,11
SAL10563,0,9,18,10,10,54,5,61
SAL10564,0,10,29,22,19,78,3,77
SAL10565,3,26,43,23,14,108,9,116
SAL10566,474,1713,902,232,131,3467,286,3748
SAL10567,9,106,149,51,28,341,15,354
SAL10568,0,0,0,0,0,0,0,0
SAL10569,0,4,14,5,5,30,0,30
SAL10570,0,4,9,0,0,10,0,7
SAL10571,0,0,0,0,0,0,0,0
SAL10572,7,128,193,136,213,680,64,736
SAL10573,0,0,3,8,3,16,3,18
SAL10574,0,5,14,11,15,50,10,51
SAL10575,71,289,245,76,24,701,31,734
SAL10576,0,12,23,10,9,54,3,57
SAL10577,8,103,93,41,23,271,43,311
SAL10578,0,5,4,4,8,21,10,26
SAL10579,0,0,0,0,4,4,0,3
SAL10580,9,19,25,24,18,88,13,106
SAL10581,3,18,29,19,8,66,21,87
SAL10582,0,3,6,0,0,15,0,14
SAL10583,0,5,11,8,0,20,0,26
SAL10584,0,0,0,0,0,3,0,3
SAL10585,0,6,9,0,0,21,0,21
SAL10586,3,68,103,44,21,238,20,257
SAL10587,7,55,81,44,33,211,17,227
SAL10588,3,62,57,25,13,155,20,169
SAL10589,718,3260,2417,732,320,7439,640,8078
SAL10590,0,10,18,5,14,43,4,44
SAL10591,300,1234,825,195,77,2634,108,2743
SAL10592,0,0,0,4,0,11,3,11
SAL10593,0,10,28,7,17,65,11,75
SAL10594,0,9,5,3,0,19,6,29
SAL10595,0,24,40,21,13,93,3,102
SAL10596,18,110,107,41,23,293,11,301
SAL10597,0,0,0,5,3,7,0,7
SAL10598,131,716,430,83,32,1392,85,1476
SAL10599,0,3,5,0,0,8,6,12
SAL10600,10,76,46,7,12,140,18,159
SAL10601,0,0,5,4,3,11,0,11
SAL10602,0,4,12,3,8,31,4,33
SAL10603,0,13,37,11,9,69,3,73
